,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2005-09,228.82M,,,,,,,43.50M,43.50M,,,-50.84M,-27.63M,26.38M,17.48M,,70.15M,,35.54M,,307.86M,-842.52M,6.482M,-836.04M,318.13M,,-22.10M,-540.01M,,,-268.48M,13.51M,-47.13M,-33.61M,,,,-6.175M,,-308.27M,808.66M,-540.42M,7.39M,275.62M,13.51M,,,-47.13M,,
2005-06,229.02M,,,,,,,44.39M,44.39M,,,-33.71M,-21.99M,15.79M,21.29M,,27.80M,,9.185M,,282.60M,-30.97M,2.637M,-28.33M,-82.15M,,22.10M,-88.38M,,,-0.561M,11.15M,-49.58M,-38.43M,,,,-4.628M,,-43.62M,673.07M,150.59M,-15.01M,808.66M,11.15M,,,-49.58M,,
2005-03,188.26M,,,,,,,45.74M,45.74M,,,70.40M,-32.14M,20.82M,32.64M,,-13.72M,,78.00M,,311.99M,-25.95M,6.376M,-19.58M,-213.88M,,,-233.45M,,,-8.871M,13.08M,,13.08M,,,,-4.639M,,-0.427M,609.12M,78.11M,-14.16M,673.07M,13.08M,,,,,
2004-12,217.73M,,,,,,,38.89M,38.89M,,,-60.24M,109.81M,-123.27M,7.383M,,-110.34M,,-176.66M,,264.12M,-45.79M,10.83M,-34.96M,-218.47M,,,-210.33M,,,-3.62M,12.02M,,12.02M,,,,-4.634M,,3.765M,531.61M,57.56M,19.95M,609.12M,12.02M,,,,,
2004-09,200.79M,,,,,,,41.08M,41.08M,,,-11.31M,0.961M,30.32M,-9.514M,,18.02M,,28.48M,,270.35M,-26.96M,8.812M,-18.15M,-29.33M,,,-47.47M,,,-2.098M,10.71M,,10.71M,,,,-4.628M,,3.986M,303.28M,226.86M,1.46M,531.61M,10.71M,,,,,
2004-06,182.23M,,,,,,,38.25M,38.25M,,,-29.41M,-14.58M,17.54M,8.257M,,44.58M,,26.39M,,246.87M,-23.95M,4.775M,-19.18M,-529.51M,,,-548.68M,,,-50.19M,11.72M,,11.72M,,,,-4.622M,,-43.09M,642.49M,-344.90M,5.70M,303.28M,11.72M,,,,,
2004-03,145.24M,,,,,,,37.91M,37.91M,,,-9.045M,-30.66M,50.04M,59.19M,,-0.803M,,68.72M,,251.88M,-19.21M,6.474M,-12.73M,-814.41M,,,-827.15M,,,-10.38M,11.50M,,11.50M,,,,-3.847M,,-2.72M,1.230B,-577.99M,-9.678M,642.49M,11.50M,,,,,
2003-12,169.95M,,,,,,,31.16M,31.16M,,,24.51M,36.08M,-46.20M,9.257M,,17.44M,,41.08M,,242.18M,-26.28M,2.999M,-23.28M,-125.97M,,,-149.25M,,,-3.258M,22.74M,,22.74M,,,,-3.842M,,15.64M,1.105B,108.58M,16.85M,1.230B,22.74M,,,,,
2003-09,138.62M,,,,,,,32.66M,32.66M,,,-44.51M,-8.467M,-1.401M,21.75M,,93.06M,-61.60M,-1.17M,,170.11M,-16.44M,3.121M,-13.32M,-63.10M,,,-76.42M,,,-69.02M,13.20M,,13.20M,,,,-3.838M,,-59.66M,1.068B,34.04M,2.581M,1.105B,13.20M,,,,,
2003-06,125.14M,,,,,,,34.16M,34.16M,,,-1.489M,8.833M,47.60M,13.10M,-31.45M,-22.59M,61.60M,75.61M,,234.91M,-22.00M,1.103M,-20.90M,-0.47M,,,-21.37M,,,-74.87M,8.218M,,8.218M,,,,-3.828M,,-70.48M,911.63M,143.06M,13.41M,1.068B,8.218M,,,,,
2003-03,103.13M,,,,,,,35.46M,35.46M,,,22.99M,-15.38M,,14.10M,31.45M,22.59M,,75.75M,,214.34M,-15.62M,17.35M,1.734M,-122.75M,,,-121.01M,,,1.637M,6.334M,,6.334M,,,,-3.818M,,4.153M,810.46M,97.48M,3.694M,911.63M,6.334M,,,,,
2002-12,161.71M,,,,-30.00M,,,31.36M,31.36M,,,30.26M,33.24M,,1.022M,,,-38.73M,-18.15M,,144.92M,-20.48M,7.171M,-13.31M,-167.82M,,,-181.12M,,,-473.68M,512.10M,,512.10M,,,,-4.444M,,33.98M,803.18M,-2.223M,9.508M,810.46M,512.10M,,,,,
2002-09,116.03M,,,,0.00,,,32.52M,32.52M,,,-4.151M,1.321M,,23.69M,,,2.565M,23.43M,,171.98M,-16.71M,7.56M,-9.152M,-110.47M,,,-119.62M,,,536.47M,-487.82M,,-487.82M,,,,-3.029M,,45.62M,705.08M,97.98M,0.122M,803.18M,-487.82M,,,,,
2002-06,103.66M,,,,0.00,,,32.91M,32.91M,,,-20.32M,23.59M,,16.57M,,,-26.21M,-6.373M,,130.20M,-18.23M,64.30M,46.07M,-64.10M,,,-18.03M,,,3.943M,6.132M,,6.132M,,,,-3.024M,,7.051M,571.45M,119.22M,14.41M,705.08M,6.132M,,,,,
2002-03,-91.02M,,,,173.75M,,,32.78M,32.78M,,,53.23M,19.40M,,12.72M,,,62.38M,147.74M,,263.25M,-10.01M,,-10.01M,-815.74M,,,-825.76M,,,-49.03M,481.69M,,481.69M,,,,-3.019M,,429.65M,706.56M,-132.86M,-2.245M,571.45M,481.69M,,,,,
2001-12,33.11M,,,,,,,48.44M,48.44M,,,64.24M,42.66M,,-11.44M,,,1.129M,96.59M,,178.14M,-20.88M,-35.30M,-56.19M,-55.65M,,,-111.84M,,,4.034M,1.345M,-8.131M,-6.786M,,,,-3.129M,,-5.881M,646.47M,60.42M,-0.33M,706.56M,1.345M,,,-8.131M,,
2001-09,87.75M,,,,,,,43.84M,43.84M,,,26.05M,13.26M,,-20.34M,,,-31.48M,-12.51M,,119.08M,-20.28M,35.30M,15.02M,-157.76M,,,-142.74M,,,3.41M,3.375M,-9.168M,-5.793M,,,,-2.847M,,-5.23M,675.31M,-28.89M,0.049M,646.47M,3.375M,,,-9.168M,,
2001-06,94.23M,,,,,,,42.48M,42.48M,,,12.89M,22.87M,,3.16M,,,-38.07M,0.844M,,137.56M,-18.31M,,-18.31M,-117.60M,,,-135.91M,,,-3.27M,10.33M,,10.33M,,,,-2.85M,,4.214M,669.23M,5.861M,0.219M,675.31M,10.33M,,,,,
2001-03,82.58M,,,,,,,43.63M,43.63M,,,39.13M,-11.95M,,-9.525M,,,29.84M,47.48M,,173.69M,-21.10M,,-21.10M,-75.98M,,,-97.08M,,,406.34M,13.12M,,13.12M,,,,-2.85M,,416.61M,176.92M,493.22M,-0.911M,669.23M,13.12M,,,,,
2000-12,87.76M,,,,,,,40.50M,40.50M,,,-26.72M,24.31M,,2.977M,,-106.08M,92.77M,-12.74M,,115.52M,-27.46M,,-27.46M,-66.10M,,,-93.56M,,,-9.898M,13.75M,0.00,13.75M,,,,-2.84M,,1.011M,153.79M,22.97M,0.159M,176.92M,13.75M,,,0.00,,
2000-09,83.62M,,,,,,,39.38M,39.38M,,,-16.76M,-14.18M,,-2.115M,,106.08M,-84.38M,-11.36M,,111.65M,424.56M,,424.56M,-640.69M,,,-216.13M,,,76.92M,0.723M,0.00,0.723M,,,,-2.892M,,74.75M,183.71M,-29.73M,-0.192M,153.79M,0.723M,,,0.00,,
2000-06,81.27M,,,,,,,34.80M,34.80M,,,25.23M,-28.08M,,-1.553M,,,34.34M,29.94M,,146.01M,-470.58M,,-470.58M,222.50M,,,-248.07M,,,195.22M,0.628M,0.00,0.628M,,,,-2.158M,,193.69M,91.97M,91.63M,0.113M,183.71M,0.628M,,,0.00,,
2000-03,71.56M,,,,,,,35.04M,35.04M,,,2.324M,-20.51M,,0.61M,,,50.04M,32.47M,,139.06M,-15.04M,,-15.04M,-222.50M,,,-237.54M,,,3.849M,11.48M,-82.17M,-70.69M,,,,-2.125M,,-68.97M,260.28M,-167.44M,-0.866M,91.97M,11.48M,,,-82.17M,,
1999-12,74.30M,,,,,,,29.90M,29.90M,,,-43.80M,24.00M,,18.20M,,,-49.00M,-50.60M,,53.60M,-31.80M,,-31.80M,,,,-31.80M,,,-41.80M,2.40M,,2.40M,,,,-2.10M,0.20M,-41.30M,280.10M,-19.50M,-0.30M,260.30M,2.40M,,,,,
1999-09,61.82M,,,,,,,32.15M,32.15M,,,-42.73M,-3.88M,,4.678M,,,114.18M,72.25M,,166.22M,-82.90M,,-82.90M,,,,-82.90M,,,-14.44M,72.38M,,72.38M,,,,-2.49M,-0.10M,55.35M,140.46M,138.67M,0.972M,280.10M,72.38M,,,,,
1999-06,66.35M,,,,,,,32.90M,32.90M,,,6.434M,-7.212M,,8.571M,,,-18.92M,-11.12M,,88.13M,-26.07M,,-26.07M,,,,-26.07M,,,-2.578M,7.468M,,7.468M,,,,-2.682M,,2.208M,78.77M,64.26M,-2.576M,140.46M,7.468M,,,,,
1999-03,59.12M,,,,,,,31.46M,31.46M,,,19.79M,-1.808M,,14.45M,,,-11.86M,20.57M,,111.15M,-12.93M,,-12.93M,,,,-12.93M,,,-71.09M,5.657M,,5.657M,,,,-2.628M,,-68.06M,47.80M,30.16M,0.804M,78.77M,5.657M,,,,,
1998-12,60.90M,,,,,,,30.40M,30.40M,,-0.10M,-5.90M,40.50M,,-15.10M,,,-16.50M,3.00M,,94.20M,-33.00M,,-16.70M,,,,-16.70M,,,-76.30M,5.50M,,3.40M,,,,-3.00M,,-75.90M,45.30M,1.60M,0.90M,47.80M,5.50M,,,,,
1998-09,34.90M,,,,,,,33.40M,33.40M,,-41.50M,-12.30M,2.60M,,-6.80M,,,58.10M,41.60M,,68.40M,-562.00M,,-562.00M,,,375.50M,-186.50M,,,57.80M,21.20M,,21.20M,,,,-3.70M,0.10M,75.40M,0.00,-42.70M,1.70M,45.30M,21.20M,,,,,
1998-06,52.20M,,,,,,,27.50M,27.50M,,-2.30M,20.10M,-22.40M,,-6.20M,,,,-8.50M,,68.90M,353.30M,,353.30M,,,-375.50M,-22.20M,,,-42.60M,1.20M,,1.20M,,,,-3.00M,-0.10M,-44.50M,0.00,2.20M,-1.10M,0.00,1.20M,,,,,
