,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,TotalCurrentAssets,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,GrossLoans,AllowforLoan/LeaseLoss,UnearnedIncome,NetLoanAssets,LongTermInvestments,TotalLongTermAssets,TotalAssets,,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,TotalDeposits,MinorityInterestOwnership,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2003-09,,1.911B,,1.911B,193.57M,,193.57M,2.104B,,,,,,,,626.19M,,,,33.75B,456.04M,-231.39M,33.06B,9.926B,46.68B,48.79B,,1.420B,1.420B,1.420B,4.962B,5.604B,5.604B,32.62B,,38.22B,44.40B,,139.40M,3.236B,975.94M,27.50M,,70.72M,4.395B,,,
2003-06,,1.389B,,1.389B,,,890.53M,2.852B,,,,,,,,623.05M,,,,33.43B,456.67M,-229.92M,32.75B,10.42B,46.68B,49.55B,,6.093B,6.093B,6.093B,6.093B,5.439B,5.439B,31.87B,,37.31B,45.18B,,139.10M,3.143B,965.24M,,,123.23M,4.370B,,,
2003-03,,1.402B,,1.402B,224.02M,448.54M,672.56M,2.446B,,,,,,,,628.47M,,,,32.77B,449.70M,-238.86M,32.08B,10.60B,45.95B,48.46B,,5.232B,5.232B,5.232B,5.232B,5.392B,5.392B,32.37B,,37.76B,44.19B,,138.69M,3.045B,950.70M,,,136.88M,4.271B,,,
2002-12,,1.881B,,1.881B,674.42M,,674.42M,2.890B,,,,,,,,638.03M,,,,32.73B,437.16M,-244.49M,32.05B,9.781B,44.99B,47.94B,,4.085B,4.085B,4.085B,4.085B,5.386B,5.386B,32.93B,,38.31B,43.76B,,138.34M,2.953B,936.96M,,,150.47M,4.178B,,,
2002-09,,1.447B,,1.447B,230.40M,515.23M,745.62M,2.438B,,,,,,,,642.38M,,,,32.69B,435.80M,-250.13M,32.01B,9.863B,44.92B,47.39B,,2.082B,2.082B,2.082B,4.633B,5.544B,5.544B,32.17B,,37.72B,43.31B,,144.81M,2.861B,1.284B,358.20M,,152.27M,4.084B,,,
2002-06,,1.211B,,1.211B,778.18M,,778.18M,2.592B,,,,,,,,644.58M,,,,31.92B,249.84M,-432.62M,31.24B,9.443B,43.50B,46.15B,,4.904B,4.904B,4.904B,4.904B,5.369B,5.369B,31.03B,,36.40B,42.21B,,144.55M,2.768B,1.277B,358.20M,,105.97M,3.938B,,,
2002-03,,1.213B,,1.213B,236.42M,,236.42M,1.648B,,,,,,,,644.26M,,,,31.47B,429.58M,-250.75M,30.79B,8.544B,42.53B,44.25B,,4.451B,4.451B,4.451B,4.451B,4.711B,4.711B,30.08B,,34.79B,40.16B,,144.27M,2.679B,1.268B,37.55M,,32.72M,4.087B,,,
2001-12,,1.907B,,1.907B,773.57M,,773.57M,2.773B,,,,,,,,647.18M,,,,32.03B,419.17M,-251.63M,31.36B,8.589B,42.55B,45.38B,,4.098B,4.098B,4.098B,4.098B,4.748B,4.748B,31.55B,,36.30B,41.35B,,143.80M,2.592B,1.253B,,,47.19M,4.036B,,,
2001-09,,2.086B,,2.086B,286.58M,595.62M,882.21M,3.157B,,,,,,,,623.10M,,,,31.58B,386.47M,-218.03M,30.98B,8.862B,42.48B,45.68B,,2.343B,2.343B,2.343B,5.160B,4.811B,4.811B,30.57B,,35.38B,41.74B,,143.28M,2.518B,1.229B,52.51M,,111.25M,3.949B,,,
2001-06,,1.960B,,1.960B,291.59M,,291.59M,2.597B,,,,,,,,621.79M,,,,31.66B,384.32M,-94.40M,31.18B,8.267B,42.47B,45.14B,,2.420B,2.420B,2.420B,4.359B,4.937B,4.937B,31.16B,,36.10B,41.31B,,143.21M,2.447B,1.227B,43.40M,,52.58M,3.826B,,,
2001-03,,2.139B,,2.139B,310.47M,,310.47M,2.691B,,,,,,,,624.84M,,,,31.68B,381.57M,-91.51M,31.21B,9.131B,43.34B,46.14B,,1.249B,1.249B,1.249B,3.797B,5.221B,5.221B,31.18B,,36.40B,42.34B,,142.82M,2.398B,1.214B,,,46.89M,3.801B,,,
2000-12,,1.214B,,1.214B,349.64M,,349.64M,1.659B,,,,,,,,598.63M,,,,31.60B,376.51M,,31.22B,9.008B,41.92B,43.69B,,1.136B,1.136B,1.136B,3.133B,4.478B,4.478B,32.02B,,36.50B,40.23B,,139.10M,2.333B,1.059B,67.14M,,-6.044M,3.458B,,,
2000-09,,1.079B,,1.079B,333.29M,,333.29M,1.659B,,,,,,,,596.90M,,,,31.55B,373.70M,-95.24M,31.08B,9.175B,41.94B,43.63B,,1.659B,1.659B,1.659B,3.522B,4.392B,4.392B,31.99B,,36.38B,40.27B,,139.05M,2.264B,1.058B,18.99M,,-82.92M,3.360B,,,
2000-06,,1.143B,,1.143B,326.82M,,326.82M,1.542B,,,,,,,,588.70M,,,,30.84B,363.48M,-88.56M,30.38B,9.264B,41.31B,42.90B,,1.853B,1.853B,1.853B,4.483B,2.370B,2.370B,32.51B,,34.88B,39.71B,,139.03M,2.197B,1.056B,73.94M,,-130.62M,3.187B,,,
2000-03,,1.090B,,1.090B,300.44M,,300.44M,1.452B,,,,,,,,585.93M,,,,29.52B,353.00M,-82.83M,29.08B,9.156B,39.88B,41.42B,,751.80M,751.80M,751.80M,3.889B,2.032B,2.032B,31.95B,,33.99B,38.28B,,138.86M,2.131B,1.052B,38.70M,,-141.66M,3.141B,,,
1999-12,,1.403B,,1.403B,306.70M,,306.70M,1.776B,,,,,,,,580.70M,,,,28.79B,338.30M,-76.60M,28.37B,10.93B,40.87B,42.71B,,2.010B,2.010B,2.010B,7.625B,1.751B,1.751B,29.99B,,31.74B,39.65B,,137.90M,2.044B,1.023B,,,-139.80M,3.065B,,,
1999-09,,1.297B,,1.297B,293.50M,,293.50M,1.681B,,,,,,,,575.10M,,,,28.81B,330.70M,-76.00M,28.41B,9.520B,39.52B,41.23B,,3.496B,3.496B,3.496B,7.654B,371.10M,371.10M,29.80B,,30.18B,38.21B,,,1.970B,,,,-81.90M,3.020B,,,
1999-06,,1.486B,,1.486B,323.20M,,323.20M,1.809B,,,,,,,,571.60M,,,,27.89B,327.00M,-68.90M,27.49B,8.864B,37.94B,39.81B,,3.514B,3.514B,3.514B,7.437B,388.40M,388.40M,28.43B,,28.82B,36.66B,,,1.907B,,,,-64.50M,3.145B,,,
1999-03,,1.368B,,1.368B,309.10M,,309.10M,1.678B,,,,,,,,559.20M,,,,26.65B,330.20M,-62.40M,26.26B,8.994B,36.86B,38.61B,,2.991B,2.991B,2.991B,5.498B,497.40M,497.40M,29.13B,,29.63B,35.49B,,,1.821B,,,,3.90M,3.126B,,,
1998-12,,1.997B,,1.997B,292.00M,,292.00M,2.289B,,,,,,,,534.40M,,,,25.36B,315.40M,-64.50M,24.98B,8.018B,34.49B,36.83B,,2.430B,2.430B,2.430B,4.497B,571.00M,571.00M,28.35B,,28.92B,33.83B,,,1.729B,,,,25.00M,3.000B,,,
1998-09,,1.485B,,1.485B,,,287.30M,1.772B,,,,,,,,514.10M,,,,24.65B,325.20M,-71.20M,24.26B,7.721B,33.29B,35.08B,,2.608B,2.608B,2.608B,3.898B,424.20M,424.20M,27.18B,,27.61B,32.12B,,,1.649B,,,,35.00M,2.958B,,,
1998-06,,1.078B,,1.078B,,,212.10M,1.291B,,,,,,,,362.10M,,,,19.23B,226.50M,-36.50M,18.96B,5.330B,25.16B,26.52B,,2.139B,2.139B,2.139B,3.442B,366.90M,366.90M,20.20B,,20.56B,24.32B,,,1.412B,,,,,2.194B,,,
1998-03,,1.136B,,1.136B,,,189.40M,1.325B,,,,,,,,351.20M,,,,18.51B,222.00M,-36.10M,18.25B,5.056B,24.16B,25.63B,,978.80M,978.80M,978.80M,2.433B,373.80M,373.80M,20.29B,,20.66B,23.50B,,,1.356B,,,,8.60M,2.132B,,,
1997-12,,1.518B,,1.518B,,,231.90M,1.750B,,,,,,,,458.80M,,,,22.34B,304.20M,-71.20M,21.96B,6.367B,29.51B,31.41B,,578.60M,578.60M,578.60M,2.707B,445.50M,445.50M,25.01B,,25.46B,28.73B,,,1.466B,,,,15.90M,2.680B,,,
1997-09,,966.90M,,966.90M,,,161.80M,1.129B,,,,,,,,310.00M,,,,16.12B,196.10M,-31.40M,15.89B,4.409B,21.08B,22.24B,,42.10M,42.10M,42.10M,2.067B,402.60M,402.60M,17.62B,,18.03B,20.39B,,,1.179B,,,,9.60M,1.852B,,,
1997-06,,782.10M,,782.10M,,,159.60M,941.70M,,,,,,,,308.10M,,,,15.37B,195.90M,-29.30M,15.14B,4.312B,20.23B,21.21B,,40.10M,40.10M,40.10M,1.909B,419.50M,419.50M,16.82B,,17.24B,19.40B,,,1.133B,,,,4.40M,1.817B,,,
1997-03,,616.90M,,616.90M,,,144.60M,761.50M,,,,,,,,294.00M,,,,14.13B,185.80M,-29.20M,13.92B,4.122B,18.94B,19.79B,,49.10M,49.10M,49.10M,1.403B,482.20M,482.20M,15.92B,,16.40B,18.07B,,,1.107B,,,,-3.20M,1.720B,,,
1996-12,,808.10M,,808.10M,,,139.30M,947.40M,,,,,,,,276.90M,,,,13.34B,175.50M,-24.30M,13.14B,3.900B,17.90B,18.93B,,62.20M,62.20M,62.20M,1.612B,447.30M,447.30M,15.05B,,15.50B,17.33B,,,1.051B,,,,3.70M,1.599B,,,
1996-09,,915.60M,,915.60M,,,139.10M,1.055B,,,,,,,,273.30M,,,,13.18B,178.40M,-24.40M,12.98B,4.020B,17.66B,18.73B,,23.00M,23.00M,23.00M,1.366B,448.00M,448.00M,15.19B,,15.64B,17.18B,,,1.012B,,,,-0.80M,1.555B,,,
1996-06,,804.20M,,804.20M,135.40M,,135.40M,939.60M,,,,,,,,263.40M,,,,12.57B,171.40M,-18.00M,12.38B,3.979B,16.96B,17.92B,,28.50M,28.50M,28.50M,1.276B,457.20M,457.20M,14.61B,,15.07B,16.48B,,,976.70M,,,,-3.80M,1.443B,,,
1996-03,,752.70M,,752.70M,105.90M,,105.90M,858.60M,,,,,,,,259.90M,,,,11.88B,167.10M,-14.50M,11.70B,4.131B,16.62B,17.53B,,43.80M,43.80M,43.80M,1.125B,501.50M,501.50M,14.18B,,14.68B,16.05B,,,514.40M,,,,3.80M,1.483B,,,
1995-12,,531.70M,,531.70M,99.10M,,99.10M,630.80M,,,,,,,,188.30M,,,,9.564B,129.60M,-18.70M,9.416B,3.055B,13.03B,13.71B,,954.30M,954.30M,954.30M,954.30M,552.60M,552.60M,10.90B,,11.45B,12.58B,,,407.00M,,,,,1.125B,,,
1995-09,,652.70M,,652.70M,,,101.90M,754.60M,,,,,,,,188.10M,,,,9.618B,131.40M,-20.90M,9.465B,3.051B,13.08B,13.85B,,50.50M,50.50M,50.50M,1.267B,573.80M,573.80M,10.74B,,11.32B,12.73B,,,418.50M,,,,3.60M,1.114B,,,
1995-06,,576.40M,,576.40M,,,,576.40M,,,,,,,,185.40M,,,,9.725B,129.50M,-22.80M,9.572B,2.634B,12.77B,13.48B,,867.00M,867.00M,867.00M,867.00M,586.00M,586.00M,10.78B,,11.37B,12.40B,,,644.90M,,,,5.00M,1.079B,,,
1995-03,,524.20M,,524.20M,,,90.40M,614.60M,,,,,,,,175.20M,,,,9.251B,122.60M,-24.40M,9.104B,2.525B,12.13B,12.83B,,763.40M,763.40M,763.40M,763.40M,488.30M,488.30M,10.33B,,10.82B,11.78B,,,426.70M,,,,-2.40M,1.043B,,,
1994-12,,596.80M,,596.80M,88.30M,,88.30M,685.10M,,,,,,,,160.80M,,,,9.044B,117.00M,-25.70M,8.901B,2.634B,12.04B,12.84B,,1.012B,1.012B,1.012B,1.012B,519.20M,519.20M,10.09B,,10.61B,11.83B,,,431.00M,,,,,1.014B,,,
1994-09,,510.20M,,510.20M,83.30M,,83.30M,593.50M,,,,,,,,147.80M,,,,8.063B,112.90M,-25.50M,7.925B,2.488B,11.04B,11.67B,,33.80M,33.80M,33.80M,734.50M,612.20M,612.20M,9.270B,,9.882B,10.77B,,,553.10M,,,,-4.90M,901.50M,,,
1994-06,,406.70M,,406.70M,72.80M,,72.80M,479.50M,,,,,,,,142.90M,,,,7.325B,108.30M,-27.00M,7.189B,2.769B,10.30B,10.82B,,528.50M,528.50M,528.50M,528.50M,437.50M,437.50M,8.788B,,9.225B,9.917B,,,515.80M,,,,0.90M,905.50M,,,
1994-03,,484.50M,,484.50M,71.60M,,71.60M,556.10M,,,,,,,,139.70M,,,,6.880B,103.30M,-31.60M,6.745B,2.487B,9.810B,10.44B,,20.10M,20.10M,20.10M,134.70M,449.70M,449.70M,8.767B,,9.217B,9.558B,,,483.10M,,,,6.20M,878.20M,,,
1993-12,,579.80M,,579.80M,67.50M,,67.50M,647.30M,,,,,,,,140.20M,,,,6.870B,100.80M,-36.30M,6.732B,2.389B,9.753B,10.48B,,203.80M,203.80M,203.80M,203.80M,462.90M,462.90M,8.771B,,9.234B,9.625B,,,462.30M,,,,,851.00M,,,
1993-09,,411.50M,,411.50M,60.60M,,60.60M,2.067B,,,,,,,,118.80M,,,,5.616B,86.90M,-37.70M,5.491B,62.10M,6.063B,8.146B,,22.30M,22.30M,22.30M,137.90M,141.80M,141.80M,7.043B,,7.185B,7.440B,,,443.00M,,,,,706.00M,,,
1993-06,,462.30M,,462.30M,56.20M,,56.20M,1.872B,,,,,,,,118.10M,,,,5.751B,86.20M,-44.20M,5.620B,261.90M,6.172B,8.071B,,19.90M,19.90M,19.90M,252.60M,141.80M,141.80M,6.864B,,7.005B,7.384B,,,424.00M,,,,,686.70M,,,
1993-03,,551.80M,,551.80M,,,,2.136B,,,,,,,,116.50M,,,,5.233B,81.30M,-51.70M,5.100B,65.20M,5.685B,7.853B,,159.00M,159.00M,159.00M,159.00M,141.70M,141.70M,6.724B,,6.865B,7.178B,,,405.60M,,,,,674.90M,,,
1992-12,,569.10M,,569.10M,53.10M,,53.10M,2.063B,,,,,,,,115.90M,,,,5.193B,73.60M,-57.70M,5.061B,241.70M,5.791B,7.881B,,21.20M,21.20M,21.20M,253.20M,137.00M,137.00M,6.701B,,6.838B,7.224B,,,516.10M,,,,,656.70M,,,
1992-09,,502.00M,,502.00M,,,57.20M,2.158B,,,,,,,,116.70M,,,,4.772B,68.20M,-65.50M,4.638B,79.00M,5.203B,7.367B,,294.30M,294.30M,294.30M,294.30M,61.40M,61.40M,6.301B,,6.363B,6.747B,,,499.80M,,,,,620.00M,,,
1992-06,,473.70M,,473.70M,,,54.00M,527.70M,,,,,,,,113.80M,,,,4.585B,64.20M,-75.50M,4.445B,1.655B,6.498B,7.037B,,20.70M,20.70M,20.70M,164.10M,51.00M,51.00M,6.134B,,6.185B,6.435B,,,482.90M,,,,,602.60M,,,
1992-03,,735.20M,,735.20M,59.50M,,59.50M,794.70M,,,,,,,,114.10M,,,,4.547B,58.80M,-82.70M,4.405B,1.614B,6.286B,7.118B,,134.40M,134.40M,134.40M,134.40M,52.70M,52.70M,6.222B,,6.275B,6.531B,,,468.20M,,,,,587.10M,,,
1991-12,,479.50M,,479.50M,57.00M,,57.00M,536.50M,,,,,,,,111.70M,,,,4.365B,54.80M,-89.90M,4.220B,1.580B,6.186B,6.745B,,24.90M,24.90M,24.90M,133.40M,18.80M,18.80M,5.917B,,5.936B,6.172B,,,454.40M,,,,,573.00M,,,
1991-09,,483.90M,,483.90M,65.30M,,65.30M,549.20M,,,,,,,,108.50M,,,,4.234B,53.80M,-99.30M,4.081B,1.504B,5.944B,6.499B,,40.80M,40.80M,40.80M,141.10M,19.30M,19.30M,5.694B,,5.713B,5.938B,,,442.50M,,,,,560.90M,,,
1991-06,,344.30M,,344.30M,62.90M,,62.90M,407.20M,,,,,,,,110.10M,,,,4.227B,51.40M,-105.70M,4.070B,1.466B,5.908B,6.324B,,27.40M,27.40M,27.40M,170.40M,18.60M,18.60M,5.510B,,5.528B,5.776B,,,429.80M,,,,,547.70M,,,
1991-03,,444.30M,,444.30M,66.20M,,66.20M,510.50M,,,,,,,,110.80M,,,,4.115B,47.80M,-104.10M,3.963B,1.495B,5.810B,6.338B,,36.10M,36.10M,36.10M,295.40M,19.60M,19.60M,5.396B,,5.416B,5.803B,,,418.40M,,,,,535.60M,,,
1990-12,,384.80M,,384.80M,62.70M,,62.70M,447.50M,,,,,,,,110.20M,,,,4.199B,45.00M,-106.70M,4.047B,1.503B,5.889B,6.344B,,37.20M,37.20M,37.20M,362.30M,19.70M,19.70M,5.353B,,5.373B,5.820B,,,407.70M,,,,,524.10M,,,
1990-09,,348.30M,,348.30M,68.80M,,68.80M,417.10M,,,,,,,,105.20M,,,,4.025B,43.00M,-105.10M,3.877B,1.378B,5.673B,6.093B,,40.40M,40.40M,40.40M,175.20M,20.40M,20.40M,5.302B,,5.322B,5.579B,,,397.60M,,,,,514.00M,,,
1990-06,,357.20M,,357.20M,54.20M,,54.20M,411.40M,,,,,,,,104.20M,,,,3.762B,41.20M,-100.10M,3.621B,1.051B,4.949B,5.363B,,41.00M,41.00M,41.00M,139.00M,18.80M,18.80M,4.635B,,4.654B,4.859B,,,386.90M,,,,,503.80M,,,
1990-03,,327.70M,,327.70M,57.20M,,57.20M,384.90M,,,,,,,,104.90M,,,,3.656B,38.90M,-93.70M,3.524B,1.09B,4.923B,5.310B,,42.40M,42.40M,42.40M,133.30M,19.90M,19.90M,4.591B,,4.611B,4.815B,,,377.40M,,,,,494.40M,,,
1989-12,,498.60M,,498.60M,58.30M,,58.30M,556.90M,,,,,,,,104.20M,,,,3.777B,37.10M,-90.20M,3.649B,1.141B,4.990B,5.550B,,29.20M,29.20M,29.20M,194.90M,45.30M,45.30M,4.744B,,4.790B,5.060B,,,369.00M,,,,,489.40M,,,
