,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2012-12,265.00M,-3.00M,,-12.00M,-54.00M,187.00M,187.00M,135.00M,,,,-127.00M,827.00M,-61.00M,-981.00M,-2.00M,-217.00M,226.00M,,-66.00M,-66.00M,0.00,0.00,-11.00M,,982.00M,,-349.00M,-362.00M,-711.00M,0.00,0.00,0.00,,-45.00M,441.00M,-13.00M,-4.00M,-17.00M,45.00M,0.00,351.00M,,3.93B,1.559B,5.489B,,486.00M,0.00,-349.00M,-45.00M,,AOR,Restated
2012-09,301.00M,-1.00M,,-12.00M,-70.00M,182.00M,182.00M,98.00M,,,,-94.00M,-21.00M,164.00M,589.00M,-4.00M,728.00M,1.178B,,-35.00M,-35.00M,0.00,0.00,-52.00M,,587.00M,,0.00,-1.37B,-1.37B,0.00,0.00,0.00,,0.00,0.00,-14.00M,0.00,-14.00M,0.00,0.00,-1.601B,,3.766B,164.00M,3.93B,,0.00,0.00,0.00,0.00,,AOR,Restated
2012-06,355.00M,-15.00M,,-12.00M,-40.00M,177.00M,177.00M,146.00M,,,,-383.00M,53.00M,-363.00M,257.00M,54.00M,1.00M,282.00M,,-42.00M,-42.00M,0.00,855.00M,-6.00M,,1.235B,,-953.00M,1.327B,374.00M,0.00,0.00,0.00,,-3.50B,-3.50B,-14.00M,0.00,-14.00M,-45.00M,1.00M,-5.224B,,7.473B,-3.707B,3.766B,,0.00,0.00,-953.00M,-3.50B,,AOR,Restated
2012-03,199.00M,,,-12.00M,-35.00M,171.00M,171.00M,55.00M,,,,284.00M,-36.00M,79.00M,-218.00M,139.00M,-36.00M,755.00M,,-37.00M,-37.00M,,,-2.082B,,-1.797B,,-900.00M,-159.00M,-1.059B,875.00M,,875.00M,,,,-13.00M,-44.00M,-57.00M,,,1.27B,,7.245B,228.00M,7.473B,,875.00M,,-900.00M,,,AOR,Restated
2011-12,-548.00M,0.00,,-7.00M,-1.191B,179.00M,179.00M,34.00M,,,,1.143B,61.00M,-482.00M,13.00M,-112.00M,-520.00M,137.00M,,-38.00M,-38.00M,,0.00,112.00M,,1.089B,,-2.001B,124.00M,-1.877B,,,0.00,,,0.00,-12.00M,-44.00M,-56.00M,,,-2.244B,,8.263B,-1.018B,7.245B,,,0.00,-1.007B,,,AOR,Restated
2011-09,155.00M,0.00,,1.00M,356.00M,366.00M,366.00M,24.00M,-190.00M,,0.00,78.00M,-68.00M,572.00M,164.00M,-38.00M,630.00M,1.774B,,-35.00M,-35.00M,,0.00,-584.00M,,246.00M,,-1.501B,221.00M,-1.28B,,,0.00,,,0.00,-14.00M,-44.00M,-58.00M,,,-1.731B,,7.974B,289.00M,8.263B,,,0.00,-1.28B,,,AOR,Restated
2011-06,109.00M,0.00,,-24.00M,719.00M,70.00M,70.00M,-67.00M,93.00M,,0.00,149.00M,87.00M,42.00M,-60.00M,,69.00M,1.51B,,-100.00M,-100.00M,,0.00,1.135B,,249.00M,,-551.00M,-460.00M,-1.011B,,,0.00,,,0.00,-12.00M,-44.00M,-56.00M,,,-1.105B,,7.32B,654.00M,7.974B,,,400.00M,-1.411B,,,AOR,Restated
2011-03,69.00M,,,-82.00M,39.00M,68.00M,68.00M,-14.00M,97.00M,,,-45.00M,-20.00M,1.109B,-483.00M,,606.00M,1.332B,,-28.00M,-28.00M,,,-1.539B,,-925.00M,,-950.00M,-755.00M,-1.705B,,,0.00,,,,-13.00M,-43.00M,-56.00M,,,-6.00M,,6.919B,401.00M,7.32B,,,601.00M,-2.306B,,,AOR,Restated
2010-12,89.00M,,,-333.00M,-536.00M,516.00M,516.00M,6.00M,-314.00M,0.00,,530.00M,91.00M,-2.511B,224.00M,2.116B,-80.00M,893.00M,,-73.00M,-73.00M,,,-2.00M,,409.00M,,-1.126B,276.00M,-850.00M,,,,,,,-13.00M,-43.00M,-56.00M,,,-1.27B,,6.887B,32.00M,6.919B,,,3.00B,-4.119B,,,AOR,Restated
2010-09,-155.00M,,,-2.00M,-164.00M,71.00M,71.00M,-70.00M,113.00M,,,121.00M,-46.00M,-280.00M,365.00M,-176.00M,-137.00M,539.00M,,-47.00M,-47.00M,,,409.00M,,657.00M,,-1.089B,697.00M,-392.00M,,,,,,,-12.00M,-44.00M,-56.00M,,,-1.72B,,7.411B,-524.00M,6.887B,,,0.00,-392.00M,,,AOR,Restated
