,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2005-12,5.716M,,,,-0.78M,1.664M,0.915M,2.579M,2.579M,-1.47M,,,,,,-4.429M,-4.994M,0.352M,3.444M,,1.187M,,-4.44M,1.605M,-3.249M,,-3.249M,,-27.59M,,-0.847M,-31.69M,,,,5.006M,,5.006M,,5.671M,10.68M,113.99M,-19.41M,-0.072M,94.51M,5.006M,,,
2005-09,9.476M,,,,0.703M,1.648M,0.286M,1.934M,1.934M,-0.135M,,,,,7.694M,-3.692M,-2.846M,-3.266M,-1.578M,,-4.509M,,-7.752M,11.92M,-1.145M,-0.707M,-1.852M,,,,-0.08M,-1.932M,,,-0.59M,2.364M,,2.364M,,,1.774M,102.25M,11.76M,-0.015M,113.99M,2.364M,,,
2005-06,8.158M,,,,-0.482M,1.641M,0.282M,1.923M,1.923M,0.815M,,,,,-0.072M,-1.554M,-4.732M,-0.078M,2.835M,,3.316M,,-0.213M,10.13M,-1.827M,0.707M,-1.12M,,,,-5.482M,-6.602M,,,-0.118M,3.49M,,3.49M,,,3.372M,95.69M,6.899M,-0.343M,102.25M,3.49M,,,
2005-03,6.048M,,,,0.324M,1.52M,0.295M,1.815M,1.815M,-0.417M,,,,,0.072M,-0.674M,-2.387M,0.598M,3.267M,,8.989M,,9.793M,17.64M,-1.579M,,-1.579M,,,,-0.84M,-2.419M,,,-0.119M,8.119M,,8.119M,,,8.00M,72.70M,23.22M,-0.227M,95.69M,8.119M,,,
2004-12,4.574M,,,,0.26M,1.612M,0.29M,1.902M,1.902M,-0.398M,,,,,,-3.39M,5.584M,-0.313M,-0.901M,,-1.824M,,-0.844M,5.494M,-3.148M,,-3.148M,,,,-0.198M,-3.346M,,,-0.12M,1.895M,,1.895M,,,1.775M,68.34M,3.923M,0.444M,72.70M,1.895M,,,
2004-09,5.21M,,,,0.652M,1.451M,0.474M,1.925M,1.925M,,,,,,,-0.635M,2.805M,0.542M,-0.351M,,2.425M,,8.308M,13.78M,-2.912M,,-2.912M,,-0.341M,,0.406M,-2.847M,,,-0.586M,1.024M,,1.024M,,,0.438M,56.94M,11.37M,0.018M,68.34M,1.024M,,,
2004-06,3.325M,,,,0.031M,1.399M,0.46M,1.859M,1.859M,,,,,,,-5.408M,-0.543M,0.368M,1.438M,,0.478M,,-3.667M,1.548M,-1.048M,-0.535M,-1.583M,,0.341M,,-0.302M,-1.544M,,,-0.157M,0.977M,,0.977M,,,0.82M,56.13M,0.824M,-0.013M,56.94M,0.977M,,,
2004-03,2.589M,,,,0.03M,1.373M,0.472M,1.845M,1.845M,,,,,,,4.995M,1.328M,-0.394M,-1.832M,,2.081M,,6.178M,10.64M,-1.509M,0.236M,-1.273M,,0.00,,0.027M,-1.246M,,,-0.163M,1.923M,,1.923M,,,1.76M,45.02M,11.16M,-0.038M,56.13M,1.923M,,,
2003-12,1.04M,,,,0.031M,1.489M,0.471M,1.96M,1.96M,,,,,,,-3.387M,-0.162M,-0.072M,0.293M,,0.951M,,-2.377M,0.654M,-1.718M,0.299M,-1.419M,,-0.341M,,0.032M,-1.728M,,,-0.177M,1.079M,,1.079M,,,0.902M,45.18M,-0.172M,0.01M,45.02M,1.079M,,,
2003-09,2.334M,,,,-0.165M,1.418M,0.443M,1.861M,1.861M,,,,,,,-3.383M,3.111M,-0.865M,0.142M,,2.712M,,1.717M,4.678M,-1.024M,,-1.024M,,,,0.24M,-0.784M,,,-0.064M,1.391M,,1.391M,,,1.327M,39.87M,5.221M,0.082M,45.18M,1.391M,,,
2003-06,1.077M,,,,0.055M,1.513M,0.334M,1.847M,1.847M,,,,,,,1.831M,-1.009M,6.839M,-0.233M,,-0.345M,,7.083M,10.06M,-1.837M,,-1.837M,,,,0.037M,-1.80M,,,-0.212M,0.445M,,0.445M,,,0.233M,31.42M,8.495M,-0.042M,39.87M,0.445M,,,
2003-03,0.552M,,,,0.055M,1.451M,0.577M,2.028M,2.028M,,,,,,,-6.745M,-5.528M,-1.109M,0.499M,,0.604M,,-12.28M,-9.644M,-2.86M,,-2.86M,,,,0.077M,-2.783M,,,-0.213M,0.654M,,0.654M,,,0.441M,43.21M,-11.99M,0.198M,31.42M,0.654M,,,
2002-12,-1.081M,,,,0.055M,1.109M,0.56M,1.669M,1.669M,,,,,,,4.201M,-1.648M,0.438M,-0.575M,,-3.424M,,-1.008M,-0.365M,-2.425M,,-2.425M,,,,-0.13M,-2.555M,,,-0.229M,0.565M,,0.565M,,,0.336M,45.84M,-2.584M,-0.043M,43.21M,0.565M,,,
2002-09,-3.165M,,,,0.28M,5.395M,2.081M,1.634M,1.634M,2.196M,,,,,,-0.265M,1.506M,6.288M,1.231M,,0.088M,,8.848M,9.793M,-1.643M,,-1.643M,,,,31.12M,29.48M,,,-25.42M,0.352M,,0.352M,,,-25.06M,31.94M,14.21M,-0.309M,45.84M,0.352M,,,
2002-06,0.491M,,,,-0.041M,-2.788M,-1.065M,1.989M,1.989M,0.00,,,,,,2.537M,1.017M,2.246M,-0.542M,,-1.469M,,3.789M,6.228M,-2.291M,,-2.291M,,,,0.137M,-2.154M,,,-0.524M,1.72M,,1.72M,,,1.196M,26.23M,5.27M,0.436M,31.94M,1.72M,,,
2002-03,4.426M,,,,0.004M,1.358M,0.537M,1.895M,1.895M,1.70M,,,,,,-2.067M,-1.028M,-8.45M,-0.149M,,-0.408M,,-12.10M,-4.077M,-1.535M,,-1.535M,,,,0.145M,-1.39M,,,-1.079M,2.221M,,2.221M,,,1.142M,30.60M,-4.325M,-0.047M,26.23M,2.221M,,,
2001-12,-1.573M,,,,0.037M,1.43M,0.528M,1.958M,1.958M,,,,,,,2.835M,0.146M,1.914M,-7.83M,,-2.47M,,-5.405M,-4.983M,-0.669M,,-0.669M,,,,-0.154M,-0.823M,,,-1.285M,25.05M,,25.05M,,,23.76M,12.75M,17.96M,-0.109M,30.60M,25.05M,,,
2001-09,-4.927M,,,,0.139M,,,2.252M,2.252M,,,,,,,-1.547M,2.823M,-1.821M,5.646M,,-2.449M,,2.652M,0.409M,-1.637M,,-1.637M,,,,-1.28M,-2.917M,,,2.757M,0.584M,,0.584M,,,3.341M,11.91M,0.833M,0.013M,12.75M,0.584M,,,
2001-06,-1.213M,,,,-2.143M,,,1.729M,1.729M,,,,,,,4.216M,-4.27M,0.313M,-1.345M,,-2.13M,,-3.216M,-4.843M,-0.673M,,-0.673M,,,,1.273M,0.60M,,,0.00,0.024M,,0.024M,,,0.024M,16.17M,-4.219M,-0.039M,11.91M,0.024M,,,
2001-03,-7.945M,,,,-0.002M,,,2.459M,2.459M,,,,,,,0.841M,0.269M,-0.59M,1.731M,-0.354M,-1.908M,,-0.011M,-5.499M,-0.651M,,-0.651M,,,,-0.10M,-0.751M,,,-0.038M,0.265M,,0.265M,,,0.227M,22.36M,-6.023M,-0.17M,16.17M,0.265M,,,
2000-12,-6.765M,,,,0.168M,,,2.295M,2.295M,,,,,,,4.349M,3.488M,,-1.334M,0.354M,-2.873M,,3.984M,-0.318M,-1.369M,,-1.369M,,,,-0.22M,-1.589M,,,1.242M,0.031M,,0.031M,,,1.273M,22.78M,-0.634M,0.215M,22.36M,0.031M,,,
2000-09,-10.92M,,,,10.06M,,,1.309M,1.309M,,,,,,,-0.123M,4.973M,,2.325M,0.516M,5.672M,,13.36M,3.262M,-1.921M,,-1.921M,,-30.20M,17.83M,-0.298M,-14.58M,,,-0.023M,0.285M,,0.285M,,,0.263M,34.10M,-11.06M,-0.26M,22.78M,0.285M,,,
2000-06,-2.644M,,,,-4.985M,,,1.176M,1.176M,,,,,,,0.032M,-1.581M,,0.942M,0.093M,0.337M,,-0.177M,-6.63M,-1.857M,,-1.857M,,13.80M,-9.654M,1.907M,4.197M,,,-0.001M,0.001M,,0.001M,,,0.00,36.72M,-2.433M,-0.192M,34.10M,0.001M,,,
2000-03,-2.153M,,,,0.032M,,,1.135M,1.135M,,,,,,,1.881M,-1.856M,,-0.463M,-0.204M,0.119M,,-0.523M,-1.509M,-1.143M,,-1.143M,,-13.80M,18.66M,-1.627M,2.086M,,,0.009M,0.263M,,0.263M,,,0.272M,36.10M,0.849M,-0.234M,36.72M,0.263M,,,
1999-12,-2.90M,,,,,,,0.80M,0.80M,,,,,,,0.40M,-0.70M,,0.30M,4.20M,2.10M,,6.30M,4.20M,-0.90M,,-0.90M,,,2.30M,-5.20M,-3.80M,,,-0.70M,,,,,,-0.70M,36.50M,-0.30M,-0.10M,36.10M,,,,
1999-09,-3.10M,,,,-2.10M,,,1.40M,1.40M,,,,,,,2.80M,2.30M,,0.60M,-0.30M,-3.00M,,2.40M,-1.40M,7.40M,,7.40M,,,-8.20M,0.20M,-0.60M,,,0.00,0.10M,,0.10M,,,0.10M,38.40M,-1.90M,0.00,36.50M,0.10M,,,
1999-06,-1.50M,,,,0.10M,,,0.90M,0.90M,,,,,,,2.60M,2.40M,,-1.60M,0.20M,-0.30M,,3.30M,2.80M,-8.20M,,-8.20M,,,8.40M,-0.60M,-0.40M,,,-0.40M,0.00,,0.00,,,-0.40M,36.60M,2.00M,-0.10M,38.40M,0.00,,,
1999-03,-1.10M,,,,0.00,,,0.80M,0.80M,,,,,,0.10M,2.10M,1.40M,,-3.30M,-0.10M,-1.80M,,-1.70M,-1.90M,-5.20M,,-5.20M,,,-3.20M,0.10M,-8.30M,,,-1.30M,0.20M,,0.20M,,-0.10M,-1.20M,48.40M,-11.40M,-0.60M,36.60M,0.20M,,,
1998-12,2.00M,,,,0.10M,,,0.40M,0.40M,,,,,,-0.10M,-3.50M,,,4.10M,0.10M,-0.30M,,0.40M,2.80M,-2.90M,,-2.90M,,,0.90M,0.20M,-1.80M,,,-1.00M,,,,,0.10M,-0.90M,48.40M,0.10M,,48.40M,,,,
1998-09,1.30M,,,,0.10M,,,0.70M,0.70M,,,,,,-0.10M,3.00M,-2.40M,,-0.30M,1.10M,-0.40M,,1.00M,0.50M,-20.50M,,-20.50M,,,19.70M,-0.90M,-1.70M,,,2.60M,1.50M,,1.00M,,-0.30M,3.30M,45.90M,2.10M,0.40M,48.40M,1.50M,,,
1998-06,4.30M,,,,0.10M,,,0.40M,0.40M,,,,,,0.10M,-1.80M,0.40M,,-0.50M,-1.00M,4.70M,,1.80M,6.70M,-1.00M,,-1.00M,,,-2.50M,-1.60M,-5.10M,,,0.40M,-0.10M,,-0.10M,,0.30M,0.60M,0.00,2.20M,0.00,45.90M,-0.10M,,,
