,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,AccruedComprehensiveInc,ShareholdersEquity
2009-09,293.19M,,293.19M,263.23M,,263.23M,116.98M,,62.91M,179.89M,29.24M,0.916M,52.16M,,818.62M,0.0,8.983M,57.21M,333.02M,,39.70M,438.92M,-160.54M,278.38M,2.109B,2.423B,4.532B,,,,,55.70M,4.866B,5.684B,46.59M,,46.59M,137.28M,183.87M,,,,38.37M,,38.37M,107.04M,107.04M,,,329.29M,,1.514B,,1.514B,1.045B,,1.057B,,,,58.53M,2.629B,2.958B,2.579M,-2.464B,5.182B,1.433M,,7.028M,2.726B
2009-06,243.72M,,243.72M,279.81M,,279.81M,118.23M,,65.17M,183.40M,29.80M,0.911M,56.45M,,794.10M,0.0,8.932M,56.65M,321.72M,,39.84M,427.15M,-149.51M,277.64M,2.101B,2.477B,4.578B,,,,,68.91M,4.924B,5.718B,49.78M,,49.78M,119.76M,169.54M,,,,25.36M,,25.36M,101.55M,101.55M,,,296.44M,,1.981B,,1.981B,918.60M,,929.71M,,,,55.57M,2.967B,3.263B,2.568M,-2.429B,4.879B,1.433M,,3.431M,2.455B
2009-03,217.23M,,217.23M,299.61M,,299.61M,113.71M,,65.24M,178.95M,36.26M,3.394M,59.64M,,795.09M,0.0,8.866M,55.66M,304.46M,,39.59M,408.58M,-131.95M,276.63M,2.113B,2.525B,4.637B,,,,,74.45M,4.988B,5.783B,51.71M,,51.71M,122.56M,174.27M,,,,33.95M,,33.95M,98.93M,98.93M,,,307.15M,,2.081B,,2.081B,928.63M,,939.47M,,,,54.22M,3.075B,3.382B,2.567M,-2.470B,4.871B,1.433M,,-0.434M,2.402B
2008-12,171.48M,,171.48M,318.54M,,318.54M,109.32M,,72.08M,181.40M,20.40M,3.146M,51.86M,,746.82M,0.0,8.931M,95.15M,293.24M,,,397.32M,-116.34M,280.98M,4.455B,2.579B,7.034B,,,,,77.26M,7.393B,8.139B,54.01M,,54.01M,127.23M,181.24M,,,,36.84M,,36.84M,87.88M,87.88M,,9.50M,315.45M,,2.134B,,2.134B,924.95M,,924.95M,,,,67.94M,3.127B,3.443B,2.565M,-169.65M,4.862B,1.433M,,3.312M,4.697B
2008-09,95.66M,,95.66M,321.30M,,321.30M,111.22M,,63.45M,174.67M,44.66M,3.629M,53.66M,,693.58M,0.0,8.978M,55.74M,284.19M,,38.62M,387.53M,-103.55M,283.98M,4.450B,2.630B,7.080B,,,,,76.93M,7.441B,8.135B,59.59M,,59.59M,154.75M,214.34M,,,,38.48M,,38.48M,88.06M,88.06M,,,340.88M,,2.162B,,2.162B,920.84M,,931.62M,,,,57.45M,3.151B,3.492B,2.564M,-217.64M,4.854B,1.433M,,4.945M,4.642B
2008-06,119.86M,,119.86M,313.38M,35.00M,348.38M,108.74M,,69.76M,178.50M,15.98M,,32.71M,,695.44M,0.0,9.075M,85.26M,279.22M,,,373.56M,-92.02M,281.54M,4.211B,2.564B,6.775B,,,,,61.64M,7.118B,7.814B,56.22M,,56.22M,160.34M,216.57M,,,,2.416M,,2.416M,84.93M,84.93M,,,303.91M,,1.735B,,1.735B,936.11M,,936.11M,,,,63.34M,2.734B,3.038B,2.562M,-73.27M,4.839B,1.433M,,8.652M,4.775B
2008-03,97.80M,,97.80M,313.45M,36.93M,350.38M,92.52M,,65.87M,158.39M,19.09M,,32.76M,,658.44M,0.0,9.078M,72.03M,274.07M,,,355.18M,-78.95M,276.23M,4.195B,2.601B,6.797B,,,,,58.94M,7.132B,7.790B,59.41M,,59.41M,137.72M,197.12M,,,,2.419M,,2.419M,67.69M,67.69M,,7.50M,274.74M,,1.825B,,1.825B,941.27M,,941.27M,,,,62.43M,2.829B,3.103B,2.557M,-134.65M,4.812B,1.433M,,8.528M,4.687B
2007-12,154.66M,,154.66M,288.40M,71.07M,359.48M,93.18M,,56.89M,150.07M,17.24M,34.67M,36.76M,,752.88M,0.0,8.982M,65.02M,250.36M,,,324.36M,-65.62M,258.74M,4.191B,2.630B,6.821B,,,,,65.58M,7.146B,7.899B,60.10M,,60.10M,127.05M,187.15M,2.914M,,,2.914M,,2.914M,60.33M,60.33M,,,250.40M,,2.034B,,2.034B,945.47M,,945.47M,,,,59.34M,3.038B,3.289B,1.274M,-190.64M,4.795B,1.433M,,5.723M,4.610B
2007-09,100.40M,,100.40M,152.74M,,152.74M,69.40M,,35.89M,105.29M,11.39M,,29.36M,,399.18M,0.0,2.71M,35.21M,87.43M,,,125.36M,-55.59M,69.77M,407.53M,174.36M,581.89M,,,,,15.51M,667.17M,1.066B,42.29M,,42.29M,88.58M,130.87M,,,,1.977M,,1.977M,45.77M,45.77M,,,178.61M,,9.222M,,9.222M,54.87M,,54.87M,,,,17.93M,82.01M,260.63M,1.103M,168.45M,633.48M,1.433M,,4.123M,805.72M
2007-06,93.80M,,93.80M,131.57M,,131.57M,57.60M,,34.94M,92.54M,12.36M,,20.35M,,350.62M,0.0,2.758M,33.91M,82.87M,,,119.54M,-51.62M,67.92M,354.62M,146.06M,500.67M,,,,,14.70M,583.29M,933.91M,36.81M,,36.81M,85.54M,122.35M,2.536M,,,2.536M,,2.536M,40.85M,40.85M,,,165.73M,,7.064M,,7.064M,49.76M,,49.76M,,,,11.29M,68.12M,233.85M,0.539M,136.34M,562.60M,0.464M,,1.037M,700.06M
2007-03,54.50M,,54.50M,117.87M,,117.87M,60.75M,,31.66M,92.41M,11.58M,,32.89M,,309.25M,0.0,2.746M,31.49M,77.85M,,,112.09M,-48.22M,63.87M,341.71M,149.78M,491.49M,,,,,6.903M,562.26M,871.51M,35.02M,,35.02M,64.16M,99.18M,1.83M,,,1.83M,,1.83M,34.96M,34.96M,,,135.97M,,7.022M,,7.022M,59.94M,,59.94M,,,,10.32M,77.28M,213.25M,0.538M,111.60M,546.06M,0.464M,,0.531M,658.26M
2006-12,37.31M,,37.31M,108.24M,,108.24M,63.34M,,35.48M,98.82M,7.377M,,48.45M,,300.19M,0.0,2.733M,30.95M,75.24M,,,108.91M,-44.96M,63.96M,341.84M,153.62M,495.46M,,,,,8.399M,567.81M,868.00M,29.44M,,29.44M,63.19M,92.62M,1.283M,,40.00M,41.28M,,41.28M,31.54M,31.54M,,,165.45M,,5.848M,,5.848M,59.36M,,59.36M,,,,10.17M,75.38M,240.83M,0.528M,89.96M,536.92M,0.464M,,0.226M,627.16M
2006-09,29.92M,,29.92M,108.57M,,108.57M,58.23M,,35.25M,93.48M,7.112M,,50.94M,,290.02M,0.0,2.695M,30.23M,70.23M,,,103.16M,-41.44M,61.72M,341.99M,158.16M,500.16M,,,,,4.305M,566.18M,856.20M,26.44M,,26.44M,51.26M,77.70M,2.921M,,55.00M,57.92M,,57.92M,30.90M,30.90M,,,166.53M,,6.163M,,6.163M,60.86M,,60.86M,,,,16.90M,83.93M,250.46M,0.526M,73.88M,532.26M,0.464M,,-0.442M,605.75M
2006-06,110.14M,,110.14M,86.88M,,86.88M,53.59M,,32.16M,85.74M,10.21M,,,,292.97M,0.0,2.684M,29.57M,62.28M,,,94.53M,-37.75M,56.78M,8.689M,34.32M,43.00M,,,,,8.389M,108.18M,401.15M,31.62M,,31.62M,,31.62M,2.80M,,47.05M,49.85M,,49.85M,19.88M,19.88M,,,101.35M,,7.923M,,7.923M,1.853M,,1.853M,,,,7.58M,17.36M,118.71M,0.457M,75.35M,208.06M,0.464M,-0.954M,-0.954M,282.44M
2006-03,108.28M,,108.28M,70.77M,,70.77M,42.65M,,18.21M,60.87M,16.15M,,,,256.07M,0.0,1.50M,17.41M,51.37M,,,70.28M,-35.66M,34.62M,6.285M,32.15M,38.44M,,,,0.639M,3.213M,76.91M,332.98M,20.10M,,20.10M,26.98M,47.08M,,,,,,,18.35M,18.35M,,,65.43M,,,,,,,,,,,,5.262M,70.70M,0.456M,63.33M,200.24M,0.464M,,-1.275M,262.29M
2005-12,94.51M,,94.51M,62.12M,,62.12M,,,,49.47M,11.76M,,,,217.86M,0.0,1.50M,17.36M,50.03M,,,68.90M,-34.01M,34.88M,,39.35M,39.35M,,,,0.381M,1.729M,76.35M,294.21M,17.60M,,17.60M,19.57M,37.17M,,,,,,,22.26M,22.26M,,,59.44M,,,,,,,,,,,,,59.44M,0.449M,52.17M,183.93M,0.464M,,-1.305M,234.78M
2005-09,113.99M,,113.99M,57.74M,,57.74M,34.71M,,9.806M,44.52M,12.12M,,,,228.38M,0.0,1.50M,17.12M,47.09M,,,65.71M,-32.38M,33.33M,,11.45M,11.45M,,,,,6.688M,51.46M,279.84M,14.16M,,14.16M,25.24M,39.40M,,,,,,,16.36M,16.36M,,,55.76M,,,,,1.471M,,1.471M,,,,4.774M,6.245M,62.00M,0.443M,46.45M,172.64M,0.464M,,-1.239M,217.83M
2005-06,102.25M,,102.25M,54.04M,,54.04M,33.97M,,7.71M,41.68M,8.924M,,,,206.90M,0.0,1.50M,17.10M,46.13M,,,64.73M,-30.80M,33.93M,,11.71M,11.71M,,,,,6.659M,52.31M,259.20M,15.74M,,15.74M,27.24M,42.98M,0.472M,,,0.472M,,0.472M,17.19M,17.19M,,,60.64M,,0.118M,,0.118M,,,,,,,,0.118M,60.76M,0.22M,36.98M,162.94M,0.464M,-1.231M,-1.231M,198.44M
2005-03,95.69M,,95.69M,52.40M,,52.40M,31.32M,,5.767M,37.09M,8.862M,,,,194.04M,0.0,1.50M,16.82M,45.22M,,,63.54M,-29.63M,33.91M,,12.03M,12.03M,,,,,1.173M,47.12M,241.16M,12.93M,,12.93M,24.01M,36.94M,0.472M,,,0.472M,,0.472M,16.47M,16.47M,,,53.89M,,0.236M,,0.236M,,,,,,,,0.236M,54.12M,0.217M,28.82M,159.45M,0.464M,,-0.99M,187.04M
2004-12,72.70M,,72.70M,51.79M,,51.79M,29.89M,,4.92M,34.81M,9.339M,,,,168.63M,0.0,1.50M,16.81M,44.16M,,,62.46M,-28.23M,34.23M,,12.25M,12.25M,,,,,0.584M,47.06M,215.70M,9.68M,,9.68M,18.98M,28.66M,0.473M,,,0.473M,,0.473M,13.21M,13.21M,,,42.34M,,0.354M,,0.354M,,,,,,,,0.354M,42.69M,0.208M,22.77M,151.34M,0.464M,,-0.852M,173.01M
2004-09,68.34M,,68.34M,48.41M,,48.41M,31.25M,,8.922M,40.17M,9.135M,,,,166.05M,0.0,1.50M,16.42M,41.63M,,,59.55M,-26.68M,32.88M,,12.54M,12.54M,,,,,0.285M,45.70M,211.75M,10.55M,,10.55M,19.29M,29.84M,0.475M,,,0.475M,,0.475M,13.01M,13.01M,,,43.33M,,0.472M,,0.472M,1.677M,,1.677M,,,,,2.149M,45.48M,0.412M,18.20M,149.25M,0.464M,,-1.115M,166.28M
2004-06,56.94M,,56.94M,47.76M,,47.76M,31.74M,,11.22M,42.96M,9.673M,,,,157.33M,0.0,1.50M,16.32M,39.92M,,,57.74M,-25.58M,32.16M,,12.98M,12.98M,,,,,0.414M,45.55M,202.88M,10.89M,,10.89M,18.10M,28.99M,0.943M,,,0.943M,,0.943M,12.36M,12.36M,,,42.29M,,0.59M,,0.59M,,,,,,,,0.59M,42.88M,0.205M,12.99M,148.43M,0.464M,,-1.155M,160.00M
2004-03,56.13M,,56.13M,42.31M,,42.31M,33.73M,,8.674M,42.40M,10.04M,,,,150.89M,0.0,1.50M,16.30M,38.86M,,,56.66M,-24.68M,31.97M,,13.43M,13.43M,,,,,0.492M,45.89M,196.78M,9.451M,,9.451M,18.11M,27.56M,0.982M,,,0.982M,,0.982M,11.86M,11.86M,,,40.40M,,0.708M,,0.708M,,,,,,,,0.708M,41.11M,0.204M,9.66M,147.42M,0.464M,,-1.149M,155.67M
2003-12,45.02M,,45.02M,47.42M,,47.42M,33.88M,,9.934M,43.82M,9.658M,,,,145.91M,0.0,1.50M,13.62M,37.62M,2.651M,,55.39M,-23.30M,32.09M,,13.88M,13.88M,,,,,0.568M,46.54M,192.45M,11.31M,,11.31M,16.52M,27.83M,1.027M,,,1.027M,,1.027M,11.44M,11.44M,,,40.29M,,0.827M,,0.827M,,,,,,,,0.827M,41.12M,0.201M,7.072M,145.53M,0.464M,,-1.01M,151.33M
2003-09,45.18M,,45.18M,43.83M,,43.83M,33.60M,,9.83M,43.43M,9.554M,,,,141.99M,0.0,1.50M,13.61M,37.16M,2.637M,,54.91M,-22.80M,32.11M,,13.85M,13.85M,,,,,0.659M,46.62M,188.60M,10.82M,,10.82M,17.39M,28.21M,0.48M,,,0.48M,,0.48M,9.44M,9.44M,,,38.13M,,1.55M,,1.55M,,,,,,,,1.55M,39.68M,0.20M,6.032M,144.46M,0.464M,,-1.296M,148.93M
2003-06,39.87M,,39.87M,40.44M,,40.44M,,,,46.52M,8.69M,,,,135.53M,0.0,1.50M,16.23M,36.70M,,,54.43M,-21.92M,32.51M,,14.47M,14.47M,,,,,0.745M,47.72M,183.25M,10.67M,,10.67M,16.62M,27.29M,0.48M,,,0.48M,,0.48M,8.743M,8.743M,,,36.52M,,1.614M,,1.614M,,,,,,,,1.614M,38.13M,0.197M,3.698M,143.07M,0.464M,-1.379M,-1.379M,145.12M
2003-03,31.42M,,31.42M,42.22M,,42.22M,34.13M,,11.17M,45.30M,15.64M,,,,134.57M,0.0,1.50M,15.65M,35.48M,,,52.63M,-20.48M,32.14M,,14.79M,14.79M,,,,,0.849M,47.78M,182.35M,11.01M,,11.01M,17.22M,28.23M,0.48M,,,0.48M,,0.48M,8.375M,8.375M,,,37.08M,,1.827M,,1.827M,,,,,,,,1.827M,38.91M,0.197M,2.621M,142.62M,0.464M,-1.534M,-1.534M,143.44M
2002-12,43.21M,,43.21M,35.34M,,35.34M,30.29M,,9.148M,39.44M,14.38M,,,,132.37M,0.0,1.50M,15.57M,32.70M,,,49.77M,-19.09M,30.68M,,15.35M,15.35M,,,,,0.988M,47.02M,179.38M,10.36M,,10.36M,15.87M,26.23M,0.48M,,,0.48M,,0.48M,8.677M,8.677M,,,35.39M,,2.04M,,2.04M,,,,,,,,2.04M,37.43M,0.196M,2.238M,141.97M,0.464M,-1.983M,-1.983M,141.96M
2002-09,45.84M,,45.84M,39.57M,,39.57M,30.64M,,7.218M,37.86M,14.81M,,,,138.07M,0.0,1.50M,15.07M,30.72M,,,47.29M,-17.91M,29.38M,,15.77M,15.77M,,,,,1.059M,46.20M,184.28M,10.93M,,10.93M,18.94M,29.86M,0.48M,,,0.48M,,0.48M,9.254M,9.254M,,,39.60M,,2.268M,,2.268M,,,,,,,,2.268M,41.87M,0.195M,3.15M,141.40M,0.464M,-1.877M,-1.877M,142.41M
2002-06,31.94M,,31.94M,38.92M,,38.92M,27.48M,,11.67M,39.15M,9.599M,,,,119.61M,0.0,12.20M,37.91M,29.82M,,,79.93M,-19.58M,60.35M,,8.771M,8.771M,,,,14.82M,8.467M,92.40M,212.01M,9.628M,,9.628M,20.15M,29.78M,,,,0.48M,,0.48M,8.96M,8.96M,,,39.22M,,27.53M,,27.53M,,,,,,,,27.53M,66.75M,0.194M,6.315M,141.06M,0.464M,-1.843M,-1.843M,145.26M
2002-03,26.23M,,26.23M,41.46M,,41.46M,27.73M,,12.44M,40.17M,11.84M,,,,119.70M,0.0,12.20M,38.19M,28.66M,,,79.05M,-19.60M,59.45M,,16.92M,16.92M,,,,14.82M,0.953M,92.14M,211.84M,10.17M,,10.17M,22.00M,32.17M,0.48M,,0.316M,0.796M,,0.796M,8.579M,8.579M,,,41.55M,,27.74M,,27.74M,,,,,,,,27.74M,69.29M,0.192M,5.824M,139.34M,0.464M,-2.333M,-2.333M,142.56M
2001-12,30.60M,,30.60M,39.55M,,39.55M,26.87M,,12.27M,39.14M,3.396M,,,,112.68M,0.0,12.20M,38.16M,27.17M,,,77.52M,-18.24M,59.28M,5.989M,11.45M,17.44M,,,,16.52M,0.965M,94.20M,206.89M,10.32M,,10.32M,23.09M,33.42M,0.48M,,1.083M,1.563M,,1.563M,7.895M,7.895M,,,42.87M,,28.05M,,28.05M,,,,,,,,28.05M,70.92M,0.189M,1.398M,137.12M,0.464M,,-2.279M,135.96M
2001-09,12.75M,,12.75M,42.23M,,42.23M,27.42M,,11.86M,39.28M,5.309M,,,,99.58M,0.0,12.20M,38.13M,26.87M,,,77.20M,-17.14M,60.06M,,17.89M,17.89M,,,,16.52M,1.082M,95.54M,195.12M,18.15M,,18.15M,25.51M,43.66M,0.485M,,1.998M,2.483M,,2.483M,8.754M,8.754M,,,54.90M,,28.42M,,28.42M,,,,,,,,28.42M,83.31M,0.157M,2.971M,111.30M,0.464M,,-2.157M,111.81M
2001-06,11.91M,,11.91M,41.05M,,41.05M,26.23M,,15.37M,41.60M,3.451M,,,,98.01M,,,,,,,72.54M,-11.45M,61.09M,,12.48M,12.48M,,,,16.52M,4.377M,94.46M,192.48M,12.64M,,12.64M,26.59M,39.23M,,,,1.592M,,1.592M,9.074M,9.074M,,,49.90M,,26.55M,,26.55M,,,,,,,,26.55M,76.45M,0.155M,7.899M,110.72M,0.464M,,-2.283M,116.03M
2001-03,16.17M,,16.17M,45.34M,,45.34M,,,,35.95M,3.631M,,,,101.08M,,,,,,,73.16M,-11.45M,61.71M,,17.90M,17.90M,,,,16.81M,4.684M,101.11M,202.20M,16.81M,,16.81M,28.37M,45.18M,,,,1.592M,,1.592M,,,,13.13M,59.90M,,25.00M,,25.00M,,,,,,,,25.00M,84.90M,0.155M,9.111M,110.69M,0.464M,,-2.204M,117.29M
2000-12,22.36M,,22.36M,,,46.16M,,,,36.22M,,,,2.687M,107.42M,,,,,,,75.58M,-12.99M,62.59M,,18.67M,18.67M,,,,,21.66M,102.92M,210.34M,15.08M,,15.08M,,15.08M,,,,1.63M,,1.63M,,,,43.41M,60.12M,,25.00M,,25.00M,,,,,,,,25.00M,85.12M,0.155M,17.06M,110.43M,0.464M,-1.957M,-1.957M,125.22M
2000-09,22.78M,,22.78M,50.58M,,50.58M,,,,39.71M,,,,3.041M,116.10M,,,,,,,74.24M,-11.45M,62.79M,,19.14M,19.14M,,,,,21.62M,103.55M,219.66M,16.41M,,16.41M,,16.41M,,,,0.388M,,0.388M,,,,46.28M,63.08M,,25.00M,,25.00M,,,,,,,,25.00M,88.08M,0.154M,23.82M,110.23M,0.464M,,-2.172M,131.57M
2000-06,34.10M,15.03M,49.13M,,,26.24M,,,,21.73M,,,,2.814M,99.92M,,,,,,,62.34M,-10.48M,51.86M,,,,,,,,18.83M,70.69M,170.61M,6.842M,,6.842M,,6.842M,,,,0.411M,,0.411M,,,,20.74M,27.99M,,,,,,,,,,,,,27.99M,0.154M,34.74M,109.98M,0.464M,-1.803M,-1.803M,142.62M
2000-03,36.72M,19.00M,55.72M,,,26.29M,,,,20.15M,,,,2.822M,104.98M,,,,,,,60.50M,-9.586M,50.91M,,,,,,,,16.11M,67.02M,172.00M,5.815M,,5.815M,,5.815M,,,,0.412M,,0.412M,,,,20.40M,26.63M,,,,,,,,,,,,,26.63M,0.154M,37.39M,109.98M,0.464M,-1.682M,-1.682M,145.38M
1999-12,36.10M,25.10M,61.20M,,,27.90M,,,,18.30M,,,,2.80M,110.20M,,,,,,,59.50M,-8.80M,50.70M,,,,,,,,13.60M,64.30M,174.50M,6.30M,,6.30M,,6.30M,,,,0.40M,,0.40M,,,,20.30M,27.00M,,,,,,,,,,,,,27.00M,0.20M,39.60M,109.70M,0.50M,,-1.50M,147.50M
1999-09,36.50M,26.20M,62.70M,,,28.10M,,,,17.60M,,,,6.80M,115.20M,,,,,,,58.70M,-8.20M,50.50M,,,,,,,,10.10M,60.60M,175.80M,6.10M,,6.10M,,6.10M,,,,1.10M,,1.10M,,,,18.10M,25.30M,,,,,,,,,,,,0.10M,25.40M,0.20M,42.40M,109.60M,0.50M,,-1.30M,150.40M
1999-06,38.40M,19.80M,58.20M,,,30.40M,,,,20.00M,,,,6.80M,115.40M,,,,,,,58.20M,-7.10M,51.10M,,,,,,,,14.70M,65.80M,181.20M,5.50M,,5.50M,,5.50M,,,,1.10M,,1.10M,,,,21.30M,27.90M,,,,,,,,,,,,-0.10M,27.80M,0.20M,45.60M,109.40M,0.50M,-1.30M,-1.30M,153.40M
1999-03,36.60M,,36.60M,,,31.70M,,,,19.10M,,,,34.50M,121.90M,,,,,,,39.50M,-6.40M,33.10M,,,,,,,,14.80M,47.90M,169.80M,6.30M,,6.30M,,6.30M,,,,1.50M,,1.50M,,,,20.90M,28.70M,,,,,,,,,,,,,28.70M,,47.10M,,,,,141.10M
1998-12,48.40M,,48.40M,,,33.20M,,,,20.50M,,,,30.80M,132.90M,,,,,,,35.20M,-6.60M,28.60M,,,,,,,,16.10M,44.70M,177.60M,9.60M,,9.60M,,9.60M,,,,2.80M,,2.80M,,,,22.60M,35.00M,,,,,,,,,,,,,35.00M,,48.20M,,,,,142.60M
1998-09,48.40M,,48.40M,,,29.30M,,,,20.40M,,,,33.70M,131.80M,,,,,,,32.30M,-6.40M,25.90M,,,,,,,,14.90M,40.80M,172.60M,5.50M,,5.50M,,5.50M,,,,3.80M,,3.80M,,,,22.90M,32.20M,,,,,,,,,,,,,32.20M,,46.20M,,,,,140.40M
1998-06,45.90M,,45.90M,,,31.80M,,,,18.00M,,,,47.30M,143.00M,,,,,,,11.80M,-6.00M,5.80M,,,,,,,,19.40M,25.20M,168.20M,5.90M,,5.90M,,5.90M,,,,1.40M,,1.40M,,,,23.00M,30.30M,,,,,,,,,,,,,30.30M,,44.90M,,,,,137.90M
