,OperatingRevenue,Revenue,GeneralandAdministrativeExpense,SG&AExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2000-12,1.244B,1.244B,187.91M,187.91M,19.93M,,54.91M,-54.91M,,207.84M,54.91M,-54.91M,,-54.91M,133.34M,19.56M,113.79M,,113.79M,113.79M,19.93M,188.25M,,0.45,0.00,,0.45,0.45,,0.43,0.00,,0.43,0.43,,245.81M,255.34M,0.13,,AOR,Restated
2000-09,1.360B,1.360B,177.91M,177.91M,19.92M,,55.41M,-55.41M,,197.83M,55.41M,-55.41M,,-55.41M,165.18M,24.43M,140.75M,,140.75M,140.75M,19.92M,220.59M,,0.60,0.00,,0.60,0.60,,0.58,0.00,,0.58,0.58,,234.59M,242.68M,0.13,,AOR,
2000-06,1.319B,1.319B,182.86M,182.86M,19.32M,,53.95M,-53.95M,,202.19M,53.95M,-53.95M,,-53.95M,130.85M,16.92M,113.93M,,113.93M,113.93M,19.32M,184.79M,,0.50,0.00,,0.50,0.50,,0.49,0.00,,0.49,0.49,,227.86M,232.51M,0.13,,AOR,
2000-03,1.344B,1.344B,194.01M,194.01M,19.65M,,57.19M,-57.19M,,213.65M,57.19M,-57.19M,,-57.19M,207.51M,33.00M,174.51M,,174.51M,174.51M,19.65M,264.70M,,0.80,0.00,,0.80,0.80,,0.80,0.00,,0.80,0.80,,218.14M,218.14M,0.11,,AOR,
1999-12,1.160B,1.160B,,,,,52.44M,-52.44M,,,52.44M,-52.44M,,-52.44M,393.65M,12.68M,152.10M,,152.06M,152.06M,,446.08M,,0.78,0.00,,0.78,0.78,,0.77,0.00,,0.77,0.77,,194.71M,198.36M,0.11,,AOR,Restated
1999-09,1.058B,1.058B,,,,-2.90M,44.10M,-44.10M,,-2.90M,44.10M,-44.10M,,-44.10M,0.00,6.30M,14.80M,,14.80M,17.70M,,44.10M,,0.08,0.00,,0.0949,0.08,,0.08,0.00,,0.0948,0.08,,194.06M,196.07M,0.11,,,
1999-06,410.40M,410.40M,41.10M,41.10M,,,4.10M,-4.10M,,41.10M,4.10M,-4.10M,110.10M,-4.10M,0.00,4.50M,69.20M,,69.20M,69.20M,4.70M,4.10M,,0.36,0.00,,0.36,0.36,,0.35,0.00,,0.35,0.35,,193.78M,197.18M,0.11,,,
1999-03,389.00M,389.00M,54.70M,54.70M,,,4.50M,-4.50M,,54.70M,4.50M,-4.50M,103.70M,-4.50M,0.00,5.10M,129.00M,,129.00M,129.00M,2.473M,4.50M,,0.67,0.00,,0.67,0.67,,0.65,0.00,,0.65,0.65,,193.76M,197.18M,0.09,,,
1998-12,389.00M,389.00M,54.65M,54.65M,,,4.53M,-4.53M,,54.65M,4.53M,-4.53M,103.74M,-4.53M,0.00,5.152M,129.02M,,129.02M,129.02M,-1.473M,4.53M,,0.67,0.00,,0.67,0.67,,0.65,0.00,,0.65,0.65,,192.57M,198.49M,0.09,,,
1998-09,256.10M,256.10M,85.80M,85.80M,,,12.90M,-12.90M,,85.80M,12.90M,-12.90M,35.00M,-12.90M,0.00,-3.00M,13.60M,,13.60M,13.60M,-7.90M,12.90M,,0.03,0.00,,0.03,0.03,,0.03,0.00,,0.03,0.03,,192.94M,197.37M,0.09,,AOR,
1998-06,408.80M,408.80M,36.40M,36.40M,,,6.00M,-6.00M,,36.40M,6.00M,-6.00M,162.40M,-6.00M,0.00,9.80M,176.50M,,176.50M,176.50M,-0.70M,6.00M,,0.92,0.00,,0.92,0.92,,0.90,0.00,,0.90,0.90,,191.85M,196.11M,0.09,,,
1998-03,445.40M,445.40M,23.90M,23.90M,,,5.20M,-5.20M,,23.90M,5.20M,-5.20M,223.90M,-5.20M,0.00,9.40M,247.90M,,247.90M,247.90M,-0.60M,5.20M,,1.40,0.00,,1.40,1.40,,1.37,0.00,,1.37,1.37,,177.07M,180.95M,0.08,,,
1997-12,296.50M,296.50M,19.80M,19.80M,,,1.40M,-1.40M,,19.80M,1.40M,-1.40M,91.20M,-1.40M,0.00,3.80M,122.20M,,122.20M,122.20M,-0.50M,1.40M,,0.68,0.00,,0.68,0.68,,0.67,0.00,,0.67,0.67,,179.71M,182.39M,0.08,,,
1997-09,437.30M,437.30M,15.80M,15.80M,,,,,,15.80M,,,118.50M,,,,169.00M,,169.00M,169.00M,5.50M,,,0.78,0.00,,0.78,0.78,,0.76,0.00,,0.76,0.76,,215.73M,226.69M,0.0733,,AOR,
1997-06,268.90M,268.90M,16.80M,16.80M,,,,,,16.80M,,,105.30M,,,,130.00M,,130.00M,130.00M,-1.80M,,,0.77,0.00,,0.77,0.77,,0.77,0.00,,0.77,0.77,,16.97M,16.97M,0.0733,,,
1997-03,214.40M,214.40M,19.30M,19.30M,,,,,,19.30M,,,55.80M,,,,77.90M,,77.90M,77.90M,-0.90M,,,0.46,0.00,,0.46,0.46,,0.45,0.00,,0.45,0.45,,174.51M,174.51M,0.06,,,
1996-12,265.90M,265.90M,15.80M,15.80M,,,,,,15.80M,,,101.50M,,,,125.70M,,125.70M,125.70M,-1.60M,,,0.72,0.00,,0.72,0.72,,0.71,0.00,,0.71,0.71,,176.84M,176.84M,0.06,,,
1996-09,246.30M,246.30M,13.10M,13.10M,,,,,,13.10M,,,67.40M,,,,86.90M,,86.90M,86.90M,-3.40M,,,1.28,0.00,,1.28,1.28,,1.24,0.00,,1.24,1.24,,139.55M,139.55M,0.06,,AOR,
1996-06,194.90M,194.90M,9.70M,9.70M,,,,,,9.70M,,,49.00M,,,,52.50M,,52.50M,52.50M,-1.70M,,,0.38,0.00,,0.38,0.38,,0.38,0.00,,0.38,0.38,,139.58M,139.58M,0.06,,,
1996-03,200.00M,200.00M,9.50M,9.50M,,,,,,9.50M,,,53.60M,,,,56.80M,,56.80M,56.80M,-0.20M,,,0.41,0.00,,0.41,0.41,,0.41,0.00,,0.41,0.41,,139.52M,139.52M,0.0467,,,
1995-12,207.70M,207.70M,9.10M,9.10M,,,,,,9.10M,,,91.70M,,,,93.50M,,93.50M,93.50M,-2.50M,,,0.67,0.00,,0.67,0.67,,0.67,0.00,,0.67,0.67,,139.55M,139.55M,0.0467,,,
1995-09,197.70M,197.70M,8.80M,8.80M,,,,,,8.80M,,,87.10M,,,,86.90M,,86.90M,86.90M,-2.50M,,,0.96,0.00,,0.96,0.96,,0.94,0.00,,0.94,0.94,,138.47M,138.47M,0.0467,,,
1995-06,203.90M,203.90M,7.20M,7.20M,,,,,,7.20M,,,96.40M,,,,97.40M,,97.40M,97.40M,-2.30M,,,0.69,0.00,,0.69,0.69,,0.69,0.00,,0.69,0.69,,141.16M,141.16M,0.0467,,,
1995-03,156.60M,156.60M,5.60M,5.60M,,,,,,5.60M,,,50.00M,,,,51.90M,,51.90M,51.90M,-4.50M,,,0.37,0.00,,0.37,0.37,,0.37,0.00,,0.37,0.37,,140.27M,140.27M,0.0367,,,
1994-12,102.60M,102.60M,4.30M,4.30M,,,,,,4.30M,,,-1.50M,,,,1.40M,,1.40M,1.40M,-3.30M,,,0.01,0.00,,0.01,0.01,,0.01,0.00,,0.01,0.01,,140.00M,140.00M,0.0367,,,
1994-09,146.50M,146.50M,4.70M,4.70M,,,,,,4.70M,,,42.10M,,,,44.70M,,44.70M,44.70M,,,,0.30,0.00,,0.30,0.30,,0.30,0.00,,0.30,0.30,,133.83M,133.83M,0.0366,,,
1994-06,90.70M,90.70M,3.50M,3.50M,,,,,,3.50M,,,-7.80M,,,,-205.30M,,-205.30M,-205.30M,,-205.30M,,-1.44,0.00,,-1.44,-1.44,,-1.44,0.00,,-1.44,-1.44,,142.57M,142.57M,0.0366,,,
1994-03,111.80M,111.80M,4.60M,4.60M,,,,,,4.60M,,,16.50M,,,,17.80M,,17.80M,17.80M,,,,0.12,0.00,,0.12,0.12,,0.12,0.00,,0.12,0.12,,148.33M,148.33M,0.0333,,,
1993-12,188.40M,188.40M,4.10M,4.10M,,,,,,4.10M,,,95.50M,,,,97.10M,,97.10M,97.10M,,,,0.65,0.00,,0.65,0.65,,0.65,0.00,,0.65,0.65,,149.38M,149.38M,0.0333,,,
1993-09,144.90M,144.90M,2.90M,2.90M,,,,,,2.90M,,,60.30M,,,,62.30M,,62.30M,62.30M,,,,0.40,0.00,,0.40,0.40,,0.40,0.00,,0.40,0.40,,150.34M,150.34M,0.0333,,,
1993-06,136.10M,136.10M,2.60M,2.60M,,,,,,2.60M,,,55.90M,,,,58.00M,,58.00M,58.00M,,,,0.39,0.00,,0.39,0.39,,0.39,0.00,,0.39,0.39,,113.52M,113.52M,0.0333,,,
1993-03,141.60M,141.60M,4.20M,4.20M,,,,,,4.20M,,,64.00M,,,,64.30M,,64.30M,64.30M,,,,0.57,0.00,,0.57,0.57,,0.57,0.00,,0.57,0.57,,112.81M,112.81M,,,,
1992-12,115.20M,115.20M,3.40M,3.40M,,,,,,3.40M,,,37.90M,,,,39.00M,,39.00M,39.00M,,,,0.36,0.00,,0.36,0.36,,0.36,0.00,,0.36,0.36,,108.33M,108.33M,,,,
1992-09,181.40M,181.40M,,,,,,,,,,,,,,,-127.30M,,-127.30M,-127.30M,,-127.30M,,-1.17,0.00,,-1.17,-1.17,,-1.17,0.00,,-1.17,-1.17,,94.49M,94.49M,,,,
1992-06,118.40M,118.40M,,,,,,,,,,,,,,,40.60M,,40.60M,40.60M,,,,0.37,0.00,,0.37,0.37,,0.37,0.00,,0.37,0.37,,109.73M,109.73M,,,,
1992-03,101.90M,101.90M,,,,,,,,,,,,,,,42.20M,,42.20M,42.20M,,,,0.39,0.00,,0.39,0.39,,0.39,0.00,,0.39,0.39,,108.21M,108.21M,,,,
1991-12,118.10M,118.10M,,,,,,,,,,,,,,,55.00M,,55.00M,55.00M,,,,0.51,0.00,,0.51,0.51,,0.51,0.00,,0.51,0.51,,107.84M,107.84M,,,,
