,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2003-09,47.59M,47.59M,25.13M,22.46M,7.777M,21.00M,1.343M,-1.44M,,,,-1.293M,28.83M,-6.365M,,,,-1.44M,,-31.92M,0.433M,-32.36M,12.69M,,,,-19.67M,-31.49M,15.98M,22.24M,-6.365M,-0.62,0.24,,,-0.6035,-0.38,-0.62,0.24,,,-0.6035,-0.38,52.39M,52.39M,
2003-06,50.38M,50.38M,27.50M,22.87M,7.242M,20.72M,1.272M,-15.54M,,,,8.993M,38.23M,-15.36M,,,,-15.54M,,-45.01M,0.435M,-45.45M,-10.96M,,,,-56.41M,-36.13M,6.636M,17.91M,-15.36M,-0.89,-0.21,,,-0.7077,-1.1,-0.89,-0.21,,,-0.7077,-1.1,51.13M,51.13M,
2003-03,58.22M,58.22M,31.65M,26.57M,8.483M,25.60M,1.155M,-1.384M,,,,-0.703M,34.54M,-7.973M,,,,-1.384M,,-32.69M,0.521M,-33.21M,,-0.545M,,,-33.76M,-32.38M,23.70M,31.67M,-7.973M,-0.65,-0.01,0.0,,-0.6338,-0.66,-0.65,-0.01,-0.0107,,-0.6338,-0.66,51.13M,51.13M,
2002-12,39.52M,39.52M,27.72M,11.81M,6.996M,,,27.73M,,,,,41.64M,-29.84M,,,,27.73M,,-23.69M,-1.328M,-22.36M,,19.94M,,,-6.137M,-48.54M,-12.10M,17.74M,-29.84M,-0.77,1.53,0.0,,-1.275,-0.44,-0.77,,0.4089,,-1.275,-0.44,51.80M,51.80M,
2002-09,67.05M,67.05M,39.22M,27.83M,8.983M,,,-9.675M,,,,,35.36M,-7.529M,,,,-9.675M,,-31.12M,0.558M,-31.67M,,,,,-31.67M,-25.87M,27.31M,34.84M,-7.529M,-0.62,0.0,,,-0.5056,-0.62,-0.62,0.0,,,-0.5056,-0.62,50.74M,50.74M,
2002-06,63.60M,63.60M,38.06M,25.55M,8.713M,20.02M,1.101M,-21.20M,,,,12.32M,42.15M,-16.60M,,,,-21.20M,,-46.02M,0.479M,-46.50M,-0.833M,,,,-47.34M,-33.78M,15.87M,32.48M,-16.60M,-0.92,-0.02,,,-0.6675,-0.94,-0.92,-0.02,,,-0.6675,-0.94,50.39M,50.39M,
2002-03,63.94M,63.94M,35.92M,28.02M,9.374M,26.05M,1.85M,-54.04M,,,,14.53M,51.81M,-23.78M,,,,-54.04M,,-82.65M,0.579M,-83.23M,,-80.59M,,,-163.82M,-50.81M,10.27M,34.06M,-23.78M,-1.7,-1.64,-0.0,,-1.038,-3.34,-1.7,-1.64,-1.6440000000000001,,-1.038,-3.34,49.01M,49.01M,
2001-12,51.48M,51.48M,35.61M,15.87M,10.69M,,,16.87M,,,,,23.28M,-7.41M,,,,16.87M,,-32.97M,0.253M,-33.22M,,,,,-30.36M,-43.35M,13.03M,20.44M,-7.41M,-1.08,0.11,,,-1.2919999999999998,-0.97,-1.08,,,,-1.2919999999999998,-0.97,47.77M,47.77M,
2001-09,63.03M,63.03M,37.11M,25.92M,10.01M,,,-31.96M,,,,,30.15M,-4.23M,,,,-31.96M,,-48.71M,0.408M,-49.12M,,,,,-49.12M,-29.94M,23.53M,27.76M,-4.23M,-1.03,0.0,,,-0.6272,-1.03,-1.03,0.0,,,-0.6272,-1.03,47.60M,47.60M,
2001-06,57.76M,57.76M,34.32M,23.43M,10.76M,,,-7.40M,,,,,29.13M,-5.696M,,,,-7.40M,,-22.84M,0.478M,-23.32M,,,,,-23.32M,-18.88M,19.96M,25.66M,-5.696M,-0.5,0.0,,,-0.4057,-0.5,-0.5,0.0,,,-0.4057,-0.5,47.10M,47.10M,
2001-03,52.96M,52.96M,32.15M,20.81M,10.64M,,,-7.052M,,,,,25.65M,-4.838M,,,,-7.052M,,-17.57M,0.354M,-17.93M,,,,,-23.00M,-13.70M,17.14M,21.98M,-4.838M,-0.38,-0.11,,-0.1083,-0.2896,-0.49,-0.38,-0.11,,-0.1083,-0.2896,-0.49,46.80M,46.80M,
2000-12,53.58M,53.58M,61.02M,-7.444M,8.306M,,,0.0361M,,,,,-0.3579M,-7.086M,,,,0.0361M,,-5.058M,0.3211M,-5.379M,,,,,-5.379M,-5.401M,-15.75M,-8.664M,-7.086M,-0.1,0.0,,,-0.1005,-0.1,-0.1327,,,,-0.1331,-0.1327,46.59M,46.59M,
2000-09,45.40M,45.40M,28.83M,16.56M,7.037M,,,-0.0185M,,,,,23.11M,-6.547M,,,,-0.0185M,,-5.570M,0.3351M,-5.905M,,,,,-5.905M,-5.894M,9.616M,16.16M,-6.547M,-0.14,0.0,,,-0.1397,-0.14,-0.14,0.0,,,-0.1397,-0.14,43.37M,43.37M,
2000-06,38.50M,38.50M,18.76M,19.75M,6.338M,,,-6.353M,,,,,20.62M,-0.8756M,,,,-6.353M,,-7.555M,0.3526M,-7.908M,,,,,-7.908M,-4.096M,13.41M,14.28M,-0.8756M,-0.2,0.0,,,-0.1028,-0.2,-0.2,0.0,,,-0.1028,-0.2,39.23M,39.23M,
2000-03,30.43M,30.43M,13.36M,17.07M,5.975M,,,-6.165M,,,,,19.02M,-1.954M,,,,-6.165M,,-9.499M,0.2245M,-9.723M,,,,,-9.723M,-6.024M,11.09M,13.05M,-1.954M,-0.27,0.0,,,-0.1654,-0.27,-0.27,0.0,,,-0.1654,-0.27,35.38M,35.38M,
1999-12,29.30M,29.30M,19.70M,9.60M,5.60M,,,,,,,,33.20M,-23.60M,,,,,,-9.40M,0.10M,-9.50M,,,,0.00,-9.50M,-9.50M,4.00M,27.60M,-23.60M,-0.29,0.01,,0.0,-0.29,-0.28,-0.29,0.01,,0.0,-0.29,-0.28,17.25M,17.25M,
1999-09,24.60M,24.60M,16.90M,7.70M,4.80M,,,-5.40M,,,,,9.10M,-1.40M,,,,-5.40M,,-7.80M,0.20M,-8.00M,,,,,-8.00M,-4.76M,2.90M,4.30M,-1.40M,-0.28,0.0,,,-0.1666,-0.28,-0.28,0.0,,,-0.1666,-0.28,28.57M,28.57M,
1999-06,19.40M,19.40M,12.80M,6.60M,4.90M,,,-5.50M,,,,,8.40M,-1.80M,,,,-5.50M,,-8.90M,-0.20M,-8.70M,,,,1.40M,-8.70M,-3.324M,1.70M,-1.60M,-1.80M,-0.64,0.0,,,-0.2993,-0.64,-0.64,0.0,,,-0.2993,-0.64,15.78M,15.78M,
1999-03,13.70M,13.70M,9.00M,4.70M,4.10M,,,0.50M,,,,,12.40M,-7.70M,,,,0.50M,,-8.00M,-0.80M,-7.20M,-1.10M,,,,-8.30M,-7.65M,0.60M,8.30M,-7.70M,,,,,-0.8972,-0.9735,,,,,-0.8972,-0.9735,8.526M,8.526M,
