,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,DilutedEPS(Quarterly),NormalizedDilutedEPS,EPSDiluted,,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2010-06,1.433B,1.433B,265.00M,1.168B,573.00M,92.00M,665.00M,208.00M,61.00M,-39.00M,33.00M,2.00M,-31.00M,,934.00M,234.00M,2.00M,33.00M,-31.00M,-39.00M,-31.00M,164.00M,-4.00M,161.00M,,186.35M,364.00M,167.00M,197.00M,,0.00,0.2318,0.20,,2010-06,0.2315,0.20,,805.00M,,,2010-06,AOR,Restated
2010-03,1.531B,1.531B,276.00M,1.255B,597.00M,87.00M,684.00M,216.00M,61.00M,-44.00M,33.00M,2.00M,-31.00M,,961.00M,294.00M,2.00M,33.00M,-31.00M,-44.00M,-31.00M,219.00M,23.00M,184.00M,,223.38M,422.00M,170.00M,252.00M,,0.00,0.2790,0.23,,2010-03,0.2786,0.23,,810.00M,,,2010-03,AOR,Restated
2009-12,1.548B,1.548B,258.00M,1.29B,635.00M,92.00M,727.00M,210.00M,61.00M,29.00M,33.00M,1.00M,-32.00M,,998.00M,292.00M,1.00M,33.00M,-32.00M,29.00M,-32.00M,289.00M,-21.00M,301.00M,,282.15M,439.00M,117.00M,322.00M,,0.00,0.3467,0.37,,2009-12,0.3470,0.37,,819.00M,,,2009-12,AOR,Restated
2009-09,1.474B,1.474B,259.00M,1.215B,576.00M,84.00M,660.00M,210.00M,63.00M,-23.00M,31.00M,1.00M,-30.00M,,933.00M,282.00M,1.00M,31.00M,-30.00M,-23.00M,-30.00M,229.00M,68.00M,155.00M,,171.17M,323.00M,63.00M,260.00M,,0.00,0.2099,0.19,,2009-09,0.2097,0.19,,819.00M,,,2009-09,AOR,Restated
2009-06,1.432B,1.432B,312.00M,1.12B,559.00M,89.00M,648.00M,221.00M,62.00M,-31.00M,32.00M,2.00M,-30.00M,,931.00M,189.00M,2.00M,32.00M,-30.00M,-31.00M,-30.00M,128.00M,42.00M,74.00M,,94.83M,222.00M,62.00M,160.00M,,0.00,0.1155,0.09,,2009-06,0.1152,0.09,,827.00M,,,2009-06,AOR,Restated
2009-03,1.468B,1.468B,307.00M,1.161B,545.00M,82.00M,627.00M,225.00M,62.00M,-439.00M,31.00M,2.00M,-29.00M,,914.00M,247.00M,2.00M,31.00M,-29.00M,-439.00M,-29.00M,-221.00M,23.00M,-264.00M,,21.35M,118.00M,308.00M,-190.00M,,0.00,-0.0116,-0.36,,2009-03,-0.0116,-0.36,,819.00M,,,2009-03,AOR,Restated
2008-12,1.514B,1.514B,299.00M,1.215B,581.00M,83.00M,664.00M,194.00M,60.00M,-7.053B,31.00M,5.00M,-26.00M,,918.00M,297.00M,5.00M,31.00M,-26.00M,-7.053B,-26.00M,-6.782B,22.00M,-6.82B,,-2.236B,-6.538B,213.43M,-6.751B,,0.00,-2.707,-8.25,,2008-12,-2.707,-8.25,,827.00M,,,2008-12,,Restated
2008-09,1.518B,1.518B,309.07M,1.209B,,,681.82M,219.05M,55.65M,-44.78M,,,,26.20M,982.72M,226.22M,,,,-55.52M,,213.23M,62.41M,140.07M,,171.74M,437.78M,211.57M,226.22M,,0.00,0.2078,0.17,,2008-09,0.1972,0.16,,852.33M,,,2008-09,,
2008-06,1.65B,1.65B,312.00M,1.338B,663.00M,93.00M,756.00M,232.00M,55.00M,-17.00M,33.00M,18.00M,-15.00M,,1.043B,295.00M,18.00M,33.00M,-15.00M,-17.00M,-15.00M,263.00M,85.00M,172.00M,,183.51M,496.00M,200.00M,296.00M,,0.00,0.2237,0.21,,2008-06,0.2135,0.20,,854.00M,,,2008-06,,Restated
2008-03,1.540B,1.540B,306.38M,1.233B,,,716.38M,222.11M,56.28M,36.78M,,,,,902.09M,331.27M,,,,36.78M,,283.17M,96.78M,186.39M,,162.17M,506.97M,205.70M,301.26M,,0.00,0.1813,0.21,,2008-03,0.1817,0.21,,855.16M,,,2008-03,,Restated
