,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,MinorityInterestOwnership,TotalLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2007-06,,1.374B,660.54M,2.035B,568.72M,568.72M,34.67M,,163.15M,279.83M,3.081B,0.00,113.02M,806.98M,1.179B,,,,2.099B,-985.84M,1.113B,10.97B,2.337B,13.31B,,,57.30M,62.96M,14.54B,17.62B,165.72M,,165.72M,531.62M,697.33M,,,,,,2.330B,2.330B,13.06M,3.041B,2.10B,,2.10B,358.01M,,358.01M,,,6.286B,,2007-06,8.813M,1.397B,11.34B,,2007-06,,
2007-03,,2.559B,428.62M,2.988B,666.97M,666.97M,42.18M,,165.32M,208.92M,4.071B,0.00,112.91M,771.16M,1.126B,,,,2.010B,-917.36M,1.092B,10.34B,2.156B,12.50B,,,,91.72M,13.68B,17.75B,149.13M,,149.13M,542.74M,691.87M,,,,,,2.388B,2.388B,238.49M,3.318B,2.10B,,2.10B,343.85M,,343.85M,,,6.149B,,2007-03,8.994M,1.348B,11.60B,,2007-03,,
2006-12,,2.592B,385.61M,2.978B,742.99M,742.99M,41.24M,,154.67M,210.02M,4.127B,0.00,121.25M,766.03M,928.44M,,,,1.816B,-777.19M,1.039B,10.35B,2.288B,12.64B,,,,94.15M,13.77B,17.90B,198.62M,,198.62M,487.34M,685.96M,,,,,,2.113B,2.113B,343.15M,3.142B,2.10B,,2.10B,231.24M,,231.24M,,,5.845B,,2006-12,9.275M,1.345B,12.05B,,2006-12,,
2006-09,,2.608B,346.44M,2.954B,561.83M,561.83M,40.45M,,125.76M,190.08M,3.872B,0.00,120.48M,715.47M,874.78M,,,,1.711B,-718.91M,991.82M,10.34B,2.408B,12.74B,,,,81.33M,13.82B,17.69B,166.84M,,166.84M,439.19M,606.03M,,,,,,1.906B,1.906B,262.52M,2.775B,2.10B,,2.10B,248.70M,,248.70M,,,5.467B,,2006-09,9.413M,1.275B,12.22B,,2006-09,,
2006-06,,3.686B,413.88M,4.099B,538.78M,538.78M,40.92M,,136.34M,188.37M,5.004B,0.00,142.24M,720.62M,840.18M,,,,1.703B,-667.80M,1.035B,10.34B,2.541B,12.88B,,,,70.82M,13.98B,18.99B,161.94M,,161.94M,435.53M,597.47M,518.20M,,518.20M,,518.20M,1.938B,1.938B,362.06M,3.416B,2.10B,,2.10B,237.61M,,237.61M,,,6.051B,,2006-06,9.875M,1.200B,12.94B,,2006-06,,
2006-03,,2.316B,550.18M,2.866B,670.94M,670.94M,48.69M,,131.83M,190.67M,3.908B,0.00,128.82M,624.93M,804.54M,,,,1.558B,-612.07M,946.22M,10.33B,2.679B,13.01B,,,,48.60M,14.01B,17.91B,167.14M,,167.14M,463.05M,630.19M,,,512.80M,,512.80M,1.915B,1.915B,419.40M,3.478B,,,,493.96M,,493.96M,,,4.245B,,2006-03,10.41M,1.128B,13.67B,,2006-03,,
2005-12,,1.839B,1.000B,2.840B,697.07M,697.07M,36.35M,,186.93M,173.97M,3.934B,0.00,139.96M,591.93M,752.44M,,,,1.484B,-558.52M,925.81M,,12.78B,12.78B,,,,37.18M,13.74B,17.68B,189.59M,,189.59M,502.03M,691.62M,507.40M,,507.40M,,507.40M,1.666B,1.666B,330.00M,3.195B,,,,640.93M,,640.93M,,,4.075B,,2005-12,10.42M,1.049B,13.60B,,2005-12,,
2005-09,,1.806B,2.627B,4.433B,444.12M,444.12M,14.02M,,146.30M,196.16M,5.234B,0.00,125.57M,529.92M,716.11M,,,,1.372B,-508.39M,863.22M,,12.72B,12.72B,,,,45.59M,13.63B,18.87B,162.69M,,162.69M,569.49M,732.18M,502.00M,,502.00M,,502.00M,1.379B,1.379B,283.03M,2.897B,,,,708.91M,,708.91M,,,3.779B,,2005-09,11.17M,1.012B,15.09B,,2005-09,,
2005-06,,948.38M,2.403B,3.351B,241.25M,241.25M,15.35M,,97.67M,84.70M,3.790B,0.00,60.78M,260.23M,508.76M,,,,829.76M,-447.28M,382.49M,,1.402B,1.402B,,,,139.82M,1.924B,5.714B,87.96M,,87.96M,85.19M,173.15M,,,,,,1.155B,1.155B,276.06M,1.604B,,,,74.32M,,74.32M,,,1.795B,,2005-06,7.138M,1.310B,3.919B,,2005-06,,
2005-03,,1.091B,2.115B,3.207B,285.32M,285.32M,19.12M,,97.28M,79.97M,3.688B,0.00,57.16M,257.35M,501.44M,,,,815.95M,-433.26M,382.69M,,1.524B,1.524B,,,,19.68M,1.926B,5.614B,74.68M,,74.68M,231.58M,306.26M,,,,,,1.216B,1.216B,179.22M,1.701B,,,,88.61M,,88.61M,,,1.909B,,2005-03,7.105M,1.115B,3.705B,,2005-03,,
2004-12,,657.29M,2.287B,2.944B,324.49M,324.49M,21.88M,,141.10M,65.80M,3.497B,0.00,57.34M,255.48M,495.30M,,,,808.11M,-422.02M,386.09M,,1.512B,1.512B,,,,48.90M,1.947B,5.444B,82.87M,,82.87M,204.28M,287.16M,,,,,,1.181B,1.181B,190.13M,1.659B,,,,53.01M,,53.01M,,,1.829B,,2004-12,7.078M,1.003B,3.615B,,2004-12,,
2004-09,,588.57M,1.956B,2.545B,328.17M,328.17M,20.69M,,110.15M,81.34M,3.085B,0.00,50.95M,236.48M,478.36M,,,,765.79M,-392.58M,373.21M,,1.505B,1.505B,,,,28.40M,1.907B,4.992B,90.22M,,90.22M,195.52M,285.74M,,,,,,1.056B,1.056B,140.48M,1.482B,599.92M,,599.92M,56.76M,,56.76M,,,2.242B,,2004-09,3.163M,888.29M,2.750B,,2004-09,,
2004-06,,504.77M,1.834B,2.339B,250.20M,250.20M,14.75M,,109.96M,68.92M,2.783B,0.00,50.94M,230.59M,468.30M,,,,749.84M,-370.56M,379.28M,,1.491B,1.491B,,,,30.59M,1.901B,4.683B,73.75M,,73.75M,170.48M,244.23M,,,,,,967.16M,967.16M,143.41M,1.355B,599.98M,,599.98M,55.05M,,55.05M,,,2.113B,,2004-06,3.136M,795.59M,2.570B,,2004-06,,
2004-03,,839.16M,1.571B,2.410B,259.15M,259.15M,15.13M,,98.44M,59.08M,2.842B,0.00,50.69M,225.82M,74.12M,378.87M,,,729.50M,-351.13M,378.37M,,1.202B,1.202B,,,,34.30M,1.614B,4.456B,71.65M,,71.65M,209.36M,281.02M,,,,,,878.72M,878.72M,127.30M,1.287B,599.99M,,599.99M,44.75M,,44.75M,,,2.030B,,2004-03,3.119M,724.14M,2.426B,,2004-03,,
2003-12,,2.269B,,2.269B,226.96M,226.96M,14.86M,,98.25M,50.54M,2.659B,0.00,,197.46M,438.52M,66.82M,,,702.81M,-333.23M,369.58M,,1.120B,1.120B,,,2.10M,30.13M,1.522B,4.181B,71.04M,,71.04M,,71.04M,,,,,,868.41M,868.41M,284.53M,1.224B,599.99M,,599.99M,,,,,,1.829B,,2003-12,3.103M,649.89M,2.352B,,2003-12,,
2003-09,,2.027B,,2.027B,224.95M,224.95M,11.59M,,94.08M,50.80M,2.408B,0.00,,237.99M,434.55M,,,,672.54M,-307.88M,364.66M,,969.26M,969.26M,,,7.60M,28.28M,1.370B,3.778B,80.05M,,80.05M,162.07M,242.12M,,,,,,719.41M,719.41M,86.25M,1.048B,599.99M,,599.99M,,,,,,1.654B,,2003-09,1.537M,539.96M,2.124B,,2003-09,,
2003-06,,1.909B,,1.909B,129.33M,129.33M,3.824M,,92.57M,42.63M,2.177B,0.00,,234.75M,68.58M,327.19M,,,630.52M,-288.63M,341.89M,,833.23M,833.23M,,,7.986M,105.79M,1.289B,3.466B,66.20M,,66.20M,148.32M,214.52M,,,,,,612.18M,612.18M,80.80M,907.49M,600.00M,,600.00M,,,,,,1.514B,,2003-06,1.512M,456.52M,1.952B,,2003-06,,
2003-03,,1.706B,,1.706B,149.66M,149.66M,5.912M,,92.28M,34.63M,1.988B,0.00,,172.23M,65.24M,361.51M,,,598.97M,-265.70M,333.28M,,906.57M,906.57M,,,7.986M,29.75M,1.278B,3.266B,67.72M,,67.72M,,67.72M,,,,,,589.63M,589.63M,237.28M,894.62M,600.00M,,600.00M,,,,,,1.501B,,2003-03,1.488M,397.74M,1.764B,,2003-03,,
2002-12,,1.430B,,1.430B,195.48M,195.48M,10.70M,,77.33M,32.40M,1.746B,0.00,,97.07M,363.42M,,,,460.50M,-246.61M,213.88M,,913.40M,913.40M,,,17.59M,150.08M,1.295B,3.041B,74.88M,,74.88M,153.80M,228.68M,,,,,,537.85M,537.85M,63.64M,830.17M,600.00M,,600.00M,,,,,,1.434B,,2002-12,1.463M,329.60M,1.607B,,2002-12,,
2002-09,,268.93M,900.55M,1.169B,154.13M,154.13M,8.272M,,77.47M,30.65M,1.440B,0.00,,91.15M,62.72M,288.78M,,,442.65M,-229.86M,212.79M,,834.60M,834.60M,,,17.52M,242.05M,1.307B,2.747B,78.83M,,78.83M,,78.83M,,,,,,427.88M,427.88M,198.07M,704.77M,600.00M,,600.00M,,,,,,1.310B,,2002-09,1.433M,257.87M,1.437B,,2002-09,,
2002-06,,1.527B,,1.527B,131.70M,131.70M,5.424M,,68.05M,24.58M,1.757B,,,,,,,,404.27M,-200.69M,203.58M,,584.06M,584.06M,,,6.066M,148.92M,942.63M,2.700B,68.92M,,68.92M,,68.92M,,,,,,391.36M,391.36M,191.47M,651.75M,600.00M,,600.00M,,,,,,1.255B,,2002-06,1.448M,234.22M,1.445B,,2002-06,,
2002-03,,1.375B,,1.375B,89.22M,89.22M,7.463M,,68.62M,22.46M,1.563B,0.00,,76.94M,49.89M,260.17M,,,386.99M,-200.69M,186.30M,,591.09M,591.09M,,,6.207M,156.19M,939.79M,2.503B,70.06M,,70.06M,125.16M,195.22M,,,,,,331.10M,331.10M,52.78M,579.10M,600.00M,,600.00M,,,,,,1.183B,,2002-03,1.436M,177.65M,1.320B,,2002-03,,
2001-12,,1.187B,,1.187B,154.66M,154.66M,11.95M,,81.36M,26.44M,1.462B,0.00,18.26M,,294.38M,30.93M,,,343.56M,-191.62M,151.94M,,570.44M,570.44M,,,3.90M,226.72M,953.01M,2.415B,72.77M,,72.77M,,72.77M,,,,,,303.32M,303.32M,181.49M,557.58M,602.36M,,602.36M,,,,,,1.160B,,2001-12,0.703M,173.58M,1.255B,,2001-12,,
2001-09,,471.39M,,471.39M,141.43M,141.43M,7.068M,,76.47M,24.98M,721.34M,0.00,,32.77M,268.18M,,,,300.94M,-182.16M,118.79M,,624.86M,624.86M,,,3.90M,203.83M,951.37M,1.673B,61.26M,,61.26M,87.29M,148.55M,,,,,,234.27M,234.27M,51.84M,434.66M,2.363M,,2.363M,,,,,,437.02M,,2001-09,0.696M,-56.58M,1.236B,,2001-09,,
2001-06,,629.57M,,629.57M,115.83M,115.83M,2.464M,,76.62M,24.83M,849.31M,,,,,,,,,,109.22M,,766.74M,766.74M,,,3.90M,105.19M,985.05M,1.834B,55.13M,,55.13M,78.16M,133.29M,,,,,,207.78M,207.78M,56.51M,397.57M,2.363M,,2.363M,,,,,,399.94M,,2001-06,0.742M,85.07M,1.434B,,2001-06,,
2001-03,,557.03M,,557.03M,116.66M,116.66M,5.855M,,76.43M,25.93M,781.90M,,,,233.25M,30.31M,,,263.56M,-170.34M,93.22M,713.55M,104.29M,817.84M,,,3.90M,94.72M,1.010B,1.792B,66.11M,,66.11M,89.80M,155.91M,,,,,,183.26M,183.26M,73.55M,412.72M,2.363M,,2.363M,,,,,,415.08M,,2001-03,0.72M,106.29M,1.377B,,2001-03,,
2000-12,,715.90M,,715.90M,,117.66M,4.636M,,,73.73M,911.94M,,,,,,,,253.39M,-176.39M,77.00M,,887.56M,887.56M,,,,115.81M,1.080B,1.992B,59.47M,,59.47M,,59.47M,,,,,,,,300.17M,359.64M,,,,,,,,,362.00M,,2000-12,0.76M,301.48M,1.630B,,2000-12,,
2000-09,,507.83M,,507.83M,,92.60M,2.895M,,,68.52M,671.84M,,,,,,,,215.50M,-154.30M,61.20M,,102.11M,102.11M,,,,138.80M,302.11M,973.95M,52.74M,,52.74M,,52.74M,,,,,,,,225.85M,278.60M,,,,,,,,,281.31M,,2000-09,0.611M,287.61M,692.64M,,2000-09,,
2000-06,,522.92M,,522.92M,,52.28M,2.532M,,,69.45M,647.19M,,,,,,,,206.79M,-154.22M,52.57M,,109.30M,109.30M,,,,120.27M,282.13M,929.32M,48.27M,,48.27M,,48.27M,,,,,,,,218.78M,267.05M,2.104M,,2.104M,,,,,,269.16M,,2000-06,0.609M,248.50M,660.16M,,2000-06,,
2000-03,,431.55M,,431.55M,,47.27M,5.675M,,,61.05M,545.54M,,,,,,,,201.20M,-149.30M,51.90M,,117.04M,117.04M,,,,131.54M,300.49M,846.03M,43.03M,,43.03M,,43.03M,,,,,,,,183.49M,226.52M,1.553M,,1.553M,,,,,,228.07M,,2000-03,0.603M,210.10M,617.96M,,2000-03,,
1999-12,,404.50M,,404.50M,,45.70M,7.70M,,,53.70M,511.60M,,,,,,,,198.90M,-144.00M,54.90M,,99.90M,99.90M,,,,126.00M,280.80M,792.40M,42.10M,,42.10M,,42.10M,,,,,,,,188.30M,230.40M,1.00M,,1.00M,,,,,,231.40M,,1999-12,0.60M,178.50M,561.00M,,1999-12,,
1999-09,,210.30M,,210.30M,,81.50M,6.50M,,,39.70M,338.00M,,,,,,,,206.80M,-150.70M,56.10M,,138.10M,138.10M,,,,89.10M,283.30M,621.30M,47.40M,,47.40M,,47.40M,,,,,,,,159.20M,206.60M,0.90M,,0.90M,,,,,,207.50M,,1999-09,0.60M,89.50M,413.80M,,1999-09,,
1999-06,,199.50M,,199.50M,,60.40M,6.40M,,,59.40M,325.70M,,,,,,,,168.00M,-114.20M,53.80M,,69.00M,69.00M,,,,117.10M,239.90M,565.60M,39.80M,,39.80M,,39.80M,,,,,,,,164.60M,204.40M,1.10M,,1.10M,,,,,,205.50M,,1999-06,,63.70M,360.10M,,1999-06,,
1999-03,,192.76M,,192.76M,,76.39M,6.377M,,,35.43M,310.94M,,,,,,,,190.97M,-138.08M,52.89M,,111.43M,111.43M,,,,88.21M,252.53M,563.48M,45.86M,,45.86M,,45.86M,,,,,,,,171.05M,216.91M,1.455M,,1.455M,,,,,,218.36M,,1999-03,0.569M,48.10M,345.11M,,1999-03,,
1998-12,,150.20M,,150.20M,,61.60M,6.90M,,,71.80M,290.50M,,,,,,,,174.90M,-121.10M,53.80M,,47.10M,47.10M,,,,113.90M,214.80M,505.30M,48.20M,,48.20M,,48.20M,,,33.30M,,33.30M,,,138.80M,220.30M,6.00M,,6.00M,,,,,,227.70M,,1998-12,,11.10M,277.60M,,1998-12,,
1998-09,,82.30M,,82.30M,,67.20M,4.50M,,,130.00M,284.00M,,,,,,,,173.10M,-121.10M,52.00M,,,,,,,131.90M,183.90M,467.90M,39.00M,,39.00M,,39.00M,,,8.30M,,8.30M,,,128.60M,175.90M,11.40M,,11.40M,,,,,,187.20M,,1998-09,,-2.80M,280.70M,,1998-09,,
1998-06,,125.10M,,125.10M,,62.10M,3.60M,,,121.70M,312.50M,,,,,,,,164.90M,-114.20M,50.70M,,,,,,,123.00M,173.70M,486.20M,35.20M,,35.20M,,35.20M,,,8.30M,,8.30M,,,110.70M,154.20M,14.00M,,14.00M,,,,,,168.10M,,1998-06,,13.40M,318.10M,,1998-06,,
1998-03,,139.00M,,139.00M,,65.20M,3.20M,,,121.10M,328.50M,,,,,,,,158.10M,-108.10M,50.00M,,,,,,,98.00M,148.00M,476.50M,34.20M,,34.20M,,34.20M,,,8.30M,,8.30M,,,110.50M,153.00M,6.00M,,6.00M,,,,,,159.00M,,1998-03,,18.70M,317.50M,,1998-03,,
1997-12,,106.70M,,106.70M,,64.80M,3.90M,,,107.50M,282.90M,,,,,,,,152.60M,-102.40M,50.20M,,,,,,,93.80M,144.00M,426.90M,34.00M,,34.00M,,34.00M,,,,,,,,101.00M,135.00M,14.30M,,14.30M,,,,,,149.30M,,1997-12,,-5.40M,277.60M,,1997-12,,
