,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,EndingCash(Quarterly),BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,,AdditionalItems(Quarterly),CashfromDiscontinuedOperationsAdjustment,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,SECFilingLinks,AsOriginallyReported,Restated
2007-06,-2.062B,,,,147.00M,,365.00M,173.00M,173.00M,-144.00M,,,,1.728B,-18.00M,-19.00M,-375.00M,,,-51.00M,-463.00M,-621.00M,,2007-06,-348.00M,,-348.00M,,5.00M,165.00M,,2007-06,,764.00M,5.00M,,5.00M,,-160.00M,,-5.00M,604.00M,2007-06,786.00M,1.573B,3.00M,,2007-06,1.62B,5.00M,,,,2007-06,,
2007-03,68.00M,,,,50.00M,,,192.00M,192.00M,1.00M,,,,10.00M,2.00M,9.00M,-262.00M,,,-12.00M,-263.00M,58.00M,,2007-03,-362.00M,,-362.00M,,-29.00M,1.00M,,2007-03,,-21.00M,9.00M,,9.00M,,-45.00M,,7.00M,-50.00M,2007-03,1.166B,-382.00M,2.00M,,2007-03,,9.00M,,,,2007-03,,
2006-12,223.00M,,,,-160.00M,,,206.00M,206.00M,60.00M,,,,24.00M,-58.00M,-65.00M,191.00M,,,8.00M,76.00M,429.00M,,2006-12,-442.00M,3.00M,-439.00M,0.00,176.00M,9.00M,,2006-12,,-48.00M,12.00M,,12.00M,,-45.00M,,-24.00M,-105.00M,2006-12,1.059B,278.00M,-3.00M,,2006-12,128.00M,12.00M,,,,2006-12,,
2006-09,198.00M,,,,-36.00M,,,149.00M,149.00M,-38.00M,,,,-17.00M,46.00M,-99.00M,76.00M,,,-54.00M,-31.00M,225.00M,,2006-09,-409.00M,331.00M,-78.00M,-161.00M,72.00M,-9.00M,,2006-09,,99.00M,9.00M,,9.00M,,44.00M,,-292.00M,-154.00M,2006-09,1.135B,-211.00M,3.00M,,2006-09,-144.00M,9.00M,,,,2006-09,,
2006-06,161.00M,,,,208.00M,,,139.00M,139.00M,-5.00M,,,,20.00M,-54.00M,-100.00M,-15.00M,,12.00M,-30.00M,-187.00M,336.00M,,2006-06,-330.00M,-2.00M,-332.00M,-187.00M,362.00M,6.00M,,2006-06,,56.00M,19.00M,,19.00M,,-134.00M,,51.00M,-8.00M,2006-06,979.00M,158.00M,4.00M,,2006-06,31.00M,19.00M,,,,2006-06,,
2006-03,209.00M,,,,125.00M,,,142.00M,142.00M,-72.00M,,,,-5.00M,-44.00M,-124.00M,25.00M,,-12.00M,-9.00M,-164.00M,235.00M,,2006-03,-370.00M,2.00M,-368.00M,,111.00M,,,2006-03,,-20.00M,38.00M,,38.00M,,-45.00M,,-53.00M,-80.00M,2006-03,1.082B,-107.00M,-1.00M,,2006-03,-5.00M,38.00M,,,,2006-03,,
2005-12,62.00M,,,,90.00M,153.00M,-6.00M,147.00M,147.00M,23.00M,,,,159.00M,-90.00M,-18.00M,159.00M,3.00M,24.00M,-77.00M,1.00M,482.00M,,2005-12,-309.00M,-124.00M,-433.00M,,25.00M,-10.00M,,2005-12,,-75.00M,26.00M,,26.00M,,40.00M,,-183.00M,-194.00M,2005-12,1.095B,20.00M,0.00,,2005-12,-82.00M,26.00M,,,,2005-12,,
2005-09,126.00M,,,,184.00M,166.00M,-4.00M,162.00M,162.00M,-8.00M,,,,-11.00M,69.00M,-89.00M,20.00M,-3.00M,-24.00M,11.00M,-16.00M,437.00M,,2005-09,-355.00M,143.00M,-212.00M,,250.00M,1.00M,,2005-09,,-73.00M,11.00M,,11.00M,,-59.00M,,-1.00M,-122.00M,2005-09,741.00M,357.00M,0.00,,2005-09,3.00M,11.00M,,,,2005-09,,
2005-06,50.00M,,,,55.00M,155.00M,-12.00M,143.00M,143.00M,-20.00M,,,,15.00M,-14.00M,-59.00M,-25.00M,-4.00M,6.00M,-11.00M,-107.00M,136.00M,,2005-06,-314.00M,8.00M,-306.00M,,11.00M,,,2005-06,,-53.00M,2.00M,,2.00M,,-99.00M,,-6.00M,-156.00M,2005-06,1.059B,-314.00M,-1.00M,,2005-06,1.00M,2.00M,,,,2005-06,,
2005-03,84.00M,,,,47.00M,161.00M,-34.00M,127.00M,127.00M,-7.00M,,,,1.00M,-30.00M,-13.00M,-19.00M,4.00M,-6.00M,,-64.00M,188.00M,,2005-03,-242.00M,52.00M,-190.00M,,-229.00M,,,2005-03,,567.00M,4.00M,,4.00M,,-61.00M,,-1.00M,509.00M,2005-03,783.00M,279.00M,-2.00M,,2005-03,1.00M,4.00M,,,,2005-03,,
2004-12,190.00M,,,,105.00M,148.00M,-4.00M,144.00M,144.00M,17.00M,,,,49.00M,12.00M,-24.00M,91.00M,13.00M,33.00M,,80.00M,585.00M,,2004-12,-154.00M,28.00M,-126.00M,,-161.00M,-110.00M,,2004-12,,-93.00M,45.00M,,45.00M,,50.00M,,-239.00M,-241.00M,2004-12,790.00M,-46.00M,5.00M,,2004-12,13.00M,45.00M,,,,2004-12,,
2004-09,129.00M,,,,122.00M,149.00M,24.00M,173.00M,173.00M,44.00M,,,,8.00M,-3.00M,-4.00M,-48.00M,-8.00M,-8.00M,,-71.00M,405.00M,,2004-09,-167.00M,10.00M,-157.00M,,-566.00M,2.00M,,2004-09,,-64.00M,7.00M,,7.00M,,-128.00M,,-2.00M,-187.00M,2004-09,1.475B,-495.00M,2.00M,,2004-09,8.00M,7.00M,,,,2004-09,,
2004-06,37.00M,,,,76.00M,173.00M,-1.00M,172.00M,172.00M,-9.00M,,,,,44.00M,-9.00M,-90.00M,11.00M,-18.00M,,-62.00M,214.00M,,2004-06,-187.00M,2.00M,-185.00M,,287.00M,0.00,,2004-06,,-17.00M,7.00M,,7.00M,,-4.00M,,11.00M,-3.00M,2004-06,985.00M,313.00M,-6.00M,,2004-06,,7.00M,,,,2004-06,,
2004-03,87.00M,,,,126.00M,182.00M,-15.00M,167.00M,167.00M,23.00M,,,,,-59.00M,23.00M,9.00M,-16.00M,-7.00M,,-50.00M,353.00M,,2004-03,-166.00M,11.00M,-155.00M,,-381.00M,82.00M,,2004-03,,-22.00M,19.00M,,19.00M,,-51.00M,,8.00M,-46.00M,2004-03,1.131B,-147.00M,1.00M,,2004-03,,19.00M,,,,2004-03,,
2003-12,153.46M,,,,68.56M,142.63M,-6.287M,136.34M,136.34M,-51.09M,,,,,1.22M,-53.88M,-32.88M,-7.903M,-9.319M,,-102.76M,203.52M,,2003-12,-138.82M,4.387M,-134.43M,11.20M,-9.19M,-186.25M,,2003-12,,-322.90M,1.232B,,1.232B,,-88.03M,,,821.22M,2003-12,419.41M,706.07M,5.20M,,2003-12,,1.232B,,,,2003-12,,
2003-09,114.43M,,,,25.45M,151.44M,-15.60M,135.84M,135.84M,6.346M,,,,,-3.22M,6.45M,-40.28M,-4.429M,14.94M,,-26.53M,255.54M,,2003-09,-150.88M,0.625M,-150.26M,0.00,50.54M,157.60M,,2003-09,,-138.74M,30.00M,,30.00M,,-96.66M,,,-205.41M,2003-09,274.74M,108.00M,36.66M,,2003-09,,30.00M,,,,2003-09,,
2003-06,90.85M,,,,-85.07M,139.34M,-7.752M,131.58M,131.58M,44.14M,,,,,2.145M,-2.094M,-6.862M,9.323M,-95.07M,,-92.56M,88.95M,,2003-06,-133.99M,-169.64M,-303.63M,-11.20M,181.65M,-17.41M,,2003-06,,-24.57M,23.92M,,23.92M,,-16.22M,,,-16.88M,2003-06,380.32M,-78.50M,-27.07M,,2003-06,,23.92M,,,,2003-06,,
2003-03,117.26M,,,,-59.94M,130.59M,-6.362M,124.23M,124.23M,-35.40M,,,,,5.855M,-23.48M,61.02M,-1.991M,-51.56M,,-10.15M,136.00M,,2003-03,-81.31M,170.62M,89.31M,,,-57.94M,,2003-03,,-182.79M,0.934M,,0.934M,,-16.09M,,,-197.94M,2003-03,401.68M,-30.57M,9.205M,,2003-03,,0.934M,,,,2003-03,,
2002-12,67.42M,,,,115.54M,118.27M,8.24M,126.51M,126.51M,-75.83M,,,,,7.235M,-3.76M,-17.73M,2.987M,16.47M,,5.205M,239.86M,,2002-12,-61.83M,9.541M,-52.29M,88.11M,-0.445M,-133.07M,,2002-12,,-14.51M,-0.964M,,-0.964M,,-41.07M,,1.004M,-55.54M,2002-12,292.15M,86.63M,22.65M,,2002-12,,-0.964M,,,,2002-12,,
2002-09,32.70M,,,,-11.93M,148.18M,19.86M,168.04M,168.04M,-15.45M,,,,,3.352M,-0.799M,20.60M,34.13M,16.42M,,73.71M,247.06M,,2002-09,-97.36M,-1.429M,-98.79M,-0.229M,0.712M,0.00,,2002-09,,-110.80M,5.066M,,5.066M,,-12.06M,,0.687M,-117.11M,2002-09,285.40M,31.64M,-24.90M,,2002-09,,5.066M,,,,2002-09,,
2002-06,66.87M,,,,-35.19M,134.35M,1.405M,135.76M,135.76M,-7.501M,,,,,2.573M,-14.98M,19.52M,-0.503M,-41.07M,,-34.45M,125.48M,,2002-06,-87.53M,19.62M,-67.91M,-69.57M,84.00M,50.82M,,2002-06,,-397.87M,47.16M,,47.16M,,-12.08M,,-0.691M,-363.48M,2002-06,511.56M,-240.67M,14.52M,,2002-06,,47.16M,,,,2002-06,,
2002-03,-8.991M,,,,2.577M,105.19M,7.498M,112.69M,112.69M,-1.215M,,,,,11.84M,9.536M,-67.40M,15.38M,-1.823M,,-32.46M,72.60M,,2002-03,-53.28M,0.269M,-53.01M,-18.31M,406.73M,-24.75M,,2002-03,,-24.81M,15.74M,,15.74M,,-13.79M,,,-22.87M,2002-03,149.43M,360.40M,1.731M,,2002-03,,15.74M,,,,2002-03,,
2001-12,4.944M,,,,78.42M,79.09M,18.02M,97.11M,97.11M,-53.88M,,,,,7.78M,-13.86M,26.46M,-5.657M,5.317M,,20.05M,146.64M,,2001-12,-71.90M,-2.073M,-73.97M,,,-3.843M,,2001-12,,-2.348M,-5.366M,,-5.366M,,-7.753M,,5.573M,-9.894M,2001-12,90.52M,58.93M,-0.019M,,2001-12,,-5.366M,,,,2001-12,,
2001-09,17.26M,,,,4.225M,75.12M,0.757M,75.88M,75.88M,-7.673M,,,,,-9.159M,12.74M,3.685M,-9.006M,9.815M,,8.074M,97.76M,,2001-09,-97.17M,2.073M,-95.09M,,,8.479M,,2001-09,,0.881M,5.366M,,5.366M,,-7.746M,,-0.63M,-2.129M,2001-09,76.75M,9.019M,4.751M,,2001-09,,5.366M,,,,2001-09,,
2001-06,-31.60M,,,,5.112M,147.35M,18.63M,81.19M,81.19M,-10.15M,,,,,2.441M,6.928M,21.07M,22.58M,9.085M,,62.10M,106.66M,,2001-06,-121.09M,-0.188M,-121.28M,,,-8.493M,,2001-06,,68.03M,,,,,-7.743M,,1.433M,61.72M,2001-06,47.18M,38.61M,-9.047M,,2001-06,,,,,,2001-06,,
2001-03,-37.25M,,,,20.37M,,,84.79M,84.79M,-19.79M,,,,,4.216M,29.74M,-66.31M,8.215M,-5.369M,,-29.52M,18.61M,,2001-03,-99.81M,0.188M,-99.62M,,,8.794M,,2001-03,,3.44M,,,,,-7.73M,,39.68M,35.39M,2001-03,77.56M,-36.84M,6.459M,,2001-03,,,,,,2001-03,,
2000-12,-26.78M,,,,112.71M,62.40M,9.344M,71.74M,71.74M,-42.26M,,,,,-15.21M,23.25M,40.31M,-5.018M,38.03M,,81.36M,195.76M,,2000-12,-115.94M,,-115.94M,,,30.42M,,2000-12,,-78.03M,,,,,-7.276M,,0.938M,-84.37M,2000-12,59.53M,25.87M,-7.572M,,2000-12,,,,,,2000-12,,
2000-09,-34.66M,,,,36.29M,89.20M,30.86M,120.06M,120.06M,-9.595M,,,,,24.52M,-29.02M,17.54M,-9.291M,11.12M,,14.87M,126.96M,,2000-09,-111.48M,,-111.48M,,,-18.21M,,2000-09,,16.29M,,,,,-6.913M,,-0.319M,9.054M,2000-09,52.26M,6.323M,0.945M,,2000-09,,,,,,2000-09,,
2000-06,-36.53M,,,,42.60M,169.40M,48.80M,102.93M,102.93M,-0.425M,,,,,-1.49M,-15.85M,31.75M,-7.353M,3.227M,,10.29M,118.86M,,2000-06,-102.70M,-1.739M,-104.44M,,,5.738M,,2000-06,,-50.29M,,,,,-6.908M,,0.488M,-56.71M,2000-06,88.74M,-36.55M,0.074M,,2000-06,,,,,,2000-06,,
2000-03,7.977M,,,,17.40M,,,115.27M,115.27M,-12.72M,,,,,-15.82M,0.617M,-32.60M,1.662M,10.62M,,-35.52M,92.42M,,2000-03,-56.88M,1.739M,-55.14M,,,-140.94M,,2000-03,,75.03M,,,,,-6.903M,,-1.107M,67.02M,2000-03,122.83M,-36.65M,2.553M,,2000-03,,,,,,2000-03,,
1999-12,-72.56M,,,,81.27M,,,151.48M,151.48M,-16.40M,,,,-0.20M,14.58M,5.367M,57.62M,10.15M,14.70M,,102.43M,246.02M,,1999-12,-110.64M,-177.30M,-287.94M,,,158.88M,,1999-12,,-122.39M,,,,,-12.47M,,-31.16M,-166.03M,1999-12,20.70M,-49.07M,,,1999-12,,,,,,1999-12,,
1999-09,-39.00M,,,,44.40M,,,83.40M,83.40M,-26.20M,,,,0.10M,6.80M,-46.40M,12.90M,-6.40M,9.50M,,-23.60M,39.10M,,1999-09,-82.30M,177.30M,95.00M,,,-57.40M,,1999-09,,-132.40M,,,,,-5.10M,,-0.20M,-137.70M,1999-09,0.00,-61.00M,,,1999-09,,,,,,1999-09,,
1999-06,7.10M,,,,3.40M,,,64.20M,64.20M,-13.10M,,,,0.10M,9.70M,10.50M,20.60M,-0.80M,9.10M,,49.10M,110.80M,,1999-06,-40.30M,,-40.30M,,,-20.90M,,1999-06,,-34.50M,,,,,-5.00M,,-0.40M,-39.90M,1999-06,72.00M,9.70M,,,1999-06,,,,,,1999-06,,
1999-03,9.90M,,,,15.90M,,,61.50M,61.50M,-7.20M,,,,,1.40M,8.80M,-33.80M,-4.90M,3.70M,,-24.80M,55.30M,,1999-03,-37.00M,,-37.00M,,,-39.70M,,1999-03,,19.70M,,,,,-5.00M,,-0.30M,14.40M,1999-03,79.10M,-7.00M,,,1999-03,,,,,,1999-03,,
1998-12,-423.90M,,,,629.90M,,,80.70M,80.70M,-206.00M,,,,0.10M,-6.20M,-14.10M,34.70M,0.90M,0.60M,,15.90M,96.70M,,1998-12,-40.70M,,-40.70M,,,-44.00M,,1998-12,,17.00M,0.00,14.10M,14.10M,,-19.10M,,-0.30M,11.70M,1998-12,0.00,23.70M,,,1998-12,,0.00,,,14.10M,1998-12,,
1998-09,6.90M,,,,12.00M,,,84.80M,84.80M,-0.20M,,,,-0.10M,5.10M,19.30M,-21.60M,6.90M,-6.90M,,2.80M,106.20M,,1998-09,-60.10M,,-60.10M,,,-40.50M,,1998-09,,0.70M,0.30M,-14.10M,-13.80M,,9.40M,,-0.70M,-4.40M,1998-09,0.00,1.20M,,,1998-09,,0.30M,,,-14.10M,1998-09,,
1998-06,26.20M,,,,11.00M,,,92.00M,92.00M,-5.10M,,,,0.10M,8.90M,-13.50M,3.00M,-10.00M,3.20M,,-8.40M,115.80M,,1998-06,-59.20M,,-59.20M,,,-79.80M,,1998-06,,17.60M,,,,,-4.70M,,0.00,12.90M,1998-06,0.00,-10.30M,,,1998-06,,,,,,1998-06,,
