,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,RentandLandingExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2002-06,2.073B,2.073B,1.033B,1.04B,872.00M,872.00M,155.00M,-154.00M,4.00M,,,,879.00M,1.906B,-866.00M,,,,4.00M,,209.00M,74.00M,135.00M,,0.00,10.00M,,135.00M,132.42M,-402.00M,464.00M,-866.00M,0.105,0.0,0.0,,0.103,0.105,0.105,0.0,0.0,,0.103,0.105,1.275B,1.281B,0.0167
2002-03,1.964B,1.964B,1.019B,945.00M,885.00M,885.00M,152.00M,-152.00M,9.00M,,,,599.00M,1.636B,-691.00M,,,,9.00M,,107.00M,39.00M,68.00M,,-43.00M,7.00M,,25.00M,62.28M,-539.00M,-152.00M,-691.00M,0.0533,-0.0333,0.0,,0.0488,0.02,0.0533,-0.0333,-0.0338,,0.0489,0.02,1.272B,1.279B,0.0167
2001-12,2.009B,1.752B,994.00M,758.00M,881.00M,881.00M,144.00M,-149.00M,-63.00M,,,,702.00M,1.727B,-969.00M,,,,-63.00M,,47.00M,32.00M,15.00M,,,12.00M,,65.00M,102.80M,-825.00M,-1.082B,-969.00M,0.0506,,,,0.0801,0.0506,0.0506,,,,0.0801,0.0506,1.283B,1.283B,0.0167
2001-09,2.019B,2.019B,1.027B,992.00M,866.00M,866.00M,154.00M,-155.00M,1.00M,,,,872.00M,1.892B,-900.00M,,,,1.00M,,157.00M,57.00M,100.00M,0.00,,9.00M,,100.00M,99.36M,-743.00M,157.00M,-900.00M,7.832999999999999,0.0,,,7.832999999999999,0.0783,0.0783,0.0,,,0.0778,0.0783,1.271B,1.275B,0.0167
2001-06,2.057B,2.057B,1.055B,1.002B,902.00M,902.00M,153.00M,-159.00M,34.00M,,,,896.00M,1.951B,-949.00M,,,,34.00M,,167.00M,59.00M,108.00M,0.00,,10.00M,,108.00M,86.01M,-794.00M,155.00M,-949.00M,0.085,0.0,,,0.0677,0.085,0.085,0.0,,,0.0678,0.085,1.270B,1.275B,0.05
2001-03,2.025B,2.025B,1.107B,918.00M,891.00M,891.00M,157.00M,-155.00M,31.00M,,,,943.00M,1.991B,-1.073B,,,,31.00M,,27.00M,7.00M,20.00M,0.00,,8.00M,,20.00M,-2.963M,-916.00M,157.00M,-1.073B,0.0167,0.0,,,-0.0014,0.0167,0.0167,0.0,,,-0.0014,0.0167,1.268B,1.271B,0.05
2000-12,2.047B,1.743B,3.854B,-2.111B,,,,,-7.00M,,,,4.239B,1.098B,-3.209B,,,,-7.00M,,24.00M,27.00M,-3.00M,-365.00M,,,,54.00M,423.20M,-3.209B,-1.045B,-3.209B,-0.0017,-0.289,,-0.0023,0.0016,-0.3017,-0.0017,-0.289,,-0.0023,0.0016,-0.3017,1.266B,1.269B,0.05
2000-09,2.039B,2.039B,1.138B,901.00M,878.00M,878.00M,137.00M,-169.00M,3.00M,,,,969.00M,1.984B,-1.083B,,,,3.00M,,87.00M,28.00M,59.00M,368.00M,0.00,11.00M,,427.00M,-308.03M,-356.00M,727.00M,-1.083B,0.0467,0.29,0.0,0.2884,0.0451,0.3367,0.0467,0.29,0.0,0.288,0.0451,0.3367,1.266B,1.268B,0.05
2000-06,2.071B,2.071B,1.01B,1.061B,732.00M,732.00M,140.00M,,24.00M,,,,859.00M,1.731B,-670.00M,,,,24.00M,,74.00M,26.00M,48.00M,7.00M,,12.00M,,55.00M,32.43M,-530.00M,-144.00M,-670.00M,0.0383,0.005,,,0.026,0.0433,0.0383,0.005,,,0.026,0.0433,1.266B,1.267B,0.05
2000-03,2.034B,2.034B,995.00M,1.039B,727.00M,727.00M,138.00M,,-13.00M,,,,839.00M,1.704B,-665.00M,,,,-13.00M,,35.00M,10.00M,25.00M,4.00M,,8.00M,,29.00M,34.29M,-527.00M,-138.00M,-665.00M,0.02,0.0033,,,0.0273,0.0233,0.02,0.0033,,,0.0273,0.0233,1.267B,1.272B,0.05
1999-12,2.626B,2.626B,5.82B,-3.194B,,,,,368.00M,,,,6.128B,3.217B,-6.411B,,,,368.00M,,-49.00M,-22.00M,-27.00M,2.00M,0.00,,,-25.00M,-247.80M,-6.411B,-163.00M,-6.411B,-0.0223,0.0012,0.0,,-0.1967,-0.0318,-0.0223,0.0012,0.0,,-0.1942,-0.0318,1.266B,1.284B,0.05
1999-09,2.807B,2.807B,1.478B,1.329B,866.00M,866.00M,138.00M,,-298.00M,,,,1.351B,2.355B,-1.026B,,,,-298.00M,,-106.00M,12.00M,-118.00M,5.00M,,10.00M,,-113.00M,60.80M,-888.00M,-132.00M,-1.026B,-0.0933,0.0033,,,0.0491,-0.09,-0.0933,0.0033,,,0.0491,-0.09,1.256B,1.256B,0.05
1999-06,2.616B,2.616B,1.563B,1.053B,1.132B,1.132B,159.00M,-279.00M,-23.00M,,,,904.00M,2.195B,-1.142B,,,,-23.00M,,170.00M,56.00M,114.00M,,,10.00M,,114.00M,129.42M,-983.00M,-159.00M,-1.142B,0.09,0.0,,,0.1022,0.09,0.0883,0.0,,,0.1004,0.0883,1.263B,1.279B,0.05
1999-03,2.541B,2.541B,1.578B,963.00M,1.134B,1.134B,167.00M,-307.00M,-40.00M,,,,878.00M,2.179B,-1.216B,,,,-40.00M,,108.00M,33.00M,75.00M,,-49.00M,9.00M,,26.00M,102.78M,-1.049B,-167.00M,-1.216B,0.06,-0.04,0.0,,0.082,0.02,0.06,-0.04,-0.0389,,0.0819,0.02,1.261B,1.270B,0.05
1998-12,2.109B,2.109B,2.30B,-191.00M,,,,,-23.00M,,,,,7.891B,-8.082B,,,,-23.00M,,115.00M,24.00M,91.00M,,,,,108.00M,109.20M,-8.082B,-162.00M,-8.082B,0.0608,0.013,,,0.0753,0.0739,0.0608,0.013,,,0.0749,0.0739,1.262B,1.292B,0.05
1998-09,2.429B,2.429B,2.052B,377.00M,,,137.00M,,168.00M,,,,,137.00M,240.00M,,,,168.00M,,288.00M,101.00M,187.00M,,,,,187.00M,77.92M,377.00M,-156.00M,240.00M,0.1483,0.0,,,0.0618,0.1483,0.1467,0.0,,,0.0611,0.1467,1.261B,1.275B,0.05
1998-06,2.49B,2.49B,2.001B,489.00M,,,153.00M,,3.00M,,,,2.001B,2.154B,-1.665B,,,,3.00M,,215.00M,64.00M,151.00M,,,,,151.00M,148.89M,-1.512B,-156.00M,-1.665B,0.115,0.0,,,0.1134,0.115,0.1133,0.0,,,0.1118,0.1133,1.313B,1.332B,0.05
