,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermReceivables,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity
2010-09,120.50M,,120.50M,895.70M,71.30M,994.70M,31.10M,67.70M,,113.20M,3.00M,1.330B,0.0,4.962B,753.50M,4.031B,,243.00M,9.989B,-3.402B,6.587B,10.65B,450.70M,11.10B,,,,,,443.40M,18.13B,19.46B,473.00M,76.90M,,549.90M,772.60M,1.322B,,1.092B,,1.092B,,1.092B,321.80M,321.80M,0.0,99.10M,2.835B,,5.836B,,5.836B,964.60M,,964.60M,1.715B,,,2.10M,321.10M,8.837B,11.67B,4.00M,1.820B,6.405B,459.10M,14.70M,7.784B
2010-06,56.00M,,56.00M,898.40M,,898.40M,31.90M,57.20M,,195.50M,49.70M,1.289B,0.0,4.969B,751.40M,3.967B,,178.50M,9.866B,-3.262B,6.604B,10.66B,465.70M,11.13B,315.20M,,,,,236.70M,18.28B,19.57B,470.50M,72.80M,,543.30M,971.70M,1.515B,,692.50M,,692.50M,,692.50M,331.30M,331.30M,0.0,-72.80M,2.466B,,6.425B,,6.425B,977.00M,,977.00M,1.418B,,,2.30M,599.90M,9.420B,11.89B,4.00M,1.762B,6.364B,459.10M,12.00M,7.684B
2010-03,81.40M,,81.40M,850.70M,,850.70M,,135.70M,,198.20M,,1.266B,,,,,,,6.785B,-185.40M,6.599B,10.67B,483.20M,11.15B,,,,,,451.30M,18.20B,19.47B,412.20M,,,412.20M,1.037B,1.449B,,475.70M,,475.70M,,475.70M,329.90M,329.90M,,,2.255B,,6.638B,,6.638B,989.30M,,989.30M,1.399B,,,2.10M,614.90M,9.642B,11.90B,4.00M,1.676B,6.333B,457.70M,12.20M,7.567B
2009-12,48.00M,,48.00M,865.10M,57.10M,922.20M,33.70M,59.30M,,195.30M,6.40M,1.265B,0.0,4.792B,741.60M,3.815B,,245.10M,9.594B,-2.937B,6.658B,10.67B,500.00M,11.17B,,45.10M,,,47.60M,357.90M,18.28B,19.54B,592.80M,,70.00M,662.80M,842.20M,1.505B,,543.00M,,543.00M,,543.00M,331.10M,331.10M,,,2.549B,,6.420B,,6.420B,1.040B,15.70M,1.056B,1.685B,38.10M,,2.60M,225.40M,9.424B,11.97B,4.00M,1.683B,6.316B,457.70M,19.00M,7.564B
2009-09,107.30M,,107.30M,928.20M,31.80M,999.60M,35.40M,73.50M,,179.50M,6.50M,1.404B,0.0,4.763B,726.40M,3.629B,,271.00M,9.389B,-2.804B,6.586B,10.53B,517.70M,11.05B,,52.80M,,,43.20M,392.50M,18.13B,19.53B,458.80M,,16.20M,475.00M,672.10M,1.147B,,242.50M,,242.50M,,242.50M,332.70M,332.70M,,195.80M,2.098B,,6.813B,,6.813B,1.323B,14.80M,1.338B,1.555B,75.80M,,2.30M,95.80M,9.878B,11.98B,4.00M,1.720B,6.290B,457.20M,-4.40M,7.552B
2009-06,67.60M,,67.60M,913.50M,,913.50M,,136.70M,,135.10M,,1.253B,0.0,4.743B,717.60M,3.613B,,170.10M,9.243B,-2.630B,6.613B,10.54B,529.70M,11.07B,,,,,,511.40M,18.19B,19.45B,462.90M,,,462.90M,1.044B,1.506B,,327.30M,,327.30M,,327.30M,352.50M,352.50M,,,2.186B,,6.768B,,6.768B,1.235B,,1.235B,1.584B,,,1.70M,179.00M,9.766B,11.95B,3.90M,1.672B,6.275B,457.20M,-1.40M,7.492B
2009-03,193.50M,,193.50M,877.60M,,877.60M,,166.90M,,125.90M,,1.364B,0.0,4.760B,721.40M,3.532B,,105.00M,9.119B,-2.441B,6.678B,10.42B,547.20M,10.97B,,,,,,855.40M,18.50B,19.86B,552.50M,,,552.50M,1.116B,1.668B,,457.90M,,457.90M,,457.90M,350.50M,350.50M,,,2.476B,,7.119B,,7.119B,1.243B,,1.243B,1.517B,,,1.50M,178.40M,10.06B,12.53B,3.90M,1.518B,6.268B,457.00M,-5.50M,7.327B
2008-12,68.70M,,68.70M,945.50M,50.70M,996.20M,37.10M,58.60M,,136.80M,28.30M,1.326B,0.0,4.76B,706.00M,3.432B,,102.50M,9.001B,-2.263B,6.738B,10.52B,564.10M,11.09B,,,,,,771.90M,18.60B,19.92B,564.00M,,,564.00M,341.10M,905.10M,,504.00M,,504.00M,,504.00M,359.90M,359.90M,,796.80M,2.566B,,7.198B,,7.198B,1.240B,,1.240B,,,,1.10M,1.635B,10.07B,12.64B,3.90M,1.477B,6.260B,456.70M,-3.10M,7.281B
2008-09,39.90M,,39.90M,326.30M,,326.30M,,78.30M,,29.60M,,474.10M,0.0,2.011B,349.30M,2.060B,,134.20M,4.554B,-2.359B,2.195B,1.557B,29.90M,1.587B,,,,,,350.00M,4.132B,4.606B,144.60M,,,144.60M,205.90M,350.50M,,101.60M,,101.60M,,101.60M,128.70M,128.70M,,116.70M,697.50M,,1.497B,,1.497B,519.70M,,519.70M,,,,,580.30M,2.597B,3.295B,2.00M,1.681B,74.10M,456.70M,11.50M,1.312B
2008-06,13.10M,,13.10M,320.10M,,320.10M,,103.20M,,26.70M,,463.10M,0.0,1.997B,348.20M,2.017B,,110.50M,4.472B,-2.305B,2.168B,1.556B,30.90M,1.587B,,,,,,330.10M,4.084B,4.548B,139.70M,,,139.70M,188.40M,328.10M,,101.60M,,101.60M,,101.60M,128.10M,128.10M,,121.20M,679.00M,,1.515B,,1.515B,515.90M,,515.90M,,,,,575.40M,2.607B,3.286B,2.00M,1.627B,64.60M,456.70M,25.00M,1.262B
2008-03,50.40M,,50.40M,306.70M,,306.70M,,72.90M,,26.00M,,456.00M,0.0,1.990B,347.40M,1.987B,,80.50M,4.405B,-2.256B,2.149B,1.555B,32.10M,1.588B,,,,,,341.70M,4.078B,4.534B,120.90M,,,120.90M,169.50M,290.40M,,2.30M,,2.30M,,2.30M,124.20M,124.20M,,155.20M,572.10M,,1.693B,,1.693B,500.80M,,500.80M,,,,,504.50M,2.698B,3.270B,2.00M,1.617B,49.80M,416.10M,11.00M,1.264B
2007-12,21.80M,,21.80M,298.20M,23.70M,321.90M,12.30M,19.70M,,25.30M,12.80M,413.80M,0.0,1.979B,335.10M,1.965B,,78.20M,4.358B,-2.193B,2.164B,1.556B,26.50M,1.582B,,,,,,307.50M,4.054B,4.468B,160.80M,,,160.80M,267.20M,428.00M,,2.30M,,2.30M,,2.30M,121.90M,121.90M,,76.50M,628.70M,,1.566B,,1.566B,489.40M,,489.40M,,,,,480.40M,2.535B,3.164B,2.00M,1.572B,38.70M,318.30M,9.10M,1.304B
2007-09,22.60M,,22.60M,320.10M,,320.10M,,65.00M,,25.00M,,432.70M,0.0,1.923B,327.20M,1.943B,,102.00M,4.295B,-2.158B,2.137B,1.562B,27.50M,1.589B,,,,,,339.30M,4.065B,4.498B,124.80M,,,124.80M,181.90M,306.70M,,2.20M,,2.20M,,2.20M,113.20M,113.20M,,134.60M,556.70M,,1.654B,,1.654B,480.90M,,480.90M,,,,,499.20M,2.634B,3.191B,1.90M,1.522B,25.90M,247.60M,5.20M,1.307B
2007-06,25.90M,,25.90M,312.30M,,312.30M,,59.30M,,26.10M,,423.60M,0.0,1.919B,310.60M,1.929B,,83.90M,4.242B,-2.107B,2.136B,1.561B,28.40M,1.589B,,,,,,267.90M,3.993B,4.416B,122.80M,,,122.80M,191.50M,314.30M,,2.30M,,2.30M,,2.30M,110.40M,110.40M,,145.20M,572.20M,,1.496B,,1.496B,466.90M,,466.90M,,,,,492.70M,2.456B,3.028B,1.90M,1.487B,15.90M,120.60M,4.60M,1.388B
2007-03,20.30M,,20.30M,297.70M,,297.70M,,65.10M,,25.60M,,408.70M,0.0,1.909B,307.80M,1.910B,,64.70M,4.192B,-2.051B,2.140B,1.563B,29.50M,1.592B,,,,,,269.20M,4.002B,4.411B,108.80M,,,108.80M,145.60M,254.40M,,2.50M,,2.50M,,2.50M,110.60M,110.60M,,167.40M,534.90M,,1.550B,,1.550B,466.20M,,466.20M,,,,,459.20M,2.475B,3.01B,1.90M,1.420B,1.20M,26.20M,3.80M,1.401B
2006-12,29.10M,,29.10M,293.80M,24.40M,318.20M,17.00M,17.50M,,10.00M,1.60M,393.40M,0.0,158.60M,307.50M,1.887B,1.722B,73.40M,4.148B,-1.985B,2.164B,1.563B,31.00M,1.594B,,,,,,278.30M,4.036B,4.429B,161.50M,,,161.50M,188.20M,349.70M,,2.60M,,2.60M,,2.60M,107.00M,107.00M,,142.90M,602.20M,,1.545B,,1.545B,419.70M,,419.70M,,,,,440.80M,2.405B,3.007B,1.90M,1.603B,1.618B,1.801B,0.90M,1.422B
2006-09,49.30M,,49.30M,311.50M,,311.50M,,56.00M,,10.90M,,427.70M,0.0,158.40M,300.70M,1.846B,1.670B,113.20M,4.089B,-1.942B,2.147B,1.562B,22.90M,1.585B,,,,,,328.80M,4.061B,4.489B,125.80M,,,125.80M,163.10M,288.90M,,2.80M,,2.80M,,2.80M,107.70M,107.70M,,147.10M,546.50M,,1.665B,,1.665B,400.90M,,400.90M,,,,,442.40M,2.508B,3.055B,1.90M,1.556B,1.601B,1.726B,1.30M,1.434B
2006-06,30.70M,,30.70M,302.10M,,302.10M,,55.50M,,9.70M,,398.00M,0.0,153.10M,299.30M,1.834B,1.656B,92.30M,4.035B,-1.881B,2.154B,1.564B,24.20M,1.588B,,,,,,350.50M,4.092B,4.490B,132.00M,,,132.00M,148.50M,280.50M,,2.90M,,2.90M,,2.90M,106.30M,106.30M,,137.20M,526.90M,,1.659B,,1.659B,389.50M,,389.50M,,,,,451.20M,2.500B,3.027B,1.90M,1.500B,1.593B,1.635B,2.70M,1.463B
2006-03,14.90M,,14.90M,278.80M,,278.80M,,59.50M,,9.60M,,362.80M,0.0,153.70M,287.30M,1.797B,1.643B,79.10M,3.960B,-1.827B,2.133B,1.565B,25.50M,1.590B,,,,,,385.20M,4.109B,4.472B,123.30M,,,123.30M,133.40M,256.70M,,,,58.00M,,58.00M,102.90M,102.90M,,153.70M,571.30M,,1.497B,,1.497B,388.50M,,388.50M,,,,,438.40M,2.324B,2.895B,1.90M,1.448B,1.573B,1.449B,2.40M,1.576B
2005-12,131.80M,,131.80M,280.00M,24.50M,304.50M,16.40M,18.00M,,8.90M,2.70M,482.30M,0.0,152.50M,287.10M,1.747B,1.63B,73.80M,3.890B,-1.775B,2.115B,1.564B,27.00M,1.591B,,,,,,362.10M,4.068B,4.550B,176.10M,,,176.10M,165.70M,341.80M,,3.00M,,3.00M,,3.00M,99.30M,99.30M,,222.90M,667.00M,,1.472B,,1.472B,390.00M,,390.00M,,,,,415.60M,2.278B,2.945B,1.90M,1.403B,1.509B,1.309B,0.80M,1.606B
2005-09,33.80M,,33.80M,293.60M,,293.60M,,72.30M,,,9.90M,409.60M,0.0,149.10M,280.60M,1.733B,1.584B,90.40M,3.836B,-1.730B,2.107B,,1.579B,1.579B,,,,,,270.10M,3.956B,4.365B,123.10M,,,123.10M,142.20M,265.30M,,5.10M,,5.10M,,5.10M,96.20M,96.20M,,143.70M,510.30M,,1.363B,,1.363B,440.20M,,440.20M,,,,,423.90M,2.228B,2.738B,1.90M,1.362B,1.463B,1.201B,1.40M,1.628B
2005-06,30.30M,,30.30M,268.40M,,268.40M,,72.10M,,9.90M,,380.70M,0.0,148.10M,281.90M,1.686B,1.557B,56.00M,3.729B,-1.671B,2.058B,,1.579B,1.579B,,,,,,330.90M,3.968B,4.349B,121.00M,,,121.00M,143.00M,264.00M,,5.30M,,5.30M,,5.30M,86.90M,86.90M,,120.20M,476.40M,,1.357B,,1.357B,434.40M,,434.40M,,,,,409.10M,2.201B,2.677B,1.90M,1.318B,1.439B,1.088B,0.80M,1.672B
2005-03,71.80M,,71.80M,246.10M,,246.10M,,73.70M,,9.90M,,401.50M,0.0,147.70M,283.60M,1.635B,1.543B,41.80M,3.651B,-1.612B,2.040B,,1.581B,1.581B,,,,,,359.00M,3.980B,4.381B,110.00M,,,110.00M,136.50M,246.50M,,20.40M,,20.40M,,20.40M,82.20M,82.20M,,102.00M,451.10M,,1.351B,,1.351B,428.10M,,428.10M,,,,,405.00M,2.184B,2.635B,1.90M,1.271B,1.412B,939.50M,0.50M,1.746B
2004-12,141.50M,,141.50M,268.70M,,268.70M,,76.40M,,,9.90M,496.50M,0.0,151.30M,287.00M,1.618B,1.486B,46.50M,3.589B,-1.58B,2.009B,,1.593B,1.593B,,,,,,366.40M,3.968B,4.465B,119.60M,,,119.60M,135.30M,254.90M,,2.40M,,2.40M,,2.40M,99.70M,99.70M,,89.60M,446.60M,,1.352B,,1.352B,406.50M,,406.50M,,,,,387.10M,2.146B,2.592B,1.90M,1.223B,1.399B,750.40M,-1.00M,1.872B
2004-09,115.80M,,115.80M,285.90M,,285.90M,,69.60M,,8.40M,,479.70M,0.0,150.00M,276.10M,1.574B,1.413B,94.80M,3.508B,-1.525B,1.982B,,1.589B,1.589B,,,,,,343.90M,3.915B,4.395B,118.90M,,,118.90M,147.10M,266.00M,,2.40M,,2.40M,,2.40M,92.80M,92.80M,,104.80M,466.00M,,1.318B,,1.318B,402.10M,,402.10M,,,,,367.20M,2.088B,2.554B,1.80M,1.183B,1.385B,727.10M,-1.40M,1.841B
2004-06,65.70M,,65.70M,269.20M,,269.20M,,76.20M,,8.40M,,419.50M,0.0,148.40M,275.40M,1.548B,1.395B,79.10M,3.446B,-1.481B,1.965B,,1.591B,1.591B,,,,,,346.30M,3.902B,4.322B,111.90M,,,111.90M,128.90M,240.80M,,2.40M,,2.40M,,2.40M,90.90M,90.90M,,103.10M,437.20M,,1.297B,,1.297B,384.70M,,384.70M,,,,,362.90M,2.044B,2.482B,1.80M,1.139B,1.378B,677.00M,-1.70M,1.840B
2004-03,174.20M,,174.20M,250.00M,,250.00M,,121.70M,,8.50M,,554.40M,0.0,144.00M,271.00M,1.508B,1.353B,60.00M,3.335B,-1.422B,1.913B,,1.585B,1.585B,,,,,,492.80M,3.991B,4.545B,113.20M,,,113.20M,121.20M,234.40M,,232.30M,,232.30M,,232.30M,90.00M,90.00M,,114.30M,671.00M,,1.29B,,1.29B,371.20M,,371.20M,,,,,338.80M,2.00B,2.671B,1.80M,1.087B,1.365B,577.40M,-1.60M,1.874B
2003-12,119.20M,,119.20M,248.90M,,248.90M,,182.10M,,5.80M,,556.00M,0.0,143.90M,267.40M,1.491B,1.335B,67.20M,3.304B,-1.373B,1.931B,,1.583B,1.583B,,,,,,484.00M,3.998B,4.554B,129.10M,,,129.10M,118.60M,247.70M,,231.10M,,231.10M,,231.10M,88.50M,88.50M,,104.70M,672.00M,,1.289B,,1.289B,353.50M,,353.50M,,,,,334.90M,1.978B,2.650B,1.80M,1.039B,1.348B,484.30M,-0.10M,1.904B
2003-09,124.70M,,124.70M,266.30M,,266.30M,,72.50M,,6.80M,,470.30M,,,,,,,2.803B,-929.10M,1.874B,,1.580B,1.580B,,,,,,471.10M,3.925B,4.395B,118.70M,,,118.70M,130.50M,249.20M,,,,235.40M,,235.40M,85.10M,85.10M,,110.80M,680.50M,,1.261B,,1.261B,215.40M,,215.40M,,,,,344.40M,1.821B,2.502B,1.80M,993.00M,1.334B,435.60M,0.30M,1.894B
2003-06,247.60M,,247.60M,264.60M,,264.60M,,63.90M,,8.90M,,585.00M,0.0,1.392B,253.30M,1.411B,,50.60M,3.107B,-1.280B,1.828B,,1.578B,1.578B,,,,,,301.20M,3.706B,4.292B,104.30M,,,104.30M,110.90M,215.20M,,227.70M,,227.70M,,227.70M,86.00M,86.00M,,109.50M,638.40M,,1.252B,,1.252B,197.00M,,197.00M,,,,,304.30M,1.754B,2.392B,1.80M,957.90M,1.326B,386.90M,,1.899B
2003-03,166.10M,,166.10M,251.30M,,251.30M,,69.10M,,9.20M,,495.70M,0.0,1.368B,263.70M,1.375B,,38.80M,3.045B,-1.229B,1.816B,,1.570B,1.570B,,,,,,271.80M,3.658B,4.154B,97.10M,,,97.10M,106.90M,204.00M,,2.70M,,2.70M,,2.70M,85.90M,85.90M,,94.80M,387.40M,,1.441B,,1.441B,184.80M,,184.80M,,,,,293.40M,1.920B,2.307B,1.80M,897.50M,1.304B,356.30M,,1.847B
2002-12,141.50M,,141.50M,238.60M,,238.60M,,63.00M,,9.20M,,452.30M,0.0,1.17B,270.90M,1.357B,,41.40M,2.839B,-929.10M,1.91B,,1.570B,1.570B,,,,,,276.90M,3.757B,4.209B,123.50M,,,123.50M,109.30M,232.80M,,2.80M,,2.80M,,2.80M,82.90M,82.90M,,73.70M,392.20M,,1.439B,,1.439B,195.00M,,195.00M,,,,,301.50M,1.936B,2.328B,1.80M,880.70M,1.299B,300.10M,,1.881B
2002-09,62.90M,,62.90M,249.70M,,249.70M,,71.00M,,,,383.60M,,,,,,,2.642B,-779.40M,1.862B,,1.559B,1.559B,,,,,,242.60M,3.663B,4.047B,92.50M,,,92.50M,116.10M,208.60M,,3.40M,,3.40M,,3.40M,80.30M,80.30M,,107.10M,399.40M,,1.385B,,1.385B,160.80M,,160.80M,,,,,288.40M,1.835B,2.234B,1.80M,819.20M,1.280B,288.50M,,1.813B
2002-06,110.40M,,110.40M,246.00M,,246.00M,,75.70M,,,,432.10M,,,,,,,2.561B,-779.40M,1.782B,,1.553B,1.553B,,,,,,216.90M,3.552B,3.984B,76.20M,,,76.20M,134.70M,210.90M,,3.50M,,3.50M,,3.50M,78.60M,78.60M,,119.40M,412.40M,,1.362B,,1.362B,140.60M,,140.60M,,,,,276.80M,1.779B,2.192B,1.80M,757.00M,1.277B,242.80M,-0.20M,1.793B
2002-03,48.50M,,48.50M,224.00M,,224.00M,,79.40M,,,,351.90M,,,,,,,2.546B,-779.40M,1.767B,,1.550B,1.550B,,,,,,203.50M,3.520B,3.872B,79.30M,,,79.30M,110.50M,189.80M,,3.50M,,3.50M,,3.50M,77.10M,77.10M,,105.00M,375.40M,,1.335B,,1.335B,127.10M,,127.10M,,,,,267.80M,1.730B,2.105B,1.80M,696.00M,1.266B,196.60M,-0.40M,1.767B
2001-12,16.10M,,16.10M,232.90M,,232.90M,,69.20M,,6.60M,,324.80M,,,,,,,2.554B,-779.40M,1.775B,,1.552B,1.552B,,,,,,205.00M,3.532B,3.856B,90.20M,,,90.20M,,90.20M,,,,33.60M,,33.60M,,,,262.60M,386.40M,,1.334B,,1.334B,118.70M,,118.70M,,,,,261.20M,1.714B,2.100B,1.80M,641.10M,1.265B,150.10M,-1.60M,1.756B
2001-09,,,,271.50M,,271.50M,,76.90M,,,,348.40M,,,,,,,,,1.787B,,1.601B,1.601B,,,,,,153.00M,3.541B,3.889B,79.70M,,,79.70M,167.50M,247.20M,,,,30.10M,,30.10M,75.50M,75.50M,,67.50M,420.30M,,1.302B,,1.302B,145.10M,,145.10M,,,,,236.40M,1.683B,2.103B,1.80M,680.00M,1.249B,144.10M,-1.10M,1.786B
2001-06,9.10M,,9.10M,268.90M,,268.90M,,72.90M,,,,350.90M,,,,,,,1.817B,,1.817B,,1.602B,1.602B,,,,,,144.00M,3.563B,3.914B,77.90M,,,77.90M,129.30M,207.20M,,,,282.60M,,282.60M,76.80M,76.80M,,68.30M,634.90M,,1.163B,,1.163B,139.50M,,139.50M,,,,,228.00M,1.531B,2.166B,1.80M,623.30M,1.221B,98.20M,0.50M,1.749B
2001-03,19.40M,,19.40M,250.60M,,250.60M,,68.30M,64.40M,,,402.70M,0.0,1.058B,233.80M,1.052B,,33.60M,2.378B,-680.40M,1.697B,,1.419B,1.419B,,,,,,51.90M,3.169B,3.571B,61.00M,,,61.00M,104.60M,165.60M,,117.30M,,117.30M,,117.30M,77.70M,77.70M,,53.30M,413.90M,,1.141B,,1.141B,132.50M,,132.50M,,,,,179.00M,1.452B,1.866B,1.80M,565.20M,1.214B,76.10M,,1.705B
2000-12,2.00M,,2.00M,,,241.30M,,,,,162.50M,405.80M,,,,,,,2.315B,-647.00M,1.668B,,1.435B,1.435B,,,,,,52.90M,3.156B,3.562B,103.40M,,,103.40M,,103.40M,,,,56.50M,,56.50M,,,,221.90M,381.80M,,1.200B,,1.200B,126.60M,,126.60M,,,,,178.00M,1.505B,1.887B,1.80M,515.60M,1.208B,50.90M,,1.675B
2000-09,4.80M,,4.80M,,,260.80M,,,,,108.40M,374.00M,,,,,,,2.236B,-611.10M,1.625B,,1.408B,1.408B,,,,,,54.20M,3.088B,3.462B,56.30M,,,56.30M,,56.30M,,,,44.40M,,44.40M,,,,238.30M,339.00M,,1.164B,,1.164B,125.40M,,125.40M,,,,,177.70M,1.467B,1.806B,1.80M,459.10M,1.208B,12.70M,,1.656B
2000-06,,,,,,246.80M,,,,,92.70M,339.50M,,,,,,,2.198B,-589.70M,1.609B,,1.377B,1.377B,,,,,,50.40M,3.036B,3.376B,64.90M,,,64.90M,,64.90M,,,,53.80M,,53.80M,,,,248.10M,366.80M,,1.103B,,1.103B,118.50M,,118.50M,,,,,173.70M,1.395B,1.762B,1.80M,404.00M,1.208B,,,1.614B
2000-03,,,,,,244.50M,,,,,69.60M,314.10M,,,,,,,2.223B,-584.00M,1.639B,,1.331B,1.331B,,,,,,51.20M,3.022B,3.336B,65.10M,,,65.10M,,65.10M,,,,39.30M,,39.30M,,,,251.50M,355.90M,,1.155B,,1.155B,105.70M,,105.70M,,,,,166.90M,1.427B,1.783B,1.80M,344.80M,1.206B,,,1.553B
1999-12,13.10M,,13.10M,,,250.90M,,,,,68.00M,332.00M,,,,,,,2.174B,-568.80M,1.606B,,1.297B,1.297B,,,,,,53.50M,2.956B,3.288B,76.10M,,,76.10M,,76.10M,,,,57.20M,,57.20M,,,,252.00M,385.30M,,1.152B,,1.152B,94.40M,,94.40M,,,,,153.80M,1.400B,1.786B,1.80M,294.60M,1.206B,,,1.503B
1999-09,9.80M,10.30M,20.10M,,,249.80M,,,,,52.20M,322.10M,,,,,,,2.110B,-545.60M,1.565B,,1.381B,1.381B,,,,,,,2.946B,3.268B,65.00M,,,65.00M,,65.00M,,,,76.80M,,76.80M,,,,279.90M,421.70M,,1.154B,,1.154B,71.30M,,71.30M,,,,,169.20M,1.394B,1.816B,1.80M,244.20M,1.206B,,,1.452B
1999-06,44.90M,,44.90M,,,234.30M,,,,,46.60M,325.80M,,,,,,,2.047B,-520.50M,1.526B,,1.250B,1.250B,,,,,,,2.776B,3.102B,67.10M,,,67.10M,,67.10M,,,,27.00M,,27.00M,,,,254.30M,348.40M,,1.118B,,1.118B,73.00M,,73.00M,,,,,163.20M,1.355B,1.703B,,191.70M,,,,1.399B
1999-03,15.30M,,15.30M,,,207.80M,,,,,50.50M,273.60M,,,,,,,1.884B,-492.90M,1.391B,,1.123B,1.123B,,,,,,,2.515B,2.788B,45.00M,,,45.00M,,45.00M,,,,385.20M,,385.20M,,,,263.40M,693.60M,,557.40M,,557.40M,73.90M,,73.90M,,,,,118.90M,750.20M,1.444B,,137.20M,,,,1.344B
1998-12,556.60M,,556.60M,,,182.70M,,,,,44.70M,784.00M,,,,,,,1.569B,-473.00M,1.096B,,932.00M,932.00M,,,,,,,2.028B,2.812B,64.70M,,,64.70M,,64.70M,,,,499.90M,,499.90M,,,,219.20M,783.80M,,557.20M,,557.20M,71.40M,,71.40M,,,,,100.60M,729.20M,1.513B,,93.80M,,,,1.299B
1998-09,21.40M,,21.40M,,,162.50M,12.60M,,,,27.50M,224.00M,,,,,,,1.344B,-456.40M,887.80M,,601.90M,601.90M,,,,,,,1.490B,1.714B,40.40M,,,40.40M,,40.40M,,,,,,,,,,203.40M,243.80M,,102.20M,,102.20M,66.80M,,66.80M,,,,,49.40M,218.40M,462.20M,,46.20M,,,,1.252B
1998-06,17.10M,,17.10M,,,155.80M,11.80M,,,,30.30M,215.00M,,,,,,,1.308B,-447.10M,861.10M,,505.90M,505.90M,,,,,,,1.367B,1.582B,41.00M,,,41.00M,,41.00M,,,,,,,,,,1.998B,2.039B,,62.40M,,62.40M,55.70M,,55.70M,,,,,49.00M,167.10M,2.206B,,,,,,-623.70M
