,NetIncome,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2005-09,63.80M,,,,12.50M,117.10M,-44.30M,72.80M,72.80M,5.70M,,,,0.10M,-27.40M,-2.60M,-0.50M,,34.20M,,3.70M,158.60M,-112.60M,2.70M,-109.90M,-4.60M,0.00,61.10M,-53.40M,,11.20M,17.80M,-113.60M,-95.80M,,-17.10M,,,-101.70M,30.30M,3.50M,33.80M,17.80M,,,-113.60M
2005-06,64.40M,,,,12.80M,41.00M,30.50M,71.50M,71.50M,6.70M,,,,0.10M,-24.60M,-6.00M,17.90M,,24.70M,,12.00M,167.50M,-87.20M,6.10M,-81.10M,0.00,38.70M,-4.80M,-47.20M,,-15.60M,19.20M,-148.00M,-128.80M,,-17.40M,,,-161.80M,71.80M,-41.50M,30.30M,19.20M,,,-148.00M
2005-03,65.50M,,,,3.70M,40.50M,21.70M,62.20M,62.20M,20.00M,,,,0.10M,20.00M,1.40M,-8.30M,,3.00M,,16.10M,167.60M,-50.20M,29.30M,-20.90M,-2.50M,,12.10M,-11.30M,,-26.20M,7.40M,-189.10M,-181.70M,,-18.10M,,,-226.00M,141.50M,-69.70M,71.80M,7.40M,,,-189.10M
2004-12,57.60M,,,,11.70M,-33.40M,99.10M,65.70M,65.70M,11.10M,,,,1.90M,12.40M,-81.50M,7.80M,,44.90M,,-19.00M,129.00M,-87.20M,1.60M,-85.60M,-8.20M,-0.30M,-21.90M,-116.00M,,34.60M,10.90M,-23.30M,-12.40M,,-9.50M,,,12.70M,115.80M,25.70M,141.50M,10.90M,,,-23.30M
2004-09,62.50M,,,,6.50M,112.60M,-43.30M,69.30M,69.30M,17.80M,,,,0.20M,-18.50M,3.50M,17.00M,,17.10M,,19.10M,175.40M,-78.60M,1.50M,-77.10M,-1.50M,-0.20M,4.10M,-74.70M,,15.00M,2.60M,-50.10M,-47.50M,,-18.10M,,,-50.60M,65.70M,50.10M,115.80M,2.60M,,,-50.10M
2004-06,60.90M,,,,7.50M,37.70M,28.00M,65.70M,65.70M,13.70M,,,,-0.10M,-19.50M,39.80M,11.10M,,-7.50M,,23.90M,171.60M,-79.20M,0.90M,-78.30M,-36.40M,144.30M,-1.20M,28.40M,,-210.30M,10.50M,-99.60M,-89.10M,,-9.10M,,,-308.50M,174.20M,-108.50M,65.70M,10.50M,,,-99.60M
2004-03,56.90M,,,,6.60M,37.10M,21.60M,58.70M,58.70M,15.00M,,,,0.10M,-1.90M,60.00M,-20.60M,,15.50M,,53.00M,190.30M,-38.80M,1.70M,-37.10M,-1.20M,,-6.10M,-44.40M,,-2.70M,14.20M,-93.10M,-78.90M,,-9.30M,,,-90.90M,119.20M,55.00M,174.20M,14.20M,,,-93.10M
2003-12,55.70M,,,,17.30M,129.30M,-68.10M,61.20M,61.20M,133.20M,,,,,14.30M,-91.60M,10.60M,,-32.60M,,-99.30M,168.10M,-92.40M,5.10M,-87.30M,-18.10M,,129.50M,-158.30M,,29.40M,13.40M,-48.70M,-35.30M,,-9.40M,,,-15.30M,124.70M,-5.50M,119.20M,13.40M,,,-48.70M
2003-09,44.70M,,,,5.00M,-9.20M,70.90M,61.70M,61.70M,20.40M,,,,,-4.90M,-14.10M,18.70M,,48.60M,,48.30M,180.10M,-92.70M,1.10M,-91.60M,-12.00M,,-168.60M,-272.20M,,19.60M,7.90M,-48.70M,-40.80M,,-9.60M,,,-30.80M,247.60M,-122.90M,124.70M,7.90M,,,-48.70M
2003-06,60.40M,,,,0.10M,58.20M,1.20M,59.40M,59.40M,12.50M,,,,0.50M,-15.30M,3.90M,12.80M,,17.20M,,18.60M,151.50M,-64.10M,1.50M,-62.60M,-10.50M,,-24.70M,-97.80M,,35.80M,22.60M,-30.60M,-8.00M,,,,,27.80M,166.10M,81.50M,247.60M,22.60M,,,-30.60M
2003-03,16.80M,,,,43.40M,55.50M,1.30M,56.80M,56.80M,12.80M,,,,-0.50M,-15.90M,-7.60M,-33.10M,,28.10M,,-28.50M,100.80M,-24.00M,1.40M,-22.60M,-7.70M,,6.20M,-24.10M,,-1.10M,5.20M,-56.20M,-51.00M,,,,,-52.10M,141.50M,24.60M,166.10M,5.20M,,,-56.20M
2002-12,61.50M,,,,0.60M,-16.20M,68.60M,52.40M,52.40M,31.60M,,,,,9.00M,-7.50M,26.30M,,-18.90M,,8.90M,155.00M,-96.30M,22.20M,-74.10M,-12.70M,,-49.10M,-135.90M,,-17.30M,15.80M,-11.60M,4.20M,,,,72.60M,59.50M,62.90M,78.60M,141.50M,15.80M,,,-11.60M
2002-09,62.20M,,,,2.90M,52.10M,1.30M,53.40M,53.40M,20.10M,,,,,-2.70M,1.00M,6.00M,,-15.20M,,-10.90M,127.70M,-57.10M,-1.90M,-59.00M,-37.60M,,21.20M,-75.40M,,15.40M,3.10M,-45.70M,-42.60M,,,,-72.60M,-99.80M,110.40M,-47.50M,62.90M,3.10M,,,-45.70M
2002-06,61.00M,,,,3.40M,48.10M,1.30M,49.40M,49.40M,13.00M,,,,,-25.30M,7.10M,14.10M,,29.80M,,25.70M,152.50M,-67.60M,4.30M,-63.30M,-1.30M,,-14.30M,-78.90M,,24.80M,9.70M,-46.20M,-36.50M,,,,,-11.70M,48.50M,61.90M,110.40M,9.70M,,,-46.20M
2002-03,54.90M,,,,3.50M,42.10M,2.30M,44.40M,44.40M,8.40M,,,,,5.40M,-6.50M,-9.30M,,33.70M,,23.30M,134.50M,-37.60M,8.90M,-28.70M,-4.20M,,6.80M,-26.10M,,-30.80M,1.30M,-46.50M,-45.20M,,,,,-76.00M,16.10M,32.40M,48.50M,1.30M,,,-46.50M
2001-12,-38.90M,,,,65.80M,-19.30M,12.40M,-6.90M,-6.90M,-32.80M,,,,132.30M,26.40M,-11.80M,-55.90M,,-0.10M,,-41.40M,78.10M,-70.30M,-40.90M,-111.20M,261.10M,,-258.30M,-108.40M,,-409.90M,14.90M,-6.00M,8.90M,,,,,46.40M,0.00,16.10M,16.10M,14.90M,,,-6.00M
2001-09,56.70M,,,,4.70M,44.30M,12.30M,56.60M,56.60M,7.20M,,,,,-9.40M,-4.20M,59.80M,,-14.10M,,32.10M,157.30M,-63.30M,44.80M,-18.50M,0.00,,-12.60M,-31.10M,,-115.60M,26.20M,-93.20M,-67.00M,,,,,-135.30M,9.10M,-9.10M,0.00,26.20M,,,-93.20M
2001-06,58.10M,,,,4.40M,42.50M,11.40M,53.90M,53.90M,8.90M,,,,-0.10M,-11.00M,-3.20M,9.90M,,16.70M,,12.40M,137.60M,-76.50M,-0.90M,-77.40M,-253.70M,,38.80M,-292.30M,,159.40M,7.00M,25.30M,32.30M,,,,,144.40M,19.40M,-10.30M,9.10M,7.00M,,,25.30M
2001-03,49.60M,,,,3.80M,39.30M,11.00M,50.30M,50.30M,6.00M,,,,0.10M,-9.80M,10.00M,-43.60M,,19.80M,,-23.60M,86.20M,-39.20M,5.70M,-33.50M,-7.40M,,-9.10M,-50.00M,,1.60M,4.90M,-25.30M,-20.40M,,,,,-18.80M,2.00M,17.40M,19.40M,4.90M,,,-25.30M
2000-12,56.50M,,,,3.50M,,,51.30M,51.30M,0.80M,,,,,21.60M,,27.80M,-7.00M,-7.90M,,34.50M,146.60M,-60.20M,-30.30M,-90.50M,137.70M,,-207.00M,-159.80M,,48.50M,0.50M,-37.70M,-37.20M,,,,,10.40M,4.80M,-2.80M,2.00M,0.50M,,,-37.70M
2000-09,55.10M,,,,10.00M,,,50.60M,50.60M,6.90M,,,,,-8.70M,,-15.30M,-7.40M,-3.20M,,-34.60M,88.00M,-50.00M,33.80M,-16.20M,-53.30M,,-51.90M,-121.40M,,51.40M,0.00,-13.20M,-13.20M,,,,,38.20M,0.00,4.80M,4.80M,0.00,,,-13.20M
2000-06,59.20M,,,,4.00M,,,49.20M,49.20M,12.10M,,,,,-14.40M,,8.30M,0.40M,-6.90M,,-12.60M,111.90M,-48.60M,1.80M,-46.80M,-36.30M,,8.30M,-74.80M,,-37.50M,0.40M,,0.40M,,,,,-37.10M,0.00,0.00,0.00,0.40M,,,
2000-03,50.20M,,,,2.30M,,,46.30M,46.30M,10.00M,,,,,7.70M,,-20.50M,-2.80M,22.10M,,6.50M,115.30M,-49.20M,7.30M,-41.90M,-48.10M,,-19.00M,-109.00M,,-19.40M,,,,,,,,-19.40M,13.10M,-13.10M,0.00,,,,
1999-12,50.40M,,,,12.40M,,,45.40M,45.40M,17.80M,,,,-2.00M,-0.70M,,-15.70M,2.40M,-11.40M,,-25.40M,98.60M,-88.10M,,-88.10M,,,-21.80M,-109.90M,,-21.50M,,,,,,,,14.60M,9.80M,3.30M,13.10M,,,,
1999-09,52.50M,,,,-2.00M,,,44.80M,44.80M,8.10M,,,,2.00M,-13.50M,,1.30M,-12.10M,9.20M,,-15.10M,90.30M,-207.40M,,-207.40M,,,-3.20M,-210.60M,,85.20M,,,,,,,,85.20M,44.90M,-35.10M,9.80M,,,,
1999-06,54.50M,,,,2.00M,,,39.60M,39.60M,8.90M,,,,-2.00M,-19.20M,,-2.60M,3.80M,-14.10M,,-32.10M,70.90M,-243.70M,,-243.70M,,,-0.40M,-244.10M,,202.80M,,,,,,,,202.80M,15.30M,29.60M,44.90M,,,,
1999-03,43.40M,,,,,,,33.40M,33.40M,7.10M,,,,2.00M,-22.60M,,-18.40M,-6.40M,25.50M,,-21.90M,64.00M,-488.20M,,-488.20M,,,-0.90M,-489.10M,,-116.20M,,,,,,,,-116.20M,556.60M,-541.30M,15.30M,,,,
