,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,ProvisionforDoubtfulAccounts,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2003-03,594.60M,594.60M,367.70M,226.90M,,61.60M,-1.40M,,,,,3.10M,121.50M,105.40M,,,,-1.40M,,88.00M,33.40M,54.60M,-37.80M,,16.80M,55.47M,162.20M,56.80M,105.40M,0.2267,-0.1533,0.0,0.2302,0.0733,0.22,-0.1533,-0.1555,0.2235,0.0667,243.15M,244.95M,
2002-12,605.30M,605.30M,381.80M,223.50M,,58.60M,4.80M,,,,,,105.40M,118.10M,,,,4.80M,,99.20M,37.70M,61.50M,,,61.50M,58.52M,170.50M,52.40M,118.10M,0.2467,0.0,,0.2347,0.2467,0.2467,,,0.2347,0.2467,248.25M,248.25M,
2002-09,609.70M,609.70M,377.60M,232.10M,,60.50M,0.10M,,,,,,113.90M,118.20M,,,,0.10M,,100.40M,38.20M,62.20M,,,62.20M,62.14M,171.60M,53.40M,118.20M,0.2533,0.0,,0.2531,0.2533,0.2533,0.0,,0.2531,0.2533,247.20M,247.20M,
2002-06,598.20M,598.20M,371.50M,226.70M,,61.00M,0.30M,,,,,,110.40M,116.30M,,,,0.30M,,98.40M,37.40M,61.00M,,,61.00M,60.81M,165.70M,49.40M,116.30M,0.24,0.0,,0.2393,0.24,0.24,0.0,,0.2393,0.24,251.25M,251.25M,
2002-03,551.90M,551.90M,342.00M,209.90M,,58.60M,0.10M,,,,,,103.00M,106.90M,,,,0.10M,,88.50M,33.60M,54.90M,,,54.90M,54.84M,151.30M,44.40M,106.90M,0.2134,0.0,,0.2132,0.2134,0.2134,0.0,,0.2132,0.2134,253.52M,253.52M,
2001-12,563.50M,563.50M,380.10M,183.40M,,66.80M,-100.10M,,,,,,121.40M,62.00M,,,,-100.10M,,-55.90M,-17.00M,-38.90M,,,-38.90M,30.76M,116.60M,-6.90M,62.00M,-0.1533,0.0,,0.1195,-0.1533,-0.1534,,,0.1195,-0.1534,255.30M,255.30M,
2001-09,582.60M,582.60M,358.20M,224.40M,,57.40M,,,,,,,114.00M,110.40M,,,,,,91.50M,34.80M,56.70M,,,56.70M,56.70M,167.00M,56.60M,110.40M,0.22,0.0,,0.22,0.22,0.22,0.0,,0.22,0.22,256.65M,256.65M,
2001-06,576.00M,576.00M,354.50M,221.50M,,55.80M,0.70M,,,,,,109.70M,111.80M,,,,0.70M,,93.70M,35.60M,58.10M,,,58.10M,57.67M,165.70M,53.90M,111.80M,0.2267,0.0,,0.225,0.2267,0.2267,0.0,,0.225,0.2267,257.10M,257.10M,
2001-03,535.40M,535.40M,340.70M,194.70M,,56.50M,1.30M,,,,,,95.80M,98.90M,,,,1.30M,,80.00M,30.40M,49.60M,,,49.60M,48.79M,149.20M,50.30M,98.90M,0.1933,0.0,,0.1902,0.1933,0.1933,0.0,,0.1902,0.1933,257.70M,257.70M,
2000-12,529.10M,529.10M,319.70M,209.40M,,55.90M,7.50M,,,,,,107.20M,102.20M,,,,7.50M,,88.90M,32.40M,56.50M,,,56.50M,51.73M,153.50M,51.30M,102.20M,0.2133,0.0,,0.195,0.2133,0.2133,,,0.1952,0.2133,259.35M,263.36M,
2000-09,539.10M,539.10M,324.90M,214.20M,,49.40M,-5.70M,,,,,,100.00M,114.20M,,,,-5.70M,,89.50M,34.50M,55.00M,,,55.00M,58.50M,164.80M,50.60M,114.20M,0.2067,0.0,,0.22,0.2067,0.2067,0.0,,0.22,0.2067,263.55M,263.55M,
2000-06,533.50M,533.50M,320.50M,213.00M,,47.90M,0.20M,,,,,,97.10M,115.90M,,,,0.20M,,96.20M,37.00M,59.20M,,,59.20M,59.08M,165.10M,49.20M,115.90M,0.2267,0.0,,0.2262,0.2267,0.2267,0.0,,0.2262,0.2267,263.85M,263.85M,
2000-03,501.50M,501.50M,306.10M,195.40M,,47.40M,0.20M,,,,,,93.70M,101.70M,,,,0.20M,,81.60M,31.40M,50.20M,,,50.20M,50.08M,148.00M,46.30M,101.70M,0.1933,0.0,,0.1929,0.1933,0.1933,0.0,,0.1929,0.1933,263.25M,263.25M,
1999-12,498.00M,498.00M,299.60M,198.40M,,47.90M,-3.60M,,,,,,93.30M,105.10M,,,,-3.60M,,82.00M,31.60M,50.40M,,,50.40M,52.61M,150.50M,45.40M,105.10M,0.1864,0.0,,0.1946,0.1864,0.1864,0.0,,0.1946,0.1864,267.62M,267.62M,
1999-09,499.90M,499.90M,305.20M,194.70M,,46.40M,0.30M,,,,,,91.20M,103.50M,,,,0.30M,,85.30M,32.80M,52.50M,,,52.50M,52.32M,148.30M,44.80M,103.50M,0.2001,0.0,,0.1994,0.2001,0.2001,0.0,,0.1994,0.2001,262.37M,262.37M,
1999-06,463.80M,463.80M,278.30M,185.50M,,43.30M,0.40M,,,,,,82.90M,102.60M,,,,0.40M,,88.60M,34.10M,54.50M,,,54.50M,54.25M,142.20M,39.60M,102.60M,0.2068,0.0,,0.2058,0.2068,0.2068,0.0,,0.2058,0.2068,263.58M,263.58M,
1999-03,407.60M,407.60M,248.80M,158.80M,,46.00M,2.50M,,,,,,79.40M,79.40M,,,,2.50M,,70.60M,27.20M,43.40M,,,43.40M,41.86M,112.80M,33.40M,79.40M,0.1668,0.0,,0.1608,0.1668,0.1668,0.0,,0.1608,0.1668,260.27M,260.27M,
1998-12,383.30M,383.30M,236.90M,146.40M,,37.20M,-2.20M,,,,,,67.00M,79.40M,,,,-2.20M,,74.40M,26.80M,47.60M,,,47.60M,49.01M,109.20M,29.80M,79.40M,0.181,,,0.1863,0.181,0.181,,,0.1863,0.181,262.99M,262.99M,
1998-09,355.00M,355.00M,220.10M,134.90M,,32.90M,0.10M,,,,,,59.60M,75.30M,,,,0.10M,,72.20M,26.00M,46.20M,,,46.20M,46.14M,102.10M,26.80M,75.30M,0.1734,0.0,,0.1732,0.1734,0.1734,0.0,,0.1732,0.1734,266.41M,266.41M,
1998-06,335.90M,335.90M,206.80M,129.10M,,33.50M,0.40M,,,,,,58.40M,70.70M,,,,0.40M,,39.20M,14.10M,25.10M,,,25.10M,24.84M,95.60M,24.90M,70.70M,0.1734,0.0,,0.1724,0.1734,0.1734,0.0,,0.1724,0.1734,262.99M,262.99M,
