,NetIncome,Gain/LossonSaleBusiness,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2007-03,75.70M,,,-25.70M,37.90M,5.60M,43.50M,43.50M,-2.70M,,,,14.20M,-11.00M,10.40M,18.30M,-4.30M,30.20M,43.60M,148.60M,,-44.20M,86.90M,42.70M,-82.60M,,-3.80M,-43.70M,,,,63.50M,3.00M,-39.00M,-36.00M,,-30.90M,1.00M,-2.40M,,131.90M,102.50M,0.20M,234.60M,,3.00M,,,-39.00M,,,
2006-12,70.00M,,,-4.20M,38.30M,5.20M,43.50M,43.50M,6.50M,,,,23.40M,97.60M,-18.40M,-30.80M,12.80M,-30.50M,30.70M,169.90M,,-40.50M,-3.10M,-43.60M,-14.80M,,-2.20M,-60.60M,,,,-10.50M,3.40M,-37.50M,-34.10M,,-31.00M,1.40M,-74.20M,,94.10M,35.10M,2.70M,131.90M,,3.40M,,,-37.50M,,,
2006-09,84.00M,,,4.00M,39.70M,4.20M,43.90M,43.90M,-1.30M,,,,12.00M,-35.80M,-11.80M,-7.40M,-3.90M,9.80M,-49.10M,93.50M,,-46.00M,15.90M,-30.10M,-3.70M,,-2.50M,-36.30M,,,,17.30M,2.10M,-45.90M,-43.80M,,-31.10M,-0.70M,-58.30M,,94.80M,-1.10M,0.40M,94.10M,,2.10M,,,-45.90M,,,
2006-06,84.20M,,,-18.80M,39.70M,5.10M,44.80M,44.80M,0.30M,,,,28.20M,-33.10M,-27.40M,6.00M,-0.40M,-16.00M,-70.90M,67.80M,,-45.90M,6.80M,-39.10M,-59.10M,,2.70M,-95.50M,,,,62.10M,2.70M,-45.40M,-42.70M,,-29.50M,0.20M,-9.90M,,130.30M,-37.60M,2.10M,94.80M,,2.70M,,,-45.40M,,,
2006-03,62.10M,,,17.30M,38.90M,4.30M,43.20M,43.20M,-0.20M,,,,,-17.60M,-3.60M,26.90M,-11.40M,31.00M,25.30M,147.70M,,-33.90M,4.30M,-29.60M,-5.60M,,-3.90M,-39.10M,,,,4.10M,2.40M,-21.50M,-19.10M,,-29.50M,0.80M,-43.70M,,64.90M,64.90M,0.50M,130.30M,,2.40M,,,-21.50M,,,
2005-12,45.30M,,,-44.10M,40.60M,3.60M,44.20M,44.20M,-21.40M,,,,94.00M,71.10M,2.80M,-38.90M,4.90M,-14.00M,25.90M,143.90M,,-48.70M,4.80M,-43.90M,-123.90M,,-5.60M,-173.40M,,,,-22.60M,0.60M,-104.40M,-103.80M,,-30.40M,,-156.80M,,251.80M,-186.30M,-0.60M,64.90M,,0.60M,,,-104.40M,,,
2005-09,54.00M,,,45.60M,42.00M,2.30M,44.30M,44.30M,-7.90M,,,,-22.20M,-46.00M,48.60M,-1.60M,6.80M,25.40M,33.20M,147.00M,,-39.80M,1.80M,-38.00M,-6.80M,,-7.70M,-52.50M,,,,150.20M,2.80M,-35.50M,-32.70M,,-30.40M,,87.10M,,71.40M,181.60M,-1.20M,251.80M,,2.80M,,,-35.50M,,,
2005-06,79.20M,,,-3.00M,36.80M,2.40M,39.20M,39.20M,-4.50M,,,,22.20M,-2.20M,-44.30M,2.30M,-12.20M,-10.40M,-66.80M,66.30M,,-43.50M,4.50M,-39.00M,-43.90M,,4.50M,-78.40M,,,,20.70M,1.80M,-51.10M,-49.30M,,-28.80M,,-57.40M,,143.00M,-69.50M,-2.10M,71.40M,,1.80M,,,-51.10M,,,
2005-03,72.80M,,,-0.80M,41.40M,2.00M,43.40M,43.40M,-1.80M,,,,,-40.90M,-57.50M,38.20M,10.40M,27.30M,-22.50M,91.10M,,-32.20M,3.80M,-28.40M,-6.40M,,0.60M,-34.20M,,,,-335.30M,4.30M,-45.40M,-41.10M,,-28.80M,,-405.20M,,491.30M,-348.30M,,143.00M,,4.30M,,,-45.40M,,,
2004-12,65.60M,,,-27.10M,39.10M,2.30M,41.40M,41.40M,3.40M,,,,,50.40M,15.10M,-52.10M,-4.30M,-48.10M,-39.00M,102.50M,,-52.30M,42.00M,-10.30M,-6.60M,,-21.10M,-38.00M,,,,159.70M,5.80M,-20.50M,-14.70M,,-28.80M,,116.20M,,307.00M,180.70M,,491.30M,,5.80M,,,-20.50M,,,
2004-09,80.20M,,,4.00M,41.10M,2.60M,43.70M,43.70M,,,,,,-58.10M,-20.70M,69.50M,-7.70M,-35.30M,-52.30M,75.60M,,-31.90M,-17.10M,-49.00M,-7.20M,,15.00M,-41.20M,,,,-81.30M,7.30M,-34.70M,-27.40M,,-27.00M,,-135.70M,,408.30M,-101.30M,,307.00M,,7.30M,,,-34.70M,,,
2004-06,76.80M,,,-11.00M,43.60M,2.80M,46.40M,46.40M,0.70M,,,,,-24.20M,-34.70M,-48.40M,4.50M,81.10M,-21.70M,91.20M,,-37.10M,17.10M,-20.00M,-5.70M,,-8.00M,-33.70M,,,,-29.40M,6.60M,-28.00M,-21.40M,,-27.10M,,-77.90M,,428.70M,-20.40M,,408.30M,,6.60M,,,-28.00M,,,
2004-03,62.80M,,,-2.70M,40.50M,2.80M,43.30M,43.30M,-0.70M,,,,,-64.60M,-28.40M,48.40M,-3.50M,15.00M,-33.10M,69.60M,,-35.80M,,-35.80M,-26.90M,,5.20M,-57.50M,,,,10.00M,6.40M,-16.70M,-10.30M,,-27.00M,,-27.30M,,443.90M,-15.20M,,428.70M,,6.40M,,,-16.70M,,,
2003-12,59.00M,,,-5.00M,42.80M,2.10M,44.90M,44.90M,,,,,,63.00M,11.00M,,5.50M,-67.30M,12.40M,127.20M,,-40.80M,-48.10M,-88.90M,-57.40M,,50.90M,-95.40M,,,,-30.10M,0.30M,-5.90M,-5.60M,,-26.90M,,-62.60M,,472.60M,-30.80M,,443.90M,,0.30M,,,-5.90M,,,
2003-09,50.80M,,,-10.50M,37.80M,2.00M,39.80M,39.80M,,,,,,-49.60M,63.70M,,2.00M,46.30M,62.40M,142.50M,,-29.10M,36.90M,7.80M,-48.80M,,-39.90M,-80.90M,,,,-24.10M,2.10M,-18.50M,-16.40M,,-25.20M,,-65.70M,,476.70M,-4.10M,,472.60M,,2.10M,,,-18.50M,,,
2003-06,46.70M,,,17.10M,39.80M,2.20M,42.00M,42.00M,,,,,,-6.60M,-2.50M,,-5.30M,-4.00M,-18.40M,87.40M,,-29.80M,11.20M,-18.60M,-14.20M,,-6.90M,-39.70M,,,,117.10M,1.00M,-27.40M,-26.40M,,-25.30M,,65.40M,,363.60M,113.10M,,476.70M,,1.00M,,,-27.40M,,,
2003-03,49.40M,,,-1.00M,38.20M,2.10M,40.30M,40.30M,,,,,,-71.10M,-43.20M,,-1.20M,62.90M,-52.60M,36.10M,,-36.90M,,-36.90M,,,46.80M,9.90M,,,,148.50M,0.40M,-31.00M,-30.60M,,-25.30M,,92.60M,,225.00M,138.60M,,363.60M,,0.40M,,,-31.00M,,,
2002-12,48.90M,,,-7.00M,40.30M,2.30M,42.60M,42.60M,,,,,,100.50M,-18.20M,,0.50M,-60.50M,22.30M,124.50M,,-40.60M,,-40.60M,-1.10M,,5.10M,-36.60M,,,,-7.00M,1.10M,-20.20M,-19.10M,,-25.40M,,-51.50M,,188.60M,36.40M,,225.00M,,1.10M,,,-20.20M,,,
2002-09,57.70M,,,7.00M,42.50M,2.50M,45.00M,45.00M,,,,,,11.10M,8.70M,,4.30M,5.90M,30.00M,139.70M,,-29.00M,,-29.00M,-25.20M,,10.50M,-43.70M,,,,-6.10M,1.20M,-27.40M,-26.20M,,-23.60M,,-55.90M,,148.50M,40.10M,,188.60M,,1.20M,,,-27.40M,,,
2002-06,70.30M,,,10.40M,35.90M,2.80M,38.70M,38.70M,,,,,,-38.30M,-27.20M,,-3.30M,33.50M,-35.30M,84.10M,,-20.10M,,-20.10M,-19.30M,,1.20M,-38.20M,,,,-77.60M,7.10M,-29.30M,-22.20M,,-23.70M,,-123.50M,,226.10M,-77.60M,,148.50M,,7.10M,,,-29.30M,,,
2002-03,56.20M,,,-2.30M,35.70M,2.60M,38.30M,38.30M,,,,,,-73.90M,12.20M,,-5.20M,82.30M,15.40M,107.60M,,-34.30M,,-34.30M,,,6.50M,-27.80M,,,,-4.30M,3.80M,-16.80M,-13.00M,,-23.60M,,-40.90M,,187.20M,38.90M,,226.10M,,3.80M,,,-16.80M,,,
2001-12,35.40M,,,-5.70M,42.10M,10.00M,52.10M,52.10M,,,,,,152.00M,-5.70M,,2.70M,-89.80M,59.20M,121.40M,,-24.60M,,-24.60M,-36.20M,,18.80M,-42.00M,,,,-8.50M,1.00M,-15.50M,-14.50M,,0.00,4.40M,-18.60M,,126.40M,60.80M,,187.20M,,1.00M,,,-15.50M,,,
2001-09,55.30M,,,-2.00M,39.00M,9.20M,48.20M,48.20M,,,,,,-49.90M,42.00M,,4.50M,63.40M,60.00M,161.50M,,-34.30M,,-34.30M,-20.50M,,22.00M,-32.80M,,,,3.90M,1.70M,-16.20M,-14.50M,,-23.70M,-3.50M,-37.80M,,35.50M,90.90M,,126.40M,,1.70M,,,-16.20M,,,
2001-06,50.90M,,,-2.10M,38.60M,11.90M,50.50M,50.50M,,,,,,28.00M,23.20M,,1.30M,13.50M,66.00M,165.30M,,-35.90M,,-35.90M,-2.30M,,1.40M,-36.80M,,,,-73.60M,2.20M,-9.70M,-7.50M,,-23.90M,-0.20M,-105.20M,,12.20M,23.30M,,35.50M,,2.20M,,,-9.70M,,,
2001-03,46.00M,,,-1.90M,37.00M,8.80M,45.80M,45.80M,,,,,,-45.50M,25.20M,,-5.40M,22.10M,-3.60M,86.30M,,-33.20M,,-33.20M,-36.10M,,-0.30M,-69.60M,,,,18.60M,7.00M,-21.80M,-14.80M,,-44.90M,-0.70M,-41.80M,,37.30M,-25.10M,,12.20M,,7.00M,,,-21.80M,,,
2000-12,45.10M,,,-15.20M,,,46.50M,46.50M,,,,,,81.20M,-2.40M,-42.80M,3.70M,,39.70M,129.20M,,-73.40M,,-73.40M,,,0.50M,-72.90M,,,,-21.90M,1.70M,-21.00M,-19.30M,,0.00,-1.60M,-42.80M,,23.80M,13.50M,,37.30M,,1.70M,,,-21.00M,,,
2000-09,68.90M,,,10.40M,,,45.30M,45.30M,,,,,,-27.30M,21.60M,48.00M,-2.10M,-41.50M,-1.30M,123.30M,,-63.70M,,-63.70M,,,0.50M,-63.20M,,,,-21.50M,0.70M,-7.50M,-6.80M,,-21.60M,-4.10M,-54.00M,,17.70M,6.10M,,23.80M,,0.70M,,,-7.50M,,,
2000-06,76.30M,,,4.00M,,,42.60M,42.60M,,,,,,22.20M,-14.20M,,-2.30M,-14.30M,-8.60M,114.30M,,-243.50M,,-243.50M,70.80M,,-4.40M,-177.10M,,,,-1.80M,1.20M,-6.10M,-4.90M,,-19.80M,-4.40M,-30.90M,,111.40M,-93.70M,,17.70M,,1.20M,,,-6.10M,,,
2000-03,73.80M,,,-1.00M,,,38.90M,38.90M,,,,,,-78.80M,-13.70M,,-1.00M,55.80M,-37.70M,74.00M,,-41.40M,,-41.40M,-70.80M,,-11.80M,-124.00M,,,,190.70M,1.10M,-19.30M,-18.20M,,-37.20M,5.50M,140.80M,,20.60M,90.80M,,111.40M,,1.10M,,,-19.30M,,,
1999-12,74.30M,,,-1.60M,,,39.40M,39.40M,,,,,,58.40M,-54.90M,-47.20M,-2.30M,15.70M,-30.30M,75.10M,,-102.80M,,-102.80M,,,3.30M,-99.50M,,,,31.60M,0.90M,-2.90M,-2.00M,,-0.20M,-6.20M,23.20M,,21.80M,-1.20M,,20.60M,,0.90M,,,-2.90M,,,
1999-09,77.70M,,,-8.00M,,,35.70M,35.70M,,,,,,-19.90M,-12.40M,47.20M,-2.20M,-37.30M,-24.60M,80.80M,,-164.30M,,-164.30M,,,-1.80M,-166.10M,,,,123.00M,1.30M,-15.50M,-14.20M,,-17.90M,2.80M,93.70M,,13.40M,8.40M,,21.80M,,1.30M,,,-15.50M,,,
1999-06,72.40M,,,0.70M,,,37.20M,37.20M,,,,,,18.60M,-11.60M,,0.60M,32.40M,40.00M,150.30M,,-117.70M,,-117.70M,,,9.10M,-108.60M,,,,3.30M,1.10M,-36.90M,-35.80M,,-17.70M,-1.40M,-51.60M,,23.30M,-9.90M,,13.40M,,1.10M,,,-36.90M,,,
1999-03,66.10M,,,4.60M,,,37.00M,37.00M,,,,,,-52.10M,4.90M,,-0.80M,4.90M,-43.10M,64.60M,,-64.40M,,-64.40M,,,-2.40M,-66.80M,,,,-0.90M,0.70M,-26.20M,-25.50M,,-33.30M,1.70M,-58.00M,,83.50M,-60.20M,,23.30M,,0.70M,,,-26.20M,,,
1998-12,61.50M,,,-6.00M,,,35.50M,35.50M,,,,,,55.50M,-13.70M,,-3.70M,-15.40M,22.70M,131.00M,,-72.70M,,-72.70M,,,6.60M,-66.10M,,,,-16.60M,,,,,0.00,1.40M,-23.70M,,42.30M,41.20M,,83.50M,,,,,,,,
1998-09,65.20M,,,10.40M,,,31.40M,31.40M,,,,,,-66.00M,20.10M,,-0.60M,24.30M,-22.20M,84.80M,,-50.60M,,-50.60M,,,6.70M,-43.90M,,,,-2.00M,,,,,-16.00M,-2.30M,-20.30M,,21.70M,20.60M,,42.30M,,,,,,,,
1998-06,63.40M,,,0.70M,,,30.90M,30.90M,,,,,,29.90M,7.20M,,0.10M,-23.30M,13.90M,108.90M,,-104.90M,,-104.90M,,,42.70M,-62.20M,,,,-15.60M,,,,,-15.80M,-3.50M,-34.90M,,9.90M,11.80M,,21.70M,,,,,,,,
1998-03,57.90M,,,2.10M,,,30.10M,30.10M,,,,,,-50.90M,-20.20M,,-3.00M,14.20M,-59.90M,30.20M,,-36.50M,,-36.50M,,,-49.30M,-85.80M,,,,87.00M,,,,,-28.10M,-1.10M,57.80M,,7.70M,2.20M,,9.90M,,,,,,,,
1997-12,55.10M,,,3.10M,,,29.10M,29.10M,,,,,,36.70M,-16.60M,,0.40M,-28.00M,-7.50M,78.30M,,-204.30M,,-204.30M,,,152.70M,-51.60M,,,,-23.80M,1.10M,-0.30M,0.80M,,0.60M,-6.10M,-28.50M,,9.50M,-1.80M,,7.70M,,1.10M,,,-0.30M,,,
1997-09,52.80M,,,-1.20M,,,25.20M,25.20M,,,,,,-15.70M,-12.90M,,-3.50M,42.60M,10.50M,87.30M,,-36.20M,,-36.20M,,,-59.90M,-96.10M,,,,21.20M,3.10M,-1.80M,1.30M,,-13.80M,2.40M,11.10M,,7.20M,2.30M,,9.50M,,3.10M,,,-1.80M,,,
1997-06,52.00M,,,1.90M,,,28.00M,28.00M,,,,,,-26.40M,9.00M,,1.10M,2.50M,-13.80M,68.10M,,-25.30M,,-25.30M,,,-10.40M,-35.70M,,,,-14.20M,2.40M,-3.60M,-1.20M,,-11.90M,-1.60M,-28.90M,,3.70M,3.50M,,7.20M,,2.40M,,,-3.60M,,,
1997-03,48.40M,,,2.00M,,,23.30M,23.30M,,,,,,-46.70M,5.50M,,-3.10M,25.20M,-19.10M,54.60M,,-25.20M,,-25.20M,,,-74.20M,-99.40M,,,,66.90M,,,,,-22.90M,0.80M,44.80M,,3.70M,,,3.70M,,,,,,,,
1996-12,44.70M,,,14.10M,,,24.60M,24.60M,,,,,0.00,46.10M,-12.60M,,2.70M,-30.20M,6.00M,76.00M,,-23.40M,,-23.40M,,,-3.10M,-26.50M,,,,-49.30M,0.60M,-0.20M,0.40M,,-0.30M,-1.20M,-50.40M,,4.60M,-0.90M,,3.70M,,0.60M,,,-0.20M,,,
1996-09,44.00M,,,-1.80M,,,23.50M,23.50M,,,,,0.00,4.60M,-4.90M,,-2.00M,24.90M,22.60M,88.30M,,-22.50M,,-22.50M,,,-13.40M,-35.90M,,,,-41.90M,0.60M,0.00,0.60M,,-10.80M,-0.50M,-52.60M,,4.80M,-0.20M,,4.60M,,0.60M,,,0.00,,,
1996-06,27.90M,,,30.40M,,,25.90M,25.90M,,,,,-12.50M,-40.70M,9.20M,,2.20M,-21.20M,-50.50M,21.20M,,-26.70M,,-26.70M,,,-70.40M,-97.10M,,,,92.70M,3.80M,-9.90M,-6.10M,,-9.90M,-1.40M,75.30M,,3.90M,-0.60M,,4.80M,,3.80M,,,-9.90M,,,
1996-03,36.40M,,,0.40M,,,18.20M,18.20M,,,,,,-27.00M,-2.00M,,-2.20M,28.80M,-2.40M,52.60M,,-23.60M,,-23.60M,,,-5.90M,-29.50M,,,,-18.00M,,,,,-9.30M,1.40M,-25.90M,,6.70M,-2.80M,,3.90M,,,,,,,,
1995-12,34.20M,,,0.20M,,,18.80M,18.80M,2.60M,,,,,41.80M,-11.10M,,2.20M,-38.30M,-5.40M,50.40M,,-22.20M,,-22.20M,,,-31.30M,-53.50M,,,,22.40M,,-12.80M,-9.80M,,-8.40M,-1.90M,2.30M,,7.50M,-0.80M,,6.70M,,,,,-12.80M,,,
1995-09,34.80M,,,-0.90M,,,16.10M,16.10M,-2.30M,,,,,-7.70M,10.70M,,-0.50M,36.30M,38.80M,86.50M,,-19.70M,,-19.70M,1.60M,,1.10M,-17.00M,,,,-53.70M,,-5.60M,-5.60M,,-8.50M,1.30M,-66.50M,,4.50M,3.00M,,7.50M,,,,,-5.60M,,,
1995-06,33.00M,,,-0.50M,,,15.80M,15.80M,0.70M,,,,,-1.90M,5.90M,,-0.60M,-20.60M,-17.20M,31.80M,,-25.50M,,-25.50M,0.00,,-0.10M,-25.60M,,,,9.30M,,-6.10M,-6.10M,,-7.50M,-0.50M,-4.80M,,3.10M,1.40M,,4.50M,,,,,-6.10M,,,
1995-03,32.90M,,,1.00M,,,16.40M,16.40M,-1.60M,,,,,-20.80M,-20.30M,,-1.80M,28.70M,-14.20M,34.50M,,-26.50M,,-26.50M,-1.60M,,1.00M,-27.10M,,,,1.30M,,,,,-7.50M,-0.80M,-7.00M,,2.70M,0.40M,,3.10M,,,,,,,,
1994-12,31.00M,,,-4.30M,,,15.90M,15.90M,0.30M,,,,,12.20M,-12.50M,-59.10M,-1.80M,,0.30M,43.20M,,-25.40M,-0.60M,-26.00M,-3.70M,,0.20M,-29.50M,,,,-12.20M,-0.70M,,-0.70M,,-6.60M,1.80M,-17.70M,,6.70M,-4.00M,,2.70M,,-0.70M,,,,,,
1994-09,30.20M,,,3.10M,,,14.70M,14.70M,-3.70M,,,,,-7.20M,0.90M,24.80M,0.70M,,19.20M,63.50M,,-25.50M,1.00M,-24.50M,-41.30M,,-0.50M,-66.30M,,,,6.80M,0.10M,,0.10M,,-6.60M,0.40M,0.70M,,8.80M,-2.10M,,6.70M,,0.10M,,,,,,
1994-06,28.20M,,,1.10M,,,13.40M,13.40M,-3.10M,,,,,-4.80M,-7.80M,6.50M,-0.90M,,-7.00M,32.60M,,-23.70M,0.20M,-23.50M,-33.80M,,0.20M,-57.10M,,,,37.70M,0.40M,,0.40M,,-6.10M,0.50M,32.50M,,0.80M,8.00M,,8.80M,,0.40M,,,,,,
1994-03,26.00M,,,2.10M,,,12.90M,12.90M,-0.10M,,,,,-29.30M,-2.80M,27.80M,-2.90M,,-7.20M,33.70M,,-13.90M,0.40M,-13.50M,,,-0.20M,-13.70M,,,,-12.80M,0.20M,,0.20M,,-6.10M,-0.90M,-19.60M,,0.40M,0.40M,,0.80M,,0.20M,,,,,,
1993-12,23.00M,,,6.00M,,,13.10M,13.10M,6.60M,,,,,28.00M,-16.00M,-15.80M,-0.50M,,-4.30M,44.40M,,-97.70M,1.90M,-95.80M,,,69.50M,-26.30M,,,,-12.30M,0.30M,,0.20M,,-5.60M,-1.10M,-18.80M,,0.00,-0.70M,,0.00,,0.30M,,,,,,
1993-09,24.00M,,,-6.50M,,,12.80M,12.80M,3.80M,,,,0.10M,-15.70M,10.40M,14.20M,-1.20M,,7.70M,41.90M,,-15.30M,0.20M,-15.10M,,,-55.60M,-70.70M,,,,33.10M,1.30M,,1.30M,,-5.50M,-1.50M,27.40M,,0.00,-1.40M,,0.00,,1.30M,,,,,,
1993-06,20.20M,,,1.50M,,,9.90M,9.90M,1.90M,,,,-0.80M,-6.20M,-6.70M,4.20M,1.60M,,-7.10M,25.60M,,-11.80M,0.40M,-11.40M,,-1.10M,-3.30M,-15.80M,,,,-4.50M,-0.40M,,-0.40M,,-5.00M,0.50M,-9.40M,,0.00,0.40M,,0.00,,-0.40M,,,,,,
1993-03,18.70M,,,0.50M,,,9.50M,9.50M,-3.70M,,,,0.70M,-15.30M,5.50M,20.70M,-2.80M,,8.10M,33.80M,,-7.40M,0.30M,-7.10M,,1.10M,-10.60M,-16.60M,,,,-16.00M,0.40M,,0.40M,,-5.00M,0.30M,-20.30M,,4.00M,-3.10M,,0.00,,0.40M,,,,,,
1992-12,16.00M,,,-0.50M,,,,,,,,,-29.30M,,,,,,,21.50M,,-7.20M,3.90M,-3.30M,,,-5.50M,-8.80M,,,,-3.90M,0.90M,,-2.20M,,-4.60M,-0.60M,-11.30M,,0.00,1.40M,,0.00,,0.90M,,,,,,
1992-09,17.80M,,,,,,,,,,,,16.40M,,,,,,,34.20M,,-9.40M,4.50M,-4.90M,,,-1.90M,-6.80M,,,,-26.30M,0.00,,0.00,,-4.60M,0.70M,-30.20M,,0.00,-2.80M,,0.00,,0.00,,,,,,
1992-06,14.80M,,,-10.80M,,,,,,,,,12.80M,,,,,,,16.80M,,-9.00M,0.20M,-8.80M,,,-1.30M,-10.10M,,,,-4.20M,0.20M,,0.20M,,-4.10M,0.10M,-8.00M,,0.00,-1.30M,,0.00,,0.20M,,,,,,
1992-03,13.90M,,,10.80M,,,,,,,,,,,,,,,,24.70M,,-7.60M,1.20M,-6.40M,,,-0.60M,-7.00M,,,,-8.30M,0.40M,,0.40M,,-7.80M,-0.50M,-16.20M,,5.30M,1.50M,,0.00,,0.40M,,,,,,
1991-12,10.10M,,,-43.90M,,,,,,,,,,,,,,,,14.40M,,-3.70M,7.90M,4.20M,,,-12.10M,-7.90M,,,,-6.60M,0.10M,,0.10M,,0.00,-1.80M,-8.30M,,0.00,-1.80M,,0.00,,0.10M,,,,,,
1991-09,12.00M,,,28.00M,,,,,,,,,,,,,,,,40.00M,,-6.70M,-1.00M,-7.70M,,,-2.50M,-10.20M,,,,-21.10M,0.10M,,0.10M,,-3.90M,-0.30M,-25.20M,,0.00,4.60M,,0.00,,0.10M,,,,,,
1991-06,9.80M,,,14.90M,,,,,,,,,,,,,,,,24.70M,,-12.20M,0.10M,-12.10M,,,4.40M,-7.70M,,,,-12.30M,0.10M,,0.10M,,-3.70M,-0.10M,-16.00M,,0.00,1.00M,,0.00,,0.10M,,,,,,
1991-03,7.50M,,,0.90M,,,,,,,,,,,,,,,,8.40M,,-10.80M,2.20M,-8.60M,,,0.10M,-8.50M,,,,5.50M,0.10M,,0.10M,,-7.30M,,-1.70M,,3.30M,-1.80M,,0.00,,0.10M,,,,,,
1990-12,-6.40M,,,15.30M,,,,,,,,,,,,,,,,24.30M,,-9.80M,4.60M,-5.20M,,,-4.40M,-9.60M,,,,-8.00M,0.00,-5.30M,-5.30M,,0.00,-0.50M,-13.80M,,0.00,0.90M,,0.00,,0.00,,,-5.30M,,,
1990-09,10.50M,,,9.10M,,,,,,,,,,,,,,,,19.60M,,-20.40M,-3.80M,-24.20M,,,4.40M,-19.80M,,,,2.40M,0.90M,-0.10M,0.80M,,-3.70M,-0.20M,-0.70M,,0.00,-0.90M,,0.00,,0.90M,,,-0.10M,,,
1990-06,13.00M,,,2.50M,,,,,,,,,,,,,,,,15.50M,,-33.30M,1.90M,-31.40M,,,,-31.40M,,,,18.40M,1.00M,-0.10M,0.90M,,-3.70M,0.00,15.60M,,0.00,-0.30M,,0.00,,1.00M,,,-0.10M,,,
1990-03,12.30M,,,-5.80M,,,,,,,,,,,,,,,,6.50M,,-22.80M,1.90M,-20.90M,,,,-20.90M,,,,23.60M,1.00M,-2.40M,-1.40M,,-6.90M,-0.10M,15.20M,,2.90M,0.80M,,0.00,,1.00M,,,-2.40M,,,
