,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,InvestmentWriteOff,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2003-09,2.779B,2.779B,1.574B,1.205B,,40.00M,29.00M,,,,520.00M,712.00M,493.00M,,,,40.00M,,325.00M,117.00M,208.00M,-1.00M,,-1.00M,207.00M,182.40M,678.00M,185.00M,493.00M,,0.46,0.00,,,0.4035,0.46,,0.455,0.00,,,0.3988,0.455,,452.83M,455.19M,0.27,,,
2003-06,2.401B,2.401B,1.40B,1.001B,,52.00M,28.00M,,,,488.00M,614.00M,387.00M,,,,52.00M,,228.00M,72.00M,156.00M,-5.00M,,,133.00M,120.42M,508.00M,121.00M,387.00M,,0.345,-0.05,,-0.0398,0.2663,0.295,,0.345,-0.05,,-0.0398,0.2665,0.295,,451.82M,453.16M,0.27,,,
2003-03,3.364B,3.364B,2.022B,1.342B,,32.00M,44.00M,,,,520.00M,664.00M,678.00M,,,,32.00M,,505.00M,184.00M,321.00M,-15.00M,370.00M,-18.00M,676.00M,300.66M,800.00M,122.00M,678.00M,,0.72,0.79,0.0000,,0.6749,1.51,,0.715,0.79,0.8196,,0.6699,1.505,,450.68M,451.43M,0.27,,,
2002-12,2.53B,2.53B,1.365B,1.165B,,112.00M,34.00M,,,,539.00M,704.00M,461.00M,,,,112.00M,,380.00M,136.00M,244.00M,-8.00M,-1.00M,,235.00M,172.08M,613.00M,152.00M,461.00M,,0.58,-0.305,0.00,,0.4105,0.565,,0.5416,-0.305,-0.0022,,0.3820,0.5216,,424.40M,450.53M,0.27,,,
2002-09,2.327B,2.327B,1.154B,1.173B,,19.00M,31.00M,,,,448.00M,646.00M,527.00M,,,,19.00M,,331.00M,124.00M,207.00M,-3.00M,,,204.00M,195.12M,721.00M,194.00M,527.00M,,0.50,-0.005,,,0.4713,0.495,,0.50,-0.005,,,0.4713,0.495,,413.56M,413.56M,0.27,,,
2002-06,1.415B,1.415B,449.00M,966.00M,,13.00M,26.00M,,,,963.00M,1.124B,-158.00M,,,,13.00M,,-347.00M,-120.00M,-227.00M,-37.00M,,,-264.00M,-235.50M,19.00M,177.00M,-158.00M,,-0.55,-0.09,,,-0.5706,-0.64,,-0.55,-0.09,,,-0.5705,-0.64,,412.49M,413.85M,0.27,,,
2002-03,1.883B,1.883B,740.00M,1.143B,,-11.00M,38.00M,,,,463.00M,632.00M,511.00M,,,,-11.00M,,295.00M,114.00M,181.00M,-1.00M,-120.00M,-14.00M,60.00M,187.75M,642.00M,131.00M,511.00M,,0.44,-0.005,0.00,,0.4564,0.145,,0.44,-0.005,-0.2908,,0.4564,0.145,,412.68M,412.68M,0.27,,,
2001-12,1.566B,1.566B,620.00M,946.00M,,157.00M,29.00M,,,,499.00M,650.00M,296.00M,,,,157.00M,,264.00M,82.00M,182.00M,5.00M,1.00M,,188.00M,73.77M,444.00M,148.00M,296.00M,,0.44,0.035,0.00,,0.1786,0.455,,0.44,0.0121,0.0024,,0.1786,0.455,,414.01M,414.01M,0.27,,,
2001-09,1.616B,1.616B,564.00M,1.052B,,7.00M,23.00M,,,,450.00M,625.00M,427.00M,,,,7.00M,,224.00M,49.00M,175.00M,-3.00M,,,172.00M,169.53M,597.00M,170.00M,427.00M,,0.42,-0.01,,,0.4069,0.41,,0.42,-0.01,,,0.4069,0.41,,416.99M,416.99M,0.27,,,
2001-06,2.171B,2.171B,1.048B,1.123B,,4.00M,38.00M,,,,560.00M,721.00M,402.00M,,,,4.00M,,224.00M,81.00M,143.00M,,,,143.00M,140.45M,546.00M,144.00M,402.00M,,0.17,0.00,,,0.1669,0.17,,0.17,0.00,,,0.1669,0.17,,834.80M,834.80M,0.27,,,
2001-03,2.819B,2.819B,1.543B,1.276B,,13.00M,48.00M,,,,538.00M,694.00M,582.00M,,,,13.00M,,407.00M,153.00M,254.00M,,9.00M,,261.00M,245.89M,717.00M,135.00M,582.00M,,0.305,0.0075,0.00,-0.0024,0.2952,0.3125,,0.305,0.0075,0.0108,-0.0024,0.2952,0.3125,,831.89M,831.89M,0.27,,,
2000-12,-327.00M,-327.00M,775.00M,-1.102B,,7.00M,1.00M,,,,-1.706B,-1.621B,519.00M,,,,7.00M,,354.00M,132.00M,222.00M,,,,210.00M,217.61M,698.00M,179.00M,519.00M,,0.535,-0.03,,,0.5244,0.505,,0.535,-0.03,,,0.5244,0.505,,414.47M,414.47M,0.27,,,
2000-09,2.207B,2.207B,483.00M,1.724B,,6.00M,46.00M,,,,1.196B,1.332B,392.00M,,,,6.00M,,226.00M,84.00M,142.00M,,,,142.00M,138.23M,484.00M,92.00M,392.00M,,0.33,0.00,,,0.3212,0.33,,0.33,0.00,,,0.3212,0.33,,429.25M,429.25M,0.27,,,
2000-06,2.159B,2.159B,1.164B,995.00M,,6.00M,38.00M,,,,478.00M,602.00M,393.00M,,,,6.00M,,239.00M,97.00M,142.00M,,,,142.00M,138.40M,498.00M,105.00M,393.00M,,0.33,0.00,,,0.3216,0.33,,0.33,0.00,,,0.3216,0.33,,430.79M,430.79M,0.27,,,
2000-03,2.483B,2.483B,1.262B,1.221B,,11.00M,50.00M,,,,478.00M,618.00M,603.00M,,,,11.00M,,453.00M,183.00M,270.00M,,,,270.00M,263.40M,719.00M,116.00M,603.00M,,0.625,0.00,,,0.6098,0.625,,0.625,0.00,,,0.6098,0.625,,432.87M,432.87M,0.27,,,
1999-12,1.621B,1.621B,474.00M,1.147B,,37.00M,53.00M,,,,643.00M,754.00M,393.00M,,,,37.00M,,271.00M,138.00M,133.00M,,,,133.00M,110.80M,543.00M,150.00M,393.00M,,0.305,-0.005,,-0.0124,0.2532,0.30,,0.305,-0.005,,-0.0124,0.2532,0.30,,428.87M,428.87M,0.27,,,
1999-09,1.606B,1.606B,466.00M,1.14B,,26.00M,44.00M,,,,445.00M,637.00M,503.00M,,,,26.00M,,380.00M,159.00M,221.00M,,,,207.00M,205.40M,651.00M,148.00M,503.00M,,0.505,-0.03,,-0.0319,0.4694,0.475,,0.505,-0.03,,-0.0330,0.4694,0.475,,438.45M,438.45M,0.27,,,
1999-06,1.436B,1.436B,415.00M,1.021B,,10.00M,43.00M,,,,377.00M,584.00M,437.00M,,,,10.00M,,302.00M,121.00M,181.00M,,,,-609.00M,175.00M,601.00M,145.00M,437.00M,,0.415,-1.80,,-1.799,0.4013,-1.385,,0.415,-1.80,,-1.799,0.4013,-1.385,,439.14M,439.14M,0.27,,,
1999-03,1.795B,1.795B,674.00M,1.121B,,6.00M,56.00M,,,,419.00M,660.00M,461.00M,,,,6.00M,,331.00M,143.00M,188.00M,,,,188.00M,184.40M,646.00M,185.00M,461.00M,,0.425,0.00,,,0.4169,0.425,,0.425,0.00,,,0.4169,0.425,,445.41M,445.41M,0.27,,,
1998-12,1.55B,1.55B,521.00M,1.029B,,-3.00M,51.00M,,,,509.00M,665.00M,364.00M,,,,-3.00M,,212.00M,61.00M,151.00M,,,,151.00M,153.14M,562.00M,198.00M,364.00M,,0.33,0.00,,,0.3347,0.33,,0.33,0.00,,,0.3347,0.33,,456.39M,456.39M,0.27,,,
1998-09,1.439B,1.439B,415.00M,1.024B,,8.00M,49.00M,,,,300.00M,574.00M,450.00M,,,,8.00M,,322.00M,142.00M,180.00M,,,,180.00M,175.20M,675.00M,188.00M,450.00M,,0.39,0.00,,,0.3796,0.39,,0.39,0.00,,,0.3796,0.39,,463.45M,463.45M,0.27,,,
1998-06,1.362B,1.362B,423.00M,939.00M,,2.00M,44.00M,,,,353.00M,598.00M,341.00M,,,,2.00M,,211.00M,89.00M,122.00M,,,,122.00M,120.80M,551.00M,210.00M,341.00M,,0.265,0.00,,,0.2624,0.265,,0.265,0.00,,,0.2624,0.265,,463.92M,463.92M,0.27,,,
1998-03,1.659B,1.659B,635.00M,1.024B,,7.00M,61.00M,,,,357.00M,575.00M,449.00M,,,,7.00M,,323.00M,132.00M,191.00M,,,,191.00M,186.80M,606.00M,157.00M,449.00M,,0.41,0.00,,,0.4009,0.41,,0.41,0.00,,,0.4009,0.41,,463.92M,463.92M,0.27,,,
1997-12,1.721B,1.721B,645.00M,1.076B,,31.00M,121.00M,,,,479.00M,781.00M,295.00M,,,,31.00M,,192.00M,39.00M,153.00M,,,,153.00M,128.30M,476.00M,181.00M,295.00M,,0.33,0.00,,,0.2768,0.33,,0.33,0.00,,,0.2768,0.33,,463.92M,463.99M,0.27,,,
1997-09,1.448B,1.448B,396.00M,1.052B,,2.00M,152.00M,,,,350.00M,658.00M,394.00M,,,,2.00M,,269.00M,93.00M,176.00M,,,,176.00M,174.69M,564.00M,170.00M,394.00M,,0.38,0.00,,,0.3772,0.38,,0.38,0.00,,,0.3772,0.38,,463.92M,463.92M,0.27,,,
1997-06,1.323B,1.323B,423.00M,900.00M,,2.00M,139.00M,,,,338.00M,632.00M,268.00M,,,,2.00M,,140.00M,49.00M,91.00M,,,,91.00M,89.70M,440.00M,172.00M,268.00M,,0.195,0.00,,,0.1922,0.195,,0.195,0.00,,,0.1922,0.195,,463.92M,463.92M,0.27,,,
1997-03,1.732B,1.732B,670.00M,1.062B,,2.00M,193.00M,,,,343.00M,703.00M,359.00M,,,,2.00M,,243.00M,103.00M,140.00M,,,,140.00M,138.80M,526.00M,167.00M,359.00M,,0.30,0.00,,,0.2974,0.30,,0.30,0.00,,,0.2974,0.30,,464.14M,464.14M,0.27,,,
1996-12,1.571B,1.571B,568.00M,1.003B,,5.00M,154.00M,,,,365.00M,687.00M,316.00M,,,,5.00M,,199.00M,71.00M,128.00M,0.00,,,128.00M,124.78M,484.00M,168.00M,316.00M,,0.255,0.015,,,0.2482,0.27,,0.255,0.015,,,0.2482,0.27,,474.21M,474.21M,0.27,,,
1996-09,1.335B,1.335B,394.00M,941.00M,,-3.00M,155.00M,,,,299.00M,606.00M,335.00M,,,,-3.00M,,210.00M,70.00M,140.00M,16.00M,,,156.00M,142.00M,504.00M,169.00M,335.00M,,0.285,0.035,,,0.2891,0.32,,0.285,0.00,,,0.2891,0.285,,486.23M,486.23M,0.27,,,
1996-06,1.337B,1.337B,403.00M,934.00M,,-1.00M,152.00M,,,,337.00M,641.00M,293.00M,,,,-1.00M,,191.00M,56.00M,135.00M,-1.00M,,,134.00M,135.71M,462.00M,169.00M,293.00M,,0.275,0.00,,,0.2764,0.275,,0.275,0.00,,,0.2764,0.275,,489.40M,489.40M,0.27,,,
1996-03,1.798B,1.798B,673.00M,1.125B,,-1.00M,213.00M,,,,343.00M,717.00M,408.00M,,,,-1.00M,,284.00M,98.00M,186.00M,9.00M,,,195.00M,186.65M,569.00M,161.00M,408.00M,,0.395,0.00,,,0.3963,0.395,,0.395,0.00,,,0.3963,0.395,,489.40M,489.40M,0.27,,,
1995-12,1.556B,1.556B,545.50M,1.010B,,1.80M,170.60M,,,,378.10M,715.60M,294.80M,,,,1.80M,,176.50M,61.40M,115.10M,36.80M,,,151.90M,113.93M,461.70M,,294.80M,,0.245,0.07,,,0.2426,0.315,,0.245,0.07,,,0.2426,0.315,,482.80M,482.80M,0.27,,,
1995-09,1.433B,1.433B,379.90M,1.053B,,3.00M,160.20M,,,,325.50M,633.60M,419.30M,,,,3.00M,,301.00M,112.00M,189.00M,-2.20M,,,186.80M,187.12M,567.20M,,419.30M,,0.385,-0.005,,,0.3812,0.38,,0.385,-0.005,,,0.3812,0.38,,491.58M,491.58M,0.27,,,
1995-06,1.274B,1.274B,376.20M,898.20M,,1.60M,159.60M,,,,262.70M,616.20M,282.00M,,,,1.60M,,167.00M,56.30M,110.70M,,,,110.70M,109.64M,475.90M,,282.00M,,0.225,0.00,,,0.2228,0.225,,0.225,0.00,,,0.2228,0.225,,492.00M,492.00M,0.27,,,
1995-03,1.676B,1.676B,552.30M,1.124B,,2.00M,200.60M,,,,294.80M,682.80M,441.20M,,,,2.00M,,319.40M,106.80M,212.60M,,,,212.60M,211.27M,628.60M,,441.20M,,0.435,0.00,,,0.4323,0.435,,0.435,0.00,,,0.4323,0.435,,488.74M,488.74M,0.27,,,
1994-12,1.471B,1.471B,455.60M,1.016B,,1.70M,146.70M,,,,403.30M,737.60M,277.90M,,,,1.70M,,159.30M,27.50M,131.80M,,,,131.80M,130.39M,465.50M,,277.90M,,0.27,0.00,,,0.2671,0.27,,0.27,0.00,,,0.2671,0.27,,488.24M,488.24M,0.27,,,
1994-09,1.376B,1.376B,314.10M,1.062B,,2.20M,157.20M,,,,310.90M,653.40M,408.70M,,,,2.20M,,284.00M,96.80M,187.20M,,,,187.20M,185.75M,594.00M,,408.70M,,0.38,0.00,,,0.3771,0.38,,0.38,0.00,,,0.3771,0.38,,492.63M,492.63M,0.27,,,
1994-06,1.280B,1.280B,322.20M,957.30M,,1.30M,146.10M,,,,315.60M,636.70M,320.60M,,,,1.30M,,197.70M,67.80M,129.90M,,,,129.90M,129.05M,495.60M,,320.60M,,0.265,0.00,,,0.2633,0.265,,0.265,0.00,,,0.2633,0.265,,490.19M,490.19M,0.27,,,
1994-03,1.794B,1.794B,627.80M,1.167B,,1.20M,215.40M,,,,304.50M,697.20M,469.50M,,,,1.20M,,350.60M,120.50M,230.10M,,,,230.10M,229.31M,646.80M,,469.50M,,0.47,0.00,,,0.4684,0.47,,0.47,0.00,,,0.4684,0.47,,489.57M,489.57M,0.27,,,
1993-12,1.462B,1.462B,,,,,,,,,,,1.462B,,,,,,,,73.50M,,0.00,,73.50M,73.50M,1.462B,,1.462B,,0.055,0.085,0.00,,0.055,0.15,,0.055,0.085,0.0001,,0.055,0.15,,439.78M,439.78M,0.27,,,
1993-09,1.402B,1.402B,,,,,,,,,,,1.402B,,,,,,,,192.20M,,,,192.20M,192.20M,1.402B,,1.402B,,0.395,0.00,,,0.395,0.395,,0.395,0.00,,,0.395,0.395,,461.77M,461.77M,0.27,,,
1993-06,1.246B,1.246B,,,,,,,,,,,1.246B,,,,,,,,119.80M,,,,119.80M,119.80M,1.246B,,1.246B,,0.245,0.00,,,0.245,0.245,,0.245,0.00,,,0.245,0.245,,448.98M,448.98M,0.27,,,
1993-03,1.595B,1.595B,,,,,,,,,,,1.595B,,,,,,,,210.00M,,5.40M,,215.40M,210.00M,1.595B,,1.595B,,0.445,0.01,0.00,,0.445,0.455,,0.445,0.01,0.0119,,0.445,0.455,,454.07M,454.07M,0.27,,,
1992-12,1.402B,1.402B,,,,,,,,,,,1.402B,,,,,,,,92.30M,,,,92.30M,92.30M,1.402B,,1.402B,,0.195,0.00,,,0.195,0.195,,0.195,0.00,,,0.195,0.195,,431.28M,431.28M,0.27,,,
1992-09,1.249B,1.249B,,,,,,,,,,,1.249B,,,,,,,,138.10M,,,,138.10M,138.10M,1.249B,,1.249B,,0.295,0.00,,,0.295,0.295,,0.295,0.00,,,0.295,0.295,,438.98M,438.98M,0.27,,,
1992-06,1.192B,1.192B,,,,,,,,,,,1.192B,,,,,,,,87.40M,,,,87.40M,87.40M,1.192B,,1.192B,,0.19,0.00,,,0.19,0.19,,0.19,0.00,,,0.19,0.19,,421.05M,421.05M,0.27,,,
1992-03,1.514B,1.514B,,,,,,,,,,,1.514B,,,,,,,,186.30M,,,,186.30M,186.30M,1.514B,,1.514B,,0.405,0.00,,,0.405,0.405,,0.405,0.00,,,0.405,0.405,,441.98M,441.98M,0.27,,,
1991-12,1.267B,1.267B,,,,,,,,,,,1.267B,,,,,,,,89.50M,,,,89.50M,89.50M,1.267B,,1.267B,,0.195,0.00,,,0.195,0.195,,0.195,0.00,,,0.195,0.195,,422.93M,422.93M,0.27,,,
1991-09,1.259B,1.259B,,,,,,,,,,,1.259B,,,,,,,,171.80M,,,,171.80M,171.80M,1.259B,,1.259B,,0.38,0.00,,,0.38,0.38,,0.38,0.00,,,0.38,0.38,,432.89M,432.89M,0.265,,,
1991-06,1.151B,1.151B,,,,,,,,,,,1.151B,,,,,,,,122.20M,,,,122.20M,122.20M,1.151B,,1.151B,,0.275,0.00,,,0.275,0.275,,0.275,0.00,,,0.275,0.275,,417.82M,417.82M,0.265,,,
1991-03,1.416B,1.416B,,,,,,,,,,,1.416B,,,,,,,,160.80M,,,,160.80M,160.80M,1.416B,,1.416B,,0.365,0.00,,,0.365,0.365,,0.365,0.00,,,0.365,0.365,,420.55M,420.55M,0.265,,,
1990-12,1.211B,1.211B,,,,,,,,,,,1.211B,,,,,,,,124.60M,,,,124.60M,124.60M,1.211B,,1.211B,,0.275,0.00,,,0.275,0.275,,0.275,0.00,,,0.275,0.275,,426.33M,426.33M,0.265,,,
1990-09,1.19B,1.19B,,,,,,,,,,,1.19B,,,,,,,,189.20M,,,,189.20M,189.20M,1.19B,,1.19B,,0.43,0.00,,,0.43,0.43,,0.43,0.00,,,0.43,0.43,,423.02M,423.02M,0.26,,,
1990-06,1.074B,1.074B,,,,,,,,,,,1.074B,,,,,,,,105.60M,,,,105.60M,105.60M,1.074B,,1.074B,,0.235,0.00,,,0.235,0.235,,0.235,0.00,,,0.235,0.235,,418.30M,418.30M,0.26,,,
1990-03,1.325B,1.325B,,,,,,,,,,,1.325B,,,,,,,,152.00M,,,,152.00M,152.00M,1.325B,,1.325B,,0.345,0.00,,,0.345,0.345,,0.345,0.00,,,0.345,0.345,,419.42M,419.42M,0.26,,,
1989-12,1.306B,1.306B,,,,,,,,,,,1.306B,,,,,,,,99.30M,,,,99.30M,,1.306B,,1.306B,,,,,,,,,,,,,,,,422.20M,422.20M,0.26,,,
1989-09,1.155B,1.155B,,,,,,,,,,,1.155B,,,,,,,,174.70M,,,,174.70M,,1.155B,,1.155B,,0.425,0.00,,,0.425,0.425,,0.425,0.00,,,0.425,0.425,,422.20M,422.20M,0.255,,,
1989-06,1.048B,1.048B,,,,,,,,,,,1.048B,,,,,,,,113.70M,,,,113.70M,,1.048B,,1.048B,,0.275,0.00,,,0.275,0.275,,0.275,0.00,,,0.275,0.275,,410.70M,410.70M,0.255,,,
1989-03,1.296B,1.296B,,,,,,,,,,,1.296B,,,,,,,,154.40M,,,,154.40M,,1.296B,,1.296B,,0.375,0.00,,,0.375,0.375,,0.375,0.00,,,0.375,0.375,,410.70M,410.70M,0.255,,,
1988-12,1.154B,1.154B,,,,,,,,,,,1.154B,,,,,,,,84.40M,,,,84.40M,,1.154B,,1.154B,,,,,,,,,,,,,,,,410.70M,410.70M,0.255,,,
1988-09,1.127B,1.127B,,,,,,,,,,,1.127B,,,,,,,,185.40M,,,,185.40M,,1.127B,,1.127B,,0.45,0.00,,,0.45,0.45,,0.45,0.00,,,0.45,0.45,,410.70M,410.70M,0.25,,,
1988-06,915.10M,915.10M,,,,,,,,,,,915.10M,,,,,,,,107.30M,,,,107.30M,,915.10M,,915.10M,,0.26,0.00,,,0.26,0.26,,0.26,0.00,,,0.26,0.26,,410.70M,410.70M,0.25,,,
1988-03,1.198B,1.198B,,,,,,,,,,,1.198B,,,,,,,,151.50M,,,,151.50M,,1.198B,,1.198B,,0.37,0.00,,,0.37,0.37,,0.37,0.00,,,0.37,0.37,,410.70M,410.70M,0.25,,,
1987-12,1.042B,1.042B,,,,,,,,,,,1.042B,,,,,,,,77.50M,,,,77.50M,,1.042B,,1.042B,,,,,,,,,,,,,,,,410.70M,410.70M,0.25,,,
1987-09,1.005B,1.005B,,,,,,,,,,,1.005B,,,,,,,,159.30M,,,,159.30M,,1.005B,,1.005B,,0.39,0.00,,,0.39,0.39,,0.39,0.00,,,0.39,0.39,,408.48M,408.48M,0.25,,,
1987-06,915.60M,915.60M,,,,,,,,,,,915.60M,,,,,,,,126.20M,,,,126.20M,,915.60M,,915.60M,,0.31,0.00,,,0.31,0.31,,0.31,0.00,,,0.31,0.31,,404.65M,404.65M,0.2499,,,
1987-03,1.234B,1.234B,,,,,,,,,,,1.234B,,,,,,,,157.50M,,,,157.50M,,1.234B,,1.234B,,0.39,0.00,,,0.39,0.39,,0.39,0.00,,,0.39,0.39,,404.44M,404.44M,0.2467,,,
1986-12,2.129B,2.129B,,,,,,,,,,,2.129B,,,,,,,,-15.40M,,,,-15.40M,,2.129B,,2.129B,,,,,,,,,,,,,,,,404.44M,404.44M,0.2467,,,
1986-09,1.056B,1.056B,,,,,,,,,,,1.056B,,,,,,,,166.80M,,,,166.80M,,1.056B,,1.056B,,0.415,0.00,,,0.415,0.415,,0.415,0.00,,,0.415,0.415,,400.74M,400.74M,0.2467,,,
1986-06,1.004B,1.004B,,,,,,,,,,,1.004B,,,,,,,,124.90M,,,,124.90M,,1.004B,,1.004B,,0.31,0.00,,,0.31,0.31,,0.31,0.00,,,0.31,0.31,,400.55M,400.55M,0.2467,,,
1986-03,1.310B,1.310B,,,,,,,,,,,1.310B,,,,,,,,168.40M,,,,168.40M,,1.310B,,1.310B,,0.39,0.00,,,0.39,0.39,,0.39,0.00,,,0.39,0.39,,395.03M,395.03M,,,,
1985-12,1.131B,1.131B,,,,,,,,,,,1.131B,,,,,,,,120.50M,,,,120.50M,,1.131B,,1.131B,,,,,,,,,,,,,,,,398.93M,398.93M,,,,
1985-09,1.058B,1.058B,,,,,,,,,,,1.058B,,,,,,,,145.60M,,,,145.60M,,1.058B,,1.058B,,0.355,0.00,,,0.355,0.355,,0.355,0.00,,,0.355,0.355,,366.44M,366.44M,,,,
1985-06,939.20M,939.20M,,,,,,,,,,,939.20M,,,,,,,,127.00M,,,,127.00M,,939.20M,,939.20M,,0.31,0.00,,,0.31,0.31,,0.31,0.00,,,0.31,0.31,,362.63M,362.63M,,,,
1985-03,1.281B,1.281B,,,,,,,,,,,1.281B,,,,,,,,151.50M,,,,151.50M,,1.281B,,1.281B,,0.385,0.00,,,0.385,0.385,,0.385,0.00,,,0.385,0.385,,358.51M,358.51M,,,,
1984-12,1.018B,1.018B,,,,,,,,,,,1.018B,,,,,,,,97.00M,,,,97.00M,,1.018B,,1.018B,,,,,,,,,,,,,,,,337.52M,337.52M,,,,
1984-09,1.01B,1.01B,,,,,,,,,,,1.01B,,,,,,,,151.60M,,,,151.60M,,1.01B,,1.01B,,0.415,0.00,,,0.415,0.415,,0.415,0.00,,,0.415,0.415,,329.81M,329.81M,,,,
1984-06,969.50M,969.50M,,,,,,,,,,,969.50M,,,,,,,,121.50M,,,,121.50M,,969.50M,,969.50M,,0.325,0.00,,,0.325,0.325,,0.325,0.00,,,0.325,0.325,,325.18M,325.18M,,,,
1984-03,1.198B,1.198B,,,,,,,,,,,1.198B,,,,,,,,119.90M,,,,119.90M,,1.198B,,1.198B,,0.33,0.00,,,0.33,0.33,,0.33,0.00,,,0.33,0.33,,325.18M,325.18M,,,,
