,NetIncome,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2004-12,158.94M,,,-10.48M,2.382M,2.382M,,,,,-2.133M,2.628M,117.77M,-0.565M,-52.76M,11.92M,,78.99M,228.94M,,-3.214M,0.137M,-3.077M,,,0.025M,-3.052M,,,,-92.77M,5.243M,-31.89M,-26.64M,,,-119.42M,,260.89M,106.48M,367.36M,,5.243M,,,-31.89M,,,,,
2004-09,147.68M,,,-12.93M,2.237M,2.237M,,,,,1.151M,6.16M,-55.60M,64.66M,-29.23M,12.39M,,-1.619M,136.52M,,-2.788M,0.178M,-2.61M,,,,-2.61M,,,,10.68M,3.306M,-29.86M,-26.55M,,,-15.87M,,142.85M,118.04M,260.89M,,3.306M,,,-29.86M,,,,,
2004-06,115.97M,,,2.984M,2.163M,2.163M,,,,,-1.443M,-2.708M,-91.33M,45.60M,-19.79M,9.863M,,-58.36M,61.31M,,-1.842M,0.468M,-1.374M,,,-0.33M,-1.704M,,,,1.499M,2.367M,-131.92M,-129.55M,,,-128.05M,,211.30M,-68.45M,142.85M,,2.367M,,,-131.92M,,,,,
2004-03,100.62M,,,-19.58M,2.076M,2.076M,,,,,-0.436M,-8.604M,-35.60M,59.99M,-16.90M,-31.87M,,-32.99M,49.69M,,-1.917M,,-1.917M,,,0.33M,-1.587M,,,,36.53M,8.38M,-113.94M,-105.56M,,,-69.02M,,232.22M,-20.92M,211.30M,,8.38M,,,-113.94M,,,,,
2003-12,127.49M,,,38.15M,2.069M,2.069M,,,,,-12.55M,4.158M,69.74M,46.58M,-12.92M,10.12M,11.93M,129.60M,281.33M,,-4.239M,,-3.629M,,,-4.723M,-8.352M,,,,-44.44M,0.519M,-238.07M,-237.55M,,17.94M,-264.05M,,223.29M,8.93M,232.22M,,0.519M,,,-238.07M,,,,,
2003-09,109.40M,,,20.21M,1.878M,1.878M,,,,,,-1.311M,-57.23M,42.25M,-36.24M,13.30M,-3.563M,-42.79M,88.70M,,-1.817M,,-1.817M,,,2.347M,0.53M,,,,-136.68M,1.759M,-106.87M,-105.11M,,-17.94M,-259.73M,,393.79M,-170.50M,223.29M,,1.759M,,,-106.87M,,,,,
2003-06,95.09M,,,15.26M,2.312M,2.312M,,,,,5.42M,-5.654M,-86.78M,93.35M,-6.878M,12.86M,-8.365M,-1.464M,116.62M,,-1.82M,,-1.82M,,,5.395M,3.575M,,,,176.67M,3.433M,-2.182M,1.251M,,,177.92M,,95.66M,298.12M,393.79M,,3.433M,,,-2.182M,,,,,
2003-03,87.81M,,,-2.015M,2.168M,2.168M,,,,,-5.42M,0.609M,-12.84M,37.73M,2.10M,-35.68M,,-8.077M,74.46M,,-1.58M,,-1.58M,,,8.831M,7.251M,,,,-1.457M,3.772M,-131.21M,-127.44M,,,-128.89M,,142.84M,-47.18M,95.66M,,3.772M,,,-131.21M,,,,,
2002-12,78.95M,,,6.776M,2.165M,2.165M,,,,,-9.235M,2.133M,-0.152M,75.93M,-16.36M,1.10M,3.408M,66.06M,123.04M,,-3.522M,,-3.522M,,0.794M,2.409M,-0.319M,,,,-14.57M,0.578M,-48.58M,-48.00M,,,-62.57M,,82.69M,60.16M,142.84M,,0.578M,,,-48.58M,,,,,
2002-09,91.98M,,,-33.22M,1.879M,1.879M,,,,,,-4.927M,30.58M,30.08M,-17.97M,21.47M,5.835M,65.07M,125.71M,,-6.968M,,-6.968M,,-3.02M,5.038M,-4.95M,,,,28.93M,0.126M,-163.68M,-163.55M,,,-134.63M,,96.56M,-13.87M,82.69M,,0.126M,,,-163.68M,,,,,
2002-06,83.83M,,,-11.34M,1.836M,1.836M,,,,,5.496M,-1.716M,-37.79M,33.64M,-31.35M,20.23M,-9.243M,-26.24M,53.59M,,-0.787M,,-0.787M,,3.02M,-1.108M,1.125M,,,,8.413M,2.716M,-46.80M,-44.08M,,,-35.67M,,77.51M,19.04M,96.56M,,2.716M,,,-46.80M,,,,,
2002-03,76.71M,,,0.326M,1.777M,1.777M,,,,,-5.496M,-0.645M,-26.93M,60.26M,-9.895M,-17.23M,,5.553M,78.87M,,-0.985M,,-0.985M,,,1.166M,0.181M,,,,-4.707M,5.364M,-140.81M,-135.44M,,,-140.15M,,138.61M,-61.10M,77.51M,,5.364M,,,-140.81M,,,,,
2001-12,67.02M,,,1.07M,4.328M,4.328M,,,,,-1.737M,6.309M,19.72M,-31.36M,-13.55M,17.51M,,-1.373M,63.03M,,-2.065M,,-1.535M,,4.102M,5.599M,8.166M,,,,-23.35M,0.807M,-28.21M,-27.41M,,4.232M,-46.53M,,113.94M,24.67M,138.61M,,0.807M,,,-28.21M,,,,,
2001-09,62.49M,,,-12.60M,3.572M,3.572M,,,,,7.831M,1.355M,-26.95M,57.07M,-17.00M,-7.519M,,6.955M,68.25M,,-2.605M,,-2.605M,,-5.752M,12.27M,3.912M,,,,22.80M,0.121M,-66.21M,-66.09M,,-4.232M,-47.52M,,89.30M,24.64M,113.94M,,0.121M,,,-66.21M,,,,,
2001-06,59.36M,,,-25.25M,4.022M,4.022M,,,,,0.139M,-2.808M,-21.43M,25.78M,-13.39M,,,-11.85M,26.42M,,-1.391M,,-1.391M,,5.565M,-4.403M,-0.229M,,,,3.897M,5.285M,-51.36M,-46.08M,,-3.996M,-46.18M,,109.28M,-19.98M,89.30M,,5.285M,,,-51.36M,,,,,
2001-03,47.92M,,,-2.602M,3.24M,3.24M,,,,,-7.97M,-3.272M,-39.04M,14.84M,-15.59M,,,-43.05M,-2.464M,,-0.633M,,-0.633M,,0.187M,4.473M,4.027M,,,,52.35M,,-86.34M,-86.34M,,3.996M,-29.99M,,137.71M,-28.43M,109.28M,,,,,-86.34M,,,,,
2000-12,46.55M,,,-30.61M,3.574M,3.574M,,,,,-2.026M,3.448M,25.34M,21.65M,-5.904M,3.371M,,47.90M,58.41M,,-1.841M,,-1.841M,,0.322M,4.576M,3.057M,,,,-42.28M,,-0.803M,-0.803M,,0.92M,-42.16M,,118.40M,19.31M,137.71M,,,,,-0.803M,,,,,
2000-09,43.91M,,,4.008M,3.349M,3.349M,,,,,3.687M,4.51M,6.363M,19.04M,-11.90M,-3.371M,,14.64M,69.59M,,-1.049M,,-1.049M,,-7.88M,12.01M,3.083M,,,,-36.70M,,-8.144M,-8.144M,,0.07M,-44.78M,,90.50M,27.90M,118.40M,,,,,-8.144M,,,,,
2000-06,37.20M,,,1.85M,3.478M,3.478M,,,,,-3.687M,-3.532M,-36.09M,10.66M,-15.53M,9.174M,,-35.32M,3.528M,,-1.289M,,-1.289M,,8.227M,-5.997M,0.941M,,,,-3.911M,,-33.24M,-33.24M,,1.263M,-35.89M,,121.92M,-31.42M,90.50M,,,,,-33.24M,,,,,
2000-03,30.57M,,,31.08M,3.439M,3.439M,,,,,,-7.064M,-6.84M,20.15M,,-9.174M,,-2.925M,62.17M,,-0.848M,,-0.848M,,0.157M,5.743M,5.052M,,,,-22.14M,,-13.10M,-13.10M,,0.807M,-34.43M,,89.13M,32.79M,121.92M,,,,,-13.10M,,,,,
1999-12,24.30M,,,60.40M,4.20M,4.20M,,,,,5.20M,7.20M,5.40M,3.50M,17.90M,-20.00M,,14.00M,96.20M,,1.00M,,1.00M,,-0.40M,1.60M,2.20M,,,,-67.00M,,-14.30M,-14.30M,,0.10M,-81.20M,,72.10M,17.20M,89.10M,,,,,-14.30M,,,,,
1999-09,30.33M,,,11.14M,3.747M,3.747M,,,,,-11.47M,-2.109M,-14.04M,-1.445M,-11.27M,20.00M,,-8.858M,24.89M,,-6.38M,,-6.38M,3.697M,-17.89M,27.65M,7.078M,,,,-7.53M,,-46.88M,-46.88M,,0.17M,-54.24M,,94.28M,-22.28M,72.10M,,,,,-46.88M,,,,,
1999-06,28.27M,,,8.461M,3.553M,3.553M,,,,,11.27M,1.509M,-28.76M,35.04M,-6.633M,-4.90M,,-3.742M,47.81M,,1.08M,,1.08M,-3.697M,19.29M,-11.25M,5.422M,,,,-33.27M,,-29.62M,-29.62M,,0.33M,-62.56M,,103.50M,-9.321M,94.28M,,,,,-29.62M,,,,,
1999-03,26.00M,,,-1.60M,3.20M,3.20M,,,,,0.10M,-9.10M,2.60M,20.40M,,4.90M,,18.80M,46.50M,,-4.80M,,-4.80M,,0.80M,15.40M,11.40M,,,,-12.80M,,-11.00M,-11.00M,,1.00M,-22.80M,,68.50M,35.10M,103.50M,,,,,-11.00M,,,,,
1998-12,15.00M,,,-15.50M,3.30M,3.30M,,,,,-2.80M,5.90M,-24.60M,17.10M,,1.00M,,-0.60M,-11.50M,,-2.30M,,-2.30M,,0.60M,13.70M,12.00M,,,,-21.50M,,-21.00M,-21.00M,,0.70M,-41.80M,,0.00,-41.30M,0.00,,,,,-21.00M,,,,,
1998-09,24.70M,,,-5.00M,3.30M,3.30M,,,,,9.60M,-0.80M,10.70M,16.60M,,3.30M,,29.80M,62.40M,,-0.50M,,-0.50M,,2.00M,16.00M,17.50M,,,,-19.50M,,-21.70M,-21.70M,,-1.70M,-42.90M,,0.00,37.00M,0.00,,,,,-21.70M,,,,,
1998-06,15.50M,,,-9.90M,3.30M,3.30M,,,,,-4.80M,-1.30M,-28.90M,25.60M,,-3.30M,,-7.90M,-3.80M,,-0.30M,,-0.30M,,10.40M,-3.20M,6.90M,,,,37.50M,,-7.50M,-7.50M,,0.30M,30.30M,,0.00,33.40M,0.00,,,,,-7.50M,,,,,
1998-03,10.90M,,,-57.80M,3.50M,3.50M,,,,,-1.90M,-1.20M,-21.80M,9.50M,,,,-13.50M,-58.80M,,-0.90M,,-0.90M,,1.60M,2.50M,3.20M,,,,49.20M,,,,,,49.20M,,45.70M,-6.40M,0.00,,,,,,,,,,
1997-12,5.10M,,,-21.40M,3.50M,3.50M,,,,,1.50M,5.40M,-1.90M,4.30M,,6.40M,,14.20M,2.30M,,-1.00M,,-1.00M,,-10.70M,2.70M,-9.00M,,,,5.20M,,-10.00M,-10.00M,,0.20M,-4.60M,,0.00,-11.30M,0.00,,,,,-10.00M,,,,,
1997-09,9.00M,,,4.90M,3.20M,3.20M,,,,,-1.30M,0.20M,-6.40M,12.70M,,1.20M,,7.70M,23.50M,,-1.00M,,-1.00M,,4.80M,-0.30M,3.50M,,,,-9.70M,,-6.10M,-6.10M,,0.20M,-15.60M,,0.00,11.40M,0.00,,,,,-6.10M,,,,,
1997-06,9.00M,,,-18.30M,3.30M,3.30M,,,,,-0.10M,-2.20M,-24.10M,8.20M,,-1.20M,,-19.30M,-25.40M,,-0.40M,-10.00M,-10.40M,,25.20M,1.30M,16.10M,,,,3.60M,,-5.90M,-5.90M,,0.00,-2.30M,,0.00,-11.60M,0.00,,,,,-5.90M,,,,,
1997-03,5.80M,,,-18.20M,3.30M,3.30M,,,,,,-2.70M,1.00M,-4.60M,,,,-6.30M,-15.40M,,-0.70M,10.00M,9.30M,,,-0.70M,8.60M,,,,12.40M,,-23.50M,-23.50M,,0.40M,-10.70M,,74.80M,-17.50M,0.00,,,,,-23.50M,,,,,
1996-12,5.00M,,,11.70M,6.20M,6.20M,,,,,-0.10M,4.80M,-8.10M,-8.30M,,2.00M,,-9.60M,12.90M,,-1.40M,,-1.40M,,25.90M,2.30M,26.80M,,,,-36.20M,,-11.90M,-11.90M,,9.60M,-38.50M,,0.00,1.20M,0.00,,,,,-11.90M,,,,,
1996-09,8.30M,,,0.20M,1.80M,1.80M,,,,,14.30M,2.30M,21.70M,4.80M,,-2.80M,,26.00M,50.60M,,-0.90M,,-0.90M,,29.60M,-6.10M,22.60M,,,,-35.20M,,-14.60M,-14.60M,,3.10M,-46.70M,,0.00,26.50M,0.00,,,,,-14.60M,,,,,
1996-06,8.80M,,,-13.30M,3.70M,3.70M,,,,,-10.90M,-2.50M,-11.30M,8.10M,,0.60M,,-5.10M,-16.80M,,-1.10M,,-1.10M,,18.40M,10.70M,28.00M,,,,-0.70M,,-8.60M,-8.60M,,0.10M,-9.20M,,0.00,2.00M,0.00,,,,,-8.60M,,,,,
1996-03,3.70M,,,13.70M,3.70M,3.70M,,,,,-3.30M,0.50M,-19.30M,-5.20M,,-1.70M,,-25.70M,-7.90M,,-0.90M,,-0.90M,,11.00M,-2.60M,7.50M,,,,-10.10M,,,,,0.10M,-10.00M,,55.60M,-10.40M,0.00,,,,,,,,,,
1995-12,4.80M,,,-6.50M,3.90M,3.90M,,,,,7.10M,-0.60M,18.60M,4.40M,,,,22.40M,28.10M,,-0.80M,,-0.80M,,-2.50M,17.20M,13.90M,,,,-30.20M,,-1.70M,-1.70M,,-0.10M,-32.00M,,0.00,10.00M,0.00,,,,,-1.70M,,,,,
1995-09,5.90M,,,0.30M,3.90M,3.90M,,,,,-19.80M,-3.30M,-6.60M,17.40M,,,,7.50M,-2.20M,,-0.80M,,-0.80M,,7.10M,-0.50M,5.80M,,,,5.30M,,-0.10M,-0.10M,,0.40M,5.60M,,0.00,9.20M,0.00,,,,,-0.10M,,,,,
1995-06,5.40M,,,0.00,3.70M,3.70M,,,,,-47.60M,-0.90M,-27.60M,5.90M,,2.10M,,-20.50M,-59.00M,,-1.30M,,-1.30M,,9.20M,-10.50M,-2.60M,,,,57.80M,,0.10M,0.10M,,-0.20M,57.70M,,0.00,-3.90M,0.00,,,,,0.10M,,,,,
1995-03,0.30M,,,0.70M,3.30M,3.30M,,,,,6.80M,2.60M,-29.60M,-7.00M,,-2.10M,,-36.10M,-25.00M,,-0.70M,,-0.70M,,9.20M,0.40M,8.90M,,,,-14.30M,,-0.90M,-0.90M,,,-15.20M,,71.50M,-31.30M,0.00,,,,,-0.90M,,,,,
1994-12,2.10M,,,7.00M,3.50M,3.50M,,,,,-5.10M,-1.50M,30.40M,-6.90M,,,,22.00M,34.40M,,-0.50M,,-0.50M,,11.80M,2.60M,13.90M,,,,-8.30M,,-17.10M,-17.10M,,-1.80M,-27.20M,,0.00,21.10M,0.00,,,,,-17.10M,,,,,
1994-09,3.40M,,,33.60M,3.40M,3.40M,,,,,3.40M,0.70M,-1.20M,2.50M,,,,2.00M,45.80M,,-0.20M,,-0.20M,,6.70M,15.80M,22.30M,,,,-75.80M,,5.10M,5.10M,,-0.10M,-70.80M,,0.00,-2.70M,0.00,,,,,5.10M,,,,,
1994-06,4.00M,,,4.90M,3.40M,3.40M,,,,,-1.80M,-1.60M,-12.40M,-1.30M,,,,-15.30M,-4.80M,,-1.00M,,-1.00M,,6.60M,4.50M,10.10M,,,,-41.40M,,-5.10M,-5.10M,,0.10M,-46.40M,,0.00,-41.10M,0.00,,,,,-5.10M,,,,,
1994-03,0.10M,,,25.40M,3.50M,3.50M,,,,,-3.70M,0.80M,-9.90M,2.70M,,,,-6.40M,18.90M,,-0.90M,,-0.90M,,23.80M,41.50M,64.40M,,,,-50.30M,,,,,,-50.30M,,61.10M,33.00M,0.00,,,,,,,,,,
