,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,RestrictedCash,OtherCurrentAssets,TotalCurrentAssets,Properties,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,ShareholdersEquity,,AsOriginallyReported,Restated
2005-03,253.70M,,253.70M,17.12M,,17.12M,,,,,692.38M,,,963.20M,,,,,,54.16M,-27.93M,26.23M,48.93M,11.05M,59.98M,,,,795.12M,881.33M,1.845B,,209.82M,209.82M,188.58M,398.40M,98.38M,,98.38M,98.38M,357.80M,854.57M,203.98M,,203.98M,,,,203.98M,1.059B,,0.206M,2.029B,458.25M,1.701B,785.97M,,,
2004-12,367.36M,,367.36M,14.02M,,14.02M,,,,,588.54M,,,969.92M,0.00,10.76M,43.50M,,,54.25M,-27.93M,26.33M,48.93M,6.379M,55.31M,,,,726.41M,808.04M,1.778B,,226.95M,226.95M,177.04M,403.99M,9.726M,,9.726M,9.726M,325.18M,738.90M,204.08M,,204.08M,,,,204.08M,942.97M,,0.206M,1.911B,406.70M,1.483B,835.00M,,,
2004-09,260.89M,,260.89M,16.00M,,16.00M,,,,,706.31M,,,983.20M,,,,,,49.02M,-23.55M,25.48M,48.93M,6.379M,55.31M,,,,642.46M,723.25M,1.706B,,238.60M,238.60M,199.36M,437.95M,102.37M,,102.37M,102.37M,101.80M,642.12M,204.20M,,204.20M,,,212.14M,416.34M,1.058B,,0.206M,1.752B,375.21M,1.480B,647.98M,,,
2004-06,142.85M,,142.85M,22.80M,,22.80M,,,,,650.71M,,,816.35M,,,,,,48.45M,-23.55M,24.91M,48.93M,6.379M,55.31M,,,,598.92M,679.13M,1.495B,,207.81M,207.81M,179.25M,387.05M,91.57M,,91.57M,91.57M,87.31M,565.94M,204.32M,,204.32M,,,213.80M,418.12M,984.05M,,0.206M,1.604B,364.12M,1.457B,511.43M,,,
2004-03,211.30M,,211.30M,19.86M,,19.86M,,,,,620.01M,,,851.16M,,,,,,48.76M,-23.55M,25.21M,48.93M,6.379M,55.31M,,,,517.96M,598.47M,1.450B,,190.52M,190.52M,192.31M,382.84M,89.96M,,89.96M,89.96M,,472.80M,204.43M,,204.43M,,,255.03M,459.46M,932.26M,,0.206M,1.488B,357.56M,1.329B,517.38M,,,
2003-12,232.22M,,232.22M,9.55M,,9.55M,,,,,536.58M,,,778.35M,0.00,26.78M,14.54M,7.631M,,48.95M,-23.55M,25.41M,48.93M,6.379M,55.31M,,,73.98M,430.06M,584.76M,1.363B,,198.08M,198.08M,175.26M,373.34M,53.34M,,53.34M,53.34M,237.04M,663.72M,200.00M,,200.00M,,,4.519M,204.52M,868.24M,,0.206M,1.388B,335.35M,1.229B,494.87M,,,
2003-09,223.29M,,223.29M,15.44M,,15.44M,,,,,608.98M,,,847.71M,,,,,,45.04M,-22.02M,23.02M,41.58M,6.379M,47.96M,,,,527.78M,598.77M,1.446B,,190.85M,190.85M,138.23M,329.08M,97.67M,,97.67M,97.67M,,426.75M,274.97M,,274.97M,,,179.69M,454.66M,881.40M,,0.206M,1.260B,329.04M,1.025B,565.07M,,,
2003-06,393.79M,,393.79M,14.37M,,14.37M,,,,,544.09M,,,952.25M,,,,,,45.01M,-22.02M,22.99M,48.93M,6.379M,55.31M,,,,499.30M,577.60M,1.530B,,184.74M,184.74M,129.68M,314.43M,114.65M,,114.65M,114.65M,,429.08M,319.72M,,319.72M,,,224.96M,544.69M,973.77M,,0.206M,1.151B,314.08M,909.17M,556.08M,,,
2003-03,95.66M,,95.66M,10.14M,,10.14M,,,,,449.51M,,,555.32M,,,,,,44.99M,-22.02M,22.97M,48.93M,6.379M,55.31M,,,,509.66M,587.93M,1.143B,,150.85M,150.85M,130.10M,280.95M,137.88M,,137.88M,137.88M,,418.83M,119.82M,,119.82M,,,176.71M,296.52M,715.36M,,0.206M,1.056B,292.20M,920.39M,427.90M,,,
2002-12,142.84M,,142.84M,10.81M,,10.81M,,,,,436.67M,,,590.33M,0.00,9.983M,35.10M,,,45.09M,-22.02M,23.07M,48.93M,6.379M,55.31M,,,74.64M,438.95M,591.96M,1.182B,,161.69M,161.69M,142.22M,303.91M,139.26M,,139.26M,139.26M,215.98M,659.14M,115.00M,,115.00M,,,4.903M,119.90M,779.04M,,0.206M,968.07M,262.87M,827.90M,403.24M,,,
2002-09,82.69M,,82.69M,13.07M,,13.07M,,,,,436.52M,,,532.28M,,,,,,43.42M,-22.36M,21.06M,48.93M,6.379M,55.31M,,,,478.81M,555.18M,1.087B,,159.69M,159.69M,88.80M,248.48M,153.73M,,153.73M,153.73M,208.51M,610.72M,115.00M,,115.00M,,,5.001M,120.00M,730.72M,,0.206M,889.13M,260.76M,793.36M,356.74M,,,
2002-06,96.56M,,96.56M,8.059M,,8.059M,,,,,467.10M,,,571.72M,,,,,,37.72M,-22.36M,15.35M,48.93M,6.379M,55.31M,,,,435.81M,506.47M,1.078B,,163.03M,163.03M,93.57M,256.60M,124.71M,,124.71M,124.71M,189.09M,570.40M,115.00M,,115.00M,,,5.094M,120.09M,690.50M,,0.206M,797.15M,237.93M,647.60M,387.68M,,,
2002-03,73.62M,,73.62M,6.387M,,6.387M,,,,,429.31M,,,509.32M,,,,,,38.17M,-22.36M,15.81M,48.93M,6.379M,55.31M,,,,396.17M,467.28M,976.60M,,141.47M,141.47M,132.24M,273.71M,116.21M,,116.21M,116.21M,153.71M,543.63M,120.18M,,120.18M,,,,120.18M,663.81M,,0.206M,713.32M,210.56M,611.29M,312.79M,,,
2001-12,138.61M,,138.61M,5.745M,,5.745M,,,,,402.38M,,,546.73M,,,21.05M,17.49M,,38.54M,-22.36M,16.18M,48.93M,6.379M,55.31M,,,51.28M,325.55M,448.32M,995.05M,,138.01M,138.01M,114.78M,252.79M,118.71M,,118.71M,118.71M,154.16M,525.67M,115.00M,,115.00M,,,5.259M,120.26M,645.93M,,0.206M,636.60M,193.76M,481.45M,349.12M,,,
2001-09,113.94M,,113.94M,12.16M,,12.16M,,,,,422.10M,,,548.20M,,,,,,38.22M,-21.35M,16.87M,,6.652M,6.652M,,,,413.87M,437.40M,985.59M,,144.01M,144.01M,206.06M,350.06M,132.35M,,132.35M,132.35M,84.80M,567.21M,120.35M,,120.35M,,,,120.35M,687.56M,,0.206M,569.58M,191.51M,463.27M,298.03M,,,
2001-06,89.30M,,89.30M,13.31M,,13.31M,,,,,395.14M,,,497.76M,,,,,,36.78M,-21.35M,15.43M,,6.926M,6.926M,,,,393.27M,415.63M,913.39M,,136.45M,136.45M,156.99M,293.44M,110.45M,,110.45M,110.45M,85.56M,489.44M,119.98M,,119.98M,,,,119.98M,609.43M,,0.206M,507.09M,190.60M,393.94M,303.96M,,,
2001-03,109.28M,,109.28M,10.23M,,10.23M,,,,,373.72M,,,493.22M,,,,,,36.60M,-21.35M,15.25M,,61.56M,61.56M,,,,304.06M,380.87M,874.09M,,122.24M,122.24M,,122.24M,,,106.20M,106.20M,235.70M,464.15M,119.99M,,119.99M,,,,119.99M,584.14M,,0.206M,447.73M,187.08M,345.07M,289.95M,,,
2000-12,137.71M,,137.71M,6.67M,,6.67M,,,,,334.68M,,,479.06M,,,,,,37.21M,-21.35M,15.86M,,7.472M,7.472M,,,,338.86M,362.20M,841.26M,,117.82M,117.82M,,117.82M,,,53.49M,53.49M,237.27M,408.58M,120.17M,,120.17M,,,65.03M,185.20M,593.78M,,0.206M,399.81M,115.14M,267.67M,247.48M,,,
2000-09,107.71M,,107.71M,9.362M,,9.362M,,,,,360.02M,,,477.09M,,,,,,,,15.40M,,7.746M,7.746M,,,,313.74M,336.88M,813.97M,,117.60M,117.60M,,117.60M,,,93.18M,93.18M,215.78M,426.56M,121.93M,,121.93M,,,,121.93M,548.49M,,0.206M,353.26M,184.54M,272.53M,265.48M,,,
2000-06,90.50M,,90.50M,13.44M,,13.44M,,,,,366.38M,,,470.32M,,,,,,31.78M,-16.00M,15.78M,,8.019M,8.019M,,,,301.82M,325.62M,795.93M,,124.15M,124.15M,,124.15M,,,100.41M,100.41M,191.12M,415.68M,152.07M,,152.07M,,,,152.07M,567.74M,,0.206M,309.34M,183.03M,264.39M,228.19M,,,
2000-03,121.92M,,121.92M,,,9.583M,,,,,330.30M,,,461.80M,,,,,,31.65M,-16.00M,15.65M,,8.292M,8.292M,,,,297.87M,321.81M,783.60M,,114.06M,114.06M,,114.06M,,,103.96M,103.96M,194.03M,412.05M,150.14M,,150.14M,,,,150.14M,562.19M,,0.205M,272.14M,180.22M,231.15M,221.41M,,,
1999-12,89.13M,,89.13M,2.171M,,2.171M,,,,,323.46M,,,414.75M,,,,,,33.35M,-16.00M,17.35M,,11.30M,11.30M,,,,323.87M,352.53M,767.28M,,112.99M,112.99M,,112.99M,,,125.80M,125.80M,175.52M,414.31M,152.33M,,152.33M,,,,152.33M,566.64M,,0.204M,241.56M,196.65M,237.78M,200.64M,,,
1999-09,72.10M,,72.10M,,,9.40M,,,,,328.90M,,,410.40M,,,,,,37.20M,-21.30M,15.90M,,11.70M,11.70M,,,,376.90M,404.50M,814.90M,,111.90M,111.90M,,111.90M,,,194.20M,194.20M,173.60M,479.70M,150.30M,,150.30M,,,0.10M,150.40M,630.10M,,0.20M,217.30M,190.90M,223.60M,184.80M,,,
1999-06,94.30M,,94.30M,,,7.20M,,,,,314.80M,,,416.30M,,,,,,35.90M,-21.30M,14.60M,,12.30M,12.30M,,,,390.80M,417.70M,834.00M,,124.00M,124.00M,,124.00M,,,196.90M,196.90M,162.60M,483.50M,154.10M,,154.10M,,,0.20M,154.30M,637.80M,,,187.00M,,,196.20M,,,
1999-03,103.50M,,103.50M,,,9.40M,,,,,286.10M,,,399.00M,,,,,,34.50M,-21.30M,13.20M,,12.40M,12.40M,,,,403.40M,429.00M,828.00M,,99.30M,99.30M,,99.30M,,,229.30M,229.30M,153.10M,481.70M,154.30M,,154.30M,,,-0.10M,154.20M,635.90M,,,158.70M,,,192.10M,,,
1998-12,68.50M,,68.50M,,,1.50M,,,,,288.60M,,,358.60M,,,,,,38.90M,-21.30M,17.60M,,9.70M,9.70M,,,,338.50M,365.80M,724.40M,,100.00M,100.00M,,100.00M,,,165.80M,165.80M,138.30M,404.10M,154.50M,,154.50M,,,0.10M,154.60M,558.70M,,,132.70M,,,165.70M,,,
1998-09,109.70M,,109.70M,,,7.10M,,,,,264.00M,,,380.80M,,,,,,37.50M,-21.30M,16.20M,,9.90M,9.90M,,,,320.30M,346.40M,727.20M,,93.30M,93.30M,,93.30M,,,5.60M,5.60M,128.50M,227.40M,330.50M,,330.50M,,,0.10M,330.60M,558.00M,,,120.30M,,,169.20M,,,
1998-06,72.70M,,72.70M,,,6.00M,,,,,274.70M,,,353.40M,,,,,,38.20M,-21.30M,16.90M,,87.50M,87.50M,,,,253.70M,358.10M,711.50M,,90.80M,90.80M,,90.80M,,,5.70M,5.70M,114.70M,211.20M,342.30M,,342.30M,,,,342.30M,553.50M,,,95.60M,,,158.00M,,,
1998-03,39.30M,,39.30M,,,4.70M,,,,,245.90M,,-0.10M,289.80M,,,,,,38.80M,-21.30M,17.50M,,10.50M,10.50M,,,,316.20M,344.20M,634.00M,,74.90M,74.90M,,74.90M,,,5.70M,5.70M,105.00M,185.60M,292.10M,,292.10M,,,,292.10M,477.70M,,,86.80M,,,156.30M,,,
1997-12,45.70M,,45.70M,,,3.40M,,,,,224.00M,,,273.10M,,,,,,39.10M,-21.30M,17.80M,,10.80M,10.80M,,,,262.90M,291.50M,564.60M,,76.90M,76.90M,,76.90M,,,108.40M,108.40M,94.90M,280.20M,139.70M,,139.70M,,,0.10M,139.80M,420.00M,,,76.00M,,,144.60M,,,
1997-09,57.10M,,57.10M,,,9.10M,,,,,201.20M,,,267.40M,,,,,,36.50M,-19.30M,17.20M,,,,,,,245.70M,262.90M,530.30M,,68.10M,68.10M,,68.10M,,,0.10M,0.10M,96.70M,164.90M,224.40M,,224.40M,,,,224.40M,389.30M,,,70.90M,,,141.00M,,,
1997-06,45.70M,,45.70M,,,8.50M,,,,,194.70M,,,248.90M,,,,,,37.20M,-19.30M,17.90M,,,,,,,255.90M,273.80M,522.70M,,66.60M,66.60M,,66.60M,,,0.10M,0.10M,85.20M,151.90M,233.10M,,233.10M,,,-0.10M,233.00M,384.90M,,,61.90M,,,137.80M,,,
1997-03,57.30M,,57.30M,,,5.90M,,,,,170.70M,,,233.90M,,,,,,37.80M,-19.30M,18.50M,,,,,,,246.40M,264.90M,498.80M,,57.60M,57.60M,,57.60M,,,0.10M,0.10M,85.50M,143.20M,221.00M,,221.00M,,,-0.10M,220.90M,364.10M,,,52.90M,,,134.70M,,,
1996-12,74.80M,,74.80M,,,2.90M,,,,,171.70M,,,249.40M,,,,,,38.10M,-19.30M,18.80M,,,,,,,233.00M,251.80M,501.20M,,62.30M,62.30M,,62.30M,,,0.10M,0.10M,85.30M,147.70M,201.50M,,201.50M,,,,201.50M,349.20M,,,47.10M,,,152.00M,,,
1996-09,73.60M,,73.60M,,,17.40M,,,,,163.60M,,,254.60M,,,,,,37.60M,-19.00M,18.60M,,,,,,,314.40M,333.00M,587.60M,,59.40M,59.40M,,59.40M,,,0.10M,0.10M,96.00M,155.50M,275.30M,,275.30M,,,0.10M,275.40M,430.90M,,,42.10M,,,156.70M,,,
1996-06,47.20M,,47.20M,,,10.50M,,,,,185.30M,,,243.00M,,,,,,36.40M,-19.00M,17.40M,,,,,,,350.20M,367.60M,610.60M,,60.30M,60.30M,,60.30M,,,1.10M,1.10M,90.30M,151.70M,308.70M,,308.70M,,,,308.70M,460.40M,,,34.10M,,,150.20M,,,
1996-03,45.20M,,45.20M,,,7.50M,,,,,174.00M,,,226.70M,,,,,,37.50M,-19.00M,18.50M,,,,,,,357.50M,376.00M,602.70M,,53.30M,53.30M,,53.30M,,,0.10M,0.10M,89.20M,142.60M,310.20M,,310.20M,,,-0.10M,310.10M,452.70M,,,25.40M,,,150.00M,,,
1995-12,55.60M,,55.60M,,,7.90M,,,,,154.70M,,,218.20M,,,,,,37.60M,-19.00M,18.60M,,,,,,,377.10M,395.70M,613.90M,,57.20M,57.20M,,57.20M,,,0.10M,0.10M,90.70M,148.00M,319.80M,,319.80M,,,-0.10M,319.70M,467.70M,,,21.60M,,,146.20M,,,
1995-09,45.50M,,45.50M,,,6.70M,,,,,173.30M,,,225.50M,,,,,,,,18.70M,,,,,,,391.50M,410.20M,635.70M,,57.00M,57.00M,,57.00M,,,15.70M,15.70M,15.90M,88.60M,405.80M,,405.80M,,,,405.80M,494.40M,,,16.80M,,,141.30M,,,
1995-06,36.30M,,36.30M,,,3.70M,,,,,166.70M,,,206.70M,,,,,,,,16.60M,,,,,,,383.40M,400.00M,606.70M,,52.20M,52.20M,,52.20M,,,13.70M,13.70M,1.90M,67.80M,403.60M,,403.60M,,,,403.60M,471.40M,,,11.00M,,,135.30M,,,
1995-03,40.20M,,40.20M,,,8.30M,,,,,139.10M,,,187.60M,,,,,,,,18.10M,,,,,,,338.40M,356.50M,544.10M,,53.40M,53.40M,,53.40M,,,0.10M,0.10M,76.10M,129.60M,284.80M,,284.80M,,,,284.80M,414.40M,,,5.30M,,,129.70M,,,
1994-12,71.50M,,71.50M,,,4.70M,,,,,109.50M,,5.00M,190.70M,,,,,,41.40M,-23.30M,18.10M,,111.90M,111.90M,,,,244.90M,374.90M,565.60M,,53.50M,53.50M,,53.50M,,,,,81.60M,135.10M,301.00M,,301.00M,,,,301.00M,436.10M,,,4.30M,,,129.50M,,,
1994-09,50.30M,,50.30M,,,4.30M,,,,,139.90M,,,194.50M,,,,,,,,18.50M,,127.00M,127.00M,,,,248.90M,394.40M,588.90M,,51.70M,51.70M,,51.70M,,,,,82.40M,134.10M,325.10M,,325.10M,,,0.20M,325.30M,459.40M,,,1.40M,,,129.50M,,,
1994-06,53.10M,,53.10M,,,3.40M,,,,,138.70M,,,195.20M,,,,,,,,19.00M,,129.60M,129.60M,,,,308.40M,457.00M,652.20M,,52.60M,52.60M,,52.60M,,,,,79.00M,131.60M,386.70M,,386.70M,,,,386.70M,518.30M,,,-2.00M,,,133.90M,,,
1994-03,94.00M,,94.00M,,,2.70M,,,,,126.30M,,,223.00M,,,,,,,,18.60M,,132.40M,132.40M,,,,324.00M,475.00M,698.00M,,48.70M,48.70M,,48.70M,,,1.10M,1.10M,88.20M,138.00M,425.00M,,425.00M,,,-0.10M,424.90M,562.90M,,,-5.90M,,,135.10M,,,
