,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2005-09,85.34M,,,,,26.67M,26.67M,,,,11.54M,-4.245M,29.49M,7.074M,-2.043M,-27.53M,2.748M,126.31M,,-197.46M,120.61M,-76.84M,,-66.25M,-16.52M,-159.61M,,61.18M,69.73M,130.91M,8.501M,,8.501M,,,-72.05M,-11.49M,55.87M,,47.38M,22.56M,,69.94M,,8.501M,190.51M,-59.60M,,,,,AOR,Restated
2005-06,83.84M,,,,,27.71M,27.71M,,,,-28.81M,-2.05M,-18.64M,-2.05M,-18.64M,40.98M,-0.386M,82.35M,,-229.67M,113.06M,-116.60M,,-49.93M,-22.12M,-188.65M,,181.52M,-52.64M,128.88M,8.695M,,8.695M,,,-71.89M,-8.152M,57.53M,,96.14M,-48.76M,,47.38M,,8.695M,359.44M,-230.56M,,,,,AOR,Restated
2005-03,86.78M,,,,,26.18M,26.18M,,,,3.21M,-5.024M,20.68M,-5.024M,20.68M,-35.81M,-4.501M,111.67M,,-122.82M,148.29M,25.46M,,-60.44M,-9.416M,-44.39M,,137.29M,-94.10M,43.19M,19.68M,,19.68M,,,-71.50M,-0.73M,-9.357M,,38.22M,57.92M,,96.14M,,19.68M,163.22M,-120.04M,,,,,AOR,Restated
2004-12,75.81M,,,,,25.26M,25.26M,,,,-53.48M,-0.946M,-17.79M,-0.946M,-17.79M,60.98M,23.51M,71.10M,,-246.18M,-476.41M,-722.59M,,53.76M,291.92M,-376.92M,,216.31M,45.00M,261.31M,11.69M,,11.69M,,,-66.77M,3.781M,210.01M,,134.03M,-95.81M,,38.22M,,11.69M,364.34M,-103.03M,,,,,AOR,Restated
2004-09,78.51M,,,,,24.40M,24.40M,,,,12.16M,-2.968M,19.35M,-2.968M,19.35M,-44.59M,-11.83M,103.24M,,-83.35M,114.30M,30.95M,,-47.65M,-3.633M,-20.33M,,142.35M,-100.00M,42.35M,23.51M,,23.51M,,,-66.30M,-3.781M,-4.217M,,55.35M,78.68M,,134.03M,,23.51M,266.15M,-223.80M,,,,,AOR,Restated
2004-06,71.43M,,,,,26.22M,26.22M,,,,-4.376M,6.724M,-13.73M,6.724M,-13.73M,4.067M,-9.939M,83.34M,,-99.83M,308.11M,208.28M,,-63.44M,-1.071M,143.78M,,-206.79M,40.00M,-166.79M,5.55M,,5.55M,,,-66.21M,,-227.45M,,55.69M,-0.341M,,55.35M,,5.55M,222.64M,-389.43M,,,,,AOR,Restated
2004-03,71.39M,,,,,26.99M,26.99M,,,,8.642M,-4.552M,15.02M,-4.552M,15.02M,-20.45M,0.478M,107.50M,,-126.63M,53.99M,-72.64M,,8.743M,14.00M,-49.90M,,-9.927M,15.00M,5.073M,10.69M,,10.69M,,,-65.97M,,-50.20M,,48.29M,7.399M,,55.69M,,10.69M,31.93M,-26.86M,,,,,AOR,Restated
2003-12,90.33M,,,,,26.58M,26.58M,,,,-47.11M,5.555M,-10.60M,-0.596M,-2.545M,9.48M,1.294M,71.09M,,-667.39M,-281.77M,-949.16M,,117.67M,357.96M,-473.52M,,356.92M,40.00M,396.92M,-215.68M,225.00M,9.322M,225.00M,0.00,-62.49M,,343.76M,,106.96M,-58.67M,,48.29M,,-440.68M,576.82M,-179.90M,450.00M,,,,AOR,Restated
2003-09,91.50M,,,,,21.91M,21.91M,,,,-24.30M,-6.978M,17.61M,-0.827M,9.551M,-25.89M,-6.538M,82.58M,,-91.78M,170.67M,78.89M,,-6.082M,25.25M,98.06M,,49.49M,-190.00M,-140.51M,118.12M,0.00,118.12M,0.00,0.00,-59.24M,-50.00M,-131.62M,,57.95M,49.01M,,106.96M,,118.12M,175.14M,-315.64M,0.00,,,,AOR,Restated
2003-06,61.35M,,,,,20.69M,20.69M,,,,-15.27M,-0.488M,-18.53M,0.827M,-9.551M,31.12M,3.384M,70.14M,,-223.52M,98.00M,-125.52M,,-19.52M,10.87M,-134.17M,,13.11M,40.00M,53.11M,476.69M,-225.00M,251.69M,-225.00M,-225.00M,-63.48M,50.00M,66.32M,,55.65M,2.296M,,57.95M,,476.69M,69.98M,-16.88M,-450.00M,,,,AOR,Restated
2003-03,64.70M,,,,,19.89M,19.89M,,,,4.643M,1.315M,8.976M,,,-14.71M,-4.422M,84.81M,,-122.59M,13.09M,-109.49M,,-53.00M,29.77M,-132.72M,,10.51M,110.00M,120.51M,8.19M,,8.19M,,,-61.10M,,67.60M,,35.96M,19.69M,,55.65M,,8.19M,133.88M,-13.37M,,,,,AOR,Restated
2002-12,62.96M,,,,,,,,,,-133.12M,,,,,,,48.17M,,-191.61M,-33.91M,-225.52M,11.42M,151.97M,17.80M,-44.34M,,189.57M,-229.00M,-39.43M,1.647M,,1.647M,,,-58.98M,85.40M,-11.36M,,43.50M,-7.533M,,35.96M,,1.647M,313.87M,-353.30M,,,,,AOR,Restated
2002-09,60.76M,,,,,,,,,,25.65M,,,,,,,86.40M,,-76.23M,33.91M,-42.32M,-11.42M,-147.67M,85.26M,-116.15M,,-29.08M,229.00M,199.92M,1.508M,,1.508M,,,-58.95M,-96.70M,45.78M,,27.46M,16.04M,,43.50M,,1.508M,208.70M,-8.785M,,,,,AOR,
2002-06,61.06M,,,,,,,,,,5.345M,,,,,,,66.40M,,-53.23M,-13.14M,-66.37M,,93.56M,-163.80M,-136.60M,,138.57M,,138.57M,2.709M,,2.709M,,,-58.88M,-11.20M,71.20M,,26.47M,0.993M,,27.46M,,2.709M,151.20M,-12.63M,,,,,AOR,
2002-03,60.89M,,,,,,,,,,17.06M,,,,,,,77.95M,,-32.91M,13.14M,-19.77M,,-87.65M,7.855M,-99.56M,,-1.699M,,-1.699M,3.525M,,3.525M,,,-58.80M,11.20M,-45.77M,,93.85M,-67.38M,,26.47M,,3.525M,0.00,-1.699M,,,,,AOR,
2001-12,61.88M,,,,,,,,,,-105.66M,,,,,,,33.73M,,-29.34M,,-29.34M,,1.038M,-16.14M,-44.45M,,-1.265M,,-1.265M,124.92M,,124.92M,,,-52.75M,,70.91M,,33.65M,60.19M,,93.85M,,124.92M,0.00,-1.265M,,,,,AOR,Restated
2001-09,59.25M,,,,,,,,,,46.42M,,,,,,,105.67M,,-56.31M,,-56.31M,,-8.092M,-38.82M,-103.23M,,-1.382M,,-1.382M,2.009M,,2.009M,,,-52.71M,,-52.08M,,83.29M,-49.64M,,33.65M,,2.009M,0.00,-1.382M,,,,,AOR,
2001-06,59.35M,,,,,,,,,,15.51M,,,,,,,74.87M,,-41.18M,-38.21M,-79.39M,,38.46M,62.78M,21.85M,,-4.848M,,-4.848M,18.37M,,18.37M,,,-52.31M,,-38.79M,,25.36M,57.93M,,83.29M,,18.37M,51.23M,-56.08M,,,,,AOR,
2001-03,56.05M,,,,,,,,,,17.13M,,,,,,,73.18M,,-43.93M,38.21M,-5.721M,,-24.05M,-1.60M,-31.37M,,4.012M,,4.012M,12.46M,,12.46M,,,-52.02M,,-35.55M,,19.10M,6.266M,,25.36M,,12.46M,10.00M,-5.988M,,,,,AOR,
2000-12,53.86M,,,,,,,,,,-85.95M,,,,,,,43.88M,,-40.14M,-21.20M,-61.33M,,-31.87M,30.42M,-62.78M,,-91.10M,135.00M,43.90M,2.608M,0.00,2.608M,,,-49.44M,-2.863M,-5.796M,,43.79M,-24.69M,,19.10M,,2.608M,145.00M,-101.10M,0.00,,,,AOR,Restated
2000-09,51.51M,,,,,,,,,,26.45M,,,,,,,77.96M,,-25.18M,13.23M,-11.94M,0.00,-24.45M,0.45M,-35.95M,,-18.67M,-35.00M,-53.67M,73.67M,0.00,73.67M,,,-46.97M,10.00M,-16.96M,,18.74M,25.05M,,43.79M,,73.67M,110.00M,-163.67M,0.00,,,,AOR,
2000-06,50.95M,,,,,,,,,,13.95M,,,,,,,64.90M,,-54.82M,7.964M,-46.86M,0.00,1.748M,-0.39M,-45.50M,,-17.43M,-10.00M,-27.43M,5.761M,-2.505M,3.256M,,,-46.75M,31.70M,-39.22M,,38.56M,-19.82M,,18.74M,,5.761M,0.00,-27.43M,-2.505M,,,,AOR,
2000-03,48.71M,,,,,,,,,,15.09M,,,,,,,63.80M,,-38.38M,,-38.38M,,-11.92M,2.907M,-47.40M,,40.50M,,40.50M,0.137M,,0.137M,,,-46.74M,0.191M,-5.917M,,28.08M,10.49M,,38.56M,,0.137M,45.00M,-4.502M,,,,,AOR,
1999-12,49.30M,,,,,,,,,,-56.15M,,,,,,,57.35M,,-109.60M,,-109.60M,,-4.20M,11.10M,-102.70M,,112.10M,,112.10M,3.10M,,-2.00M,,,-43.00M,-26.70M,40.40M,,32.90M,-4.947M,,28.10M,,3.10M,152.00M,-39.90M,,,,,AOR,Restated
1999-09,45.57M,,,,,,,,,,19.38M,,,,,,,64.95M,,-29.37M,,-29.37M,,0.017M,0.112M,-29.24M,,-21.80M,,-21.80M,1.264M,,1.264M,,,-43.07M,28.60M,-35.01M,,32.32M,0.699M,,32.90M,,1.264M,21.69M,-43.50M,,,,,,
1999-06,42.43M,,,,,,,,,,12.72M,,,,,,,55.15M,,-40.93M,,-40.93M,,-5.517M,66.19M,19.74M,,-43.40M,,-43.40M,2.636M,,2.636M,,,-42.73M,0.10M,-83.39M,,,-11.60M,,32.32M,,2.636M,23.31M,-66.70M,,,,,,
1999-03,39.50M,,,,,,,,,,20.20M,,,,,,,59.70M,,-98.80M,,-98.80M,,4.10M,1.70M,-93.00M,,69.60M,,69.60M,1.60M,,1.60M,,,-40.90M,-0.10M,30.20M,,43.90M,,,,,1.60M,180.00M,-110.40M,,,,,,
1998-12,37.20M,,,,,,,,,,-18.99M,,,,,,,33.51M,,-115.20M,,-115.20M,,0.80M,-20.50M,-134.90M,,-152.40M,,-152.40M,96.50M,,96.50M,,,-38.50M,274.00M,114.60M,,,,,43.90M,,31.50M,-9.00M,-143.40M,,,,,AOR,Restated
1998-09,36.10M,,,,,,,,,,18.80M,,,,,,,54.90M,,-283.40M,,-283.40M,,-3.80M,-18.90M,-306.10M,,196.80M,,196.80M,78.60M,,78.60M,,,-27.40M,0.10M,248.10M,,,,,,,78.60M,310.00M,-113.20M,,,,,,
1998-06,27.50M,,,,,,,,,,7.80M,,,,,,,35.30M,,-81.90M,,-81.90M,,0.10M,-0.20M,-82.00M,,-36.90M,,-36.90M,107.30M,,107.30M,,,-24.00M,-0.20M,46.20M,,,,,,,107.30M,109.00M,-145.90M,,,,,,
1998-03,25.50M,,,,,,,,,,9.50M,,,,,,,35.00M,,-103.50M,,-103.50M,,-4.20M,0.50M,-107.20M,,99.00M,,99.00M,0.50M,,0.50M,,,-24.00M,0.10M,75.60M,,31.00M,,,,,0.50M,100.00M,-1.00M,,,,,,
1997-12,23.20M,,,,,,,,,,-8.40M,,,,,,,24.90M,,-87.70M,,-87.70M,,-9.10M,2.90M,-93.90M,,-0.70M,,-0.70M,0.10M,,0.10M,,,-22.00M,0.00,-22.60M,,,,,,,0.10M,0.00,-0.70M,,,,,AOR,
1997-09,20.70M,,,,,,,,,,23.10M,,,,,,,43.80M,,-92.70M,,-92.70M,,-1.00M,-6.00M,-99.70M,,39.60M,,39.60M,136.10M,,136.10M,,,-20.20M,0.10M,155.60M,,,,,,,136.10M,40.00M,-0.40M,,,,,,
1997-06,21.00M,,,,,,,,,,5.50M,,,,,,,26.50M,,-65.60M,,-65.60M,,0.00,-5.40M,-71.00M,,59.80M,,59.80M,1.40M,,1.40M,,,-20.20M,,41.00M,,,,,,,1.40M,60.00M,-0.20M,,,,,,
1997-03,20.60M,,,,,,,,,,9.30M,,,,,,,29.90M,,-15.20M,,-15.20M,,-1.00M,,-16.20M,,-5.00M,,-5.00M,0.50M,,0.50M,,,-20.20M,,-24.70M,,37.40M,,,,,0.50M,,-5.00M,,,,,,
1996-12,19.60M,,,,,,,,,,-34.10M,,,,,,,23.20M,,-14.60M,,-14.60M,,0.00,0.00,-14.60M,,-7.90M,,-7.90M,0.90M,,0.90M,,,-18.80M,0.20M,-25.60M,,,,,37.50M,,0.90M,,-7.90M,,,,,AOR,
1996-09,19.80M,,,,,,,,,,3.20M,,,,,,,23.00M,,-44.70M,,-44.70M,,-2.50M,1.80M,-45.40M,,-0.90M,,-0.90M,1.60M,,1.60M,,,-18.80M,-0.10M,-18.20M,,,,,,,1.60M,,-0.90M,,,,,,
1996-06,18.50M,,,,,,,,,,10.10M,,,,,,,28.60M,,-13.30M,,-13.30M,,-2.40M,,-15.70M,,-15.40M,,-15.40M,98.30M,,98.30M,,,-16.50M,,66.40M,,,,,,,98.30M,,-15.40M,,,,,,
1996-03,15.90M,,,,,,,,,,11.20M,,,,,,,27.10M,,-68.30M,,-68.30M,,,,-68.30M,,-0.40M,,-0.40M,56.90M,,56.90M,,,-15.70M,,40.80M,,16.20M,,,,,56.90M,,-0.40M,,,,,,
1995-12,13.10M,,,,,,,,,,-21.00M,,,,,,,18.90M,,-33.60M,,-33.60M,,21.70M,-31.50M,-43.40M,,39.90M,,39.90M,2.10M,,2.10M,,,-14.50M,-0.10M,27.40M,,,,,16.10M,,2.10M,,19.80M,,,,,,
1995-09,13.90M,,,,,,,,,,7.50M,,,,,,,21.40M,,-26.50M,,-26.50M,,-23.10M,0.00,-49.60M,,-6.30M,,-6.30M,49.20M,,49.20M,,,-13.60M,0.10M,29.40M,,,,,,,49.20M,,-6.30M,,,,,,
1995-06,12.90M,,,,,,,,,,5.70M,,,,,,,18.60M,,-31.20M,,-31.20M,,-0.20M,8.60M,-22.80M,,11.60M,,11.60M,1.20M,,1.20M,,,-13.50M,,-0.70M,,,,,,,1.20M,,11.60M,,,,,,
1995-03,12.00M,,,,,,,,,,3.30M,,,,,,,15.30M,,-13.80M,,-13.80M,,-0.90M,3.20M,-11.50M,,-55.40M,,-55.40M,69.80M,,69.80M,,,-12.30M,,2.10M,,10.90M,,,,,69.80M,,-55.40M,,,,,,
1994-12,10.50M,,,,,,,,,,-9.10M,,,,,,,21.20M,,-32.50M,,-32.50M,,,,-41.00M,,29.90M,,29.90M,0.20M,,0.20M,,,-11.50M,0.10M,18.70M,,,,,,,0.20M,30.20M,-0.30M,,,,,,
1994-09,10.30M,,,,,,,,,,7.60M,,,,,,,17.90M,,-28.80M,,-28.80M,,,,-28.80M,,24.50M,,24.50M,0.10M,,0.10M,,,-11.50M,0.00,13.10M,,,,,,,0.10M,25.00M,-0.50M,,,,,,
1994-06,10.10M,,,,,,,,,,1.30M,,,,,,,11.40M,,-10.70M,,-10.70M,,,,-10.70M,,-0.20M,,-0.20M,0.30M,,0.30M,,,-11.40M,-0.10M,-11.40M,,,,,,,0.30M,0.00,-0.20M,,,,,,
1994-03,10.20M,,,,,,,,,,2.20M,,,,,,,12.40M,,-61.70M,,-61.70M,,,,-61.70M,,27.90M,,27.90M,0.20M,,0.20M,,,-11.50M,,16.60M,,53.10M,,,,,0.20M,150.00M,-122.10M,,,,,,
1993-12,9.50M,,,,,,,,,,-21.50M,,,,,,,14.70M,,-50.60M,,-50.60M,,,0.00,-50.60M,,-12.40M,100.00M,87.60M,0.30M,,0.30M,,,-10.30M,,77.60M,,,,,,,0.30M,,-12.40M,,,,,,
1993-09,8.60M,,,,,,,,,,2.20M,,,,,,,10.80M,,-7.40M,,-7.40M,,,0.10M,-7.30M,,-87.20M,24.30M,-62.90M,72.20M,,72.20M,,,-9.40M,,-0.10M,,,,,,,72.20M,,-87.20M,,,,,,
1993-06,10.10M,,,,,,,,,,8.30M,,,,,,,18.40M,,-58.40M,,-58.40M,,,-0.10M,-58.50M,,-68.50M,11.40M,-57.10M,110.50M,,110.50M,,,-9.40M,,44.00M,,,,,,,110.50M,,-68.50M,,,,,,
1993-03,7.00M,,,,,,,,,,4.00M,,,,,,,11.00M,,-7.10M,,-7.10M,,,3.70M,-3.40M,,-30.00M,25.60M,-4.40M,0.10M,,0.10M,,,-7.80M,,-12.10M,,8.70M,,,,,0.10M,,-30.00M,,,,,,
1992-12,5.40M,,,,,,,,,,-14.70M,,,,,,,0.30M,,-2.30M,,-2.30M,,,,-2.30M,,-4.60M,11.20M,6.60M,2.30M,,2.30M,,,-7.20M,0.60M,2.30M,,,,,,,2.30M,,-4.60M,,,,,,
1992-09,5.30M,,,,,,,,,,3.10M,,,,,,,8.40M,,-17.30M,,-17.30M,,,,-17.30M,,-2.80M,-29.00M,-31.80M,50.30M,,50.30M,,,-7.20M,-0.40M,10.90M,,,,,,,50.30M,,-2.80M,,,,,,
1992-06,4.30M,,,,,,,,,,3.80M,,,,,,,8.10M,,-1.00M,,-1.00M,,,,-1.00M,,-0.60M,-0.70M,-1.30M,,,,,,-6.10M,-0.10M,-7.50M,,,,,,,,,-0.60M,,,,,,
1992-03,4.00M,,,,,,,,,,5.80M,,,,,,,9.80M,,-1.00M,,-1.00M,,,,-1.00M,,-9.60M,4.80M,-4.80M,,,,,,-2.20M,,-7.00M,,5.00M,,,,,,,-9.60M,,,,,,
1991-10,-2.50M,,,,,-4.00M,-4.00M,,,,12.00M,0.10M,-2.10M,0.10M,-2.10M,,-4.00M,1.50M,,-2.70M,,-2.70M,,0.50M,-0.20M,-2.40M,,-1.20M,-0.50M,-1.70M,,,,,,,,-1.70M,,,,1.20M,,,,0.00,-1.20M,,,,,,
1991-07,2.10M,,,,,4.00M,4.00M,,,,-4.50M,-0.10M,2.10M,-0.10M,2.10M,,4.00M,5.60M,,-1.00M,,-1.00M,,0.80M,13.00M,12.80M,,-5.60M,-6.00M,-11.60M,,,,,,,,-11.60M,,3.60M,,-6.20M,,,,2.80M,-8.40M,,,,,,
