,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,AccruedComprehensiveInc,ShareholdersEquity
2008-06,86.00M,,86.00M,1.633B,1.95B,1.142B,,,,2.118B,5.296B,,,19.98B,-6.209B,13.77B,,,62.00M,,,,,9.203B,23.04B,28.33B,1.342B,,1.342B,2.125B,3.467B,,,1.754B,1.754B,,,,5.221B,,8.281B,,8.281B,3.275B,3.275B,,,,,80.00M,,11.64B,21.76B,0.00,3.209B,4.748B,487.00M,,,-896.00M,6.574B
2008-03,251.00M,,251.00M,1.709B,2.016B,686.00M,,,,1.768B,4.721B,,,19.57B,-6.121B,13.45B,,,59.00M,,,,,9.738B,23.25B,27.97B,993.00M,,993.00M,2.437B,3.43B,,,735.00M,735.00M,,,,4.165B,,8.414B,,8.414B,4.234B,4.234B,,,,,80.00M,,12.73B,20.62B,0.00,3.523B,4.742B,483.00M,,,-436.00M,7.346B
2007-12,381.00M,,381.00M,1.552B,1.905B,1.089B,,,,1.461B,4.836B,,,19.31B,-6.035B,13.28B,,,64.00M,,,,,10.12B,23.46B,28.30B,1.093B,,1.093B,1.939B,3.032B,,,1.188B,1.188B,,,,4.22B,,8.662B,,8.662B,4.454B,4.454B,,,,,80.00M,,13.20B,21.00B,0.00,3.261B,4.732B,478.00M,,,-216.00M,7.299B
2007-09,421.00M,,421.00M,1.52B,1.757B,1.197B,,,,757.00M,4.132B,,,19.72B,-6.21B,13.51B,,,469.00M,,,,,10.80B,24.78B,28.91B,916.00M,,916.00M,1.439B,2.355B,,,1.226B,1.226B,,,,3.581B,,9.98B,,9.98B,4.287B,4.287B,,,,,80.00M,,14.35B,21.60B,0.00,3.186B,4.723B,471.00M,,,-127.00M,7.311B
2007-06,170.00M,,170.00M,1.588B,1.848B,982.00M,,,,897.00M,3.897B,,,19.35B,-6.067B,13.28B,,,462.00M,,,,,10.82B,24.56B,28.46B,1.022B,,1.022B,1.322B,2.344B,,,1.355B,1.355B,,,,3.699B,,9.863B,,9.863B,4.223B,4.223B,,,,,80.00M,,14.17B,21.61B,0.00,2.829B,4.71B,479.00M,,,-213.00M,6.847B
2007-03,483.00M,,483.00M,1.806B,2.066B,652.00M,,,,568.00M,3.769B,,,19.11B,-5.974B,13.13B,,,583.00M,,,,,10.88B,24.59B,28.36B,1.013B,,1.013B,1.455B,2.468B,,,1.016B,1.016B,,,,3.484B,,10.31B,,10.31B,4.079B,4.079B,,,,,80.00M,,14.47B,21.73B,0.00,2.717B,4.683B,499.00M,,,-272.00M,6.629B
2006-12,106.00M,,106.00M,1.257B,1.585B,1.123B,,,,1.963B,4.777B,,,18.09B,-5.676B,12.42B,,,62.00M,,,,,11.30B,23.78B,28.55B,916.00M,,916.00M,1.583B,2.499B,,,1.217B,1.217B,,,,3.716B,,10.10B,,10.10B,4.44B,4.44B,,,,,80.00M,,14.62B,21.80B,0.00,2.71B,4.661B,516.00M,,,-108.00M,6.747B
2006-09,292.00M,,292.00M,1.337B,1.559B,1.164B,,,,479.00M,3.494B,,,19.63B,-5.95B,13.68B,,,616.00M,,,,,10.92B,25.22B,28.71B,806.00M,,806.00M,1.27B,2.076B,,,1.227B,1.227B,,,,3.303B,,10.71B,,10.71B,4.646B,4.646B,,,,,80.00M,,15.44B,21.73B,0.00,2.901B,4.644B,527.00M,,,-33.00M,6.985B
2006-06,136.00M,,136.00M,1.455B,1.694B,936.00M,,,,581.00M,3.347B,,,19.39B,-5.817B,13.57B,,,590.00M,,,,,10.75B,24.91B,28.26B,877.00M,,877.00M,1.241B,2.118B,,,939.00M,939.00M,,,,3.057B,,11.06B,,11.06B,4.436B,4.436B,,,,,80.00M,,15.57B,21.73B,0.00,2.671B,4.632B,532.00M,,,-239.00M,6.532B
2006-03,218.00M,,218.00M,1.818B,2.064B,675.00M,,,,844.00M,3.801B,,,19.11B,-5.70B,13.41B,,,595.00M,,,,,11.05B,25.06B,28.86B,785.00M,,785.00M,1.958B,2.743B,,,1.195B,1.195B,,,,3.938B,,11.11B,,11.11B,4.344B,4.344B,,,,,80.00M,,15.54B,22.64B,0.00,2.605B,4.62B,531.00M,,,-473.00M,6.221B
2005-12,288.00M,,288.00M,1.936B,2.33B,1.081B,,,,1.797B,5.496B,,,18.21B,-5.533B,12.68B,,,600.00M,,,,,11.05B,24.32B,29.82B,1.154B,,1.154B,1.967B,3.121B,,,1.636B,1.636B,,,-2.00M,4.755B,,11.28B,,11.28B,4.248B,4.248B,,,,,80.00M,,15.61B,23.80B,0.00,2.545B,4.618B,532.00M,,,-609.00M,6.022B
2005-09,608.00M,,608.00M,1.764B,1.991B,1.076B,,,,1.124B,4.799B,,,19.08B,-5.60B,13.48B,,,608.00M,,,,,11.23B,25.32B,30.12B,1.089B,,1.089B,1.758B,2.847B,,,1.824B,1.824B,,,,4.671B,,12.14B,,12.14B,4.229B,4.229B,,,,,80.00M,,16.45B,24.61B,0.00,2.48B,4.581B,968.00M,,,-588.00M,5.505B
2005-06,294.00M,,294.00M,1.355B,1.573B,782.00M,,,,854.00M,3.503B,,,18.73B,-5.455B,13.27B,,,616.00M,,,,,11.08B,24.97B,28.47B,977.00M,,977.00M,1.137B,2.114B,,,1.929B,1.929B,,,,4.043B,,11.82B,,11.82B,4.221B,4.221B,,,,,80.00M,,16.12B,22.90B,0.00,2.361B,4.575B,968.00M,,,-391.00M,5.577B
2005-03,332.00M,,332.00M,1.698B,1.934B,490.00M,,,,579.00M,3.335B,,,19.27B,-5.469B,13.80B,,,626.00M,,,,,11.13B,25.55B,28.88B,932.00M,,932.00M,1.45B,2.382B,,,898.00M,898.00M,,,,3.28B,,12.73B,,12.73B,4.279B,4.279B,,,,,80.00M,,17.09B,23.15B,0.00,2.576B,4.564B,969.00M,,,-435.00M,5.736B
2004-12,263.00M,,263.00M,1.59B,1.93B,872.00M,,,,1.561B,4.626B,,,18.19B,-5.335B,12.86B,,,622.00M,,,,,11.15B,24.63B,29.26B,1.349B,,1.349B,1.526B,2.875B,,,1.014B,1.014B,,,,3.889B,,12.61B,,12.61B,4.357B,4.357B,,,,,80.00M,,17.05B,23.52B,0.00,2.425B,4.569B,978.00M,,,-272.00M,5.744B
2004-09,316.00M,,316.00M,1.432B,1.576B,944.00M,,,,630.00M,3.466B,,,18.77B,-5.283B,13.49B,,,617.00M,,,,,10.89B,25.00B,28.46B,963.00M,,963.00M,1.268B,2.231B,,,1.102B,1.102B,,,,3.333B,,13.00B,,13.00B,4.167B,4.167B,,,,,,,17.16B,22.81B,80.00M,2.469B,4.549B,978.00M,80.00M,,-469.00M,5.651B
2004-06,253.00M,,253.00M,1.49B,1.641B,703.00M,,,,656.00M,3.253B,,,17.83B,-5.13B,12.70B,,,606.00M,,,,,10.85B,24.15B,27.41B,1.055B,,1.055B,1.079B,2.134B,,,954.00M,954.00M,,,,3.088B,,12.52B,,12.52B,4.108B,4.108B,,,,,,,16.63B,21.90B,80.00M,2.356B,4.52B,978.00M,80.00M,,-468.00M,5.51B
2004-03,470.00M,,470.00M,1.723B,1.915B,432.00M,,,,598.00M,3.415B,,,17.57B,-5.07B,12.50B,,,596.00M,,,,,11.20B,24.30B,27.72B,1.083B,,1.083B,1.388B,2.471B,,,746.00M,746.00M,,,,3.217B,,12.60B,,12.60B,4.124B,4.124B,,,,,,,16.73B,22.14B,80.00M,2.362B,4.502B,981.00M,80.00M,,-383.00M,5.58B
2003-12,452.00M,,452.00M,1.551B,1.812B,754.00M,,,,647.00M,3.665B,,,17.40B,-4.981B,12.42B,,,625.00M,,,,,11.38B,24.42B,28.08B,1.202B,,1.202B,1.147B,2.349B,,,1.027B,1.027B,,,,3.376B,,12.94B,,12.94B,4.216B,4.216B,,,,,,,17.16B,22.48B,80.00M,2.221B,4.49B,981.00M,80.00M,,-201.00M,5.609B
2003-09,191.00M,,191.00M,1.31B,1.448B,838.00M,,,,539.00M,3.016B,,,17.71B,-5.358B,12.35B,,,647.00M,,,,,10.92B,23.92B,26.94B,903.00M,,903.00M,776.00M,1.679B,,,1.723B,1.723B,,,,3.402B,,12.87B,,12.87B,3.782B,3.782B,,,,,80.00M,,16.73B,22.09B,0.00,2.256B,4.113B,981.00M,,,-543.00M,4.845B
2003-06,150.00M,,150.00M,1.377B,1.548B,642.00M,,,,629.00M,2.969B,,,17.33B,-5.193B,12.14B,,,648.00M,,,,,10.82B,23.60B,26.57B,1.117B,,1.117B,950.00M,2.067B,,,1.803B,1.803B,,,,3.87B,,11.03B,,11.03B,3.526B,3.526B,,,,,1.40B,,15.95B,21.91B,0.00,2.16B,4.10B,981.00M,,,-617.00M,4.662B
2003-03,218.00M,,218.00M,1.863B,2.073B,430.00M,,,,456.00M,3.177B,,,16.95B,-5.258B,11.69B,,,640.00M,,,,,10.65B,22.99B,26.16B,1.313B,,1.313B,1.123B,2.436B,,,1.499B,1.499B,,,,3.935B,,10.87B,,10.87B,3.364B,3.364B,,,,,1.40B,,15.64B,21.58B,0.00,2.158B,4.078B,981.00M,,,-670.00M,4.585B
2002-12,171.00M,,171.00M,1.404B,1.679B,616.00M,,,,823.00M,3.289B,,,16.37B,-4.734B,11.64B,,,652.00M,,,,,10.55B,22.85B,26.14B,1.137B,,1.137B,1.40B,2.537B,,,1.49B,1.49B,,,,4.027B,,10.88B,,10.88B,2.903B,2.903B,,,,,1.361B,,15.14B,22.17B,80.00M,1.554B,4.051B,981.00M,80.00M,,-739.00M,3.965B
2002-09,147.00M,,147.00M,1.021B,1.181B,673.00M,,,,1.41B,3.411B,,,15.70B,-5.107B,10.60B,,,464.00M,,,,,11.48B,22.54B,25.95B,731.00M,,731.00M,1.764B,2.495B,,,2.399B,2.399B,,,,4.894B,,10.64B,,10.64B,3.089B,3.089B,,,,,1.22B,,14.95B,22.28B,0.00,1.477B,3.59B,981.00M,,,-414.00M,3.672B
2002-06,246.00M,,246.00M,824.00M,1.005B,551.00M,,,,1.424B,3.226B,,,15.27B,-4.984B,10.29B,,,468.00M,,,,,11.36B,22.12B,25.35B,536.00M,,536.00M,1.424B,1.96B,,,3.074B,3.074B,,,,5.034B,,10.34B,,10.34B,3.045B,3.045B,,,,,760.00M,,14.15B,21.65B,0.00,1.384B,3.633B,981.00M,,,-340.00M,3.696B
2002-03,175.00M,,175.00M,1.163B,1.384B,432.00M,,,,1.027B,3.018B,,,15.13B,-4.917B,10.21B,,,621.00M,,,,,11.36B,22.20B,25.21B,546.00M,,546.00M,1.096B,1.642B,,,2.888B,2.888B,,,,4.53B,,10.18B,,10.18B,3.252B,3.252B,,,,,760.00M,,14.19B,21.06B,0.00,1.881B,3.613B,981.00M,,,-355.00M,4.158B
2001-12,167.00M,,167.00M,992.00M,1.283B,681.00M,,,,1.158B,3.289B,,,14.70B,-4.789B,9.911B,,,632.00M,,,,,11.32B,21.87B,25.16B,871.00M,,871.00M,1.152B,2.023B,,,2.523B,2.523B,,,,4.546B,,10.19B,,10.19B,3.205B,3.205B,,,,,760.00M,,14.16B,21.02B,0.00,1.809B,3.599B,981.00M,,,-290.00M,4.137B
2001-09,377.00M,,377.00M,1.076B,1.258B,704.00M,,,,1.192B,3.531B,,,14.38B,-4.764B,9.619B,,,,,,,,11.72B,21.34B,24.87B,778.00M,,778.00M,1.378B,2.156B,,,2.199B,2.199B,,,,4.355B,,10.14B,,10.14B,3.283B,3.283B,,,,,760.00M,,14.19B,20.75B,0.00,1.728B,3.601B,892.00M,,,-322.00M,4.115B
2001-06,425.00M,,425.00M,1.215B,1.415B,587.00M,,,,745.00M,3.172B,,,13.43B,-4.581B,8.853B,,,,,,,,11.65B,20.50B,23.67B,969.00M,,969.00M,1.045B,2.014B,,,1.815B,1.815B,,,,3.829B,,9.581B,,9.581B,3.238B,3.238B,,,,,760.00M,,13.58B,19.57B,0.00,1.671B,3.603B,895.00M,,,-277.00M,4.102B
2001-03,183.00M,,183.00M,1.235B,1.48B,424.00M,,,,356.00M,2.443B,,,12.55B,-4.478B,8.068B,,,,,,,,11.18B,19.25B,21.69B,796.00M,,796.00M,955.00M,1.751B,,,1.206B,1.206B,,,,2.957B,,8.294B,,8.294B,3.124B,3.124B,,,,,968.00M,,12.39B,17.57B,0.00,1.641B,3.603B,895.00M,,,-226.00M,4.123B
2000-12,102.00M,,102.00M,1.165B,1.522B,586.00M,,,,929.00M,3.139B,,,11.97B,-4.266B,7.702B,,,,,,,,10.68B,18.39B,21.53B,1.001B,,1.001B,1.159B,2.16B,,,3.552B,3.552B,,,,5.712B,,5.297B,,5.297B,3.107B,3.107B,,,,,1.208B,,9.612B,17.53B,0.00,1.493B,3.604B,895.00M,,,-206.00M,3.996B
2000-09,115.00M,,115.00M,844.00M,1.025B,432.00M,,,,253.00M,1.825B,,,11.41B,-4.094B,7.316B,,,,,,,,10.57B,17.88B,19.71B,613.00M,,613.00M,419.00M,1.032B,,,3.443B,3.443B,,,,4.475B,,4.706B,,4.706B,3.045B,3.045B,,,,,1.208B,,8.959B,15.57B,0.00,1.398B,3.604B,669.00M,,,-191.00M,4.142B
2000-06,133.00M,,133.00M,1.105B,1.294B,443.00M,,,,471.00M,2.341B,,,11.41B,-4.195B,7.217B,,,,,,,,10.07B,17.29B,19.63B,1.077B,,1.077B,445.00M,1.522B,,,3.145B,3.145B,,,,4.667B,,4.417B,,4.417B,3.044B,3.044B,,,,,1.208B,,8.669B,15.51B,0.00,1.371B,3.604B,669.00M,,,-183.00M,4.123B
2000-03,121.00M,,121.00M,1.14B,1.323B,304.00M,,,,100.00M,1.848B,,,11.34B,-4.208B,7.131B,,,,,,,,9.989B,17.12B,18.97B,802.00M,,802.00M,622.00M,1.424B,,,2.175B,2.175B,,,,3.599B,,4.901B,,4.901B,2.961B,2.961B,,,,,1.208B,,9.07B,14.79B,0.00,1.345B,3.604B,597.00M,,,-175.00M,4.177B
1999-12,259.00M,,259.00M,977.00M,1.218B,441.00M,,,,125.00M,2.043B,,,11.01B,-3.943B,7.066B,,,,,,,,9.906B,16.97B,19.02B,738.00M,,738.00M,394.00M,1.132B,,,3.045B,3.045B,,,,4.177B,,4.575B,,4.575B,2.928B,2.928B,,,,,1.208B,,8.711B,15.02B,0.00,1.193B,3.604B,597.00M,,,-204.00M,3.996B
1999-09,84.00M,,84.00M,960.00M,1.123B,485.00M,,,,258.00M,1.95B,10.46B,140.00M,10.60B,-3.648B,6.953B,,,,,,,,9.687B,16.64B,18.59B,826.00M,,826.00M,427.00M,1.253B,,,2.357B,2.357B,,,,3.61B,,4.711B,,4.711B,2.89B,2.89B,,,,,,,7.601B,13.32B,1.208B,1.177B,3.604B,516.00M,1.208B,,-206.00M,5.267B
1999-06,77.00M,,77.00M,969.00M,1.156B,403.00M,,,,376.00M,2.012B,10.16B,98.00M,10.26B,-3.417B,6.839B,,,,,,,,9.616B,16.46B,18.47B,789.00M,,789.00M,467.00M,1.256B,,,2.139B,2.139B,,,,3.395B,,4.84B,50.00M,4.89B,2.886B,79.00M,,,,,,,4.969B,13.25B,1.208B,1.089B,3.603B,507.00M,1.208B,,-173.00M,5.22B
1999-03,69.00M,,69.00M,824.00M,1.016B,380.00M,,,,78.00M,1.543B,17.76B,214.00M,17.97B,-7.222B,10.75B,,,,,,,,5.355B,16.11B,17.65B,504.00M,,504.00M,675.00M,1.179B,,,1.096B,1.096B,,,,2.275B,,4.912B,50.00M,4.962B,3.629B,319.00M,,,,,,,5.281B,11.64B,1.208B,1.816B,3.603B,442.00M,1.208B,,-171.00M,6.014B
1998-12,139.00M,,139.00M,673.00M,928.00M,498.00M,,,,96.00M,1.661B,,,18.33B,-7.392B,10.94B,,,,,,,,5.395B,16.33B,17.99B,684.00M,,684.00M,299.00M,983.00M,,,1.474B,1.474B,,,,2.457B,,4.763B,,4.763B,3.701B,3.701B,,,,,1.208B,,9.672B,12.89B,0.00,1.748B,3.603B,207.00M,,,-46.00M,5.098B
1998-09,78.00M,,78.00M,861.00M,1.047B,470.00M,,,,266.00M,1.861B,17.48B,313.00M,17.79B,-6.921B,10.87B,,,,,,,,5.223B,16.10B,17.96B,725.00M,,725.00M,345.00M,1.07B,,,1.625B,1.625B,,,,2.695B,,4.517B,50.00M,4.567B,3.708B,328.00M,,,,,,,4.895B,11.55B,1.208B,1.72B,3.603B,91.00M,1.208B,-37.00M,-37.00M,6.403B
1998-06,115.00M,,115.00M,710.00M,889.00M,393.00M,,,,387.00M,1.784B,17.34B,323.00M,17.66B,-6.761B,10.90B,,,,,,,,5.286B,16.18B,17.97B,592.00M,,592.00M,346.00M,938.00M,,,1.715B,1.715B,,,,2.653B,,4.614B,50.00M,4.664B,3.687B,333.00M,,,,,,,4.997B,11.66B,1.058B,1.675B,3.603B,,1.058B,-27.00M,-27.00M,6.309B
1998-03,77.00M,,77.00M,805.00M,994.00M,316.00M,,,,145.00M,1.532B,17.24B,328.00M,17.57B,-6.606B,10.97B,,,,,,,,5.265B,16.23B,17.76B,613.00M,,613.00M,583.00M,1.196B,,,1.328B,1.328B,,,,2.524B,,4.733B,50.00M,4.783B,3.673B,338.00M,,,,,,,5.121B,11.60B,908.00M,1.679B,3.603B,,908.00M,-21.00M,-21.00M,6.169B
