,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,UnrealizedGainorLoss-Total,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2009-12,,73.60M,,73.60M,1.016B,1.016B,222.90M,293.40M,493.40M,,83.90M,147.20M,1.814B,0.0,28.80M,281.00M,2.379B,,108.40M,69.50M,2.866B,-1.690B,1.176B,1.414B,312.50M,1.727B,,139.60M,154.50M,3.207B,5.021B,360.90M,36.80M,79.60M,,477.30M,311.70M,789.00M,16.20M,82.30M,,98.50M,,98.50M,,,362.70M,1.250B,868.80M,,868.80M,86.70M,86.70M,603.70M,8.70M,201.90M,1.761B,3.011B,329.80M,2.898B,1.179B,2.173B,,,,,-232.90M,2.001B
2009-09,,107.50M,,107.50M,1.013B,1.013B,220.20M,280.60M,474.80M,,93.80M,126.90M,1.816B,0.0,28.10M,353.60M,2.359B,,113.90M,,2.855B,-1.706B,1.149B,1.370B,312.20M,1.682B,,162.20M,164.50M,3.173B,4.989B,367.30M,33.20M,31.00M,-33.20M,398.30M,271.80M,670.10M,,,,121.00M,,121.00M,,,501.80M,1.293B,850.00M,,850.00M,80.20M,80.20M,601.70M,8.20M,194.00M,1.726B,3.019B,329.50M,2.819B,1.154B,2.116B,,,,,-224.60M,1.962B
2009-06,,82.70M,,82.70M,970.60M,970.60M,224.40M,281.20M,476.70M,,97.70M,122.20M,1.750B,0.0,28.70M,345.00M,2.324B,,97.20M,,2.795B,-1.652B,1.143B,1.356B,319.30M,1.676B,,178.00M,168.80M,3.178B,4.928B,343.70M,33.10M,37.20M,,414.00M,253.90M,667.90M,,,,241.80M,,241.80M,,,430.20M,1.340B,842.80M,,842.80M,80.10M,80.10M,665.20M,8.00M,188.20M,1.776B,3.116B,328.40M,2.707B,1.118B,2.105B,,,,,-244.30M,1.804B
2009-03,,79.50M,,79.50M,913.30M,913.30M,219.30M,277.10M,467.60M,,92.60M,130.10M,1.683B,0.0,26.30M,329.60M,2.205B,,91.40M,,2.652B,-1.538B,1.114B,1.261B,317.60M,1.578B,,155.70M,161.40M,3.021B,4.704B,308.90M,33.10M,32.30M,-33.10M,341.20M,213.90M,555.10M,,,,420.60M,,420.60M,,,445.70M,1.421B,797.80M,,797.80M,73.00M,73.00M,636.30M,7.20M,183.20M,1.690B,3.112B,328.00M,2.641B,1.100B,2.105B,,,,,-379.90M,1.585B
2008-12,,66.70M,,66.70M,971.00M,971.00M,232.80M,263.80M,467.20M,,94.70M,91.50M,1.691B,0.0,26.50M,330.60M,2.170B,,125.50M,,2.652B,-1.517B,1.135B,1.268B,326.70M,1.594B,,,336.20M,3.066B,4.757B,359.60M,,46.30M,,405.90M,261.10M,667.00M,,,,338.90M,,338.90M,,,436.00M,1.442B,799.30M,,799.30M,74.20M,74.20M,680.20M,7.40M,182.30M,1.736B,3.178B,328.00M,2.617B,1.090B,2.105B,,,,,-359.10M,1.572B
2008-09,,102.10M,,102.10M,1.101B,1.101B,263.70M,273.90M,500.20M,,91.40M,99.70M,1.894B,0.0,29.10M,338.30M,2.142B,157.60M,139.20M,,2.806B,-1.644B,1.161B,1.392B,355.90M,1.748B,,,310.60M,3.220B,5.114B,394.90M,,,,394.90M,,394.90M,,,,179.00M,,179.00M,,,764.10M,1.338B,859.40M,,859.40M,,,,,683.20M,1.543B,2.881B,327.90M,2.570B,1.078B,1.789B,,,204.70M,-159.10M,45.60M,2.233B
2008-06,,222.00M,,222.00M,1.082B,1.082B,249.20M,267.00M,499.10M,,96.20M,93.10M,1.992B,0.0,30.50M,342.90M,2.147B,148.80M,136.30M,,2.805B,-1.648B,1.157B,1.440B,374.80M,1.814B,,139.70M,251.60M,3.363B,5.356B,399.10M,,,,399.10M,,399.10M,,,,376.10M,,376.10M,,,786.50M,1.562B,876.00M,,876.00M,89.10M,89.10M,,,630.00M,1.595B,3.157B,327.40M,2.476B,1.056B,1.788B,,,293.80M,-166.90M,126.90M,2.199B
2008-03,,219.50M,,219.50M,1.026B,1.026B,237.60M,255.10M,475.70M,,80.80M,88.80M,1.891B,,,,,,,,2.667B,-1.535B,1.132B,1.422B,385.20M,1.808B,,,403.90M,3.343B,5.234B,387.40M,,,,387.40M,,387.40M,,,,444.00M,,444.00M,,,772.80M,1.604B,864.90M,,864.90M,,,,,705.80M,1.571B,3.175B,327.10M,2.369B,1.041B,1.786B,,,275.60M,-167.80M,107.80M,2.059B
2007-12,,137.40M,,137.40M,974.00M,974.00M,224.90M,241.90M,450.80M,,89.40M,65.70M,1.717B,0.0,30.70M,331.90M,2.014B,129.00M,113.00M,,2.618B,-1.535B,1.083B,1.279B,328.90M,1.608B,,,314.00M,3.006B,4.723B,343.70M,,,,343.70M,,343.70M,,,,403.50M,,403.50M,,,771.10M,1.518B,599.90M,,599.90M,86.10M,86.10M,,,582.80M,1.269B,2.787B,326.50M,2.298B,1.015B,1.768B,,,231.20M,-168.10M,63.10M,1.936B
2007-09,,106.80M,,106.80M,969.40M,969.40M,202.20M,209.30M,396.00M,,71.00M,61.80M,1.605B,,,,,,,,2.386B,-1.367B,1.020B,1.086B,229.70M,1.316B,,,322.40M,2.658B,4.263B,316.00M,,,,316.00M,,316.00M,,,,265.30M,,265.30M,,,740.70M,1.322B,569.90M,,569.90M,,,,,669.90M,1.240B,2.562B,325.20M,2.217B,962.20M,1.761B,,,142.30M,-184.60M,-42.30M,1.701B
2007-06,,72.20M,,72.20M,930.80M,930.80M,197.10M,206.20M,387.90M,,80.00M,68.70M,1.540B,,,,,,,,2.354B,-1.367B,987.50M,1.064B,229.40M,1.293B,,,319.90M,2.601B,4.140B,338.10M,,,,338.10M,,338.10M,,,,295.20M,,295.20M,,,654.20M,1.288B,563.90M,,563.90M,,,,,699.30M,1.263B,2.551B,324.40M,2.131B,931.20M,1.739B,,,128.30M,-186.90M,-58.60M,1.590B
2007-03,,54.20M,,54.20M,882.30M,882.30M,179.10M,204.90M,368.90M,,77.60M,74.20M,1.457B,,,,,,,,2.322B,-1.367B,955.80M,1.037B,228.70M,1.266B,,,314.90M,2.536B,3.993B,327.10M,,,,327.10M,,327.10M,,,,234.40M,,234.40M,,,588.30M,1.150B,557.30M,,557.30M,,,,,684.90M,1.242B,2.392B,323.60M,2.049B,902.20M,1.585B,,,98.90M,-187.70M,-88.80M,1.601B
2006-12,,484.00M,,484.00M,867.60M,867.60M,180.60M,199.50M,364.90M,,86.90M,50.20M,1.854B,0.0,30.90M,306.80M,1.836B,72.90M,72.10M,,2.318B,-1.367B,951.60M,1.036B,223.80M,1.260B,,,354.50M,2.566B,4.419B,330.90M,,,,330.90M,,330.90M,,,,509.00M,,509.00M,,,662.90M,1.503B,557.10M,,557.10M,92.50M,92.50M,,,586.80M,1.236B,2.739B,322.60M,1.983B,868.10M,1.397B,,,102.40M,-198.90M,-96.50M,1.680B
2006-09,,54.19M,,54.19M,866.21M,866.21M,177.27M,191.49M,354.22M,,65.10M,66.56M,1.406B,,,,,,,,2.078B,-1.203B,874.79M,1.022B,222.75M,1.245B,,,480.92M,2.601B,4.007B,310.60M,,,,310.60M,,310.60M,,,,190.01M,,190.01M,,,645.37M,1.146B,542.95M,,542.95M,,,,,554.84M,1.098B,2.244B,321.86M,1.925B,833.59M,1.368B,,,,,50.51M,1.763B
2006-06,,105.88M,,105.88M,831.76M,831.76M,175.41M,187.07M,348.12M,,62.72M,69.88M,1.418B,,,,,,,,2.068B,-1.203B,864.89M,977.38M,200.40M,1.178B,,,450.24M,2.493B,3.911B,274.80M,,,,274.80M,,274.80M,,,,262.60M,,262.60M,,,603.75M,1.141B,544.85M,,544.85M,,,,,527.29M,1.072B,2.213B,320.83M,1.840B,797.98M,1.308B,,,,,47.17M,1.698B
2006-03,,62.93M,,62.93M,769.70M,769.70M,168.02M,187.68M,341.56M,,65.07M,70.16M,1.309B,,,,,,,,2.045B,-1.203B,841.98M,944.80M,198.74M,1.144B,,,453.38M,2.439B,3.748B,266.64M,,,,266.64M,,266.64M,,,,191.62M,,191.62M,,,568.95M,1.027B,522.38M,,522.38M,,,,,510.36M,1.033B,2.060B,320.03M,1.772B,768.99M,1.198B,,,,,25.84M,1.688B
2005-12,,104.38M,125.06M,229.44M,743.52M,743.52M,161.49M,177.57M,325.57M,,65.88M,57.25M,1.422B,0.0,32.16M,283.49M,1.690B,68.06M,42.24M,,2.116B,-1.248B,868.05M,937.02M,202.94M,1.140B,,42.62M,324.34M,2.375B,3.797B,277.64M,,,,277.64M,,277.64M,,,,226.93M,,226.93M,,,614.80M,1.119B,519.37M,,519.37M,80.76M,80.76M,,,427.93M,1.028B,2.147B,318.60M,1.719B,727.43M,1.126B,,,,,9.764M,1.649B
2005-09,,165.31M,,165.31M,801.98M,801.98M,170.26M,177.14M,337.52M,,73.84M,68.91M,1.448B,,,,,,,,2.052B,-1.214B,837.85M,,1.179B,1.179B,,,364.64M,2.381B,3.829B,264.20M,,,,264.20M,,264.20M,,,,169.53M,,169.53M,,,632.33M,1.066B,539.02M,,539.02M,,,,,579.18M,1.118B,2.184B,317.97M,1.784B,551.16M,1.039B,,,,,30.67M,1.644B
2005-06,,110.02M,,110.02M,767.61M,767.61M,172.29M,172.45M,334.82M,,73.96M,69.17M,1.356B,,,,,,,,2.047B,-1.214B,833.02M,,1.177B,1.177B,,,364.98M,2.375B,3.730B,249.44M,,,,249.44M,,249.44M,,,,230.53M,,230.53M,,,588.42M,1.068B,537.91M,,537.91M,,,,,571.26M,1.109B,2.178B,317.40M,1.702B,538.16M,1.032B,,,,,26.64M,1.553B
2005-03,,83.45M,,83.45M,767.86M,767.86M,176.67M,179.41M,345.92M,,75.82M,73.96M,1.347B,,,,,,,,2.053B,-1.214B,838.76M,,1.232B,1.232B,,,380.07M,2.451B,3.798B,257.93M,,,,257.93M,,257.93M,,,,276.28M,,276.28M,,,580.69M,1.115B,566.64M,,566.64M,,,,,585.22M,1.152B,2.267B,317.13M,1.638B,532.00M,1.031B,,,,,75.59M,1.532B
2004-12,,71.23M,,71.23M,738.27M,738.27M,176.34M,167.79M,338.60M,,76.04M,54.93M,1.279B,0.0,34.47M,272.93M,1.705B,,37.11M,,2.049B,-1.214B,834.73M,,1.221B,1.221B,,,381.47M,2.437B,3.716B,269.56M,,,,269.56M,,269.56M,,,,56.13M,,56.13M,,,613.85M,939.55M,645.44M,,645.44M,,,,,568.66M,1.214B,2.154B,315.74M,1.586B,501.81M,912.74M,,,,,71.75M,1.563B
2004-09,,72.10M,,72.10M,739.06M,739.06M,173.29M,156.04M,325.95M,,75.98M,53.46M,1.267B,,,,,,,,1.878B,-1.095B,783.21M,,1.157B,1.157B,,,343.11M,2.283B,3.549B,251.92M,,,,251.92M,,251.92M,,,,83.31M,,83.31M,,,632.76M,967.99M,611.38M,,611.38M,,,,,499.52M,1.111B,2.079B,313.94M,1.537B,459.55M,851.65M,,,,,11.38M,1.471B
2004-06,,41.25M,,41.25M,676.16M,676.16M,163.89M,161.96M,322.45M,,76.36M,64.39M,1.181B,,,,,,,,1.867B,-1.095B,771.96M,,1.119B,1.119B,,,341.06M,2.232B,3.413B,226.16M,,,,226.16M,,226.16M,,,,100.98M,,100.98M,,,582.29M,909.43M,611.38M,,611.38M,,,,,497.30M,1.109B,2.018B,311.80M,1.463B,398.26M,788.72M,,,,,10.38M,1.395B
2004-03,,46.32M,,46.32M,666.10M,666.10M,160.86M,169.41M,326.95M,,76.68M,69.22M,1.185B,,,,,,,,1.868B,-1.095B,773.27M,,1.139B,1.139B,,,354.06M,2.266B,3.451B,223.88M,,,,223.88M,,223.88M,,,,170.25M,,170.25M,,,580.97M,975.09M,620.64M,,620.64M,,,,,509.78M,1.130B,2.106B,311.07M,1.405B,383.56M,782.32M,,,,,28.04M,1.346B
2003-12,,85.63M,,85.63M,626.00M,626.00M,152.13M,159.63M,309.96M,,75.82M,52.93M,1.150B,0.0,26.92M,243.80M,1.539B,,21.49M,,1.831B,-1.095B,736.80M,,1.001B,1.001B,,,340.71M,2.079B,3.229B,212.29M,,,,212.29M,,212.29M,,,,70.20M,,70.20M,,,569.45M,851.94M,604.44M,,604.44M,,,,,477.11M,1.082B,1.933B,310.28M,1.360B,369.02M,747.44M,,,,,3.688M,1.295B
2003-09,,66.96M,,66.96M,649.84M,649.84M,164.49M,151.70M,313.67M,,73.92M,51.49M,1.156B,,,,,,,,1.631B,-938.07M,693.36M,,942.83M,942.83M,,,272.77M,1.909B,3.065B,209.53M,,,,209.53M,,209.53M,,,,75.38M,,75.38M,,,584.50M,869.40M,573.96M,,573.96M,,,,,389.64M,963.60M,1.833B,309.86M,1.313B,360.46M,719.24M,,,,,-32.28M,1.232B
2003-06,,30.57M,,30.57M,644.29M,644.29M,170.77M,158.05M,325.99M,,78.87M,60.24M,1.140B,,,,,,,,1.646B,-938.07M,708.14M,780.31M,210.54M,990.84M,,,282.00M,1.981B,3.121B,222.17M,,,,222.17M,,222.17M,,,,97.51M,,97.51M,,,550.61M,870.28M,601.98M,,601.98M,,,,,396.32M,998.30M,1.869B,309.57M,1.244B,354.66M,649.81M,,,,,-6.395M,1.252B
2003-03,,56.55M,,56.55M,594.43M,594.43M,157.72M,156.20M,311.08M,,75.28M,62.30M,1.100B,,,,,,,,1.633B,-938.07M,694.73M,,939.11M,939.11M,,,291.70M,1.926B,3.025B,207.30M,,,,207.30M,,207.30M,,,,164.23M,,164.23M,,,513.13M,884.67M,569.30M,,569.30M,,,,,373.28M,942.57M,1.827B,152.85M,1.196B,422.40M,529.31M,,,,,-44.09M,1.198B
2002-12,,49.20M,,49.20M,553.15M,553.15M,156.63M,136.72M,291.51M,,71.15M,50.92M,1.016B,0.0,21.91M,231.12M,1.346B,,18.83M,,1.618B,-938.07M,680.26M,695.70M,188.67M,884.37M,,,285.34M,1.850B,2.866B,205.66M,,,,205.66M,,205.66M,,,,160.10M,,160.10M,,,488.06M,853.83M,539.74M,,539.74M,,,,,372.58M,912.33M,1.766B,151.95M,1.160B,386.21M,520.25M,,,74.54M,-152.36M,-77.82M,1.100B
2002-09,,95.46M,,95.46M,571.41M,571.41M,167.40M,131.03M,296.30M,,60.10M,49.36M,1.073B,,,,,,,,1.473B,-815.31M,657.82M,,832.57M,832.57M,,,202.57M,1.693B,2.766B,205.39M,,,,205.39M,,205.39M,,,,132.35M,,132.35M,,,504.61M,842.35M,539.64M,,539.64M,,,,,330.91M,870.54M,1.713B,151.45M,1.127B,369.43M,520.31M,,,,,-75.32M,1.053B
2002-06,,50.79M,,50.79M,554.78M,554.78M,161.62M,128.38M,288.04M,,58.19M,44.26M,996.07M,,,,,,,,1.465B,-815.31M,650.06M,,808.08M,808.08M,,,197.42M,1.656B,2.652B,195.16M,,,,195.16M,,195.16M,,,,174.56M,,174.56M,,,470.42M,840.13M,525.25M,,525.25M,,,,,314.27M,839.52M,1.680B,151.10M,1.073B,357.95M,512.75M,,,,,-97.15M,971.98M
2002-03,,30.23M,,30.23M,539.35M,539.35M,155.44M,124.77M,278.30M,,54.69M,44.68M,947.25M,,,,,,,,1.451B,-815.31M,636.06M,,769.31M,769.31M,,,192.59M,1.598B,2.545B,194.70M,,,,194.70M,,194.70M,,,,211.01M,,211.01M,,,425.12M,830.82M,505.92M,,505.92M,,,,,298.10M,804.01M,1.635B,150.78M,1.043B,348.62M,511.32M,,,,,-120.29M,910.37M
2001-12,,41.79M,,41.79M,514.07M,514.07M,156.75M,124.66M,279.78M,,53.78M,40.15M,929.58M,0.0,20.35M,221.05M,1.196B,,22.22M,,1.460B,-815.31M,644.32M,,775.88M,775.88M,,,175.22M,1.595B,2.525B,199.77M,,,,199.77M,,199.77M,,,,233.39M,,233.39M,,,394.79M,827.95M,512.28M,,512.28M,,,,,304.42M,816.70M,1.645B,149.73M,1.021B,319.45M,510.58M,,,-95.04M,-4.262M,-99.30M,880.35M
2001-09,,89.84M,,89.84M,382.72M,382.72M,94.98M,79.41M,171.70M,,49.59M,12.15M,706.01M,,,,,,,,1.077B,-553.90M,523.46M,,,,,,630.44M,1.154B,1.860B,136.14M,,,,136.14M,,136.14M,,,,133.14M,,133.14M,,,280.57M,549.85M,246.71M,,246.71M,,,,,200.80M,447.50M,997.35M,149.67M,1.000B,316.67M,510.38M,,,-88.26M,-5.141M,-93.41M,862.57M
2001-06,,53.14M,,53.14M,364.25M,364.25M,95.02M,80.59M,172.96M,,49.56M,14.89M,654.80M,,,,,,,,1.073B,-553.90M,518.87M,,,,,,604.10M,1.123B,1.778B,129.36M,,,,129.36M,,129.36M,,,,134.97M,,134.97M,,,262.39M,526.72M,245.89M,,245.89M,,,,,188.48M,434.37M,961.08M,149.16M,959.37M,305.68M,492.93M,,,-98.65M,-5.947M,-104.60M,816.69M
2001-03,,38.69M,,38.69M,358.92M,358.92M,93.95M,80.85M,172.22M,,50.59M,13.75M,634.17M,,,,,,,,1.061B,-553.90M,506.96M,,,,,,620.82M,1.128B,1.762B,123.92M,,,,123.92M,,123.92M,,,,138.94M,,138.94M,,,269.00M,531.86M,237.19M,,237.19M,,,,,198.54M,435.73M,967.58M,148.86M,927.80M,295.00M,488.49M,,,-81.64M,-7.156M,-88.80M,794.37M
2000-12,,43.96M,,43.96M,326.94M,326.94M,96.43M,74.39M,168.22M,,50.71M,10.74M,600.57M,0.0,12.44M,174.65M,846.22M,,22.24M,,1.056B,-553.90M,501.64M,,307.06M,307.06M,,,304.75M,1.113B,1.714B,146.43M,,,,146.43M,,146.43M,,,,136.59M,,136.59M,,,249.01M,532.03M,234.38M,,234.38M,,,,,190.59M,424.97M,957.00M,148.17M,899.96M,283.59M,477.74M,,,-89.08M,-7.895M,-96.97M,757.01M
2000-09,,45.08M,,45.08M,,358.10M,,,183.49M,,,57.95M,644.61M,,,,,,,,1.032B,-549.16M,482.92M,,,,,,596.86M,1.080B,1.724B,139.43M,,,,139.43M,,139.43M,,,,234.31M,,234.31M,,,260.99M,634.74M,161.72M,,161.72M,,,,,182.71M,344.43M,979.17M,147.04M,861.70M,258.97M,434.46M,,,-78.77M,-9.265M,-88.04M,745.21M
2000-06,,30.13M,,30.13M,,325.54M,,,172.81M,,,57.75M,586.24M,,,,,,,,1.003B,-531.98M,470.76M,,,,,,589.47M,1.060B,1.646B,127.93M,,,,127.93M,,127.93M,,,,189.18M,,189.18M,,,244.82M,561.93M,161.80M,,161.80M,,,,,172.08M,333.88M,895.81M,146.64M,816.65M,249.18M,379.03M,,,,,-82.77M,750.66M
2000-03,,22.76M,,22.76M,,311.46M,,,184.18M,,,57.62M,576.02M,,,,,,,,970.88M,-518.98M,451.90M,,299.61M,299.61M,,,305.22M,1.057B,1.633B,118.50M,,,,118.50M,,118.50M,,,,139.99M,,139.99M,,,237.31M,495.80M,171.38M,,171.38M,,,,,177.28M,348.67M,844.47M,146.10M,783.63M,238.89M,299.10M,,,,,-81.23M,788.29M
1999-12,,47.70M,,47.70M,299.80M,299.80M,,,176.40M,,,53.40M,577.30M,,,,,,,,957.20M,-509.10M,448.10M,,249.70M,249.70M,,,310.80M,1.009B,1.586B,122.70M,,,,122.70M,,122.70M,,,,112.10M,,112.10M,,,235.90M,470.70M,169.00M,,169.00M,,,,,184.20M,353.20M,823.90M,145.60M,756.60M,223.30M,290.40M,,,,,-73.10M,762.00M
1999-09,,26.50M,,26.50M,,336.40M,,,169.40M,,,52.20M,584.50M,,,,,,,,941.60M,-501.80M,439.80M,,259.70M,259.70M,,,299.00M,998.50M,1.583B,136.10M,,,,136.10M,,136.10M,,,,102.90M,,102.90M,,,240.70M,479.70M,184.30M,,184.30M,,,,,172.90M,357.20M,836.90M,,731.10M,,,,,,,15.00M,746.10M
1999-06,,29.90M,,29.90M,,300.70M,,,171.00M,,,53.20M,554.80M,,,,,,,,914.30M,-482.80M,431.50M,,,,,,548.40M,979.90M,1.535B,128.70M,,,,128.70M,,128.70M,,,,91.70M,,91.70M,,,206.50M,426.90M,237.60M,,237.60M,,,,,161.50M,399.10M,826.00M,,688.40M,,,,,,,,708.70M
1999-03,,25.40M,,25.40M,,282.00M,,,165.50M,,,65.10M,538.00M,,,,,,,,885.30M,-465.60M,419.70M,,,,,,561.30M,981.00M,1.519B,123.00M,,,,123.00M,,123.00M,,,,78.30M,,78.30M,,,220.30M,421.60M,247.80M,,247.80M,,,,,160.70M,408.50M,830.10M,,673.50M,,,,,,,,688.90M
1998-12,,28.40M,,28.40M,,246.70M,,,165.60M,,,62.80M,503.50M,,,,,,,,875.00M,-454.80M,420.20M,,165.60M,165.60M,,,381.70M,967.50M,1.471B,124.60M,,,,124.60M,,124.60M,,,,68.00M,,68.00M,,,207.20M,399.80M,227.00M,,227.00M,,,,,153.70M,380.70M,780.50M,,638.50M,,,,,,,,690.50M
1998-09,,42.40M,,42.40M,,260.70M,,,159.60M,,,57.90M,520.60M,,,,,,,,857.50M,-451.20M,406.30M,,,,,,519.20M,925.50M,1.446B,121.40M,,,,121.40M,,121.40M,,,,104.40M,,104.40M,,,218.50M,444.30M,192.00M,,192.00M,,,,,154.60M,346.60M,790.90M,,655.40M,,,,,,,,655.20M
1998-06,,27.20M,,27.20M,,247.80M,,,153.30M,,,71.00M,499.30M,,,,,,,,833.40M,-436.90M,396.50M,,214.90M,214.90M,,,288.10M,899.50M,1.399B,116.70M,,,,116.70M,,116.70M,,,,88.80M,,88.80M,,,207.30M,412.80M,240.40M,,240.40M,,,,,178.50M,418.90M,831.70M,,538.80M,,,,,,,,567.10M
1998-03,,18.60M,,18.60M,,242.70M,,,153.80M,,,73.80M,488.90M,,,,,,,,812.10M,-426.60M,385.50M,,221.20M,221.20M,,,292.10M,898.80M,1.388B,118.10M,,,,118.10M,,118.10M,,,,57.60M,,57.60M,,,214.80M,390.50M,248.00M,,248.00M,,,,,203.80M,451.80M,842.30M,,513.30M,,,,,,,,545.40M
