,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2005-06,1.00B,,-9.00M,-161.00M,,-170.00M,1.809B,1.809B,-232.00M,,0.00,530.00M,89.00M,501.00M,83.00M,,,673.00M,3.784B,-1.279B,,596.00M,34.00M,0.00,-649.00M,-465.00M,-1.643B,-2.108B,251.00M,-235.00M,16.00M,,,,-1.064B,-1.064B,0.00,-3.156B,427.00M,-21.00M,406.00M,251.00M,-761.00M,-1.347B,-235.00M
2005-03,885.00M,,-66.00M,74.00M,,8.00M,1.825B,1.825B,-43.00M,,-3.00M,-65.00M,128.00M,-1.624B,-97.00M,,,-1.593B,1.253B,-1.05B,,500.00M,64.00M,37.00M,-449.00M,-572.00M,761.00M,189.00M,47.00M,,47.00M,,,,-1.066B,-1.066B,3.00M,-827.00M,760.00M,-23.00M,427.00M,47.00M,761.00M,-572.00M,
2004-12,688.00M,,-39.00M,314.00M,,275.00M,1.864B,1.864B,-960.00M,,-3.00M,-421.00M,357.00M,1.512B,-107.00M,,,1.762B,3.417B,-1.637B,,-21.34B,105.00M,0.00,-22.87B,4.716B,4.008B,8.724B,65.00M,-448.00M,-383.00M,,,,-1.036B,-1.036B,3.00M,7.308B,13.29B,-12.14B,760.00M,65.00M,8.372B,352.00M,-448.00M
2004-09,1.245B,,-51.00M,-185.00M,,-236.00M,1.889B,1.889B,707.00M,,-2.00M,-1.543B,-305.00M,-69.00M,-5.00M,,,-379.00M,1.842B,-1.324B,,104.00M,157.00M,0.00,-1.063B,1.048B,-575.00M,473.00M,58.00M,0.00,58.00M,,,,-1.036B,-1.036B,2.00M,-503.00M,11.59B,276.00M,13.29B,58.00M,1.487B,-1.014B,0.00
2004-06,1.135B,,40.00M,-175.00M,,-135.00M,1.888B,1.888B,409.00M,,,165.00M,80.00M,-49.00M,43.00M,,,74.00M,3.693B,-1.202B,,2.991B,51.00M,0.00,1.84B,-42.00M,-35.00M,-77.00M,30.00M,0.00,30.00M,,,,-1.035B,-1.035B,,-1.082B,7.081B,4.451B,11.59B,30.00M,,-77.00M,0.00
2004-03,1.911B,,-889.00M,-496.00M,,-1.385B,1.923B,1.923B,458.00M,,,-271.00M,150.00M,-986.00M,-33.00M,,,-869.00M,1.998B,-936.00M,,2.179B,51.00M,50.00M,1.344B,-142.00M,0.00,-142.00M,63.00M,,63.00M,,,,-1.034B,-1.034B,,-1.113B,4.806B,2.229B,7.081B,63.00M,,-142.00M,
2003-12,881.00M,,-97.00M,-52.00M,,-149.00M,1.945B,1.945B,2.332B,,,-454.00M,-1.945B,657.00M,137.00M,,,-1.151B,3.549B,-1.984B,,735.00M,-626.00M,,-1.875B,-322.00M,-1.00M,-323.00M,39.00M,-191.00M,-152.00M,,,,-1.268B,-1.268B,,-1.742B,4.94B,-68.00M,4.806B,39.00M,0.00,-323.00M,-191.00M
2003-09,1.128B,,-31.00M,-320.00M,,-351.00M,1.952B,1.952B,465.00M,,,-211.00M,-649.00M,530.00M,62.00M,,,-57.00M,3.05B,-1.266B,,-343.00M,13.00M,,-1.596B,-330.00M,1.00M,-329.00M,21.00M,-299.00M,-278.00M,,,,-1.272B,-1.272B,,-1.879B,5.139B,-425.00M,4.94B,21.00M,0.00,-329.00M,-299.00M
2003-06,1.388B,,-73.00M,-248.00M,,-321.00M,1.977B,1.977B,419.00M,,,-1.042B,162.00M,1.382B,-87.00M,,,1.457B,4.172B,-1.072B,,350.00M,-280.00M,,-1.002B,-1.655B,-127.00M,-1.782B,21.00M,,21.00M,,,,-1.102B,-1.102B,,-2.863B,4.832B,307.00M,5.139B,21.00M,,-1.782B,
2003-03,4.996B,,-1.574B,-345.00M,,-1.919B,1.996B,1.996B,206.00M,,,-2.835B,311.00M,-276.00M,-126.00M,,,-91.00M,2.635B,-897.00M,,2.27B,-5.00M,,1.368B,-841.00M,-1.021B,-1.862B,21.00M,,21.00M,,,,-897.00M,-897.00M,,-2.738B,3.567B,1.265B,4.832B,21.00M,,-1.862B,
2002-12,2.243B,,-478.00M,-186.00M,,-664.00M,2.138B,2.138B,1.641B,,,-564.00M,-487.00M,-445.00M,222.00M,,,-710.00M,4.394B,-1.81B,,3.022B,1.00M,,1.213B,-349.00M,-1.684B,-2.033B,21.00M,-58.00M,-37.00M,,,,-897.00M,-897.00M,-63.00M,-2.987B,873.00M,2.62B,3.571B,64.00M,338.00M,-2.371B,-58.00M
2002-09,1.709B,,-19.00M,-715.00M,,-734.00M,2.148B,2.148B,244.00M,,,123.00M,-150.00M,412.00M,80.00M,,,342.00M,4.109B,-1.502B,,464.00M,0.00,,-1.038B,459.00M,-2.164B,-1.705B,29.00M,-175.00M,-146.00M,,,,-898.00M,-898.00M,8.00M,-2.741B,543.00M,330.00M,873.00M,29.00M,738.00M,-2.443B,-175.00M
2002-06,1.782B,,-207.00M,-301.00M,,-508.00M,2.156B,2.156B,170.00M,,,59.00M,-586.00M,480.00M,386.00M,,,280.00M,4.371B,-1.731B,,316.00M,0.00,,-1.415B,-201.00M,-1.574B,-1.775B,65.00M,-630.00M,-565.00M,,,,-902.00M,-902.00M,-1.00M,-3.243B,830.00M,-287.00M,543.00M,65.00M,530.00M,-2.305B,-630.00M
2002-03,-193.00M,,-90.00M,-384.00M,,-474.00M,2.136B,2.136B,389.00M,,,1.931B,693.00M,-2.366B,-216.00M,,,-1.889B,2.262B,-1.765B,,-323.00M,0.00,,-2.088B,843.00M,531.00M,1.374B,32.00M,-593.00M,-561.00M,,,,-860.00M,-860.00M,,-47.00M,703.00M,127.00M,830.00M,32.00M,5.263B,-3.889B,-593.00M
2001-12,1.011B,,-197.00M,-78.00M,,-275.00M,2.255B,2.255B,1.118B,,,761.00M,-535.00M,-1.159B,405.00M,,,-1.289B,4.079B,-3.093B,,-55.00M,0.00,1.00M,-3.147B,-921.00M,1.667B,746.00M,46.00M,-407.00M,-361.00M,,-325.00M,-325.00M,-865.00M,-865.00M,14.00M,-791.00M,562.00M,141.00M,703.00M,46.00M,3.121B,-2.375B,-732.00M
2001-09,2.072B,,-77.00M,-453.00M,,-530.00M,2.20B,2.20B,192.00M,,,-386.00M,-473.00M,798.00M,-35.00M,,,290.00M,4.149B,-2.352B,,495.00M,0.00,,-1.857B,-692.00M,-687.00M,-1.379B,145.00M,-196.00M,-51.00M,,-145.00M,-145.00M,-864.00M,-864.00M,60.00M,-2.379B,649.00M,-87.00M,562.00M,145.00M,1.68B,-3.059B,-341.00M
2001-06,2.071B,,-95.00M,-440.00M,,-535.00M,2.174B,2.174B,-16.00M,,,406.00M,-238.00M,465.00M,-45.00M,,,182.00M,4.627B,-2.937B,,449.00M,0.00,-1.00M,-2.489B,51.00M,-318.00M,-267.00M,42.00M,-400.00M,-358.00M,,-500.00M,-500.00M,-868.00M,-868.00M,-47.00M,-2.04B,551.00M,98.00M,649.00M,42.00M,4.174B,-4.441B,-900.00M
2001-03,1.854B,,-129.00M,216.00M,,87.00M,2.448B,2.448B,633.00M,,,-1.022B,574.00M,-2.468B,-386.00M,,,-2.28B,1.95B,-2.807B,,1.402B,510.00M,1.00M,-894.00M,1.258B,-84.00M,1.174B,90.00M,-1.065B,-975.00M,,-500.00M,-500.00M,-859.00M,-859.00M,12.00M,-1.148B,643.00M,-92.00M,551.00M,90.00M,2.238B,-1.064B,-1.565B
2000-12,1.128B,,-732.00M,-177.00M,,-909.00M,2.805B,2.805B,45.00M,,,280.00M,-524.00M,-37.00M,267.00M,,,-294.00M,3.336B,-3.922B,,1.19B,-6.00M,-1.00M,-2.739B,-224.00M,891.00M,667.00M,425.00M,-798.00M,-373.00M,,0.00,0.00,-858.00M,-858.00M,65.00M,-499.00M,545.00M,98.00M,643.00M,425.00M,874.00M,-207.00M,-798.00M
2000-09,2.999B,,-1.954B,-202.00M,,-2.156B,2.363B,2.363B,420.00M,,,-227.00M,-793.00M,1.541B,-342.00M,,,406.00M,3.994B,-3.861B,,1.854B,-533.00M,,-2.54B,-54.00M,-326.00M,-380.00M,135.00M,-565.00M,-430.00M,,0.00,0.00,-862.00M,-862.00M,-50.00M,-1.722B,813.00M,-268.00M,545.00M,135.00M,-253.00M,-127.00M,-565.00M
2000-06,1.851B,,-25.00M,10.00M,,-15.00M,2.317B,2.317B,189.00M,,,-395.00M,-983.00M,482.00M,137.00M,,,-364.00M,3.787B,-2.992B,,1.00M,0.00,-1.00M,-2.992B,763.00M,-263.00M,500.00M,112.00M,-608.00M,-496.00M,,0.00,0.00,-864.00M,-864.00M,21.00M,-839.00M,857.00M,-44.00M,813.00M,112.00M,768.00M,-268.00M,-608.00M
2000-03,1.822B,,-191.00M,-152.00M,,-343.00M,2.263B,2.263B,334.00M,,,-657.00M,408.00M,-581.00M,-508.00M,,,-681.00M,2.949B,-2.349B,,-3.551B,0.00,1.00M,-5.899B,-526.00M,4.867B,4.341B,60.00M,-284.00M,-224.00M,,0.00,0.00,-834.00M,-834.00M,29.00M,3.312B,495.00M,362.00M,857.00M,60.00M,4.867B,-526.00M,-284.00M
1999-12,3.106B,,-67.00M,-128.00M,,-195.00M,2.175B,2.175B,378.00M,,,-2.444B,-787.00M,2.325B,305.00M,,,1.843B,5.175B,-3.298B,,3.00B,25.00M,0.00,-273.00M,-161.00M,-3.001B,-3.162B,127.00M,-1.148B,-1.021B,100.00M,,100.00M,-823.00M,-823.00M,,-4.939B,532.00M,-37.00M,495.00M,227.00M,-2.214B,-948.00M,-1.148B
1999-09,1.135B,,-268.00M,-193.00M,,-461.00M,2.443B,2.443B,315.00M,,,827.00M,-345.00M,-562.00M,33.00M,,,-874.00M,3.806B,-2.523B,,-1.112B,-25.00M,0.00,-3.66B,-1.734B,1.702B,-32.00M,128.00M,-21.00M,107.00M,0.00,,0.00,-829.00M,-829.00M,,-754.00M,1.14B,-608.00M,532.00M,128.00M,1.702B,-1.734B,-21.00M
1999-06,1.938B,,,5.00M,,5.00M,1.993B,1.993B,260.00M,,,-714.00M,401.00M,291.00M,-3.00M,,,689.00M,4.368B,-2.344B,,-3.088B,0.00,1.00M,-5.431B,455.00M,1.163B,1.618B,201.00M,0.00,201.00M,0.00,,0.00,-830.00M,-830.00M,,989.00M,1.214B,-74.00M,1.14B,201.00M,1.245B,373.00M,0.00
1999-03,1.98B,,,-155.00M,,-155.00M,1.942B,1.942B,23.00M,,,-671.00M,,,,,,,3.325B,-2.139B,,824.00M,5.00M,1.00M,-1.309B,-123.00M,-651.00M,-774.00M,175.00M,0.00,175.00M,3.00M,,3.00M,-805.00M,-805.00M,,-1.401B,599.00M,615.00M,1.214B,178.00M,5.00M,-779.00M,0.00
1998-12,4.423B,,,-230.00M,,-2.445B,4.164B,4.164B,454.00M,,,578.00M,,,,,,,6.925B,-4.691B,,-1.29B,30.00M,5.00M,-5.946B,655.00M,-392.00M,263.00M,539.00M,-1.00M,538.00M,,,,-1.781B,-1.781B,,-1.42B,801.00M,-441.00M,599.00M,861.00M,2.496B,-2.233B,-1.00M
1998-09,1.262B,,,-22.00M,,-22.00M,1.241B,1.241B,221.00M,,,-519.00M,,,,,,,2.305B,-1.46B,2.731B,591.00M,55.00M,3.00M,-811.00M,-196.00M,-428.00M,-624.00M,88.00M,-329.00M,-241.00M,,,,-455.00M,-455.00M,,-1.32B,627.00M,174.00M,801.00M,88.00M,-230.00M,-394.00M,-329.00M
1998-06,1.02B,,,4.00M,,4.00M,1.235B,1.235B,-62.00M,,,217.00M,,,,,,,2.538B,-1.556B,-2.731B,-6.00M,84.00M,1.00M,-1.477B,-36.00M,-572.00M,-608.00M,41.00M,-97.00M,-56.00M,,,,-458.00M,-458.00M,,-1.122B,688.00M,-61.00M,627.00M,41.00M,-568.00M,-40.00M,-97.00M
