,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2002-06,10.36B,10.84B,4.094B,6.749B,2.429B,,,340.00M,148.00M,-192.00M,4.585B,2.164B,148.00M,340.00M,-192.00M,659.00M,-192.00M,2.631B,849.00M,1.782B,,,,,1.782B,1.782B,5.127B,2.156B,2.971B,0.53,,,,0.53,0.53,0.53,,,,0.53,0.53,3.333B,3.352B,0.27
2002-03,10.04B,10.52B,3.912B,6.61B,2.292B,,,350.00M,142.00M,-208.00M,4.428B,2.182B,142.00M,350.00M,-208.00M,453.00M,-208.00M,2.427B,800.00M,1.627B,,,,,-193.00M,1.627B,4.913B,2.136B,2.777B,0.4861,,,-0.5438,0.4861,-0.06,0.4832,,,-0.5438,0.4832,-0.06,3.347B,3.371B,0.27
2001-12,11.21B,11.90B,-1.685B,13.59B,,,,338.00M,167.00M,-171.00M,11.64B,1.95B,167.00M,338.00M,-171.00M,-133.00M,-171.00M,1.646B,653.00M,993.00M,,18.00M,,,1.011B,993.00M,4.239B,2.255B,1.984B,0.2961,,0.0,,0.2961,0.3,0.2946,,0.0053,,0.2946,0.3,3.36B,3.387B,0.5126
2001-09,10.72B,11.34B,6.316B,5.022B,,,,377.00M,144.00M,-233.00M,2.20B,2.822B,144.00M,377.00M,-233.00M,608.00M,-233.00M,3.197B,1.125B,2.072B,,,,,2.072B,2.072B,5.774B,2.20B,3.574B,0.62,,,,0.62,0.62,0.61,,,,0.61,0.61,3.362B,3.39B,0.2563
2001-06,10.86B,11.48B,6.226B,5.251B,,,,425.00M,193.00M,-232.00M,2.174B,3.077B,193.00M,425.00M,-232.00M,377.00M,-232.00M,3.222B,1.143B,2.079B,,-8.00M,,,2.071B,2.079B,5.821B,2.174B,3.647B,0.6175,,0.0,,0.6175,0.62,0.6127,,-0.0024,,0.6127,0.61,3.367B,3.395B,0.2563
2001-03,9.838B,11.19B,6.083B,5.107B,,,,459.00M,178.00M,-281.00M,2.448B,2.659B,178.00M,459.00M,-281.00M,507.00M,-281.00M,2.885B,1.021B,1.864B,,-10.00M,,,1.854B,1.864B,5.792B,2.448B,3.344B,0.552,,0.0,0.0,0.552,0.55,0.5464,,-0.003,0.0,0.5464,0.54,3.377B,3.413B,0.2563
2000-12,13.04B,12.21B,7.853B,4.355B,,,,398.00M,213.00M,-185.00M,2.805B,1.55B,213.00M,398.00M,-185.00M,673.00M,-185.00M,2.038B,910.00M,1.128B,,,,,1.128B,1.128B,5.241B,2.805B,2.436B,0.3336,,,,0.3336,0.33,0.3242,,,,0.3242,0.32,3.389B,3.439B,0.2538
2000-09,11.64B,13.42B,8.213B,5.209B,,,,422.00M,32.00M,-390.00M,2.363B,2.846B,32.00M,422.00M,-390.00M,2.248B,-390.00M,4.704B,1.705B,2.999B,,0.00,,,2.999B,2.999B,7.489B,2.363B,5.126B,0.8854,,0.0,,0.8854,0.89,0.8759,,0.0,,0.8759,0.88,3.387B,3.425B,0.2537
2000-06,11.52B,13.19B,7.876B,5.315B,,,,416.00M,10.00M,-406.00M,2.317B,2.998B,10.00M,416.00M,-406.00M,321.00M,-406.00M,2.913B,1.062B,1.851B,,0.00,,,1.851B,1.851B,5.646B,2.317B,3.329B,0.5451,,0.0,,0.5451,0.54,0.539,,0.0,,0.539,0.54,3.396B,3.438B,0.2538
2000-03,10.97B,12.55B,7.214B,5.339B,,,,356.00M,24.00M,-332.00M,2.263B,3.076B,24.00M,356.00M,-332.00M,217.00M,-332.00M,2.961B,1.139B,1.822B,,0.00,,,1.822B,1.822B,5.58B,2.263B,3.317B,0.5365,,0.0,,0.5365,0.54,0.5312,,0.0,,0.5312,0.53,3.396B,3.432B,0.2538
1999-12,11.28B,12.91B,7.873B,5.033B,,,,361.00M,,-234.00M,2.175B,2.858B,,361.00M,-234.00M,113.00M,-234.00M,2.737B,1.01B,1.727B,,,,,3.106B,1.727B,5.273B,2.175B,3.098B,0.5074,,,0.0,0.5074,0.91,0.5009,,,0.0,0.5009,0.9,3.403B,3.449B,0.2438
1999-09,10.91B,12.54B,7.64B,4.905B,,,,365.00M,,-365.00M,2.443B,2.462B,,365.00M,-365.00M,191.00M,-365.00M,2.288B,1.153B,1.135B,,,,,1.135B,1.135B,5.096B,2.443B,2.653B,0.3325,,,0.0,0.3325,0.33,0.328,,,0.0,0.328,0.33,3.414B,3.463B,0.2438
1999-06,10.62B,12.27B,7.048B,5.22B,,,,347.00M,,-347.00M,1.993B,3.227B,,347.00M,-347.00M,159.00M,-347.00M,3.039B,1.101B,1.938B,,,,,1.938B,1.938B,5.379B,1.993B,3.386B,0.5682,,,0.0,0.5682,0.57,0.5602,,,0.0,0.5602,0.56,3.411B,3.461B,0.2438
1999-03,10.20B,11.82B,6.826B,4.993B,,,,357.00M,,-357.00M,1.942B,3.051B,,357.00M,-357.00M,95.00M,-357.00M,2.789B,1.016B,1.773B,,,,,1.98B,1.773B,5.088B,1.942B,3.146B,0.5202,,,0.0607,0.5202,0.58,0.513,,,0.0599,0.513,0.57,3.408B,3.458B,0.2438
1998-12,20.73B,25.14B,15.25B,9.892B,,,,845.00M,,-663.00M,4.164B,5.728B,,845.00M,-663.00M,1.925B,-663.00M,6.99B,2.507B,4.483B,,,,,4.423B,4.483B,12.00B,4.164B,7.835B,2.2569999999999997,,,0.0,2.2569999999999997,2.2569999999999997,2.2569999999999997,,,0.0,2.2569999999999997,2.2569999999999997,1.959B,1.959B,0.2338
1998-09,6.532B,7.216B,4.072B,3.144B,,,,244.00M,,-244.00M,1.241B,1.903B,,244.00M,-244.00M,342.00M,-244.00M,2.001B,739.00M,1.262B,,,,,1.262B,1.262B,3.486B,1.241B,2.245B,0.65,,,,0.65,0.65,0.64,,,,0.64,0.64,1.955B,1.980B,0.2338
1998-06,6.405B,7.03B,3.978B,3.052B,,,,260.00M,,-260.00M,1.235B,1.817B,,260.00M,-260.00M,34.00M,-260.00M,1.591B,571.00M,1.02B,,,,,1.02B,1.02B,3.086B,1.235B,1.851B,0.52,,,,0.52,0.52,0.51,,,,0.51,0.51,1.958B,1.985B,0.2338
