,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,NotesReceivable,TotalReceivables,RawMaterialsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,AccruedComprehensiveInc,ShareholdersEquity
2008-03,,1.963B,,1.963B,15.70B,,15.70B,,,1.61B,1.934B,2.742B,23.95B,,,,,,,209.92B,-113.68B,96.24B,70.82B,60.28B,131.10B,2.578B,,6.697B,254.25B,278.20B,18.59B,2.375B,4.186B,25.15B,,25.15B,,,13.30B,,13.30B,3.677B,3.677B,,42.13B,60.19B,,60.19B,25.20B,25.20B,24.51B,,,13.91B,123.81B,165.94B,6.495B,34.31B,91.60B,19.59B,,-556.00M,112.26B
2007-12,,1.97B,,1.97B,16.18B,,16.18B,,,1.524B,2.044B,2.963B,24.69B,0.0,1.86B,23.67B,181.21B,,3.776B,210.52B,-114.63B,95.89B,70.71B,58.40B,129.12B,2.27B,,6.392B,250.96B,275.64B,7.059B,2.417B,5.027B,14.50B,11.11B,25.61B,1.859B,5.001B,6.86B,,6.86B,5.919B,5.919B,,39.27B,57.26B,,57.26B,24.94B,24.94B,24.01B,,,14.80B,121.00B,160.28B,6.495B,33.30B,91.64B,15.68B,,-380.00M,115.37B
2007-09,,2.714B,,2.714B,16.30B,,16.30B,,,1.90B,2.433B,2.191B,25.54B,,,,,,,206.82B,-112.37B,94.45B,66.85B,57.05B,123.90B,2.403B,,6.901B,242.42B,267.97B,20.24B,2.156B,6.282B,28.68B,,28.68B,,,6.026B,,6.026B,3.471B,3.471B,,38.17B,54.58B,,54.58B,22.75B,22.75B,28.76B,,,12.53B,118.62B,156.79B,6.495B,32.61B,91.53B,14.41B,,-5.05B,111.17B
2007-06,,2.57B,,2.57B,15.37B,,15.37B,,,1.743B,2.36B,2.352B,24.39B,,,,,,,203.84B,-109.79B,94.06B,67.07B,58.12B,125.19B,2.342B,,6.848B,242.95B,267.35B,19.17B,2.168B,5.932B,27.27B,,27.27B,,,7.701B,,7.701B,3.567B,3.567B,,38.54B,53.97B,,53.97B,20.64B,20.64B,28.61B,,,13.93B,117.15B,155.68B,6.495B,31.71B,91.28B,12.75B,,-5.066B,111.66B
2007-03,,2.364B,,2.364B,15.58B,,15.58B,,,2.058B,2.571B,2.12B,24.69B,,,,,,,204.20B,-110.61B,93.59B,67.24B,59.79B,127.02B,2.11B,,6.608B,243.58B,268.28B,17.95B,2.197B,3.715B,23.86B,,23.86B,,,7.119B,,7.119B,3.766B,3.766B,,34.75B,55.47B,,55.47B,21.17B,21.17B,28.35B,,,14.54B,119.52B,154.27B,6.495B,30.97B,91.11B,9.384B,,-5.186B,114.01B
2006-12,,2.418B,,2.418B,16.19B,,16.19B,,,1.477B,3.034B,2.43B,25.55B,0.0,1.925B,23.48B,173.61B,,3.137B,202.15B,-107.55B,94.60B,67.66B,59.74B,127.40B,1.995B,,6.865B,245.08B,270.63B,6.919B,2.215B,3.026B,12.16B,11.73B,23.89B,5.214B,4.519B,9.733B,,9.733B,5.123B,5.123B,,40.48B,50.06B,,50.06B,27.59B,27.59B,28.90B,,,8.061B,114.61B,155.09B,6.495B,30.38B,91.35B,7.368B,,-5.314B,115.54B
2006-09,,1.251B,,1.251B,8.668B,,8.668B,,,1.038B,1.598B,957.00M,13.51B,,,,,,,152.57B,-94.92B,57.65B,13.38B,7.728B,21.11B,35.25B,,16.36B,130.38B,143.89B,14.79B,1.281B,3.122B,19.19B,,19.19B,,,4.713B,,4.713B,,,,23.90B,26.80B,,26.80B,14.56B,14.56B,18.15B,,,5.081B,64.59B,88.49B,4.065B,30.65B,27.12B,5.867B,,-348.00M,55.40B
2006-06,,1.097B,,1.097B,8.484B,,8.484B,,,1.144B,1.876B,1.034B,13.64B,,,,,,,151.72B,-93.36B,58.35B,13.43B,7.978B,21.41B,34.80B,,16.15B,130.72B,144.35B,15.47B,1.291B,2.955B,19.72B,,19.72B,,,3.314B,,3.314B,,,,23.03B,27.16B,,27.16B,15.08B,15.08B,18.46B,,,5.148B,65.85B,88.88B,4.065B,29.77B,27.22B,5.002B,,-364.00M,55.47B
2006-03,,1.057B,,1.057B,8.647B,,8.647B,,,1.215B,1.874B,1.057B,13.85B,,,,,,,150.52B,-92.15B,58.37B,13.40B,8.214B,21.62B,34.41B,,16.20B,130.59B,144.44B,15.51B,1.293B,2.24B,19.04B,,19.04B,,,5.712B,,5.712B,,,,24.76B,25.83B,,25.83B,15.10B,15.10B,18.28B,,,5.382B,64.59B,89.35B,4.065B,29.26B,27.26B,4.927B,,-350.00M,55.09B
2005-12,,1.224B,,1.224B,9.351B,,9.351B,,,1.029B,2.011B,1.039B,14.65B,0.0,1.169B,15.56B,130.76B,,1.75B,149.24B,-90.51B,58.73B,14.06B,8.503B,22.56B,33.44B,,3.592B,130.98B,145.63B,4.466B,1.289B,2.586B,8.341B,6.693B,15.03B,320.00M,4.135B,4.455B,,4.455B,3.549B,3.549B,,25.42B,26.12B,,26.12B,15.92B,15.92B,18.13B,,,5.354B,65.52B,90.94B,4.065B,29.11B,27.50B,5.406B,,-356.00M,54.69B
2005-09,,433.00M,,433.00M,5.229B,,5.229B,,,1.132B,555.00M,753.00M,8.102B,,,,,,,138.14B,-89.70B,48.44B,1.723B,,1.723B,32.94B,,12.89B,96.00B,104.10B,9.205B,1.06B,2.645B,12.91B,,12.91B,,,5.386B,,5.386B,,,,18.30B,17.82B,,17.82B,15.11B,15.11B,9.34B,,,3.355B,45.63B,63.92B,3.433B,28.74B,13.00B,4.418B,,-389.00M,40.18B
2005-06,,406.00M,,406.00M,5.22B,,5.22B,,,867.00M,545.00M,784.00M,7.822B,,,,,,,137.50B,-88.70B,48.80B,1.769B,,1.769B,34.18B,,13.07B,97.82B,105.64B,9.208B,1.066B,1.762B,12.04B,,12.04B,,,6.89B,,6.89B,,,,18.93B,18.22B,,18.22B,15.33B,15.33B,9.347B,,,3.334B,46.23B,65.16B,3.433B,29.10B,12.56B,4.034B,,-385.00M,40.49B
2005-03,,427.00M,35.00M,462.00M,5.268B,,5.268B,,,904.00M,552.00M,828.00M,8.014B,,,,,,,136.77B,-87.46B,49.31B,1.768B,,1.768B,34.82B,,13.04B,98.93B,106.95B,9.083B,1.066B,1.267B,11.42B,,11.42B,,,6.175B,,6.175B,,,,17.59B,20.94B,,20.94B,15.56B,15.56B,9.233B,,,3.219B,48.95B,66.54B,3.433B,29.17B,12.73B,4.332B,,-404.00M,40.40B
2004-12,,760.00M,,760.00M,6.901B,,6.901B,,,746.00M,566.00M,989.00M,9.962B,0.0,643.00M,11.91B,122.53B,,1.091B,136.18B,-86.13B,50.05B,1.625B,429.00M,2.054B,35.48B,,12.72B,100.30B,110.26B,2.241B,1.065B,1.787B,5.093B,4.102B,9.195B,4.397B,1.337B,5.734B,,5.734B,3.201B,3.201B,310.00M,20.36B,21.23B,,21.23B,15.81B,15.81B,9.076B,,,3.29B,49.41B,69.76B,3.433B,28.81B,13.35B,4.535B,,-360.00M,40.50B
2004-09,,13.29B,204.00M,13.49B,5.685B,,5.685B,,,827.00M,251.00M,855.00M,21.11B,,,,,,,135.45B,-85.40B,50.06B,1.625B,,1.625B,13.58B,,15.61B,80.87B,101.99B,9.272B,1.036B,697.00M,11.00B,,11.00B,,,1.703B,,1.703B,,,697.00M,13.40B,16.54B,,16.54B,16.13B,16.13B,11.75B,,,3.96B,48.37B,61.78B,3.433B,29.73B,12.89B,4.252B,,-457.00M,40.21B
2004-06,,11.59B,346.00M,11.93B,5.564B,,5.564B,,,783.00M,575.00M,1.103B,19.96B,,,,,,,134.94B,-84.39B,50.56B,1.625B,,1.625B,13.42B,,14.86B,80.46B,100.42B,9.386B,1.035B,907.00M,11.33B,,11.33B,,,2.46B,,2.46B,,,,13.79B,15.16B,,15.16B,15.89B,15.89B,12.66B,,,3.643B,47.35B,61.14B,3.433B,28.67B,12.94B,4.39B,,-242.00M,39.28B
2004-03,,7.081B,378.00M,7.459B,5.793B,,5.793B,,,810.00M,644.00M,1.112B,15.82B,,,,,,,134.32B,-83.12B,51.20B,1.621B,,1.621B,17.16B,,14.62B,84.60B,100.42B,9.471B,1.035B,895.00M,11.40B,,11.40B,,,2.07B,,2.07B,,,,13.47B,15.85B,,15.85B,15.74B,15.74B,12.47B,,,3.475B,47.54B,61.01B,3.433B,28.55B,12.96B,4.46B,,65.00M,39.41B
2003-12,,4.806B,378.00M,5.184B,6.16B,,6.16B,,,760.00M,741.00M,926.00M,14.02B,0.0,639.00M,11.52B,120.38B,,1.38B,133.92B,-81.80B,52.13B,1.611B,,1.611B,17.93B,,14.54B,86.21B,100.23B,3.102B,1.033B,402.00M,4.537B,5.481B,10.02B,999.00M,880.00M,1.879B,,1.879B,1.252B,1.252B,328.00M,14.30B,16.10B,,16.10B,15.29B,15.29B,12.69B,,,3.607B,47.68B,61.98B,3.433B,27.64B,13.01B,4.698B,,0.00,38.25B
2003-09,,4.94B,261.00M,5.201B,6.14B,,6.14B,,,1.002B,1.511B,1.036B,14.89B,,,,,,,132.64B,-80.65B,51.98B,1.622B,,1.622B,11.80B,5.885B,15.13B,86.42B,101.31B,9.339B,1.267B,3.213B,13.82B,,13.82B,,,1.90B,,1.90B,,,,15.72B,16.36B,,16.36B,13.40B,13.40B,14.34B,,,3.598B,47.70B,63.42B,3.433B,27.77B,13.02B,4.596B,,-256.00M,37.89B
2003-06,,5.139B,,5.139B,5.881B,,5.881B,,,968.00M,1.495B,1.277B,14.76B,,,,,,,131.99B,-79.45B,52.53B,1.643B,,1.643B,11.50B,5.885B,14.33B,85.89B,100.65B,8.935B,1.272B,3.002B,13.21B,,13.21B,,,1.79B,,1.79B,,,,15.00B,16.74B,,16.74B,12.95B,12.95B,14.14B,,,3.637B,47.47B,62.47B,3.433B,27.82B,12.99B,4.342B,,-240.00M,38.18B
2003-03,,4.832B,,4.832B,6.337B,,6.337B,,,809.00M,1.49B,1.069B,14.54B,,,,,,,131.99B,-78.59B,53.40B,1.643B,,1.643B,10.95B,5.922B,14.35B,86.26B,100.80B,9.013B,1.103B,1.542B,11.66B,,11.66B,,,1.805B,,1.805B,,,,13.46B,18.47B,,18.47B,13.70B,13.70B,13.92B,,,3.604B,49.70B,63.16B,3.433B,27.70B,12.99B,4.389B,,-625.00M,37.64B
2002-12,,3.567B,1.00M,3.568B,8.54B,,8.54B,,,687.00M,704.00M,590.00M,14.09B,0.0,627.00M,11.17B,118.45B,,1.508B,131.76B,-83.26B,48.49B,1.643B,,1.643B,16.36B,,14.48B,80.97B,95.06B,3.395B,895.00M,870.00M,5.16B,3.92B,9.08B,1.148B,2.357B,3.505B,,3.505B,1.24B,1.24B,,14.68B,18.54B,,18.54B,10.97B,10.97B,14.09B,,,3.575B,47.18B,61.86B,3.433B,23.80B,13.00B,4.584B,,-978.00M,33.20B
2002-09,,873.00M,,873.00M,8.348B,,8.348B,,,671.00M,730.00M,843.00M,11.46B,,,,,,,130.93B,-82.19B,48.74B,1.658B,,1.658B,10.56B,5.921B,15.52B,82.40B,93.86B,9.634B,898.00M,2.921B,13.45B,,13.45B,,,5.134B,,5.134B,,,,18.59B,18.93B,,18.93B,9.883B,9.883B,10.41B,,,3.662B,42.89B,61.47B,3.433B,22.96B,11.86B,4.548B,,-1.31B,32.39B
2002-06,,543.00M,,543.00M,8.475B,,9.392B,,,837.00M,775.00M,781.00M,12.33B,,,,,,,129.98B,-80.71B,49.27B,1.658B,,1.658B,9.61B,5.905B,15.56B,82.00B,94.33B,9.642B,896.00M,2.505B,13.04B,,13.04B,,,7.742B,,7.742B,,,,20.78B,18.06B,,18.06B,9.638B,9.638B,10.26B,,,3.854B,41.81B,62.60B,3.433B,22.09B,11.90B,4.447B,,-1.242B,31.73B
2002-03,,830.00M,,830.00M,8.321B,,8.321B,,,1.21B,739.00M,792.00M,11.89B,,,,,,,129.02B,-79.45B,49.57B,1.656B,,1.656B,12.56B,5.912B,12.63B,82.32B,94.21B,9.683B,900.00M,2.001B,12.58B,,12.58B,,,8.489B,,8.489B,,,,21.07B,19.06B,,19.06B,9.152B,9.152B,10.09B,,,3.901B,42.20B,63.27B,3.433B,21.16B,11.96B,3.967B,,-1.642B,30.94B
2001-12,,703.00M,,703.00M,9.376B,,9.376B,,,932.00M,713.00M,856.00M,12.58B,0.0,601.00M,10.64B,113.49B,,2.785B,127.52B,-77.70B,49.83B,3.577B,,3.577B,11.97B,5.924B,12.45B,83.74B,96.32B,3.959B,858.00M,2.598B,7.415B,5.166B,12.58B,6.039B,2.994B,9.033B,,9.033B,1.317B,1.317B,,23.95B,17.13B,,17.13B,8.424B,8.424B,9.839B,,,4.059B,39.46B,63.40B,3.433B,21.74B,12.82B,3.482B,,-1.589B,32.92B
2001-09,,562.00M,,562.00M,9.319B,,9.319B,,,1.069B,549.00M,1.125B,12.62B,,,,,,,125.65B,-76.78B,48.87B,,,4.041B,12.20B,5.926B,12.05B,83.09B,95.72B,10.58B,862.00M,4.356B,15.80B,,15.80B,,,7.318B,,7.318B,,,,23.12B,18.04B,,18.04B,7.611B,7.611B,9.992B,,0.00,4.441B,40.08B,63.20B,3.433B,21.75B,12.00B,3.18B,,-1.495B,32.51B
2001-06,,649.00M,,649.00M,9.208B,,9.208B,,,1.07B,574.00M,1.073B,12.57B,,,,,,,123.88B,-75.33B,48.56B,,,4.957B,11.76B,5.942B,12.14B,83.36B,95.93B,10.81B,861.00M,3.469B,15.14B,,15.14B,,,8.021B,,8.021B,,,,23.16B,19.02B,,19.02B,7.697B,7.697B,9.967B,,0.00,4.832B,41.52B,64.68B,3.433B,20.54B,12.09B,3.256B,,-1.537B,31.26B
2001-03,,551.00M,,551.00M,9.315B,9.138B,18.45B,,,999.00M,612.00M,1.099B,21.71B,,,,,,,121.36B,-73.82B,47.55B,,,5.022B,11.40B,,11.64B,75.61B,97.32B,13.77B,867.00M,2.645B,17.28B,,17.28B,,,10.64B,,10.64B,,,,27.92B,16.56B,,16.56B,7.59B,7.59B,9.811B,,500.00M,4.622B,39.08B,67.01B,3.433B,19.33B,12.10B,2.933B,,-1.568B,30.32B
2000-12,,643.00M,,643.00M,10.14B,,10.14B,,,550.00M,671.00M,1.64B,13.65B,0.0,592.00M,9.864B,106.20B,,3.093B,119.75B,-72.56B,47.20B,3.719B,,3.719B,12.38B,9.568B,12.14B,85.00B,98.65B,7.532B,863.00M,3.592B,11.99B,5.741B,17.73B,6.437B,4.033B,10.47B,,10.47B,1.322B,1.322B,,30.36B,15.49B,,15.49B,7.124B,7.124B,9.767B,,1.00B,4.448B,37.83B,68.19B,3.433B,18.34B,12.12B,2.071B,,-1.307B,30.46B
2000-09,,545.00M,,545.00M,10.14B,,10.14B,,,950.00M,590.00M,1.585B,13.81B,,,,,,,124.04B,-74.35B,49.70B,4.998B,7.149B,12.15B,9.937B,,8.983B,80.76B,94.58B,12.14B,861.00M,4.248B,17.25B,,17.25B,,,9.413B,,9.413B,,,,26.66B,15.89B,,15.89B,6.868B,6.868B,9.875B,,1.00B,4.094B,37.73B,64.39B,3.433B,17.90B,12.36B,2.163B,,-1.246B,30.19B
2000-06,,813.00M,,813.00M,9.538B,,9.538B,,,837.00M,461.00M,824.00M,12.47B,,,,,,,120.76B,-72.71B,48.04B,5.168B,5.899B,11.07B,10.92B,,8.688B,78.72B,91.19B,14.88B,864.00M,,15.75B,,15.75B,,,9.812B,,9.812B,,,,25.56B,15.93B,,15.93B,6.372B,6.372B,9.781B,,1.00B,4.177B,37.26B,62.82B,3.433B,15.76B,12.47B,1.887B,,-1.294B,28.38B
2000-03,,678.00M,,678.00M,8.759B,,8.759B,,,840.00M,572.00M,1.137B,11.99B,,,,,,,118.50B,-71.37B,47.13B,,,11.19B,11.08B,,8.005B,77.42B,89.40B,14.45B,866.00M,,15.31B,,15.31B,,,8.992B,,8.992B,,,,24.30B,16.34B,,16.34B,6.052B,6.052B,9.647B,,1.00B,4.129B,37.16B,61.47B,3.433B,14.77B,12.54B,1.535B,,-1.161B,27.93B
1999-12,,495.00M,,495.00M,9.378B,0.00,9.378B,,,651.00M,767.00M,639.00M,11.93B,0.0,589.00M,10.28B,103.36B,,2.098B,116.33B,-69.76B,46.57B,2.269B,4.527B,6.796B,10.65B,,7.27B,71.28B,83.22B,4.834B,836.00M,3.386B,9.056B,4.691B,13.75B,2.623B,751.00M,3.374B,,3.374B,1.481B,1.481B,,19.31B,17.48B,,17.48B,5.21B,5.21B,9.612B,,1.00B,3.879B,37.18B,56.49B,3.433B,13.80B,12.45B,1.717B,,-1.062B,26.73B
1999-09,,267.00M,,267.00M,5.524B,,5.524B,,,628.00M,663.00M,451.00M,7.533B,,,,,,,76.83B,-45.64B,31.20B,,,5.758B,2.51B,,2.138B,41.60B,49.14B,6.332B,480.00M,1.809B,8.621B,,8.621B,,,2.622B,,2.622B,,,,11.24B,11.27B,,11.27B,3.056B,3.056B,5.117B,,1.00B,2.17B,22.61B,33.85B,1.988B,5.529B,9.229B,692.00M,,-601.00M,15.28B
1999-06,,848.00M,,848.00M,5.342B,,5.342B,,,678.00M,666.00M,339.00M,7.873B,,,,,,,75.44B,-45.08B,30.36B,,,3.202B,2.43B,,2.197B,38.19B,46.06B,6.095B,480.00M,1.79B,8.365B,,8.365B,,,1.011B,,1.011B,,,,9.376B,11.35B,,11.35B,2.666B,2.666B,5.099B,,1.00B,2.165B,22.28B,31.66B,1.988B,4.731B,9.205B,721.00M,,-612.00M,14.40B
1999-03,,547.00M,,547.00M,5.376B,,5.376B,,,700.00M,678.00M,362.00M,7.663B,,,,,,,74.35B,-44.31B,30.04B,,,3.124B,2.43B,,2.135B,37.73B,45.40B,5.959B,482.00M,1.514B,7.955B,,7.955B,,,1.84B,,1.84B,,,,9.795B,11.40B,,11.40B,2.489B,2.489B,5.084B,,1.00B,2.091B,22.07B,31.86B,1.988B,4.034B,9.17B,803.00M,,-651.00M,13.53B
1998-12,,599.00M,,599.00M,9.783B,,9.783B,,,843.00M,685.00M,787.00M,12.70B,0.0,590.00M,10.27B,97.00B,,1.92B,109.78B,-65.58B,44.19B,,,5.161B,7.412B,,5.502B,62.27B,74.97B,4.726B,809.00M,2.611B,8.146B,3.984B,12.13B,3.412B,766.00M,4.178B,,4.178B,1.255B,1.255B,,18.24B,17.17B,,17.17B,3.32B,3.32B,9.193B,,1.00B,3.269B,33.95B,52.19B,3.434B,8.948B,12.44B,882.00M,,-822.00M,22.77B
1998-09,,779.00M,37.00M,816.00M,4.895B,,4.895B,,,551.00M,504.00M,280.00M,7.158B,,,,,,,67.92B,-40.00B,27.92B,,,2.742B,2.545B,,2.164B,35.37B,42.53B,5.889B,429.00M,1.611B,7.929B,,7.929B,,,1.63B,,1.63B,,,,9.559B,11.22B,,11.22B,2.346B,2.346B,4.864B,,1.00B,2.012B,21.44B,31.00B,1.867B,2.947B,8.514B,1.023B,,-553.00M,11.53B
1998-06,,615.00M,91.00M,706.00M,4.847B,,4.847B,,,485.00M,678.00M,242.00M,7.035B,,,,,,,67.15B,-39.39B,27.76B,,,3.208B,2.484B,,2.115B,35.56B,42.60B,5.919B,430.00M,1.464B,7.813B,,7.813B,,,2.211B,,2.211B,,,,10.02B,11.55B,,11.55B,2.266B,2.266B,4.882B,,1.00B,2.016B,21.71B,31.74B,1.867B,2.167B,8.495B,650.00M,,-773.00M,10.86B
