,NetIncome,GainandLossonSaleofPPE,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,CashfromDiscontinuedOperationsAdjustment,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2004-03,15.00M,,,-2.401M,63.49M,63.49M,,,,5.924M,,-9.648M,21.65M,,12.00M,94.01M,,-41.92M,5.106M,-36.81M,-14.39M,211.00M,0.145M,159.94M,,,,-7.501M,6.573M,,6.573M,,-26.52M,,-0.186M,-27.63M,,147.77M,226.32M,374.09M,,,6.573M,,,,,,,,
2003-12,57.33M,,,-49.44M,68.99M,68.99M,,,,14.86M,,94.66M,-78.33M,51.07M,77.16M,168.89M,,-52.68M,-10.38M,-63.06M,-1.05M,-230.45M,43.69M,-250.87M,,,,-36.75M,5.116M,,5.116M,,-24.92M,,-0.186M,-56.74M,,330.20M,-138.72M,147.77M,,,5.116M,,,,,,,,
2003-09,99.15M,,,0.00,71.02M,71.02M,,,,-12.26M,,0.365M,40.93M,-12.93M,28.37M,186.28M,,-38.58M,36.32M,-2.252M,0.00,-4.972M,,-7.224M,,,,-8.222M,,,,,-24.90M,,0.643M,-32.48M,,183.63M,146.57M,330.20M,,,,,,,,,,,
2003-06,56.02M,,,0.00,69.36M,69.36M,,,,11.21M,,-77.59M,28.97M,,-48.62M,87.97M,,-51.56M,7.291M,-44.27M,-2.493M,,3.653M,-43.11M,,,,-2.403M,-0.248M,,-0.248M,,-24.88M,,0.00,-27.53M,,166.30M,17.33M,183.63M,,,-0.248M,,,,,,,,
2003-03,-17.55M,,,18.81M,67.72M,67.72M,,,,1.054M,,-30.42M,36.29M,,5.875M,75.91M,,-51.11M,4.771M,-46.34M,,,-3.653M,-49.99M,,,,-2.761M,0.248M,,0.248M,,-24.88M,,-2.955M,-30.35M,,170.73M,-4.427M,166.30M,,,0.248M,,,,,,,,
2002-12,36.60M,,,4.418M,69.45M,69.45M,,,,13.49M,,45.41M,-23.22M,-3.91M,-17.17M,151.78M,,-44.42M,7.874M,-36.55M,-1.307M,,,-40.38M,,,,-0.755M,,,,,-23.86M,,-3.257M,-23.43M,,82.75M,87.98M,170.73M,,,,,,,,,,,
2002-09,76.82M,,,0.00,68.98M,68.98M,,,,-6.413M,,13.13M,-22.06M,3.91M,-5.024M,134.36M,,-69.98M,5.879M,-64.10M,-18.53M,,,-82.62M,,,,-8.763M,,,,,-23.86M,,6.979M,-25.64M,,56.65M,26.10M,82.75M,,,,,,,,,,,
2002-06,44.83M,,,20.54M,66.14M,66.14M,,,,6.413M,,-78.90M,26.20M,-3.253M,-55.95M,81.98M,,-63.49M,10.75M,-52.74M,-22.40M,,,-75.14M,,,,-4.29M,,,,,-23.84M,,-3.065M,-31.20M,,81.02M,-24.36M,56.65M,,,,,,,,,,,
2002-03,11.62M,,,,63.10M,63.10M,,,,,,9.133M,2.812M,3.253M,15.20M,89.93M,,-70.89M,1.385M,-69.51M,-1.207M,,,-70.72M,,,,-17.46M,,,,,-23.83M,,2.296M,-39.00M,,100.80M,-19.79M,81.02M,,,,,,,,,,,
2001-12,45.10M,,,,68.88M,68.88M,,,,,,83.20M,-46.89M,5.56M,34.92M,167.89M,,-53.12M,20.97M,-32.14M,-9.532M,,,-41.34M,,,,-66.98M,,,,,-22.79M,,-7.214M,-91.43M,,65.68M,35.12M,100.80M,,,,,,,,,,,
2001-09,92.23M,,,,72.41M,72.41M,,,,,,-23.83M,54.40M,10.70M,41.27M,205.91M,,-59.26M,5.359M,-53.90M,0.00,,,-53.90M,,,,-104.33M,,,,,-22.78M,,3.164M,-123.95M,,37.63M,28.06M,65.68M,,,,,,,,,,,
2001-06,79.63M,,,,69.92M,69.92M,,,,,,-94.40M,26.80M,-19.59M,-87.20M,62.35M,,-79.83M,8.535M,-71.30M,-6.302M,,,-77.60M,,,,43.55M,,,,,-22.76M,,3.141M,23.93M,,28.95M,8.682M,37.63M,,,,,,,,,,,
2001-03,5.72M,,,,67.00M,67.00M,,,,,,24.33M,-24.47M,3.332M,3.197M,75.92M,,-94.64M,4.123M,-90.52M,-122.96M,,,-213.48M,,,,133.10M,,,,,-22.74M,,0.875M,111.24M,,55.28M,-26.33M,28.95M,,,,,,,,,,,
2000-12,34.62M,,,,67.11M,67.11M,,,,9.813M,,88.39M,-19.11M,,42.47M,162.29M,,-328.75M,8.059M,-320.70M,0.036M,,6.19M,-314.47M,,,,160.98M,,,,,-21.22M,,-0.853M,138.91M,,68.55M,-13.27M,55.28M,,,,,,,,,,,
2000-09,85.95M,,,,57.30M,57.30M,,,,-9.813M,,-6.488M,6.052M,8.068M,7.632M,141.07M,,-74.55M,36.60M,-37.95M,0.00,,0.00,-37.95M,,,,-41.29M,,,,,-21.20M,,-3.586M,-66.08M,,31.50M,37.04M,68.55M,,,,,,,,,,,
2000-06,76.06M,,,,54.83M,54.83M,,,,,,-82.35M,2.494M,-5.63M,-85.49M,45.40M,,-104.98M,13.48M,-91.49M,-0.036M,,7.04M,-84.49M,,,,45.40M,,,,,-21.20M,,25.16M,49.36M,,21.23M,10.27M,31.50M,,,,,,,,,,,
2000-03,23.26M,,,,53.12M,53.12M,,,,,,-23.20M,18.65M,-2.438M,-6.989M,69.39M,,-97.21M,4.212M,-93.00M,,,-0.003M,-93.00M,,,,-10.52M,,,,,-21.15M,,23.69M,-7.993M,,52.83M,-31.60M,21.23M,,,,,,,,,,,
1999-12,64.80M,,,,54.60M,54.60M,,,,-0.70M,33.00M,67.70M,34.30M,,91.30M,182.00M,,-121.60M,39.00M,-82.60M,,,12.00M,-70.60M,,,,-128.80M,,,,,-19.60M,,17.70M,-143.20M,,84.60M,-31.80M,52.80M,,,,,,,,,,,
1999-09,85.80M,,,,52.40M,52.40M,,,,-0.80M,,-20.90M,-6.40M,,-27.30M,110.10M,,-61.70M,4.30M,-57.40M,,,2.60M,-54.80M,,,,-35.00M,,,,,-19.70M,,6.60M,-48.10M,,0.00,7.20M,84.60M,,,,,,,,,,,
1999-06,62.70M,,,,51.10M,51.10M,,,,0.70M,0.10M,-74.70M,6.40M,,-68.20M,46.30M,,-56.40M,55.40M,-1.00M,,,1.90M,0.90M,,,,-3.10M,,,,,-19.70M,,8.50M,-14.30M,,0.00,32.90M,0.00,,,,,,,,,,,
1999-03,26.40M,,,,49.00M,49.00M,,,,-2.00M,-0.10M,,-8.70M,,-8.80M,64.60M,,-855.40M,4.40M,-851.00M,,,-0.40M,-851.40M,,,,657.60M,,,,,-19.70M,,12.90M,650.80M,,180.60M,-136.00M,0.00,,,,,,,,,,,
1998-12,59.40M,,,,35.30M,35.30M,,,,-21.30M,,82.60M,11.50M,,60.80M,130.70M,,-88.50M,0.60M,-87.90M,,,6.00M,-81.90M,,,,0.10M,,0.00,0.00,,-17.40M,,38.60M,21.30M,,0.00,70.10M,180.60M,,,,,,0.00,,,,,
1998-09,90.00M,,,,34.60M,34.60M,,,,20.60M,,-2.20M,-12.70M,,-14.90M,130.30M,,-39.40M,2.70M,-36.70M,,,-5.80M,-42.50M,,,,-0.50M,,-20.30M,-20.30M,,-17.50M,,-15.90M,-54.20M,,0.00,33.60M,0.00,,,,,,-20.30M,,,,,
1998-06,70.00M,,,,36.70M,36.70M,,,,0.20M,,-64.50M,-1.00M,,-65.50M,41.40M,,-49.20M,5.90M,-43.30M,,1.60M,13.40M,-28.30M,,,,-5.30M,,-25.30M,-25.30M,,-17.70M,,16.00M,-32.30M,,0.00,-19.20M,0.00,,,,,,-25.30M,,,,,
1998-03,36.50M,,,,31.20M,31.20M,,,,-13.30M,,-19.40M,18.30M,,-1.10M,53.30M,,-51.00M,17.90M,-33.10M,,-1.60M,-13.40M,-48.10M,,,,-1.00M,,-19.40M,-19.40M,,-17.40M,,,-37.80M,,128.60M,-32.60M,0.00,,,,,,-19.40M,,,,,
1997-12,51.10M,,,,41.10M,41.10M,,,,-21.10M,,71.60M,-13.80M,,45.50M,118.70M,,-42.80M,2.30M,-40.50M,,,1.50M,-39.00M,,,,-0.80M,,-2.00M,-2.00M,,-15.80M,,,-13.00M,,0.00,66.80M,128.60M,,0.10M,,,,-2.00M,,,,,
1997-09,73.30M,,,,30.20M,30.20M,,,,14.00M,,-12.70M,-23.20M,,-35.90M,81.60M,,-35.20M,5.00M,-30.20M,,,0.20M,-30.00M,,,,32.60M,,-41.10M,-41.10M,,-15.90M,,,-24.40M,,0.00,27.30M,0.00,,0.10M,,,,-41.10M,,,,,
1997-06,62.80M,,,,29.30M,29.30M,,,,4.00M,,-30.20M,30.40M,,0.20M,96.30M,,-57.40M,7.60M,-49.80M,,,-1.50M,-51.30M,,,,-36.20M,,25.30M,25.30M,,-15.90M,,,-26.80M,,0.00,18.10M,0.00,,-0.10M,,,,25.30M,,,,,
1997-03,21.90M,,,,28.60M,28.60M,,,,4.00M,,-21.20M,10.20M,,-11.00M,43.50M,,-37.90M,1.50M,-36.40M,,,,-36.40M,,,,-0.20M,,-25.30M,-25.30M,,-16.00M,,,-41.50M,,50.80M,-34.50M,0.00,,-0.10M,,,,-25.30M,,,,,
1996-12,47.80M,,,,29.90M,29.90M,,,,-0.10M,,39.10M,-14.40M,,44.10M,125.80M,,-34.00M,2.30M,-31.70M,,0.40M,-10.30M,-41.60M,,,,-16.20M,,-25.80M,-25.80M,,-14.50M,,,-56.50M,,0.00,27.70M,0.00,,0.00,,,,-25.80M,,,,,
1996-09,62.10M,,,,29.10M,29.10M,,,,3.40M,,17.00M,-8.50M,,8.50M,103.10M,,-43.70M,2.80M,-40.90M,,-0.40M,-0.30M,-41.60M,,,,-18.00M,,-6.00M,-6.00M,,-14.60M,,,-38.60M,,0.00,22.70M,0.00,,-0.20M,,,,-6.00M,,,,,
1996-06,58.60M,,,,27.40M,27.40M,,,,-1.40M,,-38.80M,16.40M,,-22.40M,62.20M,,-41.60M,0.90M,-40.70M,,-1.20M,-45.90M,-87.80M,,,,33.90M,,-13.40M,-13.40M,,-14.60M,,-0.10M,5.80M,,0.00,-20.00M,0.00,,-0.20M,,,,-13.40M,,,,,
1996-03,20.10M,,,,26.20M,26.20M,,,,14.40M,,-17.10M,10.80M,,-6.30M,54.40M,,-32.40M,6.00M,-26.40M,,,-8.40M,-34.80M,,,,-6.90M,,,,,-14.70M,,0.10M,-21.50M,,21.90M,-2.40M,0.00,,-0.50M,,,,,,,,,
1995-12,43.40M,,,,28.40M,28.40M,,,,-10.90M,,57.60M,4.00M,,51.90M,118.70M,,-31.70M,22.40M,-9.30M,,-1.00M,-5.80M,-16.10M,,,,-76.80M,,-0.40M,-0.40M,,-12.70M,,-0.10M,-90.00M,,0.00,12.40M,0.00,,-0.20M,,,,-0.40M,,,,,
1995-09,59.10M,,,,28.20M,28.20M,,,,2.50M,,3.00M,-13.10M,,-10.10M,79.70M,,-14.50M,1.40M,-13.10M,,-0.20M,-9.10M,-22.40M,,,,9.00M,,-44.10M,-44.10M,,-12.90M,,,-48.00M,,0.00,9.20M,0.00,,-0.10M,,,,-44.10M,,,,,
1995-06,47.70M,,,,27.30M,27.30M,,,,-1.50M,,-41.60M,-0.90M,,-42.50M,31.00M,,-38.80M,2.10M,-36.70M,,-0.40M,-12.30M,-49.40M,,,,33.20M,,-3.20M,-3.20M,,-13.10M,,-0.10M,16.80M,,0.00,-1.90M,0.00,,-0.30M,,,,-3.20M,,,,,
1995-03,16.00M,,,,26.80M,26.80M,,,,-3.20M,,-19.40M,16.90M,,-2.50M,37.10M,,-24.20M,6.00M,-18.20M,,-0.60M,0.30M,-18.50M,,,,-9.30M,,-2.40M,-2.40M,,-13.10M,,0.10M,-24.70M,,7.70M,-6.40M,0.00,,-0.30M,,,,-2.40M,,,,,
1994-12,31.90M,,,,26.90M,26.90M,,,,-2.70M,,52.00M,-16.00M,,32.30M,94.50M,,-23.80M,8.70M,-15.10M,,-0.30M,-9.00M,-24.40M,,,,-30.30M,,,,,-11.90M,,-0.20M,-71.00M,,0.00,-1.20M,0.00,,-0.30M,,,,,,,,,
1994-09,37.60M,,,,27.10M,27.10M,,,,1.80M,,11.70M,-2.30M,,9.40M,75.90M,,-25.20M,1.60M,-23.60M,,-0.60M,-78.70M,-102.90M,,,,27.50M,,,,,-12.10M,,0.10M,15.50M,,0.00,-11.80M,0.00,,-0.30M,,,,,,,,,
1994-06,33.70M,,,,25.80M,25.80M,,,,0.70M,,-54.00M,15.70M,,-38.30M,21.90M,,-27.60M,2.10M,-25.50M,,-0.90M,0.10M,-26.30M,,,,36.50M,,,,,-12.10M,,0.10M,24.50M,,0.00,19.80M,0.00,,-0.30M,,,,,,,,,
1994-03,-5.20M,,,,26.80M,26.80M,,,,0.70M,,-8.60M,2.20M,,-6.40M,15.90M,,-23.50M,3.00M,-20.50M,,-0.30M,,-20.80M,,,,2.90M,,,,,-12.00M,,-0.10M,-9.20M,,14.00M,-14.20M,0.00,,-0.10M,,,,,,,,,
1993-12,20.50M,,,,27.20M,27.20M,,,,0.80M,,61.00M,-25.50M,,45.60M,93.60M,,-29.30M,3.70M,-25.60M,,-0.60M,-1.20M,-27.40M,,,,-50.80M,,0.00,0.00,,-11.40M,,-0.10M,-62.30M,,0.00,3.60M,0.00,,-0.30M,,,,0.00,,,,,
1993-09,36.60M,,,,25.40M,25.40M,,,,70.70M,,-62.10M,-1.50M,,-63.60M,69.10M,,-19.20M,0.70M,-18.50M,,-2.20M,-1.60M,-22.30M,,,,-12.80M,,-16.10M,-16.10M,,-11.50M,,0.00,-40.40M,,0.00,6.00M,0.00,,-0.40M,,,,-16.10M,,,,,
1993-06,31.60M,,,,25.20M,25.20M,,,,-67.70M,,9.80M,8.60M,,18.40M,7.50M,,-24.60M,0.90M,-23.70M,,-6.10M,0.10M,-29.70M,,,,59.40M,,-22.50M,-22.50M,,-11.70M,,0.10M,25.30M,,0.00,2.90M,0.00,,-0.20M,,,,-22.50M,,,,,
1993-03,-0.50M,,,,25.00M,25.00M,,,,0.30M,,-9.80M,7.80M,,-2.00M,22.80M,,-22.90M,0.70M,-22.20M,,-0.70M,-1.50M,-24.40M,,,,-0.40M,,-1.40M,-1.40M,,-11.70M,,,-13.50M,,15.70M,-15.30M,0.00,,-0.20M,,,,-1.40M,,,,,
1992-12,20.40M,,,,26.60M,26.60M,,,,5.00M,,39.50M,-18.90M,,28.20M,83.00M,,-23.50M,1.60M,-21.90M,,12.40M,-29.00M,-38.50M,,,,-38.30M,,-7.20M,-7.20M,,-11.20M,,,-56.70M,,0.00,-12.50M,0.00,,-0.30M,,,,-7.20M,,,,,
1992-09,35.70M,,,,25.20M,25.20M,,,,10.20M,,-9.30M,-0.50M,,-9.80M,61.30M,,-2.20M,1.00M,-1.20M,,-11.10M,-15.90M,-28.20M,,,,-12.30M,,-5.40M,-5.40M,,-11.20M,,,-28.90M,,0.00,3.90M,0.00,,-0.30M,,,,-5.40M,,,,,
1992-06,30.30M,,,,25.80M,25.80M,,,,5.30M,,-43.60M,9.00M,,-34.60M,26.80M,,-35.40M,1.90M,-33.50M,,-1.30M,0.10M,-34.70M,,,,33.80M,,-17.80M,-17.80M,,-11.30M,,-0.10M,4.60M,,0.00,-3.60M,0.00,,-0.30M,,,,-17.80M,,,,,
1992-03,4.60M,,,,25.70M,25.70M,,,,-5.70M,,,5.40M,,5.40M,30.00M,,-14.10M,4.40M,-9.70M,,,0.40M,-9.30M,,,,0.60M,,-2.00M,-2.00M,,-11.40M,,0.10M,-12.70M,,19.00M,7.90M,0.00,,-0.10M,,,,-2.00M,,,,,
1991-12,-1.30M,,,,27.50M,27.50M,,,,29.40M,,,,,,75.50M,,-20.40M,-0.80M,-21.20M,,-2.20M,-0.10M,-23.50M,,,,-21.90M,,-1.10M,-1.10M,,-11.40M,,-4.70M,-39.10M,,0.00,12.70M,0.00,,-0.20M,,,,-1.10M,,,,,
1991-09,30.20M,,,,27.50M,27.50M,,,,9.00M,,,,,,66.70M,,-9.60M,0.90M,-8.70M,,-9.30M,-16.60M,-34.60M,,,,-14.10M,,-1.50M,-1.50M,,-11.40M,,0.10M,-26.90M,,0.00,5.10M,0.00,,-0.10M,,,,-1.50M,,,,,
1991-06,25.90M,,,,27.50M,27.50M,,,,-40.30M,,,,,,13.10M,,-16.90M,1.50M,-15.40M,,-1.50M,-1.30M,-18.20M,,,,18.30M,,-1.50M,-1.50M,,-11.50M,,,5.30M,,0.00,-0.20M,0.00,,-0.40M,,,,-1.50M,,,,,
1991-03,-2.20M,,,,27.20M,27.20M,,,,3.00M,,,,,,28.00M,,-16.70M,1.00M,-15.70M,,,-6.70M,-22.40M,,,,-11.00M,,-1.10M,-1.10M,,-11.40M,,,-23.50M,,18.60M,-18.70M,0.00,,-0.80M,,,,-1.10M,,,,,
1990-12,19.80M,,,,27.60M,27.60M,,,,50.00M,,,,,,78.20M,,-23.40M,1.30M,-22.10M,,-2.20M,-1.50M,-25.80M,,,,-30.70M,,-2.60M,-2.60M,,-11.40M,,,-44.70M,,0.00,6.00M,0.00,,-1.70M,,,,-2.60M,,,,,
1990-09,42.20M,,,,25.90M,25.90M,,,,2.00M,,,,,,70.10M,,-25.70M,0.00,-25.70M,,-3.00M,-103.10M,-131.80M,,,,91.70M,,-19.20M,-19.20M,,-11.60M,,-0.10M,60.80M,,0.00,-1.50M,0.00,,-0.60M,,,,-19.20M,,,,,
1990-06,39.60M,,,,25.10M,25.10M,,,,-47.20M,,,,,,17.50M,,-37.80M,2.20M,-35.60M,,0.00,-4.90M,-40.50M,,,,40.70M,,-16.20M,-16.20M,,-11.60M,,0.10M,13.00M,,0.00,-12.60M,0.00,,-2.60M,,,,-16.20M,,,,,
1990-03,18.70M,,,,24.10M,24.10M,,,,-8.50M,,,,,,34.30M,,-33.00M,0.80M,-32.20M,,-13.60M,-5.70M,-51.50M,,,,-12.30M,,-21.20M,-21.20M,,-11.80M,,,-45.30M,,84.30M,-63.40M,0.00,,-0.90M,,,,-21.20M,,,,,
1989-12,19.60M,,,,24.00M,24.00M,,,,14.90M,,,,,,90.20M,,-26.40M,1.40M,-25.00M,,0.00,-11.80M,-36.80M,,,,-0.20M,,-19.20M,-19.20M,,-11.10M,,-0.10M,-30.60M,,0.00,17.20M,0.00,,-5.60M,,,,-19.20M,,,,,
1989-09,50.50M,,,,24.00M,24.00M,,,,-3.90M,,,,,,70.60M,,-20.00M,0.20M,-19.80M,,-3.00M,-1.30M,-24.10M,,,,-0.60M,,-16.50M,-16.50M,,-11.20M,,0.10M,-28.20M,,0.00,18.30M,0.00,,,,,,-16.50M,,,,,
1989-06,43.50M,,,,23.60M,23.60M,,,,-30.80M,,,,,,36.30M,,-30.30M,2.60M,-27.70M,,19.20M,-13.80M,-22.30M,,,,-1.70M,,-13.40M,-13.40M,,-11.30M,,-0.20M,-26.60M,,0.00,-12.40M,0.00,,0.20M,,,,-13.40M,,,,,
1989-03,15.70M,,,,22.50M,22.50M,,,,14.90M,,,,,,53.10M,,-26.30M,,-26.30M,,-3.90M,-7.10M,-37.30M,,,,-7.60M,,-9.30M,-9.30M,,-11.40M,,0.10M,-28.20M,,68.10M,-12.60M,0.00,,-0.20M,,,,-9.30M,,,,,
