,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2003-09,829.90M,829.90M,633.22M,196.68M,60.22M,2.784M,,,,,60.22M,136.46M,,,,2.784M,,125.13M,31.07M,94.06M,5.093M,,-1.476M,99.15M,91.96M,207.48M,71.02M,136.46M,,0.92,0.05,,0.8995,0.97,,0.91,0.05,,0.8896,0.96,,101.86M,102.80M,0.245,,,
2003-06,766.82M,766.82M,608.75M,158.07M,56.88M,3.413M,,,,,56.88M,101.18M,,,,3.413M,,94.73M,28.41M,66.32M,-10.29M,,2.852M,56.02M,63.93M,170.54M,69.36M,101.18M,,0.65,-0.10,,0.6265,0.55,,0.65,-0.10,,0.6267,0.55,,101.80M,102.57M,0.245,,,
2003-03,566.73M,566.73M,501.79M,64.94M,50.66M,1.136M,,,,,50.66M,14.28M,,,,1.136M,,3.073M,0.93M,2.143M,-0.882M,-18.81M,0.144M,-17.55M,1.351M,82.00M,67.72M,14.28M,,0.02,-0.01,0.00,0.0122,-0.17,,0.02,-0.01,-0.1848,0.0123,-0.17,,101.78M,102.37M,0.245,,,
2002-12,640.12M,640.12M,524.90M,115.23M,42.84M,-11.88M,,,,,42.84M,72.39M,,,,-11.88M,,48.54M,11.05M,37.49M,,0.00,1.375M,31.24M,46.66M,141.84M,69.45M,72.39M,,0.72,-0.36,0.00,0.8101,0.36,,0.71,-0.36,0.0000,0.7996,0.35,,101.77M,102.34M,0.235,,,
2002-09,748.89M,748.89M,585.10M,163.79M,52.80M,5.653M,,,,,52.80M,110.99M,,,,5.653M,,103.07M,25.78M,77.29M,-0.468M,,-0.498M,76.82M,73.05M,179.97M,68.98M,110.99M,,0.76,-0.01,,0.7183,0.75,,0.75,-0.01,,0.7086,0.75,,101.75M,102.48M,0.235,,,
2002-06,708.89M,708.89M,554.85M,154.04M,51.07M,2.621M,,,,,51.07M,102.97M,,,,2.621M,,95.75M,28.33M,67.42M,-2.047M,,3.02M,65.37M,65.57M,169.11M,66.14M,102.97M,,0.66,-0.02,,0.6419,0.64,,0.66,-0.02,,0.6420,0.64,,101.71M,102.75M,0.235,,,
2002-03,587.08M,587.08M,496.78M,90.30M,60.72M,0.588M,,,,,60.72M,29.58M,,,,0.588M,,16.63M,5.006M,11.62M,,,-1.411M,11.62M,11.21M,92.68M,63.10M,29.58M,,0.11,0.00,,0.1060,0.11,,0.11,0.00,,0.1060,0.11,,101.61M,102.64M,0.235,,,
2001-12,573.77M,573.77M,445.96M,127.81M,-7.369M,-28.39M,,,,,-7.369M,135.18M,,,,-28.39M,,94.57M,30.28M,64.28M,,,1.007M,45.10M,83.58M,204.06M,68.88M,135.18M,,0.53,-0.08,,0.7218,0.45,,0.53,-0.09,,0.7175,0.44,,100.64M,102.96M,0.225,,,
2001-09,843.12M,843.12M,631.27M,211.85M,67.70M,0.994M,,,,,67.70M,144.15M,,,,0.994M,,132.23M,40.00M,92.23M,,,1.502M,92.23M,91.53M,216.56M,72.41M,144.15M,,0.91,0.00,,0.9032,0.91,,0.90,0.00,,0.8932,0.90,,101.50M,102.61M,0.225,,,
2001-06,828.32M,828.32M,629.45M,198.88M,70.54M,5.198M,,,,,70.54M,128.34M,,,,5.198M,,118.75M,39.12M,79.63M,,,0.598M,79.63M,76.14M,198.25M,69.92M,128.34M,,0.79,0.00,,0.7556,0.79,,0.78,0.00,,0.7460,0.78,,101.41M,102.65M,0.225,,,
2001-03,569.13M,569.13M,483.62M,85.51M,67.07M,-1.509M,,,,,67.07M,18.44M,,,,-1.509M,,8.64M,2.92M,5.72M,,,5.375M,5.72M,6.719M,85.44M,67.00M,18.44M,,0.06,0.00,,0.0699,0.06,,0.06,0.00,,0.0698,0.06,,101.32M,102.25M,0.225,,,
2000-12,630.40M,630.40M,441.29M,189.11M,50.15M,-18.90M,,,,,117.26M,71.85M,,,,-18.90M,,40.18M,5.558M,34.62M,,,1.51M,34.62M,50.91M,138.96M,67.11M,71.85M,,0.34,0.00,,0.5008,0.34,,0.34,0.00,,0.4995,0.34,,101.27M,102.08M,0.21,,,
2000-09,681.21M,681.21M,449.36M,231.86M,54.82M,11.25M,,,,,112.12M,119.74M,,,,11.25M,,125.57M,39.62M,85.95M,,,3.861M,85.95M,78.25M,177.04M,57.30M,119.74M,,0.85,0.00,,0.7739,0.85,,0.84,0.00,,0.7645,0.84,,101.20M,102.08M,0.21,,,
2000-06,665.15M,665.15M,442.61M,222.54M,57.07M,8.954M,,,,,111.90M,110.64M,,,,8.954M,,111.72M,35.66M,76.06M,,,2.06M,76.06M,69.97M,165.48M,54.83M,110.64M,,0.75,0.00,,0.6896,0.75,,0.75,0.00,,0.6902,0.75,,100.93M,102.00M,0.21,,,
2000-03,514.98M,514.98M,362.68M,152.30M,59.58M,4.661M,,,,,112.70M,39.60M,,,,4.661M,,34.77M,11.51M,23.26M,,,0.412M,23.26M,20.14M,92.72M,53.12M,39.60M,,0.23,0.00,,0.1990,0.23,,0.23,0.00,,0.1994,0.23,,100.73M,101.90M,0.21,,,
1999-12,605.60M,605.60M,407.90M,197.70M,50.80M,8.60M,,,,,105.40M,92.30M,,,,8.60M,,92.50M,27.70M,64.80M,,,,64.80M,58.78M,146.90M,54.60M,92.30M,,0.65,0.00,,0.5899,0.65,,0.64,0.00,,0.5809,0.64,,100.29M,101.92M,0.195,,,
1999-09,656.40M,656.40M,431.10M,225.30M,48.30M,13.10M,,,,,100.70M,124.60M,,,,13.10M,,125.10M,39.30M,85.80M,,,,85.80M,76.82M,177.00M,52.40M,124.60M,,0.85,0.00,,0.7610,0.85,,0.84,0.00,,0.7520,0.84,,100.94M,102.14M,0.195,,,
1999-06,611.50M,611.50M,406.90M,204.60M,52.30M,6.50M,,,,,103.40M,101.20M,,,,6.50M,,94.10M,31.40M,62.70M,,,,62.70M,58.37M,152.30M,51.10M,101.20M,,0.62,0.00,,0.5772,0.62,,0.61,0.00,,0.5679,0.61,,101.13M,102.79M,0.195,,,
1999-03,482.20M,482.20M,339.00M,143.20M,54.20M,11.40M,,,,,103.20M,40.00M,,,,11.40M,,39.90M,13.50M,26.40M,,,,26.40M,18.86M,89.00M,49.00M,40.00M,,0.26,0.00,,0.1857,0.26,,0.26,0.00,,0.1857,0.26,,101.54M,101.54M,0.195,,,
1998-12,442.10M,442.10M,270.20M,171.90M,58.30M,3.70M,,,,,93.60M,78.30M,,,,3.70M,,87.10M,27.70M,59.40M,,,,59.40M,56.88M,113.60M,35.30M,78.30M,,0.60,0.00,,0.5747,0.60,,0.58,0.00,,0.5552,0.58,,99.55M,101.68M,0.1733,,,
1998-09,509.50M,509.50M,297.50M,212.00M,47.10M,5.90M,,,,,85.70M,126.30M,,,,5.90M,,130.50M,40.60M,89.90M,,,,89.90M,85.84M,164.90M,34.60M,126.30M,,0.89,0.00,,0.8498,0.89,,0.88,0.00,,0.8402,0.88,,101.01M,102.16M,0.1733,,,
1998-06,465.80M,465.80M,285.90M,179.90M,46.90M,6.00M,,,,,81.50M,98.40M,,,,6.00M,,102.80M,32.80M,70.00M,,,,70.00M,65.91M,135.10M,36.70M,98.40M,,0.69,0.00,,0.6497,0.69,,0.68,0.00,,0.6403,0.68,,101.45M,102.94M,0.1733,,,
1998-03,359.00M,359.00M,240.70M,118.30M,46.70M,15.90M,,,,,77.90M,40.40M,,,,15.90M,,54.30M,17.80M,36.50M,,,,36.50M,25.81M,71.60M,31.20M,40.40M,,0.36,0.00,,0.2546,0.36,,0.36,0.00,,0.2546,0.36,,101.39M,101.39M,0.1733,,,
1997-12,414.30M,414.30M,255.50M,158.80M,48.20M,2.00M,,,,,89.30M,69.50M,,,,2.00M,,72.80M,21.70M,51.10M,,,,51.10M,49.70M,110.60M,41.10M,69.50M,,0.51,0.00,,0.4960,0.51,,0.49,0.00,,0.4765,0.49,,100.21M,104.23M,0.1567,,,
1997-09,477.90M,477.90M,302.10M,175.80M,50.50M,7.30M,,,,,80.70M,95.10M,,,,7.30M,,100.50M,27.20M,73.30M,,,,73.30M,67.98M,125.30M,30.20M,95.10M,,0.72,0.00,,0.6677,0.72,,0.71,0.00,,0.6584,0.71,,101.81M,103.24M,0.1567,,,
1997-06,445.10M,445.10M,280.20M,164.90M,47.80M,8.20M,,,,,77.10M,87.80M,,,,8.20M,,94.40M,31.60M,62.80M,,,,62.80M,57.34M,117.10M,29.30M,87.80M,,0.62,0.00,,0.5661,0.62,,0.61,0.00,,0.5570,0.61,,101.29M,102.95M,0.1567,,,
1997-03,341.40M,341.40M,237.40M,104.00M,43.90M,3.20M,,,,,72.50M,31.50M,,,,3.20M,,32.80M,10.90M,21.90M,,,,21.90M,19.76M,60.10M,28.60M,31.50M,,0.21,0.00,,0.1895,0.21,,0.21,0.00,,0.1895,0.21,,104.29M,104.29M,0.1567,,,
1996-12,397.50M,397.50M,254.40M,143.10M,49.10M,4.40M,,,,,79.00M,64.10M,,,,4.40M,,66.30M,18.50M,47.80M,,,,47.80M,44.63M,94.00M,29.90M,64.10M,,0.4367,0.00,,0.4076,0.4367,,0.4367,0.00,,0.4076,0.4367,,109.19M,109.19M,0.14,,,
1996-09,443.60M,443.60M,275.80M,167.80M,44.20M,3.90M,,,,,73.30M,94.50M,,,,3.90M,,96.50M,34.40M,62.10M,,,,62.10M,59.59M,123.60M,29.10M,94.50M,,0.60,0.00,,0.5758,0.60,,0.59,0.00,,0.5662,0.59,,103.50M,105.25M,0.14,,,
1996-06,419.20M,419.20M,263.50M,155.70M,42.90M,8.20M,,,,,70.30M,85.40M,,,,8.20M,,91.30M,32.70M,58.60M,,,,58.60M,53.34M,112.80M,27.40M,85.40M,,0.56,0.00,,0.5097,0.56,,0.55,0.00,,0.5006,0.55,,104.64M,106.55M,0.14,,,
1996-03,308.50M,308.50M,213.00M,95.50M,38.90M,3.20M,,,,,65.10M,30.40M,,,,3.20M,,31.40M,11.30M,20.10M,,,,20.10M,18.05M,56.60M,26.20M,30.40M,,0.19,0.00,,0.1706,0.19,,0.19,0.00,,0.1706,0.19,,105.79M,105.79M,0.14,,,
1995-12,361.80M,361.80M,219.70M,142.10M,44.00M,0.20M,,,,,72.40M,69.70M,,,,0.20M,,67.40M,24.00M,43.40M,,,,43.40M,43.27M,98.10M,28.40M,69.70M,,0.4133,0.00,,0.4121,0.4133,,0.4133,0.00,,0.4121,0.4133,,105.18M,108.67M,0.1217,,,
1995-09,422.00M,422.00M,260.90M,161.10M,39.60M,2.60M,,,,,67.80M,93.30M,,,,2.60M,,92.70M,33.60M,59.10M,,,,59.10M,57.44M,121.50M,28.20M,93.30M,,0.55,0.00,,0.5346,0.55,,0.55,0.00,,0.5346,0.55,,107.45M,107.45M,0.1217,,,
1995-06,382.80M,382.80M,243.30M,139.50M,38.80M,3.50M,,,,,66.10M,73.40M,,,,3.50M,,73.80M,26.10M,47.70M,,,,47.70M,45.44M,100.70M,27.30M,73.40M,,0.44,0.00,,0.4191,0.44,,0.44,0.00,,0.4191,0.44,,108.41M,108.41M,0.1217,,,
1995-03,294.40M,294.40M,210.00M,84.40M,37.40M,6.90M,,,,,64.20M,20.20M,,,,6.90M,,24.50M,8.50M,16.00M,,,,16.00M,11.49M,47.00M,26.80M,20.20M,,0.15,0.00,,0.1078,0.15,,0.15,0.00,,0.1078,0.15,,106.67M,106.67M,0.1217,,,
1994-12,349.40M,349.40M,243.00M,106.40M,34.80M,7.00M,,,,,61.70M,44.70M,,,,7.00M,,49.00M,17.10M,31.90M,,,,31.90M,27.34M,71.60M,26.90M,44.70M,,0.29,0.00,,0.2485,0.29,,0.29,0.00,,0.2486,0.29,,109.70M,110.17M,0.11,,,
1994-09,360.40M,360.40M,243.40M,117.00M,33.80M,1.30M,,,,,60.40M,56.60M,,,,1.30M,,55.10M,17.50M,37.60M,,,,37.60M,36.71M,83.70M,27.10M,56.60M,,0.34,0.00,,0.3320,0.34,,0.34,0.00,,0.3320,0.34,,110.59M,110.59M,0.1099,,,
1994-06,326.70M,326.70M,223.10M,103.60M,28.60M,3.00M,,,,,54.90M,48.70M,,,,3.00M,,49.50M,15.80M,33.70M,,,,33.70M,31.66M,75.00M,25.80M,48.70M,,0.31,0.00,,0.2912,0.31,,0.31,0.00,,0.2912,0.31,,108.71M,108.71M,0.1099,,,
1994-03,216.90M,216.90M,170.40M,46.50M,27.80M,2.70M,,,,,54.60M,-8.10M,,,,2.70M,,-7.70M,-2.50M,-5.20M,,,,-5.20M,-7.023M,18.70M,26.80M,-8.10M,,-0.05,0.00,,-0.0675,-0.05,,-0.05,0.00,,-0.0675,-0.05,,104.00M,104.00M,0.1099,,,
1993-12,282.00M,282.00M,196.90M,85.10M,27.10M,-0.50M,,,,,54.30M,30.80M,,,,-0.50M,,28.20M,7.70M,20.50M,,,,20.50M,20.86M,58.00M,27.20M,30.80M,,0.19,0.00,,0.1934,0.19,,0.19,0.00,,0.1934,0.19,,108.05M,108.05M,0.1049,,,
1993-09,331.50M,331.50M,221.20M,110.30M,29.70M,0.40M,,,,,54.90M,55.40M,,,,0.40M,,53.50M,16.90M,36.60M,,,,36.60M,36.33M,80.80M,25.40M,55.40M,,0.33,0.00,,0.3275,0.33,,0.33,0.00,,0.3275,0.33,,110.91M,110.91M,0.1049,,,
1993-06,305.90M,305.90M,206.80M,99.10M,28.00M,0.70M,,,,,53.10M,46.00M,,,,0.70M,,44.20M,12.60M,31.60M,,,,31.60M,31.10M,71.20M,25.20M,46.00M,,0.28,0.00,,0.2756,0.28,,0.28,0.00,,0.2756,0.28,,112.86M,112.86M,0.1049,,,
1993-03,214.10M,214.10M,160.60M,53.50M,27.30M,0.40M,,,,,52.30M,1.20M,,,,0.40M,,-0.70M,-0.20M,-0.50M,,,,-0.50M,-0.7857M,26.20M,25.00M,1.20M,,-0.0045,,,-0.0070,-0.0045,,-0.0045,,,-0.0070,-0.0045,,111.70M,111.70M,0.105,,,
1992-12,270.80M,270.80M,182.50M,88.30M,27.80M,-4.00M,,,,,54.40M,33.90M,,,,-4.00M,,27.60M,7.20M,20.40M,,0.00,,20.40M,23.36M,60.50M,26.60M,33.90M,,0.21,0.00,0.00,0.2403,0.21,,0.21,0.00,0.0010,0.2403,0.21,,97.52M,97.52M,0.0999,,,
1992-09,312.30M,312.30M,207.00M,105.30M,25.50M,-0.30M,,,,,51.10M,54.20M,,,,-0.30M,,51.40M,15.60M,35.80M,,,,35.80M,36.01M,79.80M,25.20M,54.20M,,0.31,0.00,,0.3118,0.31,,0.31,0.00,,0.3118,0.31,,115.48M,115.48M,0.0999,,,
1992-06,284.20M,284.20M,185.20M,99.00M,27.20M,1.40M,,,,,53.00M,46.00M,,,,1.40M,,44.80M,14.60M,30.20M,,,,30.20M,29.26M,71.80M,25.80M,46.00M,,0.27,0.00,,0.2616,0.27,,0.27,0.00,,0.2616,0.27,,111.85M,111.85M,0.0999,,,
1992-03,210.60M,210.60M,150.50M,60.10M,25.30M,0.10M,,,,,51.00M,9.10M,,,,0.10M,,6.90M,2.30M,4.60M,,3.00M,,7.60M,4.533M,34.80M,25.70M,9.10M,,0.04,0.03,0.00,0.0394,0.07,,0.04,0.03,0.0276,0.0394,0.07,,108.57M,108.57M,0.0999,,,
1991-12,254.80M,254.80M,180.80M,74.00M,51.60M,2.80M,,,,,79.10M,-5.10M,,,,2.80M,,-5.00M,-3.70M,-1.30M,,,,-1.30M,-2.98M,22.40M,27.50M,-5.10M,,-0.01,0.00,,-0.0248,-0.01,,-0.01,0.00,,-0.0248,-0.01,,113.35M,113.35M,0.0999,,,
1991-09,289.20M,289.20M,190.50M,98.70M,24.50M,-0.30M,,,,,51.90M,46.80M,,,,-0.30M,,43.50M,13.30M,30.20M,,,,30.20M,30.41M,74.30M,27.50M,46.80M,,0.26,0.00,,0.2618,0.26,,0.26,0.00,,0.2618,0.26,,116.15M,116.15M,0.0999,,,
1991-06,266.40M,266.40M,172.30M,94.10M,25.20M,-0.50M,,,,,52.60M,41.50M,,,,-0.50M,,38.20M,12.30M,25.90M,,,,25.90M,26.24M,69.00M,27.50M,41.50M,,0.23,0.00,,0.2330,0.23,,0.23,0.00,,0.2330,0.23,,112.61M,112.61M,0.0999,,,
1991-03,197.00M,197.00M,142.20M,54.80M,25.70M,-2.50M,,,,,52.90M,1.90M,,,,-2.50M,,-3.20M,-1.00M,-2.20M,,,,-2.20M,-0.4812M,29.10M,27.20M,1.90M,,-0.02,0.00,,-0.0044,-0.02,,-0.02,0.00,,-0.0044,-0.02,,110.00M,110.00M,0.0999,,,
1990-12,271.00M,271.00M,182.90M,88.10M,32.60M,3.00M,,,,,60.20M,27.90M,,,,3.00M,,27.50M,7.70M,19.80M,,,,19.80M,17.64M,55.50M,27.60M,27.90M,,0.18,0.00,,0.1607,0.18,,0.17,0.00,,0.1515,0.17,,112.11M,116.60M,0.0999,,,
1990-09,306.60M,306.60M,191.60M,115.00M,24.80M,0.60M,,,,,49.80M,65.20M,,,,0.60M,,63.50M,21.40M,42.10M,,,,42.10M,41.70M,91.10M,25.90M,65.20M,,0.36,0.00,,0.3566,0.36,,0.36,0.00,,0.3566,0.36,,116.94M,116.94M,0.0999,,,
1990-06,295.70M,295.70M,182.50M,113.20M,25.60M,-1.80M,,,,,50.20M,63.00M,,,,-1.80M,,60.10M,20.40M,39.70M,,,,39.70M,40.89M,88.10M,25.10M,63.00M,,0.34,0.00,,0.3502,0.34,,0.34,0.00,,0.3502,0.34,,116.76M,116.76M,0.0999,,,
1990-03,232.00M,232.00M,155.60M,76.40M,24.50M,1.40M,,,,,48.60M,27.80M,,,,1.40M,,28.20M,9.50M,18.70M,,,,18.70M,17.77M,51.90M,24.10M,27.80M,,0.16,0.00,,0.1521,0.16,,0.16,0.00,,0.1521,0.16,,116.88M,116.88M,0.0999,,,
1989-12,257.70M,257.70M,174.80M,82.90M,27.20M,4.40M,,,,,51.20M,31.70M,,,,4.40M,,34.90M,11.20M,23.70M,,,,19.60M,20.71M,55.70M,24.00M,31.70M,,0.18,-0.03,,0.1565,0.15,,0.18,-0.03,,0.1565,0.15,,126.90M,126.90M,0.1748,,,
1989-09,307.20M,307.20M,180.60M,126.60M,24.40M,-0.50M,,,,,47.80M,78.80M,,,,-0.50M,,76.50M,26.00M,50.50M,,,,50.50M,50.83M,102.80M,24.00M,78.80M,,0.42,0.00,,0.4227,0.42,,0.42,0.00,,0.4227,0.42,,120.24M,120.24M,0.0932,,,
1989-06,293.70M,293.70M,180.10M,113.60M,23.80M,1.00M,,,,,46.90M,66.70M,,,,1.00M,,66.30M,22.70M,43.60M,,,,43.60M,42.94M,90.30M,23.60M,66.70M,,0.36,0.00,,0.3546,0.36,,0.36,0.00,,0.3546,0.36,,121.11M,121.11M,0.0932,,,
1989-03,217.50M,217.50M,147.60M,69.90M,23.60M,1.50M,,,,,46.10M,23.80M,,,,1.50M,,23.70M,8.00M,15.70M,,,,15.70M,14.71M,46.30M,22.50M,23.80M,,0.13,0.00,,0.1218,0.13,,0.13,0.00,,0.1218,0.13,,120.77M,120.77M,0.0932,,,
1988-12,267.50M,267.50M,,,,,,,,,,-577.30M,,,,,,,,25.10M,,,,25.10M,,-577.30M,,-577.30M,,,,,,,,,,,,,,120.70M,120.70M,0.00,,,
1988-09,298.60M,298.60M,,,,,,,,,,298.60M,,,,,,,,49.40M,,,,49.40M,,298.60M,,298.60M,,0.40,0.00,,0.40,0.40,,0.40,0.00,,0.40,0.40,,120.70M,120.70M,0.00,,,
1988-06,284.50M,284.50M,,,,,,,,,,284.50M,,,,,,,,46.00M,,,,46.00M,,284.50M,,284.50M,,0.37,0.00,,0.37,0.37,,0.37,0.00,,0.37,0.37,,120.70M,120.70M,0.00,,,
1988-03,202.70M,202.70M,,,,,,,,,,202.70M,,,,,,,,15.60M,,,,15.60M,,202.70M,,202.70M,,0.13,0.00,,0.13,0.13,,0.13,0.00,,0.13,0.13,,120.70M,120.70M,0.00,,,
1987-12,246.40M,246.40M,,,,,,,,,,-486.50M,,,,,,,,28.50M,-1.00M,,,27.50M,,-486.50M,,-486.50M,,,-0.0080,,,-0.0080,,,-0.0080,,,-0.0080,,125.31M,125.31M,0.0708,,,
1987-09,270.10M,270.10M,,,,,,,,,,270.10M,,,,,,,,37.60M,1.10M,,,38.70M,,270.10M,,270.10M,,0.29,0.01,,0.29,0.30,,0.29,0.01,,0.29,0.30,,126.70M,126.70M,0.0708,,,
1987-06,237.90M,237.90M,,,,,,,,,,237.90M,,,,,,,,37.90M,0.80M,,,38.70M,,237.90M,,237.90M,,0.30,0.01,,0.30,0.31,,0.30,0.01,,0.30,0.31,,126.70M,126.70M,0.0708,,,
1987-03,168.90M,168.90M,,,,,,,,,,168.90M,,,,,,,,10.50M,0.90M,,,11.40M,,168.90M,,168.90M,,0.08,0.01,,0.08,0.09,,0.08,0.01,,0.08,0.09,,126.70M,126.70M,0.0708,,,
1986-12,237.00M,237.00M,,,,,,,,,,-565.10M,,,,,,,,18.90M,,,,18.90M,,-565.10M,,-565.10M,,,,,,,,,,,,,,127.81M,127.81M,0.0616,,,
1986-09,263.70M,263.70M,,,,,,,,,,263.70M,,,,,,,,35.70M,,,,35.70M,,263.70M,,263.70M,,0.27,0.00,,0.27,0.27,,0.27,0.00,,0.27,0.27,,131.84M,131.84M,0.0616,,,
1986-06,256.60M,256.60M,,,,,,,,,,256.60M,,,,,,,,31.70M,,,,31.70M,,256.60M,,256.60M,,0.24,0.00,,0.24,0.24,,0.24,0.00,,0.24,0.24,,134.74M,134.74M,0.0616,,,
1986-03,200.60M,200.60M,,,,,,,,,,200.60M,,,,,,,,6.90M,,,,6.90M,,200.60M,,200.60M,,0.05,0.00,,0.05,0.05,,0.05,0.00,,0.05,0.05,,135.51M,135.51M,0.0616,,,
1985-12,229.60M,229.60M,,,,,,,,,,-616.30M,,,,,,,,20.30M,,,,20.30M,,-616.30M,,-616.30M,,,,,,,,,,,,,,135.51M,135.51M,0.0583,,,
1985-09,274.10M,274.10M,,,,,,,,,,274.10M,,,,,,,,28.70M,,,,28.70M,,274.10M,,274.10M,,0.21,0.00,,0.21,0.21,,0.21,0.00,,0.21,0.21,,138.99M,138.99M,0.0583,,,
1985-06,264.60M,264.60M,,,,,,,,,,264.60M,,,,,,,,25.60M,,,,25.60M,,264.60M,,264.60M,,0.18,0.00,,0.18,0.18,,0.18,0.00,,0.18,0.18,,138.97M,138.97M,0.0583,,,
1985-03,203.50M,203.50M,,,,,,,,,,203.50M,,,,,,,,5.00M,,,,5.00M,,203.50M,,203.50M,,0.04,0.00,,0.04,0.04,,0.04,0.00,,0.04,0.04,,138.96M,138.96M,0.0583,,,
1984-12,254.50M,254.50M,,,,,,,,,,-596.90M,,,,,,,,17.40M,,,,17.40M,,-596.90M,,-596.90M,,,,,,,,,,,,,,138.96M,138.96M,,,,
1984-09,266.90M,266.90M,,,,,,,,,,266.90M,,,,,,,,28.70M,,,,28.70M,,266.90M,,266.90M,,0.21,0.00,,0.21,0.21,,0.21,0.00,,0.21,0.21,,138.82M,138.82M,,,,
1984-06,259.20M,259.20M,,,,,,,,,,259.20M,,,,,,,,25.60M,,,,25.60M,,259.20M,,259.20M,,0.18,0.00,,0.18,0.18,,0.18,0.00,,0.18,0.18,,138.57M,138.57M,,,,
1984-03,202.40M,202.40M,,,,,,,,,,202.40M,,,,,,,,6.70M,,,,6.70M,,202.40M,,202.40M,,0.05,0.00,,0.05,0.05,,0.05,0.00,,0.05,0.05,,138.57M,138.57M,,,,
