,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2008-06,151.21M,,151.21M,523.30M,,523.30M,29.01M,3.113M,309.87M,41.51M,383.50M,19.39M,,62.07M,,1.139B,,,,,,,6.047B,-2.325B,3.722B,3.895B,,3.895B,,377.85M,7.995B,9.134B,,215.84M,215.84M,,215.84M,,,,1.540B,1.540B,178.78M,1.934B,,2.184B,,2.184B,685.43M,,685.43M,,0.41M,415.10M,3.284B,5.218B,,109.83M,2.130B,1.703B,,-26.56M,3.916B,,,Restated
2008-03,51.02M,,51.02M,437.28M,,437.28M,31.87M,4.356M,310.32M,38.29M,384.84M,69.54M,,68.52M,148.73M,1.160B,,,,,,,5.956B,-2.268B,3.689B,3.900B,,3.900B,,310.90M,7.900B,9.060B,,197.53M,197.53M,,197.53M,,,,2.228B,2.228B,190.21M,2.615B,,1.530B,,1.530B,675.42M,,675.42M,,0.41M,492.22M,2.697B,5.313B,,109.44M,2.041B,1.671B,,-74.45M,3.747B,,,Restated
2007-12,34.89M,,34.89M,421.86M,,421.86M,28.33M,4.115M,286.59M,37.28M,356.32M,40.18M,,44.21M,259.78M,1.157B,1.430B,162.40M,3.782B,133.04M,298.47M,,5.806B,-2.186B,3.620B,3.789B,,3.789B,,369.96M,7.779B,8.936B,,219.55M,219.55M,174.25M,393.80M,,,,2.127B,2.127B,7.706M,2.528B,,1.530B,,1.530B,671.52M,,671.52M,,0.41M,446.83M,2.648B,5.176B,,108.23M,2.084B,1.608B,,-40.22M,3.760B,,,
2007-09,31.08M,,31.08M,454.02M,,454.02M,10.84M,1.747M,232.25M,21.69M,266.52M,39.36M,,30.40M,,821.39M,,,,,,,4.204B,-2.151B,2.053B,650.20M,,650.20M,,210.14M,2.913B,3.735B,,161.38M,161.38M,,161.38M,,,,148.34M,148.34M,145.85M,455.57M,,321.23M,,321.23M,299.61M,,299.61M,,,358.43M,979.27M,1.435B,,139.70M,3.216B,254.27M,1.292B,-18.00M,2.300B,,,
2007-06,34.59M,,34.59M,460.92M,,460.92M,11.80M,2.494M,251.49M,20.33M,286.11M,14.71M,,18.53M,,814.87M,,,,,,,4.120B,-2.114B,2.006B,650.20M,,650.20M,,218.96M,2.875B,3.690B,,161.03M,161.03M,,161.03M,,,,224.73M,224.73M,126.35M,512.11M,,321.36M,,321.36M,293.20M,,293.20M,,,340.39M,954.95M,1.467B,,139.70M,3.124B,248.15M,1.293B,2.924M,2.223B,,,
2007-03,69.96M,,69.96M,392.02M,,392.02M,10.95M,1.628M,235.31M,18.53M,266.42M,15.02M,,22.16M,,765.57M,,,,,,,4.027B,-2.071B,1.956B,650.21M,,650.21M,,199.02M,2.805B,3.571B,,156.01M,156.01M,,156.01M,,,,241.13M,241.13M,129.08M,526.22M,,321.50M,,321.50M,290.40M,,290.40M,,,338.24M,950.14M,1.476B,,,,,,2.095B,2.095B,,,
2006-12,55.23M,,55.23M,391.46M,,391.46M,9.967M,1.619M,214.51M,17.44M,243.54M,15.39M,,25.58M,,731.19M,757.16M,95.20M,2.751B,116.60M,177.21M,,3.898B,-2.029B,1.869B,620.19M,,620.19M,,207.34M,2.697B,3.428B,,154.22M,154.22M,,154.22M,,,,199.53M,199.53M,133.76M,487.51M,,322.06M,,322.06M,287.90M,,287.90M,,,319.46M,929.43M,1.417B,,139.70M,2.983B,191.70M,1.298B,-4.953M,2.011B,,,
2006-09,68.65M,,68.65M,478.78M,,478.78M,10.30M,1.876M,209.22M,16.70M,238.10M,27.07M,,18.74M,,831.34M,,,,,,,3.758B,-1.993B,1.766B,625.08M,,625.08M,,187.91M,2.579B,3.410B,,174.51M,174.51M,,174.51M,,,,269.30M,269.30M,131.07M,574.88M,,322.27M,,322.27M,297.19M,,297.19M,,,302.80M,922.26M,1.497B,,,,,,1.913B,1.913B,,,
2006-06,71.19M,,71.19M,608.25M,,608.25M,10.14M,1.959M,204.11M,18.45M,234.66M,13.83M,,19.44M,,947.37M,,,3.668B,,,,3.668B,-1.953B,1.715B,630.80M,,630.80M,,192.02M,2.538B,3.485B,,186.98M,186.98M,,186.98M,,,,249.55M,249.55M,187.19M,623.72M,,322.64M,,322.64M,278.78M,,278.78M,,,289.61M,891.03M,1.515B,,,,,,1.971B,1.971B,,,
2006-03,80.34M,68.96M,149.31M,502.02M,,502.02M,10.98M,2.058M,201.90M,17.50M,232.44M,16.38M,,21.11M,,921.25M,,,,,,,3.583B,-1.918B,1.665B,,628.68M,628.68M,,190.82M,2.485B,3.406B,,137.54M,137.54M,,137.54M,,,,32.55M,32.55M,163.00M,333.09M,,322.86M,,322.86M,279.62M,,279.62M,,,287.23M,889.71M,1.223B,,,2.670B,,,-487.17M,2.183B,,,
2005-12,275.14M,175.14M,450.28M,476.37M,,476.37M,9.602M,1.589M,170.54M,16.02M,197.75M,17.14M,,23.18M,,1.165B,713.21M,88.91M,2.500B,97.23M,82.71M,,3.482B,-1.878B,1.604B,617.08M,,617.08M,,203.11M,2.424B,3.589B,,142.22M,142.22M,126.86M,269.08M,,,,272.07M,272.07M,37.87M,579.01M,,323.39M,,323.39M,275.06M,,275.06M,,,284.87M,883.33M,1.462B,,139.70M,2.637B,136.68M,785.05M,-2.213M,2.127B,,,
2005-09,253.59M,192.72M,446.31M,536.54M,,536.54M,8.727M,1.525M,158.85M,16.77M,185.88M,20.64M,,42.45M,,1.232B,,,,,,,3.429B,-1.838B,1.591B,,646.83M,646.83M,,185.24M,2.423B,3.655B,,146.79M,146.79M,,146.79M,,,,242.12M,242.12M,158.32M,547.23M,,355.31M,,355.31M,300.43M,,300.43M,,,287.87M,943.61M,1.491B,,,2.665B,,,-501.14M,2.164B,,,
2005-06,286.13M,248.98M,535.11M,426.02M,,426.02M,7.738M,1.409M,167.62M,14.57M,191.34M,13.47M,,36.26M,,1.202B,,,,,,,3.373B,-1.797B,1.576B,,636.58M,636.58M,,241.72M,2.454B,3.656B,,141.72M,141.72M,,141.72M,,,,242.06M,242.06M,197.31M,581.09M,,355.71M,,355.71M,326.36M,,326.36M,,,300.56M,982.63M,1.564B,,,,,,2.093B,2.093B,,,
2005-03,271.55M,126.42M,397.97M,290.79M,,290.79M,6.968M,1.312M,173.62M,13.44M,195.34M,15.98M,,34.82M,475.54M,1.410B,,,,,,,3.330B,-1.761B,1.569B,,616.34M,616.34M,,117.88M,2.303B,3.714B,,122.97M,122.97M,,122.97M,,,,242.56M,242.56M,353.73M,719.25M,,364.15M,,364.15M,345.39M,,345.39M,,,283.67M,993.21M,1.712B,,,,,,2.001B,2.001B,,,
2004-12,271.45M,179.21M,450.66M,281.61M,,281.61M,6.512M,0.937M,158.35M,11.38M,177.18M,15.85M,,34.43M,458.22M,1.418B,670.61M,87.64M,2.377B,75.00M,54.13M,,3.264B,-1.728B,1.536B,,600.18M,600.18M,,110.50M,2.247B,3.665B,,95.31M,95.31M,,95.31M,,,,3.226M,3.226M,328.15M,426.69M,,604.52M,,604.52M,348.61M,,348.61M,,,271.33M,1.224B,1.651B,,139.70M,2.367B,76.22M,567.56M,-1.309M,2.014B,,,
2004-09,346.68M,,346.68M,456.92M,,456.92M,7.579M,0.781M,162.36M,35.55M,206.27M,24.77M,,35.10M,,1.070B,,,,,,,4.227B,-2.356B,1.871B,,579.82M,579.82M,,115.64M,2.566B,3.636B,,157.61M,157.61M,,157.61M,48.00M,,1.302M,49.30M,49.30M,169.48M,376.39M,,607.16M,,607.16M,341.95M,,341.95M,,95.28M,268.34M,1.217B,1.594B,,,,,,,1.947B,,,
2004-06,230.92M,,230.92M,428.58M,,428.58M,7.793M,0.832M,175.19M,32.45M,216.27M,17.73M,,35.85M,,929.35M,,,,,,,4.202B,-2.313B,1.888B,,579.82M,579.82M,,116.50M,2.585B,3.514B,,152.83M,152.83M,141.06M,293.89M,21.00M,,6.302M,27.30M,27.30M,,321.19M,,607.54M,,607.54M,356.08M,,356.08M,,93.27M,268.58M,1.232B,1.553B,,,,,,1.867B,1.867B,,,
2004-03,436.99M,,436.99M,352.60M,,352.60M,7.274M,0.908M,184.48M,38.29M,230.95M,16.67M,,35.16M,,1.072B,,,,,,,4.155B,-2.268B,1.887B,,579.82M,579.82M,,117.14M,2.584B,3.656B,,143.70M,143.70M,,143.70M,22.00M,,249.62M,271.62M,271.62M,128.54M,543.86M,,609.15M,,609.15M,352.07M,,352.07M,,91.18M,258.26M,1.219B,1.763B,,,,,,1.802B,1.802B,,,
2003-12,416.69M,4.974M,421.66M,359.95M,,359.95M,7.483M,0.476M,174.78M,36.64M,219.38M,14.89M,,34.36M,,1.050B,681.07M,118.37M,3.175B,83.04M,58.48M,,4.116B,-2.223B,1.893B,,579.82M,579.82M,,114.15M,2.587B,3.637B,,129.36M,129.36M,134.87M,264.23M,29.00M,,249.72M,278.72M,278.72M,,542.95M,,607.65M,,607.65M,338.91M,,338.91M,,91.99M,252.52M,1.199B,1.742B,,139.70M,2.186B,49.66M,575.02M,2.649M,1.803B,,,
2003-09,330.20M,4.972M,335.18M,436.54M,,436.54M,8.206M,0.271M,162.08M,39.77M,210.32M,19.43M,,36.01M,,1.037B,,,,,,,4.150B,-2.216B,1.933B,,579.18M,579.18M,,109.59M,2.622B,3.660B,,138.31M,138.31M,,138.31M,30.50M,,284.78M,315.28M,315.28M,132.20M,585.79M,,608.19M,,608.19M,361.31M,,361.31M,,91.14M,248.00M,1.218B,1.803B,,,2.153B,,,-388.11M,1.765B,,,
2003-06,183.63M,,183.63M,426.94M,,426.94M,11.31M,0.532M,183.33M,36.02M,231.19M,15.25M,,36.07M,,893.08M,,,,,,,4.176B,-2.204B,1.972B,,578.47M,578.47M,,106.40M,2.657B,3.550B,,148.42M,148.42M,,148.42M,33.15M,,284.08M,317.23M,317.23M,103.84M,569.49M,,613.98M,,613.98M,353.38M,,353.38M,,89.66M,234.01M,1.201B,1.771B,,,,,,1.690B,1.690B,,,
2003-03,166.30M,,166.30M,345.40M,,345.40M,11.54M,0.648M,197.66M,40.32M,250.17M,13.48M,,37.50M,,812.85M,,,,,,,4.195B,-2.193B,2.003B,,575.84M,575.84M,,105.38M,2.684B,3.497B,,138.75M,138.75M,,138.75M,41.38M,,35.27M,76.65M,76.65M,102.82M,318.22M,,857.12M,,857.12M,342.41M,,342.41M,,92.51M,229.96M,1.429B,1.748B,,,,,,1.657B,1.657B,,,
2002-12,170.73M,,170.73M,332.13M,,332.13M,10.19M,0.486M,189.38M,39.53M,239.59M,9.55M,,37.70M,,789.69M,693.89M,133.44M,3.198B,,73.56M,,4.099B,-2.122B,1.976B,,575.79M,575.79M,,106.69M,2.659B,3.448B,,122.05M,122.05M,,122.05M,37.30M,,41.64M,78.94M,78.94M,96.72M,297.71M,,857.76M,,857.76M,345.18M,,345.18M,,92.66M,157.93M,1.361B,1.659B,,139.70M,2.090B,41.56M,577.03M,2.438M,1.697B,,,
2002-09,82.75M,,82.75M,396.47M,,396.47M,12.69M,0.525M,186.94M,36.93M,237.08M,12.31M,,43.16M,,771.77M,,,,,,,4.096B,-2.088B,2.007B,,564.54M,564.54M,,103.73M,2.676B,3.447B,,141.25M,141.25M,,141.25M,37.38M,,6.271M,43.65M,43.65M,120.63M,305.53M,,892.75M,,892.75M,332.51M,,332.51M,,94.03M,141.18M,1.366B,1.672B,,,,,,1.681B,1.681B,,,
2002-06,56.65M,,56.65M,398.98M,,398.98M,11.85M,0.583M,193.05M,37.87M,243.35M,11.24M,,47.04M,,757.26M,,,,,,,4.056B,-2.044B,2.012B,561.70M,,561.70M,,92.44M,2.666B,3.424B,,167.29M,167.29M,,167.29M,38.66M,,8.39M,47.05M,47.05M,119.65M,333.99M,,898.29M,,898.29M,331.06M,,331.06M,,93.53M,140.50M,1.370B,1.704B,,,,,,1.626B,1.626B,,,
2002-03,81.02M,,81.02M,319.62M,,319.62M,12.48M,0.824M,191.09M,38.94M,243.33M,11.44M,,48.51M,,703.91M,,,,,,,4.006B,-1.998B,2.007B,,588.26M,588.26M,,88.12M,2.684B,3.388B,,157.79M,157.79M,,157.79M,42.75M,,8.39M,51.14M,51.14M,111.64M,320.58M,,898.65M,,898.65M,330.50M,,330.50M,,96.55M,139.89M,1.369B,1.690B,,,,,,1.601B,1.601B,,,
2001-12,100.80M,,100.80M,340.06M,,340.06M,13.28M,0.564M,176.94M,37.63M,228.42M,7.632M,,53.04M,,729.95M,681.33M,122.77M,3.012B,6.627M,121.45M,,3.944B,-1.944B,2.000B,,588.56M,588.56M,,94.71M,2.683B,3.413B,,153.62M,153.62M,129.73M,283.35M,43.88M,,17.26M,61.14M,61.14M,,344.50M,,906.30M,,906.30M,318.54M,,318.54M,,95.14M,144.50M,1.369B,1.714B,,139.70M,2.016B,35.64M,578.80M,-8.083M,1.604B,,,
2001-09,65.68M,,65.68M,436.16M,,436.16M,14.84M,0.643M,172.87M,38.06M,226.41M,13.37M,,52.76M,,794.38M,,,,,,,3.927B,-1.898B,2.029B,,577.18M,577.18M,,75.88M,2.682B,3.476B,,170.12M,170.12M,,170.12M,110.63M,,8.355M,118.98M,118.98M,172.39M,461.49M,,915.14M,,915.14M,293.86M,,293.86M,,96.15M,131.77M,1.341B,1.802B,,,1.994B,,,-415.74M,1.578B,,,
2001-06,37.63M,,37.63M,443.22M,,443.22M,14.95M,0.782M,181.09M,33.04M,229.86M,12.51M,,45.12M,,768.35M,,,,,,,3.869B,-1.859B,2.010B,,604.52M,604.52M,,76.46M,2.691B,3.459B,,171.50M,171.50M,,171.50M,214.54M,,1.32M,215.86M,215.86M,129.11M,516.47M,,922.80M,,922.80M,287.77M,,287.77M,,97.65M,131.57M,1.342B,1.859B,,,1.924B,,,-420.92M,1.503B,,,
2001-03,28.95M,,28.95M,360.58M,,360.58M,15.08M,0.688M,186.17M,28.24M,230.18M,21.36M,,44.84M,,685.91M,,,,,,,3.808B,-1.809B,1.999B,,599.48M,599.48M,,62.65M,2.661B,3.347B,,170.98M,170.98M,,170.98M,165.37M,,6.773M,172.14M,172.14M,112.74M,455.86M,,923.18M,,923.18M,282.68M,,282.68M,,98.25M,129.29M,1.335B,1.791B,,,1.867B,,,-409.57M,1.458B,,,
2000-12,55.28M,,55.28M,,,381.87M,,,,,199.04M,,,,58.32M,694.50M,,,,,,,3.496B,-1.648B,1.849B,,562.04M,562.04M,,123.39M,2.534B,3.229B,,181.32M,181.32M,,181.32M,,,,277.09M,277.09M,113.83M,572.23M,,685.36M,,685.36M,268.80M,,268.80M,,103.63M,127.06M,1.081B,1.653B,,139.70M,1.884B,28.36M,580.84M,,1.471B,,,
2000-09,68.55M,,68.55M,,,417.14M,,,,,192.39M,,,,54.78M,732.85M,,,,,,,3.335B,-1.610B,1.725B,,443.50M,443.50M,,127.85M,2.297B,3.029B,,146.74M,146.74M,,146.74M,,,,115.37M,115.37M,124.38M,386.49M,,683.30M,,683.30M,278.42M,,278.42M,,105.14M,119.44M,1.081B,1.468B,,,,,,1.457B,1.457B,,,
2000-06,31.50M,,31.50M,,,411.87M,,,,,194.13M,,,,56.88M,694.38M,,,,,,,3.319B,-1.581B,1.738B,,445.90M,445.90M,,125.54M,2.309B,3.004B,,147.20M,147.20M,,147.20M,,,,158.17M,158.17M,136.62M,442.00M,,682.11M,,682.11M,262.99M,,262.99M,,109.00M,117.82M,1.063B,1.505B,,139.70M,1.806B,27.20M,583.12M,,1.390B,,,
2000-03,21.23M,,21.23M,,,323.25M,,,,,197.10M,,,,63.75M,605.33M,,,,,,,3.234B,-1.541B,1.692B,,450.08M,450.08M,,130.14M,2.273B,2.878B,,139.83M,139.83M,,139.83M,,,,97.65M,97.65M,154.52M,392.00M,,698.18M,,698.18M,254.65M,,254.65M,,,207.05M,1.160B,1.552B,,139.70M,1.751B,18.25M,583.12M,,1.326B,,,
1999-12,52.80M,,52.80M,,,329.70M,,,,,178.70M,,,,63.50M,624.70M,,,,,,,3.150B,-1.510B,1.640B,,454.80M,454.80M,,120.30M,2.215B,2.840B,,136.10M,136.10M,,136.10M,,,,107.90M,107.90M,142.60M,386.60M,,698.90M,,698.90M,250.80M,,250.80M,,,179.50M,1.129B,1.516B,,139.70M,1.749B,17.90M,583.10M,,1.324B,,,
1999-09,84.60M,,84.60M,,,391.50M,,,,,174.20M,,,,53.20M,703.50M,,,,,,,3.234B,-1.789B,1.445B,,537.80M,537.80M,,127.50M,2.11B,2.814B,,132.10M,132.10M,,132.10M,,,,228.30M,228.30M,134.30M,494.70M,,687.80M,,687.80M,180.80M,,180.80M,,,159.90M,1.028B,1.523B,,,1.754B,,,,1.290B,,,
1999-06,77.50M,,77.50M,,,358.80M,,,,,188.90M,,,,49.00M,674.20M,,,,,,,3.192B,-1.760B,1.432B,,544.30M,544.30M,,132.10M,2.108B,2.782B,,139.60M,139.60M,,139.60M,,,,262.30M,262.30M,142.10M,544.00M,,688.70M,,688.70M,171.20M,,171.20M,,,155.00M,1.015B,1.559B,,,1.638B,,,,1.223B,,,
1999-03,44.60M,,44.60M,,,320.80M,,,,,183.50M,,,,48.30M,597.20M,,,,,,,3.158B,-1.734B,1.425B,,571.40M,571.40M,,133.20M,2.129B,2.727B,,130.90M,130.90M,,130.90M,,,,255.80M,255.80M,147.10M,533.80M,,695.20M,,695.20M,172.20M,,172.20M,,,153.60M,1.021B,1.555B,,,1.595B,,,,1.172B,,,
1998-12,180.60M,,180.60M,,,221.30M,,,,,143.70M,,,,30.80M,576.40M,,,,,,,2.281B,-1.385B,895.80M,,94.00M,94.00M,,92.40M,1.082B,1.659B,,107.40M,107.40M,,107.40M,,,,7.80M,7.80M,96.30M,211.50M,,76.50M,,76.50M,98.50M,,98.50M,,,118.40M,293.40M,504.90M,,139.70M,1.588B,,574.20M,,1.154B,,,
1998-09,110.40M,,110.40M,,,279.90M,,,,,139.00M,,,,29.30M,558.60M,,,,,,,2.209B,-1.358B,850.50M,,,,,181.10M,1.032B,1.590B,,104.80M,104.80M,,104.80M,,,,7.70M,7.70M,92.70M,205.20M,,76.60M,,76.60M,97.50M,,97.50M,,,99.60M,273.70M,478.90M,,,1.646B,,,,1.111B,,,
1998-06,65.10M,,65.10M,,,270.50M,,,,,147.60M,,,,26.40M,509.60M,,,,,,,2.182B,-1.340B,842.30M,,,,,191.20M,1.034B,1.543B,,120.20M,120.20M,,120.20M,,,,7.80M,7.80M,95.80M,223.80M,,76.90M,,76.90M,94.70M,,94.70M,,,89.20M,260.80M,484.60M,,,1.558B,,,,1.058B,,,
1998-03,96.00M,,96.00M,,,205.50M,,,,,144.50M,,,,28.20M,474.20M,,,,,,,2.163B,-1.335B,827.30M,,,,,170.90M,998.20M,1.472B,,114.50M,114.50M,,114.50M,,,,8.10M,8.10M,106.70M,229.30M,,81.90M,,81.90M,92.30M,,92.30M,,,77.40M,251.60M,480.90M,,,1.486B,,,,991.50M,,,
1997-12,128.60M,,128.60M,,,199.80M,,,,,132.40M,,,,26.30M,487.10M,,,,,,,2.120B,-1.312B,808.40M,,,,,153.70M,962.10M,1.449B,,112.50M,112.50M,,112.50M,,,,9.10M,9.10M,86.10M,207.70M,,81.90M,,81.90M,88.70M,,88.70M,,,79.40M,250.00M,457.70M,,,1.450B,,,,991.50M,,,
1997-09,61.80M,,61.80M,,,255.50M,,,,,123.50M,,,,28.30M,469.10M,,,,,,,2.074B,-1.281B,793.40M,,,,,147.20M,940.60M,1.410B,,,,,,,,,9.50M,9.50M,198.40M,207.90M,,80.70M,,80.70M,,,,,,163.10M,243.80M,451.70M,,,1.415B,,,,958.00M,,,
1997-06,34.70M,,34.70M,,,233.10M,,,,,134.50M,,,,27.10M,429.40M,,,,,,,2.082B,-1.281B,801.50M,,,,,154.40M,955.90M,1.385B,,115.10M,115.10M,,115.10M,,,,8.30M,8.30M,108.80M,232.20M,,80.60M,,80.60M,89.40M,,89.40M,,,72.90M,242.90M,475.10M,,,1.304B,,,,910.20M,,,
1997-03,16.40M,,16.40M,,,197.80M,,,,,137.70M,,,,28.90M,380.80M,,,,,,,2.039B,-1.262B,777.20M,,,,,157.10M,934.30M,1.315B,,103.20M,103.20M,,103.20M,,,,8.20M,8.20M,95.70M,207.10M,,85.60M,,85.60M,88.90M,,88.90M,,,69.20M,243.70M,450.80M,,,1.304B,,,,864.30M,,,
1996-12,50.80M,,50.80M,,,185.50M,,,,,128.60M,,,,29.10M,394.00M,,,,,,,2.002B,-1.238B,764.50M,,,,,162.10M,926.60M,1.321B,,98.50M,98.50M,,98.50M,,,,8.30M,8.30M,87.90M,194.70M,,85.50M,,85.50M,87.00M,,87.00M,,,69.70M,242.20M,436.90M,,,1.304B,,,,883.70M,,,
1996-09,23.10M,,23.10M,,,229.60M,,,,,124.30M,,,,35.90M,412.90M,,,,,,,1.916B,-1.161B,754.40M,,,,,160.20M,914.60M,1.328B,,,,,,,,,24.80M,24.80M,183.50M,208.30M,,85.30M,,85.30M,,,,,,157.80M,243.10M,451.40M,,,1.174B,,,,876.10M,,,
1996-06,0.10M,,0.10M,,,233.20M,,,,,133.40M,,,,38.50M,405.20M,,,,,,,1.904B,-1.161B,742.70M,,,,,160.80M,903.50M,1.309B,,,,,,,,,42.90M,42.90M,207.40M,250.30M,,85.20M,,85.20M,,,,,,153.20M,238.40M,488.70M,,,1.174B,,,,820.00M,,,
1996-03,20.00M,,20.00M,,,175.70M,,,,,133.70M,,,,47.90M,377.30M,,,,,,,1.872B,-1.161B,710.70M,,,,,139.10M,849.80M,1.227B,,,,,,,,,10.30M,10.30M,183.20M,193.50M,,90.20M,,90.20M,,,,,,147.70M,237.90M,431.40M,,,1.174B,,,,795.70M,,,
1995-12,21.90M,,21.90M,,,181.10M,,,,,126.80M,,,,32.30M,362.10M,,,,,,,1.859B,-1.161B,698.00M,,,,,155.70M,853.70M,1.216B,,98.30M,98.30M,,98.30M,,,,10.60M,10.60M,68.50M,177.40M,,90.30M,,90.30M,85.90M,,85.90M,,,65.60M,241.80M,419.20M,,,1.174B,,,,796.60M,,,
1995-09,9.30M,,9.30M,,,235.80M,,,,,119.70M,,,,36.20M,401.00M,,,,,,,1.813B,-1.107B,706.00M,,,,,153.20M,859.20M,1.260B,,,,,,,,,86.00M,86.00M,180.60M,266.60M,,91.80M,,91.80M,,,,,,148.10M,239.90M,506.50M,,,1.060B,,,,753.70M,,,
1995-06,,,,,,219.70M,,,,,130.40M,,,,43.70M,393.80M,,,,,,,1.818B,-1.107B,710.90M,,,,,151.00M,861.90M,1.256B,,,,,,,,,76.80M,76.80M,178.50M,255.30M,,91.90M,,91.90M,,,,,,144.20M,236.10M,491.40M,,,1.060B,,,,764.30M,,,
1995-03,1.50M,,1.50M,,,186.70M,,,,,127.20M,,,,34.60M,350.00M,,,,,,,1.806B,-1.107B,698.80M,,,,,142.10M,840.90M,1.191B,,,,,,,,,38.40M,38.40M,184.80M,223.20M,,97.20M,,97.20M,,,,,,138.40M,235.60M,458.80M,,,1.060B,,,,732.10M,,,
1994-12,7.70M,,7.70M,,,182.10M,,,,,112.50M,,,,34.50M,336.80M,,,,,,,1.809B,-1.107B,701.80M,,,,,142.50M,844.30M,1.181B,,102.40M,102.40M,,102.40M,,,,47.50M,47.50M,61.40M,211.30M,,97.40M,,97.40M,82.50M,,82.50M,,,58.30M,238.20M,449.50M,,,1.060B,,,,731.60M,,,
1994-09,8.50M,,8.50M,,,211.60M,,,,,109.60M,,,,37.40M,367.10M,,,,,,,1.817B,-1.100B,717.10M,,,,,131.60M,848.70M,1.216B,,,,,,,,,81.50M,81.50M,154.60M,236.10M,,97.50M,,97.50M,,,,,,140.80M,238.30M,474.40M,,,1.010B,,,,741.40M,,,
1994-06,19.90M,,19.90M,,,198.40M,,,,,110.10M,,,,45.40M,373.80M,,,,,,,1.700B,-1.040B,660.10M,,,,,121.10M,781.20M,1.155B,,,,,,,,,50.00M,50.00M,159.40M,209.40M,,97.70M,,97.70M,,,,,,132.10M,229.80M,439.20M,,,1.010B,,,,715.80M,,,
1994-03,,,,,,149.00M,,,,,114.50M,,,,36.40M,299.90M,,,,,,,1.699B,-1.040B,658.60M,,,,,121.60M,780.20M,1.080B,,,,,,,,,9.20M,9.20M,143.30M,152.50M,,102.00M,,102.00M,,,,,,132.40M,234.40M,386.90M,,,1.010B,,,,693.20M,,,
1993-12,14.00M,,14.00M,,,150.40M,,,,,105.00M,,,,33.20M,302.60M,,,,,,,1.698B,-1.040B,657.80M,,,,,118.20M,776.00M,1.079B,,89.50M,89.50M,,89.50M,,,,1.70M,1.70M,49.60M,140.80M,,102.00M,,102.00M,74.20M,,74.20M,,,58.60M,234.80M,375.60M,,,1.010B,,,,703.00M,,,
1993-09,10.10M,,10.10M,,,202.80M,,,,,108.90M,,,,39.80M,361.60M,,,,,,,1.535B,-878.30M,656.60M,,,,,120.30M,776.90M,1.138B,,,,,,,,,51.40M,51.40M,148.10M,199.50M,,103.20M,,103.20M,,,,,,141.90M,245.10M,444.60M,,,968.00M,,,,693.90M,,,
1993-06,3.60M,,3.60M,,,192.10M,,,,,120.00M,,,,42.90M,358.60M,,,,,,,1.54B,-878.30M,661.70M,,,,,123.90M,785.60M,1.144B,,60.60M,60.60M,,60.60M,,,,,,152.60M,213.20M,,106.80M,,106.80M,,,,,,139.30M,246.10M,459.30M,,,968.00M,,,,684.90M,,,
1993-03,0.70M,,0.70M,,,143.30M,,,,,121.10M,,,,34.80M,299.90M,,,,,,,1.541B,-878.30M,662.60M,,,,,115.50M,778.10M,1.078B,,,,,,,,,0.90M,0.90M,139.40M,140.30M,,107.10M,,107.10M,,,,,,144.10M,251.20M,391.50M,,,968.00M,,,,686.50M,,,
1992-12,15.70M,,15.70M,,,151.40M,,,,,107.90M,,,,18.90M,293.90M,,,,,,,1.542B,-878.30M,663.70M,,,,,115.40M,779.10M,1.073B,,,,,,,,,135.00M,135.00M,,135.00M,,107.30M,,107.30M,,,,,,130.60M,237.90M,372.90M,,,968.00M,,,,700.10M,,,
1992-09,27.80M,,27.80M,,,192.90M,,,,,105.20M,,,,22.60M,348.50M,,,,,,,1.535B,-878.30M,656.70M,,,,,118.80M,775.50M,1.124B,,,,,,,,,39.20M,39.20M,143.10M,182.30M,,107.40M,,107.40M,,,,,,136.10M,243.50M,425.80M,,,914.60M,,,,698.20M,,,
