,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2006-12,1.956B,1.40M,1.957B,4.956B,,4.956B,,,,295.40M,7.209B,0.0,104.10M,584.90M,952.00M,,,1.641B,-1.017B,624.00M,3.068B,,3.068B,476.50M,487.00M,4.655B,11.86B,4.124B,,,4.124B,2.427B,6.551B,,,82.90M,,82.90M,,,,6.634B,2.249B,,2.249B,,,,,1.041B,3.290B,9.924B,570.60M,-899.20M,2.586B,14.00M,525.00M,-195.10M,-107.90M,-303.00M,1.941B
2006-09,1.264B,205.60M,1.469B,4.499B,,4.499B,194.20M,,184.30M,,6.347B,0.0,102.20M,573.10M,952.40M,,,1.628B,-1.020B,608.00M,3.082B,,3.082B,389.40M,505.30M,4.585B,10.93B,3.560B,,,3.560B,2.247B,5.807B,,,63.70M,,63.70M,,,,5.871B,2.184B,,2.184B,,,38.00M,,966.80M,3.151B,9.022B,,,,,,,,1.872B,1.872B
2006-06,1.136B,442.70M,1.578B,4.773B,,4.773B,217.50M,,184.30M,,6.753B,0.0,99.80M,560.30M,957.60M,,,1.618B,-1.006B,611.70M,3.064B,,3.064B,371.10M,514.50M,4.561B,11.31B,3.934B,,,3.934B,2.234B,6.168B,,,55.60M,,55.60M,,,,6.223B,2.184B,,2.184B,,,,,1.024B,3.208B,9.431B,,,,,,,,1.884B,1.884B
2006-03,1.207B,420.00M,1.627B,3.582B,945.00M,4.527B,219.70M,,184.30M,,6.558B,0.0,97.80M,553.00M,948.20M,,,1.599B,-973.40M,625.60M,3.035B,,3.035B,299.90M,474.20M,4.434B,10.99B,3.794B,,,3.794B,2.208B,6.002B,,,49.30M,,49.30M,,,,6.051B,2.183B,,2.183B,,,,,967.50M,3.151B,9.202B,,,,,,,,1.791B,1.791B
2005-12,2.076B,115.60M,2.192B,4.933B,,4.933B,188.30M,,184.30M,,7.497B,0.0,97.00M,549.60M,954.30M,,,1.601B,-950.90M,650.00M,,3.031B,3.031B,297.30M,469.60M,4.448B,11.95B,4.245B,,,4.245B,2.554B,6.800B,,,56.80M,,56.80M,,,,6.856B,2.183B,,2.183B,,,,,960.40M,3.143B,10.000B,941.70M,-841.10M,2.224B,14.00M,898.70M,,,-365.40M,1.945B
2005-09,1.347B,2.00M,1.349B,4.469B,,4.469B,147.20M,,268.80M,430.80M,6.665B,0.0,100.50M,565.80M,1.031B,,,1.697B,-1.023B,673.70M,,3.166B,3.166B,295.50M,485.60M,4.621B,11.29B,5.656B,,,5.656B,828.00M,6.484B,,,66.70M,,66.70M,,,,6.551B,2.184B,,2.184B,,,473.90M,,583.70M,2.768B,9.319B,373.70M,-819.10M,,,373.70M,,,1.938B,1.493B
2005-06,1.582B,1.30M,1.583B,4.921B,,4.921B,142.60M,,268.80M,445.40M,7.361B,0.0,100.70M,561.90M,1.025B,,,1.687B,-1.005B,682.50M,,3.181B,3.181B,245.40M,460.20M,4.569B,11.93B,6.199B,,,6.199B,871.60M,7.070B,,,332.60M,,332.60M,,,,7.403B,1.934B,,1.934B,,,45.50M,,980.00M,2.914B,10.32B,416.40M,-707.60M,2.226B,14.00M,373.70M,,,-353.50M,1.568B
2005-03,1.545B,1.20M,1.546B,4.664B,,4.664B,160.80M,,311.00M,395.30M,7.077B,0.0,108.00M,568.20M,1.032B,,,1.708B,-1.005B,703.30M,,3.178B,3.178B,264.90M,468.50M,4.614B,11.69B,5.814B,,,5.814B,1.004B,6.818B,,,337.20M,,337.20M,,,,7.155B,1.924B,,1.924B,,,50.90M,,993.60M,2.918B,10.07B,416.30M,-722.00M,2.212B,14.00M,373.70M,,,-325.00M,1.568B
2004-12,1.550B,420.00M,1.970B,4.908B,,4.908B,152.60M,,261.00M,345.20M,7.637B,0.0,111.10M,571.30M,1.039B,,,1.721B,-998.10M,722.90M,,3.142B,3.142B,274.20M,496.90M,4.636B,12.27B,6.129B,,,6.129B,1.109B,7.237B,,,325.90M,,325.90M,,,,7.563B,1.936B,,1.936B,,,464.10M,,590.70M,2.527B,10.09B,416.20M,-578.20M,2.209B,14.00M,373.70M,,,-314.60M,1.718B
2004-09,1.438B,,1.438B,4.579B,,4.579B,203.40M,,201.40M,315.20M,6.737B,0.0,104.30M,490.30M,1.016B,,,1.611B,-964.80M,646.30M,,3.036B,3.036B,325.70M,456.80M,4.465B,11.20B,5.247B,,,5.247B,849.40M,6.097B,,,74.50M,,74.50M,,,,6.171B,2.189B,,2.189B,,,55.40M,,785.00M,2.974B,9.145B,416.00M,-209.20M,2.131B,14.00M,373.70M,,,-322.00M,2.002B
2004-06,1.434B,,1.434B,4.938B,,4.938B,223.00M,,201.40M,330.90M,7.127B,0.0,105.70M,476.60M,1.009B,,,1.591B,-948.10M,643.00M,,3.468B,3.468B,404.10M,514.00M,5.029B,12.16B,5.724B,,,5.724B,838.50M,6.563B,,,34.80M,,34.80M,,,,6.598B,2.189B,,2.189B,,,56.30M,,750.50M,2.940B,9.538B,415.90M,374.20M,2.129B,14.00M,373.70M,,,-342.80M,2.562B
2004-03,1.395B,,1.395B,4.584B,316.80M,4.901B,249.70M,,201.10M,,6.747B,0.0,105.80M,,1.017B,484.20M,,1.607B,-950.40M,656.30M,,3.387B,3.387B,397.20M,512.40M,4.953B,11.70B,5.050B,,,5.050B,990.30M,6.041B,98.20M,,98.20M,,98.20M,,,,6.139B,2.191B,,2.191B,,,64.50M,,739.40M,2.93B,9.069B,415.50M,384.60M,2.070B,14.00M,373.70M,,,-288.50M,2.567B
2003-12,1.872B,195.10M,2.067B,4.650B,,4.650B,232.40M,,279.70M,303.30M,7.533B,0.0,105.20M,563.90M,1.035B,,,1.704B,-1.006B,697.90M,,3.311B,3.311B,378.30M,526.10M,4.913B,12.45B,5.615B,,,5.615B,1.257B,6.871B,,,316.90M,,316.90M,,,,7.188B,2.199B,,2.199B,,,64.80M,,875.30M,3.074B,10.26B,415.50M,-39.80M,2.076B,11.30M,373.70M,,,-321.60M,2.119B
2003-09,695.50M,,695.50M,4.475B,,4.475B,411.90M,,41.70M,389.10M,6.013B,0.0,152.60M,507.70M,1.041B,,,1.701B,-987.60M,713.80M,,3.281B,3.281B,610.50M,653.50M,5.259B,11.27B,4.889B,,,4.889B,1.092B,5.981B,243.00M,83.90M,326.90M,,326.90M,,,,6.308B,2.191B,,2.191B,,,64.70M,,767.30M,2.958B,9.266B,39.20M,508.80M,1.753B,11.30M,,,,-348.20M,1.941B
2003-06,700.10M,,700.10M,4.681B,,4.681B,452.50M,,69.40M,867.00M,6.770B,0.0,148.20M,496.80M,1.064B,,,1.709B,-968.60M,740.00M,,3.443B,3.443B,516.30M,627.10M,5.326B,12.10B,5.283B,,,5.283B,1.037B,6.319B,1.00M,128.50M,129.50M,,129.50M,,,149.00M,6.598B,2.587B,,2.587B,,,63.00M,,623.30M,3.210B,9.808B,39.10M,835.90M,1.743B,11.30M,,,,-381.10M,2.226B
2003-03,1.188B,,1.188B,4.254B,,4.254B,413.60M,,58.40M,805.00M,6.719B,0.0,139.30M,476.70M,1.049B,,,1.665B,-937.40M,727.50M,,3.307B,3.307B,508.50M,700.70M,5.244B,11.96B,4.677B,,,4.677B,1.021B,5.698B,582.50M,80.10M,662.60M,,662.60M,,,121.10M,6.482B,2.618B,,2.618B,,,64.50M,,647.20M,3.265B,9.747B,39.00M,849.40M,1.766B,65.00M,,,,-437.60M,2.152B
2002-12,933.00M,,933.00M,4.518B,,4.518B,427.10M,,37.00M,407.60M,6.322B,0.0,168.20M,1.125B,,487.80M,,1.781B,-955.40M,825.70M,,3.459B,3.459B,509.90M,677.10M,5.471B,11.79B,5.126B,,,5.126B,1.144B,6.270B,216.30M,604.00M,820.30M,,820.30M,,,,7.090B,1.818B,,1.818B,,,70.40M,,715.80M,2.534B,9.623B,38.90M,858.00M,1.797B,119.20M,,,,-474.70M,2.10B
2002-09,615.00M,,615.00M,4.471B,,4.471B,412.40M,,30.30M,455.60M,5.984B,0.0,166.90M,493.70M,1.132B,,,1.792B,-972.70M,819.40M,,3.355B,3.355B,528.20M,590.20M,5.293B,11.28B,4.676B,,,4.676B,1.015B,5.691B,,,535.00M,,535.00M,,,,6.226B,2.367B,,2.367B,,,65.60M,,571.90M,2.939B,9.165B,38.90M,874.40M,1.79B,141.80M,,,,-514.90M,2.047B
2002-06,537.30M,,537.30M,4.914B,,4.914B,390.30M,,44.50M,460.10M,6.346B,0.0,168.00M,504.60M,1.125B,,,1.798B,-938.60M,859.30M,,3.415B,3.415B,467.40M,613.10M,5.355B,11.70B,4.808B,,,4.808B,1.052B,5.860B,,,598.60M,,598.60M,,,,6.459B,2.378B,,2.378B,,,89.10M,,583.40M,2.961B,9.420B,38.80M,1.022B,1.809B,193.50M,,,,-485.00M,2.192B
2002-03,575.10M,,575.10M,4.465B,,4.465B,332.30M,,48.00M,391.80M,5.812B,0.0,159.80M,461.80M,1.097B,,,1.719B,-891.30M,827.50M,,3.180B,3.180B,486.90M,587.00M,5.082B,10.89B,4.211B,,,4.211B,1.231B,5.442B,,,525.40M,,525.40M,,,36.20M,6.004B,2.368B,,2.368B,,,90.00M,,536.90M,2.905B,8.909B,38.70M,891.80M,1.776B,239.10M,,,,-572.60M,1.894B
2001-12,935.20M,,935.20M,4.673B,,4.673B,337.60M,,80.00M,325.50M,6.352B,0.0,161.10M,461.40M,1.083B,,,1.706B,-858.00M,847.70M,,3.096B,3.096B,495.00M,584.60M,5.024B,11.38B,4.556B,,,4.556B,1.385B,5.941B,,,453.10M,,453.10M,,,36.00M,6.430B,2.481B,,2.481B,,,89.30M,,535.50M,3.016B,9.446B,38.60M,868.30M,1.785B,290.20M,,,,-561.80M,1.840B
2001-09,604.00M,81.60M,685.60M,4.862B,448.60M,5.311B,303.90M,,,,6.300B,0.0,179.70M,414.20M,1.118B,,,1.712B,-927.40M,784.70M,,3.059B,3.059B,512.20M,672.30M,5.028B,11.33B,4.366B,,,4.366B,1.260B,5.626B,,,1.225B,,1.225B,,,,6.851B,1.901B,,1.901B,,,103.70M,,609.30M,2.510B,9.361B,38.50M,971.40M,1.747B,331.90M,,,,-561.60M,1.864B
2001-06,686.12M,53.74M,739.86M,5.328B,492.37M,5.820B,283.27M,,,,6.843B,0.0,168.54M,465.50M,1.117B,,,1.751B,-922.58M,828.80M,,3.013B,3.013B,,1.106B,4.948B,11.79B,5.084B,,,5.084B,942.81M,6.027B,1.325B,,1.325B,,1.325B,,,,7.351B,1.410B,,1.410B,,,103.12M,,614.34M,2.024B,9.375B,38.37M,1.484B,1.704B,329.22M,,,,-584.84M,2.312B
2001-03,564.70M,49.32M,614.02M,4.323B,426.09M,4.749B,237.06M,,,,5.600B,0.0,505.77M,,867.86M,,,1.374B,-719.39M,654.25M,,2.699B,2.699B,,793.67M,4.147B,9.747B,3.873B,,,3.873B,799.08M,4.672B,,,1.097B,,1.097B,,,,5.769B,1.426B,,1.426B,,,77.63M,,501.45M,1.928B,7.696B,32.30M,1.559B,1.195B,266.98M,,,,-547.53M,1.973B
2000-12,844.60M,,844.60M,5.645B,,5.645B,277.80M,,,436.70M,7.204B,0.0,174.10M,427.80M,1.102B,,,1.704B,-879.20M,825.00M,,3.155B,3.155B,380.30M,699.90M,5.060B,12.26B,5.782B,,,5.782B,1.265B,7.047B,,,549.30M,,549.30M,,,29.40M,7.625B,1.532B,,1.532B,,,100.60M,,625.20M,2.157B,9.782B,37.70M,1.565B,1.515B,194.80M,,,,-541.30M,2.381B
2000-09,583.32M,42.89M,626.21M,,,4.378B,,,,646.50M,5.651B,,,,,,,999.40M,-551.85M,447.55M,,2.536B,2.536B,,932.10M,3.916B,9.567B,4.146B,,,4.146B,,4.146B,,,445.74M,,445.74M,,,873.31M,5.465B,1.658B,,1.658B,,,77.40M,,499.54M,2.157B,7.622B,31.31M,1.545B,908.30M,177.67M,,,,-439.76M,1.867B
2000-06,687.53M,54.63M,742.16M,,,4.654B,,,,619.68M,6.016B,,,,,,,1.153B,-538.80M,614.18M,,2.402B,2.402B,,738.60M,3.755B,9.771B,4.624B,,,4.624B,,4.624B,,,534.76M,,534.76M,,,903.74M,6.062B,1.246B,,1.246B,,,84.96M,,497.46M,1.743B,7.805B,31.22M,1.512B,881.23M,145.51M,,,,-398.52M,1.880B
2000-03,678.94M,47.98M,726.92M,,,4.595B,,,,145.10M,5.467B,,,,,,,1.021B,-492.62M,528.57M,,1.701B,1.701B,,704.40M,2.934B,8.400B,4.292B,,,4.292B,,4.292B,,,381.81M,,381.81M,,,770.83M,5.445B,844.83M,,844.83M,,,79.86M,,486.27M,1.331B,6.776B,29.84M,1.338B,772.33M,338.22M,,,,-257.47M,1.544B
1999-12,1.029B,36.76M,1.066B,,,4.442B,,,,484.85M,5.993B,,,,,,,1.226B,-632.49M,593.27M,,1.880B,1.880B,,781.25M,3.254B,9.247B,4.629B,,,4.629B,,4.629B,,,262.48M,,262.48M,,,930.05M,5.822B,1.049B,,1.049B,45.89M,45.89M,81.61M,,484.52M,1.579B,7.401B,31.59M,1.392B,807.31M,312.93M,,,,-153.73M,1.764B
1999-09,763.20M,46.40M,809.60M,,,4.28B,,,,148.20M,5.238B,,,,,,,909.30M,-458.90M,450.40M,,1.455B,1.455B,,514.10M,2.420B,7.658B,3.897B,,,3.897B,,3.897B,,,256.10M,,256.10M,,,748.50M,4.902B,854.50M,,854.50M,,,63.70M,,461.20M,1.316B,6.218B,824.40M,1.276B,794.70M,436.70M,,,,-555.20M,1.376B
1999-06,853.00M,,853.00M,,,4.321B,,,,198.80M,5.373B,,,,,,,876.50M,-438.60M,437.90M,,1.393B,1.393B,,485.00M,2.316B,7.689B,4.059B,,,4.059B,,4.059B,,,249.30M,,249.30M,,,678.50M,4.987B,847.40M,,847.40M,,,59.70M,,451.20M,1.299B,6.286B,,1.241B,,,,,,,1.344B
1999-03,666.00M,,666.00M,,,3.804B,,,,212.70M,4.682B,,,,,,,856.10M,-424.20M,431.90M,,1.325B,1.325B,,467.70M,2.224B,6.906B,3.48B,,,3.48B,,3.48B,,,416.20M,,416.20M,,,706.30M,4.602B,551.50M,,551.50M,,,57.30M,,446.70M,998.20M,5.601B,,1.140B,,,,,,,1.248B
1998-12,808.80M,31.70M,840.50M,,,3.799B,,,,137.20M,4.777B,,,,,,,890.50M,-450.90M,439.60M,,1.281B,1.281B,,444.90M,2.166B,6.943B,3.614B,,,3.614B,,3.614B,,,214.50M,,214.50M,,,830.20M,4.658B,506.60M,,506.60M,,,55.90M,,456.80M,963.40M,5.622B,,1.116B,,,,,,,1.265B
1998-09,621.70M,,621.70M,,,3.467B,,,,202.90M,4.292B,,,,,,,773.00M,-378.60M,394.40M,,1.172B,1.172B,,345.90M,1.913B,6.205B,3.193B,,,3.193B,,3.193B,,,227.10M,,227.10M,,,642.40M,4.063B,464.00M,,464.00M,,,52.30M,,393.10M,857.10M,4.920B,,1.135B,,,,,,,1.232B
1998-06,637.00M,,637.00M,,,3.627B,,,,187.20M,4.451B,,,,,,,741.50M,-356.60M,384.90M,,1.153B,1.153B,,357.50M,1.895B,6.346B,3.392B,,,3.392B,,3.392B,,,248.00M,,248.00M,,,603.40M,4.243B,464.30M,,464.30M,,,47.60M,,391.50M,855.80M,5.099B,,1.111B,,,,,,,1.199B
