,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2001-12,1.296B,1.296B,,,,1.073B,,37.70M,11.00M,,,,0.00,1.110B,185.70M,,,,7.20M,,166.30M,76.90M,80.80M,,,-9.10M,,96.40M,74.20M,282.00M,96.30M,185.70M,0.06,0.0,,0.0422,0.06,0.06,0.0,,0.0422,0.06,371.34M,371.34M,0.095
2001-09,1.622B,1.622B,,,,1.481B,,42.80M,-723.30M,,,,81.70M,1.606B,16.20M,,,,-723.30M,,-664.10M,-186.30M,-482.40M,,,-2.90M,,-482.40M,37.99M,129.40M,113.20M,16.20M,-1.31,0.0,,0.098,-1.31,-1.31,0.0,,0.098,-1.31,369.61M,369.61M,0.095
2001-06,1.760B,1.760B,,,,1.479B,,42.20M,-269.40M,,,,221.40M,1.742B,17.60M,,,,-267.30M,,-63.10M,46.20M,-116.30M,,,-10.50M,,-116.30M,45.34M,130.30M,112.70M,17.60M,-0.32,0.0,,0.1182,-0.32,-0.32,0.0,,0.1182,-0.32,368.90M,368.90M,0.095
2001-03,1.675B,1.675B,,,,1.483B,,41.90M,-153.00M,,,,,1.525B,149.90M,,,,-151.70M,,-28.10M,-2.50M,-31.20M,,,-6.90M,,-31.20M,108.19M,258.80M,108.90M,149.90M,-0.09,0.0,,0.2907,-0.09,-0.09,0.0,,0.2907,-0.09,366.10M,366.10M,0.095
2000-12,2.042B,2.042B,,,,1.705B,,42.60M,-50.10M,,,,,6.905B,-4.863B,,,,-70.70M,,226.80M,103.50M,85.70M,,,-17.00M,,85.70M,115.76M,-4.738B,125.10M,-4.863B,0.2723,,,0.3679,0.2723,0.2723,,,0.3679,0.2723,314.67M,314.67M,0.095
2000-09,1.734B,1.734B,,,,1.479B,,37.40M,-20.40M,,,,,1.516B,218.20M,,,,-19.70M,,172.90M,72.10M,90.80M,,,-10.70M,,90.80M,103.04M,358.74M,140.54M,218.20M,0.25,0.0,,0.2908,0.25,0.24,0.0,,0.2796,0.24,300.00M,309.03M,0.095
2000-06,1.418B,1.418B,-71.22M,1.489B,,1.125B,,,-19.28M,,,,,1.196B,293.51M,,,,-19.28M,,241.90M,105.06M,136.84M,,,-10.29M,,136.84M,148.41M,364.73M,65.95M,293.51M,0.46,0.0,,0.4993,0.46,0.45,0.0,,0.4865,0.45,294.44M,317.24M,0.095
2000-03,1.225B,1.225B,-35.64M,1.261B,,1.084B,35.64M,23.41M,-19.04M,,,,36.05M,1.180B,81.45M,,,,-17.34M,,78.04M,31.38M,42.94M,,,-5.422M,,42.94M,54.36M,147.46M,66.01M,81.45M,0.14,0.0,,0.1806,0.14,0.14,0.0,,0.1792,0.14,281.04M,291.29M,0.085
1999-12,1.573B,1.573B,8.776M,1.564B,,1.285B,,,-34.94M,,,,,1.375B,188.72M,,,,-34.94M,,117.19M,52.40M,64.79M,,,-14.95M,,64.79M,85.76M,279.27M,90.55M,188.72M,0.24,0.0,,0.3157,0.24,0.23,0.0,,0.3057,0.23,276.81M,276.81M,0.085
1999-09,1.151B,1.151B,-47.50M,1.199B,,1.020B,,,16.85M,,,,,1.068B,130.91M,,,,16.85M,,119.78M,52.00M,67.78M,,,-6.288M,,67.78M,57.67M,188.42M,57.51M,130.91M,0.23,0.0,,0.1955,0.23,0.22,0.0,,0.1867,0.22,292.76M,303.37M,0.085
1999-06,1.231B,1.231B,-60.50M,1.292B,,979.47M,,,31.92M,,,,,1.040B,251.64M,,,,31.92M,,254.00M,103.99M,150.01M,,,-9.003M,,150.01M,130.86M,312.14M,60.50M,251.64M,0.51,0.0,,0.4449,0.51,0.49,0.0,,0.4274,0.49,294.13M,306.14M,0.085
1999-03,908.10M,908.10M,785.10M,123.00M,,,,,18.00M,,,,,45.00M,78.00M,,,,18.00M,,78.40M,33.60M,44.80M,,,-3.60M,,44.80M,34.00M,123.00M,45.00M,78.00M,0.17,0.0,,0.129,0.17,0.16,0.0,,0.1214,0.16,263.53M,280.00M,0.075
1998-12,1.512B,1.512B,-2.371B,3.883B,,,,,34.85M,,,,,3.652B,231.40M,,,,34.85M,,231.54M,94.84M,136.71M,,,-13.80M,,136.71M,115.80M,298.65M,67.25M,231.40M,0.4,0.0,,0.3434,0.4,0.39,0.0,,0.3347,0.39,369.49M,378.22M,0.075
1998-09,886.50M,886.50M,762.50M,124.00M,,,,,25.60M,,,,,42.40M,81.60M,,,,25.60M,,85.60M,38.60M,47.00M,,,-5.50M,,47.00M,31.64M,124.00M,42.40M,81.60M,0.17,0.0,,0.1144,0.17,0.17,0.0,,0.1144,0.17,276.47M,276.47M,0.075
1998-06,1.003B,1.003B,766.10M,237.00M,,,,,30.60M,,,,,41.50M,195.50M,,,,30.60M,,205.20M,86.70M,118.50M,,,-6.40M,,118.50M,100.14M,237.50M,42.00M,195.50M,0.44,0.0,,0.3718,0.44,0.42,0.0,,0.3549,0.42,269.32M,282.14M,0.075
