,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,IncomeStatementDepreciation,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2001-12,5.739B,5.739B,4.479B,1.26B,,,,,,,,1.12B,140.00M,,,,,397.00M,150.00M,247.00M,,,247.00M,247.00M,491.00M,70.00M,421.00M,,0.1975,0.00,,0.1975,0.1975,,0.1925,0.00,,0.1925,0.1925,,1.239B,1.284B,0.00,,AOR,Restated
2001-09,5.941B,5.941B,4.465B,1.476B,,,0.00,-5.545B,,,6.558B,1.08B,396.00M,,,,,373.00M,142.00M,231.00M,,,231.00M,231.00M,463.00M,67.00M,396.00M,,0.1875,0.00,,0.1875,0.1875,,0.1775,0.00,,0.1775,0.1775,,1.236B,1.296B,0.00,,AOR,
2001-06,5.813B,5.813B,4.394B,1.419B,,,0.00,-5.429B,,,6.40B,1.035B,384.00M,,,,,360.00M,137.00M,223.00M,,,223.00M,223.00M,448.00M,64.00M,384.00M,,0.1775,0.00,,0.1775,0.1775,,0.17,0.00,,0.17,0.17,,1.252B,1.308B,0.00,,AOR,
2001-03,5.68B,5.68B,4.306B,1.374B,,,0.00,-5.315B,,,6.26B,1.009B,365.00M,,,,,342.00M,130.00M,212.00M,,,212.00M,212.00M,429.00M,64.00M,365.00M,,0.1675,0.00,,0.1675,0.1675,,0.16,0.00,,0.16,0.16,,1.271B,1.328B,0.0075,,AOR,
2000-12,5.461B,5.434B,4.155B,1.279B,,,,-5.104B,,,5.991B,949.00M,330.00M,,,,,336.00M,126.00M,210.00M,,,210.00M,210.00M,392.00M,62.00M,330.00M,,0.1625,0.00,,0.1625,0.1625,,0.1575,0.00,,0.1575,0.1575,,1.285B,1.338B,0.00,,AOR,
2000-09,5.369B,5.369B,4.105B,1.264B,,,0.00,-5.06B,,,5.953B,955.00M,309.00M,,,,,291.00M,109.00M,182.00M,,,182.00M,182.00M,371.00M,62.00M,309.00M,,0.1412,0.00,,0.1412,0.1412,,0.135,0.00,,0.135,0.135,,1.287B,1.342B,0.00,,AOR,
2000-06,5.22B,5.22B,3.992B,1.228B,,,0.00,-4.932B,,,5.811B,940.00M,288.00M,,,,,272.00M,102.00M,170.00M,,,170.00M,170.00M,349.00M,61.00M,288.00M,,0.13,0.00,,0.13,0.13,,0.1262,0.00,,0.1262,0.1262,,1.302B,1.349B,0.00,,AOR,
2000-03,5.099B,5.099B,3.903B,1.196B,,,0.00,-4.826B,,,5.687B,923.00M,273.00M,,,,,256.00M,82.00M,174.00M,,,174.00M,174.00M,335.00M,62.00M,273.00M,,0.1325,0.00,,0.1325,0.1325,,0.1288,0.00,,0.1288,0.1288,,1.316B,1.349B,0.0038,,AOR,
1999-12,4.992B,4.992B,,,,,,-4.734B,,,,-4.734B,9.726B,,,,,241.00M,84.00M,157.00M,,,157.00M,157.00M,9.788B,62.00M,9.726B,,0.115,0.00,,0.115,0.115,,0.1138,0.00,,0.1138,0.1138,,1.347B,1.384B,0.00,,AOR,
1999-09,4.903B,4.903B,,,,,,-4.664B,,,,-4.664B,9.567B,,,,,229.00M,85.00M,144.00M,,,144.00M,144.00M,9.628B,61.00M,9.567B,,0.1038,0.00,,0.1038,0.1038,,0.1012,0.00,,0.1012,0.1012,,1.392B,1.424B,0.00,,,
1999-06,4.858B,4.858B,,,,,,-4.633B,,,,-4.633B,9.491B,,,,,214.00M,79.00M,135.00M,,,135.00M,135.00M,9.546B,55.00M,9.491B,,0.0975,0.00,,0.0975,0.0975,,0.095,0.00,,0.095,0.095,,1.392B,1.424B,0.00,,,
1999-03,4.809B,4.809B,,,,,,-4.588B,,,,-4.588B,9.397B,,,,,210.00M,78.00M,132.00M,,,132.00M,132.00M,9.452B,55.00M,9.397B,,0.0912,0.00,,0.0912,0.0912,,0.09,0.00,,0.09,0.09,,1.44B,1.464B,0.0038,,,
1998-12,4.645B,4.645B,,,,,0.00,-4.431B,,,,15.39B,-24.27B,,,0.00,,210.00M,78.00M,132.00M,,26.00M,132.00M,132.00M,-24.22B,52.00M,-24.27B,,0.0688,0.00,,0.0688,0.0688,,0.0688,0.00,,0.0688,0.0688,,1.491B,1.491B,0.00,,AOR,Restated
1998-09,4.36B,4.36B,,,,,,-4.146B,,,,-4.146B,8.506B,,,,,214.00M,79.00M,135.00M,,7.00M,135.00M,135.00M,8.549B,43.00M,8.506B,,0.0838,0.00,,0.0838,0.0838,,0.0825,0.00,,0.0825,0.0825,,1.536B,1.552B,0.00,,,
1998-06,4.235B,4.235B,,,,,-725.00M,-4.189B,,,,-4.189B,8.424B,,,-725.00M,,-679.00M,-114.00M,-565.00M,,7.00M,-565.00M,38.28M,8.472B,48.00M,8.424B,,-0.37,0.00,,0.0207,-0.37,,-0.37,0.00,,0.0207,-0.37,,1.544B,1.544B,0.00,,,
1998-03,4.115B,4.115B,,,,,,-3.906B,,,,-3.906B,8.021B,,,,,209.00M,77.00M,132.00M,,7.00M,132.00M,132.00M,8.063B,42.00M,8.021B,,0.0812,0.00,,0.0812,0.0812,,0.0788,0.00,,0.0788,0.0788,,1.544B,1.592B,0.0038,,,
1997-12,3.053B,3.053B,,,,,,-2.861B,,,,10.70B,-16.19B,,,,,192.00M,73.00M,90.00M,,7.00M,119.00M,119.00M,-16.15B,40.00M,-16.19B,,0.0775,0.00,,0.0775,0.0775,,0.0725,0.00,,0.0725,0.0725,,1.412B,1.54B,0.00,,AOR,
1997-09,2.959B,2.959B,,,,,,-2.772B,,,,-2.772B,5.731B,,,,,187.00M,71.00M,116.00M,,7.00M,116.00M,116.00M,5.768B,37.00M,5.731B,,0.0712,0.00,,0.0712,0.0712,,0.0712,0.00,,0.0712,0.0712,,1.536B,1.536B,0.00,,,
1997-06,2.931B,2.931B,,,,,,-2.746B,,,,-2.746B,5.677B,,,,,185.00M,69.00M,116.00M,,7.00M,116.00M,116.00M,5.712B,35.00M,5.677B,,0.0712,0.00,,0.0712,0.0712,,0.0712,0.00,,0.0712,0.0712,,1.523B,1.523B,0.00,,,
1997-03,2.852B,2.852B,,,,,,-2.673B,,,,-2.673B,5.525B,,,,,179.00M,70.00M,109.00M,,7.00M,109.00M,109.00M,5.559B,34.00M,5.525B,,0.0675,0.00,,0.0675,0.0675,,0.0675,0.00,,0.0675,0.0675,,1.515B,1.515B,0.0038,,,
1996-12,2.676B,2.676B,,,,,-14.97M,-2.520B,,,,9.240B,-13.74B,,,-14.97M,,156.57M,60.81M,95.14M,-0.025M,7.188M,95.14M,104.30M,-13.71B,36.23M,-13.74B,,0.0588,0.00,,0.0648,0.0588,,0.0588,0.00,,0.0648,0.0588,,1.506B,1.506B,0.00,,AOR,
1996-09,2.587B,2.587B,,,,,,-2.438B,,,,-2.438B,5.025B,,,,,149.46M,58.23M,91.23M,-0.145M,91.23M,91.23M,91.23M,5.059B,33.91M,5.025B,,0.0562,0.00,,0.0562,0.0562,,0.0562,0.00,,0.0562,0.0562,,1.497B,1.497B,0.00,,,
1996-06,2.492B,2.492B,,,,,-14.97M,-2.395B,,,,-2.395B,4.887B,,,-14.97M,,82.40M,32.08M,50.32M,-0.149M,7.188M,50.32M,59.46M,4.919B,31.93M,4.887B,,0.0288,0.00,,0.0349,0.0288,,0.0288,0.00,,0.0349,0.0288,,1.493B,1.493B,0.00,,,
1996-03,2.318B,2.318B,,,,,,-2.125B,,,,-2.125B,4.443B,,,,,192.42M,73.48M,118.95M,0.934M,7.188M,118.95M,118.95M,4.474B,31.10M,4.443B,,0.0775,0.00,,0.0775,0.0775,,0.0775,0.00,,0.0775,0.0775,,1.444B,1.444B,0.0038,,,
1995-12,2.194B,2.194B,,,,,,-2.017B,,,,4.165B,-5.903B,,,,,25.40M,8.576M,12.98M,1.619M,,12.98M,12.98M,-5.867B,35.07M,-5.903B,,0.0025,0.00,,0.0025,0.0025,,0.0025,0.00,,0.0025,0.0025,,1.439B,1.439B,0.00,,AOR,
1995-09,1.216B,1.216B,,,,,,-1.065B,,,,-1.065B,2.281B,,,,,149.32M,55.66M,93.67M,1.097M,,93.67M,93.67M,2.300B,19.34M,2.281B,,0.0662,0.00,,0.0662,0.0662,,0.0662,0.00,,0.0662,0.0662,,1.417B,1.417B,0.00,,,
1995-06,1.158B,1.158B,,,,,,-1.014B,,,,-1.014B,2.172B,,,,,142.98M,53.10M,89.88M,0.528M,,89.88M,89.88M,2.192B,20.38M,2.172B,,0.0638,0.00,,0.0638,0.0638,,0.0638,0.00,,0.0638,0.0638,,1.410B,1.410B,0.00,,,
1995-03,1.104B,1.104B,,,,,,-960.74M,,,,-960.74M,2.065B,,,,,142.31M,52.88M,89.43M,0.601M,,89.43M,89.43M,2.084B,19.66M,2.065B,,0.0638,0.00,,0.0638,0.0638,,0.0638,0.00,,0.0638,0.0638,,1.411B,1.411B,0.0038,,,
1994-12,969.00M,968.98M,685.61M,283.38M,130.65M,15.58M,-35.98M,,,,,110.29M,173.09M,,,-35.98M,,138.14M,51.92M,84.24M,0.50M,,84.21M,-1.270B,285.67M,112.58M,173.09M,,0.06,0.00,0.0004,0.0760,0.06,,0.06,0.00,0.0004,0.0760,0.06,,1.400B,1.402B,0.00,,AOR,
1994-09,956.80M,956.80M,675.70M,281.10M,133.50M,16.30M,,,,,,149.80M,131.30M,,,,,130.60M,49.80M,80.80M,0.40M,,80.80M,80.80M,147.60M,-16.20M,131.30M,,0.0575,0.00,,0.0575,0.0575,,0.0575,0.00,,0.0575,0.0575,,1.405B,1.405B,0.00,,,
1994-06,939.50M,939.50M,652.40M,287.10M,148.20M,16.30M,-35.90M,,,,,164.50M,122.60M,,,-35.90M,,85.70M,33.00M,52.70M,0.50M,,1.430B,74.78M,138.90M,-16.40M,122.60M,,0.0375,0.9825,0.9824,0.0532,1.02,,0.0375,0.9825,0.9824,0.0532,1.02,,1.402B,1.402B,0.00,,,
1994-03,697.50M,697.50M,475.70M,221.80M,117.80M,15.90M,15.90M,,,,,133.70M,88.10M,,,15.90M,,103.80M,39.50M,64.30M,0.10M,,64.30M,54.45M,104.00M,-15.90M,88.10M,,0.0525,0.00,,0.0445,0.0525,,0.0525,0.00,,0.0445,0.0525,,1.225B,1.225B,0.0038,,,
1993-12,713.00M,713.00M,454.90M,258.10M,114.70M,13.80M,-42.30M,,,,,128.50M,129.60M,,,-42.30M,,87.00M,31.40M,55.60M,0.20M,,55.60M,82.63M,143.40M,-13.80M,129.60M,,0.0425,0.00,,0.0631,0.0425,,0.0425,0.00,,0.0631,0.0425,,1.315B,1.315B,0.00,,,
1993-09,634.90M,634.90M,451.00M,183.90M,102.40M,17.50M,14.40M,,,,,119.90M,64.00M,,,14.40M,,78.10M,27.90M,50.20M,0.20M,,50.20M,40.94M,81.50M,-17.50M,64.00M,,0.04,0.00,,0.0326,0.04,,0.04,0.00,,0.0326,0.04,,1.255B,1.255B,0.00,,,
1993-06,513.70M,513.70M,352.70M,161.00M,87.40M,8.70M,,,,,,96.10M,64.90M,,,,,64.60M,23.30M,41.30M,0.10M,,41.30M,41.30M,73.60M,-8.70M,64.90M,,0.0375,0.00,,0.0375,0.0375,,0.0375,0.00,,0.0375,0.0375,,1.101B,1.101B,0.00,,,
1993-03,474.60M,474.60M,321.80M,152.80M,82.40M,10.30M,,,,,,92.70M,60.10M,,,,,59.70M,21.60M,38.10M,0.20M,,38.10M,38.10M,70.40M,-10.30M,60.10M,,0.035,0.00,,0.035,0.035,,0.035,0.00,,0.035,0.035,,1.089B,1.089B,0.0019,,,
1992-12,388.40M,388.40M,248.70M,139.70M,77.80M,11.80M,,,,,,89.60M,50.10M,,,,,49.70M,17.50M,32.20M,0.20M,,32.20M,32.20M,61.90M,-11.80M,50.10M,,0.03,0.00,,0.03,0.03,,0.03,0.00,,0.03,0.03,,1.070B,1.070B,0.00,,,
1992-09,367.10M,367.10M,245.80M,121.30M,69.00M,6.70M,,,,,,75.70M,45.60M,,,,,45.30M,15.90M,29.40M,0.10M,,29.40M,29.40M,52.30M,-6.60M,45.60M,,0.0275,0.00,,0.0275,0.0275,,0.0275,0.00,,0.0275,0.0275,,1.069B,1.069B,0.00,,,
1992-06,351.00M,351.00M,235.80M,115.20M,65.80M,6.50M,,,,,,72.30M,42.90M,,,,,42.50M,14.90M,27.60M,0.10M,,27.60M,27.60M,49.40M,-6.50M,42.90M,,0.025,0.00,,0.025,0.025,,0.025,0.00,,0.025,0.025,,1.104B,1.104B,0.001,,,
1992-03,335.30M,335.30M,228.90M,106.40M,61.20M,6.20M,,,,,,67.40M,39.00M,,,,,38.50M,13.50M,25.00M,0.10M,,25.00M,25.00M,45.20M,-6.20M,39.00M,,0.025,0.00,,0.025,0.025,,0.025,0.00,,0.025,0.025,,1.00B,1.00B,0.00,,,
1991-12,260.20M,260.20M,170.80M,89.40M,52.50M,4.20M,,,,,,56.70M,32.70M,,,,,32.20M,11.00M,21.20M,0.10M,,21.20M,21.20M,36.90M,-4.20M,32.70M,,0.02,0.00,,0.02,0.02,,0.02,0.00,,0.02,0.02,,1.066B,1.066B,0.00,,,
1991-09,220.80M,220.80M,139.60M,81.20M,47.50M,3.40M,,,,,,50.90M,30.30M,,,,,29.90M,10.20M,19.70M,0.10M,,19.70M,19.70M,33.70M,-3.40M,30.30M,,0.02,0.00,,0.02,0.02,,0.02,0.00,,0.02,0.02,,985.00M,985.00M,0.00,,,
1991-06,186.70M,186.70M,111.30M,75.40M,43.90M,3.40M,,,,,,47.30M,28.10M,,,,,27.70M,9.40M,18.30M,,,18.30M,18.30M,31.50M,-3.40M,28.10M,,0.0175,0.00,,0.0175,0.0175,,0.0175,0.00,,0.0175,0.0175,,1.046B,1.046B,0.001,,,
1991-03,179.40M,179.40M,112.00M,67.40M,40.00M,3.30M,,,,,,43.30M,24.10M,,,,,23.70M,8.10M,15.60M,0.10M,,15.60M,15.60M,27.40M,-3.30M,24.10M,,0.0175,0.00,,0.0175,0.0175,,0.0175,0.00,,0.0175,0.0175,,891.43M,891.43M,0.00,,,
1990-12,168.50M,168.50M,105.80M,62.70M,43.50M,3.20M,,,,,,46.70M,16.00M,,,,,15.50M,5.30M,10.20M,0.00,,10.20M,10.20M,19.20M,-3.20M,16.00M,,0.01,0.00,,0.01,0.01,,0.01,0.00,,0.01,0.01,,1.02B,1.031B,0.00,,,
1990-09,156.80M,156.80M,100.20M,56.60M,39.50M,2.80M,,,,,,42.30M,14.30M,,,,,14.00M,4.80M,9.20M,0.10M,,9.20M,9.20M,17.10M,-2.80M,14.30M,,0.01,0.00,,0.01,0.01,,0.01,0.00,,0.01,0.01,,920.00M,920.00M,0.001,,,
1990-06,150.20M,150.20M,97.90M,52.30M,36.60M,2.40M,,,,,,39.00M,13.30M,,,,,11.90M,4.10M,7.80M,0.20M,,7.80M,7.80M,15.70M,-2.40M,13.30M,,0.01,0.00,,0.01,0.01,,0.01,0.00,,0.01,0.01,,780.00M,780.00M,,,,
1990-03,129.90M,129.90M,116.00M,13.90M,,2.20M,,,,,,2.20M,11.70M,,,,,10.20M,3.50M,6.70M,0.10M,,6.70M,6.70M,13.90M,-2.20M,11.70M,,0.01,0.00,,0.01,0.01,,0.01,0.00,,0.01,0.01,,670.00M,670.00M,,,,
1989-12,107.90M,107.90M,61.40M,46.50M,35.60M,2.20M,,,,,,37.80M,8.70M,,,,,7.60M,2.80M,4.80M,0.00,,4.80M,4.80M,10.90M,-2.20M,8.70M,,0.005,0.00,,0.005,0.005,,0.005,0.00,,0.005,0.005,,960.00M,960.00M,,,,
1989-09,105.30M,105.30M,62.80M,42.50M,33.70M,1.90M,,,,,,35.60M,6.90M,,,,,5.80M,2.10M,3.70M,,,3.70M,3.70M,8.80M,-1.90M,6.90M,,0.005,0.00,,0.005,0.005,,0.005,0.00,,0.005,0.005,,740.00M,740.00M,,,,
1989-06,102.80M,102.80M,62.50M,40.30M,32.90M,1.80M,,,,,,34.70M,5.60M,,,,,4.50M,1.60M,2.90M,,,2.90M,2.90M,7.40M,1.80M,5.60M,,0.005,0.00,,0.005,0.005,,0.005,0.00,,0.005,0.005,,580.00M,580.00M,,,,
1989-03,96.00M,96.00M,,,,,,,,,,,96.00M,,,,,,,2.30M,,,2.30M,2.30M,96.00M,,96.00M,,0.005,0.00,,0.005,0.005,,0.005,0.00,,0.005,0.005,,460.00M,460.00M,,,,
1988-12,77.10M,77.10M,,,,,,,,,,,-364.50M,,,,,,,1.20M,,,1.20M,1.20M,-364.50M,,-364.50M,,0.0025,0.00,,0.0025,0.0025,,0.0025,0.00,,0.0025,0.0025,,510.34M,510.34M,,,,
1988-09,120.90M,120.90M,,,,,,,,,,,120.90M,,,,,,,-39.00M,,,-39.00M,-39.00M,120.90M,,120.90M,,-0.0775,0.00,,-0.0775,-0.0775,,-0.0775,0.00,,-0.0775,-0.0775,,503.23M,503.23M,,,,
1988-06,118.70M,118.70M,,,,,,,,,,,118.70M,,,,,,,0.30M,,,0.30M,0.30M,118.70M,,118.70M,,0.0025,0.00,,0.0025,0.0025,,0.0025,0.00,,0.0025,0.0025,,512.77M,512.77M,,,,
1988-03,117.20M,117.20M,,,,,,,,,,,117.20M,,,,,,,0.70M,,,0.70M,0.70M,117.20M,,117.20M,,0.0025,0.00,,0.0025,0.0025,,0.0025,0.00,,0.0025,0.0025,,511.65M,511.65M,,,,
1987-12,108.60M,108.60M,,,,,,,,,,,-347.50M,,,,,,,-4.20M,,,-4.20M,-4.20M,-347.50M,,-347.50M,,-0.0075,0.00,,-0.0075,-0.0075,,-0.0075,0.00,,-0.0075,-0.0075,,552.62M,552.62M,,,,
1987-09,111.60M,111.60M,,,,,,,,,,,111.60M,,,,,,,-12.80M,,,-12.80M,-12.80M,111.60M,,111.60M,,-0.025,0.00,,-0.025,-0.025,,-0.025,0.00,,-0.025,-0.025,,512.00M,512.00M,,,,
1987-06,111.10M,111.10M,,,,,,,,,,,111.10M,,,,,,,0.70M,,,0.70M,0.70M,111.10M,,111.10M,,0.0025,0.00,,0.0025,0.0025,,0.0025,0.00,,0.0025,0.0025,,491.52M,491.52M,,,,
1987-03,104.20M,104.20M,,,,,,,,,,,104.20M,,,,,,,0.60M,,,0.60M,0.60M,104.20M,,104.20M,,0.0025,0.00,,0.0025,0.0025,,0.0025,0.00,,0.0025,0.0025,,488.16M,488.16M,,,,
1986-12,70.00M,70.00M,,,,,,,,,,,-134.60M,,,,,,,1.50M,,,1.50M,1.50M,-134.60M,,-134.60M,,0.005,0.00,,0.005,0.005,,0.005,0.00,,0.005,0.005,,492.26M,492.26M,,,,
1986-09,56.30M,56.30M,,,,,,,,,,,56.30M,,,,,,,2.60M,,,2.60M,2.60M,56.30M,,56.30M,,0.0075,0.00,,0.0075,0.0075,,0.0075,0.00,,0.0075,0.0075,,346.67M,346.67M,,,,
1986-06,49.00M,49.00M,,,,,,,,,,,49.00M,,,,,,,1.20M,,,1.20M,1.20M,49.00M,,49.00M,,0.0025,0.00,,0.0025,0.0025,,0.0025,0.00,,0.0025,0.0025,,480.00M,480.00M,,,,
1986-03,37.60M,37.60M,,,,,,,,,,,37.60M,,,,,,,1.00M,,,1.00M,1.00M,37.60M,,37.60M,,0.0025,0.00,,0.0025,0.0025,,0.0025,0.00,,0.0025,0.0025,,400.00M,400.00M,,,,
1985-12,32.10M,32.10M,,,,,,,,,,,-65.00M,,,,,,,0.80M,,,0.80M,0.80M,-65.00M,,-65.00M,,0.0021,,,0.0021,0.0021,,0.0021,,,0.0021,0.0021,,379.39M,379.39M,,,,
1985-09,27.80M,27.80M,,,,,,,,,,,27.80M,,,,,,,0.90M,,,0.90M,0.90M,27.80M,,27.80M,,0.0025,0.00,,0.0025,0.0025,,0.0025,0.00,,0.0025,0.0025,,360.00M,360.00M,,,,
1985-06,5.50M,5.50M,,,,,,,,,,,5.50M,,,,,,,0.50M,,,0.50M,0.50M,5.50M,,5.50M,,0.0025,0.00,,0.0025,0.0025,,0.0025,0.00,,0.0025,0.0025,,200.00M,200.00M,,,,
1985-03,5.00M,5.00M,,,,,,,,,,,5.00M,,,,,,,0.30M,,,0.30M,0.30M,5.00M,,5.00M,,0.0025,0.00,,0.0025,0.0025,,0.0025,0.00,,0.0025,0.0025,,223.07M,223.07M,,,,
