,NetIncome,OperatingGainsLosses,DepreciationExpense,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2005-09,800.00M,,,116.00M,116.00M,-89.00M,,81.00M,3.00M,336.00M,3.00M,431.00M,-542.00M,231.00M,1.139B,,-145.00M,,-145.00M,-171.00M,122.00M,,-194.00M,,0.00,231.00M,231.00M,108.00M,-350.00M,-242.00M,,0.00,201.00M,190.00M,,4.042B,1.135B,,5.177B,,108.00M,0.00,,-350.00M,,AOR,Restated
2005-06,762.00M,,,108.00M,108.00M,-14.00M,,88.00M,-54.00M,95.00M,-54.00M,107.00M,210.00M,304.00M,1.248B,,-109.00M,,-109.00M,-96.00M,-204.00M,,-409.00M,,0.00,0.00,0.00,92.00M,-1.13B,-1.038B,,-19.00M,187.00M,-870.00M,,4.073B,-31.00M,,4.042B,,92.00M,0.00,,-1.13B,,AOR,Restated
2005-03,743.00M,,,109.00M,109.00M,-75.00M,,56.00M,12.00M,290.00M,12.00M,290.00M,-302.00M,302.00M,1.135B,,-113.00M,,-113.00M,-19.00M,-267.00M,,-399.00M,,500.00M,-273.00M,227.00M,132.00M,-1.232B,-1.10B,,,219.00M,-654.00M,,3.991B,82.00M,,4.073B,,132.00M,500.00M,,-1.232B,,AOR,Restated
2004-12,563.00M,,,106.00M,106.00M,-257.00M,,,61.00M,199.00M,31.00M,-653.00M,744.00M,382.00M,1.038B,,-116.00M,,-110.00M,-313.00M,587.00M,,164.00M,,-150.00M,79.00M,123.00M,143.00M,-1.348B,-1.205B,,,254.00M,-846.00M,,3.635B,356.00M,,3.991B,,143.00M,0.00,,-1.348B,,AOR,Restated
2004-09,698.00M,,,99.00M,99.00M,-2.00M,,,-40.00M,203.00M,-31.00M,775.00M,-744.00M,163.00M,958.00M,,-81.00M,,-81.00M,-1.274B,-4.00M,,-1.359B,,1.50B,0.00,1.50B,258.00M,-845.00M,-587.00M,,,23.00M,936.00M,,3.10B,535.00M,,3.635B,,258.00M,1.50B,,-845.00M,,AOR,Restated
2004-06,596.00M,,,87.00M,87.00M,5.00M,,,-30.00M,359.00M,,,,329.00M,1.017B,,-76.00M,,-76.00M,-111.00M,131.00M,,-56.00M,,0.00,0.00,0.00,57.00M,-626.00M,-569.00M,,,-6.00M,-575.00M,,2.714B,386.00M,,3.10B,,57.00M,0.00,,-626.00M,,AOR,Restated
2004-03,554.00M,,,82.00M,82.00M,22.00M,,,39.00M,213.00M,,,,252.00M,910.00M,,-83.00M,,-83.00M,-527.00M,217.00M,,-393.00M,,500.00M,-79.00M,421.00M,125.00M,-627.00M,-502.00M,,,16.00M,-65.00M,,2.262B,452.00M,,2.714B,,125.00M,500.00M,,-627.00M,,AOR,Restated
2003-12,507.00M,,,77.00M,77.00M,63.00M,,,-29.00M,241.00M,,,,223.00M,870.00M,,-71.00M,,-71.00M,-503.00M,-143.00M,,-717.00M,,150.00M,461.00M,229.00M,54.00M,-245.00M,-191.00M,,,13.00M,42.00M,,2.067B,195.00M,,2.262B,,54.00M,500.00M,,-245.00M,,AOR,Restated
2003-09,476.00M,,,75.00M,75.00M,33.00M,,,-42.00M,101.00M,,,,59.00M,643.00M,,-100.00M,,-100.00M,-31.00M,-264.00M,,-395.00M,,0.00,0.00,0.00,69.00M,-503.00M,-434.00M,,,0.00,-434.00M,,2.253B,-186.00M,,2.067B,,69.00M,0.00,,-503.00M,,AOR,Restated
2003-06,439.00M,,,74.00M,74.00M,-13.00M,,,8.00M,257.00M,,,,265.00M,765.00M,,-89.00M,,-89.00M,-50.00M,177.00M,,38.00M,,0.00,-52.00M,-52.00M,72.00M,-363.00M,-291.00M,,,-9.00M,-352.00M,,1.802B,451.00M,,2.253B,,72.00M,0.00,,-363.00M,,AOR,Restated
2003-03,403.00M,,,73.00M,73.00M,8.00M,,,17.00M,224.00M,,,,241.00M,725.00M,,-92.00M,,-92.00M,-6.00M,427.00M,,329.00M,,450.00M,-409.00M,41.00M,73.00M,-496.00M,-423.00M,,,,-382.00M,,1.13B,672.00M,,1.802B,,73.00M,450.00M,,-496.00M,,AOR,Restated
2002-12,379.00M,,,71.00M,71.00M,-6.00M,,346.00M,43.00M,261.00M,-40.00M,-294.00M,,-30.00M,760.00M,,-124.00M,,-124.00M,-154.00M,-171.00M,,-449.00M,,0.00,310.00M,87.00M,36.00M,-370.00M,-334.00M,,0.00,,-247.00M,,1.066B,64.00M,,1.13B,,36.00M,0.00,,-370.00M,,AOR,Restated
2002-09,353.00M,,,184.00M,184.00M,90.00M,,-464.00M,40.00M,306.00M,70.00M,54.00M,,470.00M,633.00M,,-79.00M,,-79.00M,-103.00M,-661.00M,,-843.00M,,0.00,-310.00M,-310.00M,55.00M,-619.00M,-564.00M,,0.00,454.00M,-420.00M,,1.696B,-630.00M,,1.066B,,55.00M,0.00,,-619.00M,,AOR,
2002-06,325.00M,,,-56.00M,-56.00M,50.00M,,117.00M,-4.00M,5.00M,-34.00M,257.00M,,224.00M,660.00M,,-88.00M,,-88.00M,-37.00M,29.00M,,-96.00M,,0.00,474.00M,474.00M,50.00M,-376.00M,-326.00M,,-9.00M,-454.00M,-315.00M,,1.447B,249.00M,,1.696B,,50.00M,0.00,,-376.00M,,AOR,
2002-03,295.00M,,,56.00M,56.00M,20.00M,,1.00M,4.00M,-5.00M,4.00M,-5.00M,,-2.00M,370.00M,,-128.00M,,-128.00M,-8.00M,133.00M,,-3.00M,,400.00M,-474.00M,-74.00M,64.00M,-450.00M,-386.00M,,,,-460.00M,,1.54B,-93.00M,,1.447B,,64.00M,400.00M,,-450.00M,,AOR,
2001-12,247.00M,,,70.00M,70.00M,26.00M,,608.00M,16.00M,-50.00M,9.00M,-565.00M,,-590.00M,361.00M,,-85.00M,,-85.00M,-35.00M,-227.00M,,-347.00M,,,-231.00M,144.00M,51.00M,-194.00M,-143.00M,,0.00,,1.00M,,1.525B,15.00M,,1.54B,,51.00M,,,-194.00M,,AOR,Restated
2001-09,231.00M,,,67.00M,67.00M,1.00M,,-208.00M,-10.00M,218.00M,-10.00M,218.00M,,416.00M,507.00M,,-123.00M,,-123.00M,-18.00M,-99.00M,,-240.00M,,,88.00M,88.00M,52.00M,-222.00M,-170.00M,,0.00,,-82.00M,,1.34B,185.00M,,1.525B,,52.00M,,,-222.00M,,AOR,
2001-06,223.00M,,,64.00M,64.00M,7.00M,,-207.00M,29.00M,178.00M,29.00M,178.00M,,414.00M,501.00M,,-125.00M,,-125.00M,-26.00M,-154.00M,,-305.00M,,,242.00M,242.00M,31.00M,-439.00M,-408.00M,,-9.00M,,-175.00M,,1.319B,21.00M,,1.34B,,31.00M,,,-439.00M,,AOR,
2001-03,212.00M,,,64.00M,64.00M,6.00M,,-193.00M,-28.00M,221.00M,-28.00M,221.00M,,386.00M,475.00M,,-92.00M,,-92.00M,-13.00M,-141.00M,,-246.00M,,,-99.00M,-99.00M,44.00M,-274.00M,-230.00M,,,,-329.00M,,1.419B,-100.00M,,1.319B,,44.00M,,,-274.00M,,AOR,
2000-12,210.00M,,,62.00M,62.00M,-5.00M,,-287.00M,23.00M,264.00M,23.00M,264.00M,,574.00M,554.00M,,-99.00M,,-87.00M,-76.00M,-46.00M,64.00M,-145.00M,,,-256.00M,144.00M,49.00M,-286.00M,-237.00M,,0.00,,-93.00M,,1.103B,316.00M,,1.419B,,49.00M,,,-286.00M,,AOR,
2000-09,182.00M,,,62.00M,62.00M,17.00M,,40.00M,-5.00M,-35.00M,-5.00M,-35.00M,,-80.00M,221.00M,,-58.00M,,-58.00M,0.00,-299.00M,0.00,-357.00M,,,191.00M,191.00M,53.00M,-327.00M,-274.00M,,0.00,,-83.00M,,1.322B,-219.00M,,1.103B,,53.00M,,,-327.00M,,AOR,
2000-06,170.00M,,,61.00M,61.00M,17.00M,,-132.00M,19.00M,113.00M,19.00M,113.00M,,264.00M,380.00M,,-39.00M,,-39.00M,68.00M,-145.00M,-64.00M,-180.00M,,,-22.00M,-22.00M,93.00M,-220.00M,-127.00M,,-5.00M,,-154.00M,,1.276B,46.00M,,1.322B,,93.00M,,,-220.00M,,AOR,
2000-03,174.00M,,,62.00M,62.00M,44.00M,,-86.00M,-11.00M,97.00M,-11.00M,97.00M,,172.00M,366.00M,,-49.00M,,-49.00M,-68.00M,-169.00M,,-286.00M,,,-95.00M,-95.00M,33.00M,-347.00M,-314.00M,,,,-409.00M,,1.605B,-329.00M,,1.276B,,33.00M,,,-347.00M,,AOR,
1999-12,157.00M,,,62.00M,62.00M,-31.00M,,-306.00M,58.00M,248.00M,58.00M,248.00M,,612.00M,494.00M,,-45.00M,,-45.00M,-7.00M,84.00M,0.00,32.00M,,,192.00M,342.00M,11.00M,-246.00M,-235.00M,,-1.00M,,106.00M,,973.00M,632.00M,,1.605B,,11.00M,,,-246.00M,,AOR,
1999-09,144.00M,,,61.00M,61.00M,3.00M,,-99.00M,7.00M,92.00M,7.00M,92.00M,,198.00M,307.00M,,-54.00M,,-54.00M,-223.00M,-222.00M,46.00M,-453.00M,,,0.00,0.00,23.00M,-134.00M,-111.00M,,0.00,,-111.00M,,1.23B,-257.00M,,973.00M,,23.00M,,,-134.00M,,,
1999-06,135.00M,,,55.00M,55.00M,66.00M,,-10.00M,49.00M,-39.00M,49.00M,-39.00M,,20.00M,266.00M,,-50.00M,,-50.00M,-83.00M,-84.00M,5.00M,-212.00M,,,-1.00M,-1.00M,47.00M,-234.00M,-187.00M,,-5.00M,,-193.00M,,1.369B,-139.00M,,1.23B,,47.00M,,,-234.00M,,,
1999-03,132.00M,,,55.00M,55.00M,-3.00M,,62.00M,-30.00M,-32.00M,-30.00M,-32.00M,,-124.00M,122.00M,,-47.00M,,-47.00M,-21.00M,78.00M,,10.00M,,,-59.00M,-59.00M,21.00M,-369.00M,-348.00M,,,,-407.00M,,1.644B,-275.00M,,1.369B,,21.00M,,,-369.00M,,,
1998-12,132.00M,,,52.00M,52.00M,26.00M,,-426.00M,161.00M,266.00M,135.00M,292.00M,,854.00M,638.00M,,-98.00M,,-39.00M,-339.00M,329.00M,,-49.00M,,,,,1.00M,-152.00M,-151.00M,,-7.00M,,30.00M,,1.025B,619.00M,,1.644B,,1.00M,,,-152.00M,,AOR,Restated
1998-09,135.00M,,,43.00M,43.00M,4.00M,,-36.00M,24.00M,11.00M,24.00M,11.00M,,70.00M,216.00M,,-22.00M,,-22.00M,-39.00M,416.00M,,355.00M,,,,,10.00M,-212.00M,-202.00M,,-7.00M,,-209.00M,,663.00M,362.00M,,1.025B,,10.00M,,,-212.00M,,,
1998-06,-565.00M,,,48.00M,48.00M,-214.00M,,16.00M,-26.00M,461.00M,-26.00M,461.00M,,870.00M,155.00M,,-49.00M,,-49.00M,-2.00M,-63.00M,-29.00M,-143.00M,,,,,38.00M,-42.00M,-4.00M,,-13.00M,,-17.00M,,668.00M,-5.00M,,663.00M,,38.00M,,,-42.00M,,,
1998-03,132.00M,,,42.00M,42.00M,,,112.00M,-92.00M,-20.00M,-92.00M,-20.00M,,-224.00M,62.00M,,-41.00M,,-41.00M,-84.00M,-46.00M,29.00M,-142.00M,,,,,35.00M,-30.00M,5.00M,,-7.00M,,-2.00M,,750.00M,-82.00M,,668.00M,,35.00M,,,-30.00M,,,
1997-12,119.00M,,,40.00M,40.00M,23.00M,,-338.00M,75.00M,262.00M,75.00M,262.00M,,674.00M,518.00M,,-55.00M,,-55.00M,,-154.00M,,-209.00M,,,,,14.00M,,-2.00M,,-8.00M,,-4.00M,,444.00M,305.00M,,750.00M,,14.00M,,,,,AOR,
1997-09,116.00M,,,37.00M,37.00M,23.00M,,146.00M,-102.00M,-43.00M,-102.00M,-43.00M,,-290.00M,32.00M,,-42.00M,,-42.00M,,-161.00M,,-203.00M,,,,,13.00M,,13.00M,,-7.00M,,6.00M,,610.00M,-165.00M,,444.00M,,13.00M,,,,,,
1997-06,116.00M,,,35.00M,35.00M,45.00M,,81.00M,51.00M,-133.00M,51.00M,-133.00M,,-164.00M,113.00M,,-57.00M,,-57.00M,,-369.00M,-3.00M,-429.00M,,,,,35.00M,,35.00M,,-13.00M,,22.00M,,904.00M,-294.00M,,610.00M,,35.00M,,,,,,
1997-03,109.00M,,,34.00M,34.00M,,,125.00M,-108.00M,-16.00M,-108.00M,-16.00M,,-248.00M,20.00M,,-33.00M,,-33.00M,,-133.00M,3.00M,-163.00M,,,,,17.00M,,17.00M,,-7.00M,,10.00M,,1.037B,-133.00M,,904.00M,,17.00M,,,,,,
1996-12,95.14M,,,36.23M,36.23M,,,-22.98M,-43.88M,79.90M,-43.88M,79.90M,,72.03M,180.41M,,-54.37M,,-54.37M,53.52M,163.66M,-43.30M,119.50M,,-0.076M,,-0.076M,12.04M,,12.04M,,-7.188M,,4.776M,,732.02M,304.69M,,1.037B,,12.04M,,-0.076M,,,AOR,
1996-09,91.23M,,,33.91M,33.91M,,,-233.70M,100.54M,117.52M,100.54M,117.52M,,436.11M,327.55M,,-36.14M,,-36.14M,-105.38M,-426.86M,-20.36M,-588.74M,,0.00,,0.00,4.727M,,4.727M,,-7.188M,,-2.461M,,995.68M,-263.65M,,732.02M,,4.727M,,0.00,,,,
1996-06,50.32M,,,31.93M,31.93M,,,275.29M,-132.84M,-99.78M,-132.84M,-99.78M,,-465.24M,-107.70M,,-52.70M,,-52.70M,,83.63M,26.92M,57.86M,,-0.544M,,-0.544M,18.10M,,18.10M,,-12.52M,,5.034M,,1.040B,-44.81M,,995.68M,,18.10M,,-0.544M,,,,
1996-03,118.95M,,,31.10M,31.10M,,,-17.90M,-61.24M,76.17M,-61.24M,76.17M,,29.86M,162.00M,,-22.02M,,-22.02M,,-74.35M,35.24M,-61.13M,,,,,6.696M,,6.696M,,-7.188M,,-0.492M,,940.11M,100.38M,,1.040B,,6.696M,,,,,,
1995-12,154.12M,,,35.07M,35.07M,,,21.56M,23.80M,-45.77M,23.80M,-45.77M,,-43.95M,166.79M,,-43.18M,,-43.18M,-423.34M,-107.73M,15.62M,-558.63M,,1.331M,,1.331M,23.09M,,23.09M,,0.00,,24.42M,,1.308B,-367.42M,,940.11M,,23.09M,,1.331M,,,AOR,
1995-09,93.67M,,,19.34M,19.34M,,,-6.408M,-29.04M,36.10M,-29.04M,36.10M,,14.11M,120.72M,,-21.70M,,-21.70M,0.00,535.66M,-6.071M,507.89M,,-0.383M,,-0.383M,7.045M,,7.045M,,0.00,,6.662M,,672.26M,635.27M,,1.308B,,7.045M,,-0.383M,,,,
1995-06,89.88M,,,20.38M,20.38M,,,58.03M,-9.244M,-54.49M,-9.244M,-54.49M,,-127.46M,40.83M,,-18.77M,,-18.77M,0.00,65.01M,-6.033M,40.20M,,-4.792M,,-4.792M,6.897M,,6.897M,,-5.192M,,-3.087M,,594.31M,77.94M,,672.26M,,6.897M,-0.198M,-4.594M,,,,
1995-03,89.43M,,,19.66M,19.66M,,,2.656M,-10.59M,7.681M,-10.59M,7.681M,,-5.818M,105.94M,,-25.57M,,-25.57M,-546.05M,-461.02M,-2.557M,-1.035B,,0.198M,,0.198M,4.342M,,4.342M,,,,4.54M,,1.519B,-924.74M,,594.31M,,4.342M,0.198M,,,,,
1994-12,-1.293B,,112.58M,112.58M,112.58M,,,1.223B,-7.786M,40.19M,,42.20M,,74.61M,116.86M,,-30.51M,,-30.51M,,-73.85M,-129.21M,-285.00M,,14.65M,,14.65M,10.11M,,10.11M,,-0.026M,,24.74M,,,,,1.519B,,10.11M,,14.65M,,,AOR,
1994-09,80.80M,,-16.20M,-16.20M,-16.20M,,,33.80M,11.80M,-11.70M,,49.90M,,50.00M,148.40M,,-14.00M,,-14.00M,,-64.70M,-674.80M,-753.50M,,0.10M,,0.10M,14.00M,,14.00M,,0.00,0.10M,14.20M,,,,,,,14.00M,,0.10M,,,,
1994-06,58.80M,-0.10M,-16.40M,-16.40M,-16.40M,,,37.40M,-30.80M,-23.80M,,-61.30M,,-115.90M,-36.20M,,-21.60M,,-21.60M,,-171.40M,2.285B,2.092B,,-29.40M,,-29.40M,20.10M,,20.10M,,-4.60M,0.00,-13.90M,,,,,,,20.10M,,-29.40M,,,,
1994-03,64.30M,0.10M,-15.90M,-15.90M,-15.90M,,,31.90M,2.30M,-1.90M,,16.40M,,16.80M,97.20M,,-13.50M,,-13.50M,,-80.10M,-20.60M,-114.20M,,-3.90M,,-3.90M,4.40M,,4.40M,,,-0.10M,0.40M,,146.40M,,,,,4.40M,,-3.90M,,,,
1993-12,55.60M,0.00,-13.80M,-13.80M,-13.80M,,,27.70M,-5.90M,7.70M,,76.30M,,78.10M,140.30M,,-21.40M,,-21.40M,,-42.80M,-1.20M,-65.40M,,-1.00M,,-1.00M,12.50M,2.10M,14.60M,,-2.10M,0.50M,12.00M,,,,,,,12.50M,,-1.00M,2.10M,,,
1993-09,59.50M,-15.00M,-17.50M,-17.50M,-17.50M,,,35.20M,-21.20M,2.40M,,23.30M,,4.50M,66.70M,,-16.20M,,-16.20M,,-91.70M,14.90M,-93.00M,,-4.30M,,-4.30M,2.80M,-2.10M,0.70M,,2.10M,-0.50M,-2.00M,,,,,,,2.80M,,-4.30M,-2.10M,,,
1993-06,41.40M,,-8.70M,-8.70M,-8.70M,,,17.40M,-4.00M,16.40M,,-28.20M,,-15.80M,34.30M,,-10.90M,,-10.90M,,-104.80M,61.20M,-54.50M,,-2.50M,,-2.50M,3.10M,,3.10M,,-2.10M,0.00,-1.50M,,,,,,,3.10M,,-2.50M,,,,
1993-03,38.10M,,-10.30M,-10.30M,-10.30M,,,20.90M,-9.20M,-23.30M,,21.30M,,-11.20M,37.50M,,-6.80M,,-6.80M,,68.00M,-155.60M,-94.40M,,-2.70M,,-2.70M,0.20M,,0.20M,,,0.20M,-2.30M,,128.70M,,,,,0.20M,,-2.70M,,,,
1992-12,32.20M,,-11.80M,-11.80M,-11.80M,,,20.90M,-14.20M,7.00M,,49.00M,,41.80M,86.60M,,-7.70M,,-7.70M,,-5.10M,-11.50M,-24.30M,,-1.00M,,-1.00M,4.30M,,4.30M,,0.00,0.40M,3.70M,,,,,,,4.30M,,-1.00M,,,,
1992-09,29.40M,,-6.60M,-6.60M,-6.60M,,,16.40M,-1.40M,3.50M,,36.80M,,38.90M,78.10M,,-4.40M,,-4.40M,,-35.40M,-7.00M,-46.80M,,-1.60M,,-1.60M,2.90M,,2.90M,,0.00,0.00,1.30M,,,,,,,2.90M,,-1.60M,,,,
1992-06,27.60M,,-6.50M,-6.50M,-6.50M,,,13.00M,-5.20M,-1.90M,,-5.00M,,-12.10M,22.00M,,-6.10M,,-6.10M,,-81.70M,-2.70M,-90.50M,,-4.40M,,-4.40M,1.50M,,1.50M,,-1.00M,0.00,-3.90M,,,,,,,1.50M,,-4.40M,,,,
1992-03,25.00M,,-6.20M,-6.20M,-6.20M,,,12.50M,0.50M,0.30M,,-29.80M,,-29.00M,2.30M,,-4.20M,,-4.20M,,-166.20M,-60.00M,-230.40M,,-3.50M,,-3.50M,196.20M,,196.20M,,,-0.10M,192.60M,,138.00M,,,,,196.20M,,-3.50M,,,,
1991-12,21.20M,,-4.20M,-4.20M,-4.20M,,,8.60M,-6.10M,-0.80M,,38.50M,,31.60M,58.00M,,-7.40M,,-7.40M,,,-1.50M,-141.90M,,,,,1.20M,,1.20M,,0.00,1.80M,-2.30M,,,,,,,1.20M,,,,,,
1991-09,19.80M,,-3.40M,-3.40M,-3.40M,,,6.90M,-4.40M,6.00M,-3.40M,11.50M,,9.70M,33.00M,,-3.50M,,-3.50M,,,13.90M,10.40M,,,,,1.10M,,1.10M,,0.00,-0.80M,0.30M,,,,,,,1.10M,,,,,,
1991-06,18.20M,,-3.40M,-3.40M,-3.40M,,,7.00M,5.10M,,3.40M,-0.30M,,8.20M,30.00M,,-2.20M,,-2.20M,,,-4.40M,-6.60M,,,,,3.80M,,3.80M,,-0.90M,-0.60M,2.30M,,,,,,,3.80M,,,,,,
1991-03,15.60M,,-3.30M,-3.30M,-3.30M,,,6.50M,-10.90M,,,-2.00M,,-12.90M,5.90M,,-2.00M,,-2.00M,,,-1.20M,-3.20M,,,,,99.60M,,99.60M,,,-1.40M,98.20M,,-41.20M,,,,,99.60M,,,,,,
1990-12,10.20M,,-3.20M,-3.20M,-3.20M,,,6.60M,0.20M,,,15.60M,,17.20M,31.50M,,-0.80M,,-0.80M,,4.00M,0.50M,3.70M,,,,,0.00,,-22.50M,,,1.30M,-22.00M,,,,,,,0.00,,,,,,
1990-09,9.20M,,-2.80M,-2.80M,-2.80M,,,5.60M,-4.30M,,,1.80M,,-2.50M,9.50M,,-0.80M,,-0.80M,,6.00M,-0.70M,4.50M,,,,,0.30M,,0.30M,,,0.50M,0.80M,,,,,,,0.30M,,,,,,
1990-06,7.80M,,-2.40M,-2.40M,-2.40M,,,4.80M,-0.10M,,,-3.30M,,-3.40M,6.80M,,-0.80M,,-0.80M,,-11.50M,-1.00M,-13.30M,,,,,0.40M,,0.40M,,,-1.20M,-0.80M,,,,,,,0.40M,,,,,,
1990-03,6.70M,,-2.20M,-2.20M,-2.20M,,,4.60M,1.80M,,,-1.20M,,0.60M,9.70M,,-0.30M,,-0.30M,,,5.10M,4.80M,,,,,0.60M,,0.60M,,,-0.40M,0.20M,,53.90M,,,,,0.60M,,,,,,
