,NetIncome,Gain/LossonSaleBusiness,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2011-12,21.46B,,,-1.438B,203.00M,-1.161B,,,1.754B,1.754B,,,430.00M,,-1.198B,,,0.00,,,-17.66B,-20.22B,0.00,1.12B,,,,0.00,30.00M,445.00M,302.00M,-1.401B,,-1.401B,20.29B,-70.00M,20.22B,,,,,,,18.55B,-1.482B,1.542B,-97.00M,-8.00M,1.474B,20.29B,1.465B,-2.866B,-38.93B,,
2011-09,-3.605B,,,-592.00M,-45.00M,-637.00M,,,2.033B,2.033B,,,2.163B,,3.187B,,,0.00,,,62.00M,-1.50B,695.00M,2.336B,,,,0.00,-3.401B,169.00M,-1.675B,-1.70B,,-1.70B,-19.57B,0.00,-19.57B,,,,,,,19.55B,-1.73B,2.59B,-1.061B,8.00M,1.542B,-19.57B,3.276B,-4.976B,0.00,,
2011-06,2.09B,,,-668.00M,-313.00M,-981.00M,,,1.733B,1.733B,,,444.00M,2.139B,-2.394B,676.00M,,-6.363B,,6.467B,-5.973B,-2.701B,1.445B,1.775B,,,,587.00M,-2.035B,512.00M,-1.796B,-3.236B,,-3.236B,3.609B,0.00,3.609B,,,,,,,693.00M,771.00M,1.801B,356.00M,6.00M,2.59B,3.609B,2.838B,-6.074B,0.00,,
2011-03,-1.084B,,,129.00M,-482.00M,-353.00M,,,1.852B,1.852B,,,445.00M,-2.139B,3.313B,-676.00M,,,,-6.467B,3.675B,-8.576B,1.23B,-5.312B,,,,,8.665B,26.39B,39.62B,-18.33B,,-18.33B,21.02B,0.00,21.02B,,,,,,,-35.53B,-34.48B,1.558B,243.00M,23.00M,1.801B,21.02B,183.00M,-18.52B,0.00,,
2010-12,9.673B,-17.64B,,-899.00M,-676.00M,-19.22B,,,3.529B,3.529B,,1.461B,1.597B,,-1.941B,,,0.00,,,4.69B,5.631B,1.061B,1.795B,,,,19.86B,-630.00M,-26.89B,-2.698B,-1.798B,225.00M,-1.573B,0.00,,0.00,,,,,,,871.00M,-489.00M,1.668B,-1.349B,43.00M,1.558B,0.00,8.363B,-10.16B,,,
2010-09,-180.00M,-232.00M,,-1.075B,-76.00M,-1.383B,,,2.696B,2.696B,,1.244B,1.294B,,338.00M,,,0.00,,,411.00M,-937.00M,2.272B,5.344B,,,,230.00M,-582.00M,111.00M,-1.46B,-5.184B,0.00,-5.184B,-2.199B,,-2.199B,,,,,,,4.204B,-4.245B,2.84B,-273.00M,88.00M,1.668B,-2.199B,7.001B,-12.18B,,,
2010-06,496.00M,30.00M,,-315.00M,-217.00M,-502.00M,,,2.282B,2.282B,,675.00M,939.00M,,-154.00M,1.168B,,0.00,,-114.00M,-3.367B,640.00M,2.20B,6.576B,,,,201.00M,-848.00M,80.00M,-1.551B,-2.739B,-2.29B,-5.029B,0.00,,0.00,,,,,,,872.00M,-4.261B,2.133B,714.00M,-50.00M,2.84B,0.00,5.613B,-8.352B,,,
2010-03,2.088B,76.00M,,-553.00M,-299.00M,-776.00M,,,2.813B,2.813B,,843.00M,1.542B,,929.00M,-1.168B,,,,114.00M,882.00M,-5.918B,1.674B,3.195B,,,,1.472B,-5.611B,-744.00M,-4.516B,3.513B,-3.565B,-52.00M,2.199B,,2.199B,,,,,,,346.00M,-266.00M,4.40B,-1.629B,-42.00M,2.133B,2.199B,11.97B,-8.456B,,,
2009-12,-8.504B,79.00M,,-616.00M,-198.00M,-735.00M,,,2.945B,2.945B,,6.618B,1.467B,56.00M,-54.00M,-1.228B,,,1.657B,-529.00M,7.448B,2.079B,2.738B,6.61B,-71.00M,,-71.00M,620.00M,-6.498B,2.503B,-3.371B,-9.564B,5.735B,-3.829B,2.138B,,2.138B,,,,,,,-173.00M,-3.994B,4.957B,-222.00M,338.00M,4.40B,2.138B,13.00B,-16.40B,,207.00M,1.44B
2009-09,561.00M,885.00M,,-286.00M,-122.00M,477.00M,,,2.357B,2.357B,,830.00M,2.323B,-4.305B,1.858B,160.00M,,,-1.657B,3.096B,-4.192B,-1.681B,1.518B,3.938B,-270.00M,,-270.00M,1.803B,-3.759B,398.00M,1.615B,-5.77B,-1.628B,-7.398B,2.056B,,2.056B,,,,,,,948.00M,-6.562B,5.802B,-1.009B,164.00M,4.957B,2.056B,4.719B,-16.65B,,-727.00M,1.072B
