,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,RestrictedCash,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermReceivables,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2008-03,126.98M,11.79M,138.77M,36.95M,,,36.95M,8.074M,35.74M,,219.54M,0.00,68.51M,,29.31M,1.771B,6.384M,1.875B,-678.31M,1.197B,876.10M,876.10M,,,,,,114.18M,2.187B,2.407B,11.32M,,11.32M,15.44M,26.76M,,,,,,36.61M,36.61M,5.463M,68.84M,1.945B,,1.945B,,,,,67.18M,,2008-03,1.085M,-1.249B,1.575B,325.89M,,2008-03,,Restated
2007-12,70.27M,55.14M,125.41M,20.18M,,,20.18M,8.561M,37.60M,21.45M,213.21M,0.00,64.92M,1.742B,28.88M,,5.265M,1.841B,-648.76M,1.192B,869.00M,869.00M,,,,,33.58M,76.56M,2.171B,2.384B,11.36M,,11.36M,24.46M,35.82M,,,,,,37.56M,37.56M,2.793M,76.17M,1.905B,,1.905B,,,,,65.76M,,2007-12,1.084M,-1.234B,1.572B,337.39M,,2007-12,,Restated
2007-09,43.36M,121.24M,164.60M,42.69M,,,42.69M,9.397M,32.66M,,249.35M,0.00,56.88M,,28.56M,1.689B,5.312M,1.779B,-619.72M,1.160B,788.77M,788.77M,,,,,,103.48M,2.052B,2.301B,9.483M,,9.483M,17.98M,27.46M,,,,,,29.80M,29.80M,5.681M,62.94M,1.905B,,1.905B,,,,,58.31M,,2007-09,1.055M,-1.205B,1.481B,275.04M,,2007-09,,
2007-06,97.53M,101.30M,198.83M,39.14M,,,39.14M,9.251M,29.76M,,276.98M,0.00,53.43M,,1.653B,,4.83M,1.712B,-592.04M,1.120B,754.41M,754.41M,,,,,,102.52M,1.977B,2.254B,8.838M,,8.838M,16.64M,25.48M,,,,,,27.06M,27.06M,6.002M,58.54M,1.905B,,1.905B,,,,,55.09M,,2007-06,1.037M,-1.188B,1.423B,234.87M,,2007-06,,
2007-03,219.48M,,219.48M,35.75M,,,35.75M,6.376M,33.12M,,294.73M,0.00,44.07M,,1.631B,,4.397M,1.680B,-565.06M,1.115B,738.57M,738.57M,,,,,,98.38M,1.951B,2.246B,9.01M,,9.01M,14.98M,23.99M,,,,,,26.99M,26.99M,4.634M,55.62M,1.905B,,1.905B,,,,,53.18M,,2007-03,1.028M,-1.173B,1.405B,232.39M,,2007-03,,
2006-12,46.15M,,46.15M,40.18M,,,40.18M,6.872M,34.40M,,127.61M,0.00,40.95M,,27.39M,1.571B,4.555M,1.644B,-538.29M,1.106B,724.87M,724.87M,,,,,,87.87M,1.919B,2.046B,10.80M,,10.80M,17.60M,28.40M,,,,,,24.66M,24.66M,5.288M,58.35M,1.555B,,1.555B,,,,,47.02M,,2006-12,1.057M,-1.065B,1.451B,385.92M,,2006-12,,
2006-09,40.42M,,40.42M,44.11M,,,44.11M,7.371M,11.51M,,103.40M,0.00,38.63M,1.546B,27.74M,,5.65M,1.618B,-511.39M,1.107B,724.02M,724.02M,,,,,,68.01M,1.899B,2.002B,11.95M,,11.95M,18.35M,30.30M,,,,,,16.96M,16.96M,18.19M,65.45M,1.505B,,1.505B,,,,,43.71M,,2006-09,1.045M,-1.041B,1.429B,387.96M,,2006-09,,
2006-06,61.60M,,61.60M,19.84M,,24.56M,44.40M,17.63M,13.50M,,137.12M,0.00,42.09M,,26.95M,1.501B,4.875M,1.575B,-485.31M,1.090B,713.44M,713.44M,,,,,,68.69M,1.872B,2.009B,13.60M,,13.60M,20.06M,33.66M,,,1.10B,,1.10B,19.86M,19.86M,4.167M,1.158B,405.00M,,405.00M,,,,,41.41M,,2006-06,1.032M,-1.009B,1.389B,404.79M,,2006-06,,
2006-03,59.87M,,59.87M,18.56M,,22.78M,41.34M,6.159M,11.29M,,118.66M,0.00,23.63M,,25.95M,1.140B,4.482M,1.194B,-461.58M,732.46M,37.58M,37.58M,,,,,,61.41M,831.46M,950.12M,13.50M,,13.50M,13.60M,27.10M,,,,,,13.22M,13.22M,8.147M,48.47M,789.66M,,789.66M,,,,,35.91M,,2006-03,0.858M,-933.27M,992.66M,76.09M,,2006-03,,
2005-12,45.93M,19.78M,65.71M,42.72M,,,42.72M,4.248M,19.51M,,132.19M,0.00,22.55M,,25.55M,1.117B,4.792M,1.170B,-442.06M,728.33M,31.49M,31.49M,,,,,,60.52M,820.35M,952.54M,18.67M,,18.67M,15.54M,34.22M,,,,,,11.84M,11.84M,6.087M,52.14M,784.39M,,784.39M,,,,,34.57M,,2005-12,0.856M,-924.07M,990.18M,81.43M,,2005-12,,
2005-09,23.48M,,23.48M,21.08M,,20.17M,41.24M,12.69M,1.554M,,78.97M,0.00,23.48M,,26.59M,1.094B,2.773M,1.146B,-421.64M,724.83M,25.98M,25.98M,,,,,,56.15M,806.96M,885.93M,15.10M,,15.10M,14.11M,29.21M,,,3.25M,,3.25M,12.28M,12.28M,9.648M,54.38M,844.01M,,844.01M,,,,,34.20M,,2005-09,0.752M,-891.77M,835.86M,-46.67M,,2005-09,,
2005-06,21.12M,,21.12M,16.37M,,21.60M,37.97M,4.911M,2.038M,,66.04M,0.00,22.00M,,26.90M,1.085B,3.453M,1.138B,-401.93M,735.64M,0.865M,0.865M,,,,,,54.59M,791.10M,857.14M,13.50M,,13.50M,14.38M,27.88M,,,3.25M,,3.25M,10.91M,10.91M,4.958M,47.00M,826.80M,,826.80M,,,,,33.25M,,2005-06,0.743M,-877.32M,826.46M,-49.91M,,2005-06,,
2005-03,19.02M,,19.02M,13.29M,,17.79M,31.08M,4.475M,2.024M,0.01M,56.61M,0.00,21.27M,,26.93M,1.075B,1.015M,1.124B,-381.43M,742.83M,1.108M,1.108M,,,,,,53.49M,797.42M,854.04M,11.26M,,11.26M,13.47M,24.73M,,,3.25M,,3.25M,10.14M,10.14M,9.209M,47.34M,879.09M,,879.09M,,,,,31.91M,,2005-03,0.656M,-851.07M,746.11M,-104.30M,,2005-03,,
2004-12,69.63M,,69.63M,21.12M,,19.07M,40.19M,4.327M,2.017M,0.01M,116.17M,0.00,20.66M,,30.22M,1.064B,0.055M,1.115B,-369.19M,745.83M,1.365M,1.365M,,,,,,53.88M,801.07M,917.24M,15.20M,,15.20M,15.00M,30.20M,,,3.25M,,3.25M,10.81M,10.81M,6.742M,51.00M,924.46M,,924.46M,,,,,30.46M,,2004-12,0.649M,-829.36M,740.04M,-88.67M,,2004-12,,
2004-09,21.00M,,21.00M,15.16M,,16.78M,31.93M,5.386M,6.354M,0.203M,64.87M,0.00,16.47M,,31.74M,1.061B,0.343M,1.110B,-311.62M,798.20M,1.626M,1.626M,,,,,,50.78M,850.61M,915.48M,12.80M,,12.80M,16.69M,29.49M,,,3.251M,,3.251M,12.82M,12.82M,8.327M,53.90M,884.78M,,884.78M,,,,,4.287M,,2004-09,0.597M,-731.81M,703.74M,-27.47M,,2004-09,,
2004-06,21.83M,,21.83M,16.83M,,12.96M,29.78M,6.314M,6.333M,0.731M,64.99M,0.00,16.24M,,36.02M,1.056B,0.319M,1.109B,-292.20M,816.54M,1.888M,1.888M,,,,,,51.04M,869.47M,934.46M,12.54M,,12.54M,17.14M,29.68M,,,3.254M,,3.254M,10.22M,10.22M,16.51M,59.66M,889.57M,,889.57M,,,,,4.192M,,2004-06,0.569M,-707.80M,688.27M,-18.96M,,2004-06,,
2004-03,19.16M,,19.16M,16.08M,,11.96M,28.04M,4.232M,10.35M,0.901M,62.69M,0.00,16.22M,,37.59M,1.056B,0.708M,1.111B,-273.71M,837.00M,2.155M,2.155M,,,,,,52.37M,891.53M,954.22M,10.96M,,10.96M,16.84M,27.80M,,,2.458M,,2.458M,9.591M,9.591M,9.43M,49.28M,898.59M,,898.59M,,,,,3.887M,,2004-03,0.565M,-684.56M,686.46M,2.466M,,2004-03,,
2003-12,8.338M,15.20M,23.54M,19.41M,,10.23M,29.64M,5.009M,10.34M,1.751M,70.28M,0.00,16.16M,,38.40M,1.055B,0.498M,1.110B,-254.76M,854.86M,2.408M,2.408M,,,,,,55.43M,912.70M,982.98M,11.35M,,11.35M,17.71M,29.06M,,,11.54M,,11.54M,11.14M,11.14M,24.31M,76.05M,859.22M,,859.22M,,,,,3.838M,,2003-12,0.55M,-636.63M,679.96M,43.88M,,2003-12,,
2003-09,35.28M,,35.28M,18.93M,,10.18M,29.11M,5.074M,23.02M,8.479M,100.96M,0.00,16.14M,,37.46M,1.060B,0.292M,1.114B,-234.98M,878.98M,2.709M,2.709M,,,,,,54.03M,935.72M,1.037B,13.36M,,13.36M,21.99M,35.35M,,,13.04M,,13.04M,10.35M,10.35M,15.00M,73.74M,867.60M,,867.60M,,,,,3.904M,,2003-09,0.541M,-585.47M,676.36M,91.44M,,2003-09,,
2003-06,22.04M,,22.04M,26.30M,,7.189M,33.49M,5.111M,23.01M,42.71M,126.36M,0.00,13.73M,2.658M,40.20M,1.055B,1.534M,1.114B,-215.49M,898.02M,3.019M,3.019M,,,,,,57.11M,958.16M,1.085B,11.52M,,11.52M,13.97M,25.49M,,,6.558M,,6.558M,11.62M,11.62M,36.26M,79.93M,888.13M,,888.13M,16.46M,16.46M,,,4.182M,,2003-06,0.512M,-578.15M,673.45M,95.82M,,2003-06,,
2003-03,47.86M,,47.86M,28.16M,,11.37M,39.53M,5.012M,,,92.40M,0.00,15.41M,2.66M,1.342B,,5.376M,1.366B,-243.70M,1.122B,3.874M,3.874M,,,,,,46.41M,1.172B,1.265B,13.88M,,13.88M,15.29M,29.17M,,,60.07M,,60.07M,14.42M,14.42M,16.39M,120.05M,969.10M,,969.10M,18.43M,18.43M,,,5.055M,,2003-03,0.512M,-521.74M,673.22M,151.99M,,2003-03,,
2002-12,61.14M,,61.14M,36.29M,,10.42M,46.72M,5.129M,,202.41M,315.40M,0.00,16.50M,,40.88M,1.059B,4.595M,1.121B,-179.82M,940.96M,3.704M,3.704M,,,,,,43.30M,987.97M,1.303B,16.81M,,16.81M,13.94M,30.75M,,,60.08M,,60.08M,11.14M,11.14M,31.56M,133.54M,964.20M,,964.20M,,,,,2.137M,,2002-12,0.512M,-464.46M,667.44M,203.49M,,2002-12,,
2002-09,42.35M,,42.35M,45.68M,,,45.68M,7.367M,,16.33M,111.73M,0.00,14.90M,2.687M,40.53M,1.288B,6.24M,1.352B,-197.93M,1.154B,4.66M,4.66M,,,,,,53.19M,1.212B,1.324B,19.86M,,19.86M,14.34M,34.20M,,,2.603M,,2.603M,,,42.26M,79.07M,1.009B,,1.009B,18.48M,18.48M,,,1.832M,,2002-09,0.511M,-457.65M,672.72M,215.58M,,2002-09,,
2002-06,31.31M,,31.31M,47.63M,,,47.63M,11.19M,0.50M,10.93M,101.56M,0.00,14.60M,2.69M,39.96M,1.274B,9.927M,1.341B,-171.89M,1.169B,4.925M,4.925M,,,,,,47.31M,1.221B,1.323B,28.23M,,28.23M,16.22M,44.45M,,,0.124M,,0.124M,,,51.78M,96.35M,959.74M,,959.74M,18.48M,18.48M,,,1.66M,,2002-06,0.505M,-425.98M,671.93M,246.46M,,2002-06,,
2002-03,32.28M,,32.28M,49.09M,,,49.09M,6.665M,7.50M,11.17M,106.70M,0.00,13.75M,2.486M,1.297B,,20.37M,1.333B,-153.96M,1.179B,92.37M,92.37M,,,,,,44.12M,1.316B,1.423B,38.44M,,38.44M,10.22M,48.66M,,,0.188M,,0.188M,,,27.90M,76.75M,947.22M,,947.22M,18.48M,18.48M,,,6.311M,,2002-03,0.504M,-298.05M,671.34M,373.79M,,2002-03,,
2001-12,13.90M,,13.90M,56.80M,,,56.80M,10.25M,,11.33M,92.29M,0.00,12.28M,2.406M,38.15M,1.225B,49.00M,1.327B,-128.16M,1.199B,86.18M,86.18M,,,,,,51.98M,1.337B,1.429B,78.11M,,78.11M,13.05M,91.15M,,,0.365M,,0.365M,11.22M,11.22M,8.966M,111.70M,845.09M,,845.09M,18.43M,18.43M,,,3.149M,,2001-12,0.487M,-214.82M,664.98M,450.64M,,2001-12,,
2001-09,70.45M,,70.45M,51.67M,,17.38M,69.05M,11.32M,,,150.82M,0.00,11.53M,1.286M,29.42M,1.123B,43.13M,1.208B,-103.86M,1.104B,115.99M,115.99M,,,,,,10.24M,1.230B,1.381B,65.63M,,65.63M,18.49M,84.12M,,,0.289M,,0.289M,,,27.92M,112.33M,778.38M,,778.38M,18.90M,18.90M,,,1.481M,,2001-09,0.479M,-185.11M,654.65M,470.02M,,2001-09,,
2001-06,150.88M,,150.88M,65.03M,,6.549M,71.58M,8.09M,,,230.55M,0.00,10.88M,0.704M,28.87M,1.020B,81.08M,1.141B,-85.33M,1.056B,116.87M,116.87M,,,,,,10.60M,1.184B,1.414B,54.75M,,54.75M,12.33M,67.08M,0.713M,,0.713M,,0.713M,,,40.15M,107.94M,771.97M,,771.97M,18.46M,18.46M,,,1.325M,,2001-06,0.475M,-135.99M,650.00M,514.48M,,2001-06,,
2001-03,250.36M,,250.36M,58.62M,,8.696M,67.31M,5.601M,,,323.28M,,,,,,,965.16M,-54.69M,910.47M,102.31M,102.31M,,,,,,13.62M,1.026B,1.350B,46.84M,,46.84M,10.49M,57.33M,0.05M,,0.05M,,0.05M,,,27.08M,84.47M,715.31M,,715.31M,20.50M,20.50M,,,0.996M,,2001-03,0.47M,-112.67M,640.60M,528.40M,,2001-03,,
2000-12,14.98M,,14.98M,,,,61.29M,,,5.968M,82.24M,,,,,,,820.51M,-54.69M,765.81M,83.39M,83.39M,,,,,,17.38M,866.58M,948.82M,76.94M,,76.94M,,76.94M,,,2.606M,,2.606M,,,30.16M,109.71M,281.67M,,281.67M,18.44M,18.44M,,,0.8353M,,2000-12,0.4644M,-89.67M,627.37M,538.16M,,2000-12,,
2000-09,124.84M,,124.84M,,,,40.37M,,,18.75M,183.97M,,,,,,,662.89M,-45.57M,617.32M,51.59M,51.59M,,,,,,22.77M,691.68M,875.64M,60.40M,,60.40M,,60.40M,,,0.0502M,,0.0502M,,,23.04M,83.50M,253.15M,,253.15M,8.612M,8.612M,,,0.5679M,,2000-09,0.4593M,-84.30M,613.65M,529.82M,,2000-09,,
2000-06,27.20M,,27.20M,,,,40.74M,,,7.918M,75.86M,,,,,,,543.87M,-36.84M,507.04M,34.66M,34.66M,,,,,,22.94M,564.63M,640.49M,58.57M,,58.57M,,58.57M,,,1.300M,,1.300M,,,17.48M,77.35M,271.11M,,271.11M,7.944M,7.944M,,,0.5851M,,2000-06,0.3966M,-78.39M,361.50M,283.51M,,2000-06,,
2000-03,111.70M,,111.70M,,,,25.84M,,,11.49M,149.03M,,,,,,,427.14M,-29.89M,397.25M,33.96M,33.96M,,,,,,22.27M,453.48M,602.50M,36.37M,,36.37M,,36.37M,,,0.0502M,,0.0502M,,,16.19M,52.61M,266.68M,,266.68M,7.944M,7.944M,,,0.5570M,,2000-03,0.3910M,-70.48M,344.81M,274.72M,,2000-03,,
1999-12,3.10M,,3.10M,,,,22.60M,,,7.90M,33.60M,,,,,,,362.50M,-23.60M,338.90M,34.40M,34.40M,,,,,,22.90M,396.20M,429.80M,40.70M,,40.70M,,40.70M,,,0.10M,,0.10M,,,13.80M,54.60M,318.20M,,318.20M,8.00M,8.00M,,,0.40M,,1999-12,0.30M,-60.80M,109.00M,48.60M,,1999-12,,
1999-09,2.70M,,2.70M,,,,23.10M,,,6.50M,32.30M,,,,,,,302.90M,-18.40M,284.50M,16.20M,16.20M,,,,,,14.20M,314.90M,347.20M,28.80M,,28.80M,,28.80M,,,0.10M,,0.10M,,,11.80M,40.70M,255.90M,,255.90M,3.20M,3.20M,,,0.60M,,1999-09,0.30M,-51.20M,97.70M,46.80M,,1999-09,,
1999-06,5.00M,,5.00M,,,,18.40M,,,7.70M,31.10M,,,,,,,246.80M,-14.30M,232.50M,16.40M,16.40M,,,,,,12.50M,261.40M,292.50M,24.20M,,24.20M,,24.20M,,,0.10M,,0.10M,,,10.10M,34.40M,210.70M,,210.70M,3.40M,3.40M,,,0.40M,,1999-06,0.30M,-43.30M,86.60M,43.60M,,1999-06,,
1999-03,2.30M,,2.30M,,,,14.20M,,,7.90M,24.40M,,,,,,,194.70M,-9.90M,184.80M,6.80M,6.80M,,,,,,15.80M,207.40M,231.80M,12.10M,,12.10M,,12.10M,,,,,,,,6.30M,18.40M,210.40M,,210.40M,3.40M,3.40M,,,0.40M,,1999-03,34.30M,-36.00M,,-0.80M,,1999-03,,
