,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,,Liabilities(Quarterly),AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,MinimumPensionLiabilities,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2009-03,87.59M,0.328M,87.92M,430.22M,,418.38M,224.33M,9.675M,218.28M,452.28M,,,15.52M,77.96M,1.052B,,,,,,,1.144B,-669.98M,474.38M,665.58M,59.56M,725.14M,,155.24M,212.80M,,2009-03,95.30M,0.00,,,95.30M,27.73M,123.03M,,,90.46M,,90.46M,,,133.18M,346.67M,1.125B,1.125B,,57.88M,7.881M,,167.62M,1.627B,1.974B,14.47M,2.250B,113.58M,1.443B,,,,-297.66M,637.71M,,2009-03,AOR,Restated
2008-12,178.47M,0.361M,178.83M,412.13M,38.80M,439.77M,235.32M,10.98M,233.27M,479.57M,39.21M,,23.70M,,1.161B,0.00,25.47M,234.75M,635.14M,219.66M,56.90M,1.172B,-675.05M,496.86M,665.58M,61.10M,726.68M,,160.66M,204.64M,,2008-12,115.00M,19.67M,,7.452M,142.12M,68.99M,211.10M,,,101.98M,,101.98M,1.788M,1.788M,136.17M,451.04M,1.154B,1.154B,,58.63M,,,237.23M,1.726B,2.177B,14.47M,2.223B,106.07M,1.445B,,-149.85M,-175.26M,-325.10M,573.11M,,2008-12,AOR,Restated
2008-09,108.74M,0.624M,109.36M,458.50M,,458.50M,247.39M,13.48M,248.41M,509.28M,,,63.20M,99.07M,1.239B,,,,,,,1.203B,-699.40M,503.54M,665.58M,62.64M,728.22M,,,304.56M,,2008-09,115.51M,,,,115.51M,54.03M,169.54M,,,58.63M,,58.63M,,,192.50M,420.67M,1.131B,1.131B,,,,,499.61M,1.631B,2.052B,14.47M,2.188B,102.55M,1.446B,,-32.15M,-102.56M,-134.71M,724.03M,,2008-09,,Restated
2008-06,119.49M,0.055M,119.54M,477.20M,,477.20M,259.05M,14.19M,252.41M,525.65M,,,130.04M,26.58M,1.279B,,,,,,,1.221B,-705.85M,514.92M,665.58M,64.18M,729.76M,,,295.08M,,2008-06,137.18M,,,,137.18M,45.76M,182.94M,,,147.56M,,147.56M,,,212.33M,542.83M,1.069B,1.069B,,,,,564.08M,1.633B,2.176B,14.47M,2.150B,55.03M,1.404B,,-66.87M,-105.61M,-172.48M,642.98M,,2008-06,,Restated
2008-03,60.46M,0.706M,61.16M,451.29M,,451.29M,264.30M,10.43M,237.30M,512.03M,,,76.91M,78.74M,1.180B,,,,,,,1.230B,-706.56M,523.42M,665.58M,65.72M,731.30M,,,306.00M,,2008-03,133.24M,,,,133.24M,31.88M,165.12M,,,152.87M,,152.87M,,,200.00M,517.99M,1.071B,1.071B,,,,,568.37M,1.640B,2.158B,14.47M,2.101B,51.75M,1.408B,,-65.46M,-110.49M,-175.95M,583.15M,,2008-03,,Restated
2007-12,151.47M,0.604M,152.08M,412.22M,50.05M,450.58M,237.94M,10.71M,235.57M,484.22M,44.55M,,24.66M,,1.156B,0.00,28.00M,242.18M,641.90M,213.94M,39.06M,1.165B,-656.26M,508.82M,665.58M,67.25M,732.84M,,109.09M,219.48M,,2007-12,130.99M,18.63M,,9.825M,159.44M,99.57M,259.01M,,,152.47M,,152.47M,4.547M,4.547M,127.41M,543.44M,1.060B,1.060B,,61.66M,,,271.86M,1.566B,2.109B,14.47M,2.079B,55.00M,1.387B,,-32.99M,-111.36M,-144.35M,617.20M,,2007-12,,Restated
2007-09,61.96M,0.60M,62.56M,430.66M,,430.66M,232.90M,9.671M,225.33M,467.90M,,,69.08M,88.06M,1.118B,,,,,,,1.145B,-652.80M,492.59M,665.58M,69.47M,735.05M,,,187.76M,,2007-09,116.92M,,,,116.92M,51.88M,168.80M,,,52.58M,,52.58M,,,192.63M,414.01M,1.134B,1.134B,,,,,437.45M,1.572B,1.986B,14.47M,2.050B,42.87M,1.389B,,-27.81M,-143.26M,-171.07M,547.71M,,2007-09,,
2007-06,124.17M,0.583M,124.75M,415.01M,,415.01M,218.85M,9.201M,226.68M,454.74M,,,64.26M,95.56M,1.154B,,,,,,,1.103B,-620.31M,482.86M,665.58M,73.02M,738.60M,,,171.21M,,2007-06,114.16M,,,,114.16M,39.38M,153.54M,,,18.98M,,18.98M,,,179.42M,351.95M,785.77M,785.77M,,,,,414.61M,1.200B,1.552B,14.47M,2.012B,84.82M,945.78M,,-14.85M,-155.86M,-170.71M,994.66M,,2007-06,,
2007-03,83.20M,0.527M,83.73M,400.18M,,400.18M,214.87M,14.89M,215.44M,445.20M,,,75.57M,115.63M,1.120B,,,,,,,1.087B,-599.64M,487.04M,665.58M,76.58M,742.16M,,,147.89M,,2007-03,117.29M,,,,117.29M,29.19M,146.48M,,,12.72M,,12.72M,,,184.87M,344.06M,799.74M,799.74M,,,,,414.01M,1.214B,1.558B,14.47M,1.952B,99.11M,933.93M,,-32.51M,-159.79M,-192.30M,939.58M,,2007-03,,
2006-12,114.51M,0.604M,115.11M,357.16M,48.15M,405.30M,213.68M,12.69M,220.24M,446.61M,23.34M,,89.45M,,1.080B,0.00,24.86M,225.23M,760.32M,,64.36M,1.075B,-579.65M,495.12M,665.58M,80.13M,745.72M,,82.38M,75.88M,,2006-12,111.66M,,,,111.66M,71.98M,183.64M,,,15.90M,,15.90M,,,247.24M,446.77M,791.44M,791.44M,,,,,335.52M,1.127B,1.574B,14.47M,1.910B,96.64M,918.66M,,-31.85M,-165.02M,-196.87M,905.17M,,2006-12,,
2006-09,162.76M,0.321M,163.08M,373.22M,,373.22M,200.98M,13.76M,218.72M,433.46M,,,69.18M,95.29M,1.134B,,,,,,,1.032B,-552.79M,479.47M,665.58M,95.94M,761.52M,,,206.74M,,2006-09,104.72M,,,,104.72M,38.24M,142.96M,,,302.66M,,302.66M,,,289.18M,734.80M,505.60M,505.60M,,,,,382.44M,888.04M,1.623B,14.47M,1.880B,94.21M,890.17M,,-22.96M,-116.81M,-139.78M,959.11M,,2006-09,,
2006-06,29.83M,0.319M,30.15M,375.62M,,375.62M,203.65M,12.08M,227.62M,443.34M,,,61.34M,85.08M,995.53M,,,,,,,1.039B,-550.91M,487.63M,665.58M,99.65M,765.23M,,,204.18M,,2006-06,107.63M,,,,107.63M,27.55M,135.19M,,,308.94M,,308.94M,,,260.34M,704.46M,415.79M,415.79M,,,,,386.33M,802.12M,1.507B,14.47M,1.833B,93.38M,838.25M,,-33.02M,-123.88M,-156.90M,946.00M,,2006-06,,
2006-03,205.25M,0.33M,205.58M,348.47M,,348.47M,200.76M,11.60M,225.20M,437.56M,,,68.45M,93.50M,1.154B,,,,,,,1.018B,-532.67M,485.62M,665.58M,103.36M,768.94M,,,178.82M,,2006-03,105.30M,,,,105.30M,19.86M,125.16M,,,805.70M,,805.70M,,,245.40M,1.176B,130.16M,130.16M,,,,,390.28M,520.44M,1.697B,14.47M,1.789B,72.70M,841.16M,,-42.53M,-102.18M,-144.71M,890.24M,,2006-03,,
2005-12,272.54M,0.352M,272.90M,304.82M,,304.82M,197.27M,11.87M,221.66M,430.79M,,,75.37M,107.39M,1.191B,0.00,30.22M,226.20M,689.87M,,79.41M,1.026B,-526.56M,499.14M,,772.65M,772.65M,,,175.13M,,2005-12,98.59M,,,,98.59M,23.26M,121.85M,,,819.39M,,819.39M,,,261.46M,1.203B,131.28M,131.28M,,,,,388.87M,520.15M,1.723B,14.47M,1.752B,71.89M,772.72M,,-47.37M,-102.99M,-150.36M,915.35M,,2005-12,,
2005-09,28.29M,0.359M,28.65M,338.83M,,338.83M,200.47M,12.18M,224.64M,437.29M,,,71.06M,89.52M,965.34M,,,,,,,1.027B,-532.71M,494.18M,,778.37M,778.37M,,,177.26M,,2005-09,98.72M,,,,98.72M,11.72M,110.44M,,,552.61M,,552.61M,,,264.54M,927.59M,136.37M,136.37M,,,,,422.64M,559.01M,1.487B,14.47M,1.754B,75.02M,759.06M,,-41.04M,-114.84M,-155.89M,928.55M,,2005-09,,
2005-06,59.86M,0.361M,60.22M,358.74M,,358.74M,193.05M,11.82M,227.20M,432.07M,,,67.28M,65.43M,983.75M,,,,,,,1.005B,-521.42M,484.07M,,782.14M,782.14M,,,117.05M,,2005-06,106.30M,,,,106.30M,8.509M,114.81M,,,614.99M,,614.99M,,,211.39M,941.19M,139.42M,139.42M,,,,,397.84M,537.26M,1.478B,14.47M,1.703B,75.50M,741.07M,,-47.27M,-115.78M,-163.06M,888.56M,,2005-06,,
2005-03,22.81M,0.362M,23.18M,374.06M,,374.06M,189.32M,15.96M,236.52M,441.80M,,,72.09M,62.12M,973.25M,,,,,,,1.024B,-531.97M,491.72M,,785.91M,785.91M,,,122.46M,,2005-03,109.45M,,,,109.45M,7.856M,117.30M,,,68.75M,,68.75M,,,226.60M,412.66M,660.86M,660.86M,,,,,397.32M,1.058B,1.471B,14.47M,1.663B,76.93M,715.69M,,-18.64M,-117.98M,-136.61M,902.51M,,2005-03,,
2004-12,32.60M,0.399M,33.00M,335.78M,22.58M,358.36M,197.78M,12.76M,246.66M,457.20M,,,79.27M,33.54M,961.37M,0.00,40.91M,214.33M,708.10M,,68.14M,1.031B,-530.14M,501.33M,,789.68M,789.68M,,,110.91M,,2004-12,103.98M,,,,103.98M,53.45M,157.43M,,,15.96M,,15.96M,,,226.14M,399.52M,668.97M,668.97M,,,,,384.32M,1.053B,1.453B,14.47M,1.627B,79.50M,701.82M,,8.227M,-117.27M,-109.04M,910.49M,,2004-12,,
2004-09,14.26M,0.469M,14.73M,356.70M,,356.70M,203.29M,11.53M,222.29M,437.11M,,,71.59M,67.89M,948.03M,,,,,,,979.65M,-506.37M,473.29M,,788.92M,788.92M,,,95.20M,,2004-09,93.55M,,,,93.55M,29.71M,123.26M,,,64.92M,,64.92M,,,252.54M,440.71M,663.32M,663.32M,,,,,359.31M,1.023B,1.463B,14.47M,1.603B,82.53M,711.48M,,-55.22M,-91.27M,-146.49M,842.08M,,2004-09,,
2004-06,11.24M,0.466M,11.71M,388.13M,,388.13M,228.24M,17.33M,214.39M,459.96M,,,60.63M,49.29M,969.72M,,,,,,,1.014B,-528.09M,485.97M,,792.63M,792.63M,,,94.69M,,2004-06,116.31M,,,,116.31M,,116.31M,,,170.81M,,170.81M,,,227.56M,514.68M,666.57M,666.57M,,,,,351.72M,1.018B,1.533B,14.47M,1.577B,85.21M,704.06M,,-68.10M,-94.78M,-162.88M,810.03M,,2004-06,,
2004-03,11.80M,0.483M,12.28M,364.40M,,364.40M,230.17M,18.52M,202.39M,451.08M,,,63.87M,60.92M,952.56M,,,,,,,1.017B,-514.81M,501.70M,,796.34M,796.34M,,,91.43M,,2004-03,109.06M,,,,109.06M,,109.06M,,,196.92M,,196.92M,,,221.50M,527.49M,679.16M,679.16M,,,,,351.35M,1.031B,1.558B,14.47M,1.537B,85.68M,700.91M,,-56.61M,-95.94M,-152.55M,784.03M,,2004-03,,
2003-12,12.08M,0.474M,12.56M,320.77M,18.96M,339.72M,233.31M,15.82M,205.50M,454.63M,29.69M,,66.07M,,902.67M,0.00,38.37M,218.38M,699.15M,,54.50M,1.010B,-499.78M,510.61M,,799.41M,799.41M,,,94.20M,,2003-12,104.03M,,,,104.03M,,104.03M,,,194.30M,,194.30M,,,227.71M,526.04M,690.23M,690.23M,,,,,347.98M,1.038B,1.564B,14.47M,1.496B,95.14M,727.45M,,-45.19M,-90.44M,-135.63M,742.63M,,2003-12,,
2003-09,14.99M,0.46M,15.45M,366.16M,,366.16M,222.36M,14.44M,192.98M,429.78M,,,64.69M,83.70M,959.78M,,,,,,,972.84M,-485.93M,486.91M,,773.23M,773.23M,,,80.50M,,2003-09,93.82M,,,,93.82M,,93.82M,,,262.81M,,262.81M,,,232.58M,589.21M,700.42M,700.42M,,,,,341.76M,1.042B,1.631B,14.47M,1.473B,96.96M,735.49M,,-98.32M,-81.56M,-179.89M,669.04M,,2003-09,,
2003-06,15.43M,0.455M,15.88M,385.13M,,385.13M,229.12M,15.27M,197.24M,441.64M,,,66.16M,73.38M,982.19M,,,,,,,962.23M,-471.20M,491.03M,,776.39M,776.39M,,,71.44M,,2003-06,102.61M,,,,102.61M,,102.61M,,,67.41M,,67.41M,,,438.27M,608.28M,712.94M,712.94M,,,,,346.60M,1.060B,1.668B,14.47M,1.437B,104.87M,734.13M,,-89.26M,-79.60M,-168.86M,653.22M,,2003-06,,
2003-03,15.87M,0.468M,16.33M,355.35M,,355.35M,218.73M,14.86M,189.28M,422.87M,,,70.11M,81.31M,945.97M,,,,,,,960.47M,-448.67M,511.80M,,779.54M,779.54M,,,53.40M,,2003-03,98.74M,,,,98.74M,,98.74M,,,314.06M,,314.06M,,,203.10M,615.90M,793.21M,793.21M,,,,,293.22M,1.086B,1.702B,14.47M,1.400B,106.20M,721.08M,,-130.14M,-81.50M,-211.64M,588.40M,,2003-03,,
2002-12,14.86M,0.307M,15.16M,314.37M,24.23M,338.61M,222.16M,12.68M,186.76M,421.60M,24.20M,,67.18M,,866.75M,0.00,35.25M,221.90M,630.25M,,62.81M,950.21M,-429.72M,520.50M,,782.70M,782.70M,,,62.74M,,2002-12,104.01M,,,,104.01M,36.25M,140.26M,,,49.66M,,49.66M,,,169.58M,359.50M,1.007B,1.007B,,,,,291.43M,1.299B,1.658B,14.47M,1.383B,109.74M,712.88M,,-138.18M,-81.02M,-219.19M,574.68M,,2002-12,,
2002-09,23.14M,0.524M,23.67M,350.02M,,350.02M,206.28M,6.179M,185.59M,398.05M,,,61.63M,48.79M,882.15M,,,,,,,943.24M,-434.63M,508.62M,,780.13M,780.13M,,,54.63M,,2002-09,94.89M,,,,94.89M,,94.89M,,,22.70M,,22.70M,,,246.53M,364.12M,1.054B,1.054B,6.113M,,,,226.19M,1.286B,1.650B,14.47M,1.358B,102.60M,710.02M,,-161.94M,-27.44M,-189.38M,575.39M,,2002-09,,
2002-06,34.12M,0.361M,34.48M,369.83M,,369.83M,216.24M,9.354M,180.90M,406.50M,,,54.57M,60.02M,925.38M,,,,,,,959.96M,-439.22M,520.73M,,783.28M,783.28M,,,56.30M,,2002-06,97.47M,,,,97.47M,,97.47M,,,162.90M,,162.90M,,,231.42M,491.79M,978.84M,978.84M,6.73M,,,,228.83M,1.214B,1.706B,14.47M,1.322B,104.75M,696.67M,,-144.67M,-20.63M,-165.30M,579.52M,,2002-06,,
2002-03,34.47M,0.396M,34.87M,339.63M,,339.63M,205.27M,10.22M,192.76M,408.25M,,,57.17M,44.64M,884.56M,,,,,,,961.60M,-434.72M,526.88M,,786.44M,786.44M,,,41.47M,,2002-03,101.88M,,,,101.88M,,101.88M,,,222.58M,,222.58M,,,229.75M,554.20M,930.73M,930.73M,18.79M,,,,197.98M,1.147B,1.702B,14.47M,1.291B,119.96M,702.18M,,-166.22M,-19.48M,-185.71M,537.65M,,2002-03,,
2001-12,48.52M,0.384M,48.90M,318.02M,22.34M,340.36M,212.27M,10.85M,192.86M,415.98M,13.66M,,77.45M,,896.36M,0.00,36.75M,278.60M,620.12M,,40.16M,975.63M,-443.16M,532.47M,,795.92M,795.92M,,,43.30M,,2001-12,85.66M,,,,85.66M,39.23M,124.89M,,,227.94M,,227.94M,,,207.38M,560.21M,939.40M,939.40M,44.55M,,,,199.71M,1.184B,1.744B,14.47M,1.263B,126.17M,698.85M,,-156.27M,-24.70M,-180.96M,524.17M,,2001-12,,
2001-09,66.38M,0.406M,66.79M,362.35M,,362.35M,220.00M,16.24M,183.72M,419.96M,,,59.56M,52.69M,961.35M,,,,,,,1.065B,-488.08M,576.95M,,773.78M,773.78M,,,62.55M,,2001-09,76.24M,,,,76.24M,,76.24M,,,306.16M,,306.16M,,,256.12M,638.51M,944.61M,944.61M,64.98M,,,,185.86M,1.195B,1.834B,14.47M,1.248B,127.89M,689.04M,,-160.47M,-0.581M,-161.05M,540.67M,,2001-09,,
2001-06,60.69M,0.408M,61.10M,367.48M,,367.48M,218.46M,17.75M,182.41M,418.62M,,,68.78M,60.61M,976.58M,,,,,,,1.043B,-458.53M,584.63M,,780.54M,780.54M,,,43.55M,,2001-06,86.96M,,,,86.96M,,86.96M,,,445.25M,,445.25M,,,244.48M,776.69M,816.28M,816.28M,71.89M,,,,181.84M,1.070B,1.847B,14.47M,1.229B,129.08M,675.59M,,-155.16M,-3.301M,-158.46M,538.61M,,2001-06,,
2001-03,65.93M,5.469M,71.40M,346.73M,,346.73M,216.94M,21.62M,179.12M,417.68M,,,,134.80M,970.62M,,,,,,,1.051B,-447.02M,603.96M,,790.02M,790.02M,,,42.35M,,2001-03,80.58M,,,,80.58M,,80.58M,,,443.90M,,443.90M,,,259.58M,784.07M,838.53M,838.53M,76.25M,,,,175.23M,1.090B,1.874B,14.47M,1.210B,129.90M,670.91M,,-146.37M,-4.674M,-151.04M,532.88M,,2001-03,,
2000-12,128.87M,0.369M,129.24M,332.22M,,332.22M,243.33M,21.21M,170.77M,435.31M,,,62.06M,60.11M,1.019B,,,,,,,1.141B,-461.43M,679.87M,,755.92M,755.92M,,,34.30M,,2000-12,75.02M,,,,75.02M,,75.02M,,,852.98M,,852.98M,,,251.01M,1.179B,417.40M,417.40M,103.15M,,,,158.20M,678.76M,1.858B,14.47M,1.205B,133.04M,643.24M,,-77.58M,,-77.58M,631.26M,,2000-12,,
2000-09,106.82M,0.324M,107.14M,,,273.40M,,,,358.36M,,,,87.44M,826.34M,,,,,,,944.86M,-438.16M,506.69M,,,,,,33.90M,,2000-09,48.71M,,,,48.71M,,48.71M,,,250.94M,,250.94M,,,232.55M,532.20M,15.62M,15.62M,28.57M,,,,144.95M,189.14M,721.34M,14.47M,1.218B,133.11M,619.50M,,-100.28M,,-100.28M,645.60M,,2000-09,,
2000-06,52.40M,0.983M,53.39M,,,324.48M,,,,370.44M,,,,80.48M,828.79M,,,,,,,960.23M,-439.68M,520.55M,,,,,,35.25M,,2000-06,55.98M,,,,55.98M,,55.98M,,,188.44M,,188.44M,,,218.23M,462.66M,17.00M,17.00M,29.62M,,,,141.02M,187.64M,650.30M,14.47M,1.227B,133.11M,567.64M,,-72.36M,,-72.36M,734.28M,,2000-06,,
2000-03,51.06M,0.709M,51.77M,,,308.55M,,,,387.32M,,,,63.31M,810.96M,,,,,,,947.76M,-430.10M,517.66M,,,,,,28.73M,,2000-03,51.93M,,,,51.93M,,51.93M,,,138.17M,,138.17M,,,193.85M,383.96M,14.83M,14.83M,30.69M,,,,137.82M,183.35M,567.31M,14.47M,1.216B,133.22M,501.88M,,-72.18M,,-72.18M,790.04M,,2000-03,,
1999-12,62.14M,0.836M,62.97M,303.42M,,303.42M,,,,415.27M,,,,53.76M,835.41M,,,,,,,948.92M,-425.00M,523.92M,,,,,,42.16M,,1999-12,71.99M,,,,71.99M,,71.99M,,,92.47M,,92.47M,,,205.24M,369.70M,3.832M,3.832M,32.78M,,,,136.68M,173.30M,543.00M,14.47M,1.212B,134.48M,445.11M,,-57.14M,,-57.14M,858.50M,,1999-12,,
1999-09,91.40M,0.80M,92.20M,,,300.60M,,,,408.50M,,,,68.90M,870.20M,,,,,,,955.90M,-430.50M,525.40M,,,,,,42.20M,,1999-09,80.20M,,,,80.20M,,80.20M,,,55.50M,,55.50M,,,205.40M,341.10M,3.90M,3.90M,31.30M,,,,137.80M,173.00M,514.10M,14.50M,1.215B,135.40M,398.50M,,-37.70M,-5.10M,-42.80M,923.70M,,1999-09,,
1999-06,85.90M,,85.90M,,,291.80M,,,,387.00M,,,,69.70M,834.40M,,,,,,,924.90M,-415.20M,509.70M,,,,,,40.90M,,1999-06,73.80M,,,,73.80M,,73.80M,,,49.20M,,49.20M,,,196.10M,319.10M,3.60M,3.60M,31.50M,,,,135.40M,170.50M,489.60M,,1.206B,,,,,,,895.40M,,1999-06,,
1999-03,101.80M,,101.80M,,,278.40M,,,,383.50M,,,,62.90M,826.60M,,,,,,,920.40M,-411.90M,508.50M,,,,,,40.90M,,1999-03,69.20M,,,,69.20M,,69.20M,,,48.70M,,48.70M,,,162.50M,280.40M,3.90M,3.90M,33.80M,,,,134.70M,172.40M,452.80M,,1.219B,,,,,,,923.20M,,1999-03,,
1998-12,115.00M,,115.00M,,,283.50M,,,,404.00M,,,,45.50M,848.00M,,,,,,,913.40M,-414.60M,498.80M,,,,,,41.30M,,1998-12,60.30M,,,,60.30M,,60.30M,,,29.10M,,29.10M,,,183.50M,272.90M,4.30M,4.30M,30.70M,,,,135.10M,170.10M,443.00M,,1.211B,,,,,,,945.10M,,1998-12,,
1998-09,142.10M,,142.10M,,,288.00M,,,,402.10M,,,,68.10M,900.30M,,,,,,,879.00M,-404.20M,474.80M,,,,,,42.00M,,1998-09,63.80M,,,,63.80M,,63.80M,,,28.60M,,28.60M,,,205.40M,297.80M,3.10M,3.10M,23.10M,,,,135.10M,161.30M,459.10M,,1.216B,,,,,,,958.00M,,1998-09,,
1998-06,150.10M,,150.10M,,,287.90M,,,,375.70M,,,,80.90M,894.60M,,,,,,,825.50M,-377.20M,448.30M,,,,,,41.70M,,1998-06,62.10M,,,,62.10M,,62.10M,,,16.30M,,16.30M,,,202.70M,281.10M,3.90M,3.90M,20.70M,,,,131.10M,155.70M,436.80M,,1.205B,,,,,,,947.80M,,1998-06,,
