,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,SharesData(Quarterly),DividendPerShare,,SECFilingLinks
2000-09,339.59M,339.59M,172.44M,167.15M,66.20M,28.67M,,-10.30M,,,109.91M,57.24M,,,-10.30M,,42.75M,13.82M,28.93M,,28.93M,35.90M,72.28M,15.04M,57.24M,0.29,0.00,0.3598,0.29,,0.00,0.3598,0.29,,2000-09,0.38,,2000-09
2000-06,368.76M,368.76M,199.29M,169.47M,66.02M,26.94M,,-0.203M,,,92.97M,76.50M,,,-0.203M,,73.22M,24.30M,48.92M,,48.92M,49.05M,91.69M,15.19M,76.50M,0.48,0.00,0.4813,0.48,,0.00,0.4813,0.48,,2000-06,0.38,,2000-06
2000-03,369.91M,369.91M,186.58M,183.33M,65.34M,26.81M,,-9.025M,,,106.65M,76.67M,,,-9.025M,,65.51M,21.74M,43.78M,,43.78M,49.81M,91.17M,14.50M,76.67M,0.42,0.00,0.4778,0.42,,0.00,0.4778,0.42,,2000-03,0.38,,2000-03
1999-12,336.00M,336.00M,164.10M,171.90M,73.00M,26.80M,,1.30M,,,116.40M,55.50M,,,1.30M,,55.10M,18.50M,36.60M,,36.60M,35.74M,72.10M,16.60M,55.50M,0.35,0.00,0.3418,0.35,,0.00,0.3418,0.35,,1999-12,0.38,,1999-12
1999-09,364.70M,364.70M,185.10M,179.60M,61.80M,25.10M,,-3.10M,,,101.20M,78.40M,,,-3.10M,,74.00M,24.80M,49.20M,,49.20M,51.26M,92.70M,12.71M,78.40M,0.46,0.00,0.4794,0.46,,0.00,0.4794,0.46,,1999-09,0.38,,1999-09
1999-06,371.08M,371.08M,205.21M,165.87M,64.21M,25.94M,,-33.36M,,,90.16M,75.71M,,,-33.36M,,41.15M,13.71M,27.43M,,27.43M,49.67M,90.11M,14.39M,75.71M,0.26,0.00,0.4700,0.26,,0.00,0.4696,0.26,,1999-06,0.38,,1999-06
1999-03,367.76M,367.76M,193.80M,173.96M,63.60M,25.90M,,2.60M,,,102.20M,71.76M,,,2.60M,,73.40M,24.60M,48.80M,,48.80M,47.07M,84.46M,12.70M,71.76M,0.46,0.00,0.4437,0.46,,0.00,0.4437,0.46,,1999-03,0.38,,1999-03
1998-12,318.85M,318.85M,164.10M,154.75M,62.60M,25.40M,,0.10M,,,100.70M,54.05M,,,0.10M,,53.40M,18.40M,35.00M,,35.00M,34.93M,66.75M,12.70M,54.05M,0.33,0.00,0.3294,0.33,,0.00,0.3294,0.33,,1998-12,0.38,,1998-12
1998-09,349.80M,349.80M,180.90M,168.90M,58.30M,24.70M,,1.40M,,,95.30M,73.60M,,,1.40M,,74.70M,24.50M,50.20M,,50.20M,49.26M,85.90M,12.30M,73.60M,0.47,0.00,0.4612,0.47,,0.00,0.4612,0.47,,1998-09,0.37,,1998-09
1998-06,365.30M,365.30M,183.30M,182.00M,60.50M,24.40M,,1.60M,,,96.90M,85.10M,,,1.60M,,86.10M,30.20M,55.90M,,55.90M,54.86M,97.10M,12.00M,85.10M,0.52,0.00,0.5103,0.52,,0.00,0.5103,0.52,,1998-06,0.37,,1998-06
