,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2010-09,267.30M,,267.30M,813.70M,,813.70M,155.00M,,211.90M,366.90M,169.40M,,145.10M,,1.762B,,,,,,,2.758B,-1.815B,943.20M,199.20M,221.90M,421.10M,22.40M,,254.70M,,1.641B,3.404B,,322.90M,,5.70M,,328.60M,293.30M,621.90M,,,,,132.90M,,132.90M,,,18.40M,834.50M,,535.30M,,535.30M,,,218.10M,,281.30M,,54.90M,133.80M,1.212B,2.047B,,9.30M,1.916B,440.00M,771.90M,,,-290.80M,1.302B,,AOR,Restated
2010-06,162.40M,,162.40M,830.90M,,830.90M,132.10M,,213.90M,346.00M,160.30M,,159.00M,,1.659B,,,,,,,2.673B,-1.756B,917.00M,184.10M,,184.10M,21.40M,,215.70M,222.30M,1.560B,3.219B,,288.80M,,8.70M,30.70M,328.20M,333.70M,661.90M,,,,,75.30M,,75.30M,,,,737.20M,,562.90M,,562.90M,,,,216.10M,314.80M,,57.60M,175.50M,1.269B,2.006B,,9.30M,1.842B,397.40M,769.70M,,,-323.80M,1.155B,,AOR,Restated
2010-03,86.70M,,86.70M,892.50M,,892.50M,128.90M,,216.60M,345.50M,154.10M,,159.10M,,1.638B,,,,,,,2.716B,-1.778B,937.50M,197.70M,,197.70M,21.70M,,224.60M,213.60M,1.595B,3.233B,,272.90M,,7.40M,,280.30M,307.60M,587.90M,,,,,90.00M,,90.00M,,,56.60M,734.50M,,609.90M,,609.90M,,,,349.90M,,,54.70M,351.70M,1.312B,2.046B,,9.30M,1.785B,389.00M,752.80M,,,-298.30M,1.132B,,AOR,Restated
2009-12,76.60M,,76.60M,749.60M,,749.60M,135.90M,,214.60M,350.50M,138.00M,,173.00M,,1.488B,31.40M,140.90M,349.90M,2.133B,,94.70M,2.750B,-1.785B,964.50M,209.50M,,209.50M,22.40M,,240.70M,211.40M,1.648B,3.136B,,290.50M,,3.60M,,294.10M,309.70M,603.80M,,,,,55.90M,,55.90M,,,49.50M,709.20M,,588.00M,,588.00M,,,,167.00M,364.80M,,56.70M,174.10M,1.294B,2.003B,,9.30M,1.717B,388.60M,759.20M,,,-279.20M,1.076B,,AOR,Restated
2009-09,59.90M,,59.90M,715.40M,,715.40M,150.00M,,230.60M,380.60M,145.20M,,134.00M,,1.435B,,,,,,,2.699B,-1.75B,948.80M,212.80M,,212.80M,22.20M,,221.80M,204.80M,1.610B,3.046B,,262.50M,,4.00M,,266.50M,382.80M,649.30M,,,,,71.70M,,71.70M,,,44.20M,765.20M,,541.90M,,541.90M,,,,286.70M,,,52.30M,330.00M,1.159B,1.924B,,9.30M,1.664B,390.70M,767.50M,,,-227.30M,1.069B,,AOR,Restated
2009-06,67.00M,,67.00M,701.50M,,701.50M,139.30M,,251.10M,390.40M,132.80M,,132.00M,,1.424B,,,,,,,2.670B,-1.721B,948.40M,201.90M,,201.90M,21.00M,,239.30M,194.20M,1.605B,3.028B,,266.20M,,11.30M,,277.50M,339.20M,616.70M,,,,,72.60M,,72.60M,,,27.90M,717.20M,,561.20M,,561.20M,,,,339.10M,,,59.10M,309.80M,1.210B,1.927B,,9.30M,1.645B,392.40M,754.80M,,,-249.70M,1.042B,,AOR,Restated
2009-03,54.90M,,54.90M,724.80M,,724.80M,140.60M,,269.00M,409.60M,136.50M,,155.10M,,1.481B,,,,,,,2.587B,-1.671B,915.60M,194.90M,,194.90M,20.50M,,236.90M,171.20M,1.539B,3.02B,,305.40M,,25.20M,,330.60M,318.00M,648.60M,,,,,50.40M,,50.40M,,,23.70M,722.70M,,617.80M,,617.80M,,,,364.40M,,,56.60M,307.40M,1.290B,2.012B,,9.30M,1.585B,392.80M,744.40M,,,-291.30M,951.10M,,AOR,Restated
2008-12,52.40M,,52.40M,687.70M,,687.70M,131.10M,,249.70M,380.80M,135.00M,,176.90M,,1.433B,0.00,136.80M,313.50M,2.038B,33.80M,119.80M,2.642B,-1.702B,939.20M,197.00M,,197.00M,20.60M,,243.60M,160.70M,1.561B,2.994B,,372.30M,,24.60M,,396.90M,311.20M,708.10M,,,,,30.70M,,30.70M,,,20.30M,759.10M,,592.90M,,592.90M,,,,366.10M,,,63.50M,309.40M,1.268B,2.028B,,9.30M,1.525B,395.50M,750.50M,,,-276.10M,902.90M,,AOR,
2008-09,95.00M,,95.00M,719.70M,,719.70M,124.00M,,237.10M,361.10M,,,136.20M,120.90M,1.433B,,,,,,,2.642B,-1.711B,930.80M,192.40M,,192.40M,,,159.00M,215.30M,1.498B,2.930B,,364.50M,,,,364.50M,326.80M,691.30M,,,,,33.90M,,33.90M,,,35.60M,760.80M,,542.10M,,542.10M,,,,,,,58.00M,419.90M,962.00M,1.723B,,9.30M,1.488B,395.10M,691.70M,,,-50.70M,1.150B,,,Restated
2008-06,123.30M,,123.30M,754.00M,,754.00M,109.60M,,211.60M,321.20M,172.60M,,144.40M,,1.516B,,,,,,,2.659B,-1.741B,917.50M,193.00M,,193.00M,,,161.60M,191.10M,1.463B,2.979B,,370.00M,,,,370.00M,304.70M,674.70M,,,,,62.60M,,62.60M,,,39.60M,776.90M,,491.70M,,491.70M,,,,,,,59.60M,435.00M,926.70M,1.704B,,9.30M,1.417B,398.90M,634.60M,,,25.10M,1.216B,,,Restated
2008-03,70.40M,,70.40M,759.00M,,759.00M,99.30M,,201.20M,300.50M,142.50M,,138.00M,,1.410B,,,,,,,2.810B,-1.890B,920.20M,193.50M,,193.50M,,,206.50M,171.90M,1.492B,2.902B,,333.50M,,,,333.50M,273.00M,606.50M,,,,,132.10M,,132.10M,,,42.60M,781.20M,,482.90M,,482.90M,,,,,,,55.90M,432.40M,915.30M,1.696B,,9.30M,1.342B,404.90M,619.00M,,,13.10M,1.150B,,,Restated
2007-12,75.50M,,75.50M,599.70M,,599.70M,73.90M,,201.10M,275.00M,126.90M,,117.00M,,1.194B,0.00,157.00M,361.20M,2.218B,33.80M,74.00M,2.844B,-1.909B,934.70M,180.20M,,180.20M,,,259.00M,165.40M,1.539B,2.733B,,327.40M,,,,327.40M,260.60M,588.00M,,,,,125.60M,,125.60M,,,37.80M,751.40M,,419.60M,,419.60M,,,,,,,58.40M,439.70M,859.30M,1.611B,,9.30M,1.256B,407.50M,598.40M,37.80M,-47.70M,-9.90M,1.064B,,,
2007-09,115.90M,,115.90M,613.10M,,613.10M,74.60M,,182.00M,256.60M,120.80M,,67.80M,,1.174B,,,,,,,2.808B,-1.873B,935.10M,175.40M,,175.40M,,,291.80M,161.70M,1.564B,2.738B,,296.50M,,,,296.50M,295.80M,592.30M,,,,,155.70M,,155.70M,,,23.30M,771.30M,,416.40M,,416.40M,,,,,,,55.40M,440.00M,856.40M,1.628B,,9.30M,1.232B,407.70M,570.40M,,,-23.70M,1.055B,,,
2007-06,63.20M,,63.20M,683.20M,,683.20M,73.10M,,157.00M,230.10M,101.40M,,71.70M,,1.150B,,,,,,,2.817B,-1.870B,946.90M,168.00M,,168.00M,,,312.10M,153.40M,1.580B,2.73B,,289.10M,,,,289.10M,270.40M,559.50M,,,,,158.70M,,158.70M,,,14.10M,732.30M,,440.20M,,440.20M,,,,,,,58.00M,464.50M,904.70M,1.637B,,4.60M,1.203B,414.40M,548.10M,,,-39.00M,1.035B,,,
2007-03,49.20M,,49.20M,690.10M,,690.10M,69.00M,,148.40M,217.40M,100.30M,,66.40M,,1.123B,,,,,,,2.988B,-1.971B,1.017B,166.40M,,166.40M,,,307.30M,150.20M,1.641B,2.764B,,284.90M,,,,284.90M,261.20M,546.10M,,,,,102.20M,,102.20M,,,20.80M,669.10M,,515.50M,,515.50M,,,,,,,56.60M,463.60M,979.10M,1.648B,,4.60M,1.208B,418.30M,526.40M,,,-44.70M,1.060B,,,
2006-12,165.50M,,165.50M,537.90M,,537.90M,65.20M,,154.20M,219.40M,91.30M,,53.70M,,1.068B,0.00,154.70M,362.00M,2.355B,33.80M,63.20M,2.968B,-1.943B,1.025B,163.60M,,163.60M,,,336.50M,147.70M,1.673B,2.741B,,301.40M,,,,301.40M,251.00M,552.40M,,,,,106.20M,,106.20M,,,58.90M,717.50M,,523.50M,,523.50M,,,,,,,59.00M,430.50M,954.00M,1.672B,,9.30M,1.157B,426.30M,525.40M,4.20M,-61.30M,-57.10M,1.010B,,,
2006-09,257.50M,,257.50M,538.10M,,538.10M,59.70M,,134.10M,193.80M,81.60M,25.00M,35.30M,,1.131B,,,,,,,2.936B,-1.927B,1.009B,159.80M,,159.80M,,,342.90M,143.20M,1.655B,2.786B,,272.90M,,,,272.90M,285.70M,558.60M,,,,,99.00M,,99.00M,,,50.80M,708.40M,,577.90M,,577.90M,,,,,,,51.50M,424.80M,1.003B,1.711B,,4.60M,1.160B,436.00M,523.00M,,,-54.40M,1.024B,,,
2006-06,203.80M,,203.80M,599.90M,,599.90M,57.90M,,138.10M,196.00M,97.30M,,36.80M,,1.134B,,,,2.898B,,,2.898B,-1.896B,1.002B,157.50M,,157.50M,,,348.10M,139.90M,1.647B,2.781B,,254.30M,,,,254.30M,269.20M,523.50M,,,,,105.90M,,105.90M,,,51.60M,681.00M,,574.50M,,574.50M,,,,,,,53.70M,428.60M,1.003B,1.684B,,4.60M,1.132B,439.20M,483.50M,,,-49.10M,1.043B,,,
2006-03,184.10M,,184.10M,591.60M,,591.60M,58.50M,,151.00M,209.50M,105.30M,,28.10M,,1.119B,,,,,,,2.860B,-1.858B,1.003B,150.70M,,150.70M,,,367.90M,138.50M,1.66B,2.779B,,270.60M,,,,270.60M,222.20M,492.80M,,,,,123.10M,,123.10M,,,62.00M,677.90M,,603.50M,,603.50M,,,,,,,50.90M,438.40M,1.042B,1.720B,,4.60M,1.093B,449.50M,483.60M,,,-55.40M,1.008B,,,
2005-12,206.40M,,206.40M,494.30M,,494.30M,57.10M,,159.20M,216.30M,115.50M,,31.90M,,1.064B,0.00,149.80M,343.40M,2.262B,24.80M,56.70M,2.837B,-1.825B,1.012B,148.60M,,148.60M,,,374.60M,140.40M,1.676B,2.74B,,301.00M,,,,301.00M,231.00M,532.00M,,,,,80.40M,,80.40M,,,46.90M,659.30M,,639.80M,,639.80M,,,,,,,51.50M,430.10M,1.070B,1.729B,,4.60M,1.062B,427.70M,489.10M,-24.40M,-21.70M,-46.10M,959.30M,,,
2005-09,93.80M,,93.80M,482.10M,,482.10M,69.10M,,135.30M,204.40M,,,4.50M,156.50M,941.30M,,,,,,,2.867B,-1.849B,1.017B,,151.20M,151.20M,,,412.60M,162.00M,1.743B,2.684B,,230.50M,,,,230.50M,274.30M,504.80M,,,,,82.90M,,82.90M,,,81.50M,669.20M,,618.70M,,618.70M,,,,,,,49.40M,383.00M,1.002B,1.671B,,4.60M,1.037B,427.20M,493.90M,,,-10.80M,964.00M,,,
2005-06,269.10M,,269.10M,535.70M,,535.70M,,,,202.90M,,,4.60M,123.70M,1.136B,,,,,,,2.881B,-1.857B,1.024B,,151.90M,151.90M,,,423.50M,170.80M,1.77B,2.906B,,254.10M,,,,254.10M,278.60M,532.70M,,,,,77.40M,,77.40M,,,107.30M,717.40M,,804.10M,,804.10M,,,,,,,50.40M,396.00M,1.200B,1.918B,,4.50M,1.041B,421.30M,498.40M,,,-30.60M,938.10M,,,
2005-03,229.30M,,229.30M,564.80M,,564.80M,,,,202.90M,,,8.60M,120.40M,1.126B,,,,,,,2.934B,-1.857B,1.077B,,162.10M,162.10M,,,433.50M,171.80M,1.844B,2.970B,,279.80M,,,,279.80M,262.00M,541.80M,,,,,90.50M,,90.50M,,,122.60M,754.90M,,819.10M,,819.10M,,,,,,,50.50M,402.60M,1.222B,1.977B,,4.50M,1.010B,414.00M,501.50M,,,15.90M,943.00M,,,
2004-12,212.40M,,212.40M,479.70M,,479.70M,61.10M,,156.40M,217.50M,,9.70M,24.60M,128.80M,1.073B,0.00,147.70M,351.30M,2.402B,24.80M,43.30M,2.969B,-1.857B,1.112B,,169.80M,169.80M,,,448.60M,175.40M,1.906B,2.978B,,342.90M,,,,342.90M,266.90M,609.80M,,,,,101.00M,,101.00M,,,109.30M,820.10M,,822.20M,,822.20M,,,,,,,51.10M,408.80M,1.231B,2.051B,,4.50M,945.60M,397.40M,504.00M,,,32.70M,876.20M,,,
2004-09,185.20M,,185.20M,482.80M,,482.80M,,,,164.50M,,137.20M,19.40M,121.40M,1.110B,,,,,,,2.871B,-1.792B,1.080B,,153.80M,153.80M,,,351.20M,183.40M,1.768B,2.879B,,239.30M,,,,239.30M,304.80M,544.10M,,,,,84.50M,,84.50M,,,131.60M,760.20M,,968.60M,,968.60M,,,,,,,48.70M,403.30M,1.372B,2.132B,,4.40M,840.30M,383.20M,505.70M,,,-24.30M,697.90M,,,
2004-06,100.60M,,100.60M,482.90M,,482.90M,,,,162.70M,,136.90M,29.20M,122.60M,1.035B,,,,,,,2.851B,-1.761B,1.090B,,152.60M,152.60M,,,336.30M,190.40M,1.769B,2.804B,,238.60M,,,,238.60M,288.80M,527.40M,,,,,82.90M,,82.90M,,,88.00M,698.30M,,994.80M,,994.80M,,,,,,,47.80M,414.40M,1.409B,2.108B,,4.40M,810.80M,374.70M,507.70M,,,-33.60M,648.60M,,,
2004-03,65.10M,,65.10M,550.60M,,550.60M,,,,180.10M,,136.70M,32.70M,122.10M,1.087B,,,,,,,2.850B,-1.747B,1.103B,,152.20M,152.20M,,,319.30M,198.40M,1.773B,2.86B,,256.70M,,,,256.70M,315.70M,572.40M,,,,,25.90M,,25.90M,,,96.40M,694.70M,,1.096B,,1.096B,,,,,,,47.70M,424.40M,1.521B,2.215B,,4.40M,780.10M,357.00M,507.60M,,,-37.00M,596.90M,,,
2003-12,57.00M,,57.00M,478.20M,,478.20M,70.30M,,122.30M,192.60M,,136.90M,32.90M,112.10M,1.010B,0.00,216.90M,340.30M,2.233B,,69.90M,2.860B,-1.732B,1.128B,,156.30M,156.30M,,,322.20M,212.50M,1.819B,2.829B,,299.50M,,,,299.50M,318.00M,617.50M,,,,,16.80M,,16.80M,,,93.20M,727.50M,,1.033B,,1.033B,,,,,,,48.30M,431.30M,1.465B,2.192B,,4.30M,774.60M,338.80M,507.60M,,,-21.80M,588.30M,,,
2003-09,153.10M,,153.10M,432.50M,,432.50M,,,,185.50M,,137.40M,57.90M,116.50M,1.083B,,,,2.764B,,,2.764B,-1.689B,1.075B,,144.40M,144.40M,,,297.20M,213.20M,1.730B,2.812B,,229.60M,,,,229.60M,386.30M,615.90M,,,,,49.70M,,49.70M,,,84.10M,749.70M,,1.034B,,1.034B,,,,,,,43.40M,482.80M,1.517B,2.267B,,4.30M,768.30M,337.90M,507.70M,,,-100.40M,502.40M,,,
2003-06,93.70M,,93.70M,487.60M,,487.60M,,,,188.90M,,261.60M,57.70M,135.00M,1.224B,,,,2.756B,,,2.756B,-1.665B,1.090B,,144.70M,144.70M,,,296.10M,225.60M,1.757B,2.981B,,239.40M,,,,239.40M,337.00M,576.40M,,,,,180.60M,,180.60M,,,57.80M,814.80M,,1.109B,,1.109B,,,,,,,44.30M,502.80M,1.612B,2.427B,,4.30M,771.70M,337.90M,507.40M,,,-96.60M,509.90M,,,
2003-03,60.00M,,60.00M,504.90M,,504.90M,,,,183.90M,,259.30M,56.80M,132.40M,1.197B,,,,,,,2.684B,-1.610B,1.075B,,134.10M,134.10M,,,298.70M,210.80M,1.718B,2.916B,,231.60M,,,,231.60M,314.30M,545.90M,,,,,195.50M,,195.50M,,,63.00M,804.40M,,1.122B,,1.122B,,,,,,,43.90M,504.30M,1.627B,2.431B,,4.30M,749.90M,337.40M,507.60M,,,-143.60M,440.40M,,,
2002-12,89.60M,,89.60M,462.20M,,462.20M,53.70M,,125.10M,178.80M,,274.60M,58.00M,112.50M,1.176B,0.00,140.30M,317.40M,2.132B,,57.60M,2.647B,-1.571B,1.076B,,129.70M,129.70M,,,297.90M,193.20M,1.696B,2.872B,,286.50M,,,,286.50M,314.60M,601.10M,,,,,249.30M,,249.30M,,,24.20M,874.60M,,1.036B,,1.036B,,,,,,,44.80M,510.70M,1.547B,2.421B,,4.30M,748.10M,334.10M,507.60M,,,-172.90M,406.00M,,,
2002-09,37.30M,,37.30M,367.50M,,367.50M,,,,167.50M,,,46.10M,116.20M,734.60M,,,,,,,2.592B,-1.533B,1.059B,,124.30M,124.30M,,,280.10M,170.20M,1.633B,2.368B,,212.30M,,,,212.30M,289.20M,501.50M,,,,,321.10M,,321.10M,,,62.10M,884.70M,,568.80M,,568.80M,,,,,,,43.20M,449.30M,1.018B,1.903B,,4.30M,738.60M,334.10M,507.30M,,,-147.80M,421.90M,,,
2002-06,50.30M,,50.30M,407.90M,,407.90M,,,,189.40M,,,50.00M,111.10M,808.70M,,,,,,,2.581B,-1.513B,1.068B,,123.00M,123.00M,,,288.60M,178.20M,1.658B,2.467B,,219.10M,,,,219.10M,300.70M,519.80M,,,,,335.10M,,335.10M,,,83.20M,938.10M,,623.20M,,623.20M,,,,,,,43.00M,470.90M,1.094B,2.032B,,4.30M,720.00M,334.10M,507.10M,,,-159.80M,391.50M,,,
2002-03,14.20M,,14.20M,406.40M,,406.40M,,,,204.80M,,,50.20M,118.00M,793.60M,,,,,,,2.522B,-1.464B,1.058B,,111.10M,111.10M,,,299.60M,170.20M,1.639B,2.432B,,285.40M,,,,285.40M,,285.40M,,,,,387.10M,,387.10M,,,375.80M,1.048B,,623.10M,,623.10M,,,,,,,42.10M,493.50M,1.117B,2.165B,,4.00M,700.80M,228.90M,508.10M,,,-200.10M,225.50M,,,
2001-12,23.40M,,23.40M,441.70M,,441.70M,65.50M,,141.70M,207.20M,,,48.40M,99.60M,820.30M,0.00,156.00M,375.70M,1.929B,,77.10M,2.538B,-1.450B,1.088B,,116.30M,116.30M,,,294.80M,158.00M,1.657B,2.477B,,327.70M,,,,327.70M,373.10M,700.80M,,,,,271.70M,,271.70M,,,106.70M,1.079B,,651.80M,,651.80M,,,,,,,44.80M,482.60M,1.134B,2.214B,,3.90M,691.80M,217.50M,507.60M,,,-186.80M,218.80M,,,
2001-09,123.60M,,123.60M,669.80M,,669.80M,,,,468.90M,,,116.90M,195.80M,1.575B,,,,,,,3.136B,-1.788B,1.348B,459.60M,,459.60M,,,187.80M,222.20M,2.218B,3.793B,,563.00M,,,,563.00M,44.90M,607.90M,,35.90M,,192.90M,228.80M,,228.80M,,,656.90M,1.494B,,1.002B,,1.002B,,,,,,,117.20M,569.90M,1.572B,3.065B,,3.90M,1.229B,215.50M,512.00M,,,-326.00M,610.40M,,,
2001-06,32.40M,,32.40M,689.00M,,689.00M,,,,469.50M,,,97.20M,221.90M,1.51B,,,,,,,3.086B,-1.755B,1.330B,460.00M,,460.00M,,,247.00M,219.50M,2.257B,3.767B,,589.30M,,,,589.30M,13.00M,602.30M,,35.90M,,196.60M,232.50M,,232.50M,,,694.70M,1.530B,,932.10M,,932.10M,,,,,,,111.40M,592.50M,1.525B,3.054B,,4.00M,1.213B,212.50M,512.50M,,,-315.10M,601.50M,,,
2001-03,30.80M,,30.80M,654.70M,,654.70M,,,,483.50M,,,107.20M,245.70M,1.522B,,,,,,,3.447B,-1.828B,1.619B,481.10M,,481.10M,,,60.30M,208.60M,2.369B,3.891B,,602.60M,,,,602.60M,36.00M,638.60M,,2.80M,,506.70M,509.50M,,509.50M,,,452.50M,1.601B,,843.20M,,843.20M,,,,,,,46.00M,616.40M,1.460B,3.060B,,3.90M,1.372B,206.20M,510.80M,,,-286.80M,784.90M,,,
2000-12,7.30M,,7.30M,358.60M,,358.60M,51.60M,,119.80M,171.40M,,,60.80M,727.90M,1.326B,0.00,155.10M,363.90M,2.173B,,130.30M,2.822B,-1.463B,1.359B,,121.50M,121.50M,,,82.10M,173.30M,1.736B,3.062B,,329.10M,,,,329.10M,309.00M,638.10M,,,,,135.70M,,135.70M,,,108.40M,882.20M,,871.80M,,871.80M,,,,,,,46.50M,460.80M,1.333B,2.215B,,3.90M,1.399B,181.60M,511.40M,,,-272.60M,800.40M,,,
2000-09,57.90M,,57.90M,,,642.50M,,,,406.50M,,,,248.00M,1.355B,,,,,,,3.604B,-2.032B,1.572B,,487.90M,487.90M,,,,379.80M,2.439B,3.794B,,524.70M,,,,524.70M,,524.70M,,,,,364.20M,,364.20M,,,564.70M,1.454B,,909.30M,,909.30M,,,,,,,48.40M,655.50M,1.565B,3.018B,,3.80M,1.349B,172.20M,511.50M,,,-286.00M,727.40M,,,
2000-06,56.20M,,56.20M,,,625.70M,,,,409.30M,,,,292.50M,1.384B,,,,,,,3.331B,-1.762B,1.570B,,504.90M,504.90M,,,,471.20M,2.546B,3.930B,,577.70M,,,,577.70M,,577.70M,,,,,453.50M,,453.50M,,,490.00M,1.521B,,909.90M,,909.90M,,,,,,,45.60M,687.60M,1.598B,3.119B,,3.80M,1.359B,168.60M,511.30M,,,-255.00M,765.20M,,,
2000-03,52.30M,,52.30M,,,621.10M,,,,447.40M,,,,293.20M,1.414B,,,,,,,3.734B,-2.043B,1.691B,,526.10M,526.10M,,,,367.20M,2.584B,3.998B,,603.40M,,,,603.40M,,603.40M,,,,,496.10M,,496.10M,,,505.40M,1.605B,,928.00M,,928.00M,,,,,,,45.30M,672.20M,1.600B,3.205B,,3.80M,1.321B,166.30M,511.60M,,,-231.90M,747.70M,,,
1999-12,64.00M,,64.00M,,,635.40M,,,,457.70M,,,,259.40M,1.416B,,,,,,,3.724B,-2.032B,1.692B,,505.70M,505.70M,,,,381.70M,2.579B,3.996B,,665.50M,,,,665.50M,,665.50M,,,,,358.80M,,358.80M,,,551.70M,1.576B,,945.10M,,945.10M,,,,,,,46.20M,684.90M,1.63B,3.206B,,3.80M,1.288B,165.80M,510.80M,,,-203.50M,743.60M,,,
1999-09,76.00M,,76.00M,,,781.10M,,,,490.00M,,,,271.00M,1.618B,,,,,,,3.728B,-2.039B,1.688B,,515.00M,515.00M,,,,346.20M,2.549B,4.167B,,623.80M,,,,623.80M,,623.80M,,,,,199.70M,,199.70M,,,568.90M,1.392B,,1.396B,,1.396B,,,,,,,44.90M,600.10M,1.996B,3.389B,,3.80M,1.257B,165.50M,498.50M,,,-194.10M,733.70M,,,
1999-06,90.10M,,90.10M,,,858.30M,,,,562.70M,,,,286.40M,1.798B,,,,,,,3.901B,-2.130B,1.772B,,373.20M,373.20M,,,,485.90M,2.631B,4.428B,,639.80M,,,,639.80M,,639.80M,,,,,464.50M,,464.50M,,,557.50M,1.662B,,1.346B,,1.346B,,,,,,,45.60M,620.70M,1.967B,3.628B,,,1.193B,,,,,,754.30M,,,
1999-03,115.20M,,115.20M,,,870.40M,,,,534.40M,,,,298.50M,1.818B,,,,,,,3.840B,-2.116B,1.724B,,376.70M,376.70M,,,,350.90M,2.452B,4.270B,,670.00M,,,,670.00M,,670.00M,,,,,329.90M,,329.90M,,,584.90M,1.585B,,1.336B,,1.336B,,,,,,,56.80M,626.00M,1.962B,3.547B,,,1.106B,,,,,,666.50M,,,
1998-12,61.70M,,61.70M,,,840.60M,,,,517.70M,,,,261.70M,1.682B,,,,,,,3.825B,-2.097B,1.728B,,399.10M,399.10M,,,,358.10M,2.485B,4.166B,,685.80M,,,,685.80M,,685.80M,,,,,155.30M,,155.30M,,,570.80M,1.412B,,1.326B,,1.326B,,,,,,,73.50M,625.20M,1.952B,3.364B,,3.80M,1.076B,158.40M,374.40M,,,-134.10M,729.40M,,,
1998-09,90.90M,,90.90M,,,820.80M,,,,538.20M,,,,254.30M,1.704B,,,,,,,3.852B,-2.151B,1.701B,,397.70M,397.70M,,,,360.80M,2.460B,4.164B,,668.80M,,,,668.80M,,668.80M,,,,,171.70M,,171.70M,,,595.20M,1.436B,,1.302B,,1.302B,,,,,,,73.40M,593.10M,1.895B,3.331B,,,1.083B,,,,,,759.40M,,,
1998-06,70.00M,,70.00M,,,814.10M,,,,592.20M,,,,290.10M,1.766B,,,,,,,3.783B,-2.085B,1.698B,,403.70M,403.70M,,,,269.60M,2.371B,4.138B,,645.30M,,,,645.30M,,645.30M,,,,,179.10M,,179.10M,,,534.00M,1.358B,,1.285B,,1.285B,,,,,,,57.40M,660.00M,1.945B,3.304B,,,1.028B,,,,,,776.60M,,,
1998-03,58.20M,,58.20M,,,874.70M,,,,572.80M,,,,310.10M,1.816B,,,,,,,3.737B,-2.047B,1.689B,,408.40M,408.40M,,,,258.00M,2.356B,4.172B,,643.00M,,,,643.00M,,643.00M,,,,,261.70M,,261.70M,,,499.10M,1.404B,,1.310B,,1.310B,,,,,,,55.40M,676.70M,1.986B,3.390B,,,959.90M,,,,,,726.00M,,,
1997-12,62.70M,,62.70M,,,834.20M,,,,524.10M,,,,294.60M,1.716B,,,,,,,3.655B,-1.976B,1.679B,,420.40M,420.40M,,,,297.80M,2.398B,4.113B,,663.50M,,,,663.50M,,663.50M,,,,,200.40M,,200.40M,,,600.60M,1.464B,,1.140B,,1.140B,,,,,,,58.00M,689.80M,1.83B,3.294B,,,969.20M,,,,,,760.60M,,,
1997-09,85.90M,,85.90M,,,837.60M,,,,557.10M,,,,212.10M,1.693B,,,,,,,3.842B,-2.002B,1.840B,,441.10M,441.10M,,,,412.50M,2.694B,4.386B,,569.50M,,,,569.50M,,569.50M,,,,,358.30M,,358.30M,,,538.60M,1.466B,,1.326B,,1.326B,,,,,,,58.10M,610.60M,1.936B,3.403B,,,982.40M,,,,,,925.60M,,,
1997-06,105.60M,,105.60M,,,985.20M,,,,893.40M,,,,239.70M,2.224B,,,,,,,4.328B,-2.37B,1.958B,,470.10M,470.10M,,,,340.80M,2.769B,4.993B,,945.70M,,,,945.70M,,945.70M,,,,,387.90M,,387.90M,,,614.50M,1.948B,,1.315B,,1.315B,,,,,,,144.20M,665.60M,1.981B,3.929B,,,919.50M,,,,,,919.90M,,,
1997-03,52.00M,,52.00M,,,1.013B,,,,851.80M,,,,251.30M,2.168B,,,,,,,4.278B,-2.336B,1.941B,,476.30M,476.30M,,,,340.80M,2.758B,4.927B,,898.60M,,,,898.60M,,898.60M,,,,,484.70M,,484.70M,,,551.60M,1.935B,,1.293B,,1.293B,,,,,,,145.60M,688.70M,1.982B,3.917B,,,846.70M,,,,,,864.30M,,,
