,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,EndingCash(Quarterly),BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2004-03,281.00M,,,,,-20.00M,226.00M,226.00M,-44.00M,,,,,,,,-49.00M,-49.00M,,394.00M,,-364.00M,48.00M,-316.00M,,-65.00M,30.00M,-351.00M,,2004-03,,-13.00M,11.00M,,11.00M,,,,-67.00M,,,-69.00M,2004-03,518.00M,-26.00M,,,2004-03,11.00M,,,,,,
2003-12,69.00M,,,,,-80.00M,-799.00M,254.00M,-63.00M,,,,,,,,167.00M,86.00M,,422.00M,,-343.00M,,1.015B,,,-5.00M,-348.00M,,2003-12,,-548.00M,,,,,,,0.00,,,105.00M,2003-12,339.00M,179.00M,,,2003-12,,,,,,AOR,Restated
2003-09,146.00M,,,,,-30.00M,253.00M,253.00M,102.00M,,,,,,,,-371.00M,-371.00M,,100.00M,,-306.00M,,-306.00M,,,47.00M,-259.00M,,2003-09,,-152.00M,,,,,,,-27.00M,,,-179.00M,2003-09,677.00M,-338.00M,,,2003-09,,,,,,,
2003-06,252.00M,,,,,-154.00M,251.00M,251.00M,23.00M,,,,,,,,199.00M,199.00M,,571.00M,,-366.00M,,-366.00M,,,509.00M,143.00M,,2003-06,,-206.00M,,,,,,,-27.00M,,,-233.00M,2003-06,196.00M,481.00M,,,2003-06,,,,,,,
2003-03,176.00M,,,,,19.00M,295.00M,295.00M,45.00M,,,,,,,,-47.00M,-47.00M,,488.00M,,-343.00M,,-343.00M,,,30.00M,-313.00M,,2003-03,,-122.00M,,,,,,,-54.00M,,,-176.00M,2003-03,197.00M,-1.00M,,,2003-03,,,,,,,
2002-12,-371.00M,,,,,-592.00M,-1.012B,106.00M,-188.00M,,,,,,,,143.00M,34.00M,,538.00M,,-327.00M,-363.00M,844.00M,,,390.00M,-300.00M,,2002-12,,-89.00M,-28.00M,,-28.00M,,,,0.00,,,-89.00M,2002-12,48.00M,149.00M,,,2002-12,-28.00M,,,,,AOR,Restated
2002-09,-136.00M,,,,,415.00M,342.00M,342.00M,-65.00M,,,,,,,,-123.00M,-123.00M,,433.00M,,-330.00M,363.00M,33.00M,,,-211.00M,-178.00M,,2002-09,,-215.00M,0.00,,0.00,,,,-27.00M,,,-242.00M,2002-09,35.00M,13.00M,,,2002-09,0.00,,,,,,
2002-06,148.00M,,,,,48.00M,368.00M,368.00M,-3.00M,,,,,,,,22.00M,22.00M,,583.00M,,-425.00M,-229.00M,-654.00M,,,235.00M,-419.00M,,2002-06,,-179.00M,16.00M,,16.00M,,,,-27.00M,,,-190.00M,2002-06,61.00M,-26.00M,,,2002-06,16.00M,,,,,,
2002-03,141.00M,,,,,12.00M,302.00M,302.00M,-2.00M,,,,,,,,-42.00M,-42.00M,,411.00M,,-452.00M,229.00M,-223.00M,,,24.00M,-199.00M,,2002-03,,-147.00M,12.00M,,12.00M,,,,-53.00M,,,-188.00M,2002-03,37.00M,24.00M,,,2002-03,12.00M,,,,,,
2001-12,54.00M,,,,,-78.00M,-664.00M,169.00M,-35.00M,,,,,,,,67.00M,-108.00M,,326.00M,,-489.00M,,2.012B,0.00,,-32.00M,-521.00M,,2001-12,,167.00M,-59.00M,0.00,-59.00M,,,,0.00,,,167.00M,2001-12,65.00M,-28.00M,,,2001-12,-59.00M,,,0.00,,AOR,Restated
2001-09,166.00M,,,,,39.00M,254.00M,254.00M,41.00M,,,,,,,,137.00M,137.00M,,637.00M,,-545.00M,,-545.00M,-2.72B,,79.00M,-3.186B,,2001-09,,2.66B,3.00M,-80.00M,-77.00M,,,,-27.00M,,,2.556B,2001-09,58.00M,7.00M,,,2001-09,3.00M,,,-80.00M,,,
2001-06,357.00M,,,,,-1.00M,229.00M,229.00M,26.00M,,,,,,,,-367.00M,-367.00M,,244.00M,,-1.136B,,-1.136B,,,-30.00M,-1.166B,,2001-06,,288.00M,31.00M,-14.00M,17.00M,,,,-27.00M,,,278.00M,2001-06,700.00M,-644.00M,2.00M,,2001-06,31.00M,,,-14.00M,,,
2001-03,337.00M,,,,,40.00M,181.00M,181.00M,32.00M,,,,,,,,163.00M,163.00M,,753.00M,,-331.00M,,-331.00M,,,-1.00M,-332.00M,,2001-03,,-10.00M,25.00M,-6.00M,19.00M,,,,-40.00M,,,-31.00M,2001-03,312.00M,390.00M,-2.00M,,2001-03,25.00M,,,-6.00M,,,
2000-12,340.00M,,,,,-42.00M,-516.00M,198.00M,-17.00M,,,,,,,,-9.00M,-162.00M,,364.00M,,-328.00M,,610.00M,,,76.00M,-290.00M,,2000-12,,3.00M,-51.00M,-32.00M,-83.00M,,,,0.00,,,-21.00M,2000-12,259.00M,53.00M,,,2000-12,-51.00M,,,-32.00M,,,Restated
2000-09,257.00M,,,,,6.00M,175.00M,175.00M,92.00M,,,,,,,,-7.00M,-7.00M,,523.00M,,-205.00M,-10.00M,-215.00M,,,-2.00M,-217.00M,,2000-09,,-118.00M,31.00M,-126.00M,-95.00M,,,,-13.00M,,,-226.00M,2000-09,178.00M,80.00M,1.00M,,2000-09,31.00M,,,-126.00M,,,
2000-06,202.00M,,,,,5.00M,167.00M,167.00M,63.00M,,,,,,,,34.00M,34.00M,,471.00M,,-243.00M,0.00,-243.00M,,,,-243.00M,,2000-06,,-23.00M,15.00M,-52.00M,-37.00M,,,,-14.00M,,,-74.00M,2000-06,26.00M,154.00M,-2.00M,,2000-06,15.00M,,,-52.00M,,,
2000-03,224.00M,,,,,31.00M,174.00M,174.00M,26.00M,,,,,,,,-18.00M,-18.00M,,437.00M,,-162.00M,10.00M,-152.00M,,,,-152.00M,,2000-03,,-269.00M,5.00M,-10.00M,-5.00M,,,,-27.00M,,,-301.00M,2000-03,41.00M,-16.00M,1.00M,,2000-03,5.00M,,,-10.00M,,,
1999-12,131.50M,,,,,-57.00M,-434.00M,215.00M,17.10M,,,75.90M,,,,,125.30M,-244.70M,,301.80M,,-179.70M,-413.00M,204.30M,,,455.90M,-195.80M,,1999-12,,-91.60M,-17.10M,,-17.10M,,,,0.30M,,-0.10M,-90.50M,1999-12,25.60M,15.50M,-0.30M,,1999-12,-17.10M,,,,,,Restated
1999-09,158.50M,,,,,-149.00M,159.00M,159.00M,77.90M,,,-0.90M,,,,,-29.30M,-29.30M,,216.20M,,-197.30M,227.00M,29.70M,,,1.10M,30.80M,,1999-09,,-297.40M,7.10M,,7.10M,,,,-13.30M,,0.10M,-303.50M,1999-09,82.00M,-56.50M,0.30M,,1999-09,7.10M,,,,,,
1999-06,77.40M,,,,,-43.70M,136.70M,136.70M,-3.10M,,,49.40M,,,,,-96.00M,-96.00M,,120.70M,,-219.20M,118.20M,-101.00M,,,-1.00M,-102.00M,,1999-06,,12.20M,10.00M,,10.00M,,,,-13.90M,,0.10M,8.40M,1999-06,54.60M,27.10M,0.20M,,1999-06,10.00M,,,,,,
1999-03,70.60M,,,,,-23.30M,138.30M,138.30M,-29.90M,,,-48.40M,,,,,,,,107.30M,,-200.80M,67.80M,-133.00M,,,,-133.00M,,1999-03,,33.80M,,,,,,,-27.10M,,-0.10M,6.60M,1999-03,73.80M,-19.10M,-0.20M,,1999-03,,,,,,,
1998-12,-418.40M,,,,,386.90M,176.00M,176.00M,-128.20M,,,0.10M,,,,,-12.10M,-14.10M,,2.30M,,-318.60M,383.70M,65.10M,,,,65.10M,,1998-12,,-60.00M,,-0.30M,-0.30M,,,,-0.30M,,,-60.60M,1998-12,67.20M,6.80M,0.20M,,1998-12,,,,-0.30M,,,
1998-09,-6.30M,,,,,25.50M,159.60M,159.60M,-9.20M,,,-26.30M,,,,,12.10M,12.10M,,155.40M,,-411.30M,11.00M,-400.30M,,,,-400.30M,,1998-09,,316.70M,,-30.20M,-30.20M,,,,-13.60M,,0.10M,273.00M,1998-09,40.90M,28.10M,-1.90M,,1998-09,,,,-30.20M,,,
1998-06,-21.70M,,,,,60.60M,162.20M,162.20M,6.20M,,,-4.40M,,,,,,,,202.90M,,-390.70M,1.20M,-389.50M,,,,-389.50M,,1998-06,,184.00M,,-22.10M,-22.10M,,,,-13.70M,,0.00,148.20M,1998-06,79.50M,-38.40M,-0.20M,,1998-06,,,,-22.10M,,,
