,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,OtherNoncashItems,ChangeinPrepaidAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2003-09,68.80M,,,,27.60M,,49.90M,49.90M,19.90M,,,,1.20M,1.20M,,167.40M,,-26.60M,,-26.60M,0.00,,5.30M,-21.30M,,,,-98.20M,10.00M,-17.00M,-7.00M,,-8.40M,-9.00M,-122.60M,,39.80M,23.50M,-4.90M,58.40M,,10.00M,,,-17.00M,,,
2003-06,74.30M,,,,-11.70M,,51.50M,51.50M,10.00M,,,,51.20M,51.20M,,175.30M,,-41.60M,,-41.60M,0.00,,24.30M,-17.30M,,,,-142.00M,2.00M,-32.10M,-30.10M,,-5.10M,0.70M,-176.50M,,54.10M,-18.50M,4.20M,39.80M,,2.00M,,,-32.10M,,,
2003-03,31.50M,,,,-140.70M,,49.90M,49.90M,5.80M,,,,-251.00M,-251.00M,,-304.50M,,-30.30M,,-30.30M,-28.00M,,-5.60M,-63.90M,,,,162.10M,13.50M,-7.30M,6.20M,,-4.90M,-1.20M,162.20M,,259.20M,-206.20M,1.10M,54.10M,,13.50M,,,-7.30M,,,
2002-12,28.70M,,,,-32.00M,,40.20M,40.20M,22.60M,,,,-10.90M,141.40M,,200.90M,,-70.70M,,-70.70M,-813.80M,18.90M,-5.90M,-871.50M,,,,877.00M,5.70M,-9.80M,-4.10M,,-5.10M,0.20M,868.00M,,58.20M,197.40M,,259.20M,,5.70M,,,-9.80M,,,
2002-09,50.00M,,,,-4.00M,,36.20M,36.20M,-7.40M,2.50M,,,45.90M,45.90M,,123.20M,,-23.30M,,-23.30M,-43.10M,-18.90M,10.10M,-75.20M,,,,-10.00M,9.20M,-20.30M,-11.10M,,-5.10M,-0.10M,-26.30M,,36.50M,21.70M,,58.20M,,9.20M,,,-20.30M,,,
2002-06,49.90M,,,,7.50M,,37.10M,37.10M,5.90M,-2.50M,,,80.30M,80.30M,,178.20M,,-34.40M,,-34.40M,,,-1.00M,-35.40M,,,,-112.40M,6.80M,-17.60M,-10.80M,,-5.10M,0.10M,-128.20M,,21.90M,14.60M,,36.50M,,6.80M,,,-17.60M,,,
2002-03,27.50M,,,,-7.50M,,35.70M,35.70M,9.60M,,,,-115.30M,-115.30M,,-50.00M,,-30.00M,,-30.00M,,,-9.10M,-39.10M,,,,76.10M,13.30M,-56.40M,-43.10M,,-5.10M,,27.90M,,83.10M,-61.20M,,21.90M,,13.30M,,,-56.40M,,,
2001-12,8.10M,,,,-5.30M,,37.80M,37.80M,-20.10M,,,,152.90M,195.80M,,216.30M,,-19.00M,,-19.00M,,,4.50M,-92.40M,,,,-51.90M,8.70M,-27.80M,-19.10M,,-6.00M,-0.20M,-77.20M,,36.40M,46.70M,,83.10M,,8.70M,,,-27.80M,,,
2001-09,36.30M,,,,-23.80M,,37.60M,37.60M,14.40M,17.00M,,,36.50M,36.50M,,118.00M,,-12.30M,,-12.30M,,,1.40M,-10.90M,,,,-71.30M,6.80M,-25.50M,-18.70M,,-4.20M,-1.40M,-95.60M,,24.90M,11.50M,,36.40M,,6.80M,,,-25.50M,,,
2001-06,-162.10M,,,,251.20M,,38.80M,38.80M,2.20M,-13.10M,,,10.10M,10.10M,,127.10M,,-18.30M,,-18.30M,,,4.20M,-14.10M,,,,-115.90M,7.00M,0.00,7.00M,,-6.10M,-1.10M,-116.10M,,28.00M,-3.10M,,24.90M,,7.00M,,,0.00,,,
2001-03,18.50M,,,,,,38.30M,38.30M,6.00M,-3.90M,,,-199.50M,-199.50M,,-140.60M,,-18.90M,,-18.90M,,,13.40M,-5.50M,,,,176.80M,9.60M,-32.60M,-23.00M,,-4.10M,-1.20M,148.50M,,25.60M,2.40M,,28.00M,,9.60M,,,-32.60M,,,
2000-12,19.10M,,,,2.80M,,40.50M,40.50M,14.10M,,,,181.20M,51.10M,,127.60M,,-28.90M,,-28.90M,,,4.30M,-24.60M,,,,-69.40M,4.80M,-34.20M,-29.40M,,-6.20M,0.20M,-104.80M,,27.40M,-1.80M,,25.60M,,4.80M,,,-34.20M,,,
2000-09,44.50M,,,,-12.50M,,39.30M,39.30M,8.90M,,,,8.90M,8.90M,,89.10M,,-23.60M,,-23.60M,,,3.50M,-20.10M,,,,-55.30M,4.60M,-19.80M,-15.20M,,-4.50M,-1.40M,-76.40M,,34.80M,-7.40M,,27.40M,,4.60M,,,-19.80M,,,
2000-06,-15.40M,,,,81.20M,,38.90M,38.90M,-13.20M,,,,-3.70M,-3.70M,,87.80M,,-22.70M,,-22.70M,,,4.00M,-18.70M,,,,-54.00M,6.10M,-22.00M,-15.90M,,-6.40M,-0.50M,-76.80M,,42.50M,-7.70M,,34.80M,,6.10M,,,-22.00M,,,
2000-03,20.00M,,,,-2.00M,,40.40M,40.40M,,,,,-186.40M,-186.40M,,-128.00M,,-23.50M,,-23.50M,,,34.40M,10.90M,,,,130.70M,15.20M,-15.60M,-0.40M,,-4.50M,-2.00M,123.80M,,35.80M,6.70M,,42.50M,,15.20M,,,-15.60M,,,
1999-12,19.50M,,,,-2.50M,,40.90M,40.90M,3.40M,129.70M,,,,-0.70M,,190.30M,,-37.90M,,-37.90M,,,10.60M,-27.30M,,,,-133.10M,6.00M,-24.20M,-18.20M,,-6.60M,0.10M,-157.80M,,30.60M,5.20M,,35.80M,,6.00M,,,-24.20M,,,
1999-09,37.00M,,,,-17.60M,,40.80M,40.80M,30.90M,17.40M,,,,,,108.50M,,-24.70M,,-24.70M,,,-2.10M,-26.80M,,,,-86.00M,6.30M,-14.40M,-8.10M,,-4.60M,-1.10M,-99.80M,,0.00,-18.10M,,30.60M,,6.30M,,,-14.40M,,,
1999-06,32.00M,,,,11.20M,,39.70M,39.70M,,-147.90M,,,181.50M,181.50M,,116.50M,,-22.90M,,-22.90M,,,2.60M,-20.30M,,,,-74.50M,17.50M,-24.90M,-7.40M,,-6.80M,-0.90M,-89.60M,,42.10M,6.60M,,0.00,,17.50M,,,-24.90M,,,
1999-03,15.70M,,,,15.00M,,41.50M,41.50M,,,,,-181.50M,-181.50M,,-109.30M,,-21.50M,,-21.50M,,,3.20M,-18.30M,,,,142.50M,7.00M,-8.80M,-1.80M,,-4.50M,-0.50M,135.70M,,34.00M,8.10M,,42.10M,,7.00M,,,-8.80M,,,
1998-12,-17.20M,,,,61.10M,,39.70M,39.70M,,-48.40M,,,,,,187.10M,,-76.60M,,-76.60M,,-1.40M,12.80M,-65.20M,,,,-77.30M,6.30M,-22.30M,-16.00M,,-6.80M,-21.80M,-121.90M,,0.00,0.00,,34.00M,,6.30M,,,-22.30M,,,
1998-09,24.90M,,,,-10.70M,,39.40M,39.40M,,74.10M,,,,,,127.70M,,-808.30M,,-808.30M,,1.70M,-4.40M,-811.00M,,,,680.00M,9.80M,-3.90M,5.90M,,-3.90M,-33.10M,648.90M,,0.00,-34.40M,,0.00,,9.80M,,,-3.90M,,,
1998-06,18.80M,,,,-2.40M,,36.50M,36.50M,,31.70M,,,,,,84.60M,,-20.80M,,-20.80M,,-0.30M,-0.50M,-21.60M,,,,-32.20M,10.30M,-6.20M,4.10M,,-7.50M,-0.30M,-35.90M,,0.00,27.10M,,0.00,,10.30M,,,-6.20M,,,
1998-03,5.50M,,,,10.20M,,29.40M,29.40M,,-57.40M,,,,,,-12.30M,,-16.90M,,-16.90M,,,-0.40M,-17.30M,,,,48.80M,5.10M,-2.50M,2.60M,,-4.50M,-1.50M,45.40M,,25.50M,15.80M,,0.00,,5.10M,,,-2.50M,,,
1997-12,7.80M,,,,-6.80M,,31.50M,31.50M,,62.40M,,,,,,69.40M,,-14.20M,,16.90M,,,-21.70M,-4.80M,,,,-59.10M,6.10M,-6.30M,-0.20M,,-6.80M,-1.10M,-67.20M,,28.10M,-2.60M,,25.50M,,6.10M,,,-6.30M,,,
1997-09,22.70M,,,,3.30M,,31.60M,31.60M,,33.20M,,,,,,90.80M,,-24.10M,,-24.10M,,,-35.70M,-59.80M,,,,-23.50M,7.10M,-8.10M,-1.00M,,-4.30M,-2.00M,-30.80M,,0.00,0.20M,,28.10M,,7.10M,,,-8.10M,,,
1997-06,20.80M,,,,-2.30M,,30.40M,30.40M,,-7.60M,,,,,,41.30M,,-32.20M,,-32.20M,,,24.60M,-7.60M,,,,-32.30M,4.00M,-7.50M,-3.50M,,-7.00M,2.10M,-40.70M,,0.00,-7.00M,,0.00,,4.00M,,,-7.50M,,,
1997-03,7.00M,,,,-1.00M,,24.00M,24.00M,,-88.00M,,,,,,-58.00M,,-27.20M,,-27.20M,,,-151.50M,-178.70M,,,,112.40M,4.50M,-10.20M,-5.70M,,-4.80M,0.50M,102.40M,,169.20M,-134.30M,,0.00,,4.50M,,,-10.20M,,,
1996-12,-13.20M,,,,43.00M,,29.80M,29.80M,-2.00M,80.70M,,,,-57.30M,,81.00M,,-37.00M,,-37.00M,,,231.10M,194.10M,,,,-134.20M,1.40M,-3.40M,-2.00M,,-6.70M,26.20M,-116.70M,,0.00,158.40M,,169.20M,,1.40M,,,-3.40M,,,
1996-09,14.50M,,,,0.50M,,22.10M,22.10M,14.40M,16.40M,,,,,,67.90M,,-55.10M,,-55.10M,,,-18.90M,-74.00M,,,,22.00M,6.20M,-0.20M,6.00M,,-4.60M,-26.80M,-3.40M,,0.00,-9.50M,,0.00,,6.20M,,,-0.20M,,,
1996-06,17.40M,,,,-8.90M,,21.40M,21.40M,,-108.20M,,,107.40M,107.40M,,29.10M,,-46.30M,,-46.30M,,,-23.20M,-69.50M,,,,46.90M,8.50M,-1.10M,7.40M,,-7.00M,-5.40M,41.90M,,18.80M,1.50M,,0.00,,8.50M,,,-1.10M,,,
1996-03,5.50M,,,,-12.00M,,20.20M,20.20M,,,,,-107.40M,-107.40M,,-93.70M,,-57.70M,,-57.70M,,,-11.30M,-69.00M,,,,179.20M,5.30M,-5.50M,-0.20M,,-4.50M,1.90M,176.40M,,5.10M,13.70M,,18.80M,,5.30M,,,-5.50M,,,
1995-12,0.50M,,,,-44.10M,,-13.60M,-13.60M,,,,,65.70M,-44.20M,,-24.20M,,-52.40M,-200.80M,-253.20M,,,197.60M,-55.60M,,,,54.70M,6.80M,-8.60M,-1.80M,,-7.00M,-2.50M,43.40M,,41.50M,-36.40M,,5.10M,,6.80M,,,-8.60M,,,
1995-09,-57.30M,,,,65.70M,,28.30M,28.30M,,,,,90.00M,90.00M,,126.70M,,-45.40M,317.50M,272.10M,,,-132.50M,139.60M,,,,-232.20M,9.20M,-4.80M,4.40M,,-4.50M,-2.70M,-235.00M,,10.20M,31.30M,,41.50M,,9.20M,,,-4.80M,,,
1995-06,18.60M,,,,-3.10M,,32.00M,32.00M,,,,,-69.50M,-69.50M,,-22.00M,,-46.50M,0.00,-46.50M,,,-16.10M,-62.60M,,,,91.60M,6.20M,-3.90M,2.30M,,-7.00M,-0.20M,86.70M,,8.10M,2.10M,,10.20M,,6.20M,,,-3.90M,,,
1995-03,19.60M,,,,-13.00M,,32.00M,32.00M,,,,,-86.20M,-86.20M,,-47.60M,,-34.60M,14.50M,-20.10M,,,2.00M,-18.10M,,,,68.20M,10.30M,-10.30M,0.00,,-4.50M,-0.30M,63.40M,,10.40M,-2.30M,,8.10M,,10.30M,,,-10.30M,,,
1994-12,22.00M,,,,-23.40M,,33.00M,33.00M,,,,,4.60M,53.80M,,93.10M,,-35.10M,,-35.10M,,,-0.70M,-35.80M,,,,-50.40M,5.20M,,-4.70M,,-6.50M,5.10M,-56.50M,,9.60M,0.80M,,10.40M,,5.20M,,,,,,
1994-09,23.30M,,,,1.30M,,31.90M,31.90M,,,,,57.90M,57.90M,,114.40M,,-14.30M,,-14.30M,,,-5.20M,-19.50M,,,,-92.20M,5.00M,,5.00M,,-4.90M,-2.10M,-94.20M,,8.90M,0.70M,,9.60M,,5.00M,,,,,,
1994-06,17.20M,,,,2.50M,,31.60M,31.60M,,,,,15.60M,15.60M,,66.90M,,-21.20M,,-21.20M,,,10.70M,-10.50M,,,,-51.50M,4.60M,,4.60M,,-7.10M,-3.10M,-57.10M,,9.60M,-0.70M,,8.90M,,4.60M,,,,,,
1994-03,10.50M,,,,3.40M,,30.50M,30.50M,,,,,-78.10M,-78.10M,,-33.70M,,-23.90M,,-23.90M,,,0.40M,-23.50M,,,,59.60M,5.00M,,5.00M,,-4.40M,-1.60M,58.60M,,8.20M,1.40M,,9.60M,,5.00M,,,,,,
1993-12,-58.70M,,,,99.10M,,29.80M,29.80M,-41.80M,-8.80M,,-40.90M,,49.40M,,69.00M,,-52.20M,,-52.20M,,,-5.40M,-57.60M,,,,-4.90M,2.30M,-8.60M,-6.30M,,-11.80M,6.20M,-16.80M,,0.00,-5.40M,,0.00,,2.30M,,,-8.60M,,,
1993-09,3.80M,,,,14.00M,,30.40M,30.40M,2.00M,-6.90M,,101.70M,,101.70M,,145.00M,,-34.00M,,-34.00M,,,-16.40M,-50.40M,,,,-82.90M,4.40M,,4.40M,,-9.10M,-2.90M,-90.50M,,0.00,4.10M,,0.00,,4.40M,,,,,,
1993-06,13.30M,,,,0.00,,29.30M,29.30M,-0.60M,0.80M,,-36.50M,,-36.50M,,6.30M,,-27.50M,,-27.50M,,,35.30M,7.80M,,,,-15.40M,6.70M,8.20M,14.90M,,-19.90M,-1.50M,-21.90M,,0.00,-7.80M,,0.00,,6.70M,,,8.20M,,,
1993-03,11.20M,,,,-2.10M,,26.80M,26.80M,-1.40M,0.50M,,-69.90M,,-69.90M,,-34.90M,,-27.20M,,-27.20M,,,-16.90M,-44.10M,,,,84.00M,6.60M,-8.20M,-1.60M,,,-0.60M,81.80M,,14.50M,2.80M,,0.00,,6.60M,,,-8.20M,,,
1992-12,11.60M,,,,3.20M,,25.30M,25.30M,8.80M,-8.30M,,30.80M,,-13.90M,,26.70M,,-46.60M,,-25.70M,,,-26.60M,-52.30M,,,,35.40M,5.70M,-0.20M,5.50M,,-10.70M,-0.10M,30.10M,,0.00,4.50M,0.10M,0.00,,5.70M,,,-0.20M,,,
1992-09,25.70M,,,,-4.90M,,19.30M,19.30M,-1.30M,-7.30M,,27.90M,,27.90M,,59.40M,,-14.90M,,-14.90M,,,12.60M,-2.30M,,,,-7.40M,5.00M,-50.30M,-45.30M,,-8.20M,2.50M,-58.40M,,0.00,-1.30M,-0.20M,0.00,,5.00M,,,-50.30M,,,
1992-06,20.00M,,,,4.90M,,31.40M,31.40M,-6.40M,1.80M,,-17.70M,,-17.70M,,34.00M,,-26.40M,,-26.40M,,,-4.90M,-31.30M,,,,-45.30M,5.10M,50.30M,55.40M,,-10.40M,0.00,-0.30M,,0.00,2.40M,0.10M,0.00,,5.10M,,,50.30M,,,
1992-03,11.80M,,,,,,29.50M,29.50M,-2.70M,-2.30M,,-39.40M,,-39.40M,,-3.10M,,-22.30M,,-22.30M,,,-70.40M,-92.70M,,,,150.10M,5.70M,-50.30M,-44.60M,,-8.30M,-3.50M,93.70M,,20.80M,-2.10M,,0.00,,5.70M,,,-50.30M,,,
1991-12,9.00M,,,,0.00,,33.80M,33.80M,-5.10M,-6.60M,,-25.40M,,-34.50M,,-3.40M,,-35.50M,,-35.50M,,,1.40M,-34.10M,,,,34.30M,4.20M,,4.10M,,-11.70M,-6.90M,19.80M,,0.00,-17.70M,,0.00,,4.20M,,,,,,
1991-09,23.50M,,,,0.80M,,26.20M,26.20M,0.80M,-3.30M,,85.50M,,85.50M,,133.50M,,-19.80M,,-19.80M,,,-14.30M,-34.10M,,,,-184.30M,108.00M,,108.00M,,-8.00M,1.20M,-83.10M,,0.00,16.30M,,0.00,,108.00M,,,,,,
1991-06,23.00M,,,,0.40M,,25.40M,25.40M,-0.60M,0.20M,,14.90M,,14.90M,,63.30M,,-22.40M,,-22.40M,,,-115.10M,-137.50M,,,,87.00M,3.10M,,3.10M,,-10.50M,-0.70M,78.90M,,0.00,4.70M,,0.00,,3.10M,,,,,,
1991-03,10.70M,,,,2.30M,,22.60M,22.60M,-3.80M,0.70M,,-61.50M,,-61.50M,,-29.00M,,-18.10M,,-18.10M,,,0.30M,-17.80M,,,,39.30M,2.90M,,2.90M,,-7.40M,-0.50M,34.30M,,30.00M,-12.50M,,0.00,,2.90M,,,,,,
1990-12,2.80M,,,,8.90M,,14.00M,14.00M,1.80M,-5.60M,,-16.20M,,-18.50M,,3.40M,,-7.80M,,-7.80M,,,-12.60M,-20.40M,,,,34.00M,3.30M,0.10M,3.40M,,-9.10M,2.50M,30.80M,,0.00,13.80M,,0.00,,3.30M,,,0.10M,,,
1990-09,19.40M,,,,-6.40M,,13.30M,13.30M,-0.60M,3.50M,,18.00M,,18.00M,,47.20M,,-7.80M,,-7.80M,,,-18.90M,-26.70M,,,,-17.20M,2.90M,-0.10M,2.80M,,-6.40M,5.90M,-14.90M,,0.00,5.60M,,0.00,,2.90M,,,-0.10M,,,
1990-06,18.80M,,,,,,13.10M,13.10M,0.20M,1.30M,,12.50M,,12.50M,,45.90M,,-7.90M,,-7.90M,,,1.40M,-6.50M,,,,-26.00M,3.20M,-2.30M,0.90M,,-8.70M,-6.90M,-40.70M,,0.00,-1.30M,,0.00,,3.20M,,,-2.30M,,,
1990-03,9.20M,,,,,,13.10M,13.10M,0.40M,0.90M,,-17.50M,,-17.50M,,6.10M,,-10.20M,,-10.20M,,,,-10.20M,,,,18.80M,2.70M,-8.60M,-5.90M,,-6.10M,-1.20M,5.60M,,10.40M,1.50M,,0.00,,2.70M,,,-8.60M,,,
