,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2009-09,418.10M,113.40M,531.50M,978.30M,147.90M,1.126B,420.40M,486.50M,906.90M,,112.50M,,2.677B,0.00,90.10M,839.10M,3.075B,,133.00M,4.137B,-2.325B,1.812B,1.868B,363.70M,2.232B,0.00,71.30M,,,4.115B,6.792B,,688.60M,44.30M,,732.90M,210.70M,943.60M,,253.10M,,253.10M,,,355.40M,1.552B,2.533B,,2.533B,119.70M,119.70M,992.00M,116.50M,1.60M,,,3.761B,5.313B,,820.80M,2.325B,,1.574B,,,,-94.70M,1.478B,,AOR,Restated
2009-06,59.50M,146.30M,205.80M,696.50M,195.60M,892.10M,399.30M,602.10M,1.001B,,112.60M,,2.212B,0.00,89.10M,831.10M,3.044B,,128.50M,4.093B,-2.270B,1.822B,1.822B,352.70M,2.174B,0.00,97.70M,,,4.095B,6.307B,,736.70M,31.00M,,767.70M,213.40M,981.10M,,359.30M,,359.30M,,,406.30M,1.747B,2.014B,,2.014B,117.70M,117.70M,973.60M,144.80M,2.00M,,,3.250B,4.997B,,804.40M,2.231B,,1.556B,,,,-171.30M,1.308B,,AOR,Restated
2009-03,53.10M,205.10M,258.20M,634.30M,239.10M,873.40M,442.50M,640.70M,1.083B,,111.60M,,2.326B,0.00,87.30M,790.20M,2.966B,,163.20M,4.006B,-2.192B,1.814B,1.778B,369.70M,2.147B,0.00,137.20M,,,4.098B,6.425B,,681.50M,30.70M,,712.20M,194.90M,907.10M,,302.30M,,302.30M,,,488.20M,1.698B,2.357B,,2.357B,116.40M,116.40M,949.90M,191.60M,1.70M,,,3.615B,5.313B,,795.60M,2.107B,,1.560B,,,,-232.00M,1.110B,,AOR,Restated
2008-12,127.40M,197.00M,324.40M,435.70M,301.70M,737.40M,461.40M,512.80M,974.20M,,129.30M,,2.165B,0.00,89.00M,798.50M,2.993B,,151.20M,4.032B,-2.165B,1.867B,1.826B,372.00M,2.198B,0.00,139.00M,,,4.203B,6.369B,,763.70M,,,763.70M,232.70M,996.40M,,303.00M,,303.00M,,,563.00M,1.862B,2.107B,,2.107B,140.80M,140.80M,981.40M,189.70M,1.50M,,,3.419B,5.281B,,788.00M,2.047B,,1.567B,,,,-182.50M,1.086B,,,Restated
2008-09,113.90M,,113.90M,773.80M,,773.80M,413.10M,587.80M,1.001B,,128.20M,,2.017B,0.00,90.50M,823.10M,3.028B,,184.20M,4.126B,-2.192B,1.934B,1.864B,396.20M,2.260B,,,,,4.195B,6.212B,,702.90M,,,702.90M,224.30M,927.20M,,221.50M,,221.50M,,,216.00M,1.365B,2.438B,,2.438B,251.10M,251.10M,,,1.50M,,749.80M,3.439B,4.804B,,0.00,2.022B,782.80M,1.524B,,,,125.80M,1.407B,,,Restated
2008-06,63.40M,,63.40M,748.90M,90.10M,839.00M,419.40M,673.40M,1.093B,,170.20M,,2.165B,0.00,96.30M,851.40M,3.037B,,194.50M,4.179B,-2.163B,2.016B,1.952B,114.90M,2.066B,,,,332.70M,4.415B,6.581B,,797.80M,,,797.80M,208.90M,1.007B,,327.10M,,327.10M,,,254.70M,1.588B,2.415B,,2.415B,261.50M,261.50M,,,1.40M,,790.70M,3.468B,5.056B,,0.00,1.930B,778.50M,1.446B,,,,261.50M,1.523B,,,Restated
2008-03,89.90M,,89.90M,675.10M,,675.10M,396.30M,737.70M,1.134B,,156.20M,,2.055B,0.00,95.00M,839.40M,3.008B,,163.00M,4.105B,-2.105B,2.000B,1.953B,119.40M,2.072B,,,1.20M,317.90M,4.391B,6.446B,,734.70M,,,734.70M,192.60M,927.30M,,309.10M,,309.10M,,,259.40M,1.496B,2.450B,,2.450B,246.80M,246.80M,,,1.20M,,794.60M,3.492B,4.988B,,0.00,1.839B,767.40M,1.386B,,308.10M,-71.70M,236.40M,1.457B,,,Restated
2007-12,151.60M,,151.60M,582.70M,,582.70M,433.60M,564.50M,998.10M,,110.50M,,1.843B,0.00,92.20M,820.10M,2.914B,,154.70M,3.981B,-2.04B,1.941B,1.863B,121.90M,1.985B,,,4.30M,247.20M,4.178B,6.021B,,763.60M,,,763.60M,238.00M,1.002B,,176.80M,,176.80M,,,334.70M,1.513B,2.182B,,2.182B,183.10M,183.10M,,,1.10M,,799.00M,3.164B,4.677B,,0.00,1.765B,760.30M,1.290B,,221.80M,-114.90M,106.90M,1.342B,,,
2007-09,79.40M,,79.40M,852.80M,,852.80M,357.80M,509.80M,867.60M,,80.10M,,1.880B,0.00,91.80M,812.60M,2.896B,,141.20M,3.941B,-2.000B,1.941B,1.838B,124.60M,1.962B,,,8.60M,223.50M,4.136B,6.015B,,737.50M,,,737.50M,216.30M,953.80M,,169.40M,,169.40M,,,301.60M,1.425B,2.229B,,2.229B,145.30M,145.30M,,,1.30M,,857.80M,3.232B,4.657B,,0.00,1.741B,752.10M,1.168B,,188.00M,-155.90M,32.10M,1.357B,,,
2007-06,91.90M,,91.90M,772.40M,,772.40M,386.20M,512.60M,898.80M,,93.40M,,1.856B,0.00,89.80M,796.80M,2.817B,,128.30M,3.832B,-1.918B,1.914B,1.784B,126.80M,1.911B,,,23.20M,221.00M,4.069B,5.925B,,748.90M,,,748.90M,189.90M,938.80M,,162.10M,,162.10M,,,234.60M,1.336B,2.233B,,2.233B,160.20M,160.20M,,,1.20M,,849.60M,3.243B,4.578B,,0.00,1.690B,740.50M,1.091B,,148.60M,-143.00M,5.60M,1.346B,,,
2007-03,51.20M,,51.20M,698.60M,,698.60M,428.90M,589.80M,1.019B,,90.70M,,1.859B,0.00,88.10M,771.30M,2.636B,,253.50M,3.748B,-1.859B,1.889B,1.770B,130.50M,1.901B,,,33.50M,235.20M,4.059B,5.918B,,668.40M,,,668.40M,175.80M,844.20M,,238.20M,,238.20M,,,251.60M,1.334B,2.361B,,2.361B,160.00M,160.00M,,,1.10M,,846.80M,3.368B,4.702B,,0.00,1.595B,724.80M,1.089B,,139.60M,-154.50M,-14.90M,1.215B,,,
2006-12,151.50M,,151.50M,579.50M,,579.50M,445.60M,489.80M,935.40M,,94.90M,,1.761B,0.00,88.50M,764.10M,2.619B,,215.10M,3.686B,-1.810B,1.876B,1.774B,116.20M,1.890B,,,34.90M,278.80M,4.080B,5.841B,,732.40M,,,732.40M,201.10M,933.50M,,181.30M,,181.30M,,,339.50M,1.454B,2.270B,,2.270B,102.10M,102.10M,,,1.00M,,847.70M,3.220B,4.674B,,0.00,1.535B,703.40M,1.044B,,131.80M,-161.30M,-29.50M,1.165B,,,
2006-09,59.10M,,59.10M,768.20M,,768.20M,373.30M,395.10M,768.40M,,98.70M,,1.694B,0.00,88.30M,747.10M,2.598B,,193.60M,3.627B,-1.805B,1.822B,1.725B,116.50M,1.841B,,,31.40M,340.00M,4.034B,5.729B,,658.90M,,,658.90M,199.10M,858.00M,,136.90M,,136.90M,,,274.10M,1.269B,2.412B,,2.412B,85.80M,85.80M,,,4.90M,,837.40M,3.335B,4.604B,,0.00,1.476B,694.10M,992.30M,,,,-57.50M,1.120B,,,
2006-06,52.50M,,52.50M,770.70M,,770.70M,369.50M,460.80M,830.30M,,139.00M,,1.792B,0.00,89.60M,723.90M,2.578B,,184.40M,3.576B,-1.745B,1.831B,1.71B,148.20M,1.858B,,,32.30M,338.40M,4.060B,5.853B,,691.60M,,,691.60M,177.20M,868.80M,,133.90M,,133.90M,,,337.80M,1.340B,2.513B,,2.513B,97.50M,97.50M,,,4.80M,,846.70M,3.457B,4.798B,,0.00,1.385B,685.20M,961.50M,,,,-58.00M,1.050B,,,
2006-03,46.90M,,46.90M,586.50M,,586.50M,319.10M,541.90M,861.00M,,103.50M,,1.598B,0.00,88.60M,735.60M,2.504B,,170.60M,3.499B,-1.678B,1.821B,1.738B,40.90M,1.779B,,,80.50M,295.80M,3.977B,5.575B,,628.00M,,,628.00M,149.00M,777.00M,,119.00M,,119.00M,,,287.80M,1.184B,2.534B,,2.534B,96.50M,96.50M,,,5.30M,,863.80M,3.494B,4.678B,,678.20M,1.262B,,955.40M,,,,-93.60M,891.50M,,,
2005-12,61.00M,,61.00M,376.60M,,376.60M,277.40M,422.50M,699.90M,,106.40M,,1.244B,0.00,77.20M,700.60M,2.231B,,144.20M,3.153B,-1.597B,1.557B,1.259B,43.10M,1.302B,,,40.70M,218.60M,3.118B,4.362B,,552.40M,,,552.40M,198.40M,750.80M,,116.40M,,116.40M,,,308.80M,1.176B,1.473B,,1.473B,69.50M,69.50M,,,5.10M,,784.20M,2.327B,3.503B,,0.00,1.246B,633.60M,925.50M,,74.60M,-175.30M,-100.70M,853.40M,,,
2005-09,90.40M,,90.40M,561.50M,,561.50M,215.50M,362.70M,578.20M,,96.00M,,1.326B,0.00,79.60M,754.30M,2.234B,,,3.068B,-1.561B,1.507B,,1.543B,1.543B,,,,,3.050B,4.376B,,508.70M,,,508.70M,175.60M,684.30M,,196.20M,,196.20M,,,283.20M,1.164B,1.556B,,1.556B,53.10M,53.10M,,,5.00M,,723.80M,2.332B,3.496B,,623.50M,1.192B,,892.90M,,,,-47.50M,875.20M,,,
2005-06,75.70M,,75.70M,543.00M,,543.00M,214.00M,443.60M,657.60M,,88.50M,,1.365B,0.00,78.90M,742.00M,2.190B,,,3.011B,-1.507B,1.504B,,1.288B,1.288B,,,,272.80M,3.065B,4.43B,,549.40M,,,549.40M,147.70M,697.10M,,165.40M,,165.40M,,,220.10M,1.083B,1.588B,,1.588B,82.30M,82.30M,,,5.60M,,718.80M,2.389B,3.472B,,618.20M,1.123B,,734.50M,,,,-54.30M,952.70M,,,
2005-03,86.80M,,86.80M,441.00M,,441.00M,232.70M,481.80M,714.50M,108.50M,85.10M,,1.436B,0.00,80.70M,733.90M,2.201B,,,3.016B,-1.481B,1.535B,,1.648B,1.648B,,,,,3.182B,4.618B,,509.90M,,,509.90M,133.50M,643.40M,,145.00M,,145.00M,,,230.90M,1.019B,1.631B,,1.631B,99.80M,99.80M,,,6.60M,,740.80M,2.472B,3.491B,,621.20M,1.055B,,562.20M,,,,6.80M,1.121B,,,
2004-12,198.70M,,198.70M,346.80M,,346.80M,256.50M,373.00M,629.50M,,70.60M,,1.246B,0.00,81.70M,735.40M,2.157B,,,2.974B,-1.442B,1.532B,,1.700B,1.700B,,,,,3.232B,4.478B,,453.00M,,,453.00M,222.20M,675.20M,,123.00M,,123.00M,,,198.10M,996.30M,1.538B,,1.538B,116.40M,116.40M,,,6.40M,,734.30M,2.388B,3.385B,,610.80M,1.008B,,564.90M,,,,33.20M,1.087B,,,
2004-09,67.80M,,67.80M,517.50M,,517.50M,202.70M,374.50M,577.20M,,66.00M,,1.228B,0.00,76.00M,710.90M,2.053B,,,2.84B,-1.402B,1.438B,,1.380B,1.380B,,,,305.30M,3.123B,4.352B,,468.80M,,,468.80M,191.60M,660.40M,,124.00M,,124.00M,,,232.60M,1.017B,1.499B,,1.499B,122.70M,122.70M,,,6.20M,,712.50M,2.335B,3.352B,,587.40M,960.30M,,555.30M,,,,1.70M,994.10M,,,
2004-06,35.90M,,35.90M,502.50M,,502.50M,201.60M,406.30M,607.90M,,77.00M,,1.223B,0.00,79.40M,701.00M,2.020B,,,2.800B,-1.344B,1.456B,,1.314B,1.314B,,,,341.50M,3.112B,4.335B,,482.00M,,,482.00M,152.00M,634.00M,,157.80M,,157.80M,,,229.00M,1.021B,1.584B,,1.584B,120.70M,120.70M,,,6.50M,,711.10M,2.416B,3.437B,,580.50M,869.70M,,551.00M,,,,-7.30M,891.90M,,,
2004-03,41.20M,,41.20M,372.80M,,372.80M,208.40M,437.10M,645.50M,,89.40M,,1.149B,0.00,78.30M,695.00M,1.991B,,,2.765B,-1.298B,1.467B,,1.301B,1.301B,,,,336.40M,3.104B,4.253B,,400.80M,,,400.80M,122.20M,523.00M,,208.80M,,208.80M,,,240.30M,972.10M,1.632B,,1.632B,118.60M,118.60M,,,6.30M,,700.80M,2.452B,3.424B,,576.70M,787.30M,,524.60M,,,,-16.50M,822.90M,,,
2003-12,36.50M,,36.50M,250.10M,,250.10M,199.60M,346.60M,546.20M,,90.70M,,923.50M,0.00,75.00M,681.00M,1.981B,,,2.737B,-1.266B,1.471B,,1.337B,1.337B,,,,338.10M,3.146B,4.070B,,349.70M,,,349.70M,180.60M,530.30M,,107.60M,,107.60M,,,223.20M,861.10M,1.579B,,1.579B,113.50M,113.50M,,,6.20M,,701.70M,2.394B,3.256B,,567.30M,748.80M,,506.90M,,,,-1.40M,807.80M,,,
2003-09,58.40M,,58.40M,554.40M,,554.40M,182.80M,342.10M,524.90M,,47.80M,,1.186B,0.00,73.90M,661.00M,1.919B,,,2.654B,-1.218B,1.437B,,1.246B,1.246B,,,,353.80M,3.036B,4.222B,,406.70M,,,406.70M,152.90M,559.60M,,150.60M,,150.60M,,,234.80M,945.00M,1.800B,,1.800B,83.60M,83.60M,,,6.30M,,700.00M,2.584B,3.529B,,538.10M,718.30M,,498.60M,,,,-71.30M,686.50M,,,
2003-06,39.80M,,39.80M,472.70M,,472.70M,183.40M,405.70M,589.10M,,60.00M,,1.162B,0.00,73.40M,648.30M,1.911B,,,2.632B,-1.176B,1.456B,,1.319B,1.319B,,,,293.30M,3.068B,4.230B,,430.20M,,,430.20M,131.90M,562.10M,,147.30M,,147.30M,,,231.70M,941.10M,1.901B,,1.901B,73.90M,73.90M,,,6.10M,,679.70M,2.654B,3.595B,,528.10M,657.80M,,481.50M,,,,-76.30M,628.10M,,,
2003-03,54.10M,,54.10M,452.00M,,452.00M,177.40M,463.30M,640.70M,,58.80M,,1.206B,0.00,69.90M,626.50M,1.864B,,,2.560B,-1.127B,1.433B,,1.522B,1.522B,,,,,2.955B,4.160B,,418.80M,,,418.80M,98.50M,517.30M,,143.90M,,143.90M,,,206.00M,867.20M,2.006B,,2.006B,75.00M,75.00M,,,5.90M,,661.70M,2.742B,3.610B,,523.90M,588.70M,,449.50M,,,,-118.30M,544.80M,,,
2002-12,259.20M,,259.20M,345.90M,,345.90M,183.00M,369.50M,552.50M,,66.90M,,1.224B,0.00,69.90M,609.50M,1.848B,,,2.527B,-1.081B,1.446B,1.148B,,1.148B,,,,313.90M,2.908B,4.132B,,439.60M,,,439.60M,147.10M,586.70M,,127.00M,,127.00M,54.10M,54.10M,301.10M,1.069B,1.854B,,1.854B,64.50M,64.50M,,,5.60M,,646.50M,2.565B,3.634B,,514.50M,562.00M,,445.30M,,,,-138.30M,492.90M,,,
2002-09,58.20M,,58.20M,299.40M,,299.40M,127.50M,270.10M,397.60M,,64.50M,,819.70M,0.00,49.60M,495.30M,1.456B,,,2.001B,-1.069B,931.30M,,631.10M,631.10M,,,,,1.562B,2.382B,,287.10M,,,287.10M,242.70M,529.80M,,134.10M,,134.10M,,,,663.90M,888.90M,,888.90M,,,,,5.50M,,282.20M,1.171B,1.835B,,508.80M,522.20M,,435.40M,,,,-54.00M,541.60M,,,
2002-06,36.50M,,36.50M,284.90M,,284.90M,134.10M,312.90M,447.00M,,67.30M,,835.70M,0.00,49.60M,472.70M,1.432B,,,1.954B,-1.047B,907.30M,,630.80M,630.80M,,,,,1.538B,2.374B,,306.30M,,,306.30M,,306.30M,,122.40M,,122.40M,,,202.80M,631.50M,910.00M,,910.00M,,,,,8.90M,,288.40M,1.198B,1.830B,,499.60M,477.20M,,415.20M,,,,-26.60M,535.00M,,,
2002-03,21.90M,,21.90M,251.10M,,251.10M,152.50M,353.80M,506.30M,,81.80M,,861.10M,0.00,48.90M,463.70M,1.406B,,,1.919B,-1.013B,905.90M,,624.00M,624.00M,,,,,1.530B,2.391B,,300.60M,,,300.60M,,300.60M,,127.90M,,127.90M,,,170.40M,598.90M,1.010B,,1.010B,,,,,8.40M,,281.20M,1.292B,1.890B,,492.80M,432.40M,,397.60M,,,,-35.50M,492.10M,,,
2001-12,83.10M,,83.10M,172.00M,,172.00M,148.90M,300.40M,449.30M,,89.10M,,793.50M,0.00,49.50M,456.80M,1.398B,,,1.905B,-1.000B,904.40M,357.80M,,357.80M,,,,257.90M,1.520B,2.314B,,258.50M,,,258.50M,91.00M,349.50M,,115.00M,,115.00M,,,110.20M,574.70M,949.10M,,949.10M,41.00M,41.00M,,,9.70M,,235.00M,1.225B,1.800B,,478.90M,410.00M,,341.10M,,,,-43.70M,504.10M,,,
2001-09,36.40M,,36.40M,351.10M,,351.10M,149.40M,307.80M,457.20M,,100.50M,,945.20M,0.00,48.50M,443.70M,1.360B,,,1.852B,-984.30M,868.00M,,556.70M,556.70M,,,,,1.425B,2.370B,,271.60M,,,271.60M,,271.60M,,155.80M,,155.80M,,,190.40M,617.80M,965.80M,,965.80M,,,,,10.20M,44.30M,259.40M,1.270B,1.887B,,467.70M,407.90M,,362.10M,,,,-41.10M,472.40M,,,
2001-06,24.90M,,24.90M,329.30M,,329.30M,179.40M,387.20M,566.60M,,103.60M,,1.024B,0.00,48.80M,438.50M,1.363B,,,1.851B,-957.80M,892.80M,,561.50M,561.50M,,,,,1.454B,2.479B,,308.30M,,,308.30M,,308.30M,,156.70M,,156.70M,,,196.60M,661.60M,1.038B,,1.038B,,,,,10.80M,,251.00M,1.289B,1.950B,,506.40M,376.30M,,336.60M,45.60M,,,-28.40M,517.70M,,,
2001-03,28.00M,,28.00M,280.50M,,280.50M,208.50M,478.20M,686.70M,,84.10M,,1.079B,0.00,51.80M,442.00M,1.419B,,,1.913B,-925.30M,987.50M,,662.50M,662.50M,,,,,1.65B,2.729B,,309.70M,,,309.70M,,309.70M,,168.70M,,168.70M,,,145.40M,623.80M,1.144B,,1.144B,,,,,14.90M,,278.40M,1.423B,2.047B,,495.50M,543.10M,,336.50M,41.70M,,,-34.30M,667.80M,,,
2000-12,25.60M,,25.60M,230.20M,,230.20M,,,627.50M,,,86.00M,969.30M,,,,,,,1.901B,-897.50M,1.004B,,676.80M,676.80M,,,,,1.680B,2.650B,,332.10M,,,332.10M,,332.10M,,125.70M,,125.70M,,,201.30M,659.10M,1.012B,,1.012B,,,,,14.90M,,281.80M,1.293B,1.952B,,486.70M,529.30M,,303.90M,42.80M,,,-29.70M,682.40M,,,
2000-09,27.40M,,27.40M,,,393.90M,,,528.20M,,,82.10M,1.032B,,,,,,,1.920B,-896.50M,1.024B,,657.30M,657.30M,,,,,1.681B,2.713B,,346.70M,,,346.70M,,346.70M,,147.80M,,147.80M,,,189.10M,683.60M,1.064B,,1.064B,,,,,14.10M,,264.90M,1.329B,2.013B,,476.80M,508.10M,,269.70M,37.70M,,,-29.50M,685.70M,,,
2000-06,34.80M,,34.80M,,,353.20M,,,588.20M,,,82.60M,1.059B,,,,,,,1.905B,-864.90M,1.040B,,661.00M,661.00M,,,,,1.701B,2.760B,,358.80M,,,358.80M,,358.80M,,160.50M,,160.50M,,,200.60M,719.90M,1.108B,,1.108B,,,,,15.30M,,253.40M,1.361B,2.081B,,473.70M,469.30M,,249.90M,39.20M,,,-29.70M,663.40M,,,
2000-03,42.50M,,42.50M,,,278.30M,,,639.90M,,,77.10M,1.038B,,,,,,,1.939B,-845.90M,1.093B,,695.00M,695.00M,,,,,1.788B,2.826B,,336.00M,,,336.00M,,336.00M,,150.90M,,150.90M,,,174.20M,661.10M,1.176B,,1.176B,,,,,19.10M,,266.10M,1.442B,2.104B,,463.30M,496.10M,,227.90M,34.80M,,,-28.00M,703.50M,,,
1999-12,35.80M,,35.80M,,,220.20M,,,565.90M,,,73.90M,895.80M,,,,,,,1.935B,-813.40M,1.121B,,715.10M,715.10M,,,,,1.836B,2.732B,,345.50M,,,345.50M,,345.50M,,104.00M,,104.00M,,,220.60M,670.10M,1.093B,,1.093B,,,,,19.70M,,258.70M,1.351B,2.022B,,448.70M,481.20M,,212.30M,35.70M,,,-26.70M,690.90M,,,
1999-09,30.60M,,30.60M,,,420.70M,,,497.70M,,,73.00M,1.022B,,,,,,,1.901B,-782.70M,1.119B,,706.00M,706.00M,,,,,1.825B,2.847B,,357.80M,,,357.80M,,357.80M,,103.90M,,103.90M,,,177.70M,639.40M,1.230B,,1.230B,,,,,20.10M,,269.50M,1.500B,2.139B,,438.20M,466.90M,,188.10M,31.20M,,,-29.40M,687.60M,,,
1999-06,48.70M,,48.70M,,,380.20M,,,530.50M,,,79.70M,1.039B,,,,,,,1.908B,-759.70M,1.148B,,741.40M,741.40M,,,,,1.889B,2.928B,,368.60M,,,368.60M,,368.60M,,123.90M,,123.90M,,,187.00M,679.50M,1.296B,,1.296B,,,,,20.70M,,266.10M,1.562B,2.242B,,32.30M,435.10M,,,32.30M,,,,666.20M,,,
1999-03,42.10M,,42.10M,,,313.30M,,,581.90M,,,85.40M,1.023B,,,,,,,1.889B,-730.90M,1.158B,,770.60M,770.60M,,,,,1.929B,2.951B,,348.10M,,,348.10M,,348.10M,,178.80M,,178.80M,,,176.90M,703.80M,1.320B,,1.320B,,,,,20.60M,,272.50M,1.593B,2.297B,,28.80M,408.40M,,,28.80M,,,,634.20M,,,
1998-12,34.00M,,34.00M,,,273.50M,,,483.80M,,,94.30M,885.60M,,,,,,,1.883B,-708.50M,1.174B,,794.80M,794.80M,,,,,1.969B,2.855B,,350.30M,,,350.30M,,350.30M,,126.80M,,126.80M,,,210.50M,687.60M,1.230B,,1.230B,,,,,24.40M,,290.70M,1.520B,2.208B,,27.70M,397.90M,,,27.70M,,,,622.30M,,,
1998-09,34.00M,,34.00M,,,480.00M,,,440.60M,,,56.20M,1.011B,,,,,,,2.004B,-709.50M,1.295B,,519.20M,519.20M,,,,218.50M,2.032B,3.043B,,407.60M,,,407.60M,,407.60M,,204.80M,,204.80M,,,200.00M,812.40M,1.260B,,1.260B,20.70M,20.70M,,,35.70M,,249.80M,1.530B,2.343B,,25.80M,423.60M,,,25.80M,,,,664.70M,,,
1998-06,68.40M,,68.40M,,,339.20M,,,390.60M,,,56.60M,854.80M,,,,,,,1.546B,-680.20M,865.80M,,212.80M,212.80M,,,,180.10M,1.259B,2.114B,,270.70M,,,270.70M,,270.70M,,430.40M,,430.40M,,,155.50M,856.60M,354.60M,,354.60M,62.20M,62.20M,,,41.30M,,143.40M,560.20M,1.417B,,25.80M,416.10M,,,25.80M,,,,655.40M,,,
1998-03,41.30M,,41.30M,,,315.70M,,,414.70M,,,57.20M,828.90M,,,,,,,1.544B,-662.40M,881.30M,,212.10M,212.10M,,,,184.70M,1.278B,2.107B,,248.30M,,,248.30M,,248.30M,,462.70M,,462.70M,,,150.60M,861.60M,359.50M,,359.50M,61.40M,61.40M,,,44.00M,,144.30M,565.20M,1.427B,,22.90M,402.40M,,,22.90M,,,,636.20M,,,
1997-12,25.50M,,25.50M,,,301.40M,,,413.30M,,,57.90M,798.10M,,,,,,,1.556B,-636.60M,919.50M,,,,,,,372.50M,1.292B,2.090B,,258.60M,,,258.60M,,258.60M,,407.00M,,407.00M,,,172.20M,837.80M,366.10M,,366.10M,60.50M,60.50M,,,51.70M,,139.80M,566.40M,1.404B,,22.90M,379.50M,,,22.90M,,,,634.20M,,,
1997-09,28.10M,,28.10M,,,401.50M,,,378.00M,,,57.70M,865.30M,,,,,,,1.645B,-693.40M,951.50M,,168.70M,168.70M,,,,185.90M,1.306B,2.171B,,289.60M,,,289.60M,,289.60M,,436.80M,,436.80M,,,171.10M,897.50M,399.20M,,399.20M,47.50M,47.50M,,,54.80M,,141.50M,588.20M,1.486B,,20.10M,378.80M,,,20.10M,,,,630.90M,,,
1997-06,27.90M,,27.90M,,,376.40M,,,407.30M,,,58.10M,869.70M,,,,,,,1.591B,-668.90M,922.40M,,167.60M,167.60M,,,,191.00M,1.281B,2.151B,,276.50M,,,276.50M,,276.50M,,415.80M,,415.80M,,,160.60M,852.90M,445.00M,,445.00M,42.70M,42.70M,,,53.40M,,139.80M,627.50M,1.480B,,20.30M,362.80M,,,20.30M,,,,616.90M,,,
1997-03,34.90M,,34.90M,,,348.50M,,,423.90M,,,65.10M,872.40M,,,,,,,1.586B,-645.80M,940.30M,,243.60M,243.60M,,,,95.80M,1.280B,2.152B,,268.30M,,,268.30M,,268.30M,,448.40M,,448.40M,,,128.80M,845.50M,454.00M,,454.00M,38.80M,38.80M,,,75.70M,,137.60M,630.40M,1.476B,,16.90M,347.20M,,,16.90M,,,,600.50M,,,
1996-12,169.20M,,169.20M,,,245.90M,,,302.00M,,,49.50M,766.60M,,,,,,,1.270B,-570.50M,699.00M,,,,,,,235.20M,934.20M,1.701B,,214.30M,,,214.30M,,214.30M,,175.20M,,175.20M,,,121.50M,511.00M,407.70M,,407.70M,34.70M,34.70M,,,7.00M,,136.00M,578.40M,1.089B,,17.70M,344.50M,,,17.70M,,,,604.40M,,,
1996-09,10.80M,,10.80M,,,386.40M,,,287.90M,,,80.40M,765.50M,,,,,,,1.268B,-551.70M,715.80M,,153.50M,153.50M,,,,269.10M,1.138B,1.904B,,250.90M,,,250.90M,,250.90M,,292.80M,,292.80M,,,125.80M,669.50M,427.80M,,427.80M,,,,,7.30M,,182.10M,609.90M,1.279B,,15.10M,357.80M,,,15.10M,,,,617.20M,,,
1996-06,20.20M,,20.20M,,,326.80M,,,338.00M,,,85.30M,770.30M,,,,,,,1.230B,-532.70M,697.00M,,145.00M,145.00M,,,,253.60M,1.096B,1.866B,,242.00M,,,242.00M,,242.00M,,266.90M,,266.90M,,,134.80M,643.70M,431.70M,,431.70M,,,,,9.50M,,184.30M,616.00M,1.260B,,15.10M,343.30M,,,15.10M,,,,596.70M,,,
1996-03,18.80M,,18.80M,,,242.60M,,,370.80M,,,89.10M,721.30M,,,,,,,1.210B,-534.70M,675.70M,,144.50M,144.50M,,,,257.40M,1.078B,1.799B,,215.60M,,,215.60M,,215.60M,,198.20M,,198.20M,,,139.20M,553.00M,456.80M,,456.80M,,,,,9.20M,,197.50M,654.30M,1.207B,,14.70M,336.90M,,,14.70M,,,,582.40M,,,
1995-12,5.10M,,5.10M,,,200.00M,,,318.50M,,,69.10M,592.70M,,,,,,,1.147B,-518.20M,628.60M,,66.10M,66.10M,,,,325.10M,1.020B,1.612B,,195.30M,,,195.30M,,195.30M,,155.00M,,155.00M,,,147.20M,497.50M,320.40M,,320.40M,28.00M,28.00M,,,6.00M,,177.90M,526.30M,1.024B,,15.20M,336.40M,,,15.20M,,,,582.70M,,,
