,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2004-09,3.486B,3.716B,2.052B,1.664B,1.036B,234.00M,,-146.00M,,,,,1.27B,394.00M,,,,-84.00M,,163.00M,62.00M,163.00M,,,,14.00M,163.00M,253.47M,562.00M,168.00M,394.00M,0.72,0.0,,,1.157,0.72,0.68,0.0,,,1.093,0.68,206.94M,219.12M,0.0
2004-06,3.619B,3.853B,2.175B,1.678B,1.05B,187.00M,,151.00M,,,,,1.237B,441.00M,,,,178.00M,,272.00M,91.00M,208.00M,,,,21.00M,208.00M,107.52M,609.00M,168.00M,441.00M,0.92,0.0,,,0.4257,0.92,0.84,0.0,,,0.3886,0.84,203.26M,222.62M,0.0
2004-03,3.589B,3.827B,2.214B,1.613B,1.212B,193.00M,,232.00M,,,,,1.405B,208.00M,,,,262.00M,,232.00M,67.00M,165.00M,83.00M,,,24.00M,248.00M,0.00,383.00M,175.00M,208.00M,0.72,0.4,,,-0.105,1.12,0.68,0.32,,,-0.0566,1.0,200.00M,224.00M,0.0
2003-12,3.295B,4.292B,2.382B,1.91B,1.112B,200.00M,,721.00M,,,,,1.312B,598.00M,,,,736.00M,,309.00M,87.00M,222.00M,,,,25.00M,222.00M,-296.00M,780.00M,182.00M,598.00M,1.04,0.0,,,-1.7519999999999998,1.04,1.0,0.0,,,-1.7919999999999998,1.0,185.53M,185.53M,0.0
2003-09,3.732B,3.732B,2.11B,1.622B,1.028B,207.00M,,-132.00M,,,,,1.235B,387.00M,,,,-119.00M,,164.00M,47.00M,117.00M,,,-15.00M,25.00M,117.00M,211.17M,565.00M,178.00M,387.00M,0.48,0.0,,,0.9713,0.48,0.44,0.0,,,0.8904,0.44,191.67M,209.09M,0.0
2003-06,3.92B,3.92B,2.165B,1.755B,1.089B,225.00M,,-204.00M,,,,,1.314B,441.00M,,,,-188.00M,,146.00M,53.00M,86.00M,,,-23.00M,11.00M,86.00M,215.95M,630.00M,189.00M,441.00M,0.4,0.0,,,1.093,0.4,0.36,0.0,,,0.9837,0.36,187.50M,208.33M,0.0
2003-03,3.757B,3.757B,2.09B,1.667B,1.02B,236.00M,,-429.00M,,,,,1.256B,411.00M,,,,-415.00M,,-118.00M,-53.00M,-65.00M,,,-22.00M,10.00M,-65.00M,192.40M,610.00M,199.00M,411.00M,-0.4,0.0,,,0.9728,-0.4,-0.4,0.0,,,0.9728,-0.4,187.50M,187.50M,0.0
2002-12,3.246B,4.246B,2.28B,1.966B,1.135B,218.00M,,289.00M,,,,,1.353B,613.00M,,,,300.00M,,-122.00M,-124.00M,2.00M,,,,10.00M,-61.00M,-171.40M,876.00M,263.00M,613.00M,-0.3847,,,,-1.324,-0.3847,-0.3847,0.0,,,-0.9761,-0.3847,184.57M,293.18M,0.0
2002-09,3.793B,3.793B,2.092B,1.701B,1.023B,229.00M,,-156.00M,,,,,1.252B,449.00M,,,,-139.00M,,186.00M,81.00M,105.00M,,,-17.00M,63.00M,105.00M,198.60M,662.00M,213.00M,449.00M,0.24,0.0,,,0.7749,0.24,0.2,0.0,,,0.6457,0.2,175.00M,210.00M,0.0
2002-06,3.952B,3.952B,2.171B,1.781B,1.11B,240.00M,,-160.00M,,,,,1.35B,431.00M,,,,-145.00M,,160.00M,67.00M,93.00M,,,-25.00M,,93.00M,189.00M,671.00M,240.00M,431.00M,0.52,0.0,,,1.057,0.52,0.48,0.0,,,0.9755,0.48,178.85M,193.75M,0.0
2002-03,3.858B,3.858B,2.184B,1.674B,1.169B,230.00M,,-236.00M,,,,,1.399B,275.00M,,,,-225.00M,,-66.00M,-20.00M,-46.00M,,-86.00M,-24.00M,,-132.00M,118.48M,594.00M,319.00M,275.00M,-0.24,0.0,0.0,,0.6649,-0.24,-0.24,0.0,-0.4731,,0.6649,-0.24,181.76M,181.76M,0.0
2001-12,3.253B,4.382B,2.475B,1.907B,1.184B,232.00M,,726.00M,,,,,1.416B,491.00M,,,,745.00M,,36.00M,194.00M,-158.00M,,0.00,,0.00,-158.00M,-593.60M,826.00M,335.00M,491.00M,-0.88,0.0,0.0,,-3.089,-0.88,-0.88,0.0,0.0004,,-3.089,-0.88,197.16M,197.16M,0.0
2001-09,4.052B,4.052B,2.422B,1.63B,1.175B,257.00M,,-188.00M,,,,,1.432B,198.00M,,,,-188.00M,,-106.00M,-42.00M,-64.00M,,,-9.00M,,-64.00M,49.51M,733.00M,535.00M,198.00M,-0.36,0.0,,,0.2734,-0.36,-0.36,0.0,,,0.2721,-0.36,179.20M,179.58M,0.0
2001-06,4.137B,4.137B,2.632B,1.505B,1.263B,249.00M,,-476.00M,,,,,1.512B,-7.00M,,,,-446.00M,,-459.00M,-160.00M,-299.00M,,,-6.00M,,-281.00M,11.07M,94.00M,101.00M,-7.00M,-1.72,0.12,,0.1025,0.0455,-1.6,-1.72,0.12,,0.1025,0.0455,-1.6,175.62M,175.62M,0.0
2001-03,4.291B,4.291B,2.80B,1.491B,1.149B,251.00M,,547.00M,,,,,1.40B,91.00M,,,,550.00M,,634.00M,427.00M,207.00M,,-2.00M,-7.00M,,222.00M,-121.20M,452.00M,361.00M,91.00M,1.16,0.08,0.0,0.095,-0.6732,1.24,1.04,0.08,-0.0112,0.0858,-0.6158,1.12,179.03M,198.21M,0.2
2000-12,5.17B,5.17B,3.889B,1.281B,1.571B,288.00M,,209.00M,,,,,1.035B,246.00M,,,,275.00M,,15.00M,23.00M,-8.00M,,,-9.00M,,-8.00M,-133.40M,666.00M,420.00M,246.00M,-0.16,0.0,,,-1.2309999999999999,-0.16,-0.16,0.0,,,-1.2309999999999999,-0.16,117.05M,117.05M,0.2
2000-09,4.462B,4.462B,2.537B,1.925B,1.379B,272.00M,,-172.00M,,,,,1.939B,-14.00M,,,,-172.00M,,-196.00M,-29.00M,-167.00M,,,-10.00M,,-167.00M,-20.45M,274.00M,288.00M,-14.00M,-1.04,0.0,,,-0.1273,-1.04,-1.04,0.0,,,-0.1273,-1.04,160.58M,160.58M,0.8
2000-06,4.778B,4.778B,2.848B,1.93B,1.377B,254.00M,,-52.00M,,,,,1.631B,299.00M,,,,-6.00M,,280.00M,78.00M,202.00M,,,-12.00M,,202.00M,239.51M,574.00M,275.00M,299.00M,1.16,0.0,,,1.385,1.16,1.08,0.0,,,1.305,1.08,166.65M,166.65M,0.8
2000-03,4.431B,4.431B,2.309B,2.122B,1.35B,249.00M,,-607.00M,,,,,1.86B,262.00M,,,,-607.00M,,-356.00M,-113.00M,-243.00M,,,-11.00M,,-243.00M,171.33M,523.00M,261.00M,262.00M,-1.52,0.0,,,1.072,-1.52,-1.52,0.0,,,1.072,-1.52,159.87M,159.87M,0.8
1999-12,5.206B,5.206B,3.996B,1.21B,1.391B,283.00M,,-558.00M,,,,,1.015B,195.00M,,,,-510.00M,,-346.00M,-60.00M,-286.00M,,,-11.00M,,-286.00M,175.24M,315.00M,120.00M,195.00M,1.2,0.0,,,3.91,1.2,1.2,0.0,,,3.7310000000000003,1.2,170.18M,182.26M,0.8
1999-09,4.627B,4.627B,2.278B,2.349B,1.27B,230.00M,,5.00M,,,,,1.702B,647.00M,,,,5.00M,,496.00M,157.00M,339.00M,,,-14.00M,,339.00M,335.58M,849.00M,202.00M,647.00M,2.0,0.0,,,1.98,2.0,1.88,0.0,,,1.861,1.88,169.50M,180.32M,0.8
1999-06,4.862B,4.862B,2.284B,2.578B,1.315B,256.00M,,24.00M,,,,,1.805B,773.00M,,,,24.00M,,644.00M,196.00M,448.00M,,,-13.00M,,448.00M,431.30M,1.007B,234.00M,773.00M,2.64,0.0,,,2.542,2.64,2.48,0.0,,,2.388,2.48,169.70M,180.65M,0.8
1999-03,4.038B,4.038B,1.971B,2.067B,1.171B,251.00M,,215.00M,,,,,1.645B,422.00M,,,,215.00M,,496.00M,153.00M,343.00M,,,-8.00M,,343.00M,194.32M,645.00M,223.00M,422.00M,2.0,0.0,,,1.1059999999999999,2.0,1.92,0.0,,,1.026,1.92,166.29M,166.29M,0.8
1998-12,5.94B,5.94B,3.178B,2.762B,1.573B,265.00M,,-3.00M,,,,,1.976B,786.00M,,,,71.00M,,703.00M,211.00M,492.00M,0.00,,-10.00M,,492.00M,494.10M,1.018B,232.00M,786.00M,2.995,0.0,,,3.0069999999999997,2.995,2.995,0.0,,,3.0069999999999997,2.995,164.30M,164.30M,0.72
1998-09,4.607B,4.607B,2.134B,2.473B,1.278B,271.00M,,-13.00M,,,,,1.745B,728.00M,,,,-13.00M,,554.00M,173.00M,381.00M,,,-14.00M,,381.00M,389.94M,924.00M,196.00M,728.00M,1.12,0.0,,,1.175,1.12,1.06,0.0,,,1.115,1.06,163.96M,163.96M,0.72
1998-06,4.742B,4.742B,2.246B,2.496B,1.472B,262.00M,,-1.519B,,,,,1.927B,569.00M,,,,-1.519B,,-1.097B,-385.00M,-712.00M,,,-10.00M,,-712.00M,273.90M,762.00M,193.00M,569.00M,-2.2,0.0,,,3.8080000000000003,-2.2,-2.2,0.0,,,3.8080000000000003,-2.2,164.11M,164.11M,0.72
