,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2008-03,174.83M,,174.83M,286.35M,,286.35M,70.94M,79.02M,36.09M,,186.05M,,24.31M,9.328M,680.86M,,,,,,414.32M,-232.30M,182.02M,236.90M,58.63M,295.52M,4.516M,14.87M,496.93M,1.178B,130.05M,130.05M,94.44M,224.49M,,,,,,66.10M,290.59M,150.16M,150.16M,10.35M,10.35M,,,,91.01M,251.52M,542.10M,0.662M,556.49M,318.52M,258.04M,48.96M,-30.91M,18.06M,635.69M
2007-12,234.69M,,234.69M,222.24M,,222.24M,68.54M,71.28M,36.15M,,175.98M,,24.77M,8.10M,665.77M,2.14M,9.346M,100.42M,305.25M,,417.16M,-234.72M,182.44M,232.59M,58.67M,291.27M,4.316M,14.92M,492.94M,1.159B,137.23M,137.23M,89.86M,227.09M,,0.073M,0.073M,,,68.08M,295.24M,150.18M,150.18M,9.834M,9.834M,7.924M,53.54M,,24.72M,246.20M,541.43M,0.662M,524.54M,320.93M,238.13M,,,9.271M,617.27M
2007-09,158.03M,,158.03M,215.69M,,215.69M,77.46M,73.07M,35.35M,,185.88M,,23.73M,12.89M,596.21M,,,,,,416.20M,-234.72M,181.49M,232.88M,47.14M,280.02M,26.50M,18.54M,506.55M,1.103B,118.38M,118.38M,82.75M,201.14M,,,,,,40.80M,241.93M,150.00M,150.00M,16.42M,16.42M,,,,108.68M,275.10M,517.03M,0.662M,496.34M,321.20M,229.27M,37.39M,-40.60M,-3.21M,585.73M
2007-06,141.23M,,141.23M,201.41M,,201.41M,75.56M,71.82M,37.22M,,184.60M,,23.71M,17.89M,568.84M,,,,,,405.41M,-225.76M,179.64M,224.09M,47.75M,271.84M,23.85M,14.41M,489.75M,1.059B,110.53M,110.53M,74.38M,184.91M,,,,,,59.13M,244.05M,150.00M,150.00M,15.70M,15.70M,,,,107.49M,273.20M,517.24M,0.662M,469.58M,318.11M,229.25M,23.99M,-41.75M,-17.76M,541.34M
2007-03,206.48M,,206.48M,197.82M,,197.82M,56.90M,69.18M,30.28M,,156.36M,,24.17M,8.55M,593.38M,,,,,,394.86M,-218.75M,176.12M,177.60M,39.13M,216.72M,22.87M,13.58M,429.29M,1.023B,99.94M,99.94M,69.38M,169.31M,,,,,,76.62M,245.93M,150.00M,150.00M,15.16M,15.16M,,,,111.67M,276.83M,522.76M,0.662M,441.94M,314.91M,228.68M,14.05M,-42.98M,-28.93M,499.91M
2006-12,187.98M,,187.98M,177.34M,,177.34M,51.68M,64.23M,29.57M,,145.48M,,24.77M,11.61M,547.19M,0.00,7.686M,95.47M,287.02M,,390.18M,-211.87M,178.31M,173.25M,44.49M,217.74M,16.59M,13.01M,425.65M,972.84M,92.62M,92.62M,75.63M,168.25M,,,,,,75.54M,243.79M,150.00M,150.00M,15.01M,15.01M,,,,94.15M,259.16M,502.95M,0.662M,419.60M,314.75M,232.82M,11.03M,-43.33M,-32.30M,469.89M
2006-09,247.58M,,247.58M,157.22M,,157.22M,43.70M,69.09M,23.10M,,135.89M,,15.62M,9.90M,566.21M,,,,,,375.60M,-215.39M,160.21M,118.70M,37.44M,156.14M,18.52M,9.185M,344.05M,910.26M,78.75M,78.75M,81.39M,160.14M,,,,,,77.54M,237.68M,150.00M,150.00M,7.585M,7.585M,,,,53.08M,210.66M,448.34M,0.662M,393.74M,313.03M,228.29M,8.568M,-25.79M,-17.22M,461.92M
2006-06,238.91M,,238.91M,162.99M,,162.99M,42.75M,74.72M,22.27M,,139.74M,,15.61M,12.44M,569.69M,,,,,,372.34M,-207.85M,164.50M,119.27M,38.10M,157.37M,18.53M,10.36M,350.76M,920.45M,80.56M,80.56M,81.14M,161.70M,,,,,,93.75M,255.44M,150.00M,150.00M,7.582M,7.582M,,,,53.58M,211.16M,466.60M,0.662M,376.97M,309.94M,217.25M,,,-16.48M,453.84M
2006-03,191.46M,,191.46M,168.44M,,168.44M,42.42M,67.09M,19.15M,,128.66M,,15.42M,10.80M,514.78M,,,,,,360.80M,-199.42M,161.38M,118.21M,38.64M,156.86M,16.40M,13.02M,347.65M,862.44M,92.81M,92.81M,73.40M,166.21M,,,,,,70.83M,237.03M,150.00M,150.00M,7.451M,7.451M,,,,55.14M,212.59M,449.62M,0.662M,356.31M,304.49M,221.74M,,,-26.90M,412.82M
2005-12,141.36M,,141.36M,206.89M,,206.89M,38.72M,54.95M,17.20M,,110.87M,,15.84M,7.959M,482.93M,0.00,6.995M,90.38M,261.38M,,358.76M,-197.16M,161.60M,118.18M,39.13M,157.31M,18.43M,16.09M,353.43M,836.36M,93.55M,93.55M,76.83M,170.38M,,,,,,71.10M,241.48M,150.00M,150.00M,7.381M,7.381M,,,,58.29M,215.67M,457.15M,0.662M,336.74M,294.21M,225.48M,,,-26.92M,379.21M
2005-09,106.09M,,106.09M,173.35M,,173.35M,41.63M,64.05M,19.79M,,125.47M,,14.19M,11.45M,430.55M,,,,,,362.27M,-199.11M,163.16M,,163.20M,163.20M,35.48M,15.68M,377.52M,808.07M,108.95M,108.95M,75.10M,184.06M,,,,,,39.55M,223.61M,150.31M,150.31M,15.98M,15.98M,,,,54.23M,220.52M,444.13M,0.662M,320.93M,287.70M,229.37M,,,-15.98M,363.94M
2005-06,86.85M,10.06M,96.91M,168.05M,,168.05M,42.91M,55.23M,19.62M,,117.76M,,14.19M,10.30M,407.20M,,,,,,355.58M,-193.57M,162.01M,,164.27M,164.27M,35.48M,14.08M,375.84M,783.04M,112.26M,112.26M,70.44M,182.70M,,,,,,32.40M,215.10M,150.33M,150.33M,16.08M,16.08M,,,,57.89M,224.30M,439.40M,0.662M,306.34M,287.63M,231.84M,,,-19.15M,343.64M
2005-03,68.15M,,68.15M,160.02M,,160.02M,38.37M,51.19M,18.71M,,108.27M,,15.25M,12.02M,363.71M,,,,,,357.70M,-193.00M,164.70M,,167.07M,167.07M,34.74M,15.90M,382.40M,746.11M,111.29M,111.29M,61.58M,172.87M,,,,,,26.18M,199.05M,150.41M,150.41M,14.81M,14.81M,,,,58.47M,223.69M,422.74M,0.662M,291.65M,286.61M,242.91M,,,-12.64M,323.37M
2004-12,95.26M,,95.26M,139.84M,,139.84M,34.28M,45.63M,17.08M,,96.99M,,16.12M,11.36M,359.57M,0.00,6.153M,85.68M,249.12M,,340.95M,-189.99M,150.96M,,153.35M,153.35M,35.48M,14.04M,353.82M,713.40M,92.19M,92.19M,60.99M,153.18M,,,,,,27.69M,180.87M,150.11M,150.11M,14.52M,14.52M,,,,55.47M,220.10M,400.97M,0.662M,282.87M,286.69M,248.02M,,,-9.777M,312.43M
2004-09,97.30M,,97.30M,136.15M,,136.15M,29.57M,50.98M,17.10M,,97.64M,,23.16M,15.62M,369.88M,,,,,,341.62M,-190.76M,150.87M,,145.73M,145.73M,13.33M,13.21M,323.14M,693.02M,89.12M,89.12M,53.06M,142.17M,,,,,,23.38M,165.55M,190.11M,190.11M,6.335M,6.335M,,,,44.87M,241.32M,406.87M,0.662M,274.08M,283.71M,254.39M,,,-17.92M,286.15M
2004-06,94.83M,,94.83M,130.33M,,130.33M,30.99M,48.30M,15.08M,,94.38M,,22.77M,8.524M,350.83M,,,,,,336.18M,-184.77M,151.41M,,146.31M,146.31M,19.04M,13.55M,330.31M,681.14M,81.29M,81.29M,55.84M,137.13M,,,,,,21.26M,158.39M,190.20M,190.20M,11.46M,11.46M,,,,52.28M,253.94M,412.33M,0.662M,265.11M,283.07M,258.28M,,,-21.75M,268.81M
2004-03,58.06M,,58.06M,130.09M,,130.09M,32.13M,49.48M,16.47M,,98.08M,,23.24M,12.03M,321.52M,,,,,,335.00M,-181.82M,153.19M,,146.65M,146.65M,19.04M,13.64M,332.52M,654.04M,79.59M,79.59M,49.43M,129.02M,,,,,,17.94M,146.97M,190.21M,190.21M,10.88M,10.88M,,,,54.02M,255.11M,402.08M,0.662M,256.59M,282.87M,266.89M,,,-21.28M,251.96M
2003-12,70.33M,,70.33M,129.07M,,129.07M,28.71M,45.56M,17.54M,,91.81M,,23.46M,7.424M,322.09M,0.00,6.435M,76.29M,249.89M,,332.62M,-178.78M,153.84M,,147.23M,147.23M,20.32M,12.83M,334.21M,656.30M,79.75M,79.75M,56.22M,135.96M,,,,,,16.82M,152.78M,193.42M,193.42M,11.63M,11.63M,,,,50.18M,255.23M,408.01M,0.662M,252.23M,282.87M,267.59M,,,-19.89M,248.29M
2003-09,26.39M,,26.39M,132.44M,,132.44M,48.93M,45.17M,6.26M,,100.36M,,,29.31M,288.50M,,,,,,327.80M,-179.30M,148.50M,,148.32M,148.32M,,50.17M,347.00M,635.49M,77.89M,77.89M,58.86M,136.74M,,,,,,19.07M,155.82M,190.22M,190.22M,,,,,,62.71M,252.93M,408.75M,0.654M,246.78M,272.70M,270.60M,,,-22.79M,226.74M
2003-06,8.705M,,8.705M,131.67M,,131.67M,49.05M,38.00M,6.421M,,93.47M,,,30.65M,264.49M,,,,,,324.84M,-175.38M,149.46M,,149.06M,149.06M,,47.16M,345.68M,610.17M,72.22M,72.22M,56.19M,128.41M,,0.809M,0.809M,,,17.02M,146.25M,180.99M,180.99M,,,,,,63.48M,244.48M,390.72M,0.654M,241.61M,272.70M,272.98M,,,-22.54M,219.45M
2003-03,12.85M,,12.85M,130.09M,,130.09M,48.19M,36.34M,7.226M,,91.75M,,,30.93M,265.61M,,,,,,315.34M,-166.83M,148.50M,,150.13M,150.13M,,45.40M,344.04M,609.65M,71.90M,71.90M,61.60M,133.50M,,0.839M,0.839M,,,13.00M,147.33M,191.43M,191.43M,,,,,,62.28M,253.70M,401.04M,0.654M,236.53M,272.77M,273.39M,,,-27.95M,208.61M
2002-12,19.21M,,19.21M,108.02M,,108.02M,56.02M,27.86M,4.598M,,88.47M,,23.61M,5.911M,245.22M,0.00,5.572M,72.85M,229.81M,0.262M,308.50M,-159.90M,148.59M,,150.97M,150.97M,26.11M,17.96M,343.64M,588.86M,62.10M,62.10M,61.50M,123.60M,,0.833M,0.833M,,,10.83M,135.26M,194.32M,194.32M,8.771M,8.771M,,,,51.25M,254.34M,389.60M,0.654M,231.28M,272.78M,273.63M,,,-31.82M,199.26M
2002-09,18.04M,,18.04M,103.77M,,103.77M,61.83M,28.40M,6.894M,,97.13M,,,29.37M,248.31M,,,,,,321.84M,-162.57M,159.27M,,151.04M,151.04M,,46.82M,357.12M,605.44M,64.50M,64.50M,70.79M,135.29M,,0.819M,0.819M,,,9.272M,145.38M,210.78M,210.78M,,,,,,52.18M,262.96M,408.34M,0.654M,226.49M,272.36M,273.90M,,,-28.51M,197.09M
2002-06,38.23M,,38.23M,107.98M,,107.98M,62.12M,30.40M,7.75M,,100.27M,,,31.38M,277.86M,,,,,,324.03M,-159.62M,164.41M,,241.69M,241.69M,,21.27M,427.37M,705.23M,74.62M,74.62M,51.97M,126.59M,,0.807M,0.807M,,,26.10M,153.50M,240.08M,240.08M,,,,,,54.51M,294.58M,448.08M,0.654M,284.62M,272.42M,274.86M,,,-25.69M,257.15M
2002-03,27.54M,,27.54M,104.48M,,104.48M,61.23M,33.86M,10.22M,,105.31M,,,30.72M,268.05M,,,,319.85M,,319.85M,-154.93M,164.92M,198.66M,44.03M,242.69M,,20.79M,428.39M,696.44M,73.88M,73.88M,66.39M,140.27M,,0.788M,0.788M,,,11.39M,152.45M,240.70M,240.70M,,,,,,54.16M,294.86M,447.31M,0.654M,280.37M,272.42M,275.45M,,,-28.87M,249.13M
2001-12,53.95M,,53.95M,106.53M,,106.53M,60.01M,34.26M,10.65M,,104.93M,,22.96M,7.328M,295.69M,0.00,10.10M,78.55M,229.30M,0.236M,318.19M,-150.49M,167.70M,,243.14M,243.14M,,23.43M,434.26M,729.95M,75.15M,75.15M,56.23M,131.38M,,0.782M,0.782M,,,54.06M,186.22M,241.09M,241.09M,9.065M,9.065M,,,,48.31M,298.46M,484.68M,0.654M,278.57M,272.67M,277.49M,,,-29.14M,245.27M
2001-09,0.061M,,0.061M,162.23M,,162.23M,92.97M,37.67M,27.20M,28.78M,186.62M,,,40.62M,389.53M,,,,,,394.66M,-192.55M,202.10M,220.32M,43.29M,263.61M,,41.97M,507.68M,897.20M,77.05M,77.05M,84.23M,161.28M,,0.775M,0.775M,,,14.78M,176.84M,454.24M,454.24M,,,,,,51.24M,505.48M,682.32M,0.654M,241.93M,272.88M,278.34M,,,-22.23M,214.89M
2001-06,7.378M,,7.378M,153.98M,,153.98M,123.37M,34.90M,31.57M,,189.84M,,,36.15M,387.35M,,,,,,394.01M,-188.23M,205.78M,222.43M,44.35M,266.78M,,45.91M,518.47M,905.82M,74.94M,74.94M,71.62M,146.56M,0.761M,0.761M,0.761M,,,24.01M,171.33M,470.91M,470.91M,,,,,,53.03M,523.94M,695.27M,0.654M,235.96M,273.10M,280.22M,,,-18.94M,210.55M
2001-03,7.95M,,7.95M,185.84M,,185.84M,92.36M,46.47M,29.02M,27.46M,195.31M,,,36.26M,425.36M,,,,,,406.85M,-196.35M,210.50M,,268.31M,268.31M,,51.91M,530.72M,956.07M,80.59M,80.59M,86.62M,167.22M,,0.753M,0.753M,,,29.03M,197.00M,507.16M,507.16M,,,,,,51.86M,559.02M,756.02M,0.654M,228.41M,273.18M,280.53M,,,-21.66M,200.05M
2000-12,6.071M,,6.071M,194.38M,,194.38M,,,,,202.83M,,,44.28M,447.56M,,,,,,407.32M,-192.68M,214.64M,,265.39M,265.39M,,56.45M,536.49M,984.05M,86.32M,86.32M,,86.32M,,0.751M,0.751M,,,103.59M,190.66M,539.45M,539.45M,,,,,,57.57M,597.02M,787.68M,0.654M,218.47M,273.49M,281.66M,,,-14.58M,196.37M
2000-09,11.12M,,11.12M,,,208.71M,,,,,218.10M,,,33.88M,471.81M,,,,,,403.60M,-189.35M,214.25M,,268.16M,268.16M,,52.71M,535.12M,1.007B,88.00M,88.00M,,88.00M,,0.741M,0.741M,,,103.31M,192.05M,571.85M,571.85M,,,,,,53.89M,625.74M,817.79M,0.654M,214.40M,272.54M,282.33M,,,-16.12M,189.14M
2000-06,6.873M,,6.873M,,,187.35M,,,,,222.78M,,,38.32M,455.32M,,,,,,403.04M,-185.27M,217.78M,,270.84M,270.84M,,54.15M,542.76M,998.08M,83.97M,83.97M,,83.97M,,0.749M,0.749M,,,100.92M,185.64M,560.46M,560.46M,,,,,,53.52M,613.99M,799.63M,0.654M,218.35M,313.53M,194.07M,,,-140.01M,198.46M
2000-03,14.73M,,14.73M,,,179.69M,,,,,222.70M,,,38.33M,455.45M,,,,,,400.47M,-179.45M,221.02M,,274.12M,274.12M,,57.58M,552.72M,1.008B,82.41M,82.41M,,82.41M,,0.749M,0.749M,,,112.69M,195.86M,562.86M,562.86M,,,,,,54.24M,617.10M,812.95M,0.654M,210.76M,314.13M,198.45M,,,-131.87M,195.22M
1999-12,7.056M,,7.056M,,,179.73M,,,,,211.40M,,,39.06M,437.25M,,,,,,395.69M,-173.00M,222.69M,,277.05M,277.05M,,59.69M,559.43M,996.68M,87.39M,87.39M,,87.39M,,0.743M,0.743M,,,106.08M,194.21M,567.84M,567.84M,8.054M,8.054M,,,,44.69M,620.59M,814.80M,0.654M,194.77M,318.36M,201.71M,,,-130.19M,181.88M
1999-09,7.50M,,7.50M,,,123.10M,,,,,111.00M,,,25.40M,267.00M,,,,,,236.30M,-103.40M,132.90M,,192.40M,192.40M,,13.30M,338.60M,605.60M,45.30M,45.30M,,45.30M,,27.70M,27.70M,,,77.20M,150.20M,413.70M,413.70M,,,,,,28.80M,442.50M,592.70M,0.50M,219.20M,109.20M,184.70M,,,-131.30M,12.90M
1999-06,6.50M,,6.50M,,,128.00M,,,,,111.40M,,,22.60M,268.50M,,,,,,230.00M,-99.50M,130.50M,,151.10M,151.10M,,56.30M,337.90M,606.40M,53.30M,53.30M,,53.30M,,27.70M,27.70M,,,77.10M,158.10M,422.60M,422.60M,,,,,,28.20M,450.80M,608.90M,,206.90M,,,,,,-2.50M
1999-03,4.60M,,4.60M,137.90M,,137.90M,,,,,107.70M,,,21.60M,271.80M,,,,,,223.90M,-95.80M,128.10M,,196.50M,196.50M,,13.10M,337.70M,609.50M,51.30M,51.30M,,51.30M,,20.30M,20.30M,,,79.20M,150.80M,450.20M,450.20M,,,,,,27.90M,478.10M,628.90M,,194.00M,,,,,,-19.40M
1998-12,9.00M,,9.00M,190.20M,,190.20M,,,,,196.60M,,,39.30M,435.10M,,,,,,364.40M,-145.20M,219.20M,,261.30M,261.30M,,51.80M,532.30M,967.40M,97.30M,97.30M,,97.30M,,41.10M,41.10M,,,106.10M,244.50M,532.50M,532.50M,4.00M,4.00M,,,,42.30M,578.80M,823.30M,,159.10M,,,,,,144.10M
1998-09,9.80M,,9.80M,,,110.90M,,,,,88.40M,,,18.70M,227.80M,,,,,,209.70M,-90.20M,119.50M,,118.50M,118.50M,,10.70M,248.70M,476.50M,48.70M,48.70M,,48.70M,,15.00M,15.00M,,,66.70M,130.40M,364.80M,364.80M,,,,,,26.30M,391.10M,521.50M,,171.60M,,,,,,-45.00M
1998-06,5.10M,,5.10M,,,107.40M,,,,,84.90M,,,17.90M,215.30M,,,,,,202.80M,-86.70M,116.10M,,115.30M,115.30M,,10.70M,242.10M,457.40M,44.40M,44.40M,,44.40M,,15.00M,15.00M,,,66.00M,125.40M,361.20M,361.20M,,,,,,27.40M,388.60M,514.00M,,161.00M,,,,,,-56.60M
