,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2001-12,188.42M,188.42M,141.27M,47.15M,34.47M,,3.18M,-9.959M,,,46.90M,0.251M,,,-9.959M,,-6.62M,-2.318M,-4.302M,41.37M,,,37.06M,2.170M,8.028M,7.777M,0.251M,-0.05,0.48,,,0.0252,0.43,-0.05,0.48,,,0.0249,0.43,86.05M,86.35M,0.005
2001-09,185.85M,185.85M,138.07M,47.78M,32.06M,,3.214M,-1.685M,,,35.28M,12.50M,,,-1.685M,,2.821M,-0.996M,3.817M,2.576M,,,6.393M,4.828M,21.21M,8.704M,12.50M,0.075,0.0,,,0.0868,0.075,0.075,0.0,,,0.0867,0.075,86.00M,86.61M,0.005
2001-06,194.12M,194.12M,140.54M,53.58M,30.60M,,3.293M,-1.512M,,,33.90M,19.68M,,,-1.512M,,9.618M,3.239M,6.379M,1.583M,,,7.962M,7.382M,25.94M,6.26M,19.68M,0.075,0.02,,,0.0867,0.095,0.075,0.015,,,0.0866,0.09,85.87M,86.42M,0.005
2001-03,215.30M,215.30M,153.89M,61.41M,32.74M,,3.326M,-1.95M,,,36.07M,25.35M,,,-1.95M,,12.61M,4.539M,8.069M,2.292M,,,10.36M,9.317M,35.67M,10.32M,25.35M,0.095,0.025,,,0.1096,0.12,0.095,0.025,,,0.1095,0.12,85.77M,86.29M,0.005
2000-12,47.99M,47.99M,44.47M,3.519M,16.86M,,,1.451M,,,-2.175M,5.694M,,,1.451M,,-2.661M,-0.957M,-1.704M,,,,4.489M,-2.633M,15.70M,10.01M,5.694M,-0.015,0.07,,,-0.0258,0.055,-0.015,0.07,,,-0.0257,0.055,86.43M,86.46M,0.005
2000-09,255.16M,255.16M,181.14M,74.02M,36.71M,,,-13.07M,,,46.73M,27.28M,,,-13.07M,,2.402M,5.931M,-3.529M,,,,-3.529M,4.314M,37.31M,10.03M,27.28M,-0.04,0.0,,,0.0503,-0.04,-0.04,0.0,,,0.0503,-0.04,86.83M,86.88M,0.005
2000-06,249.16M,249.16M,175.05M,74.12M,35.77M,,,-4.529M,,,46.19M,27.93M,,,-4.529M,,12.54M,4.514M,8.023M,,,,8.023M,10.92M,38.35M,10.42M,27.93M,0.09,0.0,,,0.1233,0.09,0.09,0.0,,,0.1233,0.09,86.91M,87.02M,0.005
2000-03,258.86M,258.86M,174.85M,84.01M,37.72M,,,1.723M,,,48.92M,35.09M,,,1.723M,,25.64M,9.23M,16.41M,,,,16.41M,15.31M,46.29M,11.20M,35.09M,0.19,0.0,,,0.1773,0.19,0.19,0.0,,,0.1773,0.19,86.52M,86.70M,0.005
1999-12,-7.924M,-7.924M,-3.411M,-4.513M,12.38M,,,-41.74M,,,-5.331M,0.818M,,,-41.74M,,-49.16M,-13.17M,-36.00M,,,,-23.41M,-5.436M,11.96M,11.14M,0.818M,-0.2189,,,-0.0082,0.0777,-0.2271,-0.2189,,,-0.0082,0.0777,-0.2271,103.06M,103.06M,0.005
1999-09,260.88M,260.88M,179.30M,81.58M,34.96M,,,-0.486M,,,41.86M,39.72M,,,-0.486M,,27.96M,10.15M,17.81M,,,,17.81M,18.12M,50.82M,11.10M,39.72M,0.205,0.0,,,0.2086,0.205,0.2,0.0,,,0.2036,0.2,86.88M,86.88M,0.005
1999-06,292.64M,292.64M,199.16M,93.48M,41.17M,,,0.015M,,,47.07M,46.42M,,,0.015M,,35.25M,12.83M,22.42M,,,,22.42M,22.41M,56.19M,9.774M,46.42M,0.26,0.0,,,0.2599,0.26,0.25,0.0,,,0.2499,0.25,86.23M,86.23M,0.005
1999-03,298.48M,298.48M,202.19M,96.29M,41.98M,,,-0.267M,,,52.58M,43.70M,,,-0.267M,,32.14M,11.88M,20.27M,,,,19.80M,20.44M,54.30M,10.60M,43.70M,-0.235,-0.005,,-0.0069,-0.2325,-0.24,-0.235,-0.005,,-0.0069,-0.2325,-0.24,67.89M,67.89M,0.005
1998-12,545.40M,545.40M,391.40M,154.00M,67.70M,,,13.30M,,,85.00M,69.00M,,,13.30M,,67.40M,21.60M,45.80M,,,,43.20M,36.76M,86.30M,17.30M,69.00M,0.5033,,,-0.0245,0.3237,0.4801,0.07,0.17,,-0.0245,-0.1052,0.24,50.33M,51.60M,0.005
1998-09,160.50M,160.50M,104.50M,56.00M,24.40M,,,-0.30M,,,30.70M,25.30M,,,-0.30M,,17.40M,6.60M,10.80M,,,,10.80M,10.99M,31.60M,6.30M,25.30M,0.215,0.0,,,0.2187,0.215,0.21,0.0,,,0.2136,0.21,50.23M,51.43M,0.005
1998-06,172.10M,172.10M,112.50M,59.60M,26.90M,,,0.30M,,,33.50M,26.10M,,,0.30M,,18.90M,7.20M,11.70M,,,,9.00M,11.51M,32.70M,6.60M,26.10M,0.235,-0.055,,-0.054000000000000006,0.2313,0.18,0.225,-0.055,,-0.054000000000000006,0.2215,0.17,50.00M,52.94M,0.005
