,NetIncome,GainandLossonSaleofPPE,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2003-09,5.603M,,0.007M,,,6.488M,6.488M,,,,,-1.454M,-8.52M,6.636M,,5.149M,-3.566M,-1.755M,,10.34M,-4.28M,,-4.28M,,-0.019M,-4.299M,,8.415M,2.11M,,2.11M,,-0.438M,,,10.09M,8.705M,16.13M,1.556M,26.39M,2.11M,,,
2003-06,5.526M,,0.048M,,,6.132M,6.132M,,,,,1.77M,0.857M,-0.915M,,0.209M,-1.111M,0.81M,,12.52M,-2.56M,,-2.56M,,-0.046M,-2.606M,,-10.47M,0.343M,,0.343M,,-0.442M,,,-10.57M,12.85M,-0.658M,-3.485M,8.705M,0.343M,,,
2003-03,5.683M,,-0.074M,,,5.717M,5.717M,,,,,-19.89M,-1.675M,7.898M,,1.354M,-0.119M,-12.43M,,-1.105M,-2.804M,,-2.804M,,-0.062M,-2.866M,,-2.89M,0.229M,,0.229M,,-0.435M,,,-3.096M,19.21M,-7.067M,0.705M,12.85M,0.229M,,,
2002-12,5.25M,,-0.105M,,,6.246M,6.246M,,,,,-4.116M,8.741M,-2.523M,,-0.625M,1.718M,3.195M,,15.29M,-2.022M,0.00,-2.022M,0.00,-0.046M,-2.068M,,-16.47M,0.683M,,0.683M,,-0.458M,,,-16.25M,18.04M,-3.027M,4.197M,19.21M,0.683M,,,
2002-09,-57.77M,,62.59M,,,6.254M,6.254M,,,,,3.194M,2.375M,-10.01M,,7.247M,-3.612M,-0.804M,,10.27M,-3.115M,1.40M,-1.715M,0.00,-0.053M,-3.132M,,-28.42M,0.893M,,0.893M,,-0.353M,,,-27.88M,38.23M,-20.75M,0.56M,18.04M,0.893M,,,
2002-06,4.82M,,0.03M,,,6.455M,6.455M,,,,,-1.142M,6.858M,-0.653M,,-5.217M,2.831M,2.677M,,13.98M,-2.753M,,-2.753M,0.00,-1.396M,-2.785M,,-0.636M,0.589M,,0.589M,,-0.576M,,,-0.623M,27.54M,10.57M,0.11M,38.23M,0.589M,,,
2002-03,2.224M,,0.536M,,,6.558M,6.558M,,,,,1.516M,-0.162M,0.37M,,-32.09M,-2.831M,-33.20M,,-23.88M,-2.574M,,-2.574M,-1.654M,1.396M,-2.832M,,-0.411M,1.53M,,1.53M,,-0.421M,,,0.698M,53.95M,-26.01M,-0.393M,27.54M,1.53M,,,
2001-12,37.06M,,-32.46M,,,7.777M,7.777M,,,,,23.79M,2.332M,4.593M,,-12.49M,7.84M,26.06M,,32.17M,-2.963M,,-2.963M,-2.987M,241.29M,235.34M,,-213.15M,0.569M,0.00,0.569M,,-0.423M,,,-213.00M,0.061M,54.51M,-0.626M,53.95M,0.569M,,,0.00
2001-09,6.392M,,-5.495M,,,8.704M,8.704M,,,,-0.16M,-2.724M,4.079M,0.559M,,-21.24M,21.76M,2.435M,,11.88M,-4.206M,-4.12M,-8.326M,0.00,4.651M,-4.32M,,-16.66M,1.691M,-0.036M,1.655M,,-0.419M,,,-15.43M,7.378M,-7.871M,0.554M,0.061M,1.691M,,,-0.036M
2001-06,7.962M,,-1.306M,,,6.26M,6.26M,,,,0.16M,14.66M,3.085M,-5.359M,,11.81M,-1.788M,22.41M,,35.48M,-1.78M,3.256M,1.476M,-0.743M,-0.50M,0.878M,,-36.25M,0.297M,-0.317M,-0.02M,,-0.419M,,,-36.69M,7.95M,-0.329M,-0.243M,7.378M,0.297M,,,-0.317M
2001-03,10.36M,,0.16M,,,10.32M,10.32M,,,,,14.04M,3.174M,-4.123M,,3.844M,1.788M,18.72M,,39.56M,-5.852M,0.864M,-4.988M,,0.50M,-4.488M,,-32.22M,0.802M,-0.232M,0.57M,,-0.42M,,,-32.07M,6.071M,3.009M,-1.13M,7.95M,0.802M,,,-0.232M
2000-12,4.489M,,-3.856M,,,10.01M,10.01M,,,,,14.90M,15.70M,-2.053M,3.812M,-6.043M,-14.80M,11.51M,,34.34M,-8.502M,0.00,-8.502M,0.00,,-8.502M,,-32.40M,0.369M,-1.854M,-1.485M,,-0.418M,,,-34.30M,11.12M,-8.46M,3.414M,6.071M,0.369M,,,-1.854M
2000-09,-3.529M,,7.12M,,,10.03M,10.03M,,,,,-22.62M,3.322M,4.674M,,3.786M,1.813M,-9.022M,,4.596M,-5.834M,0.00,-5.834M,-0.65M,,-6.484M,,11.38M,0.38M,-5.992M,-5.612M,,-0.425M,,,5.346M,6.873M,3.458M,0.786M,11.12M,0.38M,,,-5.992M
2000-06,8.023M,,0.457M,,,10.42M,10.42M,,,,,-9.009M,-0.506M,2.052M,-1.304M,-15.48M,7.782M,-16.46M,,2.441M,-5.089M,1.00M,-4.089M,,,-4.089M,,-2.395M,0.204M,0.00,0.204M,,-0.425M,,,-2.616M,14.73M,-4.264M,-3.594M,6.873M,0.204M,,,0.00
2000-03,16.41M,,-3.675M,,,11.20M,11.20M,,,,,-0.783M,-11.80M,-4.583M,1.304M,10.75M,,-5.103M,,18.84M,-6.91M,4.50M,-2.41M,,,-2.41M,,-4.981M,3.338M,-4.369M,-1.031M,,-0.427M,,,-6.439M,7.056M,9.986M,-2.311M,14.73M,3.338M,,,-4.369M
1999-12,-22.56M,,9.685M,,,11.14M,11.14M,,,,0.027M,-0.247M,0.298M,9.55M,-0.935M,-15.34M,9.597M,2.927M,,9.415M,-5.292M,,-5.292M,0.00,-3.569M,-8.861M,,3.304M,0.717M,,-9.913M,,-0.245M,,-0.058M,-6.912M,15.42M,-6.358M,-2.008M,7.056M,0.717M,,,
1999-09,17.81M,,1.038M,,,11.10M,11.10M,,,,-0.027M,4.359M,0.438M,-4.418M,,-2.617M,-4.316M,-6.554M,,23.37M,-7.477M,,-7.477M,0.00,1.786M,-5.691M,,-17.46M,1.569M,,1.569M,,-0.248M,,0.876M,-15.27M,13.00M,2.409M,0.018M,15.42M,1.569M,,,
1999-06,22.42M,,0.882M,,,9.774M,9.774M,,,,,11.20M,-8.613M,-5.738M,0.093M,0.782M,-5.281M,-7.552M,,25.52M,-7.737M,,-7.737M,1.342M,-1.781M,-8.176M,,-21.91M,1.063M,,1.063M,,-0.247M,,0.093M,-21.00M,15.80M,-3.651M,0.849M,13.00M,1.063M,,,
1999-03,20.27M,,1.38M,,,10.60M,10.60M,,,,,1.294M,-4.998M,-13.06M,-0.093M,3.69M,,-13.16M,,19.08M,-10.30M,,-10.30M,-33.58M,0.243M,-43.64M,,31.04M,1.562M,,1.562M,,-0.246M,,-0.911M,31.44M,8.983M,6.885M,-0.071M,15.80M,1.562M,,,
1998-12,45.80M,,0.40M,,,17.30M,17.30M,,,,3.60M,-31.40M,-7.40M,15.50M,5.50M,-17.40M,,-35.20M,,38.20M,-16.20M,,-16.20M,,,-202.20M,,144.40M,1.30M,,1.30M,,-0.30M,,1.40M,146.80M,0.00,-17.20M,-0.50M,9.00M,1.30M,,,
1998-09,10.80M,,1.30M,,,6.30M,6.30M,,,,-3.60M,-2.80M,-2.70M,3.90M,,1.40M,,-0.20M,,14.60M,-13.10M,,-13.10M,,,-13.10M,,1.50M,0.50M,,0.50M,,-0.20M,,0.80M,2.60M,0.00,4.10M,0.50M,0.00,0.50M,,,
1998-06,11.70M,,1.50M,,,6.60M,6.60M,,,,0.00,3.10M,-6.40M,-2.50M,0.80M,-6.70M,,-11.70M,,8.10M,-19.30M,,-19.30M,,,-19.30M,,12.30M,1.10M,,1.10M,,-0.30M,,-0.90M,12.20M,0.00,1.00M,-0.30M,0.00,1.10M,,,
