,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AccruedComprehensiveInc,ShareholdersEquity
2006-03,184.00M,30.70M,214.70M,1.283B,,1.283B,,513.60M,,119.20M,2.130B,,,,,,,,365.80M,-178.70M,187.10M,259.60M,171.30M,430.90M,,235.30M,151.70M,1.005B,3.135B,1.804B,,1.804B,236.70M,2.041B,,,6.30M,6.30M,33.10M,33.10M,,38.80M,2.119B,106.00M,,106.00M,,,,,130.80M,236.80M,2.356B,96.70M,451.70M,236.90M,-6.40M,778.90M
2005-12,317.80M,43.20M,361.00M,1.397B,,1.397B,,518.30M,,125.70M,2.402B,0.0,3.80M,129.90M,230.10M,,,,363.80M,-178.70M,185.10M,,418.20M,418.20M,,236.10M,148.30M,987.70M,3.390B,1.917B,,1.917B,378.30M,2.296B,,,5.30M,5.30M,35.70M,35.70M,,49.60M,2.386B,107.60M,,107.60M,,,,,126.50M,234.10M,2.620B,95.70M,463.70M,216.30M,-6.60M,769.10M
2005-09,313.90M,31.40M,345.30M,1.329B,,1.329B,,583.90M,,162.00M,2.420B,,,,,,,,213.00M,-157.60M,55.40M,,407.30M,407.30M,,209.40M,293.90M,966.00M,3.386B,1.948B,,1.948B,307.70M,2.256B,,,34.70M,34.70M,,,,99.80M,2.391B,80.70M,,80.70M,,,,,130.00M,210.70M,2.601B,95.20M,488.10M,221.70M,-20.50M,784.50M
2005-06,243.10M,28.00M,271.10M,1.514B,,1.514B,,530.10M,,160.50M,2.476B,,,,,,,,345.70M,-157.60M,188.10M,,400.30M,400.30M,,199.70M,180.40M,968.50M,3.444B,2.065B,,2.065B,298.30M,2.364B,,,35.30M,35.30M,,,,93.00M,2.492B,128.00M,,128.00M,,,,,81.70M,209.70M,2.702B,94.60M,464.20M,206.10M,-22.00M,742.90M
2005-03,212.30M,27.80M,240.10M,1.305B,5.90M,1.311B,,506.10M,,159.50M,2.217B,,,,,,,,409.80M,-157.60M,252.20M,,372.90M,372.90M,,185.90M,199.70M,1.011B,3.228B,1.827B,,1.827B,355.00M,2.182B,,,42.90M,42.90M,,,,56.40M,2.282B,138.30M,,138.30M,,,,,125.00M,263.30M,2.545B,93.20M,438.80M,172.90M,-22.20M,682.70M
2004-12,224.60M,26.00M,250.60M,1.351B,,1.351B,,488.90M,,132.80M,2.223B,0.0,54.60M,133.50M,228.50M,,,,416.60M,-157.60M,259.00M,,374.20M,374.20M,,184.80M,192.10M,1.010B,3.233B,1.839B,,1.839B,258.40M,2.097B,,,41.40M,41.40M,25.40M,25.40M,,43.40M,2.208B,140.00M,,140.00M,,,,,124.80M,264.80M,2.472B,92.10M,539.00M,146.40M,-16.50M,761.00M
2004-09,297.30M,25.90M,323.20M,1.246B,,1.246B,,488.30M,,123.90M,2.182B,,,,,,,,401.20M,-142.10M,259.10M,,293.90M,293.90M,,164.40M,185.80M,903.20M,3.085B,1.753B,,1.753B,227.50M,1.981B,,,41.40M,41.40M,,,,72.80M,2.095B,141.70M,,141.70M,,,,,105.50M,247.20M,2.342B,92.40M,513.10M,155.30M,-17.90M,742.90M
2004-06,258.30M,27.50M,285.80M,1.439B,,1.439B,,478.50M,,139.70M,2.343B,,,,,,,,414.90M,-142.10M,272.80M,,269.30M,269.30M,,151.10M,181.60M,874.80M,3.218B,1.930B,,1.930B,232.20M,2.162B,,,38.70M,38.70M,36.60M,36.60M,,38.70M,2.276B,143.40M,,143.40M,,,,,101.50M,244.90M,2.521B,91.90M,481.80M,143.70M,-20.60M,696.80M
2004-03,211.50M,26.10M,237.60M,1.226B,,1.226B,,454.60M,,131.20M,2.049B,,,,,,,,405.20M,-142.10M,263.10M,,253.40M,253.40M,,141.40M,165.80M,823.70M,2.873B,1.694B,,1.694B,209.70M,1.904B,,,33.90M,33.90M,,,,66.50M,2.004B,121.30M,,121.30M,,,,,99.20M,220.50M,2.225B,90.80M,458.60M,121.90M,-23.30M,648.00M
2003-12,193.60M,31.90M,225.50M,1.286B,,1.286B,,437.60M,,158.40M,2.108B,0.0,59.30M,124.10M,173.10M,51.80M,,,408.30M,-142.10M,266.20M,,222.90M,222.90M,,137.80M,166.80M,793.70M,2.902B,1.744B,,1.744B,219.30M,1.963B,,,30.90M,30.90M,,,,67.60M,2.061B,122.10M,,122.10M,,,,,99.10M,221.20M,2.282B,90.00M,442.30M,105.50M,-18.70M,619.10M
2003-09,178.20M,82.30M,260.50M,1.202B,,1.202B,,400.50M,,112.40M,1.976B,,,,,,,,381.70M,-116.00M,265.70M,,168.00M,168.00M,,110.80M,175.00M,719.50M,2.695B,1.641B,,1.641B,195.00M,1.836B,,,25.20M,25.20M,,,,46.30M,1.908B,125.90M,,125.90M,,,,,70.80M,196.70M,2.104B,90.10M,409.30M,112.10M,-20.90M,590.60M
2003-06,149.00M,92.40M,241.40M,1.318B,,1.318B,,285.00M,,107.50M,1.952B,,,,,,,,300.90M,-116.00M,184.90M,,155.50M,155.50M,,102.30M,249.60M,692.30M,2.644B,1.648B,,1.648B,154.40M,1.802B,,,34.60M,34.60M,,,,45.30M,1.882B,126.70M,,126.70M,,,,,63.20M,189.90M,2.072B,90.60M,376.60M,128.50M,-23.20M,572.50M
2003-03,165.00M,56.00M,221.00M,1.214B,,1.214B,,251.00M,,119.00M,1.805B,,,,,,,,370.00M,-116.00M,254.00M,,154.00M,154.00M,,102.00M,177.00M,687.00M,2.492B,2.00M,,2.00M,46.00M,48.00M,,,26.00M,26.00M,,,,1.685B,1.759B,128.00M,,128.00M,,,,,60.00M,188.00M,1.947B,90.00M,357.00M,124.00M,-26.00M,545.00M
2002-12,153.00M,15.00M,168.00M,1.184B,,1.184B,,256.00M,,166.00M,1.774B,0.0,54.00M,123.00M,138.00M,52.00M,,,367.00M,-116.00M,251.00M,,135.00M,135.00M,,102.00M,202.00M,690.00M,2.464B,108.00M,,108.00M,58.00M,166.00M,,,48.00M,48.00M,,,,1.536B,1.75B,128.00M,,128.00M,,,,,57.00M,185.00M,1.935B,89.00M,361.00M,93.00M,-14.00M,529.00M
2002-09,128.64M,14.04M,142.69M,1.098B,,1.098B,,293.26M,,156.34M,1.691B,,,,,,,,365.56M,-120.72M,244.83M,,109.05M,109.05M,,97.51M,208.49M,659.89M,2.351B,108.81M,,108.81M,41.03M,149.84M,,,52.59M,52.59M,,,,1.487B,1.689B,129.15M,,129.15M,,,,,44.36M,173.52M,1.863B,87.97M,335.95M,79.08M,-15.18M,487.81M
2002-06,110.59M,,110.59M,1.255B,,1.255B,,226.95M,,152.90M,1.746B,,,,,,,,355.36M,-114.14M,241.22M,,107.04M,107.04M,,99.78M,254.59M,702.64M,2.449B,112.50M,,112.50M,34.81M,147.31M,,,77.24M,77.24M,,,,1.563B,1.787B,135.46M,,135.46M,,,,,43.07M,178.53M,1.966B,88.33M,325.83M,88.31M,-19.70M,482.77M
2002-03,103.20M,,103.20M,1.089B,,1.089B,,246.83M,,138.17M,1.577B,,,,,,,,292.30M,-103.29M,189.01M,,72.84M,72.84M,,99.37M,234.40M,595.62M,2.173B,114.21M,,114.21M,61.00M,175.20M,,,57.05M,57.05M,,,,1.396B,1.628B,99.68M,,99.68M,,,,,40.27M,139.96M,1.768B,86.09M,304.62M,34.00M,-20.13M,404.57M
2001-12,98.53M,,98.53M,1.117B,,1.117B,,209.51M,,137.73M,1.563B,0.0,43.25M,118.23M,122.32M,,,,283.81M,-100.56M,183.24M,,65.34M,65.34M,,99.26M,234.49M,582.34M,2.145B,111.62M,,111.62M,56.57M,168.19M,,,41.70M,41.70M,,,,1.428B,1.638B,96.70M,,96.70M,,,,,39.08M,135.77M,1.774B,85.11M,283.80M,8.768M,-6.062M,371.61M
2001-09,124.24M,,124.24M,402.76M,,402.76M,,189.92M,,132.29M,849.20M,,,,,,,,139.69M,-93.68M,46.02M,,22.87M,22.87M,,48.92M,198.90M,316.71M,1.166B,106.68M,,106.68M,32.95M,139.62M,,,,,,,,656.18M,795.80M,,,,,,,,,26.95M,822.75M,84.70M,261.92M,2.973M,-6.429M,343.16M
2001-06,100.93M,,100.93M,499.04M,,499.04M,,178.50M,,103.35M,881.82M,0.0,133.94M,,,,,,133.94M,-90.41M,43.52M,,22.61M,22.61M,,48.30M,219.00M,333.42M,1.215B,114.31M,,114.31M,23.22M,137.53M,,,,,17.68M,17.88M,0.194M,698.74M,854.16M,,,,,,,,,27.29M,881.45M,84.15M,230.77M,24.54M,-5.672M,333.79M
2001-03,95.97M,,95.97M,354.44M,,354.44M,,157.39M,,99.82M,707.62M,0.0,124.58M,,,,,,124.58M,-83.62M,40.96M,,17.19M,17.19M,,47.69M,212.94M,318.77M,1.026B,98.56M,,98.56M,18.99M,117.56M,,,,,17.50M,23.39M,5.898M,537.44M,678.39M,,,,,,,,,24.92M,703.31M,80.65M,243.81M,,-1.376M,323.09M
2000-12,141.83M,,141.83M,436.54M,,436.54M,,158.65M,,108.34M,845.36M,,,,,,,,126.93M,-84.39M,42.55M,,16.09M,16.09M,,47.82M,183.67M,290.12M,1.135B,109.21M,,109.21M,38.65M,147.86M,,,,,,,,639.06M,786.92M,,,,,,,,,19.67M,806.59M,84.54M,225.10M,21.76M,-2.498M,328.90M
2000-09,92.74M,,92.74M,306.29M,,306.29M,,,,255.78M,654.81M,,,,,,,,122.22M,-81.50M,40.71M,,14.61M,14.61M,,,227.99M,283.31M,938.12M,93.19M,,93.19M,,93.19M,,,,,,,,525.56M,618.75M,,,,,,,,,18.41M,637.16M,39.35M,247.70M,15.87M,-1.964M,300.96M
2000-06,63.24M,,63.24M,386.01M,,386.01M,,,,225.72M,674.97M,,,,,,,,122.05M,-83.25M,38.80M,,12.66M,12.66M,,,202.32M,253.78M,928.75M,88.40M,,88.40M,,88.40M,,,,,,,,554.35M,642.74M,,,,,,,,,16.18M,658.92M,38.15M,220.48M,13.70M,-2.507M,269.83M
2000-03,65.94M,,65.94M,,,324.14M,,,,214.62M,604.70M,,,,,,,,117.44M,-80.12M,37.31M,,14.03M,14.03M,,,192.51M,243.86M,848.55M,93.70M,,93.70M,,93.70M,,,,,,,,486.59M,580.30M,,,,,,,,,16.63M,596.93M,37.22M,215.17M,1.953M,-2.717M,251.62M
1999-12,72.15M,,72.15M,373.48M,,373.48M,,,,238.77M,684.40M,,,,,,,,123.17M,-83.13M,40.03M,,14.05M,14.05M,,,197.22M,251.31M,935.71M,96.76M,,96.76M,,96.76M,,,,,,,,570.38M,667.13M,,,,,,,,,18.82M,685.96M,77.11M,188.60M,-13.29M,-2.669M,249.75M
1999-09,65.70M,,65.70M,,,295.70M,,,,224.80M,586.20M,,,,,,,,111.40M,-74.70M,36.70M,,11.10M,11.10M,,,187.30M,235.10M,821.30M,89.00M,,89.00M,,89.00M,,,,,,,,484.70M,573.70M,,,,,,,,,14.30M,588.00M,18.40M,200.70M,16.00M,-1.70M,233.30M
1999-06,46.90M,,46.90M,,,325.60M,,,,206.00M,578.50M,,,,,,,,106.00M,-71.50M,34.50M,,11.90M,11.90M,,,183.30M,229.70M,808.20M,86.60M,,86.60M,,86.60M,,,,,,,,491.40M,578.00M,,,,,,,,,14.50M,592.50M,,185.00M,,,215.70M
1999-03,43.90M,,43.90M,,,256.90M,,,,199.10M,499.90M,,,,,,,,101.60M,-68.60M,33.00M,,12.50M,12.50M,,,175.00M,220.50M,720.40M,88.40M,,88.40M,,88.40M,,,,,,,,415.70M,504.10M,,,,,,,,,12.40M,516.50M,,179.80M,,,203.90M
1998-12,65.00M,,65.00M,293.90M,,293.90M,,,,185.50M,544.40M,,,,,,,,100.40M,-68.40M,32.00M,,12.50M,12.50M,,,171.50M,216.00M,760.40M,92.20M,,92.20M,,92.20M,,,,,,,,449.80M,542.00M,,,,,,,,,12.90M,554.90M,36.30M,172.70M,-2.80M,-0.80M,205.50M
1998-09,61.70M,,61.70M,,,260.70M,,,,197.50M,519.90M,,,,,,,,92.70M,-65.30M,27.40M,,10.10M,10.10M,,,163.60M,201.10M,721.00M,85.80M,,85.80M,,85.80M,,,,,,,,431.00M,516.80M,,,,,,,,,12.60M,529.40M,,163.40M,,,191.60M
1998-06,60.20M,,60.20M,,,258.30M,,,,200.20M,518.70M,,,,,,,,91.40M,-64.50M,26.90M,,9.90M,9.90M,,,150.80M,187.60M,706.30M,83.60M,,83.60M,,83.60M,,,,,,,,424.80M,508.40M,,,,,,,,,12.60M,521.00M,,149.90M,,,185.30M
