,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2001-12,265.36M,221.74M,-10.36M,232.10M,,178.04M,5.07M,1.553M,,,,,184.66M,47.44M,,,,,36.94M,3.819M,33.12M,,,33.12M,33.12M,54.10M,6.669M,47.44M,0.3822,,0.3822,0.3822,0.33,0.03,0.33,0.36,84.17M,90.81M,0.13
2001-09,221.08M,235.66M,73.11M,162.56M,,115.14M,4.783M,0.614M,11.75M,,,,120.54M,42.02M,,,11.75M,,42.02M,0.116M,41.90M,,,41.90M,30.18M,47.42M,5.397M,42.02M,0.49,0.0,0.3518,0.49,0.47,0.0,0.3399,0.47,84.78M,90.07M,0.13
2001-06,203.52M,203.52M,59.94M,143.57M,,111.00M,,,10.43M,,,,116.42M,27.16M,,,10.43M,,28.77M,5.575M,23.20M,,,23.20M,14.79M,32.57M,5.417M,27.16M,0.27,0.0,0.1706,0.27,0.26,0.0,0.1663,0.26,84.62M,89.76M,0.13
2001-03,198.05M,216.65M,65.99M,150.66M,,110.92M,,,18.60M,,,,116.59M,34.07M,,,18.60M,,34.07M,6.99M,27.08M,,,27.08M,12.29M,39.74M,5.663M,34.07M,0.32,0.0,0.1367,0.32,0.32,0.0,0.1482,0.32,80.68M,86.06M,0.13
2000-12,212.28M,226.14M,57.39M,168.75M,,117.58M,,,1.116M,,,,137.01M,31.74M,,,-5.614M,,31.74M,7.124M,24.62M,,,24.62M,23.75M,37.98M,6.243M,31.74M,0.29,0.0,0.2798,0.29,0.27,0.0,0.2607,0.27,85.11M,92.67M,0.115
2000-09,194.52M,209.12M,60.33M,148.79M,,103.14M,,,8.915M,,,,103.14M,45.64M,,,14.60M,,45.64M,13.58M,32.06M,,,32.06M,25.80M,50.99M,5.346M,45.64M,0.38,0.0,0.3054,0.38,0.37,0.0,0.3002,0.37,84.00M,89.66M,0.115
2000-06,177.97M,180.98M,58.04M,122.94M,,96.82M,,,3.012M,,,,96.82M,26.12M,,,3.012M,,26.12M,9.035M,17.08M,,,17.08M,15.11M,29.96M,3.841M,26.12M,0.21,0.0,0.1862,0.21,0.19,0.0,0.1675,0.19,82.92M,87.69M,0.115
2000-03,168.59M,169.21M,52.21M,117.00M,,91.33M,,,0.618M,,,,91.33M,25.67M,,,0.618M,,25.67M,8.85M,16.82M,,,16.82M,16.41M,29.66M,3.996M,25.67M,0.21,0.0,0.2048,0.21,0.2,0.0,0.1951,0.2,78.32M,82.40M,0.115
1999-12,222.39M,262.34M,85.55M,176.79M,,119.32M,,,19.51M,,,,107.90M,68.89M,,,19.51M,,48.45M,16.46M,31.99M,,,31.99M,19.11M,75.15M,6.26M,68.89M,0.4342,,0.2594,0.4342,0.23,0.0,0.1396,0.23,73.68M,142.48M,0.1
1999-09,165.94M,165.94M,46.94M,119.00M,,83.83M,,,5.141M,,,,87.63M,31.36M,,,5.141M,,36.51M,12.81M,23.70M,,,23.70M,20.36M,35.71M,4.349M,31.36M,0.32,0.0,0.2749,0.32,0.3,0.0,0.2578,0.3,74.06M,79.00M,0.1
1999-06,134.83M,134.83M,43.73M,91.11M,,77.44M,,,9.902M,,,,81.19M,9.919M,,,9.902M,,19.82M,6.775M,13.05M,,,13.05M,6.529M,13.67M,3.747M,9.919M,0.18,0.0,0.0916,0.18,0.17,0.0,0.0858,0.17,73.74M,77.43M,0.1
1999-03,132.92M,132.92M,38.40M,94.52M,,75.26M,,,4.687M,,,,78.58M,15.94M,,,4.687M,,20.62M,7.149M,13.48M,,,13.48M,10.41M,19.26M,3.32M,15.94M,0.19,0.0,0.1468,0.19,0.18,0.0,0.1391,0.18,70.93M,74.87M,0.1
1998-12,191.77M,191.77M,64.92M,126.86M,,104.11M,,,6.739M,,,,108.70M,18.15M,,,6.739M,,24.89M,8.31M,16.58M,,,16.58M,12.09M,22.75M,4.594M,18.15M,0.215,0.0,0.1571,0.215,0.21,0.0,0.1534,0.21,77.52M,79.31M,0.0875
1998-09,146.40M,146.40M,41.60M,104.80M,,73.90M,,,1.30M,,,,76.70M,28.10M,,,1.30M,,29.40M,9.30M,20.10M,,,20.10M,19.21M,31.20M,3.10M,28.10M,0.28,0.0,0.2676,0.28,0.27,0.0,0.2581,0.27,71.79M,74.44M,0.0875
1998-06,121.90M,121.90M,40.00M,81.90M,,70.00M,,,5.60M,,,,72.80M,9.10M,,,5.60M,,14.70M,4.80M,9.90M,,,9.90M,6.129M,11.90M,2.70M,9.10M,0.14,0.0,0.0867,0.14,0.14,0.0,0.0867,0.14,70.71M,70.71M,0.0875
