,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity
2009-03,263.94M,904.94M,1.169B,799.35M,,,799.35M,116.04M,77.09M,249.27M,,414.83M,,,103.92M,102.13M,2.589B,,,,,,,5.305B,-2.488B,2.817B,,1.396B,1.396B,203.25M,,57.77M,4.474B,7.063B,536.96M,536.96M,1.591B,2.128B,,25.00M,25.00M,23.40M,48.40M,835.09M,835.09M,,,3.012B,4.75B,334.98M,5.085B,277.61M,355.93M,633.54M,,,,5.719B,8.730B,4.957M,-2.180B,2.095B,1.462B,,-124.21M,-1.667B
2008-12,98.57M,460.56M,559.13M,820.71M,,,820.71M,144.03M,56.34M,226.30M,,426.67M,148.75M,,86.33M,56.39M,2.098B,0.0,3.76M,64.87M,3.664B,959.51M,403.78M,5.096B,-2.433B,2.663B,,1.391B,1.391B,241.90M,,65.43M,4.362B,6.460B,471.84M,471.84M,1.612B,2.084B,25.00M,13.33M,38.33M,,38.33M,830.53M,830.53M,,27.54M,2.980B,4.969B,,4.969B,235.55M,224.18M,459.73M,0.00,,,5.429B,8.409B,4.955M,-2.493B,2.091B,1.444B,,-108.00M,-1.949B
2008-09,971.94M,460.70M,1.433B,792.90M,,,792.90M,119.99M,82.56M,213.63M,,394.66M,,104.60M,15.18M,116.85M,2.857B,,,,,,,4.989B,-2.367B,2.623B,,5.426M,5.426M,,14.52M,1.678B,4.320B,7.177B,589.29M,589.29M,1.728B,2.317B,996.56M,11.74M,1.008B,,1.008B,849.26M,849.26M,,,4.175B,4.75B,222.79M,4.973B,,,,,,158.92M,5.132B,9.307B,4.951M,-2.685B,2.085B,1.443B,,-91.44M,-2.129B
2008-06,1.357B,541.73M,1.899B,741.26M,,,741.26M,83.93M,77.53M,193.64M,,335.74M,,,135.69M,836.46M,3.948B,,,,,,,6.140B,-3.592B,2.549B,,5.717M,5.717M,,,1.178B,3.732B,7.681B,406.76M,406.76M,1.636B,2.043B,,,1.511B,,1.511B,860.30M,860.30M,,,4.414B,4.775B,208.25M,4.983B,43.26M,,43.26M,,,331.74M,5.358B,9.772B,4.95M,-2.777B,2.080B,1.361B,,-38.64M,-2.092B
2008-03,989.68M,578.97M,1.569B,948.38M,,,948.38M,88.07M,83.08M,166.77M,,319.62M,,,86.87M,206.80M,3.130B,,,,,,,4.977B,-2.442B,2.535B,,679.57M,679.57M,,7.40M,513.17M,3.735B,6.865B,737.71M,737.71M,1.612B,2.350B,,,1.510B,,1.510B,870.64M,870.64M,,,4.731B,4.025B,206.24M,4.231B,,,,,,341.10M,4.572B,9.303B,4.942M,-3.113B,2.058B,1.361B,,-26.41M,-2.438B
2007-12,1.181B,1.607B,2.788B,699.10M,,,699.10M,66.06M,80.96M,159.96M,14.68M,306.92M,,,342.81M,108.11M,4.245B,0.0,33.18M,260.15M,6.584B,,772.66M,7.650B,-3.592B,4.058B,256.92M,218.88M,475.79M,,,1.307B,5.841B,10.09B,314.82M,314.82M,1.502B,1.817B,,,1.550B,,1.550B,857.85M,857.85M,,,4.225B,4.025B,550.25M,4.575B,386.49M,,386.49M,,,259.66M,5.221B,9.447B,4.935M,-84.46M,2.034B,1.361B,,46.70M,639.99M
2007-09,1.606B,1.196B,2.802B,700.50M,,,700.50M,115.33M,74.82M,170.37M,2.084M,341.41M,,,261.87M,164.69M,4.270B,,,,,,,7.480B,-3.459B,4.021B,,915.17M,915.17M,,,539.85M,5.476B,9.746B,351.60M,351.60M,1.485B,1.836B,,,47.90M,,47.90M,840.29M,840.29M,,,2.725B,5.525B,560.81M,6.086B,216.21M,,216.21M,,,259.58M,6.562B,9.286B,4.925M,-259.49M,1.994B,1.361B,,81.65M,459.82M
2007-06,1.077B,1.323B,2.400B,706.96M,,,706.96M,102.16M,58.66M,141.63M,4.452M,289.34M,,,387.86M,160.18M,3.944B,,,,,,,7.296B,-3.279B,4.017B,,924.28M,924.28M,,,509.11M,5.450B,9.394B,274.14M,274.14M,1.440B,1.715B,,,47.21M,,47.21M,837.08M,837.08M,,,2.599B,5.525B,573.08M,6.098B,217.38M,,217.38M,,,253.67M,6.569B,9.168B,4.924M,-459.17M,1.987B,1.361B,,55.11M,226.41M
2007-03,965.20M,1.203B,2.168B,687.02M,,,687.02M,89.50M,63.55M,168.46M,2.408M,311.64M,,,526.50M,121.58M,3.815B,,,,,,,6.909B,-3.079B,3.830B,,185.28M,185.28M,,,1.235B,5.251B,9.066B,352.24M,352.24M,1.421B,1.773B,,,38.61M,,38.61M,852.92M,852.92M,,,2.665B,5.525B,394.36M,5.919B,245.64M,,245.64M,,,266.60M,6.432B,9.096B,4.916M,-683.37M,1.958B,1.361B,,51.25M,-30.47M
2006-12,1.923B,1.109B,3.033B,665.15M,,,665.15M,50.04M,66.07M,132.60M,1.669M,237.51M,,,548.77M,115.55M,4.600B,0.0,30.20M,250.63M,5.923B,,433.84M,6.638B,-2.872B,3.766B,,197.86M,197.86M,,,1.206B,5.169B,9.769B,283.47M,283.47M,1.450B,1.733B,,,1.038B,,1.038B,819.90M,819.90M,,,3.591B,5.525B,403.86M,5.929B,192.62M,,192.62M,,,275.13M,6.397B,9.988B,4.909M,-841.01M,1.928B,1.361B,,49.87M,-219.38M
2006-09,1.755B,1.033B,2.788B,582.88M,,,582.88M,58.00M,87.81M,136.38M,1.93M,268.12M,,,410.44M,142.47M,4.192B,,,,,,,6.321B,-2.674B,3.648B,,947.24M,947.24M,,,564.55M,5.159B,9.352B,299.05M,299.05M,1.322B,1.621B,,,37.88M,,37.88M,837.01M,837.01M,,,2.496B,6.525B,414.41M,6.939B,,,,,,281.16M,7.221B,9.716B,4.90M,-931.26M,1.905B,1.361B,,17.23M,-364.89M
2006-06,1.864B,855.97M,2.720B,573.16M,,,573.16M,68.02M,63.49M,125.21M,7.073M,250.10M,,,290.42M,130.30M,3.964B,,,,,,,6.074B,-2.489B,3.586B,,208.31M,208.31M,,152.83M,1.194B,5.141B,9.105B,250.20M,250.20M,1.276B,1.526B,,,37.21M,,37.21M,811.08M,811.08M,,,2.374B,7.242B,,7.242B,,,,,,,7.242B,9.616B,4.897M,-1.071B,1.894B,1.361B,,21.64M,-511.50M
2006-03,1.880B,694.13M,2.574B,520.30M,,,520.30M,71.96M,54.51M,136.36M,0.502M,251.44M,,,336.51M,141.88M,3.824B,,,,,,,5.857B,-2.304B,3.553B,,965.77M,965.77M,,188.04M,403.93M,5.111B,8.935B,275.68M,275.68M,1.273B,1.548B,,,35.74M,,35.74M,801.83M,801.83M,,,2.386B,7.239B,,7.239B,,,,,,,7.239B,9.625B,4.894M,-1.240B,1.887B,1.361B,,18.04M,-690.40M
2005-12,615.67M,565.69M,1.181B,478.41M,,,478.41M,55.12M,34.64M,140.96M,0.803M,221.33M,,,397.08M,118.87M,2.397B,0.0,30.51M,163.47M,4.953B,,491.75M,5.639B,-2.124B,3.515B,,974.94M,974.94M,,206.15M,317.54M,5.013B,7.410B,239.79M,239.79M,1.116B,1.356B,,,36.47M,,36.47M,757.48M,757.48M,,,2.150B,6.127B,,6.127B,,,,,,,6.127B,8.277B,4.885M,-1.387B,1.861B,1.349B,,4.03M,-866.62M
2005-09,1.013B,504.99M,1.518B,471.01M,,,471.01M,77.67M,36.25M,132.09M,0.419M,236.32M,,,124.48M,154.40M,2.504B,,,,,,,5.165B,-1.976B,3.189B,,235.82M,235.82M,,514.97M,1.090B,5.029B,7.533B,290.42M,290.42M,1.129B,1.420B,,,45.94M,,45.94M,717.52M,717.52M,,,2.183B,5.467B,438.22M,5.905B,,,,,,230.03M,6.135B,8.318B,4.884M,-1.520B,1.866B,1.139B,,3.133M,-785.18M
2005-06,915.48M,476.47M,1.392B,468.82M,,,468.82M,52.09M,37.28M,151.73M,0.773M,232.56M,,,130.58M,134.18M,2.358B,,,,,,,4.919B,-1.823B,3.096B,,235.39M,235.39M,,,1.592B,4.923B,7.281B,254.47M,254.47M,1.059B,1.313B,,,48.70M,,48.70M,727.34M,727.34M,,,2.089B,5.467B,447.75M,5.915B,,,,,,249.70M,6.164B,8.254B,4.881M,-1.728B,1.861B,1.117B,,7.431M,-972.06M
2005-03,845.78M,386.49M,1.232B,454.96M,,214.07M,669.03M,58.10M,31.53M,180.98M,1.175M,262.87M,,,,157.80M,2.322B,,,,,,,4.656B,-1.695B,2.961B,,983.62M,983.62M,,,311.99M,4.257B,6.579B,255.66M,255.66M,1.110B,1.366B,,,52.09M,,52.09M,756.40M,756.40M,,,2.174B,5.471B,456.70M,5.928B,,,,,,306.88M,6.235B,8.409B,4.877M,-2.584B,1.776B,1.042B,,15.00M,-1.830B
2004-12,704.56M,451.07M,1.156B,478.31M,,106.00M,584.31M,68.14M,51.83M,159.35M,2.644M,271.58M,,,,101.78M,2.113B,0.0,29.58M,159.66M,2.059B,1.680B,273.15M,4.201B,-1.561B,2.640B,,240.19M,240.19M,,,1.036B,3.916B,6.029B,247.70M,247.70M,1.022B,1.270B,,,45.06M,,45.06M,757.30M,757.30M,,,2.072B,5.471B,286.67M,5.758B,,,,,,277.80M,6.036B,8.107B,4.874M,-2.901B,1.765B,1.00B,,53.42M,-2.078B
2004-09,951.70M,664.07M,1.616B,438.95M,,,438.95M,100.46M,17.61M,273.59M,3.283M,382.06M,,,,110.26M,2.547B,,,,,,,3.679B,-1.499B,2.180B,,739.33M,739.33M,,,703.52M,3.623B,6.170B,278.38M,278.38M,1.063B,1.341B,,,1.017B,,1.017B,691.79M,691.79M,,,3.050B,4.514B,,4.514B,,,,,,317.20M,4.831B,7.881B,4.862M,-2.516B,1.759B,1.00B,,41.32M,-1.711B
2004-06,688.86M,1.029B,1.718B,451.61M,,,451.61M,89.17M,15.70M,234.26M,2.356M,333.88M,,,,144.35M,2.648B,,,,,,,3.202B,-1.244B,1.958B,,,,,,1.431B,3.389B,6.037B,248.57M,248.57M,1.047B,1.296B,,,14.23M,,14.23M,699.10M,699.10M,,,2.009B,5.488B,,5.488B,,,,,,279.40M,5.768B,7.777B,4.86M,-2.618B,1.756B,912.86M,,30.37M,-1.740B
2004-03,1.037B,1.733B,2.770B,350.11M,,,350.11M,67.23M,14.06M,168.46M,2.46M,243.79M,,,,113.86M,3.478B,,,,,,,3.125B,-1.244B,1.881B,,,,,,1.079B,2.959B,6.437B,373.36M,373.36M,867.63M,1.241B,,,14.25M,,14.25M,603.06M,603.06M,,,1.858B,5.643B,,5.643B,,,,,,,5.643B,7.501B,4.849M,-2.703B,1.736B,209.70M,,109.11M,-1.064B
2003-12,1.291B,2.682B,3.973B,345.67M,,,345.67M,32.69M,9.577M,118.27M,1.373M,155.15M,,,,99.32M,4.573B,0.0,27.02M,147.19M,1.166B,1.693B,86.49M,3.120B,-1.244B,1.876B,,,,,,1.135B,3.012B,7.585B,173.64M,173.64M,845.47M,1.019B,,,1.438B,,1.438B,514.83M,514.83M,,,2.972B,5.499B,,5.499B,,,,,,145.93M,5.645B,8.618B,4.847M,-2.661B,1.734B,190.39M,,79.81M,-1.033B
2003-09,908.40M,2.141B,3.050B,339.75M,,106.00M,445.75M,31.01M,9.414M,113.21M,1.854M,148.71M,,,,72.00M,3.716B,,,,,,,2.867B,-952.27M,1.914B,,696.41M,696.41M,,,279.24M,2.890B,6.606B,338.02M,338.02M,913.26M,1.251B,,,13.98M,,13.98M,491.16M,491.16M,,,1.756B,5.623B,,5.623B,,,,,,136.79M,5.759B,7.516B,4.845M,-2.693B,1.736B,,,42.50M,-909.59M
2003-06,1.152B,1.521B,2.673B,325.13M,,106.00M,431.13M,36.37M,7.558M,111.04M,3.518M,151.82M,,,,59.66M,3.316B,,,,,,,2.877B,-952.27M,1.924B,,,,,,992.78M,2.917B,6.233B,321.50M,321.50M,894.46M,1.216B,,,13.50M,,13.50M,477.31M,477.31M,,,1.707B,5.359B,,5.359B,,,,,,96.73M,5.456B,7.162B,4.842M,-2.728B,1.733B,,,60.86M,-929.47M
2003-03,1.058B,1.413B,2.471B,319.61M,,106.00M,425.61M,38.72M,8.426M,129.20M,4.79M,174.75M,,,,51.62M,3.123B,,,,,,,2.884B,-952.27M,1.932B,,,,,,953.34M,2.885B,6.008B,278.53M,278.53M,908.36M,1.187B,,,13.45M,,13.45M,472.40M,472.40M,,,1.673B,5.358B,,5.358B,,,,,,96.94M,5.455B,7.128B,4.812M,-2.857B,1.709B,,,23.15M,-1.120B
2002-12,1.483B,1.204B,2.687B,329.02M,,,329.02M,25.87M,7.964M,121.26M,5.161M,150.29M,,,,47.21M,3.214B,0.0,14.24M,112.85M,1.096B,1.571B,121.69M,2.916B,-941.28M,1.975B,,,,,,1.073B,3.047B,6.261B,264.81M,264.81M,893.05M,1.158B,,,388.43M,,388.43M,443.76M,443.76M,,,1.990B,5.359B,,5.359B,,,,,,87.94M,5.447B,7.437B,4.809M,-2.885B,1.707B,,,-2.46M,-1.176B
2002-09,3.428B,817.74M,4.246B,327.34M,,106.00M,433.34M,35.24M,8.759M,118.31M,0.324M,156.41M,,,,69.25M,4.905B,,,,,,,2.674B,-646.46M,2.027B,,,,,,1.098B,3.125B,8.031B,280.39M,280.39M,859.70M,1.140B,,,14.93M,,14.93M,420.42M,420.42M,,,1.575B,5.906B,,5.906B,,,,,,91.10M,5.997B,7.572B,1.458B,-2.698B,1.771B,,1.453B,-71.94M,458.44M
2002-06,3.013B,1.338B,4.352B,319.39M,,106.00M,425.39M,44.17M,5.945M,109.95M,0.263M,153.31M,,,,72.81M,5.003B,,,,,,,2.647B,-646.46M,2.001B,,,,,,1.090B,3.091B,8.094B,336.37M,336.37M,830.58M,1.167B,,,15.38M,,15.38M,403.75M,403.75M,,,1.586B,,5.816B,5.816B,,,,,,,5.816B,7.402B,1.524B,-2.531B,1.742B,,1.520B,-44.08M,691.91M
2002-03,2.319B,2.003B,4.323B,292.51M,,106.00M,398.51M,51.89M,7.126M,122.25M,2.079M,178.15M,,,,77.70M,4.977B,,,,,,,2.596B,-646.46M,1.949B,,,,,,1.101B,3.050B,8.027B,237.78M,237.78M,916.68M,1.154B,,,14.72M,,14.72M,383.14M,383.14M,,,1.552B,5.721B,,5.721B,,,,,1.511B,105.04M,7.337B,8.889B,4.798M,-2.568B,1.740B,,,-39.86M,-862.53M
2001-12,1.678B,1.150B,2.828B,318.13M,,106.00M,424.13M,45.72M,7.924M,146.73M,3.611M,190.75M,,,,68.80M,3.512B,0.0,12.70M,94.32M,763.09M,1.218B,462.36M,2.550B,-646.46M,1.904B,,,,,,1.104B,3.008B,6.520B,254.87M,254.87M,859.29M,1.114B,,,14.78M,,14.78M,359.42M,359.42M,,,1.488B,5.706B,,5.706B,,,,,,102.61M,5.809B,7.297B,4.794M,-2.471B,1.710B,,,-21.86M,-777.77M
2001-09,1.204B,968.05M,2.172B,290.37M,,106.00M,396.37M,53.67M,8.986M,146.94M,2.26M,206.40M,,,,75.79M,2.850B,,,,,,,2.248B,-415.36M,1.833B,,,,,,1.076B,2.909B,5.759B,315.39M,315.39M,759.43M,1.075B,,,14.10M,,14.10M,354.91M,354.91M,,,1.444B,5.012B,,5.012B,,,,,,84.01M,5.096B,6.540B,4.792M,-2.428B,1.717B,,,-75.18M,-781.12M
2001-06,1.493B,823.31M,2.316B,273.69M,,106.00M,379.69M,42.44M,11.54M,103.78M,1.697M,150.32M,,,,60.86M,2.907B,,,,,,,2.131B,-415.36M,1.716B,,,,,,1.024B,2.740B,5.647B,186.52M,186.52M,734.92M,921.43M,,,15.79M,,15.79M,339.77M,339.77M,,,1.277B,5.013B,,5.013B,,,,,,80.63M,5.094B,6.371B,10.35M,-2.391B,1.710B,,5.578M,-53.74M,-724.37M
2001-03,801.08M,493.54M,1.295B,251.80M,,106.00M,357.80M,43.20M,6.178M,107.63M,1.465M,149.24M,,,,51.47M,1.853B,,,,,,,2.035B,-415.36M,1.620B,,,,,,1.021B,2.640B,4.493B,120.34M,120.34M,689.59M,809.93M,17.38M,,17.38M,,17.38M,330.00M,330.00M,,,1.157B,4.015B,,4.015B,,,,,,75.97M,4.091B,5.248B,14.71M,-2.393B,1.702B,,9.959M,-78.70M,-754.52M
2000-12,856.82M,607.36M,1.464B,278.61M,,106.00M,384.61M,40.25M,8.879M,119.46M,2.478M,161.16M,,,,50.83M,2.061B,0.0,10.08M,78.96M,336.03M,1.275B,226.45M,1.927B,-415.36M,1.511B,,,,,,1.065B,2.576B,4.637B,226.57M,226.57M,691.48M,918.05M,,,21.13M,,21.13M,283.90M,283.90M,,,1.223B,4.015B,,4.015B,,,,,,56.33M,4.071B,5.294B,15.69M,-2.255B,1.700B,,10.95M,-118.77M,-657.38M
2000-09,1.242B,378.23M,1.620B,227.34M,,106.00M,333.34M,58.85M,11.82M,126.79M,1.423M,190.20M,,,,42.21M,2.186B,,,,,,,1.783B,-369.70M,1.413B,,,,,,1.100B,2.513B,4.700B,238.86M,238.86M,557.01M,795.87M,,,17.14M,,17.14M,254.69M,254.69M,,,1.068B,4.024B,,4.024B,,,,,,24.68M,4.049B,5.117B,17.16M,-2.053B,1.697B,,12.43M,-77.89M,-417.17M
2000-06,486.15M,404.47M,890.62M,193.28M,,106.00M,299.28M,65.53M,13.00M,128.56M,1.247M,204.04M,,,,38.68M,1.433B,,,,,,,1.715B,-334.74M,1.380B,,,,,,1.008B,2.389B,3.821B,193.54M,193.54M,617.19M,810.74M,,,19.07M,,19.07M,232.77M,232.77M,,,1.063B,3.027B,,3.027B,,,,,,25.53M,3.052B,4.115B,17.28M,-1.922B,1.697B,,12.56M,-86.13M,-293.54M
2000-03,679.79M,371.12M,1.051B,173.74M,,106.00M,279.74M,61.77M,13.22M,80.91M,0.835M,152.49M,,,,47.35M,1.530B,,,,,,,1.638B,-300.22M,1.338B,,,,,,956.11M,2.294B,3.825B,171.48M,171.48M,545.57M,717.05M,,,20.98M,,20.98M,210.71M,210.71M,,,948.74M,3.027B,,3.027B,26.54M,,26.54M,,,,3.054B,4.003B,22.10M,-1.789B,1.691B,,17.41M,-102.61M,-177.86M
1999-12,905.30M,348.88M,1.254B,265.68M,,,265.68M,,,,,123.63M,,,,40.20M,1.684B,,,,,,,1.607B,-266.90M,1.340B,,,,,,874.56M,2.214B,3.898B,194.05M,194.05M,,194.05M,,,22.07M,,22.07M,,,,680.80M,896.91M,3.050B,,3.050B,,,,,,,3.050B,3.947B,50.02M,-1.603B,1.623B,,45.43M,-117.78M,-48.42M
1999-09,118.77M,79.98M,198.75M,154.75M,,106.00M,260.75M,22.67M,4.664M,58.94M,9.019M,90.42M,,,,44.46M,594.37M,0.0,6.564M,59.55M,216.76M,776.28M,537.55M,1.597B,-240.04M,1.357B,,,,,,856.91M,2.214B,2.808B,145.70M,145.70M,279.36M,425.07M,,,21.83M,,21.83M,160.75M,160.75M,,,607.64M,2.033B,,2.033B,,,,,,58.48M,2.091B,2.699B,53.72M,-1.383B,1.438B,,51.43M,,109.01M
1999-06,277.55M,107.74M,385.29M,115.94M,106.00M,,221.94M,,,3.617M,76.74M,75.46M,,,,21.90M,704.58M,0.0,6.564M,57.93M,210.14M,776.32M,514.16M,1.565B,-214.99M,1.350B,,,,,,848.70M,2.199B,2.903B,114.47M,114.47M,298.03M,412.50M,,,20.90M,,20.90M,148.51M,148.51M,,,581.91M,2.036B,,2.036B,,,,,,54.30M,2.090B,2.672B,107.63M,-1.256B,1.379B,,106.53M,,231.30M
1999-03,143.90M,202.13M,346.03M,106.74M,,106.00M,212.74M,,,2.785M,61.27M,59.17M,,,,30.87M,648.81M,,,,,,,1.053B,-191.90M,861.36M,,,,,,223.62M,1.085B,1.734B,93.82M,93.82M,212.01M,305.82M,,,22.76M,,22.76M,145.68M,145.68M,,,474.27M,2.003B,,2.003B,,,,,,77.64M,2.080B,2.555B,110.96M,-1.178B,245.93M,,110.50M,,-820.73M
1998-12,106.50M,,106.50M,107.20M,,,107.20M,,,,,76.70M,,,,247.40M,537.80M,,,,,,,1.045B,-167.80M,876.90M,,,,,,392.20M,1.269B,1.807B,90.60M,90.60M,,90.60M,,,22.70M,,22.70M,,,,317.50M,430.80M,1.522B,,1.522B,,,,,,,1.522B,1.952B,355.50M,-733.10M,,,355.50M,,-145.50M
1998-09,207.86M,153.55M,361.40M,83.89M,,,83.89M,,,2.505M,83.68M,81.97M,,,,29.10M,556.37M,0.0,6.563M,67.20M,155.24M,775.89M,20.40M,1.025B,-144.11M,881.17M,,,,,,376.76M,1.258B,1.814B,91.40M,91.40M,134.67M,226.06M,,,21.06M,,21.06M,113.30M,113.30M,,,360.42M,1.459B,,1.459B,,,,,219.02M,28.10M,1.706B,2.067B,127.77M,-610.60M,230.30M,,127.31M,,-252.53M
1998-06,259.57M,131.29M,390.86M,95.07M,,,95.07M,,,1.959M,55.44M,53.54M,,,,18.05M,557.53M,0.0,6.67M,41.36M,108.55M,670.86M,285.69M,1.113B,-122.72M,990.40M,,,,,,315.33M,1.306B,1.863B,100.68M,100.68M,158.41M,259.08M,,,20.71M,,20.71M,109.43M,109.43M,,,389.22M,1.430B,,1.430B,,,,,212.20M,25.80M,1.668B,2.057B,125.68M,-549.72M,229.93M,,125.22M,,-194.12M
