,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2008-09,355.22M,294.43M,649.65M,124.16M,,,124.16M,31.85M,31.89M,9.214M,72.95M,8.424M,,20.04M,,875.23M,,,,,,,,113.30M,-31.10M,82.20M,228.73M,50.30M,279.03M,,61.36M,63.50M,486.10M,1.361B,31.04M,,31.04M,51.44M,82.47M,,,,400.13M,,400.13M,8.749M,8.749M,,491.35M,0.46M,,0.46M,,,,,,16.52M,16.98M,508.33M,,,,,,,,852.99M,852.99M
2008-06,132.97M,170.31M,303.28M,101.98M,,,101.98M,31.01M,29.74M,7.222M,67.97M,9.646M,,23.78M,,506.66M,,,,,,,,103.23M,-31.10M,72.12M,228.73M,53.01M,281.74M,,67.21M,64.95M,486.03M,992.68M,86.05M,,86.05M,,86.05M,,,,400.00M,,400.00M,,,,486.05M,14.88M,,14.88M,,,,,,,14.88M,500.93M,,,,,,,,491.75M,491.75M
2008-03,118.61M,156.69M,275.30M,91.41M,,,91.41M,25.32M,24.04M,5.462M,54.82M,9.961M,,33.17M,,464.66M,,,,,,,,86.14M,-31.10M,55.04M,228.73M,55.69M,284.42M,,66.04M,65.60M,471.09M,935.75M,27.40M,,27.40M,42.12M,69.52M,,,,400.01M,,400.01M,,,,469.52M,,,,,,,,,,15.14M,484.66M,,,,,,,,451.09M,451.09M
2007-12,174.94M,211.14M,386.08M,83.12M,,,83.12M,27.10M,20.32M,6.561M,53.98M,12.64M,,26.93M,,562.76M,0.0,,4.531M,72.85M,,,,77.38M,-31.10M,46.27M,228.73M,58.12M,286.85M,,80.24M,11.61M,424.98M,987.73M,24.31M,,24.31M,43.31M,67.62M,,,,0.016M,,0.016M,7.541M,7.541M,90.54M,165.72M,400.00M,,400.00M,,,,,,10.34M,410.34M,576.05M,0.628M,-382.98M,1.044B,251.62M,,1.183M,0.164M,1.347M,411.68M
2007-09,64.11M,288.74M,352.85M,79.89M,,,79.89M,20.09M,18.47M,6.687M,45.24M,8.948M,,,,486.93M,,,,,,,,59.48M,-20.15M,39.33M,249.23M,22.63M,271.86M,,,12.09M,323.28M,810.21M,22.50M,,22.50M,40.83M,63.33M,,,,0.025M,,0.025M,13.17M,13.17M,2.496M,79.02M,400.00M,,400.00M,,,,,,9.93M,409.93M,488.95M,,,,,,,,321.26M,321.26M
2007-06,81.12M,262.14M,343.26M,57.44M,,,57.44M,20.73M,16.30M,5.867M,42.90M,8.585M,,,,452.19M,,,,,,,,56.83M,-20.15M,36.68M,248.78M,23.30M,272.07M,,,12.63M,321.39M,773.57M,22.50M,,22.50M,44.76M,67.25M,,,,0.042M,,0.042M,9.315M,9.315M,,76.61M,400.00M,,400.00M,,,,,,10.13M,410.13M,486.74M,,,,,,,,286.84M,286.84M
2007-03,123.53M,203.29M,326.82M,53.13M,,,53.13M,16.72M,14.64M,4.975M,36.34M,8.248M,,,,424.54M,,,,,,,,52.95M,-20.15M,32.81M,248.54M,23.96M,272.50M,,,12.99M,318.30M,742.84M,20.02M,,20.02M,37.70M,57.71M,,,,0.067M,,0.067M,8.951M,8.951M,,66.73M,400.01M,,400.01M,,,,,,10.14M,410.15M,476.88M,,,,,,,,265.96M,265.96M
2006-12,38.39M,92.42M,130.80M,39.98M,,,39.98M,8.365M,8.907M,2.897M,20.17M,2.769M,,,,193.73M,0.0,,1.76M,44.02M,,,,45.78M,-20.15M,25.63M,2.125M,11.32M,13.44M,,,67.78M,106.86M,300.58M,9.853M,,9.853M,16.40M,26.25M,,,,0.063M,,0.063M,3.382M,3.382M,4.078M,33.78M,,,,6.987M,6.987M,,,,12.48M,19.47M,53.24M,0.469M,-104.62M,340.20M,,,0.601M,10.69M,11.29M,247.34M
2006-09,44.17M,125.78M,169.94M,29.04M,,,29.04M,7.379M,9.012M,3.006M,19.40M,2.519M,,,,220.90M,,,,,,,,39.77M,-14.38M,25.39M,2.125M,8.061M,10.19M,,,,35.57M,256.48M,10.61M,,10.61M,,10.61M,,,,0.094M,,0.094M,5.878M,5.878M,16.87M,33.46M,,,,,,,,,,11.95M,45.40M,,,,,,,,211.07M,211.07M
2006-06,152.25M,4.511M,156.76M,23.10M,,,23.10M,7.206M,7.987M,2.131M,17.32M,2.153M,,,,199.34M,,,,,,,,37.11M,-14.38M,22.73M,2.125M,6.76M,8.885M,,,,31.61M,230.95M,34.76M,,34.76M,,34.76M,,,,0.114M,,0.114M,,,,34.87M,,,,,,,,,,9.412M,44.28M,,,,,,,,186.67M,186.67M
