,NetIncome,Gain(Loss)onInvestmentSecurities,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2005-12,45.11M,,,0.636M,4.378M,4.378M,5.055M,,,,,10.31M,,,7.806M,,,-203.57M,-195.76M,-130.28M,-10.88M,-10.88M,,-71.13M,-267.56M,-349.56M,172.63M,,172.63M,,,11.81M,,-9.314M,,-13.49M,184.15M,881.13M,-295.69M,-0.071M,585.37M,,180.00M,-7.374M,,,
2005-09,44.72M,,,1.029M,5.758M,5.758M,-7.438M,,,,,19.21M,,,21.28M,,,-130.60M,88.31M,151.59M,-11.17M,-11.17M,,-3.53M,-154.01M,-223.82M,75.87M,,75.87M,,,3.927M,,-6.616M,,72.09M,227.56M,722.86M,155.33M,2.939M,881.13M,,81.46M,-5.589M,,,
2005-06,32.38M,,,-1.135M,3.599M,3.599M,0.00,,,,,12.36M,,,-2.805M,,,110.33M,107.52M,154.73M,-6.381M,-6.381M,,-6.524M,-86.92M,-99.82M,-11.98M,,-11.98M,,,3.755M,,-7.619M,,-158.79M,46.07M,667.61M,100.98M,0.744M,722.86M,,-11.40M,-0.576M,,,
2005-03,34.70M,0.529M,,0.299M,4.44M,4.44M,-6.506M,,,,,498.10M,,,-20.24M,,,-452.90M,-473.14M,57.90M,-9.219M,-9.219M,,17.22M,-118.92M,-110.92M,-14.55M,,-14.55M,,,7.542M,,-5.879M,,114.54M,101.65M,619.62M,48.64M,-0.638M,667.61M,,-13.90M,-0.647M,,,
2004-12,39.24M,-0.529M,,-0.299M,3.984M,3.984M,-1.357M,,,,,-470.80M,,,1.758M,,,473.17M,474.93M,45.70M,-3.388M,-3.388M,,13.22M,,9.83M,31.97M,,31.97M,,,7.727M,,-6.186M,,,33.52M,528.82M,89.04M,1.751M,619.62M,,35.30M,-3.326M,,,
2004-09,30.66M,77.22M,,80.38M,4.386M,4.386M,-2.049M,,,,,15.23M,,,21.51M,,,169.25M,-95.58M,33.04M,-5.003M,-5.003M,,-25.04M,,-179.34M,-14.40M,,-14.40M,,,1.291M,,-5.944M,,,-16.82M,669.41M,-163.13M,2.92M,482.35M,,45.04M,-59.45M,,,
2004-06,29.61M,-32.61M,,-33.24M,4.147M,4.147M,0.94M,,,,,6.246M,,,-11.14M,,,120.85M,109.72M,117.42M,-3.156M,-3.156M,,2.869M,,-0.287M,5.902M,,5.902M,,,2.591M,,-5.149M,,,3.344M,548.23M,120.48M,0.706M,669.41M,,11.45M,-5.547M,,,
2004-03,43.07M,-44.62M,,-44.78M,4.997M,4.997M,1.758M,,,,,8.627M,,,-14.09M,,,-47.82M,-61.91M,-48.24M,-7.148M,-7.148M,,22.38M,,15.23M,-13.66M,,-13.66M,,,5.395M,,-5.156M,,,-13.42M,594.31M,-46.44M,0.354M,548.23M,,27.02M,-40.68M,,,
2003-12,24.23M,,,-0.662M,3.297M,3.297M,-5.743M,,,,,15.35M,,,3.721M,,,-242.28M,-238.56M,-202.09M,-6.721M,-6.721M,,32.51M,,25.79M,35.60M,,35.60M,,,3.388M,,-4.415M,,,34.57M,734.63M,-141.73M,1.412M,594.31M,,40.94M,-5.339M,,,
2003-09,33.13M,,,106.22M,2.083M,2.083M,-0.745M,,,,,21.82M,,,2.571M,,,315.60M,318.18M,480.68M,-4.69M,-4.69M,,-21.13M,,-25.82M,-286.89M,,-286.89M,,,2.98M,,-4.265M,,,-288.18M,567.73M,166.68M,0.221M,734.63M,,-0.001M,-286.89M,,,
2003-06,23.56M,,,,6.382M,6.382M,-5.41M,,,,,1.693M,,,11.15M,,,-138.62M,-127.47M,-101.24M,-10.56M,-10.56M,,42.84M,,32.27M,160.13M,,160.13M,,,2.439M,,-4.448M,,,158.12M,474.99M,89.15M,3.585M,567.73M,,160.50M,-0.375M,,,
2003-03,15.19M,,,-0.526M,4.746M,4.746M,3.573M,,,,,13.91M,,,-10.95M,,,-238.64M,-100.95M,-64.06M,-7.407M,-7.407M,,49.19M,,41.79M,125.53M,,125.53M,,,-26.27M,,-4.491M,,,94.77M,397.25M,72.50M,5.241M,474.99M,,126.00M,-0.471M,,,
2002-12,14.43M,,,0.526M,5.133M,5.133M,-12.15M,,,,,16.50M,,,,,,,-148.64M,-124.19M,-6.113M,-6.113M,,38.77M,,32.65M,18.88M,,18.88M,,,3.573M,,-4.435M,,,18.02M,469.50M,-73.52M,1.271M,397.25M,,21.04M,-2.154M,,,
2002-09,22.00M,,,,5.355M,5.355M,-9.424M,,,,,27.18M,,,,,,,163.17M,224.02M,-7.591M,-7.591M,,-12.28M,,-19.87M,-142.83M,,-142.83M,,,-6.227M,,-4.318M,,,-153.38M,421.45M,50.77M,-2.718M,469.50M,,0.00,-142.83M,,,
2002-06,20.39M,,,,7.241M,7.241M,-2.384M,,,,,-1.123M,,,,,,,-16.06M,8.072M,-12.39M,-12.39M,,75.75M,,63.36M,-39.70M,,-39.70M,,,1.578M,,-5.061M,,,-43.18M,389.88M,28.25M,3.31M,421.45M,,2.077M,-41.78M,,,
2002-03,18.82M,,,,4.427M,4.427M,-1.323M,,,,,209.59M,,,,,,,-329.22M,-97.70M,-3.479M,-3.479M,,-24.70M,,-28.18M,165.61M,,165.61M,,,2.997M,,-4.331M,,,164.27M,353.11M,38.39M,-1.609M,389.88M,,167.31M,-1.707M,,,
2001-12,18.10M,,,,5.79M,5.79M,-2.786M,,,,,-192.13M,,,,,,,90.87M,-80.16M,-2.934M,-2.934M,,-24.35M,,-27.28M,4.059M,,4.059M,,,4.544M,,-4.798M,,,3.805M,458.47M,-103.63M,-1.726M,353.11M,,15.07M,-11.01M,,,
2001-09,12.63M,,,,9.946M,9.946M,-1.529M,,,,,51.39M,,,0.00,,,-622.88M,-622.88M,-654.20M,-4.819M,-4.819M,48.47M,15.42M,,10.60M,-31.90M,,-31.90M,,,0.672M,,-4.301M,,,-35.53M,1.954B,-679.12M,-2.196M,458.47M,,0.087M,-31.99M,,,
2001-06,28.93M,,,,6.894M,6.894M,18.14M,,,,,,,,-17.43M,,,-150.99M,-168.42M,-114.46M,-10.56M,-10.56M,0.30M,-5.609M,,-15.87M,0.084M,,0.084M,,,2.019M,,-4.614M,,,-2.511M,2.086B,-132.84M,0.849M,1.954B,,24.27M,-24.19M,,,
2001-03,22.66M,,,,9.073M,9.073M,-4.789M,,,,,-1.227M,,,15.44M,,,874.55M,152.43M,178.16M,-7.271M,-7.271M,-48.77M,-45.46M,,-101.50M,16.00M,27.33M,43.33M,,,2.675M,,-4.294M,,,41.71M,1.969B,118.37M,-1.664M,2.086B,,54.69M,-38.70M,,,
2000-12,32.18M,,,,5.346M,5.346M,-5.327M,,,,,1.227M,,,,,,,737.56M,770.99M,-4.425M,-4.425M,,68.62M,,64.19M,41.23M,-27.33M,13.90M,,,4.291M,,-4.22M,,,13.97M,1.120B,849.15M,0.643M,1.969B,,41.23M,,,,
2000-09,36.98M,,,,8.068M,8.068M,18.35M,,,,,-25.79M,,,-20.44M,,,187.59M,-62.60M,-25.05M,-20.26M,-20.26M,,-3.531M,,-23.79M,-2.238M,,-2.238M,,,2.576M,,-3.469M,,-0.556M,-3.687M,1.172B,-52.53M,-0.366M,1.120B,,3.368M,-5.606M,,,
2000-06,23.16M,,,,5.398M,5.398M,-24.42M,,,,,11.21M,,,10.12M,,,-203.49M,-193.37M,-178.01M,11.01M,11.01M,,3.356M,,14.36M,-96.68M,,-96.68M,,,1.161M,,-3.46M,,0.943M,-98.03M,1.435B,-261.68M,-0.445M,1.172B,,0.056M,-96.73M,,,
2000-03,38.25M,,,,4.988M,4.988M,2.468M,,,,,-11.83M,,,10.32M,,,15.90M,-341.08M,-307.20M,-2.806M,-2.806M,,,,-2.806M,85.68M,,85.68M,,,-2.44M,,-3.449M,,0.513M,80.30M,1.664B,-229.71M,,1.435B,,86.11M,-0.43M,,,
1999-12,26.80M,,,,5.40M,5.40M,-1.00M,,,,,0.70M,,,,,,,367.30M,399.20M,-8.20M,-8.20M,,,,-8.20M,-55.80M,,-55.80M,,,-20.40M,,-3.50M,,-0.90M,-80.60M,1.354B,310.40M,,1.664B,,51.40M,-107.20M,,,
1999-09,22.30M,,,,6.00M,6.00M,-1.90M,,,,,-36.90M,,,2.20M,,,218.50M,376.70M,367.70M,1.30M,1.30M,,,,-84.90M,-182.60M,,-182.60M,,,-1.70M,,-3.30M,,0.50M,-187.10M,1.258B,95.70M,,1.354B,,-167.70M,-14.90M,,,
1999-06,23.50M,,,,4.50M,4.50M,-3.40M,,,,,39.60M,,,2.50M,,,-270.70M,-268.20M,-204.00M,-11.60M,-11.60M,,,,-11.60M,-15.90M,,-15.90M,,,1.20M,,-3.30M,,-0.50M,-18.50M,1.492B,-234.10M,,1.258B,,90.20M,-106.10M,,,
1999-03,21.80M,,,,4.60M,4.60M,-1.50M,,,,,-7.50M,,,-4.70M,,,52.20M,-188.00M,-170.60M,-3.80M,-3.80M,,,,-3.80M,180.90M,,180.90M,,,-20.30M,,-3.30M,,0.50M,157.80M,0.00,-16.70M,,1.492B,,181.10M,-0.20M,,,
1998-12,17.50M,,,,4.90M,4.90M,,,,,,-0.60M,,,,,,,235.50M,257.30M,-6.40M,-6.40M,,,,-6.40M,19.90M,,19.90M,,,-1.70M,,-3.40M,,-0.40M,14.40M,1.244B,265.40M,,0.00,,20.00M,-0.10M,,,
1998-09,22.50M,19.40M,,19.20M,5.20M,5.20M,-2.30M,,,,,28.70M,,,10.10M,,,-103.90M,254.90M,328.20M,1.60M,1.60M,,,,-70.90M,-28.00M,,-28.00M,,,-3.50M,,-2.90M,,,-34.40M,0.00,223.00M,,1.244B,,-28.00M,0.00,,,
1998-06,22.80M,-18.40M,,-18.40M,4.20M,4.20M,0.20M,,,,,-30.30M,,,-5.70M,,,-17.80M,-23.50M,-45.00M,-21.20M,-21.20M,,,,-21.20M,52.90M,,52.90M,,,2.20M,,-2.90M,,,52.20M,0.00,-14.00M,,0.00,,53.00M,-0.10M,,,
