,NetIncome,GainandLossonSaleofPPE,NetForeignCurrencyExchangeGain/Loss,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,EndingCash(Quarterly),BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2006-09,135.79M,,,2.241M,,2.241M,,,110.24M,110.24M,27.39M,,0.00,7.433M,-1.03M,5.10M,,,175.82M,-13.41M,449.58M,2006-09,-113.19M,15.51M,-97.68M,,0.00,-1.786M,36.52M,-62.95M,2006-09,-265.19M,-10.10M,-275.29M,,,,,-30.55M,12.78M,0.777M,-292.28M,2006-09,79.59M,94.36M,5.188M,,2006-09,,-78.22M,-197.06M,,,AOR,Restated
2006-06,156.23M,,,-0.076M,,-0.076M,,,116.99M,116.99M,-49.92M,,-3.063M,8.116M,0.06M,4.402M,,,13.39M,1.415M,247.54M,2006-06,-114.57M,9.485M,-105.08M,,,0.51M,,-104.57M,2006-06,-103.63M,-4.066M,-107.70M,-13.99M,,-13.99M,,-33.89M,27.72M,0.193M,-127.66M,2006-06,59.29M,15.31M,4.993M,,2006-06,-13.99M,-40.63M,-67.06M,,,AOR,Restated
2006-03,-30.24M,,,0.217M,,0.217M,,,111.22M,111.22M,-2.997M,,3.063M,4.338M,-0.06M,3.301M,,,-111.77M,12.55M,-10.38M,2006-03,-87.12M,0.853M,-86.26M,,,0.499M,,-21.95M,2006-03,70.48M,1.051M,71.53M,13.99M,,13.99M,,-30.27M,,0.06M,54.42M,2006-03,39.41M,22.10M,-2.22M,,2006-03,13.99M,178.00M,-106.47M,,,AOR,Restated
2005-12,22.38M,,,1.32M,,-7.946M,,,111.35M,111.35M,-91.49M,,7.487M,-7.817M,,1.797M,,,149.54M,9.974M,217.73M,2005-12,-173.95M,37.25M,-136.71M,,0.00,2.519M,0.003M,-136.38M,2005-12,-50.21M,-162.30M,-212.50M,-53.43M,,-53.43M,,-27.51M,,94.96M,-141.08M,2005-12,97.44M,-59.73M,1.71M,,2005-12,-53.43M,-269.22M,56.71M,,,AOR,
2005-09,108.20M,,,5.284M,,5.284M,,,100.12M,100.12M,20.04M,,-2.919M,-3.911M,,4.411M,,,89.75M,10.40M,331.37M,2005-09,-91.01M,2.498M,-88.51M,,0.00,5.206M,-0.002M,-81.95M,2005-09,980.45M,-1.153B,-172.82M,1.472M,,1.472M,,-33.31M,,0.00,-194.84M,2005-09,43.92M,54.58M,-1.06M,,2005-09,1.472M,897.57M,-1.070B,,,AOR,Restated
2005-06,38.55M,,,1.537M,,1.537M,,,99.25M,99.25M,40.03M,,0.812M,18.07M,,6.06M,,,-277.61M,43.24M,-30.06M,2005-06,-73.37M,1.47M,-71.90M,,-16.56M,4.571M,-1.135M,-90.67M,2005-06,224.67M,-148.76M,75.91M,6.915M,,6.915M,,-32.41M,,0.00,71.31M,2005-06,94.09M,-49.43M,-0.746M,,2005-06,6.915M,64.81M,11.10M,,,AOR,Restated
2005-03,-34.18M,,,4.11M,,4.11M,,,82.10M,82.10M,8.363M,,5.736M,6.054M,,2.223M,,,-170.11M,-1.049M,-96.76M,2005-03,-67.72M,1.234M,-66.48M,,,4.795M,54.31M,-3.707M,2005-03,-387.21M,627.45M,240.24M,45.05M,,45.05M,,-27.29M,,-106.42M,75.84M,2005-03,123.01M,-24.62M,-4.296M,,2005-03,45.05M,1.543B,-1.303B,,,AOR,Restated
2004-12,55.72M,,,13.10M,,7.361M,,,,65.61M,6.215M,2.456M,-15.03M,,,16.22M,,,57.03M,,195.59M,2004-12,-80.54M,24.48M,-56.06M,,0.00,28.09M,-23.86M,-51.83M,2004-12,-129.13M,12.55M,-116.58M,12.86M,,12.86M,,-14.91M,,,-118.63M,2004-12,92.49M,25.13M,5.40M,,2004-12,12.86M,179.96M,-296.54M,,,,Restated
2004-09,64.14M,,,,,,,,,67.00M,-9.26M,-1.219M,,,,-1.219M,,,32.41M,,153.08M,2004-09,-55.76M,1.261M,-54.50M,,0.00,-3.31M,48.04M,-9.764M,2004-09,-88.90M,0.007M,-88.89M,9.854M,,9.854M,,-7.665M,,,-86.70M,2004-09,36.24M,56.62M,-0.374M,,2004-09,9.854M,-125.96M,37.07M,,,,Restated
2004-06,72.04M,0.341M,,-1.91M,,-1.569M,,,,66.32M,-1.563M,-0.059M,,,,-1.287M,,,-7.676M,,124.99M,2004-06,-38.03M,36.45M,-1.583M,,0.998M,-3.715M,-0.998M,-5.298M,2004-06,-100.36M,-14.84M,-115.20M,8.462M,,8.462M,,-5.306M,,,-112.04M,2004-06,27.54M,7.646M,1.056M,,2004-06,8.462M,-563.36M,448.16M,,,,Restated
2004-03,4.84M,-0.341M,,1.91M,,1.569M,,,,66.98M,10.82M,1.278M,0.00,,,2.506M,,,-61.74M,,26.25M,2004-03,-37.20M,9.87M,-27.33M,,-0.998M,7.025M,20.75M,-0.553M,2004-03,-37.53M,-6.477M,-44.01M,35.58M,,35.58M,,-9.872M,,,-18.29M,2004-03,19.44M,7.406M,0.695M,,2004-03,35.58M,689.32M,-733.33M,,,,Restated
2003-12,36.08M,,,,,6.184M,-174.53M,-5.371M,56.92M,56.92M,-15.21M,,,,,,,27.74M,100.31M,,186.91M,2003-12,-80.51M,0.785M,-79.73M,,,,5.239M,-64.42M,2003-12,,,-155.81M,0.928M,,0.928M,,-7.461M,,25.23M,-137.11M,2003-12,31.25M,-14.62M,2.811M,,2003-12,0.928M,,,,,,Restated
2003-09,61.43M,,,,,-3.381M,174.53M,5.371M,62.47M,62.47M,27.74M,,,,,,,32.16M,32.16M,,180.41M,2003-09,-52.11M,3.091M,-49.02M,,,,-2.494M,-51.51M,2003-09,,,-79.66M,1.45M,,1.45M,,-7.458M,,-25.23M,-110.90M,2003-09,12.76M,18.00M,0.481M,,2003-09,1.45M,,,,,,
2003-06,76.34M,,,,,5.443M,-56.32M,-1.006M,60.10M,60.10M,27.67M,,,,,,,-45.67M,-45.67M,,123.88M,2003-06,-52.07M,10.86M,-41.21M,,,,0.01M,-41.20M,2003-06,,,-72.18M,0.113M,,0.113M,,-7.451M,,,-79.52M,2003-06,9.035M,3.162M,0.568M,,2003-06,0.113M,,,,,,
2003-03,0.806M,,,,,-1.636M,56.32M,1.006M,57.33M,57.33M,13.30M,,,,,,,-32.18M,-32.18M,,37.62M,2003-03,-55.77M,1.67M,-54.10M,,,,-3.385M,-57.49M,2003-03,,,-22.41M,,,,,-7.45M,,,-29.86M,2003-03,59.17M,-49.72M,-0.408M,,2003-03,,,,,,,
2002-12,20.22M,,,,,4.127M,,,56.31M,56.31M,-5.109M,,,,,,,121.52M,-10.20M,,65.34M,2002-12,-94.68M,7.597M,-87.08M,,0.00,0.00,0.001M,-87.08M,2002-12,,,11.08M,4.493M,,4.493M,,-7.449M,,-3.947M,4.172M,2002-12,70.74M,-17.57M,5.989M,,2002-12,4.493M,,,,,,
2002-09,46.62M,,,,,0.286M,,,65.27M,65.27M,-0.261M,,,,,,,22.73M,22.73M,,134.64M,2002-09,-51.00M,6.602M,-44.40M,,0.00,0.00,-6.172M,-50.57M,2002-09,,,-144.86M,-0.229M,,-0.229M,,-7.424M,,-6.127M,-158.64M,2002-09,138.11M,-74.56M,7.203M,,2002-09,-0.229M,,,,,,
2002-06,67.62M,,,,,-0.964M,,,64.01M,64.01M,-0.645M,,,,,,,-44.20M,-44.20M,,85.82M,2002-06,-48.89M,13.16M,-35.73M,,1.048M,0.00,-14.54M,-49.22M,2002-06,,,-84.39M,8.035M,,8.035M,,-7.422M,,,-83.78M,2002-06,177.40M,-47.18M,7.882M,,2002-06,8.035M,,,,,,
2002-03,27.20M,,,,,-3.034M,,,44.71M,44.71M,3.196M,,,,,,,-99.33M,-99.33M,,-27.26M,2002-03,-44.98M,,-44.98M,,-1.588B,232.76M,3.10M,-1.397B,2002-03,,,1.534B,3.346M,,3.346M,,-7.374M,,,1.530B,2002-03,77.13M,105.18M,-4.915M,,2002-03,3.346M,,,,,,
2001-12,15.87M,,,,,-9.703M,,,31.09M,31.09M,-0.035M,,,,,,,-29.40M,-28.79M,,15.02M,2001-12,-86.63M,44.52M,-42.11M,,,19.82M,-1.367M,-23.66M,2001-12,,,78.31M,0.797M,-32.43M,-31.64M,,-7.374M,,-0.849M,38.45M,2001-12,47.54M,29.82M,-0.224M,,2001-12,0.797M,,,-32.43M,,,
2001-09,38.92M,,,,,-13.84M,,,29.98M,29.98M,-6.24M,,,,,,,63.67M,63.67M,,112.49M,2001-09,-67.40M,10.70M,-56.70M,,,-16.72M,-2.774M,-76.19M,2001-09,,,-26.76M,0.043M,-30.80M,-30.75M,,-7.597M,,-2.129M,-67.24M,2001-09,77.93M,-30.94M,0.552M,,2001-09,0.043M,,,-30.80M,,,
2001-06,49.85M,,,,,-10.20M,,,29.50M,29.50M,-12.78M,,,,,,,42.10M,42.10M,,98.46M,2001-06,-59.77M,8.313M,-51.45M,,,-11.42M,10.45M,-52.42M,2001-06,,,,0.649M,-3.062M,-2.413M,,-7.646M,,0.452M,-9.607M,2001-06,41.96M,36.44M,-0.471M,,2001-06,0.649M,,,-3.062M,,,
2001-03,18.33M,,,,,-4.939M,,,30.52M,30.52M,-0.122M,,,,,,,-76.37M,-76.37M,,-32.58M,2001-03,-30.75M,,-30.75M,,,48.17M,-61.89M,-44.48M,2001-03,,,,9.212M,-6.055M,3.157M,,-6.893M,,3.285M,-0.451M,2001-03,119.76M,-77.51M,-0.288M,,2001-03,9.212M,,,-6.055M,,,
2000-12,11.96M,,,,,39.61M,,,33.29M,33.29M,-14.87M,,,,,1.094M,,35.26M,55.58M,,126.67M,2000-12,-66.62M,1.859M,-64.76M,,,15.81M,-32.30M,-81.25M,2000-12,,,,5.187M,0.00,5.187M,,-6.844M,,1.233M,-0.424M,2000-12,74.81M,45.00M,-0.042M,,2000-12,5.187M,,,0.00,,,
2000-09,34.49M,,,,,-13.57M,,,31.83M,31.83M,15.04M,,,,,9.974M,,-51.77M,-51.77M,,26.00M,2000-09,-20.28M,0.046M,-20.24M,,,-253.19M,21.39M,-252.04M,2000-09,,,,5.428M,-11.14M,-5.71M,,-6.848M,,-3.468M,-16.03M,2000-09,316.88M,-242.07M,0.00,,2000-09,5.428M,,,-11.14M,,,
2000-06,48.34M,,,,,-9.959M,,,33.56M,33.56M,8.476M,,,,,,,25.66M,25.66M,,106.09M,2000-06,-41.15M,2.789M,-38.36M,,,70.02M,4.621M,36.28M,2000-06,,,,6.138M,-8.851M,-2.713M,,-6.811M,,,-9.524M,2000-06,184.23M,132.84M,-0.191M,,2000-06,6.138M,,,-8.851M,,,
2000-03,14.82M,,,,,-7.818M,,,30.60M,30.60M,-1.783M,,,,,,,-9.159M,-9.159M,,26.66M,2000-03,-26.28M,1.733M,-24.54M,,,18.80M,5.217M,-0.525M,2000-03,,,,0.479M,,0.479M,,-6.061M,,,-5.582M,2000-03,163.81M,20.56M,-0.134M,,2000-03,0.479M,,,,,,
1999-12,12.24M,,,,,-12.44M,,,31.46M,31.46M,28.45M,,,,,,,30.00M,-7.179M,,52.53M,1999-12,-33.75M,2.78M,-30.97M,,,13.09M,7.339M,-10.54M,1999-12,,,0.00,0.314M,-7.414M,-7.10M,,-6.059M,,-3.791M,-16.95M,1999-12,137.32M,25.04M,1.445M,,1999-12,0.314M,,,-7.414M,,,
1999-09,21.84M,,,,,-3.576M,,,27.94M,27.94M,-2.205M,,,,,,,-22.75M,-22.75M,,21.24M,1999-09,-21.37M,0.831M,-20.54M,,,-71.98M,12.27M,-80.25M,1999-09,,,-15.00M,0.477M,0.00,0.477M,,-6.079M,,1.593M,-19.01M,1999-09,215.40M,-78.02M,-0.067M,,1999-09,0.477M,,,0.00,,,
1999-06,46.23M,,,,,-7.266M,,,33.79M,33.79M,-1.392M,,,,,,,63.05M,63.05M,,134.42M,1999-06,-50.89M,0.029M,-50.86M,,,10.88M,4.72M,-35.26M,1999-06,,,-10.00M,1.996M,-9.812M,-7.816M,,-6.08M,,1.021M,-22.88M,1999-06,139.06M,76.28M,0.067M,,1999-06,1.996M,,,-9.812M,,,
1999-03,11.98M,,,,,-6.437M,,,30.57M,30.57M,-4.218M,,,,,,,-70.30M,-70.30M,,-38.40M,1999-03,-28.37M,0.181M,-28.18M,,,58.96M,4.518M,35.29M,1999-03,,,-15.00M,6.941M,-3.496M,3.445M,,-5.527M,,-0.515M,-17.60M,1999-03,160.04M,-20.71M,-0.269M,,1999-03,6.941M,,,-3.496M,,,
1998-12,9.379M,,,,,-12.02M,,,29.15M,29.15M,-1.842M,,,,,,,-1.733M,19.56M,,44.23M,1998-12,-42.09M,0.185M,-41.90M,,,-39.92M,4.433M,-77.38M,1998-12,,,0.00,3.342M,-0.687M,2.655M,,-5.517M,,-0.991M,-3.853M,1998-12,197.20M,-37.01M,-0.148M,,1998-12,3.342M,,,-0.687M,,,
1998-09,9.081M,,,,,12.08M,,,28.90M,28.90M,-3.75M,,,,,,,-5.048M,-5.048M,,41.26M,1998-09,-24.98M,1.675M,-23.30M,,,-21.55M,8.43M,-36.42M,1998-09,,,0.00,3.667M,-1.33M,2.337M,,-5.456M,,2.207M,-0.912M,1998-09,192.90M,3.927M,0.363M,,1998-09,3.667M,,,-1.33M,,,
1998-06,39.54M,,,,,-8.963M,,,29.31M,29.31M,-2.145M,,,,,,,15.56M,15.56M,,73.30M,1998-06,-21.50M,0.344M,-21.15M,,,19.21M,4.292M,2.349M,1998-06,,,-27.50M,1.665M,-2.885M,-1.22M,,-5.443M,,0.627M,-33.54M,1998-06,150.76M,42.11M,0.029M,,1998-06,1.665M,,,-2.885M,,,
