,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,SECFilingLinks,Restated
2007-02,763.00M,,,-48.00M,,,140.00M,140.00M,111.00M,,,,62.00M,571.00M,2.047B,,-2.275B,,-64.00M,192.00M,471.00M,1.499B,,2007-02,-213.00M,,-213.00M,0.00,-1.062B,29.00M,,2007-02,,4.00M,26.00M,-115.00M,-89.00M,,-49.00M,-102.00M,-236.00M,,1.208B,17.00M,-20.00M,1.205B,2007-02,26.00M,,,-115.00M,,2007-02,
2006-11,150.00M,,,23.00M,,,123.00M,123.00M,-1.00M,,,,-8.00M,-626.00M,-2.049B,,2.364B,,191.00M,136.00M,16.00M,303.00M,,2006-11,-221.00M,,-221.00M,0.00,6.00M,-20.00M,,2006-11,,-23.00M,74.00M,-22.00M,52.00M,,-47.00M,65.00M,47.00M,,1.104B,115.00M,-11.00M,1.208B,2006-11,74.00M,,,-22.00M,,2006-11,
2006-08,230.00M,,,6.00M,,,125.00M,125.00M,-12.00M,,,,29.00M,-49.00M,-205.00M,,432.00M,,128.00M,-1.00M,305.00M,683.00M,,2006-08,-145.00M,,-145.00M,-13.00M,14.00M,-19.00M,,2006-08,,16.00M,28.00M,-224.00M,-196.00M,,-40.00M,33.00M,-187.00M,,772.00M,333.00M,-1.00M,1.104B,2006-08,28.00M,,,-224.00M,,2006-08,
2006-05,234.00M,,,8.00M,,,121.00M,121.00M,-16.00M,,,,20.00M,34.00M,-343.00M,,-201.00M,,-391.00M,-189.00M,-1.09B,-723.00M,,2006-05,-154.00M,,-154.00M,-408.00M,1.411B,15.00M,,2006-05,,15.00M,89.00M,-238.00M,-149.00M,,-38.00M,35.00M,-137.00M,,748.00M,4.00M,20.00M,772.00M,2006-05,89.00M,,,-238.00M,,2006-05,
2006-02,644.00M,,,-15.00M,,,123.00M,123.00M,-97.00M,,,,42.00M,462.00M,1.986B,,-2.102B,,371.00M,-54.00M,663.00M,1.36B,,2006-02,-151.00M,-42.00M,-193.00M,,-871.00M,-10.00M,,2006-02,,30.00M,64.00M,-338.00M,-274.00M,,-39.00M,-82.00M,-365.00M,,812.00M,-79.00M,15.00M,748.00M,2006-02,64.00M,,,-338.00M,,2006-02,
2005-11,138.00M,,,-28.00M,,,111.00M,111.00M,-23.00M,,,,39.00M,-492.00M,-2.058B,,2.562B,21.00M,99.00M,208.00M,340.00M,577.00M,,2005-11,-217.00M,0.00,-217.00M,,-71.00M,14.00M,,2005-11,,-4.00M,41.00M,-172.00M,-131.00M,,-39.00M,69.00M,-105.00M,,614.00M,198.00M,0.00,812.00M,2005-11,41.00M,,,-172.00M,,2005-11,
2005-08,188.00M,,,7.00M,,,113.00M,113.00M,-24.00M,,,,,-38.00M,35.00M,,-303.00M,-24.00M,268.00M,,-62.00M,222.00M,,2005-08,-175.00M,42.00M,-133.00M,,-70.00M,15.00M,,2005-08,,0.00,156.00M,-55.00M,101.00M,,-37.00M,41.00M,105.00M,,458.00M,139.00M,17.00M,614.00M,2005-08,156.00M,,,-55.00M,,2005-08,
2005-05,170.00M,,,33.00M,,,109.00M,109.00M,-7.00M,,,,,25.00M,-420.00M,,228.00M,3.00M,-560.00M,,-724.00M,-419.00M,,2005-05,-105.00M,,-105.00M,,880.00M,7.00M,,2005-05,,-59.00M,31.00M,-207.00M,-176.00M,,-36.00M,17.00M,-254.00M,,354.00M,109.00M,-5.00M,458.00M,2005-05,31.00M,,,-207.00M,,2005-05,
2005-02,522.00M,,,23.00M,,,128.00M,128.00M,-13.00M,,,,,366.00M,1.931B,,-2.136B,70.00M,117.00M,,541.00M,1.201B,,2005-02,-150.00M,,-150.00M,,-983.00M,-81.00M,,2005-02,,-6.00M,27.00M,-26.00M,1.00M,,-37.00M,-74.00M,-116.00M,,495.00M,-129.00M,-12.00M,354.00M,2005-02,27.00M,,,-26.00M,,2005-02,
2004-11,148.00M,,,-3.00M,,,125.00M,125.00M,-1.00M,,,,-2.00M,-411.00M,-1.779B,,2.251B,-7.00M,288.00M,,342.00M,609.00M,,2004-11,-150.00M,,-150.00M,,-805.00M,64.00M,,2004-11,,-2.00M,129.00M,-24.00M,105.00M,,-35.00M,34.00M,102.00M,,656.00M,-180.00M,19.00M,495.00M,2004-11,129.00M,,,-24.00M,,2004-11,
2004-08,150.00M,,,11.00M,,,103.00M,103.00M,-9.00M,,,,2.00M,43.00M,-60.00M,,75.00M,-16.00M,228.00M,,270.00M,527.00M,,2004-08,-117.00M,,-117.00M,,466.00M,-55.00M,,2004-08,,-358.00M,31.00M,-68.00M,-37.00M,,-33.00M,9.00M,-419.00M,,250.00M,402.00M,4.00M,656.00M,2004-08,31.00M,,,-68.00M,,2004-08,
2004-05,114.00M,,,14.00M,,,103.00M,103.00M,-5.00M,,,,,-28.00M,-332.00M,,157.00M,-47.00M,-332.00M,,-582.00M,-356.00M,,2004-05,-85.00M,,-85.00M,,535.00M,-61.00M,,2004-05,,-5.00M,69.00M,-82.00M,-13.00M,,-32.00M,24.00M,-26.00M,,245.00M,7.00M,-2.00M,250.00M,2004-05,69.00M,,,-82.00M,,2004-05,
2004-02,564.00M,,,-75.00M,,,102.00M,102.00M,0.00,,,,,335.00M,1.801B,,-1.991B,20.00M,1.00M,,409.00M,1.001B,,2004-02,-96.00M,,-96.00M,,,-22.00M,,2004-02,,-4.00M,20.00M,-40.00M,-20.00M,,,,-108.00M,,1.827B,-40.00M,-1.00M,245.00M,2004-02,20.00M,,,-40.00M,,2004-02,
2003-11,122.00M,,,7.00M,,,98.00M,98.00M,-5.00M,,,,,-374.00M,-1.759B,,1.883B,-3.00M,287.00M,,34.00M,256.00M,,2003-11,-157.00M,,-157.00M,,,-1.00M,,2003-11,,-5.00M,58.00M,-60.00M,-2.00M,,,,-7.00M,,1.734B,91.00M,2.00M,1.827B,2003-11,58.00M,,,-60.00M,,2003-11,
2003-08,139.00M,,,12.00M,,,87.00M,87.00M,-2.00M,,,,,0.00,-275.00M,15.00M,235.00M,-17.00M,193.00M,,151.00M,334.00M,,2003-08,-137.00M,,-137.00M,,,-1.00M,,2003-08,,-8.00M,31.00M,,31.00M,,,,73.00M,,1.466B,269.00M,-1.00M,1.734B,2003-08,31.00M,,,,,2003-08,
2003-05,-25.00M,,,94.00M,,,98.00M,98.00M,-7.00M,,,,,12.00M,-274.00M,-15.00M,145.00M,,-284.00M,,-416.00M,-256.00M,,2003-05,-155.00M,,-155.00M,,,7.00M,,2003-05,,,5.00M,,5.00M,,,,-45.00M,,1.914B,-449.00M,1.00M,1.466B,2003-05,5.00M,,,,,2003-05,
2003-02,834.00M,,,-445.00M,,,85.00M,85.00M,-23.00M,,,,,265.00M,1.356B,,-1.47B,11.00M,204.00M,,366.00M,896.00M,,2003-02,-127.00M,,-127.00M,3.00M,,5.00M,,2003-02,,2.00M,1.00M,,1.00M,,,,-12.00M,,1.149B,531.00M,,373.00M,2003-02,1.00M,,,,,2003-02,
2002-11,4.00M,,,121.00M,,,54.00M,54.00M,-14.00M,,,,,-345.00M,-1.258B,,1.587B,-5.00M,178.00M,,157.00M,164.00M,,2002-11,-159.00M,,-159.00M,-3.00M,,22.00M,,2002-11,,-3.00M,3.00M,,3.00M,,,,0.00,,1.119B,24.00M,,1.149B,2002-11,3.00M,,,,,2002-11,
2002-08,-286.00M,,,350.00M,,,86.00M,86.00M,,,,,-9.00M,-15.00M,16.00M,,-91.00M,-10.00M,66.00M,,-34.00M,107.00M,,2002-08,-264.00M,,-264.00M,,,23.00M,,2002-08,,8.00M,0.00,,0.00,,,,8.00M,,1.245B,-126.00M,,1.119B,2002-08,0.00,,,,,2002-08,
2002-05,70.00M,,,,,,85.00M,85.00M,,,,,9.00M,6.00M,-370.00M,,-31.00M,-17.00M,-220.00M,,-632.00M,-468.00M,,2002-05,-175.00M,,-175.00M,,,-1.00M,,2002-05,,-2.00M,36.00M,,36.00M,,,,34.00M,,1.855B,-610.00M,,1.245B,2002-05,36.00M,,,,,2002-05,
2002-02,350.00M,,,-48.00M,,,34.00M,34.00M,-37.00M,,,,,159.00M,1.193B,,-1.075B,4.00M,149.00M,,430.00M,495.00M,,2002-02,-150.00M,,-150.00M,-8.00M,,-1.00M,,2002-02,,674.00M,12.00M,,12.00M,,,,686.00M,,843.00M,1.022B,,1.861B,2002-02,12.00M,,,,,2002-02,
2001-11,80.00M,,,21.00M,,,77.00M,77.00M,35.00M,,,,,-131.00M,-1.192B,,1.365B,-20.00M,161.00M,,183.00M,396.00M,,2001-11,-174.00M,,-174.00M,-360.00M,,18.00M,,2001-11,,-5.00M,7.00M,,7.00M,,,,2.00M,,961.00M,-118.00M,,843.00M,2001-11,7.00M,,,,,2001-11,
2001-08,85.00M,,,19.00M,,,67.00M,67.00M,14.00M,,,,,-43.00M,-111.00M,,236.00M,5.00M,199.00M,,286.00M,471.00M,,2001-08,-142.00M,,-142.00M,,,4.00M,,2001-08,,152.00M,10.00M,,10.00M,,,,162.00M,,466.00M,495.00M,,961.00M,2001-08,10.00M,,,,,2001-08,
2001-05,55.00M,,,8.00M,,,67.00M,67.00M,3.00M,,,,,16.00M,-214.00M,,49.00M,-13.00M,-60.00M,,-222.00M,-89.00M,,2001-05,-115.00M,,-115.00M,,,4.00M,,2001-05,,-100.00M,19.00M,,19.00M,,,,-81.00M,,747.00M,-281.00M,,466.00M,2001-05,19.00M,,,,,2001-05,
2001-02,194.83M,,,,,,48.04M,48.04M,,,,,,228.81M,959.12M,,-1.010B,3.45M,108.47M,,289.52M,528.39M,,2001-02,-186.49M,,-186.49M,,,0.024M,,2001-02,,-3.854M,1.855M,,1.855M,,,,-1.999M,,728.80M,13.93M,,743.00M,2001-02,1.855M,,,,,2001-02,
2000-11,57.26M,,,,,,44.50M,44.50M,,,,,,-225.74M,-871.05M,,1.005B,-10.50M,85.53M,,-17.19M,84.57M,,2000-11,-204.21M,,-204.21M,,,3.921M,,2000-11,,-2.046M,1.537M,,1.537M,,,,-0.509M,,845.02M,-116.22M,,728.80M,2000-11,1.537M,,,,,2000-11,
2000-08,76.75M,,,,,,38.68M,38.68M,,,,,,0.832M,-142.30M,,255.56M,16.01M,38.89M,,168.98M,284.42M,,2000-08,-186.90M,,-186.90M,,,-14.03M,,2000-08,,-9.25M,5.394M,,5.394M,,,,-3.856M,,765.39M,79.63M,,845.02M,2000-08,5.394M,,,,,2000-08,
2000-05,72.16M,,,,,,33.78M,33.78M,,,,,,-12.91M,-130.77M,,-90.80M,-24.96M,59.12M,,-200.32M,-94.38M,,2000-05,-79.40M,,-79.40M,,,-35.92M,,2000-05,,-1.85M,226.21M,,226.21M,,,,224.36M,,750.72M,14.66M,,765.39M,2000-05,226.21M,,,,,2000-05,
2000-02,163.77M,,,,,,38.44M,38.44M,,,,,-0.20M,194.20M,898.88M,,-756.31M,-3.405M,53.14M,,386.52M,588.53M,,2000-02,-105.42M,,-105.42M,,,-8.79M,,2000-02,,-2.046M,2.429M,-238.75M,-236.32M,,,-0.10M,-238.47M,,514.80M,235.85M,,750.72M,2000-02,2.429M,,,-238.75M,,2000-02,
1999-11,78.40M,,,,,,25.00M,25.00M,,,,,0.10M,-205.00M,-794.90M,,1.011B,-5.30M,114.80M,,120.90M,224.40M,,1999-11,-110.90M,,-110.90M,,,-10.60M,,1999-11,,-3.10M,2.70M,-61.20M,-58.50M,,,0.10M,-61.50M,,473.40M,41.40M,,514.80M,1999-11,2.70M,,,-61.20M,,1999-11,
1999-08,58.10M,,,,,,22.50M,22.50M,,,,,0.10M,-32.80M,-176.30M,,191.60M,-1.40M,63.90M,,45.00M,125.70M,,1999-08,-107.80M,,-107.80M,,,-6.40M,,1999-08,,-21.80M,18.00M,-45.10M,-27.10M,,,,-48.90M,,510.90M,-37.40M,,473.40M,1999-08,18.00M,,,-45.10M,,1999-08,
1999-05,46.80M,,,,,,23.60M,23.60M,,,,,,-13.30M,-65.00M,,-144.40M,-0.90M,-25.20M,,-248.80M,-178.40M,,1999-05,-36.90M,,-36.90M,,,-13.30M,,1999-05,,-3.00M,9.10M,-52.40M,-43.30M,,,,-46.30M,,785.80M,-274.90M,,510.90M,1999-05,9.10M,,,-52.40M,,1999-05,
1999-02,108.78M,,,,,,21.97M,21.97M,,,,,0.10M,146.10M,638.52M,,-522.31M,-0.751M,63.02M,,324.58M,455.43M,,1999-02,-70.70M,,-70.70M,,,-13.47M,,1999-02,,-3.396M,8.544M,0.038M,8.582M,,,-0.10M,5.086M,,409.40M,376.35M,,785.78M,1999-02,8.544M,,,0.038M,,1999-02,
1998-11,47.60M,,,,,,20.10M,20.10M,,,,,0.00,-137.80M,-516.90M,,699.20M,-14.90M,90.50M,,120.10M,187.80M,,1998-11,-63.90M,,-63.90M,,,-27.00M,,1998-11,,-178.70M,2.00M,-2.50M,-0.50M,,,0.20M,-179.00M,,491.60M,-82.10M,,409.40M,1998-11,2.00M,,,-2.50M,,1998-11,
1998-08,44.20M,,,,,,18.70M,18.70M,,,,,-0.30M,-65.10M,-66.80M,,131.60M,7.10M,41.70M,,48.50M,111.10M,,1998-08,-19.00M,,-19.00M,,,-22.10M,,1998-08,,20.40M,3.90M,,3.90M,,,-0.10M,24.20M,,0.00,94.20M,,491.60M,1998-08,3.90M,,,,,1998-08,
