,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,AsOriginallyReported,Restated
2001-05,3.697B,3.697B,2.851B,846.00M,756.00M,,,,756.00M,90.00M,,,,,91.00M,36.00M,55.00M,,,,55.00M,55.00M,157.00M,67.00M,90.00M,0.1157,0.00,,0.1157,0.1157,0.1157,0.00,,0.1157,0.1157,469.72M,479.91M,,,
2001-02,5.324B,5.324B,4.372B,951.66M,766.50M,,,,649.54M,302.12M,,,,,314.93M,120.10M,194.83M,,,,189.83M,194.83M,350.16M,48.04M,302.12M,0.4114,-0.0107,,0.4114,0.4007,0.4085,-0.0133,,0.4085,0.3951,463.66M,481.92M,,,
2000-11,3.732B,3.732B,2.999B,733.54M,604.03M,,,,648.52M,85.01M,,,,,92.76M,35.50M,57.26M,,,,57.26M,57.26M,129.51M,44.50M,85.01M,0.1246,0.00,,0.1246,0.1246,0.1201,0.00,,0.1201,0.1201,466.82M,478.79M,,,
2000-08,3.169B,3.169B,2.482B,687.43M,533.40M,,,,572.08M,115.35M,,,,,124.35M,47.60M,76.75M,,,,76.75M,76.75M,154.04M,38.68M,115.35M,0.1646,0.00,,0.1646,0.1646,0.1602,0.00,,0.1602,0.1602,465.54M,479.98M,,,
2000-05,2.964B,2.964B,2.324B,639.38M,497.08M,,,,530.86M,108.52M,,,,,116.96M,44.80M,72.16M,,,,72.16M,72.16M,142.30M,33.78M,108.52M,0.1557,0.00,,0.1557,0.1557,0.1513,0.00,,0.1513,0.1513,458.62M,475.45M,,,
2000-02,4.315B,4.315B,3.466B,848.97M,555.17M,,,,593.61M,255.36M,,,,,265.47M,101.70M,163.77M,,,,163.77M,163.77M,293.80M,38.44M,255.36M,0.3559,0.00,,0.3559,0.3559,0.3426,0.00,,0.3426,0.3426,462.53M,474.06M,,,
1999-11,3.107B,3.107B,2.492B,615.30M,467.80M,,,,492.80M,122.50M,,,,,127.10M,48.70M,78.40M,,,,78.40M,78.40M,147.50M,25.00M,122.50M,0.1691,0.00,,0.1691,0.1691,0.1646,0.00,,0.1646,0.1646,463.75M,476.28M,,,
1999-08,2.687B,2.687B,2.134B,553.00M,440.90M,,,,463.40M,89.60M,,,,,93.90M,35.80M,58.10M,,,,58.10M,58.10M,112.10M,22.50M,89.60M,0.1246,0.00,,0.1246,0.1246,0.1201,0.00,,0.1201,0.1201,466.41M,483.68M,,,
1999-05,2.385B,2.385B,1.900B,485.60M,390.30M,4.40M,,,413.90M,71.70M,,,4.40M,,76.10M,29.30M,46.80M,,,,46.80M,44.09M,95.30M,23.60M,71.70M,0.1023,0.00,,0.0964,0.1023,0.0979,0.00,,0.0922,0.0979,457.37M,478.16M,,,
1999-02,3.456B,3.456B,2.819B,637.39M,445.58M,,,,467.55M,169.84M,,,,,176.88M,68.10M,108.78M,,,,108.78M,108.78M,191.81M,21.97M,169.84M,0.2447,0.00,,0.2447,0.2447,0.2269,0.00,,0.2269,0.2269,448.47M,494.13M,,,
1998-11,2.492B,2.492B,2.028B,464.30M,354.00M,,,,374.10M,90.20M,,,,,87.00M,33.50M,53.50M,,,,53.50M,53.50M,110.30M,20.10M,90.20M,0.1201,0.00,,0.1201,0.1201,0.1112,0.00,,0.1112,0.1112,445.39M,481.02M,,,
1998-08,2.182B,2.182B,1.753B,429.00M,337.60M,,,,356.30M,72.70M,,,,,71.80M,27.70M,44.10M,,,,44.10M,44.10M,91.40M,18.70M,72.70M,0.0979,0.00,,0.0979,0.0979,0.0934,0.00,,0.0934,0.0934,450.57M,472.03M,,,
1998-05,1.944B,1.944B,1.572B,371.90M,326.20M,,,,343.80M,28.10M,,,,,25.50M,9.80M,15.70M,,,,15.70M,15.70M,45.70M,17.60M,28.10M,0.0356,0.00,,0.0356,0.0356,0.0356,0.00,,0.0356,0.0356,441.12M,441.12M,,,
