,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2002-04,150.83M,150.83M,68.81M,82.02M,51.78M,0.581M,,,,51.78M,30.24M,,,0.581M,,26.23M,8.916M,17.31M,0.143M,,17.46M,16.93M,33.77M,3.536M,30.24M,,0.275,0.00,,,0.2689,0.28,,0.27,0.00,,,0.2640,0.275,,62.43M,63.98M,0.0413,,,
2002-01,146.52M,146.52M,67.97M,78.55M,53.61M,1.963M,,,,53.61M,24.94M,,,1.963M,,22.27M,7.575M,14.70M,-0.187M,,-11.46M,13.40M,28.97M,4.026M,24.94M,,0.1175,-0.21,,-0.2095,0.1070,-0.0925,,0.115,-0.21,,-0.2095,0.1048,-0.0925,,123.95M,127.30M,0.0413,,,
2001-10,140.49M,140.49M,54.96M,85.53M,53.96M,2.321M,,,,53.96M,31.57M,,,2.321M,,28.91M,10.25M,18.66M,,,17.08M,17.16M,38.58M,7.008M,31.57M,,-0.16,-0.015,,,-0.1844,-0.175,,-0.16,-0.015,,,-0.1837,-0.175,,61.44M,63.19M,0.0375,,,
2001-07,137.97M,137.97M,64.15M,73.82M,50.52M,0.397M,,,,50.52M,23.30M,,,0.397M,,20.46M,7.328M,13.13M,,,13.13M,12.88M,29.92M,6.619M,23.30M,,0.215,0.00,,,0.2109,0.215,,0.205,0.00,,,0.2010,0.205,,61.68M,63.45M,0.0375,,,
2001-04,146.83M,146.83M,72.92M,73.90M,51.53M,0.731M,,,1.753M,51.53M,22.37M,,,0.731M,,21.26M,7.40M,13.86M,,,13.86M,13.39M,28.85M,6.481M,22.37M,,0.225,0.00,,,0.2172,0.225,,0.22,0.00,,,0.2124,0.22,,61.39M,62.94M,0.0375,,,
2001-01,137.66M,137.66M,61.32M,76.34M,47.88M,0.467M,,,,54.48M,21.86M,,,0.467M,,18.23M,6.472M,11.76M,,,11.76M,11.46M,28.46M,6.601M,21.86M,,0.19,0.00,,,0.1851,0.19,,0.19,0.00,,,0.1852,0.19,,61.23M,62.59M,0.0375,,,
2000-10,147.00M,147.00M,67.99M,79.01M,45.91M,0.555M,,,,52.30M,26.71M,,,0.555M,,22.95M,8.078M,14.87M,,,14.87M,14.51M,33.10M,6.388M,26.71M,,0.2430,,,,0.2371,0.2430,,0.2430,,,,0.2371,0.2430,,61.20M,61.20M,0.035,,,
2000-07,124.58M,124.58M,54.80M,69.78M,43.20M,0.127M,,,,49.01M,20.77M,,,0.127M,,17.13M,6.025M,11.10M,,,11.10M,11.02M,26.58M,5.807M,20.77M,,0.09,0.00,,,0.0893,0.09,,0.09,0.00,,,0.0893,0.09,,122.01M,124.75M,0.035,,,
2000-04,122.78M,122.78M,52.28M,70.50M,41.42M,0.306M,,,,47.02M,23.48M,,,0.306M,,20.96M,7.338M,13.63M,,,13.63M,13.43M,29.08M,5.603M,23.48M,,0.225,0.00,,,0.2217,0.225,,0.22,0.00,,,0.2168,0.22,,60.87M,62.32M,0.035,,,
2000-01,109.50M,109.50M,47.60M,61.90M,40.10M,0.20M,,,,44.60M,17.30M,,,0.20M,,14.90M,5.20M,9.70M,,,9.70M,9.570M,21.80M,4.50M,17.30M,,0.1599,,,,0.1578,0.1599,,0.1554,,,,0.1533,0.1554,,60.65M,62.43M,0.035,,,
1999-10,113.70M,113.70M,49.80M,63.90M,36.50M,1.10M,,,,40.60M,23.30M,,,1.10M,,22.30M,7.70M,14.60M,,,14.60M,13.88M,27.40M,4.10M,23.30M,,0.2411,,,,0.2292,0.2411,,0.2411,,,,0.2292,0.2411,,60.56M,60.56M,0.0325,,,
1999-07,104.10M,104.10M,45.70M,58.40M,33.10M,0.20M,,,,37.20M,21.20M,,,0.20M,,19.60M,6.80M,12.80M,,,12.80M,12.67M,25.30M,4.10M,21.20M,,0.105,0.00,,,0.1028,0.105,,0.1025,0.00,,,0.1003,0.1025,,60.61M,60.61M,0.0325,,,
1999-04,100.45M,100.45M,43.70M,56.75M,32.70M,,,,,36.60M,20.15M,,,,,18.40M,6.40M,12.00M,,,12.00M,12.00M,24.05M,3.90M,20.15M,,0.10,0.00,,,0.10,0.10,,0.0975,0.00,,,0.0975,0.0975,,60.44M,60.44M,0.0325,,,
1999-01,89.10M,89.10M,41.50M,47.60M,30.10M,0.20M,,,,34.00M,13.60M,,,0.20M,,11.80M,4.00M,7.80M,,,7.80M,7.668M,17.50M,3.90M,13.60M,,0.065,0.00,,,0.0628,0.065,,0.065,0.00,,,0.0628,0.065,,60.54M,60.54M,0.0325,,,
1998-10,105.70M,105.70M,53.10M,52.60M,36.10M,0.70M,,,,39.90M,12.70M,,,0.70M,,11.20M,3.80M,7.40M,,,7.40M,6.938M,16.50M,3.80M,12.70M,,0.1219,,,,0.1143,0.1219,,0.1219,,,,0.1143,0.1219,,60.69M,60.69M,0.03,,,
1998-07,97.40M,97.40M,45.30M,52.10M,30.30M,0.10M,,,,34.10M,18.00M,,,0.10M,,16.10M,5.50M,10.60M,,,10.60M,10.53M,21.80M,3.80M,18.00M,,0.085,0.00,,,0.0839,0.085,,0.0825,0.00,,,0.0814,0.0825,,62.57M,62.57M,0.03,,,
1998-04,96.00M,96.00M,44.10M,51.90M,30.70M,0.20M,,,,34.20M,17.70M,,,0.20M,,16.10M,5.50M,10.60M,,,10.60M,10.47M,21.20M,3.50M,17.70M,,0.085,0.00,,,0.0829,0.085,,0.0825,0.00,,,0.0804,0.0825,,62.51M,62.51M,0.03,,,
1998-01,90.10M,90.10M,41.30M,48.80M,27.70M,0.40M,,,,31.00M,17.80M,,,0.40M,,16.30M,5.60M,10.70M,,,10.70M,10.44M,21.10M,3.30M,17.80M,,0.0875,0.00,,,0.0833,0.0875,,0.085,0.00,,,0.0808,0.085,,62.15M,62.15M,0.03,,,
1997-10,87.50M,87.50M,33.90M,53.60M,26.90M,-0.30M,,,,38.30M,15.30M,,,-0.30M,,13.30M,4.50M,8.80M,,,8.80M,8.998M,15.30M,,15.30M,,0.1423,,,,0.1455,0.1423,,0.1423,,,,0.1455,0.1423,,61.84M,61.84M,0.03,,,
1997-07,88.50M,88.50M,43.70M,44.80M,25.40M,0.10M,,,,25.40M,19.40M,,,0.10M,,17.70M,6.10M,11.60M,,,11.60M,11.53M,19.40M,,19.40M,,0.0475,0.00,,,0.0464,0.0475,,0.0462,0.00,,,0.0452,0.0462,,61.75M,61.75M,0.0225,,,
1997-04,67.00M,67.00M,30.00M,37.00M,20.50M,0.20M,,,,20.50M,16.50M,,,0.20M,,15.40M,5.30M,10.10M,,,10.10M,9.969M,16.50M,,16.50M,,0.0425,0.00,,,0.0404,0.0425,,0.04,0.00,,,0.0379,0.04,,61.17M,61.17M,0.0225,,,
1997-01,55.10M,55.10M,23.10M,32.00M,19.60M,0.20M,,,,22.20M,9.80M,,,0.20M,,8.70M,2.90M,5.80M,,,5.80M,5.667M,12.40M,2.60M,9.80M,,0.0238,0.00,,,0.0216,0.0238,,0.0238,0.00,,,0.0216,0.0238,,60.82M,60.82M,0.0225,,,
1996-10,65.80M,65.80M,23.00M,42.80M,21.30M,0.20M,,,,29.20M,13.60M,,,0.20M,,12.10M,4.70M,7.40M,,,7.40M,7.278M,13.60M,,13.60M,,0.1220,,,,0.1200,0.1220,,0.1220,,,,0.1200,0.1220,,60.64M,60.64M,0.0225,,,
1996-07,59.90M,59.90M,30.30M,29.60M,18.20M,,,,,18.20M,11.40M,,,,,10.40M,3.40M,7.00M,,,7.00M,7.00M,11.40M,,11.40M,,0.0288,0.00,,,0.0288,0.0288,,0.0288,0.00,,,0.0288,0.0288,,60.62M,60.62M,0.0376,,,
1996-04,47.10M,47.10M,24.60M,22.50M,13.70M,,,,,13.70M,8.80M,,,,,8.50M,2.80M,5.70M,,,5.70M,5.70M,8.80M,,8.80M,,0.0238,0.00,,,0.0238,0.0238,,0.0238,0.00,,,0.0238,0.0238,,61.74M,61.74M,0.0175,,,
1996-01,52.90M,52.90M,23.90M,29.00M,15.40M,0.10M,,,,15.40M,13.60M,,,0.10M,,13.20M,4.40M,8.80M,,,8.80M,8.733M,13.60M,,13.60M,,0.0362,0.00,,,0.0351,0.0362,,0.0362,0.00,,,0.0351,0.0362,,59.96M,59.96M,0.0188,,,
1995-10,54.10M,54.10M,17.30M,36.80M,16.60M,0.40M,,,,22.60M,14.20M,,,0.40M,,14.30M,5.10M,9.20M,,,9.20M,8.943M,14.20M,,14.20M,,0.1540,,,,0.1497,0.1540,,0.1540,,,,0.1497,0.1540,,59.75M,59.75M,0.0188,,,
1995-07,47.10M,47.10M,21.60M,25.50M,14.70M,,,,,14.70M,10.80M,,,,,10.30M,3.60M,6.70M,,,6.70M,6.70M,10.80M,,10.80M,,0.0275,0.00,,,0.0275,0.0275,,0.0275,0.00,,,0.0275,0.0275,,59.72M,59.72M,0.0125,,,
1995-04,39.80M,39.80M,8.40M,31.40M,12.60M,,,,,24.30M,7.10M,,,,,6.50M,2.30M,4.20M,,,4.20M,4.20M,18.80M,11.70M,7.10M,,0.0175,0.00,,,0.0175,0.0175,,0.0175,0.00,,,0.0175,0.0175,,59.63M,59.63M,0.0125,,,
1995-01,34.40M,34.40M,16.60M,17.80M,12.50M,,,,,12.50M,5.30M,,,,,4.90M,1.70M,3.20M,,,3.20M,3.20M,5.30M,,5.30M,,0.0138,0.00,,,0.0138,0.0138,,0.0138,0.00,,,0.0138,0.0138,,59.55M,59.55M,0.0125,,,
1994-10,43.10M,43.10M,13.30M,29.80M,13.00M,0.90M,,,,18.30M,11.50M,,,0.90M,,11.90M,3.80M,8.10M,,0.00,8.10M,7.487M,11.50M,,11.50M,,0.1368,,0.00,,0.1265,0.1368,,0.1368,,0.00,,0.1265,0.1368,,59.21M,59.21M,0.0125,,,
1994-07,32.70M,32.70M,17.00M,15.70M,10.60M,,,,,10.60M,5.10M,,,,,4.90M,1.70M,3.20M,,,3.20M,3.20M,5.10M,,5.10M,,0.0138,0.00,,,0.0138,0.0138,,0.0138,0.00,,,0.0138,0.0138,,59.20M,59.20M,0.0075,,,
1994-04,38.40M,38.40M,16.40M,22.00M,11.80M,,,,,11.80M,10.20M,,,,,9.80M,3.30M,6.50M,,,6.50M,6.50M,10.20M,,10.20M,,0.0275,0.00,,,0.0275,0.0275,,0.0275,0.00,,,0.0275,0.0275,,59.20M,59.20M,0.0075,,,
1994-01,33.50M,33.50M,17.30M,16.20M,10.10M,,,,,10.10M,6.10M,,,,,5.80M,1.90M,3.90M,,-0.70M,3.20M,3.90M,6.10M,,6.10M,,0.0162,-0.0038,0.00,,0.0162,0.0125,,0.0162,-0.0038,-0.0118,,0.0162,0.0125,,59.09M,59.09M,0.0075,,,
1993-10,43.20M,43.20M,16.00M,27.20M,10.80M,,,,,15.90M,11.30M,,,,,11.20M,3.50M,7.70M,,,7.70M,7.70M,11.30M,,11.30M,,0.1307,,,,0.1307,0.1307,,0.1307,,,,0.1307,0.1307,,58.92M,58.92M,0.0075,,,
1993-07,41.10M,41.10M,18.70M,22.40M,11.00M,,,,,11.00M,11.40M,,,,,10.90M,3.70M,7.20M,,,7.20M,7.20M,11.40M,,11.40M,,0.0156,0.00,,,0.0156,0.0156,,0.0156,0.00,,,0.0156,0.0156,,58.57M,58.57M,0.005,,,
1993-04,28.50M,28.50M,14.50M,14.00M,9.00M,,,,,9.00M,5.00M,,,,,4.40M,1.40M,3.00M,,,3.00M,3.00M,5.00M,,5.00M,,0.0062,0.00,,,0.0062,0.0062,,0.0062,0.00,,,0.0062,0.0062,,58.37M,58.37M,0.005,,,
1993-01,19.70M,19.70M,9.80M,9.90M,7.30M,,,,,7.30M,2.60M,,,,,2.00M,0.80M,1.20M,,,1.20M,1.20M,2.60M,,2.60M,,0.0031,0.00,,,0.0031,0.0031,,0.0031,0.00,,,0.0031,0.0031,,58.35M,58.35M,0.005,,,
1992-10,20.40M,20.40M,6.70M,13.70M,5.50M,0.10M,,,,9.90M,3.80M,,,0.10M,,3.50M,1.30M,2.20M,,,2.20M,2.137M,3.80M,,3.80M,,0.0377,,,,0.0366,0.0377,,0.0377,,,,0.0366,0.0377,,58.35M,58.35M,0.005,,,
1992-07,17.30M,17.30M,9.90M,7.40M,4.30M,,,,,4.30M,3.10M,,,,,2.90M,1.10M,1.80M,,,1.80M,1.80M,3.10M,,3.10M,,0.0044,0.00,,,0.0044,0.0044,,0.0044,0.00,,,0.0044,0.0044,,55.48M,55.48M,0.005,,,
1992-04,17.50M,17.50M,10.40M,7.10M,6.20M,0.10M,,,,6.20M,0.90M,,,0.10M,,0.30M,0.10M,0.20M,,,0.20M,0.1333M,0.90M,,0.90M,,0.0006,0.00,,,-0.0006,0.0006,,0.0006,0.00,,,-0.0006,0.0006,,55.48M,55.48M,0.005,,,
1992-01,14.50M,14.50M,,,,,,,,,14.50M,,,,,,,0.40M,,,0.40M,0.40M,14.50M,,14.50M,,0.0019,0.00,,,0.0019,0.0019,,0.0019,0.00,,,0.0019,0.0019,,39.48M,39.48M,,,,
1991-10,18.60M,18.60M,,,,,,,,,-43.70M,,,,,,,1.30M,,,1.30M,1.30M,-43.70M,,-43.70M,,0.0253,,,,0.0253,0.0253,,0.0253,,,,0.0253,0.0253,,39.48M,39.48M,,,,
1991-07,18.80M,18.80M,,,,,,,,,18.80M,,,,,,,1.20M,,,1.20M,1.20M,18.80M,,18.80M,,0.0038,0.00,,,0.0038,0.0038,,0.0038,0.00,,,0.0038,0.0038,,39.48M,39.48M,,,,
1991-04,18.80M,18.80M,,,,,,,,,18.80M,,,,,,,1.20M,,,1.20M,1.20M,18.80M,,18.80M,,0.0038,0.00,,,0.0038,0.0038,,0.0038,0.00,,,0.0038,0.0038,,39.48M,39.48M,,,,
1991-01,18.80M,18.80M,,,,,,,,,18.80M,,,,,,,1.20M,,,1.20M,1.20M,18.80M,,18.80M,,0.0038,0.00,,,0.0038,0.0038,,0.0038,0.00,,,0.0038,0.0038,,39.48M,39.48M,,,,
