,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2008-03,151.20M,151.20M,436.42M,,436.42M,119.47M,33.47M,67.77M,,190.04M,,31.66M,26.83M,836.16M,,,,,268.24M,-156.12M,112.12M,1.983B,755.55M,2.738B,24.75M,50.41M,2.926B,3.762B,,121.99M,,,121.99M,209.09M,331.08M,,,413.11M,,413.11M,,,,27.81M,772.00M,802.85M,802.85M,261.75M,261.75M,49.34M,1.114B,1.886B,,0.916M,1.002B,764.58M,21.93M,130.22M,1.876B,,,
2007-12,308.77M,308.77M,420.03M,,420.03M,113.33M,28.50M,60.70M,,174.14M,,27.80M,20.40M,951.14M,0.00,2.936M,52.80M,207.91M,263.64M,-156.12M,107.51M,1.706B,613.50M,2.320B,23.85M,51.09M,2.502B,3.453B,,125.54M,,,125.54M,151.69M,277.23M,,,331.10M,,331.10M,32.64M,35.08M,2.442M,24.12M,667.53M,727.49M,727.49M,221.41M,221.41M,46.95M,995.85M,1.663B,,0.91M,944.89M,757.32M,22.04M,108.73M,1.790B,,,
2007-09,125.93M,125.93M,364.75M,,364.75M,121.58M,29.10M,62.61M,,183.02M,,19.09M,71.32M,764.11M,,,,,234.59M,-129.06M,105.53M,1.690B,626.09M,2.316B,24.80M,41.64M,2.488B,3.252B,,106.56M,,,106.56M,182.92M,289.48M,,,322.15M,,322.15M,,1.466M,1.466M,24.96M,638.05M,656.20M,656.20M,199.96M,199.96M,44.68M,900.83M,1.539B,,0.909M,879.09M,749.31M,22.11M,105.99M,1.713B,,,
2007-06,120.10M,120.10M,330.82M,,330.82M,117.43M,30.00M,62.98M,,181.30M,,19.17M,71.35M,722.75M,,,,,234.58M,-129.06M,105.52M,1.690B,614.61M,2.305B,25.70M,45.33M,2.482B,3.204B,,102.68M,,,102.68M,174.76M,277.44M,,,314.26M,,314.26M,,1.035M,1.035M,9.173M,601.92M,736.02M,736.02M,198.10M,198.10M,44.86M,978.98M,1.581B,,0.908M,819.72M,740.33M,22.18M,84.64M,1.623B,,,
2007-03,80.44M,80.44M,319.25M,,319.25M,122.82M,31.74M,60.16M,,186.16M,,17.49M,53.23M,656.57M,,,,,235.58M,-129.06M,106.52M,1.662B,617.42M,2.280B,26.51M,43.58M,2.456B,3.113B,,100.01M,,,100.01M,168.60M,268.61M,,,307.94M,,307.94M,,1.438M,1.438M,9.401M,587.40M,748.08M,748.08M,194.80M,194.80M,44.16M,987.05M,1.574B,,0.905M,764.24M,725.91M,22.26M,69.53M,1.538B,,,
2006-12,69.48M,69.48M,353.76M,,353.76M,114.13M,27.62M,53.92M,,168.32M,,17.91M,18.03M,627.50M,0.00,2.912M,47.49M,185.66M,236.06M,-129.06M,107.00M,1.651B,544.14M,2.195B,21.70M,43.82M,2.368B,2.995B,,102.80M,,,102.80M,146.20M,249.00M,,,299.91M,,299.91M,31.29M,32.84M,1.555M,5.896M,587.65M,726.88M,726.88M,169.99M,169.99M,24.00M,920.87M,1.509B,,0.90M,721.90M,717.75M,22.38M,68.67M,1.487B,,,
2006-09,40.88M,40.88M,304.38M,,304.38M,106.33M,29.97M,51.07M,,161.62M,,19.83M,48.55M,575.25M,,,,,211.74M,-108.51M,103.23M,1.436B,496.61M,1.933B,25.32M,43.30M,2.105B,2.680B,,91.08M,,,91.08M,148.53M,239.61M,,,291.46M,,291.46M,,2.362M,2.362M,13.48M,546.91M,564.07M,564.07M,127.14M,127.14M,22.28M,713.49M,1.260B,,0.895M,670.87M,699.22M,22.47M,70.96M,1.419B,,,
2006-06,53.38M,53.38M,277.04M,,277.04M,96.59M,28.07M,47.95M,,147.33M,,19.12M,48.54M,545.42M,,,,,210.74M,-108.51M,102.23M,1.408B,501.84M,1.910B,22.21M,47.08M,2.081B,2.627B,,84.18M,,,84.18M,136.01M,220.19M,,,284.68M,,284.68M,,3.066M,3.066M,20.88M,528.81M,584.44M,584.44M,128.63M,128.63M,23.41M,736.48M,1.265B,,0.893M,625.18M,690.23M,22.56M,67.71M,1.361B,,,
2006-03,67.16M,67.16M,250.85M,,250.85M,95.48M,24.57M,46.15M,,140.93M,,19.52M,37.02M,515.48M,,,,,209.13M,-108.51M,100.62M,1.356B,490.54M,1.847B,23.10M,47.55M,2.018B,2.534B,,80.00M,,,80.00M,119.17M,199.17M,,,277.47M,,277.47M,,3.066M,3.066M,18.59M,498.29M,587.31M,587.31M,126.76M,126.76M,22.18M,736.24M,1.235B,,0.891M,582.19M,683.19M,22.64M,55.34M,1.299B,,,
2005-12,53.12M,53.12M,257.21M,,257.21M,80.93M,26.07M,50.26M,,131.84M,,19.14M,36.90M,498.21M,0.00,2.922M,40.55M,162.50M,205.97M,-108.51M,97.46M,1.354B,501.36M,1.855B,25.85M,45.71M,2.024B,2.522B,,71.69M,,,71.69M,129.11M,200.80M,,,273.31M,,273.31M,13.73M,16.79M,3.066M,14.72M,505.62M,620.96M,620.96M,124.20M,124.20M,21.73M,766.89M,1.273B,,0.883M,549.60M,670.32M,22.75M,51.73M,1.250B,,,
2005-09,79.10M,79.10M,254.97M,,254.97M,82.09M,26.39M,51.54M,,134.35M,,22.40M,45.27M,536.09M,,,,,184.20M,-89.72M,94.48M,,1.742B,1.742B,7.917M,43.43M,1.888B,2.424B,,60.08M,,,60.08M,138.18M,198.27M,,,266.01M,,266.01M,,4.112M,4.112M,,468.39M,597.72M,597.72M,137.02M,137.02M,19.40M,754.14M,1.223B,,0.881M,504.31M,666.16M,22.85M,53.08M,1.202B,,,
2005-06,68.40M,68.40M,249.06M,,249.06M,85.21M,26.64M,54.80M,,138.36M,,20.66M,50.71M,527.20M,,,,,189.72M,-89.72M,100.00M,,1.756B,1.756B,20.99M,45.47M,1.922B,2.450B,,62.71M,,,62.71M,141.34M,204.05M,,,35.98M,,35.98M,,4.112M,4.112M,,244.14M,883.26M,883.26M,141.62M,141.62M,19.16M,1.044B,1.288B,,0.44M,469.69M,659.90M,22.95M,54.40M,1.161B,,,
2005-03,98.22M,98.22M,245.67M,,245.67M,86.56M,26.58M,50.92M,,136.60M,,20.55M,32.95M,533.99M,,,,,187.04M,-89.72M,97.31M,,1.651B,1.651B,29.25M,44.54M,1.822B,2.356B,,59.94M,,,59.94M,131.97M,191.91M,,,36.34M,,36.34M,,4.33M,4.33M,,232.58M,844.54M,844.54M,128.57M,128.57M,17.41M,990.52M,1.223B,,0.437M,438.67M,657.78M,23.06M,59.15M,1.133B,,,
2004-12,129.42M,129.42M,242.01M,,242.01M,84.23M,24.85M,50.12M,,132.28M,,20.48M,31.96M,556.16M,0.00,3.60M,37.46M,146.62M,187.67M,-89.72M,97.95M,,1.631B,1.631B,34.20M,46.88M,1.810B,2.366B,,65.80M,,,65.80M,145.88M,211.68M,,,36.53M,,36.53M,,5.342M,5.342M,,253.55M,855.36M,855.36M,125.98M,125.98M,17.42M,998.77M,1.252B,,0.436M,415.19M,645.37M,23.16M,76.25M,1.114B,,,
2004-09,102.42M,102.42M,169.59M,,169.59M,76.26M,17.42M,41.76M,,109.32M,,20.67M,9.019M,411.01M,,,,,149.78M,-75.59M,74.19M,,1.036B,1.036B,10.83M,40.67M,1.162B,1.573B,,46.16M,,,46.16M,80.01M,126.18M,,,20.95M,,20.95M,,1.64M,1.64M,,148.77M,594.75M,594.75M,55.43M,55.43M,18.69M,668.86M,817.63M,,0.383M,394.91M,333.99M,23.23M,49.46M,755.51M,,,
2004-06,74.73M,74.73M,161.83M,,161.83M,74.27M,16.90M,43.12M,,109.00M,,29.96M,15.03M,390.56M,,,,,151.43M,-75.59M,75.84M,,1.037B,1.037B,2.121M,39.66M,1.155B,1.545B,,51.37M,,,51.37M,77.99M,129.36M,,,20.18M,,20.18M,,1.64M,1.64M,,151.18M,599.26M,599.26M,53.60M,53.60M,18.83M,671.69M,822.87M,,0.381M,371.10M,329.38M,23.31M,44.83M,722.38M,,,
2004-03,82.36M,82.36M,157.18M,,157.18M,74.90M,16.89M,42.35M,,109.50M,,33.81M,15.99M,398.84M,,,,,151.93M,-75.59M,76.34M,,1.007B,1.007B,2.121M,38.82M,1.124B,1.523B,,46.83M,,,46.83M,81.16M,127.99M,,,20.15M,,20.15M,,1.64M,1.64M,,149.78M,604.16M,604.16M,52.10M,52.10M,17.66M,673.92M,823.70M,,0.38M,351.11M,325.00M,23.39M,46.15M,699.25M,,,
2003-12,70.23M,70.23M,150.86M,,150.86M,48.41M,17.16M,42.84M,,107.08M,,33.31M,19.71M,381.19M,0.00,3.051M,33.22M,117.77M,154.05M,-75.59M,78.46M,,1.010B,1.010B,6.034M,39.48M,1.134B,1.515B,,45.41M,,,45.41M,93.52M,138.94M,,,20.92M,,20.92M,,1.639M,1.639M,,161.50M,630.19M,630.19M,50.19M,50.19M,17.34M,697.72M,859.21M,,0.372M,336.52M,293.40M,23.50M,48.99M,655.78M,,,
2003-09,14.51M,14.51M,120.34M,,120.34M,68.12M,13.03M,38.46M,-23.12M,95.23M,,,5.238M,235.32M,,,,,122.57M,-70.66M,51.91M,,519.32M,519.32M,,29.13M,600.35M,835.68M,,33.79M,,,33.79M,54.73M,88.52M,,,1.017M,,1.017M,,,,3.093M,92.63M,287.47M,287.47M,,,13.85M,301.32M,393.95M,,0.328M,338.16M,94.92M,24.21M,32.52M,441.73M,,,
2003-07,23.99M,23.99M,122.40M,,122.40M,66.99M,12.36M,40.49M,-23.04M,95.58M,,,10.52M,252.49M,,,,,121.71M,-70.66M,51.05M,,517.21M,517.21M,,34.83M,603.09M,855.58M,,34.20M,,,34.20M,52.75M,86.95M,,,5.838M,,5.838M,,,,12.81M,105.60M,303.44M,303.44M,,,13.41M,316.84M,422.44M,,0.328M,334.09M,92.92M,24.24M,30.05M,433.14M,,,
2003-04,22.97M,22.97M,130.02M,,130.02M,67.68M,12.83M,39.22M,-23.06M,95.49M,,,10.41M,258.88M,,,,,121.38M,-70.66M,50.72M,,510.76M,510.76M,,35.32M,596.80M,855.68M,,38.05M,,,38.05M,54.87M,92.92M,,,10.87M,,10.87M,,,,14.19M,117.97M,313.91M,313.91M,,,12.73M,326.64M,444.62M,,0.327M,321.61M,91.17M,24.29M,22.25M,411.07M,,,
2003-01,14.76M,14.76M,122.34M,,122.34M,64.37M,13.28M,39.79M,-20.99M,95.30M,,,9.026M,241.42M,,,,,122.36M,-70.66M,51.70M,,509.49M,509.49M,,34.98M,596.17M,837.59M,,29.07M,,,29.07M,50.53M,79.60M,,,17.00M,,17.00M,,,,12.96M,109.56M,318.12M,318.12M,,,12.52M,330.64M,440.21M,,0.326M,310.24M,90.18M,24.38M,21.02M,397.38M,,,
2002-10,12.42M,12.42M,138.29M,,138.29M,63.25M,11.66M,34.38M,-19.82M,88.31M,,,9.802M,248.83M,,,,,121.75M,-70.66M,51.09M,,496.26M,496.26M,,32.79M,580.15M,828.97M,,35.25M,,,35.25M,65.15M,100.41M,,,20.52M,,20.52M,,,,9.316M,130.24M,311.59M,311.59M,,,11.13M,322.72M,452.96M,,0.326M,305.00M,89.15M,24.40M,5.94M,376.01M,,,
2002-07,15.65M,15.65M,133.58M,,133.58M,42.62M,12.73M,31.65M,,85.67M,,,5.764M,240.66M,,,,,109.29M,-59.59M,49.70M,,476.84M,476.84M,,81.41M,607.94M,848.60M,,33.89M,,,33.89M,54.22M,88.11M,,,15.52M,,15.52M,,,,11.23M,114.86M,338.61M,338.61M,,,10.99M,349.60M,464.46M,,0.325M,314.53M,87.97M,24.45M,5.771M,384.14M,,,
2002-04,17.44M,17.44M,123.74M,,123.74M,44.09M,12.31M,31.42M,,86.50M,,,6.275M,233.95M,,,,,108.48M,-59.59M,48.88M,429.54M,29.57M,459.11M,,31.36M,539.35M,773.30M,,37.22M,,,37.22M,51.36M,88.59M,,,11.51M,,11.51M,,,,12.92M,113.01M,292.75M,292.75M,,,10.25M,303.00M,416.02M,,0.325M,302.08M,87.38M,24.50M,-8.007M,357.28M,,,
2002-01,19.96M,19.96M,111.78M,,111.78M,46.27M,11.63M,33.14M,,89.72M,,,3.554M,225.02M,,,,,109.52M,-59.59M,49.92M,,454.18M,454.18M,,31.46M,535.56M,760.58M,,31.63M,,,31.63M,48.52M,80.15M,,,8.367M,,8.367M,,,,10.95M,99.47M,315.36M,315.36M,,,11.34M,326.71M,426.17M,,0.324M,287.20M,85.27M,24.58M,-13.80M,334.41M,,,
2001-10,16.19M,16.19M,121.27M,,121.27M,47.34M,13.05M,31.28M,,90.35M,,,5.245M,233.05M,0.00,2.944M,25.00M,83.54M,111.48M,-59.59M,51.89M,,453.02M,453.02M,,24.16M,529.07M,762.12M,,34.23M,,,34.23M,61.02M,95.25M,,,3.01M,,3.01M,,,,5.617M,103.88M,323.83M,323.83M,,,10.91M,334.74M,438.62M,,0.321M,275.26M,80.51M,24.83M,-7.757M,323.51M,,,
2001-07,28.32M,28.32M,102.15M,,102.15M,47.54M,18.20M,24.17M,,88.37M,,,4.539M,223.38M,,,,,99.31M,-52.92M,46.39M,,335.84M,335.84M,,10.60M,392.83M,616.20M,,25.69M,,,25.69M,50.02M,75.72M,6.999M,,6.999M,,6.999M,,,,6.04M,88.76M,212.15M,212.15M,,,8.045M,220.19M,308.95M,,0.321M,260.49M,79.41M,24.87M,-8.102M,307.26M,,,
2001-04,11.48M,11.48M,104.16M,,104.16M,48.12M,17.55M,24.70M,,88.80M,,,5.03M,209.47M,0.00,47.50M,,,47.50M,,47.50M,,318.16M,318.16M,,10.35M,376.01M,585.48M,,27.05M,,,27.05M,47.72M,74.77M,7.936M,,7.936M,,7.936M,,,,4.392M,87.10M,194.16M,194.16M,,,7.888M,202.05M,289.15M,,0.32M,249.67M,78.17M,24.90M,-6.94M,296.33M,,,
2001-01,15.32M,15.32M,,,112.00M,,,,,87.76M,,,2.947M,218.03M,,,,,101.38M,-52.92M,48.46M,,322.96M,322.96M,,11.36M,382.78M,600.81M,,28.52M,,,28.52M,,28.52M,,,7.487M,,7.487M,,,,54.90M,90.91M,218.42M,218.42M,,,8.135M,226.55M,317.46M,,0.319M,238.12M,75.92M,24.94M,-6.064M,283.35M,,,
2000-10,11.37M,11.37M,,,115.19M,,,,,83.63M,,,3.765M,213.96M,,,,,101.83M,-52.92M,48.91M,,323.20M,323.20M,,10.84M,382.95M,596.90M,,26.49M,,,26.49M,,26.49M,,,6.706M,,6.706M,,,,51.30M,84.49M,234.60M,234.60M,,,7.616M,242.22M,326.71M,,0.319M,228.65M,75.12M,24.98M,-8.913M,270.19M,,,
2000-07,7.241M,7.241M,,,103.39M,,,,,79.51M,,,4.52M,194.66M,,,,,95.31M,-51.26M,44.06M,,284.80M,284.80M,,11.02M,339.89M,534.55M,,24.20M,,,24.20M,,24.20M,,,5.757M,,5.757M,,,,41.57M,71.53M,194.16M,194.16M,,,8.291M,202.45M,273.98M,,0.318M,215.92M,74.12M,25.03M,-4.768M,260.57M,,,
2000-04,21.12M,21.12M,,,97.98M,,,,,71.30M,,,4.117M,194.52M,,,,,90.16M,-48.95M,41.22M,,260.91M,260.91M,,9.919M,312.04M,506.56M,,20.58M,,,20.58M,,20.58M,,,32.07M,,32.07M,,,,36.47M,89.12M,159.58M,159.58M,,,7.084M,166.67M,255.79M,,0.317M,206.96M,73.61M,25.09M,-5.028M,250.77M,,,
2000-01,3.20M,3.20M,,,93.20M,,,,,73.80M,,,2.50M,172.70M,,,,,86.60M,-47.30M,39.30M,,254.30M,254.30M,,8.30M,301.90M,474.60M,,19.70M,,,19.70M,,19.70M,,,20.90M,,20.90M,,,,34.60M,75.20M,153.60M,153.60M,,,6.40M,160.00M,235.20M,,0.30M,195.50M,72.40M,25.20M,-3.60M,239.40M,,,
1999-10,13.50M,13.50M,,,89.20M,,,,,56.40M,,,2.70M,161.80M,,,,,80.80M,-46.00M,34.80M,,215.00M,215.00M,,8.60M,258.40M,420.20M,,18.50M,,,18.50M,,18.50M,,,20.90M,,20.90M,,,,32.80M,72.20M,109.70M,109.70M,,,6.30M,116.00M,188.20M,,0.30M,187.90M,71.10M,25.20M,-2.20M,232.00M,,,
1999-07,3.50M,3.50M,,,77.30M,,,,,58.90M,,,6.50M,146.20M,,,,,76.40M,-42.30M,34.10M,,223.80M,223.80M,,12.10M,270.00M,416.20M,,17.40M,,,17.40M,,17.40M,,,4.30M,,4.30M,,,,38.40M,60.10M,125.90M,125.90M,,,10.30M,136.20M,196.30M,,0.30M,175.20M,69.70M,23.50M,-1.90M,219.90M,,,
1999-04,5.80M,5.80M,,,75.20M,,,,,51.60M,,,3.00M,135.60M,,,,,71.60M,-40.70M,30.90M,,192.90M,192.90M,,10.80M,234.60M,370.20M,,15.20M,,,15.20M,,15.20M,,,4.80M,,4.80M,,,,30.70M,50.70M,105.20M,105.20M,,,6.90M,112.10M,162.80M,,,164.40M,,,,207.40M,,,
1999-01,1.50M,1.50M,,,72.90M,,,,,56.10M,,,2.30M,132.80M,,,,,70.60M,-39.30M,31.30M,,194.70M,194.70M,,12.60M,238.60M,371.40M,,14.00M,,,14.00M,,14.00M,,,8.90M,,8.90M,,,,30.00M,52.90M,110.30M,110.30M,,,6.90M,117.20M,170.10M,,,154.30M,,,,201.30M,,,
1998-10,9.40M,9.40M,,,77.00M,,,,,51.40M,,,2.10M,139.90M,,,,,69.60M,-37.70M,31.90M,,197.20M,197.20M,,12.50M,241.60M,381.50M,,21.10M,,,21.10M,,21.10M,,,5.70M,,5.70M,,,,30.80M,57.60M,120.30M,120.30M,,,6.60M,126.90M,184.50M,,0.30M,148.40M,67.10M,18.00M,-0.90M,197.00M,,,
1998-07,4.40M,4.40M,,,85.00M,,,,,55.60M,,,3.70M,148.70M,,,,,68.00M,-36.20M,31.80M,,198.70M,198.70M,,14.80M,245.30M,394.00M,,16.40M,,,16.40M,,16.40M,,,4.90M,,4.90M,,,,29.50M,50.80M,126.30M,126.30M,,,8.10M,134.40M,185.20M,,,142.90M,,,,208.80M,,,
1998-04,10.70M,10.70M,,,71.10M,,,,,55.30M,,,3.30M,140.40M,,,,,66.80M,-34.60M,32.20M,,200.90M,200.90M,,14.50M,247.60M,388.00M,,15.10M,,,15.10M,,15.10M,,,3.90M,,3.90M,,,,31.90M,50.90M,130.30M,130.30M,,,7.60M,137.90M,188.80M,,,134.20M,,,,199.20M,,,
1998-01,13.90M,13.90M,,,67.00M,,,,,50.70M,,,1.50M,133.10M,,,,,64.60M,-33.10M,31.50M,,161.80M,161.80M,,11.80M,205.10M,338.20M,,14.60M,,,14.60M,,14.60M,,,4.20M,,4.20M,,,,32.80M,51.60M,92.10M,92.10M,,,7.30M,99.40M,151.00M,,,125.40M,,,,187.20M,,,
1997-10,0.60M,0.60M,,,78.80M,,,,,50.20M,,,2.30M,131.90M,,,,,63.00M,-31.60M,31.40M,,154.30M,154.30M,,11.70M,197.40M,329.30M,,15.70M,,,15.70M,,15.70M,,,2.50M,,2.50M,,,,26.70M,44.90M,99.60M,99.60M,,,6.90M,106.50M,151.40M,,,116.50M,,,,177.90M,,,
1997-07,0.60M,0.60M,,,73.10M,,,,,51.10M,,,2.40M,127.20M,,,,,60.20M,-30.20M,30.00M,,152.80M,152.80M,,7.40M,190.20M,317.40M,,15.00M,,,15.00M,,15.00M,,,2.30M,,2.30M,,,,24.60M,41.90M,101.70M,101.70M,,,4.90M,106.60M,148.50M,,,109.70M,,,,168.90M,,,
1997-04,1.80M,1.80M,,,54.10M,,,,,32.40M,,,1.60M,89.90M,,,,,51.80M,-28.80M,23.00M,,124.20M,124.20M,,6.60M,153.80M,243.70M,,11.40M,,,11.40M,,11.40M,,,12.40M,,12.40M,,,,18.80M,42.60M,47.20M,47.20M,,,3.70M,50.90M,93.50M,,,99.40M,,,,150.20M,,,
1997-01,1.10M,1.10M,,,51.70M,,,,,32.30M,,,1.50M,86.60M,,,,,51.10M,-27.70M,23.40M,,127.20M,127.20M,,5.30M,155.90M,242.50M,,9.30M,,,9.30M,,9.30M,,,,,,,,,30.30M,39.60M,58.20M,58.20M,,,3.20M,61.40M,101.00M,,,90.10M,,,,141.50M,,,
1996-10,0.40M,0.40M,,,50.70M,,,,,31.10M,,,2.30M,84.50M,,,,,50.70M,-26.70M,24.00M,,127.70M,127.70M,,6.80M,158.50M,243.00M,,11.00M,,,11.00M,,11.00M,,,6.80M,,6.80M,,,,21.70M,39.50M,63.40M,63.40M,,,2.70M,66.10M,105.60M,,,86.20M,,,,137.40M,,,
1996-07,0.60M,0.60M,,,49.70M,,,,,32.90M,,,3.10M,86.30M,,,,,51.90M,-27.50M,24.40M,,134.40M,134.40M,,,158.80M,245.10M,,10.60M,,,10.60M,,10.60M,,,,,,,,,17.50M,28.10M,82.60M,82.60M,,,3.20M,85.80M,113.90M,,,80.10M,,,,131.20M,,,
1996-04,2.00M,2.00M,,,37.30M,,,,,25.50M,,,1.30M,66.10M,,,,,48.30M,-26.40M,21.90M,,66.90M,66.90M,,,88.80M,154.90M,,8.20M,,,8.20M,,8.20M,,,,,,,,,12.70M,20.90M,12.70M,12.70M,,,2.40M,15.10M,36.00M,,,73.90M,,,,118.90M,,,
1996-01,1.50M,1.50M,,,38.20M,,,,,24.00M,,,1.80M,65.50M,,,,,46.90M,-25.60M,21.30M,,67.30M,67.30M,,,88.60M,154.10M,,8.00M,,,8.00M,,8.00M,,,,,,,,,15.90M,23.90M,14.10M,14.10M,,,2.30M,16.40M,40.30M,,,69.80M,,,,113.80M,,,
1995-10,2.30M,2.30M,,,38.90M,,,,,23.30M,,,2.10M,66.60M,,,,,45.50M,-24.80M,20.70M,,68.20M,68.20M,,,88.90M,155.50M,,7.70M,,,7.70M,,7.70M,,,0.60M,,0.60M,,,,19.40M,27.70M,20.20M,20.20M,,,2.00M,22.20M,49.90M,,,62.10M,,,,105.60M,,,
1995-07,1.80M,1.80M,,,37.80M,,,,,23.40M,,,1.30M,64.30M,,,,,42.80M,-23.40M,19.40M,,57.40M,57.40M,,0.10M,76.90M,141.20M,,7.60M,,,7.60M,,7.60M,,,,,,,,,11.70M,19.30M,22.50M,22.50M,,,1.80M,24.30M,43.60M,,,55.00M,,,,97.60M,,,
1995-04,4.60M,4.60M,,,32.80M,,,,,23.30M,,,1.60M,62.30M,,,,,43.10M,-23.40M,19.70M,,57.30M,57.30M,,0.60M,77.60M,139.90M,,9.80M,,,9.80M,,9.80M,,,,,,,,,8.80M,18.60M,28.40M,28.40M,0.10M,0.10M,1.50M,30.00M,48.60M,,,48.90M,,,,91.30M,,,
1995-01,2.10M,2.10M,,,30.70M,,,,,21.00M,,,1.00M,54.80M,,,,,41.90M,-22.70M,19.20M,,48.00M,48.00M,,0.50M,67.70M,122.50M,,7.00M,,,7.00M,,7.00M,,,,,,,,,10.10M,17.10M,18.80M,18.80M,,,1.60M,20.40M,37.50M,,,44.60M,,,,85.00M,,,
1994-10,2.00M,2.00M,,,32.40M,,,,,17.50M,,,1.30M,53.20M,,,,,42.00M,-22.50M,19.50M,,48.90M,48.90M,,0.40M,68.80M,122.00M,,7.30M,,,7.30M,,7.30M,,,0.50M,,0.50M,,,,13.00M,20.80M,16.70M,16.70M,,,1.60M,18.30M,39.10M,,,42.10M,,,,82.90M,,,
1994-07,0.50M,0.50M,,,26.80M,,,,,15.20M,,,0.90M,43.40M,,,,,40.00M,-22.60M,17.40M,,40.90M,40.90M,,0.30M,58.60M,102.00M,,6.10M,,,6.10M,,6.10M,,,0.30M,,0.30M,,,,7.50M,13.90M,11.60M,11.60M,,,1.50M,13.10M,27.00M,,,35.60M,,,,75.00M,,,
1994-04,0.60M,0.60M,,,31.60M,,,,,15.70M,,,1.10M,49.00M,,,,,39.40M,-22.00M,17.40M,,41.30M,41.30M,,0.40M,59.10M,108.10M,,5.60M,,,5.60M,,5.60M,,,,,,,,,10.10M,15.70M,19.00M,19.00M,,,1.50M,20.50M,36.20M,,,32.90M,,,,71.90M,,,
1994-01,1.80M,1.80M,,,18.90M,,,,,14.50M,,,1.60M,36.80M,,,,,39.50M,-22.20M,17.30M,,41.90M,41.90M,,0.40M,59.60M,96.40M,,4.80M,,,4.80M,,4.80M,,,0.30M,,0.30M,,,,8.00M,13.10M,16.40M,16.40M,,,1.50M,17.90M,31.00M,,,26.80M,,,,65.40M,,,
1993-10,1.20M,1.20M,,,18.70M,,,,,13.30M,,,1.20M,34.40M,,,,,38.60M,-21.50M,17.10M,,42.50M,42.50M,,0.20M,59.80M,94.20M,,6.40M,,,6.40M,,6.40M,,,0.60M,,0.60M,,,,13.50M,20.50M,10.00M,10.00M,0.90M,0.90M,0.40M,11.30M,31.80M,,,24.10M,,,,62.40M,,,
1993-07,0.70M,0.70M,,,15.90M,,,,,13.60M,,,0.70M,30.90M,,,,,37.90M,-21.70M,16.20M,,31.60M,31.60M,,0.20M,48.00M,78.90M,,6.00M,,,6.00M,,6.00M,,,1.00M,,1.00M,,,,9.50M,16.50M,8.90M,8.90M,1.30M,1.30M,0.50M,10.70M,27.20M,,,16.90M,,,,51.70M,,,
1993-04,0.70M,0.70M,,,16.50M,,,,,14.00M,,,0.60M,31.80M,,,,,36.90M,-20.90M,16.00M,,32.10M,32.10M,,0.20M,48.30M,80.10M,,5.60M,,,5.60M,,5.60M,,,1.00M,,1.00M,,,,5.70M,12.30M,22.00M,22.00M,1.30M,1.30M,0.30M,23.60M,35.90M,,,9.90M,,,,44.20M,,,
1993-01,1.50M,1.50M,,,13.70M,,,,,13.20M,,,2.10M,30.50M,,,,,36.10M,-20.20M,15.90M,,32.70M,32.70M,,0.10M,48.70M,79.20M,,3.60M,,,3.60M,,3.60M,,,1.00M,,1.00M,,,,4.00M,8.60M,27.60M,27.60M,1.30M,1.30M,0.40M,29.30M,37.90M,,,7.30M,,,,41.30M,,,
1992-10,1.70M,1.70M,,,15.40M,,,,,12.40M,,,2.70M,32.20M,,,,,35.60M,-19.50M,16.10M,,32.70M,32.70M,,,48.80M,81.00M,,3.50M,,,3.50M,,3.50M,,,1.90M,,1.90M,,,,5.10M,10.50M,28.40M,28.40M,1.30M,1.30M,0.30M,30.00M,40.50M,,,6.30M,,,,40.50M,,,
1992-07,5.10M,5.10M,,,10.50M,,,,,12.00M,,,0.60M,28.20M,,,,,34.70M,-19.10M,15.60M,,4.40M,4.40M,,0.10M,20.10M,48.30M,,2.60M,,,2.60M,,2.60M,,,1.10M,,1.10M,,,,1.70M,5.40M,6.10M,6.10M,1.40M,1.40M,0.60M,8.10M,13.50M,,,4.40M,,,,34.80M,,,
