,OperatingRevenue,ExciseTaxes,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,AsOriginallyReported,Restated
2001-05,835.77M,193.66M,642.11M,426.16M,215.96M,132.03M,,,,,-14.00M,132.03M,83.93M,,,,,39.74M,15.90M,23.84M,,,23.84M,23.84M,105.99M,,2001-05,0.0362,0.1088,0.0362,2001-05,0.035,0.105,0.035,0.14,165.02M,170.10M,,,
2001-02,1.131B,,373.37M,442.48M,-69.11M,-71.09M,,,,,,-126.57M,57.46M,,,,,30.63M,12.25M,18.38M,,,18.38M,18.38M,72.87M,,2001-02,0.5977,-0.4664,0.5977,2001-02,0.5838,-0.4664,0.5838,0.12,148.18M,150.60M,,,
2000-11,629.58M,,629.58M,402.35M,227.23M,122.82M,,,,,,141.99M,85.24M,,,,,58.26M,23.30M,34.95M,,,34.95M,34.95M,104.41M,,2000-11,0.0297,0.2078,0.0297,2000-11,0.0292,0.2045,0.0292,0.2338,147.15M,149.87M,,,
2000-08,637.49M,,637.49M,419.01M,218.48M,129.94M,,,,,,147.78M,70.70M,,,,,43.52M,17.41M,26.11M,,,26.11M,26.11M,88.55M,,2000-08,0.0223,0.1564,0.0223,2000-08,0.0219,0.1531,0.0219,0.175,146.40M,149.31M,,,
2000-05,585.58M,,585.58M,383.24M,202.34M,126.41M,,,,,,144.87M,57.46M,,,,,29.84M,11.94M,17.90M,,,17.90M,17.90M,75.93M,,2000-05,0.0153,0.1072,0.0153,2000-05,0.015,0.105,0.015,0.12,145.84M,148.78M,,,
2000-02,535.75M,,535.75M,354.24M,181.52M,113.78M,,0.00,,,,127.77M,53.74M,,,0.00,,25.88M,10.35M,15.53M,,,15.53M,15.53M,67.74M,,2000-02,0.1067,,0.1067,2000-02,0.1067,,0.1067,0.1067,145.51M,145.51M,,,
1999-11,652.97M,,652.97M,426.38M,226.59M,132.31M,,,,,,149.21M,77.38M,,,,,49.83M,19.93M,29.90M,,,29.90M,29.90M,94.28M,,1999-11,0.0258,0.1805,0.0258,1999-11,0.025,0.175,0.025,0.20,144.66M,149.21M,,,
1999-08,621.60M,,621.60M,412.10M,209.50M,125.30M,,,,,,145.70M,63.80M,,,,,35.20M,14.10M,21.10M,,,21.10M,21.10M,84.20M,,1999-08,0.1462,0.00,0.1462,1999-08,0.1425,0.00,0.1425,0.1425,144.27M,148.07M,,,
1999-05,530.17M,,530.17M,360.10M,170.07M,110.50M,,-5.50M,,,,124.40M,45.67M,,,-5.50M,,18.00M,7.20M,10.80M,,,10.80M,14.10M,59.57M,,1999-05,0.0094,0.0656,0.0323,1999-05,0.0092,0.0645,0.0316,0.0738,143.82M,147.58M,,,
1999-02,459.40M,,459.40M,309.40M,150.00M,96.90M,,,,,,109.90M,40.10M,,,,,19.70M,7.80M,11.90M,,,0.50M,11.90M,53.10M,,1999-02,0.38,-0.375,0.38,1999-02,0.3711,-0.375,0.3711,0.005,143.49M,146.98M,,,
1998-11,375.60M,,375.60M,251.10M,124.50M,73.80M,,,,,,82.60M,41.90M,,,,,34.20M,14.00M,20.20M,,,20.20M,20.20M,50.70M,,1998-11,0.0177,0.1236,0.0177,1998-11,0.0172,0.1203,0.0172,0.1375,143.14M,146.60M,,,
1998-08,349.40M,,349.40M,237.60M,111.80M,67.50M,,,,,,76.10M,35.70M,,,,,28.30M,11.60M,16.70M,,,16.70M,16.70M,44.30M,,1998-08,0.1125,0.00,0.1125,1998-08,0.11,0.00,0.11,0.11,148.44M,151.82M,,,
1998-05,312.90M,,312.90M,212.30M,100.60M,61.30M,,,,,,69.90M,30.70M,,,,,22.20M,9.10M,13.10M,,,13.10M,13.10M,39.30M,,1998-05,0.0875,0.00,0.0875,1998-05,0.085,0.00,0.085,0.085,149.71M,154.12M,,,
