,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",AssetImpairmentCharge,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalPreferredDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2003-09,17.42M,,,,,18.74M,18.74M,,0.212M,-0.629M,,5.69M,-9.14M,4.289M,-5.061M,-4.851M,31.53M,-31.88M,19.76M,19.76M,0.00,0.00,29.74M,17.62M,-84.28M,-9.00M,-93.28M,1.708M,0.00,1.708M,,0.00,0.00,,-26.03M,83.50M,-34.10M,18.61M,15.05M,33.66M,1.708M,-51.25M,-33.03M,0.00,,
2003-06,17.58M,,,,,18.13M,18.13M,,1.65M,0.525M,,-6.087M,-0.426M,-3.119M,5.562M,-3.545M,33.81M,-53.61M,1.441M,1.441M,0.00,,50.90M,-1.274M,135.71M,58.00M,193.71M,212.63M,-100.00M,112.63M,,-100.00M,-100.00M,,-27.10M,-211.28M,-32.04M,18.11M,0.496M,18.61M,212.63M,136.00M,-0.289M,-200.00M,,
2003-03,16.38M,,,,,17.45M,17.45M,,-0.305M,-4.661M,,-0.568M,-7.881M,-0.962M,5.229M,-8.843M,24.68M,-88.79M,,-15.56M,-15.56M,,29.15M,-75.19M,-41.68M,78.00M,36.32M,35.69M,,35.69M,,,,,-25.35M,-1.145M,45.50M,23.12M,-5.01M,18.11M,35.69M,,-41.68M,,,
2002-12,21.88M,,,,,16.42M,16.42M,,12.17M,-27.61M,,4.382M,-15.54M,2.947M,7.557M,-28.27M,22.20M,-62.77M,-7.394M,-251.33M,,,62.54M,-7.626M,87.81M,6.00M,93.81M,6.54M,,6.54M,,,,,-25.23M,-91.23M,-16.11M,24.65M,-1.529M,23.12M,6.54M,37.14M,29.67M,,,
2002-09,18.50M,,,,,16.07M,16.07M,,1.165M,0.737M,,2.607M,-9.224M,6.089M,-3.344M,-3.135M,32.61M,-57.69M,0.00,0.00,,-7.394M,20.58M,-44.50M,-0.214M,21.00M,20.79M,2.271M,,2.271M,,,,,-24.93M,19.70M,17.82M,18.72M,5.929M,24.65M,2.271M,41.76M,-20.97M,,,
2002-06,16.23M,,,,,16.01M,16.01M,,8.803M,5.094M,,-5.443M,2.988M,-7.49M,-4.213M,-9.064M,31.98M,-72.09M,7.394M,58.78M,,7.394M,-7.362M,-64.67M,-60.33M,-11.00M,-71.33M,59.79M,,59.79M,,,,,-23.69M,69.31M,34.08M,17.32M,1.398M,18.72M,59.79M,38.42M,-98.75M,,,
2002-03,-1.331M,,,,,16.02M,16.02M,,8.46M,-1.222M,,5.784M,-1.222M,5.784M,,9.124M,32.27M,-51.38M,,-51.38M,,,-7.566M,-58.95M,31.13M,11.00M,42.13M,8.096M,,8.096M,,,,,-22.61M,-1.182M,26.44M,17.56M,-0.238M,17.32M,8.096M,31.43M,-0.297M,,,
2001-12,-51.58M,,,,,-44.11M,-44.11M,,5.349M,0.682M,,-8.684M,11.69M,-8.738M,8.002M,2.949M,35.42M,262.89M,-16.26M,41.83M,58.09M,,-352.74M,-48.02M,31.27M,-87.00M,-55.73M,-0.769M,,-0.769M,,,,,60.05M,-104.60M,-101.05M,14.64M,-3.279M,,-0.769M,-192.67M,136.94M,,,
2001-09,15.18M,,,,,15.15M,15.15M,,0.635M,-0.997M,,7.52M,-7.657M,6.897M,-6.523M,-0.76M,30.21M,-76.71M,0.00,-16.33M,-16.33M,,32.56M,-60.49M,-4.202M,6.50M,2.298M,0.422M,0.00,0.422M,,,,,-20.14M,30.86M,13.44M,31.48M,-16.84M,14.64M,0.422M,112.17M,-109.87M,0.00,,
2001-06,22.17M,,,,,14.81M,14.81M,,-5.591M,2.818M,,-2.295M,-1.527M,-1.618M,-1.479M,-4.101M,27.29M,-131.74M,16.26M,28.92M,-8.227M,,86.32M,-37.39M,-28.96M,5.50M,-23.46M,-0.59M,0.00,-0.59M,,,,,-19.97M,74.45M,30.44M,11.14M,20.33M,31.48M,-0.59M,78.30M,-26.76M,0.00,,
2001-03,14.23M,,,,,14.14M,14.14M,,-0.393M,-2.503M,,3.459M,-2.503M,3.459M,,1.912M,29.90M,-54.43M,,-54.43M,-33.53M,,0.675M,-87.29M,1.885M,75.00M,76.88M,0.937M,,0.937M,,,,,-19.93M,-0.71M,57.18M,11.36M,-0.214M,11.14M,0.937M,2.197M,-0.312M,,,
2000-12,13.89M,,,,,13.83M,13.83M,,3.829M,-1.312M,,-4.502M,3.732M,-4.611M,1.135M,-5.558M,22.30M,121.10M,0.00,-0.461M,23.09M,,-193.72M,-49.53M,101.86M,-155.70M,-53.84M,-3.238M,22.63M,19.39M,,,,,-19.91M,79.21M,24.86M,13.73M,-2.369M,11.36M,-3.238M,-168.45M,114.61M,22.63M,,
2000-09,14.42M,,,,,13.44M,13.44M,,0.862M,-1.778M,,6.537M,-10.09M,7.154M,-4.759M,-2.933M,25.79M,-45.83M,0.00,-3.52M,-3.52M,,6.887M,-42.47M,-0.29M,26.70M,26.41M,0.609M,0.00,0.609M,,,,,-19.10M,3.795M,11.72M,18.69M,-4.96M,13.73M,0.609M,31.40M,-4.989M,0.00,,
2000-06,18.07M,,,,,13.34M,13.34M,,-3.265M,1.154M,,-2.425M,1.071M,-2.699M,1.271M,-1.628M,26.52M,-41.12M,47.16M,45.46M,-1.694M,,9.176M,13.52M,-1.186M,-24.50M,-25.69M,1.932M,-0.545M,1.387M,,,,,-19.07M,8.298M,-35.07M,13.71M,4.975M,18.69M,1.932M,-16.45M,-9.234M,-0.545M,,
2000-03,14.14M,,,,,12.66M,12.66M,,0.208M,3.169M,,-2.03M,5.284M,0.156M,-1.139M,5.44M,32.44M,-57.70M,,-17.88M,-17.88M,,32.31M,-43.27M,-100.39M,153.50M,53.11M,0.697M,-22.09M,-21.39M,,,,,-19.42M,0.501M,12.80M,11.74M,1.973M,13.71M,0.697M,153.50M,-100.39M,-22.09M,,
1999-12,13.80M,,,,,12.71M,12.71M,,-4.912M,-1.857M,,5.326M,-4.10M,4.10M,,5.884M,27.48M,-76.47M,,58.82M,,,55.50M,-1.813M,171.94M,-179.05M,-7.105M,2.243M,,-0.322M,,,,,-19.52M,-2.118M,-29.06M,15.10M,-3.392M,11.74M,2.243M,,-0.251M,,,
1999-09,14.23M,,,,,12.37M,12.37M,,7.687M,-7.245M,,-0.311M,-7.245M,-0.311M,,-15.11M,19.17M,-24.76M,,-24.76M,22.74M,,-27.20M,-29.23M,-0.286M,33.05M,32.76M,-1.743M,,-1.743M,,,,,-19.07M,1.382M,13.33M,11.85M,3.277M,15.10M,-1.743M,,-0.286M,,,
1999-06,6.769M,,,,,12.63M,12.63M,,2.313M,1.145M,,4.611M,1.145M,4.611M,,11.51M,33.23M,-8.639M,,-8.639M,-22.74M,,-0.897M,-32.27M,-0.214M,16.95M,16.74M,1.443M,,1.443M,,,,,-19.03M,-0.782M,-1.631M,12.50M,-0.677M,11.85M,1.443M,,-0.214M,,,
1999-03,13.60M,,,,,12.30M,12.30M,,4.40M,2.70M,,-6.70M,2.70M,-6.70M,,-8.00M,22.30M,-31.60M,,-31.60M,,,-4.40M,-36.00M,-0.40M,28.90M,28.50M,0.30M,,0.30M,,,,,-19.00M,-0.80M,9.00M,17.20M,-4.70M,12.50M,0.30M,,-0.40M,,,
1998-12,12.80M,,,,,10.75M,10.75M,,-1.839M,7.678M,,1.864M,-1.90M,4.00M,,7.119M,28.83M,-212.62M,,-46.65M,,,181.78M,-30.85M,-116.21M,144.36M,28.15M,1.11M,,1.11M,,,,,-18.98M,-0.969M,9.306M,,,17.23M,1.11M,28.40M,-0.248M,,,
1998-09,7.50M,,,,,15.30M,15.30M,,4.40M,-6.80M,,1.60M,-6.80M,1.60M,,-10.40M,16.80M,9.60M,,9.60M,,,-105.20M,-95.60M,98.80M,-6.20M,92.60M,1.50M,,1.50M,,,,,-18.50M,-0.50M,75.10M,,,,1.50M,116.00M,-17.20M,,,
1998-06,12.00M,,,,,8.70M,8.70M,,-2.40M,2.30M,,0.30M,2.30M,0.30M,,5.20M,23.50M,-27.00M,,-27.00M,,,-2.80M,-29.80M,-37.10M,58.00M,20.90M,2.70M,,2.70M,,,,,-18.40M,-1.10M,4.10M,,,,2.70M,0.00,-37.10M,,,
