,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,NotesReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,TotalCurrentAssets,OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,LongTermInvestments,LongTermNotesReceivable,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity
2003-09,,33.66M,,33.66M,,,,23.49M,64.62M,121.77M,,,2.376B,-499.02M,1.877B,,38.01M,,,1.915B,2.044B,313.09M,26.00M,,339.09M,,339.09M,,334.61M,334.61M,104.21M,438.82M,777.90M,430.79M,104.21M,535.00M,,,,29.58M,,,535.00M,1.335B,135.51M,-395.16M,979.03M,28.34M,135.00M,-1.067M,679.89M
2003-06,18.61M,18.61M,,18.61M,,,,39.26M,60.51M,118.37M,,,2.369B,-482.76M,1.886B,,37.99M,,,1.924B,2.050B,310.58M,25.69M,,336.28M,,336.28M,,343.62M,343.62M,104.27M,447.90M,784.17M,430.73M,104.27M,535.00M,,,,,,,535.00M,1.360B,135.50M,-389.37M,972.18M,28.26M,135.00M,-2.359M,690.05M
2003-03,18.11M,18.11M,,18.11M,,,,23.38M,58.33M,99.82M,,,2.392B,-466.33M,1.925B,,37.54M,,,1.963B,2.071B,331.94M,25.14M,,357.08M,,357.08M,,276.28M,276.28M,104.33M,380.61M,737.69M,505.67M,104.33M,610.00M,,,,,,,610.00M,1.386B,235.47M,-379.23M,857.54M,28.24M,235.00M,-3.582M,685.54M
2002-12,,,,,,,,,,,,,,,1.856B,,,,,1.856B,1.999B,,,,,,,,,207.71M,,207.71M,207.71M,532.28M,,532.28M,,,,29.37M,,,532.28M,1.326B,0.45M,-368.84M,818.29M,28.19M,,,644.29M
2002-09,24.65M,24.65M,,24.65M,,,,10.87M,52.80M,88.32M,,,2.255B,-435.92M,1.819B,,35.57M,,,1.854B,2.004B,527.76M,24.24M,,552.00M,,552.00M,,192.34M,192.34M,104.45M,296.80M,848.79M,355.55M,104.45M,460.00M,,,,,,,460.00M,1.330B,235.45M,-345.64M,812.35M,28.15M,235.00M,-6.873M,674.00M
2002-06,18.72M,18.72M,,18.72M,,,,14.61M,44.23M,77.56M,,,2.181B,-421.25M,1.759B,,48.63M,,,1.808B,1.947B,488.45M,23.93M,,512.38M,,512.38M,,171.37M,171.37M,104.51M,275.89M,788.26M,355.49M,104.51M,460.00M,,,,,,,460.00M,1.268B,235.45M,-338.29M,809.54M,28.09M,235.00M,-4.522M,678.60M
2002-03,17.32M,17.32M,,17.32M,,,,17.10M,50.80M,85.22M,,,2.145B,-410.30M,1.735B,,48.66M,,,1.783B,1.875B,449.43M,22.70M,,472.13M,,472.13M,,185.80M,185.80M,99.66M,285.46M,757.60M,385.63M,99.66M,485.29M,,,,,,,485.29M,1.272B,235.42M,-348.08M,744.09M,28.09M,235.00M,-2.973M,603.35M
2001-12,,,,,,,,,,,,,,,1.709B,,,,,1.709B,1.833B,,,,,,,174.84M,,174.84M,,174.84M,174.84M,408.29M,,408.29M,,,,,,,408.29M,1.244B,,,,,,,589.29M
2001-09,14.64M,14.64M,,14.64M,,,,13.72M,44.75M,73.10M,,,2.065B,-386.38M,1.679B,,35.50M,,,1.715B,1.795B,379.38M,20.53M,,399.92M,,399.92M,,295.88M,295.88M,100.26M,396.15M,796.06M,385.02M,100.26M,485.29M,,,,,,,485.29M,1.305B,100.42M,-317.28M,734.32M,27.99M,100.00M,-4.754M,489.47M
2001-06,,31.48M,,31.48M,,,,12.78M,39.65M,83.90M,,,1.981B,-372.57M,1.608B,,35.40M,,,1.644B,1.735B,50.28M,20.11M,,70.39M,,70.39M,,310.65M,310.65M,100.02M,410.67M,481.06M,385.26M,100.02M,485.29M,,,,,,,485.29M,1.240B,100.42M,-311.26M,733.29M,27.76M,100.00M,-0.809M,494.68M
2001-03,11.14M,11.14M,,11.14M,,,,13.21M,38.62M,62.97M,,,,,1.561B,1.561B,43.46M,,,3.166B,1.676B,254.54M,19.94M,,274.48M,,274.48M,,302.40M,302.40M,100.14M,402.54M,677.02M,385.15M,100.14M,485.29M,,,,,,,485.29M,1.190B,100.41M,-312.66M,725.70M,27.76M,100.00M,-1.079M,485.70M
2000-12,,,,,,,,,,,,,,,,,,,,,1.619B,,,,,,,209.00M,,209.00M,,209.00M,209.00M,,,,,,,,,,,1.619B,,,,,,,
2000-09,13.73M,13.73M,,13.73M,,,,20.58M,38.48M,72.79M,,,,,1.454B,1.454B,46.09M,,,2.955B,1.579B,90.42M,19.86M,,110.28M,,110.28M,,330.09M,330.09M,121.72M,451.81M,562.09M,363.57M,121.72M,485.29M,,,,,,,485.29M,1.083B,100.41M,-299.62M,722.21M,27.44M,100.00M,,495.57M
2000-06,18.69M,18.69M,,18.69M,,,,18.81M,31.32M,68.82M,,,,,1.423B,1.423B,45.94M,,,2.893B,1.544B,81.80M,19.04M,,100.84M,,100.84M,,298.73M,298.73M,121.82M,420.55M,521.39M,363.46M,121.82M,485.29M,,,,,,,485.29M,1.045B,100.41M,-293.52M,720.35M,27.32M,100.00M,,499.92M
2000-03,13.71M,13.71M,,13.71M,,,,19.96M,33.64M,67.32M,,,,,1.433B,1.433B,56.94M,,,2.922B,1.562B,81.88M,19.02M,,100.90M,,100.90M,,316.12M,316.12M,121.93M,438.05M,538.94M,363.36M,121.93M,485.29M,,,,,,,485.29M,1.062B,100.41M,-291.89M,718.45M,26.42M,100.00M,,500.54M
1999-12,11.74M,11.74M,,11.74M,,,,23.13M,36.81M,71.68M,,,1.721B,-317.92M,1.404B,,53.50M,,,1.457B,1.534B,85.52M,19.43M,,104.95M,,104.95M,,162.77M,162.77M,122.03M,284.79M,389.75M,463.29M,122.00M,585.29M,,,,,,,585.29M,1.011B,100.40M,-286.35M,713.35M,4.334M,100.00M,,523.08M
1999-09,,,,,18.20M,,,18.20M,,18.20M,,,,,1.409B,,,,,1.409B,1.542B,,,,,,,,,,,,,802.80M,122.10M,924.90M,,,,,,,924.90M,1.032B,,-280.10M,,,,,509.70M
1999-06,,,,,,,,,,,,,,,1.393B,,,,,1.393B,1.515B,,,,,,,,,,,,,769.90M,122.20M,892.10M,,,,,,,892.10M,1.000B,,-274.20M,,,,,514.60M
1999-03,,,,,,,,,,,,,,,1.379B,,,,,1.379B,1.503B,,,,,,,,,,,,,753.10M,122.30M,875.40M,,,,,,,875.40M,977.80M,,-261.30M,,,,,525.30M
1998-12,17.23M,17.23M,,17.23M,17.90M,,-0.027M,17.87M,38.50M,73.60M,,,1.642B,-286.05M,1.356B,,51.15M,,,1.407B,1.484B,85.15M,18.97M,,104.12M,,104.12M,,263.16M,263.16M,122.40M,385.56M,489.68M,287.89M,122.40M,410.29M,,,,,,,410.29M,954.37M,807.72M,-255.21M,,22.57M,100.00M,,529.95M
1998-09,,,,,,,,,,,,,,,1.341B,,,,,1.341B,1.457B,,,,,,,,,,,,,696.30M,122.50M,818.80M,,,,,,,818.80M,922.30M,,-248.40M,,,,,535.00M
1998-06,,,,,,,,,,,,,,,1.248B,,,,,1.248B,1.352B,,,,,,,,,,,,,593.80M,122.60M,716.40M,,,,35.60M,,,716.40M,771.30M,,-236.30M,,,,,544.80M
