,NetIncome,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2005-12,167.42M,,,,22.80M,22.80M,20.83M,,-13.18M,21.16M,15.11M,-59.77M,98.90M,71.92M,24.14M,181.41M,379.28M,,-4.568M,-4.568M,33.40M,-526.44M,-145.70M,-643.31M,,-239.16M,2.10M,-237.06M,1.00M,-33.12M,-32.12M,,,,,,-6.368M,,251.38M,-24.16M,,979.27M,-306.33M,,672.94M,,1.00M,-239.16M,0.00,-33.12M,,,,AOR,Restated
2005-09,122.52M,,,,9.416M,9.416M,-20.61M,,7.894M,-48.30M,15.99M,-17.04M,-312.74M,1.363B,-479.71M,493.86M,613.08M,,-12.54M,-12.54M,-33.40M,-608.57M,61.75M,-592.76M,,242.67M,4.775M,247.44M,4.99M,-0.466M,4.524M,,,,,,-0.001M,,-0.97M,250.99M,,707.96M,271.32M,,979.27M,,4.99M,242.67M,0.00,-0.466M,,,,AOR,Restated
2005-06,134.08M,,,,15.80M,15.80M,3.90M,,-12.67M,-62.70M,32.14M,31.36M,,,176.48M,177.28M,318.39M,,-8.222M,-8.222M,,-418.18M,-43.24M,-469.65M,,161.84M,,161.84M,1.87M,-0.17M,1.70M,,,,,,-12.69M,,0.74M,151.60M,,707.62M,0.338M,,707.96M,,1.87M,201.84M,-40.00M,-0.17M,,,,AOR,Restated
2005-03,120.87M,,,,15.03M,15.03M,-3.90M,,-0.787M,-3.518M,-51.40M,176.48M,,,170.83M,292.39M,423.61M,,-7.238M,-7.238M,,-774.34M,122.07M,-659.50M,,9.247M,,9.247M,3.39M,,3.39M,,,,,,0.00,,-1.202M,11.44M,,932.08M,-224.46M,,707.62M,,3.39M,9.247M,0.00,,,,,AOR,Restated
2004-12,115.39M,,,,19.69M,19.69M,-11.09M,,10.97M,-22.85M,12.16M,21.44M,133.39M,268.68M,-29.51M,346.15M,481.11M,,-12.33M,-12.33M,,-590.92M,-22.11M,-625.36M,,4.062M,,5.327M,2.409M,0.00,2.409M,,,,,,-5.897M,,13.26M,15.10M,,1.049B,-117.05M,,932.08M,,2.409M,-12.65M,16.71M,0.00,,,,AOR,Restated
2004-09,322.71M,,,,6.026M,6.026M,-36.97M,,-195.79M,-21.22M,0.347M,23.92M,-262.12M,1.222B,-595.10M,367.57M,463.54M,,-12.59M,-12.59M,,-767.73M,2.852M,-777.46M,,150.29M,,150.29M,1.363M,0.00,1.363M,,,,,,-11.77M,,3.002M,142.89M,,1.220B,-171.04M,,1.049B,,1.363M,150.54M,-0.25M,0.00,,,,AOR,Restated
2004-06,,,,,15.16M,15.16M,11.96M,,-137.82M,10.54M,6.212M,4.945M,,,480.15M,501.84M,391.15M,,-7.711M,-7.711M,,-223.56M,-11.07M,-242.34M,,1.805M,,1.805M,3.789M,-0.337M,3.452M,,,,,,0.002M,,-8.752M,-3.493M,,1.075B,145.31M,,1.220B,,3.789M,2.83M,-1.025M,-0.337M,,,,AOR,Restated
2004-03,,,,,13.95M,13.95M,-11.96M,,317.00M,-176.76M,-15.87M,152.13M,,,,-40.50M,278.49M,,-8.928M,-8.928M,,-667.70M,36.60M,-640.03M,,4.322M,,4.322M,3.677M,,3.677M,,,,,,-5.866M,,2.791M,4.924M,,1.431B,-356.61M,,1.075B,,3.677M,19.76M,-15.44M,,,,,AOR,Restated
2003-12,,,,,6.643M,6.643M,-16.98M,,-525.63M,81.06M,63.43M,-458.57M,,,,965.88M,429.92M,,-9.947M,-9.947M,,-181.90M,3.584M,-188.27M,,4.99M,,4.99M,7.628M,0.00,7.628M,,,,,,-5.845M,,-13.17M,-6.397M,,1.196B,235.25M,,1.431B,,7.628M,4.99M,0.00,0.00,,,,AOR,Restated
2003-09,-167.54M,,,,1.33M,1.33M,-32.89M,,508.42M,8.877M,-18.93M,123.75M,,,,113.70M,423.02M,,-3.80M,-3.80M,,-440.64M,-55.00M,-499.43M,,181.05M,,181.05M,3.037M,0.00,3.037M,,,,,,-11.36M,,0.664M,173.39M,,1.099B,96.98M,,1.196B,,3.037M,181.05M,0.00,0.00,,,,AOR,Restated
2003-06,95.84M,,,,5.633M,5.633M,-18.15M,,161.99M,-22.70M,-7.983M,76.80M,,,,46.12M,291.43M,,-8.956M,-8.956M,,111.24M,-32.71M,69.57M,,-9.726M,,-9.726M,3.25M,0.00,3.25M,,,,,,0.001M,,21.82M,15.35M,,722.88M,376.35M,,1.099B,,3.25M,-4.769M,-4.957M,0.00,,,,AOR,Restated
2003-03,71.70M,,,,6.718M,6.718M,29.24M,,146.80M,-190.96M,-65.93M,258.02M,,,,1.136M,255.60M,,-5.612M,-5.612M,,-350.64M,84.02M,-272.23M,,140.82M,,140.82M,1.422M,,1.422M,,,,,,-10.47M,,13.57M,145.33M,,594.18M,128.70M,,722.88M,,1.422M,201.61M,-60.79M,,,,,AOR,Restated
2002-12,-102.31M,,,,4.264M,4.264M,,,498.00M,-264.87M,,-287.93M,-347.76M,-287.93M,,-195.32M,245.94M,,-5.716M,-5.716M,2.053M,-157.31M,-21.78M,-182.75M,,17.12M,8.00M,25.12M,172.91M,,172.84M,,,,,,-4.89M,,-48.39M,144.68M,,386.32M,207.86M,,594.18M,,172.91M,,0.00,,,,,AOR,Restated
2002-09,40.54M,,,,4.84M,4.84M,,,-558.41M,124.59M,,259.59M,174.47M,287.93M,,815.94M,302.92M,,-15.18M,-15.18M,0.013M,-248.20M,6.666M,-256.70M,,0.00,0.00,0.00,0.503M,,0.503M,,,,,,-4.411M,,-23.00M,-26.91M,,367.01M,19.31M,,386.32M,,0.503M,,0.00,,,,,AOR,
2002-06,27.37M,,,,4.769M,4.769M,,,59.17M,49.96M,,12.97M,206.22M,,,260.21M,351.52M,,-5.256M,-5.256M,-2.066M,-460.51M,2.512M,-465.32M,,-8.00M,0.00,-8.00M,2.676M,,2.676M,,,,,,-4.272M,,27.64M,18.05M,,462.76M,-95.75M,,367.01M,,2.676M,,-8.00M,,,,,AOR,
2002-03,34.40M,,,,4.071M,4.071M,,,97.47M,-32.93M,,15.37M,-32.93M,,,-74.72M,61.22M,,-10.42M,-10.42M,,-152.48M,37.27M,-125.62M,,,-8.00M,-8.00M,3.858M,,3.858M,,,,,,-4.299M,,1.519M,-6.922M,,534.09M,-71.33M,,462.76M,,3.858M,,,,,,,AOR,
2001-12,-64.16M,,,,4.019M,4.019M,,,435.88M,-263.93M,,-184.53M,-131.75M,-184.53M,,-280.47M,33.91M,,-9.219M,-9.219M,3.215M,373.78M,-509.07M,-141.30M,,0.00,0.00,0.00,219.49M,-1.002M,218.49M,,,,-3.841M,,-3.841M,,-16.52M,198.13M,,443.34M,90.75M,,534.09M,,219.49M,,10.00M,-1.002M,,,,AOR,Restated
2001-09,-47.25M,,,,4.202M,4.202M,,,-448.62M,85.78M,,181.16M,131.75M,184.53M,,574.29M,82.63M,,-2.944M,-2.944M,-2.348M,-247.46M,228.29M,-24.46M,,0.00,0.00,0.00,-4.966M,0.00,-4.966M,,,,-3.77M,,-3.77M,,6.453M,-2.283M,,387.46M,55.88M,,443.34M,,-4.966M,,0.00,0.00,,,,AOR,
2001-06,9.598M,,,,4.131M,4.131M,,,50.37M,-27.35M,,1.339M,-2.12M,,,-36.59M,27.51M,,-3.88M,-3.88M,2.348M,-321.36M,289.87M,-33.03M,,0.00,0.00,0.00,4.981M,0.289M,5.27M,,,,-7.096M,,-3.764M,,-1.572M,-0.066M,,393.04M,-5.583M,,387.46M,,4.981M,,-10.00M,0.289M,,,,AOR,
2001-03,10.27M,,,,5.141M,5.141M,,,32.05M,-31.59M,,2.03M,2.12M,,,-38.24M,9.221M,,-6.033M,-6.033M,,-33.70M,2.223M,-37.50M,,0.00,-10.00M,-10.00M,121.38M,-0.289M,121.10M,,,,,,-3.332M,,4.43M,112.19M,,309.13M,83.91M,,393.04M,,121.38M,,0.00,-0.289M,,,,AOR,
2000-12,20.33M,,,,6.106M,6.106M,,,148.42M,-55.66M,,-59.73M,-20.30M,-61.87M,,-184.54M,-9.691M,,-7.529M,-7.529M,-0.345M,-110.60M,146.09M,27.61M,,0.00,0.00,0.00,9.324M,0.00,9.324M,,0.00,0.00,-3.302M,0.00,-3.302M,,-2.077M,3.945M,,287.26M,21.87M,,309.13M,,9.324M,,0.00,0.00,,,,AOR,Restated
2000-09,7.092M,0.636M,,0.636M,5.387M,5.387M,,,-199.21M,42.35M,,65.18M,20.30M,61.87M,,185.81M,-0.283M,,4.389M,4.389M,0.00,141.70M,-150.08M,-3.991M,,0.00,10.00M,10.00M,0.00,-7.02M,-7.02M,,0.00,0.00,-3.332M,0.00,-3.332M,,1.421M,1.069M,,290.47M,-3.205M,,287.26M,,0.00,,0.00,-7.02M,,,,AOR,
2000-06,6.636M,-0.636M,,-0.636M,10.21M,10.21M,,,4.923M,-22.04M,,-3.304M,,,,-34.49M,-13.36M,,-1.079M,-1.079M,2.532M,-733.26M,699.30M,-32.50M,,0.00,-35.00M,-35.00M,,0.00,0.00,,0.00,0.00,-6.067M,0.00,-3.329M,,-10.10M,-48.43M,,384.75M,-94.28M,,290.47M,,,,0.00,0.00,,,,AOR,
2000-03,4.346M,,,,,,,,5.711M,,,,,,,,10.06M,,-3.31M,-3.31M,,,79.91M,76.60M,,-25.00M,,-25.00M,,,,,,,,,-2.738M,,10.36M,-17.37M,,315.47M,69.28M,,384.75M,,,,-25.00M,,,,,AOR,
1999-12,-43.43M,,,,6.298M,6.298M,,,195.09M,-9.786M,,-48.60M,-33.80M,-48.60M,,-136.89M,21.07M,,-8.127M,-8.127M,,-543.16M,603.06M,50.24M,,9.20M,0.00,0.00,,98.08M,98.08M,,,,,,-3.889M,,6.66M,-6.014M,,250.20M,65.30M,,315.47M,,,,9.20M,-8.785M,,,,AOR,Restated
1999-09,-1.40M,1.80M,,1.80M,5.80M,5.80M,,,-198.80M,48.00M,,73.50M,33.80M,62.10M,,216.40M,23.80M,,1.50M,1.50M,,8.10M,21.30M,30.90M,,-9.20M,-40.00M,-40.00M,,-4.00M,-4.00M,,,,,,-3.40M,,-9.20M,-56.60M,,252.00M,-1.80M,,250.20M,,,,-9.20M,-4.00M,,,,,
1999-06,5.60M,-1.80M,,-1.80M,5.60M,5.60M,6.90M,,18.00M,-36.70M,,-11.40M,,,,-51.90M,-17.60M,,-1.30M,-1.30M,,40.70M,3.10M,42.50M,,,0.00,0.00,,-4.90M,-4.90M,,,,,,-3.40M,,1.10M,-7.20M,,234.30M,17.60M,,252.00M,,,,,-4.90M,,,,,
1999-03,2.50M,,,,5.90M,5.90M,-6.90M,,36.80M,-4.90M,,,,,,-16.50M,21.80M,,-0.20M,-0.20M,,-68.30M,-15.70M,-84.20M,,,19.50M,19.50M,,-111.30M,-111.30M,,,,,,-5.20M,,7.50M,-89.50M,,386.30M,-151.90M,,234.30M,,,,,-111.30M,,,,,
1998-12,-3.384M,,,,6.258M,6.258M,,,382.36M,-74.63M,,-44.90M,-88.10M,-44.90M,,-250.03M,135.20M,,-23.67M,-23.67M,,-750.34M,779.24M,1.933M,,7.978M,38.00M,36.78M,,-36.74M,-36.74M,,,,,,-5.174M,,9.735M,4.595M,,244.60M,141.73M,,386.28M,,,7.982M,-0.004M,-36.74M,,,,AOR,Restated
1998-09,12.30M,-92.50M,,-92.50M,4.00M,4.00M,,,-65.60M,-23.10M,,36.70M,36.10M,36.70M,,78.00M,-63.80M,,12.10M,12.10M,,-83.90M,-12.90M,-84.70M,,0.10M,17.50M,26.80M,,-15.20M,-15.20M,,,,,,-5.20M,,-8.80M,-2.40M,,,-150.90M,,244.60M,,,0.10M,0.00,-15.20M,,,,,
1998-06,22.70M,92.50M,,92.50M,8.70M,8.70M,-6.00M,,-226.00M,62.10M,,76.30M,52.00M,76.30M,,259.30M,151.20M,,-5.40M,-5.40M,,50.30M,31.70M,76.60M,,9.10M,-20.20M,-29.50M,,-66.00M,-66.00M,,,,,,-5.40M,,20.40M,-80.50M,,,147.30M,,,,,39.80M,-30.70M,-66.00M,,,,,
1998-03,25.70M,,,,3.70M,3.70M,6.00M,,-19.40M,-10.10M,,,,,,-18.90M,-2.90M,,-10.20M,-10.20M,,11.80M,-25.90M,-24.30M,,-18.40M,20.20M,20.20M,,,,,,,,,-5.10M,,-20.60M,-5.50M,,280.80M,-32.70M,,,,,,-18.40M,,,,,,
1997-12,24.20M,,,,7.10M,7.10M,0.20M,,84.30M,-61.30M,,-23.20M,,-23.20M,,-106.80M,9.00M,,-17.90M,-17.90M,,-44.00M,15.70M,-46.20M,,,,,41.50M,-41.50M,0.00,41.50M,,41.50M,,,-5.00M,,-45.00M,-8.50M,,,-45.70M,,280.80M,,83.00M,,,-41.50M,,,,AOR,
1997-09,25.60M,7.20M,,7.20M,2.40M,2.40M,-0.20M,,-260.90M,63.10M,,90.20M,66.70M,90.20M,,284.80M,58.90M,,,,,-24.90M,-6.90M,-31.80M,,,,,-7.70M,,-7.70M,-7.70M,,-7.70M,,,-5.00M,,13.50M,-6.90M,,,20.30M,,,,-15.40M,,,,,,,,
1997-06,20.70M,-7.20M,,-7.20M,1.80M,1.80M,,,72.40M,-48.20M,,-6.10M,-66.70M,,,-112.10M,-24.40M,,3.40M,3.40M,,17.80M,-26.80M,-5.60M,,,,,-33.80M,27.50M,-6.30M,-33.80M,,-33.80M,,,-5.50M,,40.90M,-4.70M,,,-34.70M,,,,-67.60M,,,27.50M,,,,,
1997-03,28.50M,,,,0.60M,0.60M,,,88.90M,-18.50M,,6.10M,,,,-21.30M,96.70M,,-3.40M,-3.40M,,-79.10M,8.80M,-73.70M,,,,,,-27.50M,-27.50M,,,,,,-4.90M,,3.90M,-28.50M,,346.50M,-5.50M,,,,,,,-27.50M,,,,,
1996-12,25.26M,,,,-0.61M,-0.61M,,,223.93M,-0.748M,,-83.28M,-74.80M,-89.00M,,-252.93M,1.356M,,,,,-603.59M,564.17M,-98.14M,,28.25M,,28.25M,27.20M,0.048M,27.25M,27.20M,,-50.37M,,,-6.467M,,156.00M,154.66M,,,57.87M,,346.48M,,54.40M,28.25M,0.00,-77.52M,,,,AOR,
1996-09,24.10M,0.50M,,0.50M,3.60M,3.60M,,,-240.90M,52.60M,,89.00M,16.00M,89.00M,,222.10M,9.40M,,,,,42.80M,-22.40M,20.40M,,0.00,,0.00,0.00,-2.10M,-2.10M,0.00,,0.00,,,-5.70M,,0.10M,-7.70M,,,22.20M,,,,0.00,0.00,0.00,-2.10M,,,,,
1996-06,21.40M,-0.50M,,-0.50M,2.70M,2.70M,,,107.40M,-13.80M,,-4.40M,-31.20M,,,-42.00M,89.00M,,,,,5.90M,-20.50M,-14.60M,,-1.10M,,-1.10M,-27.20M,5.30M,-21.90M,-27.20M,,-27.20M,,,-5.50M,,27.20M,-28.50M,,,45.70M,,,,-54.40M,0.00,-1.10M,5.30M,,,,,
1996-03,19.50M,,,,2.90M,2.90M,,,52.10M,-17.40M,,4.40M,,,,-20.40M,54.10M,,,,,-71.20M,-8.60M,-79.80M,,71.70M,,71.70M,,-27.40M,-27.40M,,,,,,-5.30M,,0.40M,39.40M,,206.90M,13.80M,,,,,98.90M,-27.20M,-27.40M,,,,,
1995-12,17.18M,,,,3.386M,3.386M,,,23.67M,14.85M,,1.591M,,,,17.54M,61.78M,,,,,-531.27M,517.85M,-210.82M,,8.90M,,8.90M,,0.005M,144.74M,,,,,,-4.806M,,-30.81M,184.03M,,,34.99M,,206.92M,,,,-22.90M,0.005M,,,,AOR,
1995-09,14.80M,,,,4.50M,4.50M,,,49.90M,-8.50M,,-0.30M,,,,-16.10M,53.10M,,,,,-39.00M,-7.60M,-46.60M,,-3.00M,,-3.00M,,0.00,0.00,,,,,,-4.70M,,0.30M,-7.40M,,,-0.90M,,,,,,-3.00M,0.00,,,,,
1995-06,15.30M,,,,3.30M,3.30M,,,20.70M,-12.90M,,-3.50M,,,,-23.00M,16.30M,,,,,-6.20M,-13.20M,-19.40M,,-2.90M,,-2.90M,,0.00,0.00,,,,,,-4.80M,,0.00,-7.70M,,,-10.80M,,,,,,-2.90M,0.00,,,,,
1995-03,13.60M,,,,3.10M,3.10M,,,25.50M,-14.00M,,2.70M,,,,-14.10M,28.10M,,,,,-49.20M,-3.30M,-52.50M,,-3.00M,,-3.00M,,-4.10M,-4.10M,,,,,,-4.60M,,0.10M,-11.60M,,219.60M,-36.00M,,,,,,-3.00M,-4.10M,,,,,
1994-12,11.60M,,,,4.40M,4.40M,,,343.00M,-64.40M,,-110.00M,-56.70M,-100.30M,,-332.70M,26.30M,,,,,-8.40M,29.80M,21.40M,,0.00,,0.00,0.00,-8.50M,-8.50M,0.00,,0.00,,,-4.70M,,0.10M,-13.10M,,,34.60M,,,,0.00,,0.00,-8.50M,,,,,
1994-09,6.10M,,,,3.70M,3.70M,,,-239.40M,53.00M,,101.40M,56.70M,100.30M,,305.00M,75.40M,,,,,-44.50M,-26.40M,-70.90M,,0.00,,0.00,0.00,-13.50M,-13.50M,0.00,,0.00,,,-4.60M,,0.10M,-18.00M,,,-13.40M,,,,0.00,,0.00,-13.50M,,,,,
1994-06,11.10M,,,,3.20M,3.20M,,,24.40M,-17.20M,,-2.80M,,,,-24.50M,14.20M,,,,,-14.70M,4.50M,-10.20M,,-4.50M,,-4.50M,0.20M,-2.50M,-2.30M,0.20M,,0.20M,,,-4.50M,,-0.40M,-11.50M,,,-7.70M,,,,0.40M,,-4.50M,-2.50M,,,,,
1994-03,6.30M,,,,3.70M,3.70M,,,8.00M,-16.60M,,1.70M,,,,-16.60M,1.40M,,,,,-132.20M,-30.30M,-162.50M,,,,,145.10M,-1.90M,143.20M,145.10M,,145.10M,,,-1.70M,,-145.00M,141.60M,,187.60M,-19.40M,,,,290.20M,,,-1.90M,,,,,
1993-12,13.00M,,,,3.70M,3.70M,,,9.90M,-0.50M,,0.10M,,,,-1.80M,24.80M,,-2.60M,-2.60M,,13.90M,-13.80M,-2.50M,,0.00,,0.00,,,,,,,,,-1.80M,,0.60M,-26.90M,,,-4.70M,,,,,0.00,,,,,,,
1993-09,12.70M,,,,2.90M,2.90M,,,36.00M,2.90M,,0.90M,,,,1.80M,53.40M,,-1.60M,-1.60M,,20.60M,-27.80M,-8.80M,,0.00,,0.00,,,,,,,,,-1.80M,,0.70M,-1.10M,,,43.50M,,,,,0.00,,,,,,,
1993-06,12.50M,,,,3.00M,3.00M,,,21.40M,-12.00M,,-3.00M,,,,-19.20M,17.70M,,-2.50M,-2.50M,,-22.80M,-21.60M,-46.90M,,0.00,,0.00,,,,,,,,,-1.80M,,0.10M,-1.70M,,,-30.80M,,,,,0.00,,,,,,,
1993-03,13.40M,,,,3.20M,3.20M,,,45.50M,-7.40M,,2.70M,,,,-4.70M,57.40M,,-3.30M,-3.30M,,-71.00M,22.00M,-52.30M,,49.70M,,49.70M,,,,,,,,,-1.60M,,0.20M,48.30M,,126.30M,53.30M,,,,,49.70M,,,,,,,
1992-12,9.40M,,,,3.00M,3.00M,,,6.20M,9.90M,,-3.10M,,,,9.30M,27.90M,,-1.20M,-1.20M,,-6.70M,-5.30M,-13.20M,,0.00,,0.00,,,,,,,,,-1.60M,,2.10M,0.50M,,,15.00M,,,,,0.00,,,,,,,
1992-09,9.90M,,,,7.00M,7.00M,,,-22.60M,0.80M,,-1.90M,,,,-3.60M,-9.30M,,-2.70M,-2.70M,,19.70M,1.70M,18.70M,,0.00,,0.00,,,,,,,,,-1.70M,,0.50M,-1.20M,,,8.30M,,,,,0.00,,,,,,,
1992-06,12.70M,,,,,,,,10.30M,-1.40M,,-5.70M,,,,-7.10M,15.90M,,-1.40M,-1.40M,,-42.80M,2.00M,-42.20M,,0.00,,0.00,,,,,,,,,-1.60M,,0.10M,-1.50M,,,-27.70M,,,,,0.00,,,,,,,
1992-03,14.50M,,,,,,,,4.40M,-7.60M,,1.70M,,,,-5.90M,13.00M,,-1.40M,-1.40M,,-76.40M,2.10M,-75.70M,,98.80M,,98.80M,,,,,,,,,-1.40M,,0.40M,97.80M,,95.70M,35.00M,,,,,98.80M,,,,,,,
1991-12,11.10M,,,,,,,,1.30M,13.80M,,1.50M,,,,15.30M,27.70M,,-3.20M,-3.20M,,-12.10M,-16.20M,-31.50M,,0.00,,0.00,,-0.10M,-0.10M,,,,,,-1.40M,,0.10M,-1.40M,,,-5.20M,,,,,0.00,,-0.10M,,,,,
1991-09,13.10M,,,,,,,,21.90M,-0.30M,,1.30M,,,,1.00M,36.00M,,-2.40M,-2.40M,,-20.40M,17.40M,-5.40M,,0.00,,0.00,,0.10M,0.10M,,,,,,-1.50M,,0.00,-1.40M,,,29.20M,,,,,0.00,,0.10M,,,,,
1991-06,11.80M,,,,,,,,34.50M,-8.90M,,-7.40M,,,,-16.30M,30.00M,,,,,-69.60M,-8.00M,-77.60M,,9.90M,-9.00M,0.90M,,,,,,,,,-1.40M,,1.20M,0.70M,,,-46.90M,,,,,9.90M,,,,,,,
1991-03,10.60M,,,,,,,,15.30M,-3.50M,,3.30M,,,,-0.20M,25.70M,,,,,-17.30M,1.50M,-15.80M,,,9.00M,9.00M,,,,,,,,,-1.30M,,1.30M,9.00M,,99.70M,18.90M,,,,,,,,,,,,
1990-12,7.80M,,,,,,,,16.80M,9.60M,,2.20M,,,,11.80M,36.40M,,6.10M,6.10M,,-74.80M,-6.20M,-74.90M,,,0.00,0.00,,-0.10M,-0.10M,,,,,,-1.30M,,0.40M,-1.00M,,,-39.60M,,,,,,,-0.10M,,,,,
1990-09,1.40M,,,,,,,,42.80M,-3.80M,,-2.80M,,,,-6.60M,37.60M,,-6.10M,-6.10M,,23.40M,2.50M,19.80M,,,-2.50M,-2.50M,,-2.10M,-2.10M,,,,,,-1.30M,,0.30M,-5.60M,,,51.80M,,,,,,,-2.10M,,,,,
1990-06,12.70M,,,,,,,,15.20M,-7.40M,,-7.70M,,,,-15.10M,12.80M,,,,,-18.60M,-0.30M,-18.90M,,,-7.50M,-7.50M,,-0.10M,-0.10M,,,,,,-1.30M,,0.80M,-8.10M,,,-14.20M,,,,,,,-0.10M,,,,,
1990-03,14.20M,,,,,,,,5.40M,3.80M,,2.60M,,,,6.40M,26.00M,,,,,-26.20M,-4.70M,-30.90M,,,,,,,,,,,,,-1.20M,,0.20M,-1.00M,,107.60M,-5.90M,,,,,,,,,,,,
