,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,TotalCurrentAssets,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,NetLoanAssets,LongTermInvestments,LongTermDeferredTaxAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,SecuritySoldNotYetRepurchased,UnpaidLossReserve,UnearnedPremiumonInsuranceContract,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2012-09,1.190B,,1.190B,1.409B,371.41M,387.35M,1.802B,311.36M,3.303B,258.37M,87.86M,,87.86M,371.41M,13.48B,,13.92B,19.93B,,,,,303.42M,303.42M,,,,69.97M,69.97M,373.39M,2.121B,2.121B,,,149.40M,9.563B,2.480B,9.446M,,14.31B,15.60B,,47.02M,4.801B,936.92M,1.968B,,,,508.15M,4.324B,,AOR,Restated
2012-06,1.012B,,1.012B,1.347B,325.07M,275.84M,1.623B,305.69M,2.941B,264.41M,87.86M,,87.86M,325.07M,12.81B,,13.64B,19.46B,,299.22M,15.54M,,314.76M,314.76M,,,,31.66M,31.66M,346.42M,2.108B,2.108B,,,40.52M,9.489B,2.380B,9.058M,,14.02B,15.25B,,47.02M,4.712B,944.26M,1.912B,,,,416.36M,4.208B,,AOR,Restated
2012-03,1.082B,,1.082B,1.307B,357.12M,382.48M,1.690B,274.71M,3.047B,268.23M,90.17M,,90.17M,357.12M,13.07B,,13.62B,19.13B,,,,,268.29M,268.29M,,,,1.701M,1.701M,269.99M,2.097B,2.097B,,,71.39M,9.394B,2.311B,8.539M,,13.87B,15.00B,,47.02M,4.615B,938.42M,1.867B,,,,393.26M,4.127B,,AOR,Restated
2011-12,911.74M,443.44M,1.355B,2.422B,263.19M,318.24M,2.750B,258.27M,4.363B,262.28M,87.86M,,87.86M,263.19M,12.15B,,12.96B,18.40B,,241.20M,,,241.20M,241.20M,,,,,,241.20M,1.744B,1.744B,2.835M,2.835M,62.51M,8.172B,2.190B,7.526M,,12.17B,14.44B,,47.02M,4.491B,941.11M,1.881B,,,,354.85M,3.953B,,AOR,Restated
2011-09,866.13M,,866.13M,1.195B,283.56M,380.89M,1.579B,275.48M,2.720B,263.69M,90.58M,,90.58M,283.56M,12.00B,0.00,12.48B,18.33B,,,,,254.12M,254.12M,,,,,,254.12M,1.745B,1.745B,,,60.97M,9.262B,2.215B,7.415M,,13.28B,14.46B,,47.02M,4.439B,927.35M,1.887B,,,,335.74M,3.862B,,AOR,Restated
2011-06,794.88M,,794.88M,1.241B,311.66M,242.72M,1.515B,275.83M,2.585B,254.79M,90.58M,,90.58M,311.66M,12.27B,,13.12B,18.20B,,264.93M,,,264.93M,264.93M,,,,,,264.93M,1.745B,1.745B,,,68.26M,9.196B,2.166B,7.265M,,13.17B,14.28B,,47.02M,4.373B,924.00M,1.772B,,,,340.74M,3.913B,,AOR,Restated
2011-03,630.15M,,630.15M,1.179B,348.77M,286.74M,1.542B,265.68M,2.438B,256.97M,90.58M,,90.58M,348.77M,12.25B,,13.16B,17.98B,,227.02M,,,227.02M,227.02M,,,,,,227.02M,1.740B,1.740B,,,123.47M,9.173B,2.113B,7.193M,,13.15B,14.18B,,47.02M,4.301B,925.59M,1.745B,,,,263.18M,3.792B,,AOR,Restated
2010-12,642.95M,,642.95M,1.087B,353.58M,339.24M,1.450B,215.82M,2.309B,254.72M,90.58M,,90.58M,353.58M,12.13B,65.49M,13.03B,17.53B,,,,,215.72M,215.72M,,,,,,215.72M,1.743B,1.743B,,,53.49M,9.017B,1.954B,6.98M,,12.77B,13.82B,,47.02M,4.195B,935.10M,1.750B,,,,276.56M,3.703B,,AOR,Restated
2010-09,922.20M,,922.20M,1.070B,357.80M,239.01M,1.309B,226.05M,2.457B,251.61M,107.13M,,107.13M,357.80M,12.32B,46.25M,13.21B,17.81B,,,,,211.74M,211.74M,,,,,,211.74M,1.737B,1.737B,,,65.88M,9.135B,2.034B,6.709M,,12.97B,13.98B,,47.02M,4.078B,933.09M,1.627B,,,,396.89M,3.827B,,AOR,Restated
2010-06,781.46M,,781.46M,1.113B,373.60M,183.18M,1.302B,235.74M,2.319B,245.00M,107.13M,,107.13M,373.60M,12.00B,117.23M,12.89B,17.42B,,,,,220.09M,220.09M,,,,,,220.09M,1.585B,1.585B,,,48.84M,9.110B,2.009B,6.448M,,12.75B,13.73B,,47.02M,3.994B,926.41M,1.542B,,,,256.39M,3.682B,,AOR,Restated
