,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2005-03,,457.39M,0.749M,458.14M,568.47M,,568.47M,,,20.48M,1.047B,,,,,,458.47M,-152.47M,306.00M,7.774M,10.32M,18.09M,,14.21M,338.31M,1.385B,402.21M,20.70M,,422.91M,88.89M,511.80M,,,,,33.33M,33.33M,-26.29M,518.84M,,,,26.29M,26.29M,8.309M,,26.29M,545.14M,1.066M,787.72M,35.46M,,,7.697M,831.94M
2004-12,,408.98M,0.109M,409.09M,,,614.04M,,,22.72M,1.046B,,,,,,438.14M,-150.77M,287.38M,,18.61M,18.61M,,12.20M,318.19M,1.364B,410.25M,27.04M,,437.29M,,437.29M,2.25M,,2.25M,,,,84.78M,524.32M,,,,24.86M,24.86M,7.472M,-13.74M,11.12M,535.44M,1.066M,749.97M,44.68M,,,,821.14M
2004-09,,377.62M,0.073M,377.69M,596.77M,,596.77M,,5.512M,26.82M,1.007B,,,,,,424.50M,-153.97M,270.53M,7.774M,9.976M,17.75M,,12.29M,300.56M,1.307B,406.61M,17.07M,,423.68M,,423.68M,,,,,,,86.62M,510.30M,,,,29.39M,29.39M,6.003M,,29.39M,539.69M,1.064M,718.14M,39.79M,,,2.68M,761.67M
2004-06,,372.46M,0.081M,372.54M,526.42M,,526.42M,,2.504M,26.33M,927.79M,,,,,,398.60M,-150.25M,248.35M,7.774M,10.33M,18.10M,,12.34M,278.79M,1.207B,370.11M,12.77M,,382.88M,,382.88M,,,,,,,88.55M,471.43M,,,,17.50M,17.50M,5.009M,,17.50M,488.93M,1.059M,675.03M,35.23M,,,1.327M,712.65M
2004-03,,364.33M,0.052M,364.38M,459.77M,,459.77M,,2.258M,17.17M,843.58M,,,,,,391.76M,-146.24M,245.52M,7.774M,10.77M,18.55M,,14.40M,278.47M,1.122B,330.03M,14.37M,,344.40M,,344.40M,,,,,,,78.34M,422.74M,,,,13.67M,13.67M,4.211M,,13.67M,436.41M,1.052M,649.06M,27.30M,,,4.017M,681.43M
2003-12,,295.83M,0.082M,295.91M,,,452.55M,,3.593M,17.94M,770.00M,,,,,,381.77M,-140.07M,241.70M,,18.94M,18.94M,,13.44M,274.08M,1.044B,301.12M,10.14M,,311.26M,,311.26M,0.217M,,0.217M,,,,74.90M,386.38M,,,,8.968M,8.968M,3.224M,-16.76M,-7.79M,378.60M,1.051M,617.22M,25.49M,,,,662.26M
2003-09,,293.00M,0.125M,293.12M,449.32M,,449.32M,,,28.31M,770.75M,,,,,,366.11M,-131.32M,234.79M,5.725M,,5.725M,7.451M,22.09M,270.05M,1.041B,314.71M,11.99M,,326.70M,,326.70M,0.05M,,0.05M,,,,100.67M,427.42M,,,,16.98M,16.98M,,-16.98M,0.00,427.42M,1.05M,589.26M,26.48M,,,-3.397M,613.39M
2003-06,,284.42M,0.078M,284.49M,384.33M,,384.33M,,,18.85M,687.68M,,,,,,362.60M,-126.24M,236.36M,5.725M,,5.725M,8.257M,20.99M,271.33M,959.01M,268.75M,10.93M,,279.68M,,279.68M,0.496M,,0.496M,,,,101.73M,381.91M,,,,13.28M,13.28M,,-13.28M,0.00,381.91M,1.046M,556.70M,24.57M,,,-5.215M,577.10M
2003-03,,272.24M,0.046M,272.29M,358.64M,,358.64M,,,10.49M,641.42M,,,,,,353.22M,-119.48M,233.74M,5.725M,,5.725M,10.50M,21.27M,271.24M,912.67M,257.96M,12.19M,,270.16M,,270.16M,0.525M,,0.525M,,,,89.69M,360.37M,,,,12.85M,12.85M,,-12.85M,0.00,360.37M,1.044M,537.16M,23.67M,,,-9.571M,552.30M
2002-12,,211.86M,0.087M,211.95M,,,385.86M,,,7.676M,605.49M,,,,,,318.65M,-113.68M,204.97M,,5.299M,5.299M,,64.20M,274.46M,879.95M,248.30M,16.99M,,265.29M,,265.29M,1.319M,,1.319M,,,,79.85M,346.46M,,,,9.678M,9.678M,,,9.678M,356.14M,1.042M,512.04M,21.70M,,,,529.58M
2002-09,,287.33M,0.079M,287.41M,351.64M,,351.64M,,,12.23M,651.28M,,,,,,234.95M,-111.32M,123.64M,,,,11.79M,44.51M,179.94M,831.22M,246.42M,9.325M,,255.74M,,255.74M,1.833M,,1.833M,,,,80.99M,338.56M,,,,,,,,0.00,338.56M,1.041M,482.29M,21.59M,,,-12.27M,492.65M
2002-06,,273.23M,0.053M,273.28M,336.73M,,336.73M,,,13.96M,623.97M,,,,,,232.07M,-109.11M,122.96M,,,,10.92M,43.83M,177.71M,801.68M,248.64M,9.778M,,258.42M,,258.42M,0.286M,,0.286M,,,,80.41M,339.12M,,,,,,,,0.00,339.12M,1.04M,451.67M,20.85M,,,-10.99M,462.57M
2002-03,,262.90M,0.051M,262.95M,287.69M,,287.69M,,,10.12M,560.76M,,,,,,224.94M,-104.42M,120.52M,,,,12.22M,41.07M,173.82M,734.58M,210.67M,9.979M,,220.65M,,220.65M,2.062M,,2.062M,,,,69.93M,292.64M,,,,,,,,0.00,292.64M,0.518M,434.22M,21.16M,,,-13.96M,441.93M
2001-12,,218.68M,0.057M,218.73M,283.41M,,283.41M,,,9.109M,511.26M,,,,,,224.46M,-100.61M,123.84M,5.299M,,5.299M,12.16M,35.88M,177.18M,688.44M,195.83M,16.44M,-16.44M,195.83M,,195.83M,1.706M,,1.706M,,,,76.28M,273.81M,,,,,,,,0.00,273.81M,1.032M,411.99M,15.59M,,,-13.99M,414.62M
2001-09,,256.18M,0.055M,256.24M,314.69M,,314.69M,,,19.60M,590.52M,,,,,,211.13M,-96.55M,114.58M,,,,11.69M,26.05M,152.32M,742.84M,225.72M,13.45M,,239.16M,,239.16M,1.848M,,1.848M,,,,73.96M,314.97M,,,,,,,,0.00,314.97M,0.524M,397.93M,42.72M,,,-13.30M,427.87M
2001-06,,252.14M,0.206M,252.35M,288.47M,,288.47M,,,22.14M,562.95M,,,,,,202.88M,-91.07M,111.81M,,,,11.36M,26.08M,149.25M,712.21M,214.23M,13.36M,,227.58M,,227.58M,3.084M,,3.084M,,,,71.55M,302.22M,,,,14.92M,14.92M,,-14.92M,0.00,302.22M,0.526M,370.56M,51.99M,,,-13.08M,409.99M
2001-03,,220.92M,0.215M,221.14M,308.44M,,308.44M,,,16.75M,546.33M,,,,,,193.56M,-86.00M,107.56M,,,,10.80M,23.18M,141.54M,687.87M,213.27M,14.89M,,228.15M,,228.15M,3.428M,,3.428M,,,,63.35M,294.94M,,,,,,,,0.00,294.94M,0.521M,354.21M,50.68M,,,-12.47M,392.94M
2000-12,,169.00M,1.884M,170.89M,,,347.11M,,,4.782M,522.78M,,,,,,190.29M,-83.64M,106.65M,,,,,32.31M,138.96M,661.74M,229.53M,22.95M,,252.48M,,252.48M,4.671M,,4.671M,,,,42.80M,299.96M,,,,,,,,0.00,299.96M,0.515M,333.05M,37.39M,,,,361.78M
2000-09,,143.00M,0.23M,143.23M,364.88M,,364.88M,,,17.44M,525.54M,,,,,,183.72M,-79.78M,103.94M,,,,8.614M,22.74M,135.29M,660.83M,249.38M,18.08M,,267.47M,,267.47M,4.524M,,4.524M,,,,48.97M,320.97M,,,,,,,,0.00,320.97M,0.514M,310.71M,37.92M,,,-9.279M,339.87M
2000-06,,128.60M,0.243M,128.85M,305.20M,,305.20M,,,20.42M,454.47M,,,,,,180.40M,-75.70M,104.70M,,,,7.09M,22.87M,134.65M,589.12M,214.20M,12.51M,,226.71M,,226.71M,2.603M,,2.603M,,,,44.88M,274.19M,,,,,,,,0.00,274.19M,0.512M,285.07M,36.64M,,,-7.292M,314.93M
2000-03,,114.81M,1.008M,115.82M,,,279.36M,,,16.59M,411.77M,,,,,,176.98M,-72.33M,104.65M,,,,6.411M,22.55M,133.61M,545.38M,193.68M,11.99M,,205.67M,,205.67M,1.752M,,1.752M,,,,40.25M,247.67M,,,,,,,,0.00,247.67M,0.509M,270.55M,32.94M,,,-6.291M,297.71M
1999-12,,71.18M,1.171M,72.35M,314.79M,,314.79M,,,15.57M,402.71M,,,,,,173.59M,-67.68M,105.90M,,,,5.584M,21.26M,132.75M,535.46M,182.51M,14.31M,-14.31M,182.51M,,182.51M,19.44M,,19.44M,,,,51.12M,253.08M,,,,,,,,0.00,253.08M,0.507M,257.20M,29.73M,,,-5.049M,282.38M
1999-09,,60.60M,1.10M,61.70M,,,301.60M,,3.60M,15.40M,382.30M,,,,,,168.60M,-63.00M,105.60M,,,,,24.70M,130.30M,512.60M,187.60M,10.70M,,198.30M,,198.30M,17.20M,,17.20M,,,,29.70M,245.20M,,,,,,,,0.00,245.20M,0.50M,241.10M,30.70M,,,,267.40M
1999-06,,66.90M,0.20M,67.10M,,,252.60M,,2.80M,20.50M,343.00M,,,,,,162.10M,-57.70M,104.40M,,,,,23.40M,127.80M,470.80M,154.90M,10.10M,,165.00M,,165.00M,32.20M,,32.20M,,,,30.20M,227.40M,,,,,,,,,227.40M,0.50M,223.30M,24.60M,,,,243.40M
1999-03,,67.50M,0.20M,67.70M,,,220.90M,,1.30M,13.70M,303.60M,,,,,,157.00M,-53.80M,103.20M,,,,,21.40M,124.60M,428.20M,146.20M,9.60M,,155.80M,,155.80M,16.30M,,16.30M,,,,25.50M,197.60M,,,,,,,,0.00,197.60M,0.30M,212.60M,22.30M,,,,230.60M
1998-12,,49.43M,0.394M,49.82M,222.60M,,222.60M,,2.40M,9.178M,284.00M,,,,,,153.33M,-50.30M,103.03M,,,,2.183M,17.38M,122.60M,406.60M,143.52M,8.30M,-8.30M,143.52M,,143.52M,12.24M,,12.24M,,,,33.63M,189.40M,,,,,,,,0.00,189.40M,0.494M,203.05M,17.27M,,,-3.619M,217.20M
1998-09,,45.90M,0.50M,46.40M,,,241.70M,,2.20M,10.90M,301.20M,,,,,,145.70M,-45.90M,99.80M,,,,,19.00M,118.80M,420.00M,153.40M,8.70M,,162.10M,,162.10M,26.40M,,26.40M,,,,27.70M,216.20M,,,,,,,,,216.20M,0.20M,190.80M,16.70M,,,,203.80M
1998-06,,39.70M,0.40M,40.10M,,,195.90M,,3.40M,11.00M,250.40M,,,,,,132.40M,-42.50M,89.90M,,,,,17.20M,107.10M,357.50M,136.80M,7.30M,,144.10M,,144.10M,1.10M,,1.10M,,,,24.40M,169.60M,,,,,,,,0.00,169.60M,0.20M,176.60M,16.50M,,,,187.90M
