,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,RentandLandingExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2002-06,535.76M,535.76M,415.54M,120.22M,,15.03M,15.03M,5.751M,-10.18M,0.092M,,,,395.19M,415.97M,-295.76M,,,,0.092M,,37.64M,13.96M,23.68M,,23.68M,23.63M,-290.00M,-5.751M,-295.76M,0.0575,0.0,0.0574,0.0575,0.055,0.0,0.0549,0.055,415.22M,435.94M,0.03
2002-03,449.54M,449.54M,322.28M,127.26M,,14.16M,14.16M,5.661M,-9.725M,-12.15M,,,,302.83M,322.66M,-195.40M,,,,-12.15M,,35.28M,13.05M,22.23M,,22.23M,29.89M,-189.74M,-5.661M,-195.40M,0.0269,0.0,0.0361,0.0269,0.0256,0.0,0.0344,0.0256,827.05M,870.73M,0.0
2001-12,490.66M,490.66M,365.65M,125.01M,,319.60M,339.76M,5.801M,-9.505M,-0.353M,,,,382.93M,728.49M,-603.48M,,,,-0.353M,,41.90M,14.78M,27.12M,,27.12M,27.35M,-562.20M,41.29M,-603.48M,0.1314,,0.1325,0.1314,0.1314,,0.1325,0.1314,206.45M,206.45M,0.025
2001-09,489.28M,489.28M,363.09M,126.18M,,13.65M,13.65M,5.83M,-9.074M,-0.542M,,,,344.95M,364.42M,-238.24M,,,,-0.542M,,43.86M,16.49M,27.37M,,27.37M,27.71M,-232.41M,-5.83M,-238.24M,0.0325,0.0,0.0329,0.0325,0.0312,0.0,0.0316,0.0312,842.05M,883.40M,0.0
2001-06,445.51M,445.51M,330.60M,114.91M,,14.28M,14.28M,5.965M,-8.755M,0.022M,,,,313.09M,333.34M,-218.43M,,,,0.022M,,34.57M,12.97M,21.60M,,21.60M,21.59M,-212.46M,-17.86M,-218.43M,0.0256,0.0,0.0256,0.0256,0.0244,0.0,0.0244,0.0244,836.90M,884.58M,0.025
2001-03,405.28M,405.28M,289.41M,115.87M,5.351M,88.49M,93.84M,5.948M,-7.46M,0.47M,,,,281.95M,381.74M,-265.87M,,,,0.47M,,33.96M,12.80M,21.16M,,21.16M,20.87M,-259.92M,5.948M,-265.87M,0.1025,0.0,0.1011,0.1025,0.095,0.0,0.0937,0.095,206.98M,220.59M,0.0
2000-12,466.28M,677.82M,343.40M,334.42M,,11.19M,11.19M,5.723M,-5.36M,0.209M,,,,332.68M,349.59M,-15.17M,,,,0.209M,,41.66M,15.72M,25.94M,,25.94M,25.81M,-9.449M,-5.723M,-15.17M,0.126,,0.1254,0.126,0.126,,0.1254,0.126,205.80M,205.80M,0.0175
2000-09,475.36M,475.36M,352.34M,123.02M,,9.748M,9.748M,5.62M,-4.722M,-0.056M,,,,342.90M,358.26M,-235.24M,,,,-0.056M,,41.27M,15.62M,25.64M,,25.64M,25.68M,-229.62M,-5.62M,-235.24M,0.0312,0.0,0.0313,0.0312,0.0294,0.0,0.0294,0.0294,822.35M,877.52M,0.0
2000-06,404.50M,404.50M,301.47M,103.02M,,9.671M,9.671M,5.563M,-4.759M,-0.099M,,,,291.96M,307.19M,-204.17M,,,,-0.099M,,29.00M,10.90M,18.10M,,18.10M,18.16M,-198.60M,-5.563M,-204.17M,0.0219,0.0,0.022,0.0219,0.0206,0.0,0.0207,0.0206,817.11M,873.58M,0.0175
2000-03,349.04M,349.04M,256.54M,92.50M,,9.012M,9.012M,5.575M,-4.549M,-0.125M,,,,247.44M,262.03M,-169.52M,,,,-0.125M,,21.42M,8.069M,13.36M,,13.36M,13.43M,-163.95M,-5.575M,-169.52M,0.0162,0.0,0.0163,0.0162,0.0156,0.0,0.0157,0.0156,811.36M,871.70M,0.0
1999-12,422.78M,422.78M,322.86M,99.92M,,233.11M,250.00M,5.619M,-4.568M,-0.961M,,,,331.50M,587.12M,-487.20M,,,,-0.961M,,29.64M,11.07M,18.58M,,18.58M,19.18M,-451.18M,36.02M,-487.20M,0.0917,,0.0947,0.0917,0.0917,,0.0947,0.0917,202.58M,202.58M,0.0125
1999-09,406.20M,406.20M,308.60M,97.60M,,9.00M,9.00M,5.40M,-4.60M,0.10M,,,,299.40M,313.80M,-216.20M,,,,0.10M,,28.50M,10.70M,17.80M,,17.80M,17.74M,-210.80M,-5.30M,-216.20M,0.0219,0.0,0.0216,0.0219,0.0206,0.0,0.0203,0.0206,202.18M,202.18M,0.0
1999-06,332.00M,332.00M,248.90M,83.10M,,8.60M,8.60M,5.10M,-4.40M,0.60M,,,,240.10M,253.80M,-170.70M,,,,0.60M,,21.30M,8.10M,13.20M,,13.20M,12.83M,-165.60M,-5.10M,-170.70M,0.0162,0.0,0.0144,0.0162,0.0156,0.0,0.0138,0.0156,200.60M,200.60M,0.0125
1999-03,283.70M,283.70M,210.40M,73.30M,,8.00M,8.00M,4.80M,-4.30M,0.40M,,,,201.80M,214.60M,-141.30M,,,,0.40M,,15.10M,5.60M,9.50M,,9.50M,9.248M,-136.50M,-4.80M,-141.30M,0.0059,0.0,0.0058,0.0059,0.0056,0.0,0.0055,0.0056,1.587B,1.707B,0.0
1998-12,308.70M,308.71M,229.20M,79.51M,,183.89M,198.91M,4.647M,-4.30M,-1.414M,,,,236.08M,439.64M,-360.13M,,,,-1.414M,,22.38M,8.403M,14.00M,,13.97M,14.86M,-333.68M,26.45M,-360.13M,0.0708,,0.0752,0.0708,0.0708,,0.0752,0.0708,197.46M,197.46M,0.0088
1998-09,289.70M,289.70M,213.90M,75.80M,,8.00M,8.00M,4.00M,-4.20M,0.30M,,,,205.50M,217.50M,-141.70M,,,,0.30M,,22.60M,8.40M,14.20M,,14.20M,14.01M,-137.70M,-4.00M,-141.70M,0.0091,0.0,0.0081,0.0091,0.0084,0.0,0.0075,0.0084,197.07M,197.07M,0.0
1998-06,242.00M,242.00M,176.90M,65.10M,,7.10M,7.10M,3.60M,-3.50M,1.30M,,,,169.90M,180.60M,-115.50M,,,,1.30M,,17.60M,6.50M,11.10M,,11.10M,10.28M,-111.90M,-3.60M,-115.50M,0.0072,0.0,0.003,0.0072,0.0066,0.0,0.0024,0.0066,196.86M,196.86M,0.0088
