,NetIncome,GainandLossonSaleofPPE,OperatingGainsLosses,DepreciationExpense,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2003-06,27.95M,,1.467M,5.923M,5.923M,5.923M,0.342M,,,-0.043M,-14.87M,9.098M,-9.721M,0.079M,-0.196M,-15.61M,20.03M,-4.348M,0.132M,-4.216M,-0.031M,-0.217M,-4.464M,-0.035M,-0.035M,-0.07M,3.265M,-3.453M,-0.188M,,-8.368M,0.035M,-8.591M,272.24M,6.978M,5.192M,284.42M,3.265M,,0.814M,-3.453M,21.37M,0.078M
2003-03,25.08M,,3.295M,5.779M,5.779M,5.779M,2.944M,,,0.043M,27.55M,0.393M,-1.027M,-0.079M,,26.84M,63.98M,-4.545M,0.006M,-4.539M,0.034M,0.213M,-4.292M,-0.849M,-0.849M,-1.698M,1.792M,-1.974M,-0.182M,,,0.849M,-1.031M,211.86M,58.66M,1.731M,272.24M,1.792M,,-1.698M,-1.974M,14.04M,0.046M
2002-12,37.57M,,3.763M,-39.79M,-39.79M,-39.79M,-9.123M,,,16.76M,-33.74M,20.84M,3.446M,,,17.50M,26.68M,-64.10M,0.222M,-63.87M,-0.01M,-31.96M,-95.84M,-0.504M,-0.109M,-0.613M,1.616M,-2.169M,-0.553M,,-6.25M,0.109M,-7.307M,287.33M,-76.47M,0.993M,211.86M,1.616M,-0.109M,-0.395M,-2.169M,11.25M,0.034M
2002-09,29.04M,,1.981M,28.48M,28.48M,28.48M,3.547M,,,-21.25M,-18.08M,-2.071M,1.249M,,,-18.90M,22.90M,-7.26M,0.166M,-7.094M,-0.027M,-1.00M,-8.121M,1.496M,0.109M,1.605M,9.723M,-9.288M,0.435M,,0.00,-0.109M,1.931M,273.23M,16.71M,-2.603M,287.33M,9.723M,0.109M,1.387M,-9.288M,9.34M,0.015M
2002-06,23.68M,,2.746M,-5.751M,-5.751M,-5.751M,0.819M,,,11.50M,-43.38M,37.09M,-3.446M,,,-9.736M,23.26M,-5.238M,0.237M,-5.001M,0.028M,-2.669M,-7.642M,-1.726M,,-1.726M,2.974M,-4.736M,-1.762M,,-6.235M,,-9.723M,262.90M,5.899M,4.426M,273.23M,2.974M,-0.339M,-1.387M,-4.736M,12.69M,0.062M
2002-03,22.23M,,1.656M,-5.661M,-5.661M,-5.661M,4.07M,,,11.32M,-3.951M,15.23M,-1.249M,,,10.03M,43.65M,-4.833M,3.526M,-1.307M,-0.022M,-0.221M,-1.55M,0.339M,,0.339M,2.447M,-0.402M,2.045M,,,,2.384M,218.68M,44.48M,-0.26M,262.90M,2.447M,0.339M,,-0.402M,3.831M,0.065M
2001-12,27.12M,,0.244M,41.29M,41.29M,41.29M,-10.11M,,,-34.58M,33.08M,-37.59M,15.05M,,,5.933M,29.89M,-9.641M,,-8.852M,-0.008M,-16.04M,-24.90M,-0.16M,-2.632M,-2.792M,0.568M,-36.20M,-35.63M,,-5.16M,2.632M,-40.95M,256.18M,-35.95M,-1.552M,218.68M,0.568M,,-2.792M,-36.20M,12.10M,0.114M
2001-09,27.37M,,0.165M,-5.83M,-5.83M,-5.83M,3.66M,,,11.66M,-26.66M,6.827M,2.645M,,,-17.19M,19.83M,-8.348M,,-8.348M,0.144M,2.554M,-5.65M,-1.163M,,-1.163M,7.444M,-16.70M,-9.251M,,-0.002M,,-10.42M,252.14M,3.768M,0.272M,256.18M,7.444M,,-1.163M,-16.70M,10.82M,0.087M
2001-06,21.60M,,3.047M,-17.86M,-17.86M,-17.86M,0.701M,,,23.83M,20.54M,8.74M,-5.412M,,,23.87M,55.18M,-10.91M,,-10.91M,-0.016M,-4.019M,-14.95M,-0.349M,0.96M,0.611M,5.145M,-7.207M,-2.062M,,-5.247M,-0.96M,-7.658M,220.92M,32.58M,-1.353M,252.14M,5.145M,,0.611M,-7.207M,11.70M,0.148M
2001-03,21.16M,,12.70M,5.948M,5.948M,5.948M,8.124M,,,,37.81M,-10.75M,-12.29M,,,14.77M,62.71M,-8.482M,,-8.482M,1.578M,-0.461M,-7.365M,-0.96M,-0.96M,-1.92M,2.122M,-0.214M,1.908M,,,0.96M,0.948M,169.00M,56.29M,-4.376M,220.92M,2.122M,,-1.92M,-0.214M,7.203M,0.175M
2000-12,25.94M,,1.894M,-5.723M,-5.723M,-5.723M,-2.429M,,,35.77M,15.92M,-18.38M,2.282M,,,-13.15M,42.31M,-8.487M,,-8.487M,-1.753M,-1.415M,-11.66M,0.237M,,0.237M,0.541M,-2.261M,-1.72M,,-3.601M,,-5.084M,143.00M,25.57M,0.44M,169.00M,0.541M,,0.237M,-2.261M,4.03M,0.042M
2000-09,25.64M,,2.943M,-5.62M,-5.62M,-5.62M,1.087M,,,11.24M,-59.02M,41.56M,2.769M,,,-14.68M,20.61M,-5.756M,,-5.756M,0.002M,-0.012M,-5.766M,2.014M,,2.014M,6.095M,-5.74M,0.355M,,0.00,,2.369M,128.60M,17.21M,-2.815M,143.00M,6.095M,,2.014M,-5.74M,3.464M,0.009M
2000-06,18.10M,,7.721M,-5.563M,-5.563M,-5.563M,-1.987M,,,11.13M,-25.72M,23.83M,-3.919M,,,-5.813M,23.58M,-6.361M,,-6.361M,0.744M,-0.295M,-5.912M,0.903M,,0.903M,2.535M,-2.624M,-0.089M,,-3.583M,,-2.769M,114.81M,14.90M,-1.11M,128.60M,2.535M,,0.903M,-2.624M,8.947M,0.047M
2000-03,13.36M,,0.411M,-5.575M,-5.575M,-5.575M,4.532M,,,11.15M,34.42M,10.80M,-1.132M,,,44.09M,67.96M,-4.978M,,-4.978M,0.189M,-1.359M,-6.148M,-17.66M,,-17.66M,1.07M,-0.877M,0.193M,,,,-17.46M,71.18M,44.35M,-0.724M,114.81M,1.07M,,-17.66M,-0.877M,3.001M,0.11M
1999-12,18.58M,,0.866M,36.02M,36.02M,36.02M,-4.567M,,,-16.82M,-3.116M,-8.154M,6.40M,,,-11.76M,22.31M,-7.982M,,-7.982M,-0.05M,0.819M,-7.213M,2.828M,,10.16M,0.827M,-5.392M,-4.565M,,-2.527M,,-4.264M,60.60M,10.83M,-0.18M,71.18M,0.827M,2.828M,,-5.392M,2.145M,0.289M
1999-09,17.80M,,0.60M,-5.30M,-5.30M,-5.30M,0.90M,,,10.60M,-48.10M,31.70M,5.10M,,,-11.30M,13.30M,-5.90M,,-5.90M,-0.90M,-2.00M,-8.80M,-15.60M,,-15.60M,4.80M,-0.30M,4.50M,,0.00,,-11.10M,66.90M,-6.60M,0.30M,60.60M,4.80M,-15.60M,,-0.30M,3.20M,0.30M
1999-06,13.30M,,0.40M,-5.10M,-5.10M,-5.10M,1.10M,,,10.00M,-30.80M,13.00M,-6.90M,,,-24.70M,-5.00M,-7.30M,,-7.30M,0.00,-1.50M,-8.80M,16.00M,,16.00M,0.80M,-1.00M,-0.20M,,-2.50M,,13.30M,67.50M,-0.50M,-0.30M,66.90M,0.80M,16.00M,,-1.00M,14.00M,0.40M
1999-03,9.50M,,1.10M,-4.80M,-4.80M,-4.80M,6.00M,,,9.70M,0.70M,5.10M,-4.60M,,,1.20M,22.70M,-5.40M,,-5.40M,0.20M,-1.70M,-6.90M,4.10M,,4.10M,2.30M,-2.30M,0.00,,,,4.10M,49.40M,19.90M,-1.70M,67.50M,2.30M,4.10M,,-2.30M,,
1998-12,13.97M,,1.90M,26.45M,26.45M,26.45M,-0.303M,,,-34.08M,16.82M,0.30M,4.50M,,,18.00M,25.94M,-7.755M,,-7.755M,0.079M,0.107M,-7.569M,-14.10M,,-4.033M,0.476M,-0.235M,0.241M,,-1.749M,-10.00M,-15.54M,45.90M,2.828M,0.607M,49.43M,0.476M,-14.10M,,-0.235M,8.80M,0.40M
1998-09,14.20M,,0.90M,-4.00M,-4.00M,-4.00M,2.20M,,,8.10M,-44.10M,18.70M,0.10M,,,-25.30M,-3.90M,-13.80M,,-13.80M,0.00,-1.70M,-15.50M,25.20M,,25.20M,3.90M,-4.00M,-0.10M,,0.00,-0.10M,25.00M,39.70M,5.60M,0.70M,45.90M,3.90M,24.20M,1.00M,-4.00M,14.20M,0.00
1998-06,11.10M,,-0.90M,-3.60M,-3.60M,-3.60M,1.90M,,,7.10M,-18.50M,10.20M,-5.40M,,,-13.70M,1.90M,-16.70M,,-16.70M,-0.10M,1.30M,-15.50M,0.00,,0.00,0.30M,-0.20M,0.10M,,-1.70M,,-1.60M,55.90M,-15.20M,-1.00M,39.70M,0.30M,,0.00,-0.20M,4.00M,0.10M
