,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,EBITDA,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),NormalizedBasicEPS,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDiluted,,SharesData(Quarterly),DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2001-02,1.008B,1.008B,600.12M,407.49M,,,155.89M,91.59M,-9.117M,,,,600.12M,847.60M,-440.12M,,,,-9.117M,,122.79M,-5.157M,127.95M,,,-348.52M,-91.59M,-440.12M,,2001-02,0.2294,0.22,,2001-02,0.22,0.22,,2001-02,0.105,,2001-02,AOR,
2000-11,850.33M,862.78M,1.231B,-367.93M,,,126.37M,76.53M,38.41M,,,,-2.352B,-2.149B,1.782B,,,,38.41M,,191.06M,-2.732M,193.80M,,,1.858B,-76.53M,1.782B,,2000-11,0.2905,0.33,,2000-11,0.33,0.33,,2000-11,0.105,,2000-11,AOR,Restated
2000-08,1.228B,1.228B,614.72M,613.49M,,,119.33M,75.25M,-4.457M,,,,614.72M,809.30M,-195.81M,,,,-4.457M,,407.31M,11.12M,396.19M,,,-120.57M,-347.03M,-195.81M,,2000-08,0.6773,0.67,,2000-08,0.67,0.67,,2000-08,0.105,,2000-08,AOR,
2000-05,875.13M,875.13M,497.12M,378.01M,,,120.83M,68.29M,9.349M,,,,497.12M,686.24M,-308.23M,,,,9.349M,,206.50M,2.539M,203.96M,,0.00,-239.94M,68.29M,-308.23M,,2000-05,0.3246,0.34,,2000-05,0.34,0.34,,2000-05,0.105,,2000-05,AOR,
2000-02,824.90M,824.88M,11.44M,813.44M,,,120.88M,67.60M,8.897M,,,,465.44M,653.92M,159.52M,,,,8.897M,,176.27M,4.752M,171.52M,,0.00,227.12M,67.60M,159.52M,,2000-02,0.2659,0.28,,2000-02,0.28,0.28,,2000-02,0.105,,2000-02,AOR,
1999-11,783.87M,795.40M,1.061B,-265.30M,,,121.00M,63.80M,83.50M,,,,-2.119B,-1.934B,1.669B,,,,83.50M,,248.20M,-2.80M,251.00M,,3.00M,1.733B,-63.80M,1.669B,,1999-11,0.3281,0.41,,1999-11,0.40,0.40,,1999-11,0.105,,1999-11,AOR,Restated
1999-08,1.169B,1.169B,579.70M,589.40M,,,109.90M,63.10M,20.80M,,,,579.70M,752.70M,-163.30M,,,,20.80M,,428.40M,13.30M,415.10M,,9.40M,-100.20M,-63.10M,-163.30M,,1999-08,0.6470,0.68,,1999-08,0.67,0.67,,1999-08,0.09,,1999-08,,
1999-05,796.10M,796.10M,432.40M,363.70M,,,105.50M,58.90M,3.70M,,,,432.40M,596.80M,-233.10M,,,,3.70M,,200.50M,-2.80M,203.30M,,0.50M,-174.20M,-58.90M,-233.10M,,1999-05,0.3264,0.33,,1999-05,0.33,0.33,,1999-05,0.09,,1999-05,,
1999-02,748.30M,748.30M,416.10M,332.20M,,,110.80M,57.90M,-2.90M,,,,416.10M,584.80M,-252.60M,,,,-2.90M,,153.00M,-4.80M,157.80M,,1.10M,-194.70M,-57.90M,-252.60M,,1999-02,0.2629,0.26,,1999-02,0.26,0.26,,1999-02,0.09,,1999-02,,
1998-11,728.60M,728.61M,409.08M,319.53M,,,106.87M,53.97M,-16.22M,,,,,-1.049B,1.369B,,,,-16.22M,,218.52M,-2.085M,220.60M,,-19.10M,1.716B,347.37M,1.369B,,1998-11,0.3863,0.37,,1998-11,0.37,0.37,,1998-11,0.09,,1998-11,AOR,Restated
1998-08,1.062B,1.062B,540.30M,521.20M,,,98.80M,57.40M,16.80M,,,,540.30M,696.50M,-175.30M,,,,16.80M,,357.50M,12.70M,344.80M,,8.00M,-117.90M,-57.40M,-175.30M,,1998-08,0.5527,0.58,,1998-08,0.58,0.58,,1998-08,0.075,,1998-08,,
1998-05,661.40M,661.40M,362.40M,299.00M,,,85.00M,46.30M,2.30M,,,,,131.30M,167.70M,,,,2.30M,,158.00M,-2.60M,160.60M,,,214.00M,-46.30M,167.70M,,1998-05,0.1327,0.135,,1998-05,0.135,0.135,,1998-05,0.075,,1998-05,,
