,NetIncome,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2005-02,490.90M,,,,,,,,,,,,,,,,,37.40M,37.40M,528.30M,-263.20M,1.60M,-261.60M,,-315.70M,,-577.30M,,,,60.20M,-165.20M,-105.00M,,-53.70M,,21.80M,-136.90M,639.00M,-185.90M,,453.10M,60.20M,,,-165.20M
2004-11,328.60M,,,,,,,,,,,,,,,,,-270.00M,-270.00M,58.60M,-305.20M,0.20M,-305.00M,,581.50M,,276.50M,,,,31.60M,-119.30M,-87.70M,,-53.80M,,1.40M,-140.10M,444.00M,195.00M,,639.00M,31.60M,,,-119.30M
2004-08,-69.80M,,,,,,,,,,,,,,,,,42.20M,-264.00M,224.40M,-308.60M,-9.90M,-318.50M,,-25.70M,1.60M,-342.60M,,,83.30M,145.10M,-299.20M,-154.10M,,-44.30M,,40.20M,-74.90M,637.10M,-193.10M,,444.00M,145.10M,,,-299.20M
2004-05,736.50M,,,,,,,,,,,,,,,,,64.10M,64.10M,800.60M,-219.40M,10.30M,-209.10M,,-1.219B,8.60M,-1.419B,,,-83.30M,-69.40M,113.40M,44.00M,,-44.20M,,-2.10M,-85.60M,1.342B,-704.40M,,637.10M,-69.40M,,,113.40M
2004-02,428.20M,,,,,,,,,,,,,,,,,61.10M,61.10M,489.30M,-207.90M,5.40M,-202.50M,,1.80M,,-200.70M,,,,34.90M,-55.20M,-20.30M,,-44.20M,,-1.60M,-66.10M,868.10M,222.50M,,1.342B,34.90M,,,-55.20M
2003-11,254.90M,,,,,,,,,,,,,,,,,-125.20M,-125.20M,129.70M,-203.60M,0.40M,-203.20M,,,,-203.20M,,,,34.50M,-58.20M,-23.70M,,-44.20M,,-7.60M,-75.50M,1.017B,-149.00M,,868.10M,34.50M,,,-58.20M
2003-08,266.50M,,,,,,,,,,,,,,,,,-158.70M,-337.30M,397.00M,-222.10M,15.70M,-206.40M,,,-0.70M,-205.70M,,,,,-60.30M,21.70M,,-38.40M,,0.60M,-16.10M,854.40M,175.20M,,1.268B,,,,-60.30M
2003-05,296.10M,,,,,,,,,,,,,,,,,155.60M,155.60M,451.70M,-237.40M,27.50M,-209.90M,,,9.10M,-200.80M,,,,,-88.90M,-88.90M,,-38.40M,,47.60M,-79.70M,683.20M,171.20M,,854.40M,,,,-88.90M
2003-02,370.90M,,,,,,,,,,,,,,,,,170.30M,170.30M,541.20M,-134.30M,27.30M,-107.00M,,,,-107.00M,,,,,41.00M,41.00M,,-38.40M,,-47.90M,-45.30M,294.30M,388.90M,,683.20M,,,,41.00M
2002-11,231.60M,,,,,,,,,,,,,,,,,-118.90M,-118.90M,112.70M,-201.30M,14.00M,-187.30M,,,,-187.30M,,,,,-41.00M,-41.00M,,-37.20M,,-2.80M,-81.00M,449.90M,-155.60M,,294.30M,,,,-41.00M
2002-08,247.70M,,,,,,,,,,,,,,,,,-379.30M,-333.80M,292.30M,-242.60M,153.40M,-89.20M,,,1.70M,-87.50M,,,0.00,3.10M,,3.10M,,-37.10M,,-7.10M,-41.10M,286.20M,163.70M,,449.90M,3.10M,,,
2002-05,259.00M,,,,,,,,,,,,,,,,,306.00M,306.00M,565.00M,-198.60M,14.50M,-184.10M,,,9.50M,-174.60M,,,-104.40M,25.90M,,25.90M,,-37.10M,,-4.70M,-120.30M,16.10M,270.10M,,286.20M,25.90M,,,
2002-02,326.60M,,,,,,,,,,,,,,,,,308.40M,308.40M,635.00M,-255.40M,200.20M,-55.20M,,,-9.90M,-65.10M,,,-584.60M,30.60M,,30.60M,,-37.10M,,3.00M,-588.10M,34.30M,-18.20M,,16.10M,30.60M,,,
2001-11,185.90M,,,,,,,,,,,,,,,,,-204.40M,-204.40M,-18.50M,-237.80M,,-237.80M,,,13.10M,-224.70M,,,248.30M,51.50M,,51.50M,,-35.70M,,-3.50M,260.60M,16.90M,17.40M,,34.30M,51.50M,,,
2001-08,216.90M,,,,,,,,,,,,,,,,,133.30M,-436.00M,166.40M,-331.10M,,-287.60M,,,-33.40M,-321.00M,,,82.90M,22.20M,,22.20M,,-35.70M,,3.40M,72.80M,98.70M,-81.80M,,16.90M,22.20M,,,
2001-05,213.40M,,,,,,,,,,,,,,,,,32.90M,32.90M,246.30M,-269.30M,,-269.30M,,,28.60M,-240.70M,,,33.00M,25.40M,,25.40M,,-35.50M,,-4.40M,18.50M,74.60M,24.10M,,98.70M,25.40M,,,
2001-02,296.90M,,,,,,,,,,,,,,,,,130.10M,130.10M,427.00M,-289.80M,,-289.80M,,,61.50M,-228.30M,,,-136.40M,34.80M,,34.80M,,-35.60M,,-1.10M,-138.30M,14.20M,60.40M,,74.60M,34.80M,,,
2000-11,158.40M,,,,,,,,,,,,,,,,,-278.90M,-278.90M,-120.50M,-346.80M,,-346.80M,,,2.30M,-344.50M,,,461.20M,43.70M,,43.70M,,-34.10M,,-4.40M,466.40M,12.80M,1.40M,,14.20M,43.70M,,,
2000-08,216.60M,,,,,,,,,,,,,,,,,-35.50M,-175.60M,344.20M,-341.20M,,-318.30M,,,-8.50M,-326.80M,,,,-13.80M,,-13.80M,,-34.10M,,-3.70M,-51.60M,47.00M,-34.20M,,12.80M,-13.80M,,,
2000-05,193.60M,,,,,,,,,,,,,,,,,124.40M,124.40M,318.00M,-286.80M,,-286.80M,,,13.30M,-273.50M,,,-7.10M,34.90M,,34.90M,,-33.90M,,-3.20M,-9.30M,11.80M,35.20M,,47.00M,34.90M,,,
2000-02,238.90M,,,,,,,,,,,,,,,,,125.70M,125.70M,364.60M,-274.50M,,-274.50M,,,4.10M,-270.40M,,,-90.90M,34.30M,,34.30M,,-34.00M,,-3.80M,-94.40M,12.00M,-0.20M,,11.80M,34.30M,,,
1999-11,127.80M,,,,,,,,,,,,,,,,,-182.90M,-182.90M,-55.10M,-216.60M,,-216.60M,,,49.90M,-166.70M,,,98.00M,23.80M,,23.80M,,-32.60M,,2.80M,92.00M,141.80M,-129.80M,,12.00M,23.80M,,,
1999-08,160.60M,,,,,,,,,,,,,,,,,-62.70M,-268.70M,104.80M,-211.20M,,-169.50M,,,-37.10M,-206.60M,,,,20.50M,,20.50M,,-32.50M,,0.30M,-11.70M,255.30M,-113.50M,,141.80M,20.50M,,,
1999-05,159.30M,,,,,,,,,,,,,,,,,-14.40M,-14.40M,144.90M,-195.80M,,-195.80M,,,19.60M,-176.20M,,,,53.20M,,53.20M,,-32.40M,,2.20M,23.00M,263.60M,-8.30M,,255.30M,53.20M,,,
1999-02,200.20M,,,,,,,,,,,,,,,,,164.10M,164.10M,364.30M,-143.50M,,-143.50M,,,25.20M,-118.30M,,,-100.00M,39.50M,,39.50M,,-32.60M,,-2.50M,-95.60M,113.20M,150.40M,,263.60M,39.50M,,,
1998-11,104.00M,,,,,,,,,,,,,,,,,-92.80M,-92.80M,11.20M,-145.80M,,-145.80M,,,1.40M,-144.40M,,,100.00M,18.60M,,18.60M,,-31.10M,,14.50M,102.00M,144.40M,-31.20M,,113.20M,18.60M,,,
1998-08,152.70M,,,,,,,,,,,,,,,,,-44.70M,-186.90M,145.90M,-179.30M,,-107.40M,,,-3.70M,-111.10M,,,,24.40M,,24.40M,,-31.10M,,5.80M,-0.90M,110.50M,33.90M,,144.40M,24.40M,,,
1998-05,125.90M,,,,,,,,,,,,,,,,,87.20M,87.20M,213.10M,-132.50M,,-132.50M,,,3.60M,-128.90M,,,,18.40M,,18.40M,,-31.20M,,3.70M,-9.10M,35.40M,75.10M,,110.50M,18.40M,,,
