,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,,AsOriginallyReported,Restated
2006-12,230.30M,,,,-82.20M,192.10M,192.10M,15.30M,,,16.60M,-36.60M,-16.00M,6.10M,-224.90M,52.50M,,6.50M,-212.40M,-0.30M,159.40M,,-232.10M,12.50M,-219.60M,,-1.50M,14.50M,-212.80M,,,,243.80M,37.00M,-133.50M,-96.50M,,-73.90M,,6.70M,80.10M,,31.00M,26.70M,-0.40M,57.30M,,37.00M,,,-133.50M,,,,
2006-09,128.40M,,,,-59.00M,194.20M,194.20M,24.00M,,,70.60M,-127.70M,31.10M,19.00M,181.60M,45.80M,,-92.40M,57.40M,31.40M,447.00M,,-215.70M,13.90M,-201.80M,0.00,-4.40M,0.80M,-0.50M,,,,-116.80M,13.00M,-289.20M,-276.20M,,-75.40M,,3.30M,-471.30M,,60.50M,-24.80M,-0.50M,35.20M,,13.00M,,,-289.20M,,,,
2006-06,210.30M,,,,-55.50M,195.10M,195.10M,-2.40M,,,-31.40M,-2.40M,-9.40M,-9.90M,60.30M,-45.80M,,20.70M,13.50M,16.70M,346.30M,,-235.90M,8.90M,-227.00M,0.00,-9.80M,12.70M,-226.40M,,,,98.60M,29.10M,-193.10M,-164.00M,,-76.00M,,5.40M,-136.00M,,73.90M,-16.10M,2.70M,60.50M,,29.10M,,,-193.10M,,,,
2006-03,204.00M,,,,-18.70M,185.10M,185.10M,-67.50M,,,85.60M,-17.60M,1.20M,-21.60M,-74.00M,,,23.50M,-88.50M,6.00M,306.00M,,-503.60M,174.30M,-329.30M,-127.00M,-8.30M,6.30M,-459.50M,,,,171.00M,47.80M,,47.80M,,-71.20M,,8.40M,156.00M,,70.70M,2.50M,0.70M,73.90M,,47.80M,,,,,,,
2005-12,180.70M,,,,-36.40M,182.50M,182.50M,53.70M,,,17.20M,-10.10M,-64.50M,,-64.60M,,,-5.70M,-144.90M,-5.90M,246.90M,,-304.00M,17.60M,-286.40M,,,27.30M,-260.30M,,,,85.90M,13.00M,,13.00M,,-71.00M,,0.80M,28.70M,,55.80M,15.30M,-0.40M,70.70M,,13.00M,,,,,,,
2005-09,179.00M,,,,-18.50M,174.50M,174.50M,23.60M,,,,-41.10M,19.90M,,68.00M,,,-23.30M,23.50M,,439.60M,,-244.10M,5.70M,-238.40M,-24.50M,,-2.90M,-272.30M,,,,-4.10M,4.90M,-123.60M,-118.70M,,-71.50M,,,-194.30M,,82.10M,-27.00M,0.70M,55.80M,,4.90M,,,-123.60M,,,,
2005-06,190.60M,,,,0.50M,175.30M,175.30M,0.70M,,,,-38.70M,-17.60M,,-86.90M,,,42.20M,-101.00M,,266.10M,,-251.10M,19.90M,-231.20M,-14.10M,4.70M,-3.90M,-244.50M,,,,83.70M,18.90M,-376.40M,-357.50M,,-73.40M,,,-347.20M,,410.90M,-325.60M,-3.20M,82.10M,,18.90M,,,-376.40M,,,,
2005-03,175.30M,,,,3.90M,177.10M,177.10M,1.90M,,,,7.40M,-58.60M,,5.30M,,,2.50M,-43.40M,,314.80M,,-211.60M,31.50M,-180.10M,-13.50M,-4.70M,2.40M,-195.90M,,,,17.70M,71.50M,,71.50M,,-65.80M,,,23.40M,,272.70M,142.30M,-4.10M,410.90M,,71.50M,,,,,,,
2004-12,166.80M,,,,4.90M,179.40M,179.40M,16.60M,,,,-2.80M,45.80M,,-57.30M,,,1.90M,-12.40M,,355.30M,,-216.10M,2.60M,-213.50M,-45.10M,,-2.10M,-260.70M,,,,48.70M,42.20M,,42.20M,,-65.50M,,,25.40M,,146.30M,120.00M,6.40M,272.70M,,42.20M,,,,,,,
2004-09,168.10M,,,,-80.00M,173.30M,173.30M,-15.00M,,,,33.70M,-25.70M,,10.10M,,,115.70M,133.80M,,389.80M,,-191.70M,27.20M,-164.50M,-22.00M,,-1.30M,-206.70M,,,,-81.50M,28.10M,,28.10M,,-65.20M,,,-118.60M,,89.50M,64.50M,-7.70M,146.30M,,28.10M,,,,,,,
2004-06,163.00M,,,,40.40M,173.00M,173.00M,71.20M,,,,-141.40M,5.10M,,59.20M,,,-46.40M,-123.50M,,324.10M,,-167.10M,9.60M,-157.50M,-17.80M,,-13.10M,-188.40M,,,,-171.40M,28.50M,,28.50M,,-51.50M,,,-194.40M,,142.30M,-58.70M,5.90M,89.50M,,28.50M,,,,,,,
2004-03,141.20M,,,,-9.50M,176.60M,176.60M,16.80M,,,,-98.50M,-6.40M,,-63.30M,,,9.40M,-158.80M,,166.30M,,-175.40M,1.70M,-173.70M,-18.90M,,-2.80M,-195.40M,,,,92.80M,35.30M,,35.30M,,-51.30M,,,76.80M,,92.90M,47.70M,1.70M,142.30M,,35.30M,,,,,,,
2003-12,131.80M,,,,16.60M,174.40M,174.40M,23.10M,,,,-32.80M,-4.00M,,-18.50M,,,-84.90M,-140.20M,,205.70M,,-152.30M,7.60M,-144.70M,-25.90M,,-1.60M,-172.20M,,,,-23.80M,54.10M,,54.10M,,-50.90M,,,-20.60M,,76.20M,12.90M,3.80M,92.90M,,54.10M,,,,,,,
2003-09,131.30M,,,,-27.40M,177.70M,177.70M,-34.00M,,,,-23.10M,-26.30M,,29.80M,,,60.90M,57.90M,,305.50M,,-172.90M,2.60M,-170.30M,-295.40M,,0.00,-465.70M,,,,107.60M,33.70M,,33.70M,,-50.60M,,,90.70M,,141.30M,-69.50M,4.40M,76.20M,,33.70M,,,,,,,
2003-06,26.60M,,,,127.90M,164.70M,164.70M,35.70M,,,,5.00M,6.70M,,13.70M,,,-89.90M,-64.50M,,290.40M,,-145.90M,59.50M,-86.40M,-0.40M,,0.00,-86.80M,,,,-113.80M,18.20M,,18.20M,,-46.10M,,,-141.70M,,73.40M,61.90M,6.00M,141.30M,,18.20M,,,,,,,
2003-03,113.60M,,,,-16.30M,156.40M,156.40M,29.90M,,,,-78.20M,-21.80M,,15.40M,,,-22.10M,-106.70M,,176.90M,,-127.20M,30.80M,-96.40M,-51.60M,,-7.80M,-155.80M,,,,-20.60M,13.50M,,13.50M,,-46.00M,,,-53.10M,,104.80M,-32.00M,0.60M,73.40M,,13.50M,,,,,,,
2002-12,125.80M,,,,7.10M,156.00M,156.00M,-4.80M,,,,8.30M,-11.80M,,-68.50M,,,51.10M,-20.90M,,263.20M,,-166.90M,9.20M,-157.70M,-182.20M,,1.60M,-338.30M,,,,-43.80M,11.10M,,11.10M,,-45.90M,,,-78.60M,,253.70M,-153.70M,4.80M,104.80M,,11.10M,,,,,,,
2002-09,144.30M,,,,24.70M,167.20M,167.20M,34.40M,,,,3.70M,39.20M,,-85.00M,,,10.70M,-31.40M,,339.20M,,-167.80M,9.20M,-158.60M,-104.50M,,-15.20M,-278.30M,,,,46.90M,7.40M,,7.40M,,-45.80M,,,8.50M,,185.80M,69.40M,-1.50M,253.70M,,7.40M,,,,,,,
2002-06,141.30M,,,,-64.30M,148.20M,148.20M,23.40M,,,,-26.90M,21.70M,,-15.90M,,,20.10M,-1.00M,,247.60M,,-138.50M,15.90M,-122.60M,-9.20M,,-4.70M,-136.50M,,,,-10.90M,20.90M,,20.90M,,-43.60M,,,-33.60M,,97.80M,77.50M,10.50M,185.80M,,20.90M,,,,,,,
2002-03,126.10M,,,,-43.60M,136.40M,136.40M,-5.70M,,,,-26.50M,3.60M,,2.20M,,,10.80M,-9.90M,,203.30M,,-143.30M,251.30M,108.00M,-1.10M,,6.00M,112.90M,,,,-302.00M,63.20M,,63.20M,,-43.10M,,,-281.90M,,68.30M,34.30M,-4.80M,97.80M,,63.20M,,,,,,,
2001-12,113.70M,,,,20.20M,139.30M,139.30M,13.10M,,,,36.60M,-9.40M,,-45.20M,,,5.50M,-12.50M,,273.80M,,-178.00M,16.50M,-161.50M,,,-30.20M,-191.70M,,,,-47.20M,12.30M,,12.30M,,-43.10M,,,-78.00M,,66.20M,4.10M,-2.00M,68.30M,,12.30M,,,,,,,
2001-09,103.10M,,,,24.40M,139.40M,139.40M,12.50M,,,,55.40M,35.80M,,-61.30M,,,86.30M,116.20M,,395.60M,,-198.20M,-42.40M,-240.60M,,,487.50M,187.70M,,,,-588.60M,87.10M,-12.20M,74.90M,,-43.00M,,-77.60M,-634.30M,,116.10M,-51.00M,1.10M,66.20M,,87.10M,,,-12.20M,,,,
2001-06,132.30M,,,,-34.30M,141.90M,141.90M,19.40M,,,,90.70M,4.70M,,-39.70M,,,-6.50M,49.20M,,308.50M,,-207.80M,10.20M,-197.60M,,,5.80M,-191.80M,,,,-86.30M,-27.00M,-25.00M,-52.00M,,-40.70M,,77.60M,-101.40M,,100.60M,15.30M,0.20M,116.10M,,-27.00M,,,-25.00M,,,,
2001-03,94.60M,,,,-38.20M,143.30M,143.30M,11.90M,,,,-12.40M,-19.80M,,2.90M,,-84.40M,-1.90M,-115.60M,,96.00M,,-164.30M,13.60M,-150.70M,,,1.30M,-149.40M,,,,133.30M,27.00M,-50.00M,-23.00M,,-40.80M,,-5.10M,64.40M,,85.30M,11.00M,4.30M,100.60M,,27.00M,,,-50.00M,,,,
2000-12,135.60M,,,,9.50M,148.40M,148.40M,-4.80M,,,,-69.80M,-18.10M,,-1.30M,,84.40M,,-4.80M,,283.90M,,-138.00M,18.60M,-119.40M,,,-4.80M,-124.20M,,,,-126.00M,,,,,-40.70M,,5.10M,-161.60M,,94.10M,-1.90M,-6.90M,85.30M,,,,,,,,,
2000-09,218.50M,,,,-151.40M,149.00M,149.00M,-8.90M,,,,-68.70M,-30.30M,,36.00M,,,152.50M,89.50M,,296.70M,,-181.50M,339.80M,158.30M,-0.70M,,13.20M,170.80M,,,,-462.70M,,,,,-40.50M,,9.40M,-493.80M,,113.30M,-26.30M,7.10M,94.10M,,,,,,,,,
2000-06,-192.50M,,,,569.00M,150.40M,150.40M,-9.50M,,,,-48.30M,-33.90M,,25.40M,,,-84.90M,-141.70M,,375.70M,,-207.60M,12.00M,-195.60M,-1.00M,,-652.70M,-849.30M,,,,535.10M,,,,,-38.40M,,3.80M,500.50M,,92.60M,26.90M,-6.20M,113.30M,,,,,,,,,
2000-03,47.60M,,,,119.30M,144.60M,144.60M,9.70M,,,,-13.60M,27.30M,,-13.10M,,13.60M,-82.60M,-68.40M,,252.80M,,-184.20M,30.00M,-154.20M,-6.00M,-16.10M,-2.10M,-178.40M,,,,261.10M,,,,,-38.40M,,-289.10M,-66.40M,,79.50M,8.00M,5.10M,92.60M,,,,,,,,,
1999-12,50.60M,,,,81.50M,131.70M,131.70M,3.20M,,,,-27.90M,-20.50M,,43.80M,,-13.60M,,-18.20M,,248.80M,,-194.40M,,-194.40M,-162.70M,16.10M,-29.70M,-370.70M,,,,-112.70M,,,,,-38.40M,,290.90M,139.80M,,61.60M,17.90M,,79.50M,,,,,,,,,
1999-09,122.60M,,,,-15.10M,140.40M,140.40M,19.00M,,,,39.90M,23.60M,,-64.60M,,,34.10M,33.00M,-1.70M,298.20M,,-224.60M,-4.80M,-229.40M,,,-25.00M,-254.40M,,,,-10.30M,,0.00,0.00,,-38.30M,,-19.10M,-67.70M,,80.30M,-23.90M,5.20M,61.60M,,,,,0.00,,,,
1999-06,94.60M,,,,-0.70M,125.50M,125.50M,7.90M,,,2.00M,-90.70M,53.60M,,45.20M,,38.70M,-36.80M,10.00M,1.70M,241.00M,,-274.00M,19.10M,-254.90M,,,-41.10M,-296.00M,,,,64.00M,,0.00,0.00,,-36.00M,,24.60M,52.60M,,85.50M,-2.40M,-2.80M,80.30M,,,,,0.00,,,,
1999-03,106.90M,,,,-0.60M,133.50M,133.50M,10.50M,,,-2.00M,-27.70M,7.30M,,43.60M,,5.10M,,28.30M,,276.60M,,-283.80M,14.00M,-269.80M,4.60M,,-10.50M,-275.70M,,,,52.70M,,0.00,0.00,,-35.90M,,12.00M,28.80M,,57.80M,29.70M,-2.00M,85.50M,,,,,0.00,,,,
1998-12,126.40M,,,,34.50M,127.80M,127.80M,21.40M,,,,52.20M,-47.50M,,2.10M,,-43.80M,,-37.00M,,273.10M,,-189.50M,17.30M,-172.20M,-4.60M,,-35.70M,-212.50M,,,,-12.30M,,-24.60M,-24.60M,,-36.00M,,7.60M,-65.30M,,61.50M,-4.70M,1.00M,57.80M,,,,,-24.60M,,,,
1998-09,127.70M,,,,17.50M,130.40M,130.40M,13.90M,,,,-42.40M,3.20M,,-57.80M,,-11.10M,,-58.70M,3.80M,234.60M,,-260.20M,44.50M,-215.70M,,18.50M,-33.30M,-230.50M,,,,60.10M,,-80.00M,-80.00M,,-36.30M,,1.30M,-54.90M,,110.80M,-50.80M,1.50M,61.50M,,,,,-80.00M,,,,
1998-06,138.10M,,,,27.20M,120.80M,120.80M,10.80M,,,,9.90M,-24.50M,,-19.70M,,-18.20M,,-52.50M,-0.40M,244.00M,,-360.20M,-2.10M,-362.30M,125.00M,-8.50M,-12.40M,-258.20M,,,,152.50M,,-85.00M,-85.00M,,-32.30M,,4.80M,40.00M,,85.00M,25.80M,0.00,110.80M,,,,,-85.00M,,,,
1998-03,120.50M,,,,16.00M,120.60M,120.60M,20.10M,,,,7.50M,12.60M,,-62.50M,,-15.70M,,-58.10M,-0.20M,218.90M,,-177.80M,37.60M,-140.20M,-108.40M,-10.00M,-8.40M,-267.00M,,,,59.40M,,-50.00M,-50.00M,,-32.40M,,71.20M,48.20M,,85.90M,0.10M,-1.00M,85.00M,,,,,-50.00M,,,,
1997-12,160.50M,,,,-99.00M,117.60M,117.60M,17.50M,,,,36.20M,6.00M,,-4.40M,,45.00M,,82.80M,-3.20M,276.20M,,-154.90M,248.30M,93.40M,-16.60M,,-5.40M,71.40M,,,,-66.10M,,-150.00M,-150.00M,,-33.00M,,-64.10M,-313.20M,,52.50M,34.40M,-1.00M,85.90M,,,,,-150.00M,,,,
1997-09,107.40M,,,,-12.30M,119.70M,119.70M,53.80M,,,34.80M,-95.40M,32.60M,,-10.30M,,-32.50M,,17.20M,,320.60M,,-517.10M,7.70M,-509.40M,300.00M,,-3.40M,-212.80M,,,,-88.90M,,-10.00M,-10.00M,,-30.40M,,2.90M,-126.40M,,70.60M,-18.60M,0.50M,52.50M,,,,,-10.00M,,,,
1997-06,116.00M,,,,40.20M,115.90M,115.90M,9.00M,,,-34.80M,-58.00M,23.90M,,28.90M,,31.40M,,26.20M,,272.50M,,-164.30M,7.20M,-157.10M,-300.00M,,285.60M,-171.50M,,,,-115.60M,,-25.00M,-25.00M,,-32.80M,,31.20M,-142.20M,,111.80M,-41.20M,0.00,70.60M,,,,,-25.00M,,,,
1997-03,106.00M,,,,-32.90M,115.40M,115.40M,16.20M,,,,1.50M,-15.80M,,-16.50M,,37.20M,,6.40M,,211.10M,,-185.90M,46.30M,-139.60M,292.20M,,-296.90M,-144.30M,,,,146.70M,,-25.00M,-25.00M,,-30.40M,,-205.30M,-114.00M,,160.70M,-47.20M,-1.70M,111.80M,,,,,-25.00M,,,,
1996-12,99.90M,,,,13.90M,108.10M,108.10M,15.10M,,,,0.10M,-54.00M,,82.10M,,-36.10M,,-7.90M,,229.10M,,-303.00M,36.40M,-266.60M,-292.20M,,-15.50M,-574.30M,,,,328.70M,,-75.00M,-75.00M,,-30.20M,,202.60M,426.10M,,78.70M,80.90M,1.10M,160.70M,,,,,-75.00M,,,,
1996-09,94.10M,,,,-11.90M,108.90M,108.90M,29.20M,,,14.50M,27.20M,22.40M,,-61.10M,,8.60M,,-2.90M,,231.90M,,-244.80M,-31.80M,-276.60M,,,66.70M,-209.90M,,,,65.10M,,-77.50M,-77.50M,,-27.80M,,5.70M,-34.50M,,90.80M,-12.50M,0.40M,78.70M,,,,,-77.50M,,,,
1996-06,98.30M,,,,-34.20M,103.20M,103.20M,24.30M,,,-7.70M,-50.20M,-10.00M,,90.30M,,-17.00M,,13.10M,,197.00M,,-262.50M,-6.20M,-268.70M,4.00M,,-54.30M,-319.00M,,,,179.70M,-4.00M,-22.80M,-26.80M,,-30.90M,,9.60M,131.60M,,82.00M,9.60M,-1.30M,90.80M,,-4.00M,,,-22.80M,,,,
1996-03,135.00M,,,,-66.00M,101.00M,101.00M,12.00M,,,2.00M,-24.00M,-16.00M,,7.00M,,50.00M,,17.00M,,201.00M,,-260.00M,14.00M,-246.00M,-4.00M,,-14.00M,-264.00M,,,,78.00M,4.00M,,4.00M,,-29.00M,,-3.00M,50.00M,,95.00M,-13.00M,,82.00M,,4.00M,,,,,,,
1995-12,89.00M,,,,,99.00M,99.00M,22.00M,,,1.00M,-6.00M,-25.00M,,-33.00M,,-21.00M,,-85.00M,,126.00M,,-184.00M,24.00M,-160.00M,,,-127.00M,-287.00M,,,,190.00M,,,,,-29.00M,,8.00M,169.00M,,87.00M,8.00M,,95.00M,,,,,,,,,
1995-09,92.80M,,,,-24.20M,106.50M,106.50M,23.70M,,,26.40M,-9.80M,-25.60M,,-35.90M,,9.00M,,-62.30M,,162.90M,,-191.30M,-20.40M,-211.70M,34.10M,3.90M,-23.60M,-197.30M,,,,60.00M,-14.70M,-5.20M,-19.90M,,-31.60M,,-8.20M,0.30M,,122.10M,-34.10M,-0.50M,87.50M,,-14.70M,,,-5.20M,,,,
1995-06,100.10M,,,,-6.50M,92.70M,92.70M,14.30M,,,-0.90M,4.70M,-21.30M,,71.90M,,-9.30M,,46.00M,,245.70M,,-294.60M,12.80M,-281.80M,-34.10M,-3.90M,-0.60M,-320.40M,,,,140.70M,7.40M,-23.40M,-16.00M,,-29.00M,,6.80M,102.50M,,93.80M,27.80M,0.50M,122.10M,,7.40M,,,-23.40M,,,,
1995-03,88.60M,,,,3.30M,92.90M,92.90M,9.20M,,,-14.90M,-39.10M,-2.90M,,14.10M,,8.80M,14.70M,-4.40M,,174.70M,,-206.40M,7.20M,-199.20M,,0.90M,-4.70M,-203.00M,,,,32.10M,6.20M,-6.00M,0.20M,,-26.90M,,9.50M,14.90M,,103.90M,-13.40M,3.30M,93.80M,,6.20M,,,-6.00M,,,,
1994-12,86.70M,,,,8.50M,90.10M,90.10M,18.20M,,,,-20.00M,-8.50M,,-29.40M,,4.70M,-14.70M,-67.90M,,135.60M,,-178.00M,0.40M,-177.60M,,-0.90M,-17.10M,-195.60M,,,,170.60M,1.10M,-89.50M,-88.40M,,-27.80M,,9.70M,64.10M,,99.90M,4.10M,-0.10M,103.90M,,1.10M,,,-89.50M,,,,
1994-09,79.10M,,,,32.30M,96.10M,96.10M,-7.60M,,,2.70M,-24.10M,-4.90M,,85.40M,,48.30M,,104.70M,,307.30M,,-227.10M,7.30M,-219.80M,,,17.20M,-244.50M,,,,-41.40M,-7.30M,0.00,-7.30M,,-27.80M,,5.70M,-70.80M,,107.20M,-8.00M,0.70M,99.90M,,-7.30M,,,0.00,,,,
1994-06,65.80M,,,,-0.50M,87.10M,87.10M,28.60M,,,0.50M,27.70M,-12.90M,,-0.90M,,-3.80M,-0.80M,9.30M,,190.80M,,-118.90M,2.10M,-116.80M,,,-44.20M,-161.00M,,,,-18.00M,0.80M,0.00,0.80M,,-27.70M,,-9.40M,-54.30M,,127.60M,-24.50M,4.10M,107.20M,,0.80M,,,0.00,,,,
1994-03,13.50M,,,,118.70M,84.60M,84.60M,-29.40M,,,,-43.20M,-11.70M,,2.50M,,-10.90M,17.10M,-46.20M,,141.20M,,-136.30M,-6.00M,-142.30M,,,-7.10M,-149.40M,,,,27.60M,3.70M,-63.00M,-59.30M,,-26.10M,,17.90M,-39.90M,,172.90M,-48.10M,2.80M,127.60M,,3.70M,,,-63.00M,,,,
1993-12,89.40M,,,,-10.30M,85.00M,85.00M,17.80M,,,,-1.70M,-5.50M,,-25.00M,,-21.70M,-16.30M,-70.20M,,111.70M,,-128.80M,14.30M,-114.50M,,,-5.70M,-120.20M,,,,5.20M,2.80M,-22.60M,-19.80M,,-26.20M,,-10.40M,-51.20M,,238.40M,-59.70M,-5.80M,172.90M,,2.80M,,,-22.60M,,,,
1993-09,-14.20M,,,,,88.50M,88.50M,-30.50M,,,45.10M,-21.90M,-11.40M,,29.90M,,-14.40M,,-17.80M,,167.90M,,-147.00M,25.80M,-121.20M,,,-12.00M,-133.20M,,,,45.80M,-11.80M,,-11.80M,,-26.30M,,8.30M,16.00M,,0.00,50.70M,-2.00M,238.40M,,-11.80M,,,,,,,
1993-06,70.80M,,,,,86.70M,86.70M,5.70M,,,-1.70M,-2.70M,-4.40M,,5.20M,,-11.00M,,-12.90M,,148.60M,,-130.10M,7.40M,-122.70M,,,-5.00M,-127.70M,,,,72.00M,1.50M,,1.50M,,-26.30M,,9.50M,56.70M,,0.00,77.60M,0.00,0.00,,1.50M,,,,,,,
1993-03,75.30M,,,,,84.60M,84.60M,14.50M,,,0.30M,-40.50M,-12.40M,,-10.10M,,15.90M,,-47.10M,,127.60M,,-110.00M,5.80M,-104.20M,,,4.20M,-100.00M,,,,-3.50M,2.70M,,2.70M,,-24.50M,,2.30M,-23.00M,,0.00,4.60M,0.30M,0.00,,2.70M,,,,,,,
1992-12,69.00M,,,,,85.90M,85.90M,10.10M,,,3.00M,21.00M,-40.70M,,14.10M,,-22.10M,,-27.70M,,140.30M,,-103.50M,8.20M,-95.30M,,,-152.20M,-247.50M,,,,113.60M,7.60M,,7.60M,,-24.50M,,10.40M,107.10M,,116.80M,-0.10M,-9.50M,0.00,,7.60M,,,,,,,
1992-09,71.10M,,,,-23.00M,91.20M,91.20M,-12.20M,,,12.70M,-11.60M,20.40M,,-7.20M,,21.70M,,23.30M,,163.10M,,-146.00M,19.00M,-127.00M,,,61.60M,-114.00M,,,,-27.50M,-11.60M,,-11.60M,,-24.30M,,1.90M,-61.50M,,0.00,-12.40M,0.10M,0.00,,-11.60M,,,,,,,
1992-06,68.40M,,,,0.00,84.80M,84.80M,17.00M,,,-10.30M,-34.60M,2.00M,,10.10M,,17.50M,,-5.00M,,154.90M,,-89.60M,15.30M,-74.30M,,,-17.30M,-91.60M,,,,-41.10M,2.50M,,2.50M,,-24.40M,,14.50M,-48.50M,,0.00,14.80M,7.10M,0.00,,2.50M,,,,,,,
1992-03,73.30M,,,,8.40M,82.80M,82.80M,0.30M,,,1.50M,-8.20M,-9.10M,,17.20M,,6.70M,,6.60M,,172.90M,,-98.70M,3.80M,-94.90M,,,-3.70M,-98.60M,,,,-98.50M,6.70M,,6.70M,,-22.60M,,-5.10M,-119.50M,,0.00,-45.20M,-6.00M,0.00,,6.70M,,,,,,,
1991-12,64.20M,,,,,81.40M,81.40M,14.90M,,,20.40M,-10.50M,-20.20M,,-37.20M,,-4.70M,,-72.60M,,108.30M,,-93.20M,13.30M,-79.90M,,,-18.60M,-98.50M,,,,76.40M,2.40M,,2.40M,,-22.00M,,-18.40M,38.40M,,104.40M,48.20M,5.80M,0.00,,2.40M,,,,,,,
1991-09,58.40M,,,,-4.10M,82.10M,82.10M,1.10M,,,-3.10M,-15.40M,-9.70M,,29.90M,,21.70M,,26.50M,,160.90M,,-125.70M,9.50M,-116.20M,,,-79.00M,-195.20M,,,,59.00M,-7.20M,,-7.20M,,-21.90M,,27.90M,57.80M,,0.00,23.50M,5.60M,0.00,,-7.20M,,,,,,,
1991-06,64.10M,,,,-13.80M,78.80M,78.80M,6.30M,,,-3.00M,1.90M,-5.60M,,-3.60M,,2.10M,,-5.20M,,127.20M,,-126.60M,11.20M,-115.40M,,,-8.20M,-123.60M,,,,36.10M,2.00M,,2.00M,,-21.80M,,-12.00M,4.30M,,0.00,7.90M,-4.00M,0.00,,2.00M,,,,,,,
1991-03,65.80M,,,,-5.80M,80.40M,80.40M,7.20M,,,-2.80M,-15.10M,1.00M,,0.90M,,32.00M,,18.80M,,163.60M,,-123.40M,2.60M,-120.80M,,,-28.60M,-149.40M,,,,2.20M,4.90M,,4.90M,,-20.20M,,-4.40M,-17.50M,,0.00,-3.30M,-5.60M,0.00,,4.90M,,,,,,,
1990-12,60.60M,,,,-5.20M,77.80M,77.80M,9.70M,,,3.10M,36.30M,-22.70M,,9.70M,,-1.70M,,21.60M,,167.60M,,-130.70M,1.60M,-129.10M,,,-25.90M,-155.00M,,,,10.60M,0.30M,,0.30M,,-20.10M,,0.90M,-8.30M,,74.40M,4.30M,1.60M,0.00,,0.30M,,,,,,,
1990-09,63.10M,,,,-11.30M,77.60M,77.60M,8.10M,,,12.10M,-46.10M,7.50M,,25.80M,12.70M,-12.40M,,-12.50M,-0.40M,136.70M,,-142.50M,50.90M,-91.60M,,,30.40M,-61.20M,,,,-36.70M,-7.50M,,-7.50M,,-20.20M,,8.60M,-55.80M,,0.00,19.70M,1.70M,0.00,,-7.50M,,,,,,,
1990-06,56.80M,,,,-4.60M,78.60M,78.60M,6.70M,,,-7.80M,-2.20M,9.40M,,2.20M,-5.90M,20.00M,,23.50M,-1.20M,152.00M,,-121.20M,5.50M,-115.70M,,,-122.20M,-237.90M,,,,40.10M,3.90M,,3.90M,,-19.90M,,19.30M,43.40M,,0.00,-42.50M,1.30M,0.00,,3.90M,,,,,,,
1990-03,60.60M,,,,-6.00M,73.90M,73.90M,0.80M,,,-2.00M,-21.40M,17.60M,,2.90M,6.30M,-7.70M,,-2.30M,1.80M,126.80M,,-110.00M,15.00M,-95.00M,,,-33.90M,-128.90M,,,,54.60M,2.00M,,2.00M,,-18.30M,,-19.80M,18.50M,,0.00,16.40M,0.00,0.00,,2.00M,,,,,,,
1989-12,49.40M,,,,-0.80M,73.10M,73.10M,4.10M,,,-2.50M,9.70M,-12.70M,,-10.50M,-13.10M,19.30M,,-7.30M,-4.00M,112.00M,,-93.80M,5.70M,-88.10M,,,-33.70M,-121.80M,,,,53.00M,1.60M,,1.60M,,-18.30M,,-0.50M,35.80M,,49.50M,26.00M,2.30M,0.00,,1.60M,,,,,,,
